context: It's the same as that day... response:	Yano's heart is about to open up to me...
context: Hey, I noticed this before... your lunches are always packed with whole lot of stuff, huh?\Really?\Yeah, it's completely different from the lunches my mom makes.\She always just uses last night's leftovers or something.\Let me have a bite.\No.\Why not?\It's not as tasty as it looks. response:	Don't say that. It'll be fine.
context: Really?\Yeah, it's completely different from the lunches my mom makes.\She always just uses last night's leftovers or something.\Let me have a bite.\No.\Why not?\It's not as tasty as it looks.\Don't say that. It'll be fine. response:	Yano's mom made this flavor...
context: Yeah, it's completely different from the lunches my mom makes.\She always just uses last night's leftovers or something.\Let me have a bite.\No.\Why not?\It's not as tasty as it looks.\Don't say that. It'll be fine.\Yano's mom made this flavor... response:	See? It's not that good, right?
context: She always just uses last night's leftovers or something.\Let me have a bite.\No.\Why not?\It's not as tasty as it looks.\Don't say that. It'll be fine.\Yano's mom made this flavor...\See? It's not that good, right? response:	Umm...
context: Let me have a bite.\No.\Why not?\It's not as tasty as it looks.\Don't say that. It'll be fine.\Yano's mom made this flavor...\See? It's not that good, right?\Umm... response:	How to describe it...
context: No.\Why not?\It's not as tasty as it looks.\Don't say that. It'll be fine.\Yano's mom made this flavor...\See? It's not that good, right?\Umm...\How to describe it... response:	Compared to how it looks, it's fairly plain.
context: Why not?\It's not as tasty as it looks.\Don't say that. It'll be fine.\Yano's mom made this flavor...\See? It's not that good, right?\Umm...\How to describe it...\Compared to how it looks, it's fairly plain. response:	She doesn't have much of a sense for cooking.
context: It's not as tasty as it looks.\Don't say that. It'll be fine.\Yano's mom made this flavor...\See? It's not that good, right?\Umm...\How to describe it...\Compared to how it looks, it's fairly plain.\She doesn't have much of a sense for cooking. response:	But she tries her best, so I overlook that.
context: Don't say that. It'll be fine.\Yano's mom made this flavor...\See? It's not that good, right?\Umm...\How to describe it...\Compared to how it looks, it's fairly plain.\She doesn't have much of a sense for cooking.\But she tries her best, so I overlook that. response:	I think her omelets are pretty good, though.
context: Yano's mom made this flavor...\See? It's not that good, right?\Umm...\How to describe it...\Compared to how it looks, it's fairly plain.\She doesn't have much of a sense for cooking.\But she tries her best, so I overlook that.\I think her omelets are pretty good, though. response:	Or, well... they're the only part that's good.
context: See? It's not that good, right?\Umm...\How to describe it...\Compared to how it looks, it's fairly plain.\She doesn't have much of a sense for cooking.\But she tries her best, so I overlook that.\I think her omelets are pretty good, though.\Or, well... they're the only part that's good. response:	Really?
context: Umm...\How to describe it...\Compared to how it looks, it's fairly plain.\She doesn't have much of a sense for cooking.\But she tries her best, so I overlook that.\I think her omelets are pretty good, though.\Or, well... they're the only part that's good.\Really? response:	Have a bite.
context: How to describe it...\Compared to how it looks, it's fairly plain.\She doesn't have much of a sense for cooking.\But she tries her best, so I overlook that.\I think her omelets are pretty good, though.\Or, well... they're the only part that's good.\Really?\Have a bite. response:	Let's see...
context: Compared to how it looks, it's fairly plain.\She doesn't have much of a sense for cooking.\But she tries her best, so I overlook that.\I think her omelets are pretty good, though.\Or, well... they're the only part that's good.\Really?\Have a bite.\Let's see... response:	Ah, they really are good!
context: She doesn't have much of a sense for cooking.\But she tries her best, so I overlook that.\I think her omelets are pretty good, though.\Or, well... they're the only part that's good.\Really?\Have a bite.\Let's see...\Ah, they really are good! response:	See?
context: But she tries her best, so I overlook that.\I think her omelets are pretty good, though.\Or, well... they're the only part that's good.\Really?\Have a bite.\Let's see...\Ah, they really are good!\See? response:	Yano.
context: I think her omelets are pretty good, though.\Or, well... they're the only part that's good.\Really?\Have a bite.\Let's see...\Ah, they really are good!\See?\Yano. response:	Everything's fine.
context: Or, well... they're the only part that's good.\Really?\Have a bite.\Let's see...\Ah, they really are good!\See?\Yano.\Everything's fine. response:	I know.
context: Really?\Have a bite.\Let's see...\Ah, they really are good!\See?\Yano.\Everything's fine.\I know. response:	You told me that someone can only have one person most important to them at a time.
context: Have a bite.\Let's see...\Ah, they really are good!\See?\Yano.\Everything's fine.\I know.\You told me that someone can only have one person most important to them at a time. response:	I want to believe that.
context: Let's see...\Ah, they really are good!\See?\Yano.\Everything's fine.\I know.\You told me that someone can only have one person most important to them at a time.\I want to believe that. response:	If you're going to say that, then I'm going to try my best.
context: Ah, they really are good!\See?\Yano.\Everything's fine.\I know.\You told me that someone can only have one person most important to them at a time.\I want to believe that.\If you're going to say that, then I'm going to try my best. response:	As long as you don't give up on me, I'll never give up on you.
context: See?\Yano.\Everything's fine.\I know.\You told me that someone can only have one person most important to them at a time.\I want to believe that.\If you're going to say that, then I'm going to try my best.\As long as you don't give up on me, I'll never give up on you. response:	You can do that, right?
context: Yano.\Everything's fine.\I know.\You told me that someone can only have one person most important to them at a time.\I want to believe that.\If you're going to say that, then I'm going to try my best.\As long as you don't give up on me, I'll never give up on you.\You can do that, right? response:	Yeah.
context: Everything's fine.\I know.\You told me that someone can only have one person most important to them at a time.\I want to believe that.\If you're going to say that, then I'm going to try my best.\As long as you don't give up on me, I'll never give up on you.\You can do that, right?\Yeah. response:	I'll believe in him.
context: I know.\You told me that someone can only have one person most important to them at a time.\I want to believe that.\If you're going to say that, then I'm going to try my best.\As long as you don't give up on me, I'll never give up on you.\You can do that, right?\Yeah.\I'll believe in him. response:	What is it?
context: You told me that someone can only have one person most important to them at a time.\I want to believe that.\If you're going to say that, then I'm going to try my best.\As long as you don't give up on me, I'll never give up on you.\You can do that, right?\Yeah.\I'll believe in him.\What is it? response:	Aren't you cold?
context: I want to believe that.\If you're going to say that, then I'm going to try my best.\As long as you don't give up on me, I'll never give up on you.\You can do that, right?\Yeah.\I'll believe in him.\What is it?\Aren't you cold? response:	You've been home all weekend, and you've been coming straight home from school lately, too.
context: If you're going to say that, then I'm going to try my best.\As long as you don't give up on me, I'll never give up on you.\You can do that, right?\Yeah.\I'll believe in him.\What is it?\Aren't you cold?\You've been home all weekend, and you've been coming straight home from school lately, too. response:	I thought this might or might not be the case, but I guess everything fell though with that girl?
context: As long as you don't give up on me, I'll never give up on you.\You can do that, right?\Yeah.\I'll believe in him.\What is it?\Aren't you cold?\You've been home all weekend, and you've been coming straight home from school lately, too.\I thought this might or might not be the case, but I guess everything fell though with that girl? response:	What the heck? It has nothing to do with you!
context: You can do that, right?\Yeah.\I'll believe in him.\What is it?\Aren't you cold?\You've been home all weekend, and you've been coming straight home from school lately, too.\I thought this might or might not be the case, but I guess everything fell though with that girl?\What the heck? It has nothing to do with you! response:	Ah, how pathetic!
context: Yeah.\I'll believe in him.\What is it?\Aren't you cold?\You've been home all weekend, and you've been coming straight home from school lately, too.\I thought this might or might not be the case, but I guess everything fell though with that girl?\What the heck? It has nothing to do with you!\Ah, how pathetic! response:	How can I still call you my little brother?
context: I'll believe in him.\What is it?\Aren't you cold?\You've been home all weekend, and you've been coming straight home from school lately, too.\I thought this might or might not be the case, but I guess everything fell though with that girl?\What the heck? It has nothing to do with you!\Ah, how pathetic!\How can I still call you my little brother? response:	Shut up.
context: What is it?\Aren't you cold?\You've been home all weekend, and you've been coming straight home from school lately, too.\I thought this might or might not be the case, but I guess everything fell though with that girl?\What the heck? It has nothing to do with you!\Ah, how pathetic!\How can I still call you my little brother?\Shut up. response:	Take advantage of that little runt's mistakes once in a while, would you?
context: Aren't you cold?\You've been home all weekend, and you've been coming straight home from school lately, too.\I thought this might or might not be the case, but I guess everything fell though with that girl?\What the heck? It has nothing to do with you!\Ah, how pathetic!\How can I still call you my little brother?\Shut up.\Take advantage of that little runt's mistakes once in a while, would you? response:	Little runt?
context: You've been home all weekend, and you've been coming straight home from school lately, too.\I thought this might or might not be the case, but I guess everything fell though with that girl?\What the heck? It has nothing to do with you!\Ah, how pathetic!\How can I still call you my little brother?\Shut up.\Take advantage of that little runt's mistakes once in a while, would you?\Little runt? response:	Hey... what's it mean to fight to the bitter end in love?
context: I thought this might or might not be the case, but I guess everything fell though with that girl?\What the heck? It has nothing to do with you!\Ah, how pathetic!\How can I still call you my little brother?\Shut up.\Take advantage of that little runt's mistakes once in a while, would you?\Little runt?\Hey... what's it mean to fight to the bitter end in love? response:	Well... it varies depending on the situation, but...
context: What the heck? It has nothing to do with you!\Ah, how pathetic!\How can I still call you my little brother?\Shut up.\Take advantage of that little runt's mistakes once in a while, would you?\Little runt?\Hey... what's it mean to fight to the bitter end in love?\Well... it varies depending on the situation, but... response:	If nothing changes whether you confess or not...
context: Ah, how pathetic!\How can I still call you my little brother?\Shut up.\Take advantage of that little runt's mistakes once in a while, would you?\Little runt?\Hey... what's it mean to fight to the bitter end in love?\Well... it varies depending on the situation, but...\If nothing changes whether you confess or not... response:	Why do you say that?
context: How can I still call you my little brother?\Shut up.\Take advantage of that little runt's mistakes once in a while, would you?\Little runt?\Hey... what's it mean to fight to the bitter end in love?\Well... it varies depending on the situation, but...\If nothing changes whether you confess or not...\Why do you say that? response:	No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done.
context: Shut up.\Take advantage of that little runt's mistakes once in a while, would you?\Little runt?\Hey... what's it mean to fight to the bitter end in love?\Well... it varies depending on the situation, but...\If nothing changes whether you confess or not...\Why do you say that?\No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done. response:	Even if you get over it, the people around you will still have to deal with the situation.
context: Take advantage of that little runt's mistakes once in a while, would you?\Little runt?\Hey... what's it mean to fight to the bitter end in love?\Well... it varies depending on the situation, but...\If nothing changes whether you confess or not...\Why do you say that?\No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done.\Even if you get over it, the people around you will still have to deal with the situation. response:	If someone's honest and open like that, he's just being egotistical.
context: Little runt?\Hey... what's it mean to fight to the bitter end in love?\Well... it varies depending on the situation, but...\If nothing changes whether you confess or not...\Why do you say that?\No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done.\Even if you get over it, the people around you will still have to deal with the situation.\If someone's honest and open like that, he's just being egotistical. response:	Am I wrong?
context: Hey... what's it mean to fight to the bitter end in love?\Well... it varies depending on the situation, but...\If nothing changes whether you confess or not...\Why do you say that?\No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done.\Even if you get over it, the people around you will still have to deal with the situation.\If someone's honest and open like that, he's just being egotistical.\Am I wrong? response:	Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with.
context: Well... it varies depending on the situation, but...\If nothing changes whether you confess or not...\Why do you say that?\No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done.\Even if you get over it, the people around you will still have to deal with the situation.\If someone's honest and open like that, he's just being egotistical.\Am I wrong?\Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with. response:	Even though you and Moto are both in 11 th grade, you're completely different.
context: If nothing changes whether you confess or not...\Why do you say that?\No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done.\Even if you get over it, the people around you will still have to deal with the situation.\If someone's honest and open like that, he's just being egotistical.\Am I wrong?\Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with.\Even though you and Moto are both in 11 th grade, you're completely different. response:	Of course you'd lose to him like this.
context: Why do you say that?\No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done.\Even if you get over it, the people around you will still have to deal with the situation.\If someone's honest and open like that, he's just being egotistical.\Am I wrong?\Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with.\Even though you and Moto are both in 11 th grade, you're completely different.\Of course you'd lose to him like this. response:	What do you mean by that?
context: No matter how much sugar you coat your words with, they'll still leave a bad aftertaste when everything's said and done.\Even if you get over it, the people around you will still have to deal with the situation.\If someone's honest and open like that, he's just being egotistical.\Am I wrong?\Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with.\Even though you and Moto are both in 11 th grade, you're completely different.\Of course you'd lose to him like this.\What do you mean by that? response:	That girl told me she'd form bonds, even if there was nothing to work with.
context: Even if you get over it, the people around you will still have to deal with the situation.\If someone's honest and open like that, he's just being egotistical.\Am I wrong?\Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with.\Even though you and Moto are both in 11 th grade, you're completely different.\Of course you'd lose to him like this.\What do you mean by that?\That girl told me she'd form bonds, even if there was nothing to work with. response:	Would it have been better to cut into his plans and get her before he did?
context: If someone's honest and open like that, he's just being egotistical.\Am I wrong?\Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with.\Even though you and Moto are both in 11 th grade, you're completely different.\Of course you'd lose to him like this.\What do you mean by that?\That girl told me she'd form bonds, even if there was nothing to work with.\Would it have been better to cut into his plans and get her before he did? response:	Even if I had to tie him up?
context: Am I wrong?\Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with.\Even though you and Moto are both in 11 th grade, you're completely different.\Of course you'd lose to him like this.\What do you mean by that?\That girl told me she'd form bonds, even if there was nothing to work with.\Would it have been better to cut into his plans and get her before he did?\Even if I had to tie him up? response:	Obviously.
context: Getting into an illicit relationship with your best friend's girlfriend is wrong to begin with.\Even though you and Moto are both in 11 th grade, you're completely different.\Of course you'd lose to him like this.\What do you mean by that?\That girl told me she'd form bonds, even if there was nothing to work with.\Would it have been better to cut into his plans and get her before he did?\Even if I had to tie him up?\Obviously. response:	In the first place, the world of love is all about being partial and biased.
context: Even though you and Moto are both in 11 th grade, you're completely different.\Of course you'd lose to him like this.\What do you mean by that?\That girl told me she'd form bonds, even if there was nothing to work with.\Would it have been better to cut into his plans and get her before he did?\Even if I had to tie him up?\Obviously.\In the first place, the world of love is all about being partial and biased. response:	There's no such thing as fair and unfair, dishonorable and honorable.
context: Of course you'd lose to him like this.\What do you mean by that?\That girl told me she'd form bonds, even if there was nothing to work with.\Would it have been better to cut into his plans and get her before he did?\Even if I had to tie him up?\Obviously.\In the first place, the world of love is all about being partial and biased.\There's no such thing as fair and unfair, dishonorable and honorable. response:	Even if you set him up and break his arm, if you're fighting with all your might for yourself...
context: What do you mean by that?\That girl told me she'd form bonds, even if there was nothing to work with.\Would it have been better to cut into his plans and get her before he did?\Even if I had to tie him up?\Obviously.\In the first place, the world of love is all about being partial and biased.\There's no such thing as fair and unfair, dishonorable and honorable.\Even if you set him up and break his arm, if you're fighting with all your might for yourself... response:	N-Noble, is it?
context: That girl told me she'd form bonds, even if there was nothing to work with.\Would it have been better to cut into his plans and get her before he did?\Even if I had to tie him up?\Obviously.\In the first place, the world of love is all about being partial and biased.\There's no such thing as fair and unfair, dishonorable and honorable.\Even if you set him up and break his arm, if you're fighting with all your might for yourself...\N-Noble, is it? response:	Loving someone else's lover, or stealing someone else's love...
context: Would it have been better to cut into his plans and get her before he did?\Even if I had to tie him up?\Obviously.\In the first place, the world of love is all about being partial and biased.\There's no such thing as fair and unfair, dishonorable and honorable.\Even if you set him up and break his arm, if you're fighting with all your might for yourself...\N-Noble, is it?\Loving someone else's lover, or stealing someone else's love... response:	Stealing someone else's love?
context: Even if I had to tie him up?\Obviously.\In the first place, the world of love is all about being partial and biased.\There's no such thing as fair and unfair, dishonorable and honorable.\Even if you set him up and break his arm, if you're fighting with all your might for yourself...\N-Noble, is it?\Loving someone else's lover, or stealing someone else's love...\Stealing someone else's love? response:	There's only one way to allow such a thing.
context: Obviously.\In the first place, the world of love is all about being partial and biased.\There's no such thing as fair and unfair, dishonorable and honorable.\Even if you set him up and break his arm, if you're fighting with all your might for yourself...\N-Noble, is it?\Loving someone else's lover, or stealing someone else's love...\Stealing someone else's love?\There's only one way to allow such a thing. response:	What is it?
context: In the first place, the world of love is all about being partial and biased.\There's no such thing as fair and unfair, dishonorable and honorable.\Even if you set him up and break his arm, if you're fighting with all your might for yourself...\N-Noble, is it?\Loving someone else's lover, or stealing someone else's love...\Stealing someone else's love?\There's only one way to allow such a thing.\What is it? response:	I won't tell you.
context: There's no such thing as fair and unfair, dishonorable and honorable.\Even if you set him up and break his arm, if you're fighting with all your might for yourself...\N-Noble, is it?\Loving someone else's lover, or stealing someone else's love...\Stealing someone else's love?\There's only one way to allow such a thing.\What is it?\I won't tell you. response:	Think about it yourself.
context: Even if you set him up and break his arm, if you're fighting with all your might for yourself...\N-Noble, is it?\Loving someone else's lover, or stealing someone else's love...\Stealing someone else's love?\There's only one way to allow such a thing.\What is it?\I won't tell you.\Think about it yourself. response:	If you can't figure it out, you don't have the right to do such a thing.
context: N-Noble, is it?\Loving someone else's lover, or stealing someone else's love...\Stealing someone else's love?\There's only one way to allow such a thing.\What is it?\I won't tell you.\Think about it yourself.\If you can't figure it out, you don't have the right to do such a thing. response:	What? I never would've thought you'd be part of the student council, Takeuchi-kun.
context: Loving someone else's lover, or stealing someone else's love...\Stealing someone else's love?\There's only one way to allow such a thing.\What is it?\I won't tell you.\Think about it yourself.\If you can't figure it out, you don't have the right to do such a thing.\What? I never would've thought you'd be part of the student council, Takeuchi-kun. response:	I lost in rock-paper-scissors...
context: Stealing someone else's love?\There's only one way to allow such a thing.\What is it?\I won't tell you.\Think about it yourself.\If you can't figure it out, you don't have the right to do such a thing.\What? I never would've thought you'd be part of the student council, Takeuchi-kun.\I lost in rock-paper-scissors... response:	But... you, too?
context: There's only one way to allow such a thing.\What is it?\I won't tell you.\Think about it yourself.\If you can't figure it out, you don't have the right to do such a thing.\What? I never would've thought you'd be part of the student council, Takeuchi-kun.\I lost in rock-paper-scissors...\But... you, too? response:	Didn't you participate last semester?
context: What is it?\I won't tell you.\Think about it yourself.\If you can't figure it out, you don't have the right to do such a thing.\What? I never would've thought you'd be part of the student council, Takeuchi-kun.\I lost in rock-paper-scissors...\But... you, too?\Didn't you participate last semester? response:	They kinda pushed me into doing it again... It's nothing out of the ordinary, though.
context: I won't tell you.\Think about it yourself.\If you can't figure it out, you don't have the right to do such a thing.\What? I never would've thought you'd be part of the student council, Takeuchi-kun.\I lost in rock-paper-scissors...\But... you, too?\Didn't you participate last semester?\They kinda pushed me into doing it again... It's nothing out of the ordinary, though. response:	Ah, no one's sitting next to me, so why don't you sit here?
context: Think about it yourself.\If you can't figure it out, you don't have the right to do such a thing.\What? I never would've thought you'd be part of the student council, Takeuchi-kun.\I lost in rock-paper-scissors...\But... you, too?\Didn't you participate last semester?\They kinda pushed me into doing it again... It's nothing out of the ordinary, though.\Ah, no one's sitting next to me, so why don't you sit here? response:	Okay.
context: If you can't figure it out, you don't have the right to do such a thing.\What? I never would've thought you'd be part of the student council, Takeuchi-kun.\I lost in rock-paper-scissors...\But... you, too?\Didn't you participate last semester?\They kinda pushed me into doing it again... It's nothing out of the ordinary, though.\Ah, no one's sitting next to me, so why don't you sit here?\Okay. response:	Come to think of it...
context: What? I never would've thought you'd be part of the student council, Takeuchi-kun.\I lost in rock-paper-scissors...\But... you, too?\Didn't you participate last semester?\They kinda pushed me into doing it again... It's nothing out of the ordinary, though.\Ah, no one's sitting next to me, so why don't you sit here?\Okay.\Come to think of it... response:	Since we've never had a class together, sitting next to each other sorta feels mysterious, huh?
context: I lost in rock-paper-scissors...\But... you, too?\Didn't you participate last semester?\They kinda pushed me into doing it again... It's nothing out of the ordinary, though.\Ah, no one's sitting next to me, so why don't you sit here?\Okay.\Come to think of it...\Since we've never had a class together, sitting next to each other sorta feels mysterious, huh? response:	I was just thinking the same thing.
context: But... you, too?\Didn't you participate last semester?\They kinda pushed me into doing it again... It's nothing out of the ordinary, though.\Ah, no one's sitting next to me, so why don't you sit here?\Okay.\Come to think of it...\Since we've never had a class together, sitting next to each other sorta feels mysterious, huh?\I was just thinking the same thing. response:	Reading too much into this coincidence would be weird. I'll talk to him normally.
context: Didn't you participate last semester?\They kinda pushed me into doing it again... It's nothing out of the ordinary, though.\Ah, no one's sitting next to me, so why don't you sit here?\Okay.\Come to think of it...\Since we've never had a class together, sitting next to each other sorta feels mysterious, huh?\I was just thinking the same thing.\Reading too much into this coincidence would be weird. I'll talk to him normally. response:	By the way, how'd things go the other day?
context: They kinda pushed me into doing it again... It's nothing out of the ordinary, though.\Ah, no one's sitting next to me, so why don't you sit here?\Okay.\Come to think of it...\Since we've never had a class together, sitting next to each other sorta feels mysterious, huh?\I was just thinking the same thing.\Reading too much into this coincidence would be weird. I'll talk to him normally.\By the way, how'd things go the other day? response:	How was the hook-up party?
context: Ah, no one's sitting next to me, so why don't you sit here?\Okay.\Come to think of it...\Since we've never had a class together, sitting next to each other sorta feels mysterious, huh?\I was just thinking the same thing.\Reading too much into this coincidence would be weird. I'll talk to him normally.\By the way, how'd things go the other day?\How was the hook-up party? response:	A-Are you all right?
context: Okay.\Come to think of it...\Since we've never had a class together, sitting next to each other sorta feels mysterious, huh?\I was just thinking the same thing.\Reading too much into this coincidence would be weird. I'll talk to him normally.\By the way, how'd things go the other day?\How was the hook-up party?\A-Are you all right? response:	I-It was okay...
context: Come to think of it...\Since we've never had a class together, sitting next to each other sorta feels mysterious, huh?\I was just thinking the same thing.\Reading too much into this coincidence would be weird. I'll talk to him normally.\By the way, how'd things go the other day?\How was the hook-up party?\A-Are you all right?\I-It was okay... response:	Okay?
context: Since we've never had a class together, sitting next to each other sorta feels mysterious, huh?\I was just thinking the same thing.\Reading too much into this coincidence would be weird. I'll talk to him normally.\By the way, how'd things go the other day?\How was the hook-up party?\A-Are you all right?\I-It was okay...\Okay? response:	How about you? I'm glad everything worked out.
context: I was just thinking the same thing.\Reading too much into this coincidence would be weird. I'll talk to him normally.\By the way, how'd things go the other day?\How was the hook-up party?\A-Are you all right?\I-It was okay...\Okay?\How about you? I'm glad everything worked out. response:	Yeah... sorry for causing you so much trouble...
context: Reading too much into this coincidence would be weird. I'll talk to him normally.\By the way, how'd things go the other day?\How was the hook-up party?\A-Are you all right?\I-It was okay...\Okay?\How about you? I'm glad everything worked out.\Yeah... sorry for causing you so much trouble... response:	You know the saying, right? Adversity builds character. No pain, no gain!
context: By the way, how'd things go the other day?\How was the hook-up party?\A-Are you all right?\I-It was okay...\Okay?\How about you? I'm glad everything worked out.\Yeah... sorry for causing you so much trouble...\You know the saying, right? Adversity builds character. No pain, no gain! response:	Yeah. I believe in that, too.
context: How was the hook-up party?\A-Are you all right?\I-It was okay...\Okay?\How about you? I'm glad everything worked out.\Yeah... sorry for causing you so much trouble...\You know the saying, right? Adversity builds character. No pain, no gain!\Yeah. I believe in that, too. response:	Just like you said, I think I was the one obsessing over Nana-san.
context: A-Are you all right?\I-It was okay...\Okay?\How about you? I'm glad everything worked out.\Yeah... sorry for causing you so much trouble...\You know the saying, right? Adversity builds character. No pain, no gain!\Yeah. I believe in that, too.\Just like you said, I think I was the one obsessing over Nana-san. response:	And because of that, Yano had a lot of uneasy feelings.
context: I-It was okay...\Okay?\How about you? I'm glad everything worked out.\Yeah... sorry for causing you so much trouble...\You know the saying, right? Adversity builds character. No pain, no gain!\Yeah. I believe in that, too.\Just like you said, I think I was the one obsessing over Nana-san.\And because of that, Yano had a lot of uneasy feelings. response:	Which is why it's my turn to give it my all.
context: Okay?\How about you? I'm glad everything worked out.\Yeah... sorry for causing you so much trouble...\You know the saying, right? Adversity builds character. No pain, no gain!\Yeah. I believe in that, too.\Just like you said, I think I was the one obsessing over Nana-san.\And because of that, Yano had a lot of uneasy feelings.\Which is why it's my turn to give it my all. response:	You really are best like this...
context: How about you? I'm glad everything worked out.\Yeah... sorry for causing you so much trouble...\You know the saying, right? Adversity builds character. No pain, no gain!\Yeah. I believe in that, too.\Just like you said, I think I was the one obsessing over Nana-san.\And because of that, Yano had a lot of uneasy feelings.\Which is why it's my turn to give it my all.\You really are best like this... response:	You're so like yourself. It's great.
context: Yeah... sorry for causing you so much trouble...\You know the saying, right? Adversity builds character. No pain, no gain!\Yeah. I believe in that, too.\Just like you said, I think I was the one obsessing over Nana-san.\And because of that, Yano had a lot of uneasy feelings.\Which is why it's my turn to give it my all.\You really are best like this...\You're so like yourself. It's great. response:	Give it your all.
context: You know the saying, right? Adversity builds character. No pain, no gain!\Yeah. I believe in that, too.\Just like you said, I think I was the one obsessing over Nana-san.\And because of that, Yano had a lot of uneasy feelings.\Which is why it's my turn to give it my all.\You really are best like this...\You're so like yourself. It's great.\Give it your all. response:	Give it your all.
context: Yeah. I believe in that, too.\Just like you said, I think I was the one obsessing over Nana-san.\And because of that, Yano had a lot of uneasy feelings.\Which is why it's my turn to give it my all.\You really are best like this...\You're so like yourself. It's great.\Give it your all.\Give it your all. response:	Yano! Let's go already.
context: Just like you said, I think I was the one obsessing over Nana-san.\And because of that, Yano had a lot of uneasy feelings.\Which is why it's my turn to give it my all.\You really are best like this...\You're so like yourself. It's great.\Give it your all.\Give it your all.\Yano! Let's go already. response:	Sorry, guys. Gotta run.
context: And because of that, Yano had a lot of uneasy feelings.\Which is why it's my turn to give it my all.\You really are best like this...\You're so like yourself. It's great.\Give it your all.\Give it your all.\Yano! Let's go already.\Sorry, guys. Gotta run. response:	I love his smiling face.
context: Which is why it's my turn to give it my all.\You really are best like this...\You're so like yourself. It's great.\Give it your all.\Give it your all.\Yano! Let's go already.\Sorry, guys. Gotta run.\I love his smiling face. response:	No matter what happens, I want him to keep smiling.
context: You really are best like this...\You're so like yourself. It's great.\Give it your all.\Give it your all.\Yano! Let's go already.\Sorry, guys. Gotta run.\I love his smiling face.\No matter what happens, I want him to keep smiling. response:	And I want to make him smile.
context: You're so like yourself. It's great.\Give it your all.\Give it your all.\Yano! Let's go already.\Sorry, guys. Gotta run.\I love his smiling face.\No matter what happens, I want him to keep smiling.\And I want to make him smile. response:	Because it's what keeps me so full of spirit.
context: Give it your all.\Give it your all.\Yano! Let's go already.\Sorry, guys. Gotta run.\I love his smiling face.\No matter what happens, I want him to keep smiling.\And I want to make him smile.\Because it's what keeps me so full of spirit. response:	What I said wasn't a lie, but...
context: Give it your all.\Yano! Let's go already.\Sorry, guys. Gotta run.\I love his smiling face.\No matter what happens, I want him to keep smiling.\And I want to make him smile.\Because it's what keeps me so full of spirit.\What I said wasn't a lie, but... response:	At the very least...
context: Yano! Let's go already.\Sorry, guys. Gotta run.\I love his smiling face.\No matter what happens, I want him to keep smiling.\And I want to make him smile.\Because it's what keeps me so full of spirit.\What I said wasn't a lie, but...\At the very least... response:	If it was really for me...
context: Sorry, guys. Gotta run.\I love his smiling face.\No matter what happens, I want him to keep smiling.\And I want to make him smile.\Because it's what keeps me so full of spirit.\What I said wasn't a lie, but...\At the very least...\If it was really for me... response:	Morning!
context: I love his smiling face.\No matter what happens, I want him to keep smiling.\And I want to make him smile.\Because it's what keeps me so full of spirit.\What I said wasn't a lie, but...\At the very least...\If it was really for me...\Morning! response:	Did you prepare for your presentation?
context: No matter what happens, I want him to keep smiling.\And I want to make him smile.\Because it's what keeps me so full of spirit.\What I said wasn't a lie, but...\At the very least...\If it was really for me...\Morning!\Did you prepare for your presentation? response:	I'm all set!
context: And I want to make him smile.\Because it's what keeps me so full of spirit.\What I said wasn't a lie, but...\At the very least...\If it was really for me...\Morning!\Did you prepare for your presentation?\I'm all set! response:	I got a haircut!
context: Because it's what keeps me so full of spirit.\What I said wasn't a lie, but...\At the very least...\If it was really for me...\Morning!\Did you prepare for your presentation?\I'm all set!\I got a haircut! response:	I just don't know what you're thinking sometimes.
context: What I said wasn't a lie, but...\At the very least...\If it was really for me...\Morning!\Did you prepare for your presentation?\I'm all set!\I got a haircut!\I just don't know what you're thinking sometimes. response:	Who knows?
context: At the very least...\If it was really for me...\Morning!\Did you prepare for your presentation?\I'm all set!\I got a haircut!\I just don't know what you're thinking sometimes.\Who knows? response:	Quit joking around.
context: If it was really for me...\Morning!\Did you prepare for your presentation?\I'm all set!\I got a haircut!\I just don't know what you're thinking sometimes.\Who knows?\Quit joking around. response:	She got contacts...?
context: Morning!\Did you prepare for your presentation?\I'm all set!\I got a haircut!\I just don't know what you're thinking sometimes.\Who knows?\Quit joking around.\She got contacts...? response:	What's gotten into her?
context: Did you prepare for your presentation?\I'm all set!\I got a haircut!\I just don't know what you're thinking sometimes.\Who knows?\Quit joking around.\She got contacts...?\What's gotten into her? response:	I guess not all girls are babes when they get rid of their glasses like in comics...
