context: Let's go to the beach sometime. response:	The sound of
context: Is it tingly?\What?\The sound of the waves.\It feels a bit different from before.\I don't know that I've ever come at this time of day.\This is for you.\Glass beads.\They match. response:	Thanks.
context: What?\The sound of the waves.\It feels a bit different from before.\I don't know that I've ever come at this time of day.\This is for you.\Glass beads.\They match.\Thanks. response:	There's something that's been bothering me.
context: The sound of the waves.\It feels a bit different from before.\I don't know that I've ever come at this time of day.\This is for you.\Glass beads.\They match.\Thanks.\There's something that's been bothering me. response:	You said I would fall.
context: It feels a bit different from before.\I don't know that I've ever come at this time of day.\This is for you.\Glass beads.\They match.\Thanks.\There's something that's been bothering me.\You said I would fall. response:	I did. Don't ever go anywhere high!
context: I don't know that I've ever come at this time of day.\This is for you.\Glass beads.\They match.\Thanks.\There's something that's been bothering me.\You said I would fall.\I did. Don't ever go anywhere high! response:	Do you really think that's possible?
context: This is for you.\Glass beads.\They match.\Thanks.\There's something that's been bothering me.\You said I would fall.\I did. Don't ever go anywhere high!\Do you really think that's possible? response:	To put it bluntly,
context: Glass beads.\They match.\Thanks.\There's something that's been bothering me.\You said I would fall.\I did. Don't ever go anywhere high!\Do you really think that's possible?\To put it bluntly, response:	I can never
context: They match.\Thanks.\There's something that's been bothering me.\You said I would fall.\I did. Don't ever go anywhere high!\Do you really think that's possible?\To put it bluntly,\I can never response:	go anywhere I might fall from.
context: Thanks.\There's something that's been bothering me.\You said I would fall.\I did. Don't ever go anywhere high!\Do you really think that's possible?\To put it bluntly,\I can never\go anywhere I might fall from. response:	That's impossible.
context: There's something that's been bothering me.\You said I would fall.\I did. Don't ever go anywhere high!\Do you really think that's possible?\To put it bluntly,\I can never\go anywhere I might fall from.\That's impossible. response:	Then what can we do?
context: You said I would fall.\I did. Don't ever go anywhere high!\Do you really think that's possible?\To put it bluntly,\I can never\go anywhere I might fall from.\That's impossible.\Then what can we do? response:	Are they really fragments of the future?
context: I did. Don't ever go anywhere high!\Do you really think that's possible?\To put it bluntly,\I can never\go anywhere I might fall from.\That's impossible.\Then what can we do?\Are they really fragments of the future? response:	But
context: Do you really think that's possible?\To put it bluntly,\I can never\go anywhere I might fall from.\That's impossible.\Then what can we do?\Are they really fragments of the future?\But response:	But you're the one that told me so.
context: To put it bluntly,\I can never\go anywhere I might fall from.\That's impossible.\Then what can we do?\Are they really fragments of the future?\But\But you're the one that told me so. response:	We should think it over a bit more carefully.
context: I can never\go anywhere I might fall from.\That's impossible.\Then what can we do?\Are they really fragments of the future?\But\But you're the one that told me so.\We should think it over a bit more carefully. response:	I'm going to go buy juice!
context: go anywhere I might fall from.\That's impossible.\Then what can we do?\Are they really fragments of the future?\But\But you're the one that told me so.\We should think it over a bit more carefully.\I'm going to go buy juice! response:	Kakeru-kun, what would you like?
context: That's impossible.\Then what can we do?\Are they really fragments of the future?\But\But you're the one that told me so.\We should think it over a bit more carefully.\I'm going to go buy juice!\Kakeru-kun, what would you like? response:	I'll have water.
context: Then what can we do?\Are they really fragments of the future?\But\But you're the one that told me so.\We should think it over a bit more carefully.\I'm going to go buy juice!\Kakeru-kun, what would you like?\I'll have water. response:	As a kid, I used to wonder why grown-ups pay
context: Are they really fragments of the future?\But\But you're the one that told me so.\We should think it over a bit more carefully.\I'm going to go buy juice!\Kakeru-kun, what would you like?\I'll have water.\As a kid, I used to wonder why grown-ups pay response:	money to buy water and tea from vending machines.
context: But\But you're the one that told me so.\We should think it over a bit more carefully.\I'm going to go buy juice!\Kakeru-kun, what would you like?\I'll have water.\As a kid, I used to wonder why grown-ups pay\money to buy water and tea from vending machines. response:	There's Halpis Water right next to it.
context: But you're the one that told me so.\We should think it over a bit more carefully.\I'm going to go buy juice!\Kakeru-kun, what would you like?\I'll have water.\As a kid, I used to wonder why grown-ups pay\money to buy water and tea from vending machines.\There's Halpis Water right next to it. response:	Oh, so you were invited, too.
context: We should think it over a bit more carefully.\I'm going to go buy juice!\Kakeru-kun, what would you like?\I'll have water.\As a kid, I used to wonder why grown-ups pay\money to buy water and tea from vending machines.\There's Halpis Water right next to it.\Oh, so you were invited, too. response:	Isn't Touko with you?
context: I'm going to go buy juice!\Kakeru-kun, what would you like?\I'll have water.\As a kid, I used to wonder why grown-ups pay\money to buy water and tea from vending machines.\There's Halpis Water right next to it.\Oh, so you were invited, too.\Isn't Touko with you? response:	She went to get something to drink.
context: Kakeru-kun, what would you like?\I'll have water.\As a kid, I used to wonder why grown-ups pay\money to buy water and tea from vending machines.\There's Halpis Water right next to it.\Oh, so you were invited, too.\Isn't Touko with you?\She went to get something to drink. response:	Oh. Now's a good time to tell you, then.
context: I'll have water.\As a kid, I used to wonder why grown-ups pay\money to buy water and tea from vending machines.\There's Halpis Water right next to it.\Oh, so you were invited, too.\Isn't Touko with you?\She went to get something to drink.\Oh. Now's a good time to tell you, then. response:	It's your fault Yuki isn't attractive anymore.
context: As a kid, I used to wonder why grown-ups pay\money to buy water and tea from vending machines.\There's Halpis Water right next to it.\Oh, so you were invited, too.\Isn't Touko with you?\She went to get something to drink.\Oh. Now's a good time to tell you, then.\It's your fault Yuki isn't attractive anymore. response:	Sorry to interrupt.
context: money to buy water and tea from vending machines.\There's Halpis Water right next to it.\Oh, so you were invited, too.\Isn't Touko with you?\She went to get something to drink.\Oh. Now's a good time to tell you, then.\It's your fault Yuki isn't attractive anymore.\Sorry to interrupt. response:	I'll be going.
context: There's Halpis Water right next to it.\Oh, so you were invited, too.\Isn't Touko with you?\She went to get something to drink.\Oh. Now's a good time to tell you, then.\It's your fault Yuki isn't attractive anymore.\Sorry to interrupt.\I'll be going. response:	Hey.
context: Oh, so you were invited, too.\Isn't Touko with you?\She went to get something to drink.\Oh. Now's a good time to tell you, then.\It's your fault Yuki isn't attractive anymore.\Sorry to interrupt.\I'll be going.\Hey. response:	You're a cute couple.
context: Isn't Touko with you?\She went to get something to drink.\Oh. Now's a good time to tell you, then.\It's your fault Yuki isn't attractive anymore.\Sorry to interrupt.\I'll be going.\Hey.\You're a cute couple. response:	No!
context: She went to get something to drink.\Oh. Now's a good time to tell you, then.\It's your fault Yuki isn't attractive anymore.\Sorry to interrupt.\I'll be going.\Hey.\You're a cute couple.\No! response:	No!
context: Oh. Now's a good time to tell you, then.\It's your fault Yuki isn't attractive anymore.\Sorry to interrupt.\I'll be going.\Hey.\You're a cute couple.\No!\No! response:	Touko!
context: It's your fault Yuki isn't attractive anymore.\Sorry to interrupt.\I'll be going.\Hey.\You're a cute couple.\No!\No!\Touko! response:	No!
context: Sorry to interrupt.\I'll be going.\Hey.\You're a cute couple.\No!\No!\Touko!\No! response:	No!
context: I'll be going.\Hey.\You're a cute couple.\No!\No!\Touko!\No!\No! response:	I'm going to get a proper explanation.
context: Hey.\You're a cute couple.\No!\No!\Touko!\No!\No!\I'm going to get a proper explanation. response:	I think I won't ask.
context: You're a cute couple.\No!\No!\Touko!\No!\No!\I'm going to get a proper explanation.\I think I won't ask. response:	Touko, what's wrong? What did you see?
context: No!\No!\Touko!\No!\No!\I'm going to get a proper explanation.\I think I won't ask.\Touko, what's wrong? What did you see? response:	I think I want to visit Jonathan.
context: No!\Touko!\No!\No!\I'm going to get a proper explanation.\I think I won't ask.\Touko, what's wrong? What did you see?\I think I want to visit Jonathan. response:	Episode 8 Snow
