context: Haru, stop! response:	Final Episode
context: Good morning.\G-Good morning.\I look forward to being in class with you again.\Yeah.\Me, too.\Haru, maybe I haven't changed much after all.\I have two transfer students to\introduce to you today, but one of them must be late. response:	Could you go ahead and introduce yourself?
context: G-Good morning.\I look forward to being in class with you again.\Yeah.\Me, too.\Haru, maybe I haven't changed much after all.\I have two transfer students to\introduce to you today, but one of them must be late.\Could you go ahead and introduce yourself? response:	My name is Urara.
context: I look forward to being in class with you again.\Yeah.\Me, too.\Haru, maybe I haven't changed much after all.\I have two transfer students to\introduce to you today, but one of them must be late.\Could you go ahead and introduce yourself?\My name is Urara. response:	I am an alien.
context: Yeah.\Me, too.\Haru, maybe I haven't changed much after all.\I have two transfer students to\introduce to you today, but one of them must be late.\Could you go ahead and introduce yourself?\My name is Urara.\I am an alien. response:	What?
context: Me, too.\Haru, maybe I haven't changed much after all.\I have two transfer students to\introduce to you today, but one of them must be late.\Could you go ahead and introduce yourself?\My name is Urara.\I am an alien.\What? response:	It's him!
context: Haru, maybe I haven't changed much after all.\I have two transfer students to\introduce to you today, but one of them must be late.\Could you go ahead and introduce yourself?\My name is Urara.\I am an alien.\What?\It's him! response:	Huh?
context: I have two transfer students to\introduce to you today, but one of them must be late.\Could you go ahead and introduce yourself?\My name is Urara.\I am an alien.\What?\It's him!\Huh? response:	There.
context: introduce to you today, but one of them must be late.\Could you go ahead and introduce yourself?\My name is Urara.\I am an alien.\What?\It's him!\Huh?\There. response:	No one's surprised?
context: Could you go ahead and introduce yourself?\My name is Urara.\I am an alien.\What?\It's him!\Huh?\There.\No one's surprised? response:	Fidget, fidget. Fidget, fidget.
context: My name is Urara.\I am an alien.\What?\It's him!\Huh?\There.\No one's surprised?\Fidget, fidget. Fidget, fidget. response:	Uh, hey.
context: I am an alien.\What?\It's him!\Huh?\There.\No one's surprised?\Fidget, fidget. Fidget, fidget.\Uh, hey. response:	Yes?
context: What?\It's him!\Huh?\There.\No one's surprised?\Fidget, fidget. Fidget, fidget.\Uh, hey.\Yes? response:	Do you want to go fishing sometime?
context: It's him!\Huh?\There.\No one's surprised?\Fidget, fidget. Fidget, fidget.\Uh, hey.\Yes?\Do you want to go fishing sometime? response:	Maybe I have...
context: Huh?\There.\No one's surprised?\Fidget, fidget. Fidget, fidget.\Uh, hey.\Yes?\Do you want to go fishing sometime?\Maybe I have... response:	Yes.
context: There.\No one's surprised?\Fidget, fidget. Fidget, fidget.\Uh, hey.\Yes?\Do you want to go fishing sometime?\Maybe I have...\Yes. response:	changed a little.
context: No one's surprised?\Fidget, fidget. Fidget, fidget.\Uh, hey.\Yes?\Do you want to go fishing sometime?\Maybe I have...\Yes.\changed a little. response:	Rattle, rattle!
context: Fidget, fidget. Fidget, fidget.\Uh, hey.\Yes?\Do you want to go fishing sometime?\Maybe I have...\Yes.\changed a little.\Rattle, rattle! response:	Huh?
context: Uh, hey.\Yes?\Do you want to go fishing sometime?\Maybe I have...\Yes.\changed a little.\Rattle, rattle!\Huh? response:	Haru!
context: Yes?\Do you want to go fishing sometime?\Maybe I have...\Yes.\changed a little.\Rattle, rattle!\Huh?\Haru! response:	Why?
context: Do you want to go fishing sometime?\Maybe I have...\Yes.\changed a little.\Rattle, rattle!\Huh?\Haru!\Why? response:	Boi-oi-oing.
context: Maybe I have...\Yes.\changed a little.\Rattle, rattle!\Huh?\Haru!\Why?\Boi-oi-oing. response:	I'm Haru.
context: Yes.\changed a little.\Rattle, rattle!\Huh?\Haru!\Why?\Boi-oi-oing.\I'm Haru. response:	The alien!
context: changed a little.\Rattle, rattle!\Huh?\Haru!\Why?\Boi-oi-oing.\I'm Haru.\The alien! response:	Sorry, sorry.
context: Rattle, rattle!\Huh?\Haru!\Why?\Boi-oi-oing.\I'm Haru.\The alien!\Sorry, sorry. response:	Always with a smile.
context: Huh?\Haru!\Why?\Boi-oi-oing.\I'm Haru.\The alien!\Sorry, sorry.\Always with a smile. response:	Always holding your head high.
context: Haru!\Why?\Boi-oi-oing.\I'm Haru.\The alien!\Sorry, sorry.\Always with a smile.\Always holding your head high. response:	Thanks for watching!
context: Why?\Boi-oi-oing.\I'm Haru.\The alien!\Sorry, sorry.\Always with a smile.\Always holding your head high.\Thanks for watching! response:	The End
