context: Wh-What... What have you done? response:	King! Foolish king!
context: Brother.\Yup.\Now, then...\Let's do this.\I Humanity\Hello, everyone!\You're nervous, Brother.\Shut up. We're both scared to death of crowds. response:	Normally, I'm just holding it in.
context: Yup.\Now, then...\Let's do this.\I Humanity\Hello, everyone!\You're nervous, Brother.\Shut up. We're both scared to death of crowds.\Normally, I'm just holding it in. response:	My beloved citizens...
context: Now, then...\Let's do this.\I Humanity\Hello, everyone!\You're nervous, Brother.\Shut up. We're both scared to death of crowds.\Normally, I'm just holding it in.\My beloved citizens... response:	No, my fellow Imanity.
context: Let's do this.\I Humanity\Hello, everyone!\You're nervous, Brother.\Shut up. We're both scared to death of crowds.\Normally, I'm just holding it in.\My beloved citizens...\No, my fellow Imanity. response:	We Imanity live in a world where war is forbidden
context: I Humanity\Hello, everyone!\You're nervous, Brother.\Shut up. We're both scared to death of crowds.\Normally, I'm just holding it in.\My beloved citizens...\No, my fellow Imanity.\We Imanity live in a world where war is forbidden response:	by the ten pledges, yet we've lost again and again,
context: Hello, everyone!\You're nervous, Brother.\Shut up. We're both scared to death of crowds.\Normally, I'm just holding it in.\My beloved citizens...\No, my fellow Imanity.\We Imanity live in a world where war is forbidden\by the ten pledges, yet we've lost again and again, response:	and now all we have left is Elkia, our last city.
context: You're nervous, Brother.\Shut up. We're both scared to death of crowds.\Normally, I'm just holding it in.\My beloved citizens...\No, my fellow Imanity.\We Imanity live in a world where war is forbidden\by the ten pledges, yet we've lost again and again,\and now all we have left is Elkia, our last city. response:	So I ask you now: Why is this?
context: Shut up. We're both scared to death of crowds.\Normally, I'm just holding it in.\My beloved citizens...\No, my fellow Imanity.\We Imanity live in a world where war is forbidden\by the ten pledges, yet we've lost again and again,\and now all we have left is Elkia, our last city.\So I ask you now: Why is this? response:	Is it because the last king failed?
context: Normally, I'm just holding it in.\My beloved citizens...\No, my fellow Imanity.\We Imanity live in a world where war is forbidden\by the ten pledges, yet we've lost again and again,\and now all we have left is Elkia, our last city.\So I ask you now: Why is this?\Is it because the last king failed? response:	Because we are the lowest ranked race?
context: My beloved citizens...\No, my fellow Imanity.\We Imanity live in a world where war is forbidden\by the ten pledges, yet we've lost again and again,\and now all we have left is Elkia, our last city.\So I ask you now: Why is this?\Is it because the last king failed?\Because we are the lowest ranked race? response:	Because we can't use magic?
context: No, my fellow Imanity.\We Imanity live in a world where war is forbidden\by the ten pledges, yet we've lost again and again,\and now all we have left is Elkia, our last city.\So I ask you now: Why is this?\Is it because the last king failed?\Because we are the lowest ranked race?\Because we can't use magic? response:	Because we are fated to die, helpless?
context: We Imanity live in a world where war is forbidden\by the ten pledges, yet we've lost again and again,\and now all we have left is Elkia, our last city.\So I ask you now: Why is this?\Is it because the last king failed?\Because we are the lowest ranked race?\Because we can't use magic?\Because we are fated to die, helpless? response:	No!
context: by the ten pledges, yet we've lost again and again,\and now all we have left is Elkia, our last city.\So I ask you now: Why is this?\Is it because the last king failed?\Because we are the lowest ranked race?\Because we can't use magic?\Because we are fated to die, helpless?\No! response:	In the ancient war, the gods,
context: and now all we have left is Elkia, our last city.\So I ask you now: Why is this?\Is it because the last king failed?\Because we are the lowest ranked race?\Because we can't use magic?\Because we are fated to die, helpless?\No!\In the ancient war, the gods, response:	the elves, the warbeasts, all the races fought,
context: So I ask you now: Why is this?\Is it because the last king failed?\Because we are the lowest ranked race?\Because we can't use magic?\Because we are fated to die, helpless?\No!\In the ancient war, the gods,\the elves, the warbeasts, all the races fought, response:	and we fought among them and survived!
context: Is it because the last king failed?\Because we are the lowest ranked race?\Because we can't use magic?\Because we are fated to die, helpless?\No!\In the ancient war, the gods,\the elves, the warbeasts, all the races fought,\and we fought among them and survived! response:	Why is it that this whole continent was once ruled by humans?
context: Because we are the lowest ranked race?\Because we can't use magic?\Because we are fated to die, helpless?\No!\In the ancient war, the gods,\the elves, the warbeasts, all the races fought,\and we fought among them and survived!\Why is it that this whole continent was once ruled by humans? response:	Is it because we are a race that specializes in violence?
context: Because we can't use magic?\Because we are fated to die, helpless?\No!\In the ancient war, the gods,\the elves, the warbeasts, all the races fought,\and we fought among them and survived!\Why is it that this whole continent was once ruled by humans?\Is it because we are a race that specializes in violence? response:	We can't use magic like the elves,
context: Because we are fated to die, helpless?\No!\In the ancient war, the gods,\the elves, the warbeasts, all the races fought,\and we fought among them and survived!\Why is it that this whole continent was once ruled by humans?\Is it because we are a race that specializes in violence?\We can't use magic like the elves, response:	nor are we physically strong like the warbeasts,
context: No!\In the ancient war, the gods,\the elves, the warbeasts, all the races fought,\and we fought among them and survived!\Why is it that this whole continent was once ruled by humans?\Is it because we are a race that specializes in violence?\We can't use magic like the elves,\nor are we physically strong like the warbeasts, response:	nor do we have the longevity of the Flugel.
context: In the ancient war, the gods,\the elves, the warbeasts, all the races fought,\and we fought among them and survived!\Why is it that this whole continent was once ruled by humans?\Is it because we are a race that specializes in violence?\We can't use magic like the elves,\nor are we physically strong like the warbeasts,\nor do we have the longevity of the Flugel. response:	Why were we able to rule the continent?
context: the elves, the warbeasts, all the races fought,\and we fought among them and survived!\Why is it that this whole continent was once ruled by humans?\Is it because we are a race that specializes in violence?\We can't use magic like the elves,\nor are we physically strong like the warbeasts,\nor do we have the longevity of the Flugel.\Why were we able to rule the continent? response:	Is it because we were masters of war?
context: and we fought among them and survived!\Why is it that this whole continent was once ruled by humans?\Is it because we are a race that specializes in violence?\We can't use magic like the elves,\nor are we physically strong like the warbeasts,\nor do we have the longevity of the Flugel.\Why were we able to rule the continent?\Is it because we were masters of war? response:	I tell you it is not!
context: Why is it that this whole continent was once ruled by humans?\Is it because we are a race that specializes in violence?\We can't use magic like the elves,\nor are we physically strong like the warbeasts,\nor do we have the longevity of the Flugel.\Why were we able to rule the continent?\Is it because we were masters of war?\I tell you it is not! response:	We fought and survived
context: Is it because we are a race that specializes in violence?\We can't use magic like the elves,\nor are we physically strong like the warbeasts,\nor do we have the longevity of the Flugel.\Why were we able to rule the continent?\Is it because we were masters of war?\I tell you it is not!\We fought and survived response:	because we are weak!
context: We can't use magic like the elves,\nor are we physically strong like the warbeasts,\nor do we have the longevity of the Flugel.\Why were we able to rule the continent?\Is it because we were masters of war?\I tell you it is not!\We fought and survived\because we are weak! response:	In every time, in every world,
context: nor are we physically strong like the warbeasts,\nor do we have the longevity of the Flugel.\Why were we able to rule the continent?\Is it because we were masters of war?\I tell you it is not!\We fought and survived\because we are weak!\In every time, in every world, response:	the strong polish their fangs while the weak polish their wisdom.
context: nor do we have the longevity of the Flugel.\Why were we able to rule the continent?\Is it because we were masters of war?\I tell you it is not!\We fought and survived\because we are weak!\In every time, in every world,\the strong polish their fangs while the weak polish their wisdom. response:	Why are we in such danger now?
context: Why were we able to rule the continent?\Is it because we were masters of war?\I tell you it is not!\We fought and survived\because we are weak!\In every time, in every world,\the strong polish their fangs while the weak polish their wisdom.\Why are we in such danger now? response:	Because the ten pledges have broken the fangs of the strong,
context: Is it because we were masters of war?\I tell you it is not!\We fought and survived\because we are weak!\In every time, in every world,\the strong polish their fangs while the weak polish their wisdom.\Why are we in such danger now?\Because the ten pledges have broken the fangs of the strong, response:	and they have learned to polish their wisdom.
context: I tell you it is not!\We fought and survived\because we are weak!\In every time, in every world,\the strong polish their fangs while the weak polish their wisdom.\Why are we in such danger now?\Because the ten pledges have broken the fangs of the strong,\and they have learned to polish their wisdom. response:	The wisdom and strategies that we, the weak, once monopolized...
context: We fought and survived\because we are weak!\In every time, in every world,\the strong polish their fangs while the weak polish their wisdom.\Why are we in such danger now?\Because the ten pledges have broken the fangs of the strong,\and they have learned to polish their wisdom.\The wisdom and strategies that we, the weak, once monopolized... response:	The power to survive...
context: because we are weak!\In every time, in every world,\the strong polish their fangs while the weak polish their wisdom.\Why are we in such danger now?\Because the ten pledges have broken the fangs of the strong,\and they have learned to polish their wisdom.\The wisdom and strategies that we, the weak, once monopolized...\The power to survive... response:	The strong have gained them all!
context: In every time, in every world,\the strong polish their fangs while the weak polish their wisdom.\Why are we in such danger now?\Because the ten pledges have broken the fangs of the strong,\and they have learned to polish their wisdom.\The wisdom and strategies that we, the weak, once monopolized...\The power to survive...\The strong have gained them all! response:	And that brought us to this state!
context: the strong polish their fangs while the weak polish their wisdom.\Why are we in such danger now?\Because the ten pledges have broken the fangs of the strong,\and they have learned to polish their wisdom.\The wisdom and strategies that we, the weak, once monopolized...\The power to survive...\The strong have gained them all!\And that brought us to this state! response:	Answer me this, everyone!
context: Why are we in such danger now?\Because the ten pledges have broken the fangs of the strong,\and they have learned to polish their wisdom.\The wisdom and strategies that we, the weak, once monopolized...\The power to survive...\The strong have gained them all!\And that brought us to this state!\Answer me this, everyone! response:	Why do you bow your heads?
context: Because the ten pledges have broken the fangs of the strong,\and they have learned to polish their wisdom.\The wisdom and strategies that we, the weak, once monopolized...\The power to survive...\The strong have gained them all!\And that brought us to this state!\Answer me this, everyone!\Why do you bow your heads? response:	I repeat, why do you bow your heads?
context: and they have learned to polish their wisdom.\The wisdom and strategies that we, the weak, once monopolized...\The power to survive...\The strong have gained them all!\And that brought us to this state!\Answer me this, everyone!\Why do you bow your heads?\I repeat, why do you bow your heads? response:	We are the weak!
context: The wisdom and strategies that we, the weak, once monopolized...\The power to survive...\The strong have gained them all!\And that brought us to this state!\Answer me this, everyone!\Why do you bow your heads?\I repeat, why do you bow your heads?\We are the weak! response:	We are the weak, just as we have always been!
context: The power to survive...\The strong have gained them all!\And that brought us to this state!\Answer me this, everyone!\Why do you bow your heads?\I repeat, why do you bow your heads?\We are the weak!\We are the weak, just as we have always been! response:	Yes, nothing has changed at all!
context: The strong have gained them all!\And that brought us to this state!\Answer me this, everyone!\Why do you bow your heads?\I repeat, why do you bow your heads?\We are the weak!\We are the weak, just as we have always been!\Yes, nothing has changed at all! response:	The strong may imitate our weapons,
context: And that brought us to this state!\Answer me this, everyone!\Why do you bow your heads?\I repeat, why do you bow your heads?\We are the weak!\We are the weak, just as we have always been!\Yes, nothing has changed at all!\The strong may imitate our weapons, response:	but they will never master them!
context: Answer me this, everyone!\Why do you bow your heads?\I repeat, why do you bow your heads?\We are the weak!\We are the weak, just as we have always been!\Yes, nothing has changed at all!\The strong may imitate our weapons,\but they will never master them! response:	Because at the heart of our weapons lies
context: Why do you bow your heads?\I repeat, why do you bow your heads?\We are the weak!\We are the weak, just as we have always been!\Yes, nothing has changed at all!\The strong may imitate our weapons,\but they will never master them!\Because at the heart of our weapons lies response:	a cowardice born of almost humiliating weakness.
context: I repeat, why do you bow your heads?\We are the weak!\We are the weak, just as we have always been!\Yes, nothing has changed at all!\The strong may imitate our weapons,\but they will never master them!\Because at the heart of our weapons lies\a cowardice born of almost humiliating weakness. response:	This cowardice has given us the wisdom to escape from magic.
context: We are the weak!\We are the weak, just as we have always been!\Yes, nothing has changed at all!\The strong may imitate our weapons,\but they will never master them!\Because at the heart of our weapons lies\a cowardice born of almost humiliating weakness.\This cowardice has given us the wisdom to escape from magic. response:	This cowardice has given us the wisdom, born from learning
context: We are the weak, just as we have always been!\Yes, nothing has changed at all!\The strong may imitate our weapons,\but they will never master them!\Because at the heart of our weapons lies\a cowardice born of almost humiliating weakness.\This cowardice has given us the wisdom to escape from magic.\This cowardice has given us the wisdom, born from learning response:	and experience, to predict the future itself!
context: Yes, nothing has changed at all!\The strong may imitate our weapons,\but they will never master them!\Because at the heart of our weapons lies\a cowardice born of almost humiliating weakness.\This cowardice has given us the wisdom to escape from magic.\This cowardice has given us the wisdom, born from learning\and experience, to predict the future itself! response:	I say a third time.
context: The strong may imitate our weapons,\but they will never master them!\Because at the heart of our weapons lies\a cowardice born of almost humiliating weakness.\This cowardice has given us the wisdom to escape from magic.\This cowardice has given us the wisdom, born from learning\and experience, to predict the future itself!\I say a third time. response:	We are the weak!
context: but they will never master them!\Because at the heart of our weapons lies\a cowardice born of almost humiliating weakness.\This cowardice has given us the wisdom to escape from magic.\This cowardice has given us the wisdom, born from learning\and experience, to predict the future itself!\I say a third time.\We are the weak! response:	We are the proud weak who have, throughout history,
context: Because at the heart of our weapons lies\a cowardice born of almost humiliating weakness.\This cowardice has given us the wisdom to escape from magic.\This cowardice has given us the wisdom, born from learning\and experience, to predict the future itself!\I say a third time.\We are the weak!\We are the proud weak who have, throughout history, response:	torn out the throats of those who sit back and boast of their strength!
context: a cowardice born of almost humiliating weakness.\This cowardice has given us the wisdom to escape from magic.\This cowardice has given us the wisdom, born from learning\and experience, to predict the future itself!\I say a third time.\We are the weak!\We are the proud weak who have, throughout history,\torn out the throats of those who sit back and boast of their strength! response:	We declare now that we, as Elkia's 205th king...
context: This cowardice has given us the wisdom to escape from magic.\This cowardice has given us the wisdom, born from learning\and experience, to predict the future itself!\I say a third time.\We are the weak!\We are the proud weak who have, throughout history,\torn out the throats of those who sit back and boast of their strength!\We declare now that we, as Elkia's 205th king... response:	And queen...
context: This cowardice has given us the wisdom, born from learning\and experience, to predict the future itself!\I say a third time.\We are the weak!\We are the proud weak who have, throughout history,\torn out the throats of those who sit back and boast of their strength!\We declare now that we, as Elkia's 205th king...\And queen... response:	That's the piece
context: and experience, to predict the future itself!\I say a third time.\We are the weak!\We are the proud weak who have, throughout history,\torn out the throats of those who sit back and boast of their strength!\We declare now that we, as Elkia's 205th king...\And queen...\That's the piece response:	given to a race's representative to stand for everything that race is...
context: I say a third time.\We are the weak!\We are the proud weak who have, throughout history,\torn out the throats of those who sit back and boast of their strength!\We declare now that we, as Elkia's 205th king...\And queen...\That's the piece\given to a race's representative to stand for everything that race is... response:	the Race Piece.
context: We are the weak!\We are the proud weak who have, throughout history,\torn out the throats of those who sit back and boast of their strength!\We declare now that we, as Elkia's 205th king...\And queen...\That's the piece\given to a race's representative to stand for everything that race is...\the Race Piece. response:	We hereby declare that we will live as the weak,
context: We are the proud weak who have, throughout history,\torn out the throats of those who sit back and boast of their strength!\We declare now that we, as Elkia's 205th king...\And queen...\That's the piece\given to a race's representative to stand for everything that race is...\the Race Piece.\We hereby declare that we will live as the weak, response:	fight as the weak,
context: torn out the throats of those who sit back and boast of their strength!\We declare now that we, as Elkia's 205th king...\And queen...\That's the piece\given to a race's representative to stand for everything that race is...\the Race Piece.\We hereby declare that we will live as the weak,\fight as the weak, response:	and as the weak, we will destroy the strong!
context: We declare now that we, as Elkia's 205th king...\And queen...\That's the piece\given to a race's representative to stand for everything that race is...\the Race Piece.\We hereby declare that we will live as the weak,\fight as the weak,\and as the weak, we will destroy the strong! response:	As we once were, and as we will always be.
context: And queen...\That's the piece\given to a race's representative to stand for everything that race is...\the Race Piece.\We hereby declare that we will live as the weak,\fight as the weak,\and as the weak, we will destroy the strong!\As we once were, and as we will always be. response:	Accept the fact that we are the weakest race.
context: That's the piece\given to a race's representative to stand for everything that race is...\the Race Piece.\We hereby declare that we will live as the weak,\fight as the weak,\and as the weak, we will destroy the strong!\As we once were, and as we will always be.\Accept the fact that we are the weakest race. response:	Accept that we are the weakest race,
context: given to a race's representative to stand for everything that race is...\the Race Piece.\We hereby declare that we will live as the weak,\fight as the weak,\and as the weak, we will destroy the strong!\As we once were, and as we will always be.\Accept the fact that we are the weakest race.\Accept that we are the weakest race, response:	one that can become anything
context: the Race Piece.\We hereby declare that we will live as the weak,\fight as the weak,\and as the weak, we will destroy the strong!\As we once were, and as we will always be.\Accept the fact that we are the weakest race.\Accept that we are the weakest race,\one that can become anything response:	because we were born with nothing!
context: We hereby declare that we will live as the weak,\fight as the weak,\and as the weak, we will destroy the strong!\As we once were, and as we will always be.\Accept the fact that we are the weakest race.\Accept that we are the weakest race,\one that can become anything\because we were born with nothing! response:	Now, let's begin the game.
context: fight as the weak,\and as the weak, we will destroy the strong!\As we once were, and as we will always be.\Accept the fact that we are the weakest race.\Accept that we are the weakest race,\one that can become anything\because we were born with nothing!\Now, let's begin the game. response:	You've suffered enough, haven't you?
context: and as the weak, we will destroy the strong!\As we once were, and as we will always be.\Accept the fact that we are the weakest race.\Accept that we are the weakest race,\one that can become anything\because we were born with nothing!\Now, let's begin the game.\You've suffered enough, haven't you? response:	You've endured enough humiliation, right?
context: As we once were, and as we will always be.\Accept the fact that we are the weakest race.\Accept that we are the weakest race,\one that can become anything\because we were born with nothing!\Now, let's begin the game.\You've suffered enough, haven't you?\You've endured enough humiliation, right? response:	The wait is over, my fellow Imanity.
context: Accept the fact that we are the weakest race.\Accept that we are the weakest race,\one that can become anything\because we were born with nothing!\Now, let's begin the game.\You've suffered enough, haven't you?\You've endured enough humiliation, right?\The wait is over, my fellow Imanity. response:	As of this moment, my country, Elkia, declares war...
context: Accept that we are the weakest race,\one that can become anything\because we were born with nothing!\Now, let's begin the game.\You've suffered enough, haven't you?\You've endured enough humiliation, right?\The wait is over, my fellow Imanity.\As of this moment, my country, Elkia, declares war... response:	on every other country in the world.
context: one that can become anything\because we were born with nothing!\Now, let's begin the game.\You've suffered enough, haven't you?\You've endured enough humiliation, right?\The wait is over, my fellow Imanity.\As of this moment, my country, Elkia, declares war...\on every other country in the world. response:	What?!
context: because we were born with nothing!\Now, let's begin the game.\You've suffered enough, haven't you?\You've endured enough humiliation, right?\The wait is over, my fellow Imanity.\As of this moment, my country, Elkia, declares war...\on every other country in the world.\What?! response:	Let slip the dogs of war!
context: Now, let's begin the game.\You've suffered enough, haven't you?\You've endured enough humiliation, right?\The wait is over, my fellow Imanity.\As of this moment, my country, Elkia, declares war...\on every other country in the world.\What?!\Let slip the dogs of war! response:	We're taking back our borders!
context: You've suffered enough, haven't you?\You've endured enough humiliation, right?\The wait is over, my fellow Imanity.\As of this moment, my country, Elkia, declares war...\on every other country in the world.\What?!\Let slip the dogs of war!\We're taking back our borders! response:	Wh-Wh-What in the world have you done?!
context: You've endured enough humiliation, right?\The wait is over, my fellow Imanity.\As of this moment, my country, Elkia, declares war...\on every other country in the world.\What?!\Let slip the dogs of war!\We're taking back our borders!\Wh-Wh-What in the world have you done?! response:	Would you relax? You're scaring me.
context: The wait is over, my fellow Imanity.\As of this moment, my country, Elkia, declares war...\on every other country in the world.\What?!\Let slip the dogs of war!\We're taking back our borders!\Wh-Wh-What in the world have you done?!\Would you relax? You're scaring me. response:	Steph is creepy.
context: As of this moment, my country, Elkia, declares war...\on every other country in the world.\What?!\Let slip the dogs of war!\We're taking back our borders!\Wh-Wh-What in the world have you done?!\Would you relax? You're scaring me.\Steph is creepy. response:	How can I be calm at a time like this?
context: on every other country in the world.\What?!\Let slip the dogs of war!\We're taking back our borders!\Wh-Wh-What in the world have you done?!\Would you relax? You're scaring me.\Steph is creepy.\How can I be calm at a time like this? response:	Declaring war?
context: What?!\Let slip the dogs of war!\We're taking back our borders!\Wh-Wh-What in the world have you done?!\Would you relax? You're scaring me.\Steph is creepy.\How can I be calm at a time like this?\Declaring war? response:	Are you trying to destroy this country?
context: Let slip the dogs of war!\We're taking back our borders!\Wh-Wh-What in the world have you done?!\Would you relax? You're scaring me.\Steph is creepy.\How can I be calm at a time like this?\Declaring war?\Are you trying to destroy this country? response:	Didn't I tell you not to be so trusting?
context: We're taking back our borders!\Wh-Wh-What in the world have you done?!\Would you relax? You're scaring me.\Steph is creepy.\How can I be calm at a time like this?\Declaring war?\Are you trying to destroy this country?\Didn't I tell you not to be so trusting? response:	How are the other nations going to view the fact
context: Wh-Wh-What in the world have you done?!\Would you relax? You're scaring me.\Steph is creepy.\How can I be calm at a time like this?\Declaring war?\Are you trying to destroy this country?\Didn't I tell you not to be so trusting?\How are the other nations going to view the fact response:	that we took out the elves?
context: Would you relax? You're scaring me.\Steph is creepy.\How can I be calm at a time like this?\Declaring war?\Are you trying to destroy this country?\Didn't I tell you not to be so trusting?\How are the other nations going to view the fact\that we took out the elves? response:	They'll think we're backed by a race more powerful than the elves.
context: Steph is creepy.\How can I be calm at a time like this?\Declaring war?\Are you trying to destroy this country?\Didn't I tell you not to be so trusting?\How are the other nations going to view the fact\that we took out the elves?\They'll think we're backed by a race more powerful than the elves. response:	Yes, that's right...
context: How can I be calm at a time like this?\Declaring war?\Are you trying to destroy this country?\Didn't I tell you not to be so trusting?\How are the other nations going to view the fact\that we took out the elves?\They'll think we're backed by a race more powerful than the elves.\Yes, that's right... response:	So, until they know who that race is...
context: Declaring war?\Are you trying to destroy this country?\Didn't I tell you not to be so trusting?\How are the other nations going to view the fact\that we took out the elves?\They'll think we're backed by a race more powerful than the elves.\Yes, that's right...\So, until they know who that race is... response:	They can't attack us?
context: Are you trying to destroy this country?\Didn't I tell you not to be so trusting?\How are the other nations going to view the fact\that we took out the elves?\They'll think we're backed by a race more powerful than the elves.\Yes, that's right...\So, until they know who that race is...\They can't attack us? response:	Yup.
context: Didn't I tell you not to be so trusting?\How are the other nations going to view the fact\that we took out the elves?\They'll think we're backed by a race more powerful than the elves.\Yes, that's right...\So, until they know who that race is...\They can't attack us?\Yup. response:	Everybody's going to start suspecting everybody else,
context: How are the other nations going to view the fact\that we took out the elves?\They'll think we're backed by a race more powerful than the elves.\Yes, that's right...\So, until they know who that race is...\They can't attack us?\Yup.\Everybody's going to start suspecting everybody else, response:	and nobody will be able to make any rash moves.
context: that we took out the elves?\They'll think we're backed by a race more powerful than the elves.\Yes, that's right...\So, until they know who that race is...\They can't attack us?\Yup.\Everybody's going to start suspecting everybody else,\and nobody will be able to make any rash moves. response:	That's why we took the risk to declare war.
context: They'll think we're backed by a race more powerful than the elves.\Yes, that's right...\So, until they know who that race is...\They can't attack us?\Yup.\Everybody's going to start suspecting everybody else,\and nobody will be able to make any rash moves.\That's why we took the risk to declare war. response:	And we'll be able to shore up the home front without doing anything.
context: Yes, that's right...\So, until they know who that race is...\They can't attack us?\Yup.\Everybody's going to start suspecting everybody else,\and nobody will be able to make any rash moves.\That's why we took the risk to declare war.\And we'll be able to shore up the home front without doing anything. response:	They put that much thought into it...
context: So, until they know who that race is...\They can't attack us?\Yup.\Everybody's going to start suspecting everybody else,\and nobody will be able to make any rash moves.\That's why we took the risk to declare war.\And we'll be able to shore up the home front without doing anything.\They put that much thought into it... response:	Blank...
context: They can't attack us?\Yup.\Everybody's going to start suspecting everybody else,\and nobody will be able to make any rash moves.\That's why we took the risk to declare war.\And we'll be able to shore up the home front without doing anything.\They put that much thought into it...\Blank... response:	Maybe those two really can...
context: Yup.\Everybody's going to start suspecting everybody else,\and nobody will be able to make any rash moves.\That's why we took the risk to declare war.\And we'll be able to shore up the home front without doing anything.\They put that much thought into it...\Blank...\Maybe those two really can... response:	We've gone from a tiny game room, to a crappy inn,
context: Everybody's going to start suspecting everybody else,\and nobody will be able to make any rash moves.\That's why we took the risk to declare war.\And we'll be able to shore up the home front without doing anything.\They put that much thought into it...\Blank...\Maybe those two really can...\We've gone from a tiny game room, to a crappy inn, response:	to Steph's room, and now the royal chambers.
context: and nobody will be able to make any rash moves.\That's why we took the risk to declare war.\And we'll be able to shore up the home front without doing anything.\They put that much thought into it...\Blank...\Maybe those two really can...\We've gone from a tiny game room, to a crappy inn,\to Steph's room, and now the royal chambers. response:	This might be the hardest one to relax in.
context: That's why we took the risk to declare war.\And we'll be able to shore up the home front without doing anything.\They put that much thought into it...\Blank...\Maybe those two really can...\We've gone from a tiny game room, to a crappy inn,\to Steph's room, and now the royal chambers.\This might be the hardest one to relax in. response:	The Flugel...
context: And we'll be able to shore up the home front without doing anything.\They put that much thought into it...\Blank...\Maybe those two really can...\We've gone from a tiny game room, to a crappy inn,\to Steph's room, and now the royal chambers.\This might be the hardest one to relax in.\The Flugel... response:	They have great longevity and high magical capability,
context: They put that much thought into it...\Blank...\Maybe those two really can...\We've gone from a tiny game room, to a crappy inn,\to Steph's room, and now the royal chambers.\This might be the hardest one to relax in.\The Flugel...\They have great longevity and high magical capability, response:	and they live on the giant floating phantasma Avant Heim.
context: Blank...\Maybe those two really can...\We've gone from a tiny game room, to a crappy inn,\to Steph's room, and now the royal chambers.\This might be the hardest one to relax in.\The Flugel...\They have great longevity and high magical capability,\and they live on the giant floating phantasma Avant Heim. response:	With their great thirst for knowledge,
context: Maybe those two really can...\We've gone from a tiny game room, to a crappy inn,\to Steph's room, and now the royal chambers.\This might be the hardest one to relax in.\The Flugel...\They have great longevity and high magical capability,\and they live on the giant floating phantasma Avant Heim.\With their great thirst for knowledge, response:	they play games to obtain books from all over the world.
context: We've gone from a tiny game room, to a crappy inn,\to Steph's room, and now the royal chambers.\This might be the hardest one to relax in.\The Flugel...\They have great longevity and high magical capability,\and they live on the giant floating phantasma Avant Heim.\With their great thirst for knowledge,\they play games to obtain books from all over the world. response:	I feel like we could win them to our side.
context: to Steph's room, and now the royal chambers.\This might be the hardest one to relax in.\The Flugel...\They have great longevity and high magical capability,\and they live on the giant floating phantasma Avant Heim.\With their great thirst for knowledge,\they play games to obtain books from all over the world.\I feel like we could win them to our side. response:	We've got knowledge from another world to use as bait.
context: This might be the hardest one to relax in.\The Flugel...\They have great longevity and high magical capability,\and they live on the giant floating phantasma Avant Heim.\With their great thirst for knowledge,\they play games to obtain books from all over the world.\I feel like we could win them to our side.\We've got knowledge from another world to use as bait. response:	Wh-What was that?
context: The Flugel...\They have great longevity and high magical capability,\and they live on the giant floating phantasma Avant Heim.\With their great thirst for knowledge,\they play games to obtain books from all over the world.\I feel like we could win them to our side.\We've got knowledge from another world to use as bait.\Wh-What was that? response:	Brother...
context: They have great longevity and high magical capability,\and they live on the giant floating phantasma Avant Heim.\With their great thirst for knowledge,\they play games to obtain books from all over the world.\I feel like we could win them to our side.\We've got knowledge from another world to use as bait.\Wh-What was that?\Brother... response:	Looks like things are starting to get fun!
context: and they live on the giant floating phantasma Avant Heim.\With their great thirst for knowledge,\they play games to obtain books from all over the world.\I feel like we could win them to our side.\We've got knowledge from another world to use as bait.\Wh-What was that?\Brother...\Looks like things are starting to get fun! response:	It's the kid who calls himself God.
context: With their great thirst for knowledge,\they play games to obtain books from all over the world.\I feel like we could win them to our side.\We've got knowledge from another world to use as bait.\Wh-What was that?\Brother...\Looks like things are starting to get fun!\It's the kid who calls himself God. response:	Oh, please! I don't call myself God. I am God!
context: they play games to obtain books from all over the world.\I feel like we could win them to our side.\We've got knowledge from another world to use as bait.\Wh-What was that?\Brother...\Looks like things are starting to get fun!\It's the kid who calls himself God.\Oh, please! I don't call myself God. I am God! response:	And my name's Tet.
context: I feel like we could win them to our side.\We've got knowledge from another world to use as bait.\Wh-What was that?\Brother...\Looks like things are starting to get fun!\It's the kid who calls himself God.\Oh, please! I don't call myself God. I am God!\And my name's Tet. response:	Again?
context: We've got knowledge from another world to use as bait.\Wh-What was that?\Brother...\Looks like things are starting to get fun!\It's the kid who calls himself God.\Oh, please! I don't call myself God. I am God!\And my name's Tet.\Again? response:	How do you like my world?
context: Wh-What was that?\Brother...\Looks like things are starting to get fun!\It's the kid who calls himself God.\Oh, please! I don't call myself God. I am God!\And my name's Tet.\Again?\How do you like my world? response:	Are you enjoying it?
context: Brother...\Looks like things are starting to get fun!\It's the kid who calls himself God.\Oh, please! I don't call myself God. I am God!\And my name's Tet.\Again?\How do you like my world?\Are you enjoying it? response:	Yeah. You've got good taste.
context: Looks like things are starting to get fun!\It's the kid who calls himself God.\Oh, please! I don't call myself God. I am God!\And my name's Tet.\Again?\How do you like my world?\Are you enjoying it?\Yeah. You've got good taste. response:	Our god insists on remaining a bystander. He could learn from you.
context: It's the kid who calls himself God.\Oh, please! I don't call myself God. I am God!\And my name's Tet.\Again?\How do you like my world?\Are you enjoying it?\Yeah. You've got good taste.\Our god insists on remaining a bystander. He could learn from you. response:	Really?
context: Oh, please! I don't call myself God. I am God!\And my name's Tet.\Again?\How do you like my world?\Are you enjoying it?\Yeah. You've got good taste.\Our god insists on remaining a bystander. He could learn from you.\Really? response:	Our enemies can use magic, and we can't.
