context: It's another peaceful day, Fi. response:	The Little Prince and the Legendary Hero
context: Okay!\Snacktime!\Now then, would you like to hear some\old stories about the Hero King's era?\I'd love to hear them!\It'd end up being a pretty long story.\You're all going to Pastillage this evening, right?\Yes! response:	We're all going!
context: Snacktime!\Now then, would you like to hear some\old stories about the Hero King's era?\I'd love to hear them!\It'd end up being a pretty long story.\You're all going to Pastillage this evening, right?\Yes!\We're all going! response:	Then it would be good to ask Adel afterwards.
context: Now then, would you like to hear some\old stories about the Hero King's era?\I'd love to hear them!\It'd end up being a pretty long story.\You're all going to Pastillage this evening, right?\Yes!\We're all going!\Then it would be good to ask Adel afterwards. response:	I'll ask her to tell you.
context: old stories about the Hero King's era?\I'd love to hear them!\It'd end up being a pretty long story.\You're all going to Pastillage this evening, right?\Yes!\We're all going!\Then it would be good to ask Adel afterwards.\I'll ask her to tell you. response:	R-Really?
context: I'd love to hear them!\It'd end up being a pretty long story.\You're all going to Pastillage this evening, right?\Yes!\We're all going!\Then it would be good to ask Adel afterwards.\I'll ask her to tell you.\R-Really? response:	Sure.
context: It'd end up being a pretty long story.\You're all going to Pastillage this evening, right?\Yes!\We're all going!\Then it would be good to ask Adel afterwards.\I'll ask her to tell you.\R-Really?\Sure. response:	It's always good to have a young person
context: You're all going to Pastillage this evening, right?\Yes!\We're all going!\Then it would be good to ask Adel afterwards.\I'll ask her to tell you.\R-Really?\Sure.\It's always good to have a young person response:	listen to your old stories.
context: Yes!\We're all going!\Then it would be good to ask Adel afterwards.\I'll ask her to tell you.\R-Really?\Sure.\It's always good to have a young person\listen to your old stories. response:	Thank you!
context: We're all going!\Then it would be good to ask Adel afterwards.\I'll ask her to tell you.\R-Really?\Sure.\It's always good to have a young person\listen to your old stories.\Thank you! response:	Come on, enjoy the Fuugetsuan's special buns
context: Then it would be good to ask Adel afterwards.\I'll ask her to tell you.\R-Really?\Sure.\It's always good to have a young person\listen to your old stories.\Thank you!\Come on, enjoy the Fuugetsuan's special buns response:	while they're still hot!
context: I'll ask her to tell you.\R-Really?\Sure.\It's always good to have a young person\listen to your old stories.\Thank you!\Come on, enjoy the Fuugetsuan's special buns\while they're still hot! response:	Okay!
context: R-Really?\Sure.\It's always good to have a young person\listen to your old stories.\Thank you!\Come on, enjoy the Fuugetsuan's special buns\while they're still hot!\Okay! response:	I heard we're going to Pastillage.
context: Sure.\It's always good to have a young person\listen to your old stories.\Thank you!\Come on, enjoy the Fuugetsuan's special buns\while they're still hot!\Okay!\I heard we're going to Pastillage. response:	Are they doing something there?
context: It's always good to have a young person\listen to your old stories.\Thank you!\Come on, enjoy the Fuugetsuan's special buns\while they're still hot!\Okay!\I heard we're going to Pastillage.\Are they doing something there? response:	I see, so you haven't heard.
context: listen to your old stories.\Thank you!\Come on, enjoy the Fuugetsuan's special buns\while they're still hot!\Okay!\I heard we're going to Pastillage.\Are they doing something there?\I see, so you haven't heard. response:	They have a fun event going on!
context: Thank you!\Come on, enjoy the Fuugetsuan's special buns\while they're still hot!\Okay!\I heard we're going to Pastillage.\Are they doing something there?\I see, so you haven't heard.\They have a fun event going on! response:	Featuring the princess!
context: Come on, enjoy the Fuugetsuan's special buns\while they're still hot!\Okay!\I heard we're going to Pastillage.\Are they doing something there?\I see, so you haven't heard.\They have a fun event going on!\Featuring the princess! response:	Because I know my wish will come true!
context: while they're still hot!\Okay!\I heard we're going to Pastillage.\Are they doing something there?\I see, so you haven't heard.\They have a fun event going on!\Featuring the princess!\Because I know my wish will come true! response:	Let's hold each other passionately!
context: Okay!\I heard we're going to Pastillage.\Are they doing something there?\I see, so you haven't heard.\They have a fun event going on!\Featuring the princess!\Because I know my wish will come true!\Let's hold each other passionately! response:	Like those days when we used to run...
context: I heard we're going to Pastillage.\Are they doing something there?\I see, so you haven't heard.\They have a fun event going on!\Featuring the princess!\Because I know my wish will come true!\Let's hold each other passionately!\Like those days when we used to run... response:	The promise we made, hand in hand,
context: Are they doing something there?\I see, so you haven't heard.\They have a fun event going on!\Featuring the princess!\Because I know my wish will come true!\Let's hold each other passionately!\Like those days when we used to run...\The promise we made, hand in hand, response:	I know it will always come true!
context: I see, so you haven't heard.\They have a fun event going on!\Featuring the princess!\Because I know my wish will come true!\Let's hold each other passionately!\Like those days when we used to run...\The promise we made, hand in hand,\I know it will always come true! response:	I'm waiting here.
context: They have a fun event going on!\Featuring the princess!\Because I know my wish will come true!\Let's hold each other passionately!\Like those days when we used to run...\The promise we made, hand in hand,\I know it will always come true!\I'm waiting here. response:	Thank you!
context: Featuring the princess!\Because I know my wish will come true!\Let's hold each other passionately!\Like those days when we used to run...\The promise we made, hand in hand,\I know it will always come true!\I'm waiting here.\Thank you! response:	Please enjoy my concert here
context: Because I know my wish will come true!\Let's hold each other passionately!\Like those days when we used to run...\The promise we made, hand in hand,\I know it will always come true!\I'm waiting here.\Thank you!\Please enjoy my concert here response:	in the Pastillage national hall!
context: Let's hold each other passionately!\Like those days when we used to run...\The promise we made, hand in hand,\I know it will always come true!\I'm waiting here.\Thank you!\Please enjoy my concert here\in the Pastillage national hall! response:	Princess Millihiore is so amazing.
context: Like those days when we used to run...\The promise we made, hand in hand,\I know it will always come true!\I'm waiting here.\Thank you!\Please enjoy my concert here\in the Pastillage national hall!\Princess Millihiore is so amazing. response:	It's about to get even more amazing.
context: The promise we made, hand in hand,\I know it will always come true!\I'm waiting here.\Thank you!\Please enjoy my concert here\in the Pastillage national hall!\Princess Millihiore is so amazing.\It's about to get even more amazing. response:	Yeah!
context: I know it will always come true!\I'm waiting here.\Thank you!\Please enjoy my concert here\in the Pastillage national hall!\Princess Millihiore is so amazing.\It's about to get even more amazing.\Yeah! response:	I'll never forget...
context: I'm waiting here.\Thank you!\Please enjoy my concert here\in the Pastillage national hall!\Princess Millihiore is so amazing.\It's about to get even more amazing.\Yeah!\I'll never forget... response:	You taught me...
context: Thank you!\Please enjoy my concert here\in the Pastillage national hall!\Princess Millihiore is so amazing.\It's about to get even more amazing.\Yeah!\I'll never forget...\You taught me... response:	Thank you all for waiting, everyone.
context: Please enjoy my concert here\in the Pastillage national hall!\Princess Millihiore is so amazing.\It's about to get even more amazing.\Yeah!\I'll never forget...\You taught me...\Thank you all for waiting, everyone. response:	Princess Millihiore will be arriving shortly!
context: in the Pastillage national hall!\Princess Millihiore is so amazing.\It's about to get even more amazing.\Yeah!\I'll never forget...\You taught me...\Thank you all for waiting, everyone.\Princess Millihiore will be arriving shortly! response:	Everybody, thanks for
context: Princess Millihiore is so amazing.\It's about to get even more amazing.\Yeah!\I'll never forget...\You taught me...\Thank you all for waiting, everyone.\Princess Millihiore will be arriving shortly!\Everybody, thanks for response:	coming today!
context: It's about to get even more amazing.\Yeah!\I'll never forget...\You taught me...\Thank you all for waiting, everyone.\Princess Millihiore will be arriving shortly!\Everybody, thanks for\coming today! response:	With your help, today's concert
context: Yeah!\I'll never forget...\You taught me...\Thank you all for waiting, everyone.\Princess Millihiore will be arriving shortly!\Everybody, thanks for\coming today!\With your help, today's concert response:	was a success.
context: I'll never forget...\You taught me...\Thank you all for waiting, everyone.\Princess Millihiore will be arriving shortly!\Everybody, thanks for\coming today!\With your help, today's concert\was a success. response:	It's thanks to all of you.
context: You taught me...\Thank you all for waiting, everyone.\Princess Millihiore will be arriving shortly!\Everybody, thanks for\coming today!\With your help, today's concert\was a success.\It's thanks to all of you. response:	Thank you all!
context: Thank you all for waiting, everyone.\Princess Millihiore will be arriving shortly!\Everybody, thanks for\coming today!\With your help, today's concert\was a success.\It's thanks to all of you.\Thank you all! response:	We've prepared some
context: Princess Millihiore will be arriving shortly!\Everybody, thanks for\coming today!\With your help, today's concert\was a success.\It's thanks to all of you.\Thank you all!\We've prepared some response:	simple food and drink for you!
context: Everybody, thanks for\coming today!\With your help, today's concert\was a success.\It's thanks to all of you.\Thank you all!\We've prepared some\simple food and drink for you! response:	The princess will give a speech later,
context: coming today!\With your help, today's concert\was a success.\It's thanks to all of you.\Thank you all!\We've prepared some\simple food and drink for you!\The princess will give a speech later, response:	so until then, enjoy yourselves.
context: With your help, today's concert\was a success.\It's thanks to all of you.\Thank you all!\We've prepared some\simple food and drink for you!\The princess will give a speech later,\so until then, enjoy yourselves. response:	Halver has singing competitions,
context: was a success.\It's thanks to all of you.\Thank you all!\We've prepared some\simple food and drink for you!\The princess will give a speech later,\so until then, enjoy yourselves.\Halver has singing competitions, response:	but this is much more exciting!
context: It's thanks to all of you.\Thank you all!\We've prepared some\simple food and drink for you!\The princess will give a speech later,\so until then, enjoy yourselves.\Halver has singing competitions,\but this is much more exciting! response:	The princess's concerts are a little special, aren't they?
context: Thank you all!\We've prepared some\simple food and drink for you!\The princess will give a speech later,\so until then, enjoy yourselves.\Halver has singing competitions,\but this is much more exciting!\The princess's concerts are a little special, aren't they? response:	Prince Leaf!
context: We've prepared some\simple food and drink for you!\The princess will give a speech later,\so until then, enjoy yourselves.\Halver has singing competitions,\but this is much more exciting!\The princess's concerts are a little special, aren't they?\Prince Leaf! response:	Princess Millihiore!
context: simple food and drink for you!\The princess will give a speech later,\so until then, enjoy yourselves.\Halver has singing competitions,\but this is much more exciting!\The princess's concerts are a little special, aren't they?\Prince Leaf!\Princess Millihiore! response:	Thank you for coming today.
context: The princess will give a speech later,\so until then, enjoy yourselves.\Halver has singing competitions,\but this is much more exciting!\The princess's concerts are a little special, aren't they?\Prince Leaf!\Princess Millihiore!\Thank you for coming today. response:	Thank you.
context: so until then, enjoy yourselves.\Halver has singing competitions,\but this is much more exciting!\The princess's concerts are a little special, aren't they?\Prince Leaf!\Princess Millihiore!\Thank you for coming today.\Thank you. response:	You were amazing.
context: Halver has singing competitions,\but this is much more exciting!\The princess's concerts are a little special, aren't they?\Prince Leaf!\Princess Millihiore!\Thank you for coming today.\Thank you.\You were amazing. response:	The prince was waving his shine stick the whole time.
context: but this is much more exciting!\The princess's concerts are a little special, aren't they?\Prince Leaf!\Princess Millihiore!\Thank you for coming today.\Thank you.\You were amazing.\The prince was waving his shine stick the whole time. response:	Thank you.
context: The princess's concerts are a little special, aren't they?\Prince Leaf!\Princess Millihiore!\Thank you for coming today.\Thank you.\You were amazing.\The prince was waving his shine stick the whole time.\Thank you. response:	That makes me happy.
context: Prince Leaf!\Princess Millihiore!\Thank you for coming today.\Thank you.\You were amazing.\The prince was waving his shine stick the whole time.\Thank you.\That makes me happy. response:	It was fun!
context: Princess Millihiore!\Thank you for coming today.\Thank you.\You were amazing.\The prince was waving his shine stick the whole time.\Thank you.\That makes me happy.\It was fun! response:	I'd love to go to
context: Thank you for coming today.\Thank you.\You were amazing.\The prince was waving his shine stick the whole time.\Thank you.\That makes me happy.\It was fun!\I'd love to go to response:	Halver someday for a tour.
context: Thank you.\You were amazing.\The prince was waving his shine stick the whole time.\Thank you.\That makes me happy.\It was fun!\I'd love to go to\Halver someday for a tour. response:	Yes! I'm sure my people would love it!
context: You were amazing.\The prince was waving his shine stick the whole time.\Thank you.\That makes me happy.\It was fun!\I'd love to go to\Halver someday for a tour.\Yes! I'm sure my people would love it! response:	Excuse me, Hero Shinku.
context: The prince was waving his shine stick the whole time.\Thank you.\That makes me happy.\It was fun!\I'd love to go to\Halver someday for a tour.\Yes! I'm sure my people would love it!\Excuse me, Hero Shinku. response:	The people from Dragee and Orange
context: Thank you.\That makes me happy.\It was fun!\I'd love to go to\Halver someday for a tour.\Yes! I'm sure my people would love it!\Excuse me, Hero Shinku.\The people from Dragee and Orange response:	both said they'd love to see you.
context: That makes me happy.\It was fun!\I'd love to go to\Halver someday for a tour.\Yes! I'm sure my people would love it!\Excuse me, Hero Shinku.\The people from Dragee and Orange\both said they'd love to see you. response:	Really?
context: It was fun!\I'd love to go to\Halver someday for a tour.\Yes! I'm sure my people would love it!\Excuse me, Hero Shinku.\The people from Dragee and Orange\both said they'd love to see you.\Really? response:	Would you come with the princess?
context: I'd love to go to\Halver someday for a tour.\Yes! I'm sure my people would love it!\Excuse me, Hero Shinku.\The people from Dragee and Orange\both said they'd love to see you.\Really?\Would you come with the princess? response:	Sure.
context: Halver someday for a tour.\Yes! I'm sure my people would love it!\Excuse me, Hero Shinku.\The people from Dragee and Orange\both said they'd love to see you.\Really?\Would you come with the princess?\Sure. response:	Okay, Prince Leaf.
context: Yes! I'm sure my people would love it!\Excuse me, Hero Shinku.\The people from Dragee and Orange\both said they'd love to see you.\Really?\Would you come with the princess?\Sure.\Okay, Prince Leaf. response:	I'm sure we'll meet again.
context: Excuse me, Hero Shinku.\The people from Dragee and Orange\both said they'd love to see you.\Really?\Would you come with the princess?\Sure.\Okay, Prince Leaf.\I'm sure we'll meet again. response:	Yes.
context: The people from Dragee and Orange\both said they'd love to see you.\Really?\Would you come with the princess?\Sure.\Okay, Prince Leaf.\I'm sure we'll meet again.\Yes. response:	That's so great.
context: both said they'd love to see you.\Really?\Would you come with the princess?\Sure.\Okay, Prince Leaf.\I'm sure we'll meet again.\Yes.\That's so great. response:	Leo-sama!
context: Really?\Would you come with the princess?\Sure.\Okay, Prince Leaf.\I'm sure we'll meet again.\Yes.\That's so great.\Leo-sama! response:	I heard from d'Arquien that
context: Would you come with the princess?\Sure.\Okay, Prince Leaf.\I'm sure we'll meet again.\Yes.\That's so great.\Leo-sama!\I heard from d'Arquien that response:	you're going to see Adel-sama after this?
context: Sure.\Okay, Prince Leaf.\I'm sure we'll meet again.\Yes.\That's so great.\Leo-sama!\I heard from d'Arquien that\you're going to see Adel-sama after this? response:	Yes, that's right.
context: Okay, Prince Leaf.\I'm sure we'll meet again.\Yes.\That's so great.\Leo-sama!\I heard from d'Arquien that\you're going to see Adel-sama after this?\Yes, that's right. response:	Couver and I may go, as well.
context: I'm sure we'll meet again.\Yes.\That's so great.\Leo-sama!\I heard from d'Arquien that\you're going to see Adel-sama after this?\Yes, that's right.\Couver and I may go, as well. response:	I'm interested to hear stories from the Hero King, as well.
context: Yes.\That's so great.\Leo-sama!\I heard from d'Arquien that\you're going to see Adel-sama after this?\Yes, that's right.\Couver and I may go, as well.\I'm interested to hear stories from the Hero King, as well. response:	Yes!
context: That's so great.\Leo-sama!\I heard from d'Arquien that\you're going to see Adel-sama after this?\Yes, that's right.\Couver and I may go, as well.\I'm interested to hear stories from the Hero King, as well.\Yes! response:	I'm surprised you're interested in old stories, though.
context: Leo-sama!\I heard from d'Arquien that\you're going to see Adel-sama after this?\Yes, that's right.\Couver and I may go, as well.\I'm interested to hear stories from the Hero King, as well.\Yes!\I'm surprised you're interested in old stories, though. response:	The stories of the Hero King are famous in Halver, too!
context: I heard from d'Arquien that\you're going to see Adel-sama after this?\Yes, that's right.\Couver and I may go, as well.\I'm interested to hear stories from the Hero King, as well.\Yes!\I'm surprised you're interested in old stories, though.\The stories of the Hero King are famous in Halver, too! response:	And so you see, ancestor, I'd like you to
context: you're going to see Adel-sama after this?\Yes, that's right.\Couver and I may go, as well.\I'm interested to hear stories from the Hero King, as well.\Yes!\I'm surprised you're interested in old stories, though.\The stories of the Hero King are famous in Halver, too!\And so you see, ancestor, I'd like you to response:	tell some old stories to our guests!
context: Yes, that's right.\Couver and I may go, as well.\I'm interested to hear stories from the Hero King, as well.\Yes!\I'm surprised you're interested in old stories, though.\The stories of the Hero King are famous in Halver, too!\And so you see, ancestor, I'd like you to\tell some old stories to our guests! response:	That's fine!
context: Couver and I may go, as well.\I'm interested to hear stories from the Hero King, as well.\Yes!\I'm surprised you're interested in old stories, though.\The stories of the Hero King are famous in Halver, too!\And so you see, ancestor, I'd like you to\tell some old stories to our guests!\That's fine! response:	It'd be good to have Valerie there, too, wouldn't it?
context: I'm interested to hear stories from the Hero King, as well.\Yes!\I'm surprised you're interested in old stories, though.\The stories of the Hero King are famous in Halver, too!\And so you see, ancestor, I'd like you to\tell some old stories to our guests!\That's fine!\It'd be good to have Valerie there, too, wouldn't it? response:	Yup!
context: Yes!\I'm surprised you're interested in old stories, though.\The stories of the Hero King are famous in Halver, too!\And so you see, ancestor, I'd like you to\tell some old stories to our guests!\That's fine!\It'd be good to have Valerie there, too, wouldn't it?\Yup! response:	Then I'll take you to the
context: I'm surprised you're interested in old stories, though.\The stories of the Hero King are famous in Halver, too!\And so you see, ancestor, I'd like you to\tell some old stories to our guests!\That's fine!\It'd be good to have Valerie there, too, wouldn't it?\Yup!\Then I'll take you to the response:	perfect spot for telling stories!
context: The stories of the Hero King are famous in Halver, too!\And so you see, ancestor, I'd like you to\tell some old stories to our guests!\That's fine!\It'd be good to have Valerie there, too, wouldn't it?\Yup!\Then I'll take you to the\perfect spot for telling stories! response:	Valerie, you listening?
context: And so you see, ancestor, I'd like you to\tell some old stories to our guests!\That's fine!\It'd be good to have Valerie there, too, wouldn't it?\Yup!\Then I'll take you to the\perfect spot for telling stories!\Valerie, you listening? response:	Couver's friends want to hear stories.
context: tell some old stories to our guests!\That's fine!\It'd be good to have Valerie there, too, wouldn't it?\Yup!\Then I'll take you to the\perfect spot for telling stories!\Valerie, you listening?\Couver's friends want to hear stories. response:	I'd like you to tell them, too.
context: That's fine!\It'd be good to have Valerie there, too, wouldn't it?\Yup!\Then I'll take you to the\perfect spot for telling stories!\Valerie, you listening?\Couver's friends want to hear stories.\I'd like you to tell them, too. response:	I'm in the middle of some research I haven't been able to get to for a long time.
context: It'd be good to have Valerie there, too, wouldn't it?\Yup!\Then I'll take you to the\perfect spot for telling stories!\Valerie, you listening?\Couver's friends want to hear stories.\I'd like you to tell them, too.\I'm in the middle of some research I haven't been able to get to for a long time. response:	Oh, don't say that.
context: Yup!\Then I'll take you to the\perfect spot for telling stories!\Valerie, you listening?\Couver's friends want to hear stories.\I'd like you to tell them, too.\I'm in the middle of some research I haven't been able to get to for a long time.\Oh, don't say that. response:	Hina will be coming, too.
context: Then I'll take you to the\perfect spot for telling stories!\Valerie, you listening?\Couver's friends want to hear stories.\I'd like you to tell them, too.\I'm in the middle of some research I haven't been able to get to for a long time.\Oh, don't say that.\Hina will be coming, too. response:	Please!
context: perfect spot for telling stories!\Valerie, you listening?\Couver's friends want to hear stories.\I'd like you to tell them, too.\I'm in the middle of some research I haven't been able to get to for a long time.\Oh, don't say that.\Hina will be coming, too.\Please! response:	Oh, fine.
context: Valerie, you listening?\Couver's friends want to hear stories.\I'd like you to tell them, too.\I'm in the middle of some research I haven't been able to get to for a long time.\Oh, don't say that.\Hina will be coming, too.\Please!\Oh, fine. response:	I'll take everybody there, okay?
context: Couver's friends want to hear stories.\I'd like you to tell them, too.\I'm in the middle of some research I haven't been able to get to for a long time.\Oh, don't say that.\Hina will be coming, too.\Please!\Oh, fine.\I'll take everybody there, okay? response:	I'll bring you the
context: I'd like you to tell them, too.\I'm in the middle of some research I haven't been able to get to for a long time.\Oh, don't say that.\Hina will be coming, too.\Please!\Oh, fine.\I'll take everybody there, okay?\I'll bring you the response:	hot black tea you love!
context: I'm in the middle of some research I haven't been able to get to for a long time.\Oh, don't say that.\Hina will be coming, too.\Please!\Oh, fine.\I'll take everybody there, okay?\I'll bring you the\hot black tea you love! response:	Thanks!
context: Oh, don't say that.\Hina will be coming, too.\Please!\Oh, fine.\I'll take everybody there, okay?\I'll bring you the\hot black tea you love!\Thanks! response:	Old stories, huh?
context: Hina will be coming, too.\Please!\Oh, fine.\I'll take everybody there, okay?\I'll bring you the\hot black tea you love!\Thanks!\Old stories, huh? response:	This way!
context: Please!\Oh, fine.\I'll take everybody there, okay?\I'll bring you the\hot black tea you love!\Thanks!\Old stories, huh?\This way! response:	The Hero King Adel-sama, and the Demon King Valerie...
context: Oh, fine.\I'll take everybody there, okay?\I'll bring you the\hot black tea you love!\Thanks!\Old stories, huh?\This way!\The Hero King Adel-sama, and the Demon King Valerie... response:	It's kind of making me nervous.
context: I'll take everybody there, okay?\I'll bring you the\hot black tea you love!\Thanks!\Old stories, huh?\This way!\The Hero King Adel-sama, and the Demon King Valerie...\It's kind of making me nervous. response:	Don't worry.
context: I'll bring you the\hot black tea you love!\Thanks!\Old stories, huh?\This way!\The Hero King Adel-sama, and the Demon King Valerie...\It's kind of making me nervous.\Don't worry. response:	They're my ancestors.
context: hot black tea you love!\Thanks!\Old stories, huh?\This way!\The Hero King Adel-sama, and the Demon King Valerie...\It's kind of making me nervous.\Don't worry.\They're my ancestors. response:	Ancestor!
context: Thanks!\Old stories, huh?\This way!\The Hero King Adel-sama, and the Demon King Valerie...\It's kind of making me nervous.\Don't worry.\They're my ancestors.\Ancestor! response:	Are you the ones who want to hear old stories?
context: Old stories, huh?\This way!\The Hero King Adel-sama, and the Demon King Valerie...\It's kind of making me nervous.\Don't worry.\They're my ancestors.\Ancestor!\Are you the ones who want to hear old stories? response:	Yes!
context: This way!\The Hero King Adel-sama, and the Demon King Valerie...\It's kind of making me nervous.\Don't worry.\They're my ancestors.\Ancestor!\Are you the ones who want to hear old stories?\Yes! response:	Oh my. Sit down.
context: The Hero King Adel-sama, and the Demon King Valerie...\It's kind of making me nervous.\Don't worry.\They're my ancestors.\Ancestor!\Are you the ones who want to hear old stories?\Yes!\Oh my. Sit down. response:	Yup!
context: It's kind of making me nervous.\Don't worry.\They're my ancestors.\Ancestor!\Are you the ones who want to hear old stories?\Yes!\Oh my. Sit down.\Yup! response:	Maids, get tea ready!
context: Don't worry.\They're my ancestors.\Ancestor!\Are you the ones who want to hear old stories?\Yes!\Oh my. Sit down.\Yup!\Maids, get tea ready! response:	Yes.
context: They're my ancestors.\Ancestor!\Are you the ones who want to hear old stories?\Yes!\Oh my. Sit down.\Yup!\Maids, get tea ready!\Yes. response:	It's quite the atmosphere you've got here.
context: Ancestor!\Are you the ones who want to hear old stories?\Yes!\Oh my. Sit down.\Yup!\Maids, get tea ready!\Yes.\It's quite the atmosphere you've got here. response:	I just happened to be here.
context: Are you the ones who want to hear old stories?\Yes!\Oh my. Sit down.\Yup!\Maids, get tea ready!\Yes.\It's quite the atmosphere you've got here.\I just happened to be here. response:	Telling old stories to the young people
context: Yes!\Oh my. Sit down.\Yup!\Maids, get tea ready!\Yes.\It's quite the atmosphere you've got here.\I just happened to be here.\Telling old stories to the young people response:	is part of the fun of being old.
context: Oh my. Sit down.\Yup!\Maids, get tea ready!\Yes.\It's quite the atmosphere you've got here.\I just happened to be here.\Telling old stories to the young people\is part of the fun of being old. response:	Right, Hina?
context: Yup!\Maids, get tea ready!\Yes.\It's quite the atmosphere you've got here.\I just happened to be here.\Telling old stories to the young people\is part of the fun of being old.\Right, Hina? response:	Well, that's true...
context: Maids, get tea ready!\Yes.\It's quite the atmosphere you've got here.\I just happened to be here.\Telling old stories to the young people\is part of the fun of being old.\Right, Hina?\Well, that's true... response:	Oh?
context: Yes.\It's quite the atmosphere you've got here.\I just happened to be here.\Telling old stories to the young people\is part of the fun of being old.\Right, Hina?\Well, that's true...\Oh? response:	It seems like the two Heroes and your princess are missing, Hina-san.
context: It's quite the atmosphere you've got here.\I just happened to be here.\Telling old stories to the young people\is part of the fun of being old.\Right, Hina?\Well, that's true...\Oh?\It seems like the two Heroes and your princess are missing, Hina-san. response:	They've got work to do.
context: I just happened to be here.\Telling old stories to the young people\is part of the fun of being old.\Right, Hina?\Well, that's true...\Oh?\It seems like the two Heroes and your princess are missing, Hina-san.\They've got work to do. response:	They'll come later.
context: Telling old stories to the young people\is part of the fun of being old.\Right, Hina?\Well, that's true...\Oh?\It seems like the two Heroes and your princess are missing, Hina-san.\They've got work to do.\They'll come later. response:	Yeah.
context: is part of the fun of being old.\Right, Hina?\Well, that's true...\Oh?\It seems like the two Heroes and your princess are missing, Hina-san.\They've got work to do.\They'll come later.\Yeah. response:	Okay, it looks like we're ready.
context: Right, Hina?\Well, that's true...\Oh?\It seems like the two Heroes and your princess are missing, Hina-san.\They've got work to do.\They'll come later.\Yeah.\Okay, it looks like we're ready. response:	I'll tell you the story then.
context: Well, that's true...\Oh?\It seems like the two Heroes and your princess are missing, Hina-san.\They've got work to do.\They'll come later.\Yeah.\Okay, it looks like we're ready.\I'll tell you the story then. response:	It was a long time ago,
context: Oh?\It seems like the two Heroes and your princess are missing, Hina-san.\They've got work to do.\They'll come later.\Yeah.\Okay, it looks like we're ready.\I'll tell you the story then.\It was a long time ago, response:	when the five of us traveled together.
context: It seems like the two Heroes and your princess are missing, Hina-san.\They've got work to do.\They'll come later.\Yeah.\Okay, it looks like we're ready.\I'll tell you the story then.\It was a long time ago,\when the five of us traveled together. response:	Me, and Valerie,
context: They've got work to do.\They'll come later.\Yeah.\Okay, it looks like we're ready.\I'll tell you the story then.\It was a long time ago,\when the five of us traveled together.\Me, and Valerie, response:	and the swordmaster Hina,
context: They'll come later.\Yeah.\Okay, it looks like we're ready.\I'll tell you the story then.\It was a long time ago,\when the five of us traveled together.\Me, and Valerie,\and the swordmaster Hina, response:	and Isuka the swordsmith,
context: Yeah.\Okay, it looks like we're ready.\I'll tell you the story then.\It was a long time ago,\when the five of us traveled together.\Me, and Valerie,\and the swordmaster Hina,\and Isuka the swordsmith, response:	who's probably off drinking sake somewhere.
context: Okay, it looks like we're ready.\I'll tell you the story then.\It was a long time ago,\when the five of us traveled together.\Me, and Valerie,\and the swordmaster Hina,\and Isuka the swordsmith,\who's probably off drinking sake somewhere. response:	And one more.
context: I'll tell you the story then.\It was a long time ago,\when the five of us traveled together.\Me, and Valerie,\and the swordmaster Hina,\and Isuka the swordsmith,\who's probably off drinking sake somewhere.\And one more. response:	The last princess of the Kingdom of Pastillage,
context: It was a long time ago,\when the five of us traveled together.\Me, and Valerie,\and the swordmaster Hina,\and Isuka the swordsmith,\who's probably off drinking sake somewhere.\And one more.\The last princess of the Kingdom of Pastillage, response:	and its last ruler.
context: when the five of us traveled together.\Me, and Valerie,\and the swordmaster Hina,\and Isuka the swordsmith,\who's probably off drinking sake somewhere.\And one more.\The last princess of the Kingdom of Pastillage,\and its last ruler. response:	The person who summoned me as a hero to Flognarde.
context: Me, and Valerie,\and the swordmaster Hina,\and Isuka the swordsmith,\who's probably off drinking sake somewhere.\And one more.\The last princess of the Kingdom of Pastillage,\and its last ruler.\The person who summoned me as a hero to Flognarde. response:	Clarifier Einz Pastillage.
context: and the swordmaster Hina,\and Isuka the swordsmith,\who's probably off drinking sake somewhere.\And one more.\The last princess of the Kingdom of Pastillage,\and its last ruler.\The person who summoned me as a hero to Flognarde.\Clarifier Einz Pastillage. response:	We called her Fi.
context: and Isuka the swordsmith,\who's probably off drinking sake somewhere.\And one more.\The last princess of the Kingdom of Pastillage,\and its last ruler.\The person who summoned me as a hero to Flognarde.\Clarifier Einz Pastillage.\We called her Fi. response:	The Sea Dragon Tavern seafood restaurant!
context: who's probably off drinking sake somewhere.\And one more.\The last princess of the Kingdom of Pastillage,\and its last ruler.\The person who summoned me as a hero to Flognarde.\Clarifier Einz Pastillage.\We called her Fi.\The Sea Dragon Tavern seafood restaurant! response:	Check out the cute waitress uniforms, too!
context: And one more.\The last princess of the Kingdom of Pastillage,\and its last ruler.\The person who summoned me as a hero to Flognarde.\Clarifier Einz Pastillage.\We called her Fi.\The Sea Dragon Tavern seafood restaurant!\Check out the cute waitress uniforms, too! response:	Why am I wearing one?
context: The last princess of the Kingdom of Pastillage,\and its last ruler.\The person who summoned me as a hero to Flognarde.\Clarifier Einz Pastillage.\We called her Fi.\The Sea Dragon Tavern seafood restaurant!\Check out the cute waitress uniforms, too!\Why am I wearing one? response:	Next time
context: and its last ruler.\The person who summoned me as a hero to Flognarde.\Clarifier Einz Pastillage.\We called her Fi.\The Sea Dragon Tavern seafood restaurant!\Check out the cute waitress uniforms, too!\Why am I wearing one?\Next time response:	Recollection: The Story of the Hero and the Princess
