context: I don't want you to hate me. response:	There you go, saying things like that.
context: We'll support you when something happens.\See? Yukimura-kun's having fun, too.\Kanou-kun...\Don't worry. We have one that's perfect for you.\All, now you guys, too!\Let's play soccer!\Let's be friends with the ball!\Usui-san! response:	Please come work with the baseball team next!
context: See? Yukimura-kun's having fun, too.\Kanou-kun...\Don't worry. We have one that's perfect for you.\All, now you guys, too!\Let's play soccer!\Let's be friends with the ball!\Usui-san!\Please come work with the baseball team next! response:	Anywhere else you'd like to see?
context: Kanou-kun...\Don't worry. We have one that's perfect for you.\All, now you guys, too!\Let's play soccer!\Let's be friends with the ball!\Usui-san!\Please come work with the baseball team next!\Anywhere else you'd like to see? response:	We're fine.
context: Don't worry. We have one that's perfect for you.\All, now you guys, too!\Let's play soccer!\Let's be friends with the ball!\Usui-san!\Please come work with the baseball team next!\Anywhere else you'd like to see?\We're fine. response:	We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room!
context: All, now you guys, too!\Let's play soccer!\Let's be friends with the ball!\Usui-san!\Please come work with the baseball team next!\Anywhere else you'd like to see?\We're fine.\We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room! response:	I didn't think the visit could be this fun!
context: Let's play soccer!\Let's be friends with the ball!\Usui-san!\Please come work with the baseball team next!\Anywhere else you'd like to see?\We're fine.\We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room!\I didn't think the visit could be this fun! response:	Great. Be sure to enjoy it fully.
context: Let's be friends with the ball!\Usui-san!\Please come work with the baseball team next!\Anywhere else you'd like to see?\We're fine.\We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room!\I didn't think the visit could be this fun!\Great. Be sure to enjoy it fully. response:	Damn! That was fast!
context: Usui-san!\Please come work with the baseball team next!\Anywhere else you'd like to see?\We're fine.\We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room!\I didn't think the visit could be this fun!\Great. Be sure to enjoy it fully.\Damn! That was fast! response:	Usui-san! This way now!
context: Please come work with the baseball team next!\Anywhere else you'd like to see?\We're fine.\We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room!\I didn't think the visit could be this fun!\Great. Be sure to enjoy it fully.\Damn! That was fast!\Usui-san! This way now! response:	So all of the courses end at the cafeteria?
context: Anywhere else you'd like to see?\We're fine.\We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room!\I didn't think the visit could be this fun!\Great. Be sure to enjoy it fully.\Damn! That was fast!\Usui-san! This way now!\So all of the courses end at the cafeteria? response:	I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end.
context: We're fine.\We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room!\I didn't think the visit could be this fun!\Great. Be sure to enjoy it fully.\Damn! That was fast!\Usui-san! This way now!\So all of the courses end at the cafeteria?\I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end. response:	You can hear stories from other senpais, too.
context: We got to see the art equipment in the art room, and even got to play a guitar for the first time in the music room!\I didn't think the visit could be this fun!\Great. Be sure to enjoy it fully.\Damn! That was fast!\Usui-san! This way now!\So all of the courses end at the cafeteria?\I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end.\You can hear stories from other senpais, too. response:	Okay.
context: I didn't think the visit could be this fun!\Great. Be sure to enjoy it fully.\Damn! That was fast!\Usui-san! This way now!\So all of the courses end at the cafeteria?\I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end.\You can hear stories from other senpais, too.\Okay. response:	Please have a seat.
context: Great. Be sure to enjoy it fully.\Damn! That was fast!\Usui-san! This way now!\So all of the courses end at the cafeteria?\I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end.\You can hear stories from other senpais, too.\Okay.\Please have a seat. response:	It's just like a maid cafe.
context: Damn! That was fast!\Usui-san! This way now!\So all of the courses end at the cafeteria?\I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end.\You can hear stories from other senpais, too.\Okay.\Please have a seat.\It's just like a maid cafe. response:	Make yourself at home.
context: Usui-san! This way now!\So all of the courses end at the cafeteria?\I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end.\You can hear stories from other senpais, too.\Okay.\Please have a seat.\It's just like a maid cafe.\Make yourself at home. response:	Misaki!
context: So all of the courses end at the cafeteria?\I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end.\You can hear stories from other senpais, too.\Okay.\Please have a seat.\It's just like a maid cafe.\Make yourself at home.\Misaki! response:	Look! How's this?!
context: I figured everyone would be tired from walking, so I prepared a time to rest and ask questions at the end.\You can hear stories from other senpais, too.\Okay.\Please have a seat.\It's just like a maid cafe.\Make yourself at home.\Misaki!\Look! How's this?! response:	Y-You're so cute, Sakura.
context: You can hear stories from other senpais, too.\Okay.\Please have a seat.\It's just like a maid cafe.\Make yourself at home.\Misaki!\Look! How's this?!\Y-You're so cute, Sakura. response:	You should join us, Misaki.
context: Okay.\Please have a seat.\It's just like a maid cafe.\Make yourself at home.\Misaki!\Look! How's this?!\Y-You're so cute, Sakura.\You should join us, Misaki. response:	Thanks, but no thanks.
context: Please have a seat.\It's just like a maid cafe.\Make yourself at home.\Misaki!\Look! How's this?!\Y-You're so cute, Sakura.\You should join us, Misaki.\Thanks, but no thanks. response:	Rather than that-
context: It's just like a maid cafe.\Make yourself at home.\Misaki!\Look! How's this?!\Y-You're so cute, Sakura.\You should join us, Misaki.\Thanks, but no thanks.\Rather than that- response:	It looks like things are going well here.
context: Make yourself at home.\Misaki!\Look! How's this?!\Y-You're so cute, Sakura.\You should join us, Misaki.\Thanks, but no thanks.\Rather than that-\It looks like things are going well here. response:	Everyone's having fun.
context: Misaki!\Look! How's this?!\Y-You're so cute, Sakura.\You should join us, Misaki.\Thanks, but no thanks.\Rather than that-\It looks like things are going well here.\Everyone's having fun. response:	Though honestly, some are pretty dumbfounded.
context: Look! How's this?!\Y-You're so cute, Sakura.\You should join us, Misaki.\Thanks, but no thanks.\Rather than that-\It looks like things are going well here.\Everyone's having fun.\Though honestly, some are pretty dumbfounded. response:	But if you go talk to them, they come in.
context: Y-You're so cute, Sakura.\You should join us, Misaki.\Thanks, but no thanks.\Rather than that-\It looks like things are going well here.\Everyone's having fun.\Though honestly, some are pretty dumbfounded.\But if you go talk to them, they come in. response:	Come and relax a while.
context: You should join us, Misaki.\Thanks, but no thanks.\Rather than that-\It looks like things are going well here.\Everyone's having fun.\Though honestly, some are pretty dumbfounded.\But if you go talk to them, they come in.\Come and relax a while. response:	Oh, she's actually sane.
context: Thanks, but no thanks.\Rather than that-\It looks like things are going well here.\Everyone's having fun.\Though honestly, some are pretty dumbfounded.\But if you go talk to them, they come in.\Come and relax a while.\Oh, she's actually sane. response:	Yes. I thought the boys would laugh, but they look pretty relaxed.
context: Rather than that-\It looks like things are going well here.\Everyone's having fun.\Though honestly, some are pretty dumbfounded.\But if you go talk to them, they come in.\Come and relax a while.\Oh, she's actually sane.\Yes. I thought the boys would laugh, but they look pretty relaxed. response:	Both the boys and the girls are enjoying it.
context: It looks like things are going well here.\Everyone's having fun.\Though honestly, some are pretty dumbfounded.\But if you go talk to them, they come in.\Come and relax a while.\Oh, she's actually sane.\Yes. I thought the boys would laugh, but they look pretty relaxed.\Both the boys and the girls are enjoying it. response:	It would be fun if every day was like this.
context: Everyone's having fun.\Though honestly, some are pretty dumbfounded.\But if you go talk to them, they come in.\Come and relax a while.\Oh, she's actually sane.\Yes. I thought the boys would laugh, but they look pretty relaxed.\Both the boys and the girls are enjoying it.\It would be fun if every day was like this. response:	Yeah.
context: Though honestly, some are pretty dumbfounded.\But if you go talk to them, they come in.\Come and relax a while.\Oh, she's actually sane.\Yes. I thought the boys would laugh, but they look pretty relaxed.\Both the boys and the girls are enjoying it.\It would be fun if every day was like this.\Yeah. response:	Don't you think it's wonderful to have such a good time with everyone?
context: But if you go talk to them, they come in.\Come and relax a while.\Oh, she's actually sane.\Yes. I thought the boys would laugh, but they look pretty relaxed.\Both the boys and the girls are enjoying it.\It would be fun if every day was like this.\Yeah.\Don't you think it's wonderful to have such a good time with everyone? response:	Yes. This is what I want.
context: Come and relax a while.\Oh, she's actually sane.\Yes. I thought the boys would laugh, but they look pretty relaxed.\Both the boys and the girls are enjoying it.\It would be fun if every day was like this.\Yeah.\Don't you think it's wonderful to have such a good time with everyone?\Yes. This is what I want. response:	Okay, I'll go check other places out.
context: Oh, she's actually sane.\Yes. I thought the boys would laugh, but they look pretty relaxed.\Both the boys and the girls are enjoying it.\It would be fun if every day was like this.\Yeah.\Don't you think it's wonderful to have such a good time with everyone?\Yes. This is what I want.\Okay, I'll go check other places out. response:	You look pretty cute there, Kanou.
context: Yes. I thought the boys would laugh, but they look pretty relaxed.\Both the boys and the girls are enjoying it.\It would be fun if every day was like this.\Yeah.\Don't you think it's wonderful to have such a good time with everyone?\Yes. This is what I want.\Okay, I'll go check other places out.\You look pretty cute there, Kanou. response:	I had no choice! I can't run anywhere when I'm surrounded by so many girls!
context: Both the boys and the girls are enjoying it.\It would be fun if every day was like this.\Yeah.\Don't you think it's wonderful to have such a good time with everyone?\Yes. This is what I want.\Okay, I'll go check other places out.\You look pretty cute there, Kanou.\I had no choice! I can't run anywhere when I'm surrounded by so many girls! response:	What? Don't tell me they stripped you down.
context: It would be fun if every day was like this.\Yeah.\Don't you think it's wonderful to have such a good time with everyone?\Yes. This is what I want.\Okay, I'll go check other places out.\You look pretty cute there, Kanou.\I had no choice! I can't run anywhere when I'm surrounded by so many girls!\What? Don't tell me they stripped you down. response:	NO!
context: Yeah.\Don't you think it's wonderful to have such a good time with everyone?\Yes. This is what I want.\Okay, I'll go check other places out.\You look pretty cute there, Kanou.\I had no choice! I can't run anywhere when I'm surrounded by so many girls!\What? Don't tell me they stripped you down.\NO! response:	This is why I hate girls.
context: Don't you think it's wonderful to have such a good time with everyone?\Yes. This is what I want.\Okay, I'll go check other places out.\You look pretty cute there, Kanou.\I had no choice! I can't run anywhere when I'm surrounded by so many girls!\What? Don't tell me they stripped you down.\NO!\This is why I hate girls. response:	How is this perfect on me?
context: Yes. This is what I want.\Okay, I'll go check other places out.\You look pretty cute there, Kanou.\I had no choice! I can't run anywhere when I'm surrounded by so many girls!\What? Don't tell me they stripped you down.\NO!\This is why I hate girls.\How is this perfect on me? response:	What's up with this cute hood?
context: Okay, I'll go check other places out.\You look pretty cute there, Kanou.\I had no choice! I can't run anywhere when I'm surrounded by so many girls!\What? Don't tell me they stripped you down.\NO!\This is why I hate girls.\How is this perfect on me?\What's up with this cute hood? response:	Am I a rabbit?
context: You look pretty cute there, Kanou.\I had no choice! I can't run anywhere when I'm surrounded by so many girls!\What? Don't tell me they stripped you down.\NO!\This is why I hate girls.\How is this perfect on me?\What's up with this cute hood?\Am I a rabbit? response:	How differently do girls see our world?
context: I had no choice! I can't run anywhere when I'm surrounded by so many girls!\What? Don't tell me they stripped you down.\NO!\This is why I hate girls.\How is this perfect on me?\What's up with this cute hood?\Am I a rabbit?\How differently do girls see our world? response:	What is a maid costume?
context: What? Don't tell me they stripped you down.\NO!\This is why I hate girls.\How is this perfect on me?\What's up with this cute hood?\Am I a rabbit?\How differently do girls see our world?\What is a maid costume? response:	Why does it make people so cheerful?
context: NO!\This is why I hate girls.\How is this perfect on me?\What's up with this cute hood?\Am I a rabbit?\How differently do girls see our world?\What is a maid costume?\Why does it make people so cheerful? response:	I don't understand it!
context: This is why I hate girls.\How is this perfect on me?\What's up with this cute hood?\Am I a rabbit?\How differently do girls see our world?\What is a maid costume?\Why does it make people so cheerful?\I don't understand it! response:	What in the world is that creature?!
context: How is this perfect on me?\What's up with this cute hood?\Am I a rabbit?\How differently do girls see our world?\What is a maid costume?\Why does it make people so cheerful?\I don't understand it!\What in the world is that creature?! response:	So he's...
context: What's up with this cute hood?\Am I a rabbit?\How differently do girls see our world?\What is a maid costume?\Why does it make people so cheerful?\I don't understand it!\What in the world is that creature?!\So he's... response:	They'll easily shatter.
context: Am I a rabbit?\How differently do girls see our world?\What is a maid costume?\Why does it make people so cheerful?\I don't understand it!\What in the world is that creature?!\So he's...\They'll easily shatter. response:	Kanou.
context: How differently do girls see our world?\What is a maid costume?\Why does it make people so cheerful?\I don't understand it!\What in the world is that creature?!\So he's...\They'll easily shatter.\Kanou. response:	You keep eye contact more often while you talk, now.
context: What is a maid costume?\Why does it make people so cheerful?\I don't understand it!\What in the world is that creature?!\So he's...\They'll easily shatter.\Kanou.\You keep eye contact more often while you talk, now. response:	I'm sure you saw them from close up.
context: Why does it make people so cheerful?\I don't understand it!\What in the world is that creature?!\So he's...\They'll easily shatter.\Kanou.\You keep eye contact more often while you talk, now.\I'm sure you saw them from close up. response:	Were they as weak and fragile as you thought?
context: I don't understand it!\What in the world is that creature?!\So he's...\They'll easily shatter.\Kanou.\You keep eye contact more often while you talk, now.\I'm sure you saw them from close up.\Were they as weak and fragile as you thought? response:	Kanou-kun!
context: What in the world is that creature?!\So he's...\They'll easily shatter.\Kanou.\You keep eye contact more often while you talk, now.\I'm sure you saw them from close up.\Were they as weak and fragile as you thought?\Kanou-kun! response:	I don't think you need to run away anymore.
context: So he's...\They'll easily shatter.\Kanou.\You keep eye contact more often while you talk, now.\I'm sure you saw them from close up.\Were they as weak and fragile as you thought?\Kanou-kun!\I don't think you need to run away anymore. response:	This is the first time I've ever spent so much time with girls.
context: They'll easily shatter.\Kanou.\You keep eye contact more often while you talk, now.\I'm sure you saw them from close up.\Were they as weak and fragile as you thought?\Kanou-kun!\I don't think you need to run away anymore.\This is the first time I've ever spent so much time with girls. response:	Match!
context: Kanou.\You keep eye contact more often while you talk, now.\I'm sure you saw them from close up.\Were they as weak and fragile as you thought?\Kanou-kun!\I don't think you need to run away anymore.\This is the first time I've ever spent so much time with girls.\Match! response:	Damn it.
context: You keep eye contact more often while you talk, now.\I'm sure you saw them from close up.\Were they as weak and fragile as you thought?\Kanou-kun!\I don't think you need to run away anymore.\This is the first time I've ever spent so much time with girls.\Match!\Damn it. response:	Don't underestimate the high schoolers.
context: I'm sure you saw them from close up.\Were they as weak and fragile as you thought?\Kanou-kun!\I don't think you need to run away anymore.\This is the first time I've ever spent so much time with girls.\Match!\Damn it.\Don't underestimate the high schoolers. response:	Usui-san! Please come with us next!
context: Were they as weak and fragile as you thought?\Kanou-kun!\I don't think you need to run away anymore.\This is the first time I've ever spent so much time with girls.\Match!\Damn it.\Don't underestimate the high schoolers.\Usui-san! Please come with us next! response:	No, with us!
context: Kanou-kun!\I don't think you need to run away anymore.\This is the first time I've ever spent so much time with girls.\Match!\Damn it.\Don't underestimate the high schoolers.\Usui-san! Please come with us next!\No, with us! response:	Please, Usui-san! Help us!
context: I don't think you need to run away anymore.\This is the first time I've ever spent so much time with girls.\Match!\Damn it.\Don't underestimate the high schoolers.\Usui-san! Please come with us next!\No, with us!\Please, Usui-san! Help us! response:	Our club, too!
context: This is the first time I've ever spent so much time with girls.\Match!\Damn it.\Don't underestimate the high schoolers.\Usui-san! Please come with us next!\No, with us!\Please, Usui-san! Help us!\Our club, too! response:	No, us first!
context: Match!\Damn it.\Don't underestimate the high schoolers.\Usui-san! Please come with us next!\No, with us!\Please, Usui-san! Help us!\Our club, too!\No, us first! response:	I've had enough.
context: Damn it.\Don't underestimate the high schoolers.\Usui-san! Please come with us next!\No, with us!\Please, Usui-san! Help us!\Our club, too!\No, us first!\I've had enough. response:	Okay.
context: Don't underestimate the high schoolers.\Usui-san! Please come with us next!\No, with us!\Please, Usui-san! Help us!\Our club, too!\No, us first!\I've had enough.\Okay. response:	Maybe I'll apply to Seika.
context: Usui-san! Please come with us next!\No, with us!\Please, Usui-san! Help us!\Our club, too!\No, us first!\I've had enough.\Okay.\Maybe I'll apply to Seika. response:	You mean you want to join us?
context: No, with us!\Please, Usui-san! Help us!\Our club, too!\No, us first!\I've had enough.\Okay.\Maybe I'll apply to Seika.\You mean you want to join us? response:	Yes!
context: Please, Usui-san! Help us!\Our club, too!\No, us first!\I've had enough.\Okay.\Maybe I'll apply to Seika.\You mean you want to join us?\Yes! response:	Oh, but...
context: Our club, too!\No, us first!\I've had enough.\Okay.\Maybe I'll apply to Seika.\You mean you want to join us?\Yes!\Oh, but... response:	Why?!
context: No, us first!\I've had enough.\Okay.\Maybe I'll apply to Seika.\You mean you want to join us?\Yes!\Oh, but...\Why?! response:	I'm not good with boys.
context: I've had enough.\Okay.\Maybe I'll apply to Seika.\You mean you want to join us?\Yes!\Oh, but...\Why?!\I'm not good with boys. response:	They scare me a little.
context: Okay.\Maybe I'll apply to Seika.\You mean you want to join us?\Yes!\Oh, but...\Why?!\I'm not good with boys.\They scare me a little. response:	She's been in an environment with nothing but girls all the time.
context: Maybe I'll apply to Seika.\You mean you want to join us?\Yes!\Oh, but...\Why?!\I'm not good with boys.\They scare me a little.\She's been in an environment with nothing but girls all the time. response:	She only came here with us.
context: You mean you want to join us?\Yes!\Oh, but...\Why?!\I'm not good with boys.\They scare me a little.\She's been in an environment with nothing but girls all the time.\She only came here with us. response:	There are a lot of boys at Seika, right?
context: Yes!\Oh, but...\Why?!\I'm not good with boys.\They scare me a little.\She's been in an environment with nothing but girls all the time.\She only came here with us.\There are a lot of boys at Seika, right? response:	I wish it was an all girls' school.
context: Oh, but...\Why?!\I'm not good with boys.\They scare me a little.\She's been in an environment with nothing but girls all the time.\She only came here with us.\There are a lot of boys at Seika, right?\I wish it was an all girls' school. response:	Dad! What do you mean Mom's broken and left us?
context: Why?!\I'm not good with boys.\They scare me a little.\She's been in an environment with nothing but girls all the time.\She only came here with us.\There are a lot of boys at Seika, right?\I wish it was an all girls' school.\Dad! What do you mean Mom's broken and left us? response:	Soutarou!
context: I'm not good with boys.\They scare me a little.\She's been in an environment with nothing but girls all the time.\She only came here with us.\There are a lot of boys at Seika, right?\I wish it was an all girls' school.\Dad! What do you mean Mom's broken and left us?\Soutarou! response:	Women are more weak and fragile than you imagine!
context: They scare me a little.\She's been in an environment with nothing but girls all the time.\She only came here with us.\There are a lot of boys at Seika, right?\I wish it was an all girls' school.\Dad! What do you mean Mom's broken and left us?\Soutarou!\Women are more weak and fragile than you imagine! response:	You'd better be careful with how you handle them, too!
context: She's been in an environment with nothing but girls all the time.\She only came here with us.\There are a lot of boys at Seika, right?\I wish it was an all girls' school.\Dad! What do you mean Mom's broken and left us?\Soutarou!\Women are more weak and fragile than you imagine!\You'd better be careful with how you handle them, too! response:	Mom!
context: She only came here with us.\There are a lot of boys at Seika, right?\I wish it was an all girls' school.\Dad! What do you mean Mom's broken and left us?\Soutarou!\Women are more weak and fragile than you imagine!\You'd better be careful with how you handle them, too!\Mom! response:	If they're going to break, then I won't go near them anymore.
context: There are a lot of boys at Seika, right?\I wish it was an all girls' school.\Dad! What do you mean Mom's broken and left us?\Soutarou!\Women are more weak and fragile than you imagine!\You'd better be careful with how you handle them, too!\Mom!\If they're going to break, then I won't go near them anymore. response:	I know.
context: I wish it was an all girls' school.\Dad! What do you mean Mom's broken and left us?\Soutarou!\Women are more weak and fragile than you imagine!\You'd better be careful with how you handle them, too!\Mom!\If they're going to break, then I won't go near them anymore.\I know. response:	Mom only got fed up with Dad and left.
context: Dad! What do you mean Mom's broken and left us?\Soutarou!\Women are more weak and fragile than you imagine!\You'd better be careful with how you handle them, too!\Mom!\If they're going to break, then I won't go near them anymore.\I know.\Mom only got fed up with Dad and left. response:	I've known that a long time.
context: Soutarou!\Women are more weak and fragile than you imagine!\You'd better be careful with how you handle them, too!\Mom!\If they're going to break, then I won't go near them anymore.\I know.\Mom only got fed up with Dad and left.\I've known that a long time. response:	There he is!
context: Women are more weak and fragile than you imagine!\You'd better be careful with how you handle them, too!\Mom!\If they're going to break, then I won't go near them anymore.\I know.\Mom only got fed up with Dad and left.\I've known that a long time.\There he is! response:	Kanou-kun!
context: You'd better be careful with how you handle them, too!\Mom!\If they're going to break, then I won't go near them anymore.\I know.\Mom only got fed up with Dad and left.\I've known that a long time.\There he is!\Kanou-kun! response:	Can you come this way?
context: Mom!\If they're going to break, then I won't go near them anymore.\I know.\Mom only got fed up with Dad and left.\I've known that a long time.\There he is!\Kanou-kun!\Can you come this way? response:	I'm taking the dishes in now.
context: If they're going to break, then I won't go near them anymore.\I know.\Mom only got fed up with Dad and left.\I've known that a long time.\There he is!\Kanou-kun!\Can you come this way?\I'm taking the dishes in now. response:	Leave it aside.
context: I know.\Mom only got fed up with Dad and left.\I've known that a long time.\There he is!\Kanou-kun!\Can you come this way?\I'm taking the dishes in now.\Leave it aside. response:	I've known it a long time, but I never got the urge to get close to them.
context: Mom only got fed up with Dad and left.\I've known that a long time.\There he is!\Kanou-kun!\Can you come this way?\I'm taking the dishes in now.\Leave it aside.\I've known it a long time, but I never got the urge to get close to them. response:	If I became close to someone, something like that could happen again.
context: I've known that a long time.\There he is!\Kanou-kun!\Can you come this way?\I'm taking the dishes in now.\Leave it aside.\I've known it a long time, but I never got the urge to get close to them.\If I became close to someone, something like that could happen again. response:	Girls are weak and fragile...
context: There he is!\Kanou-kun!\Can you come this way?\I'm taking the dishes in now.\Leave it aside.\I've known it a long time, but I never got the urge to get close to them.\If I became close to someone, something like that could happen again.\Girls are weak and fragile... response:	Were they really as weak or fragile as you thought?
context: Kanou-kun!\Can you come this way?\I'm taking the dishes in now.\Leave it aside.\I've known it a long time, but I never got the urge to get close to them.\If I became close to someone, something like that could happen again.\Girls are weak and fragile...\Were they really as weak or fragile as you thought? response:	Not good with boys, eh?
context: Can you come this way?\I'm taking the dishes in now.\Leave it aside.\I've known it a long time, but I never got the urge to get close to them.\If I became close to someone, something like that could happen again.\Girls are weak and fragile...\Were they really as weak or fragile as you thought?\Not good with boys, eh? response:	That's a little...
context: I'm taking the dishes in now.\Leave it aside.\I've known it a long time, but I never got the urge to get close to them.\If I became close to someone, something like that could happen again.\Girls are weak and fragile...\Were they really as weak or fragile as you thought?\Not good with boys, eh?\That's a little... response:	Hey, then is he scary?
context: Leave it aside.\I've known it a long time, but I never got the urge to get close to them.\If I became close to someone, something like that could happen again.\Girls are weak and fragile...\Were they really as weak or fragile as you thought?\Not good with boys, eh?\That's a little...\Hey, then is he scary? response:	Come on, glasses bunny.
context: I've known it a long time, but I never got the urge to get close to them.\If I became close to someone, something like that could happen again.\Girls are weak and fragile...\Were they really as weak or fragile as you thought?\Not good with boys, eh?\That's a little...\Hey, then is he scary?\Come on, glasses bunny. response:	Make her feel like you're not scary.
context: If I became close to someone, something like that could happen again.\Girls are weak and fragile...\Were they really as weak or fragile as you thought?\Not good with boys, eh?\That's a little...\Hey, then is he scary?\Come on, glasses bunny.\Make her feel like you're not scary. response:	Take a good look at her.
context: Girls are weak and fragile...\Were they really as weak or fragile as you thought?\Not good with boys, eh?\That's a little...\Hey, then is he scary?\Come on, glasses bunny.\Make her feel like you're not scary.\Take a good look at her. response:	Come on. It's not scary.
context: Were they really as weak or fragile as you thought?\Not good with boys, eh?\That's a little...\Hey, then is he scary?\Come on, glasses bunny.\Make her feel like you're not scary.\Take a good look at her.\Come on. It's not scary. response:	See?
context: Not good with boys, eh?\That's a little...\Hey, then is he scary?\Come on, glasses bunny.\Make her feel like you're not scary.\Take a good look at her.\Come on. It's not scary.\See? response:	Yes...
context: That's a little...\Hey, then is he scary?\Come on, glasses bunny.\Make her feel like you're not scary.\Take a good look at her.\Come on. It's not scary.\See?\Yes... response:	I don't think you need to run away anymore.
context: Hey, then is he scary?\Come on, glasses bunny.\Make her feel like you're not scary.\Take a good look at her.\Come on. It's not scary.\See?\Yes...\I don't think you need to run away anymore. response:	Okay.
context: Come on, glasses bunny.\Make her feel like you're not scary.\Take a good look at her.\Come on. It's not scary.\See?\Yes...\I don't think you need to run away anymore.\Okay. response:	I'll cast a spell on you now.
context: Make her feel like you're not scary.\Take a good look at her.\Come on. It's not scary.\See?\Yes...\I don't think you need to run away anymore.\Okay.\I'll cast a spell on you now. response:	Close your eyes.
context: Take a good look at her.\Come on. It's not scary.\See?\Yes...\I don't think you need to run away anymore.\Okay.\I'll cast a spell on you now.\Close your eyes. response:	You will...
context: Come on. It's not scary.\See?\Yes...\I don't think you need to run away anymore.\Okay.\I'll cast a spell on you now.\Close your eyes.\You will... response:	I am...
context: See?\Yes...\I don't think you need to run away anymore.\Okay.\I'll cast a spell on you now.\Close your eyes.\You will...\I am... response:	No longer be afraid of boys!
context: Yes...\I don't think you need to run away anymore.\Okay.\I'll cast a spell on you now.\Close your eyes.\You will...\I am...\No longer be afraid of boys! response:	Yes. I don't think I'm afraid of them anymore.
context: I don't think you need to run away anymore.\Okay.\I'll cast a spell on you now.\Close your eyes.\You will...\I am...\No longer be afraid of boys!\Yes. I don't think I'm afraid of them anymore. response:	Hear that? He said a spell?
context: Okay.\I'll cast a spell on you now.\Close your eyes.\You will...\I am...\No longer be afraid of boys!\Yes. I don't think I'm afraid of them anymore.\Hear that? He said a spell? response:	He's so cute.
context: I'll cast a spell on you now.\Close your eyes.\You will...\I am...\No longer be afraid of boys!\Yes. I don't think I'm afraid of them anymore.\Hear that? He said a spell?\He's so cute. response:	Yeah, and the bunny ears.
context: Close your eyes.\You will...\I am...\No longer be afraid of boys!\Yes. I don't think I'm afraid of them anymore.\Hear that? He said a spell?\He's so cute.\Yeah, and the bunny ears. response:	So you can use a cute spell like that, too, glasses bunny?
context: You will...\I am...\No longer be afraid of boys!\Yes. I don't think I'm afraid of them anymore.\Hear that? He said a spell?\He's so cute.\Yeah, and the bunny ears.\So you can use a cute spell like that, too, glasses bunny? response:	You can call it done when you finish carrying that.
context: I am...\No longer be afraid of boys!\Yes. I don't think I'm afraid of them anymore.\Hear that? He said a spell?\He's so cute.\Yeah, and the bunny ears.\So you can use a cute spell like that, too, glasses bunny?\You can call it done when you finish carrying that. response:	Okay.
context: No longer be afraid of boys!\Yes. I don't think I'm afraid of them anymore.\Hear that? He said a spell?\He's so cute.\Yeah, and the bunny ears.\So you can use a cute spell like that, too, glasses bunny?\You can call it done when you finish carrying that.\Okay. response:	Kanou. Thank you for your hard work.
context: Yes. I don't think I'm afraid of them anymore.\Hear that? He said a spell?\He's so cute.\Yeah, and the bunny ears.\So you can use a cute spell like that, too, glasses bunny?\You can call it done when you finish carrying that.\Okay.\Kanou. Thank you for your hard work. response:	As promised, I'll forgive you for everything.
context: Hear that? He said a spell?\He's so cute.\Yeah, and the bunny ears.\So you can use a cute spell like that, too, glasses bunny?\You can call it done when you finish carrying that.\Okay.\Kanou. Thank you for your hard work.\As promised, I'll forgive you for everything. response:	Be careful on your way home.
context: He's so cute.\Yeah, and the bunny ears.\So you can use a cute spell like that, too, glasses bunny?\You can call it done when you finish carrying that.\Okay.\Kanou. Thank you for your hard work.\As promised, I'll forgive you for everything.\Be careful on your way home. response:	Um, Prez!
context: Yeah, and the bunny ears.\So you can use a cute spell like that, too, glasses bunny?\You can call it done when you finish carrying that.\Okay.\Kanou. Thank you for your hard work.\As promised, I'll forgive you for everything.\Be careful on your way home.\Um, Prez! response:	Good work today.
context: So you can use a cute spell like that, too, glasses bunny?\You can call it done when you finish carrying that.\Okay.\Kanou. Thank you for your hard work.\As promised, I'll forgive you for everything.\Be careful on your way home.\Um, Prez!\Good work today. response:	Good work today, Usui-kun.
context: You can call it done when you finish carrying that.\Okay.\Kanou. Thank you for your hard work.\As promised, I'll forgive you for everything.\Be careful on your way home.\Um, Prez!\Good work today.\Good work today, Usui-kun. response:	Where are we going? Could you put me down?
context: Okay.\Kanou. Thank you for your hard work.\As promised, I'll forgive you for everything.\Be careful on your way home.\Um, Prez!\Good work today.\Good work today, Usui-kun.\Where are we going? Could you put me down? response:	Why aren't you saying anything?
