context: Please use this room. response:	Understood, thank you.
context: Check the wind.\Which way makes it is easier to run away?\Let's see. Downwind.\This is cool. I can last a lot longer than before!\Maybe I can even make it\I thought I was doing so good.\You can't just leave your own footprints.\You have to check the opponent's footprints, too. response:	Really?
context: Which way makes it is easier to run away?\Let's see. Downwind.\This is cool. I can last a lot longer than before!\Maybe I can even make it\I thought I was doing so good.\You can't just leave your own footprints.\You have to check the opponent's footprints, too.\Really? response:	Yeah. And Norman is also reading your habits.
context: Let's see. Downwind.\This is cool. I can last a lot longer than before!\Maybe I can even make it\I thought I was doing so good.\You can't just leave your own footprints.\You have to check the opponent's footprints, too.\Really?\Yeah. And Norman is also reading your habits. response:	For example, Thoma, you...
context: This is cool. I can last a lot longer than before!\Maybe I can even make it\I thought I was doing so good.\You can't just leave your own footprints.\You have to check the opponent's footprints, too.\Really?\Yeah. And Norman is also reading your habits.\For example, Thoma, you... response:	Playing tag looks like fun.
context: Maybe I can even make it\I thought I was doing so good.\You can't just leave your own footprints.\You have to check the opponent's footprints, too.\Really?\Yeah. And Norman is also reading your habits.\For example, Thoma, you...\Playing tag looks like fun. response:	I want to get along with everyone.
context: I thought I was doing so good.\You can't just leave your own footprints.\You have to check the opponent's footprints, too.\Really?\Yeah. And Norman is also reading your habits.\For example, Thoma, you...\Playing tag looks like fun.\I want to get along with everyone. response:	So let's play tag.
context: You can't just leave your own footprints.\You have to check the opponent's footprints, too.\Really?\Yeah. And Norman is also reading your habits.\For example, Thoma, you...\Playing tag looks like fun.\I want to get along with everyone.\So let's play tag. response:	The match's time limit will be 20 minutes.
context: You have to check the opponent's footprints, too.\Really?\Yeah. And Norman is also reading your habits.\For example, Thoma, you...\Playing tag looks like fun.\I want to get along with everyone.\So let's play tag.\The match's time limit will be 20 minutes. response:	I'll be It.
context: Really?\Yeah. And Norman is also reading your habits.\For example, Thoma, you...\Playing tag looks like fun.\I want to get along with everyone.\So let's play tag.\The match's time limit will be 20 minutes.\I'll be It. response:	Everyone, try to run away from me.
context: Yeah. And Norman is also reading your habits.\For example, Thoma, you...\Playing tag looks like fun.\I want to get along with everyone.\So let's play tag.\The match's time limit will be 20 minutes.\I'll be It.\Everyone, try to run away from me. response:	Seven, eight,
context: For example, Thoma, you...\Playing tag looks like fun.\I want to get along with everyone.\So let's play tag.\The match's time limit will be 20 minutes.\I'll be It.\Everyone, try to run away from me.\Seven, eight, response:	nine, ten!
context: Playing tag looks like fun.\I want to get along with everyone.\So let's play tag.\The match's time limit will be 20 minutes.\I'll be It.\Everyone, try to run away from me.\Seven, eight,\nine, ten! response:	Now, let me see what that woman's special children can do!
context: I want to get along with everyone.\So let's play tag.\The match's time limit will be 20 minutes.\I'll be It.\Everyone, try to run away from me.\Seven, eight,\nine, ten!\Now, let me see what that woman's special children can do! response:	So, how will the enemy move?
context: So let's play tag.\The match's time limit will be 20 minutes.\I'll be It.\Everyone, try to run away from me.\Seven, eight,\nine, ten!\Now, let me see what that woman's special children can do!\So, how will the enemy move? response:	She'll probably look for us first.
context: The match's time limit will be 20 minutes.\I'll be It.\Everyone, try to run away from me.\Seven, eight,\nine, ten!\Now, let me see what that woman's special children can do!\So, how will the enemy move?\She'll probably look for us first. response:	And on the way, she'll capture as many little ones as she can.
context: I'll be It.\Everyone, try to run away from me.\Seven, eight,\nine, ten!\Now, let me see what that woman's special children can do!\So, how will the enemy move?\She'll probably look for us first.\And on the way, she'll capture as many little ones as she can. response:	Probably something like that.
context: Everyone, try to run away from me.\Seven, eight,\nine, ten!\Now, let me see what that woman's special children can do!\So, how will the enemy move?\She'll probably look for us first.\And on the way, she'll capture as many little ones as she can.\Probably something like that. response:	Fake ones?
context: Seven, eight,\nine, ten!\Now, let me see what that woman's special children can do!\So, how will the enemy move?\She'll probably look for us first.\And on the way, she'll capture as many little ones as she can.\Probably something like that.\Fake ones? response:	And what is with this silence?
context: nine, ten!\Now, let me see what that woman's special children can do!\So, how will the enemy move?\She'll probably look for us first.\And on the way, she'll capture as many little ones as she can.\Probably something like that.\Fake ones?\And what is with this silence? response:	I'll have to get serious!
context: Now, let me see what that woman's special children can do!\So, how will the enemy move?\She'll probably look for us first.\And on the way, she'll capture as many little ones as she can.\Probably something like that.\Fake ones?\And what is with this silence?\I'll have to get serious! response:	She's not coming after us at all.
context: So, how will the enemy move?\She'll probably look for us first.\And on the way, she'll capture as many little ones as she can.\Probably something like that.\Fake ones?\And what is with this silence?\I'll have to get serious!\She's not coming after us at all. response:	Did she change her strategy?
context: She'll probably look for us first.\And on the way, she'll capture as many little ones as she can.\Probably something like that.\Fake ones?\And what is with this silence?\I'll have to get serious!\She's not coming after us at all.\Did she change her strategy? response:	Huh?
context: And on the way, she'll capture as many little ones as she can.\Probably something like that.\Fake ones?\And what is with this silence?\I'll have to get serious!\She's not coming after us at all.\Did she change her strategy?\Huh? response:	Too bad, caught you!
context: Probably something like that.\Fake ones?\And what is with this silence?\I'll have to get serious!\She's not coming after us at all.\Did she change her strategy?\Huh?\Too bad, caught you! response:	Why did everyone gather in one spot?
context: Fake ones?\And what is with this silence?\I'll have to get serious!\She's not coming after us at all.\Did she change her strategy?\Huh?\Too bad, caught you!\Why did everyone gather in one spot? response:	She used these to lure in the younger ones.
context: And what is with this silence?\I'll have to get serious!\She's not coming after us at all.\Did she change her strategy?\Huh?\Too bad, caught you!\Why did everyone gather in one spot?\She used these to lure in the younger ones. response:	So she's not stupid, huh?
context: I'll have to get serious!\She's not coming after us at all.\Did she change her strategy?\Huh?\Too bad, caught you!\Why did everyone gather in one spot?\She used these to lure in the younger ones.\So she's not stupid, huh? response:	No!
context: She's not coming after us at all.\Did she change her strategy?\Huh?\Too bad, caught you!\Why did everyone gather in one spot?\She used these to lure in the younger ones.\So she's not stupid, huh?\No! response:	Listen everyone! Sister is really hard to beat!
context: Did she change her strategy?\Huh?\Too bad, caught you!\Why did everyone gather in one spot?\She used these to lure in the younger ones.\So she's not stupid, huh?\No!\Listen everyone! Sister is really hard to beat! response:	Don and Gilda, too?
context: Huh?\Too bad, caught you!\Why did everyone gather in one spot?\She used these to lure in the younger ones.\So she's not stupid, huh?\No!\Listen everyone! Sister is really hard to beat!\Don and Gilda, too? response:	It was crazy. She chased me everywhere.
context: Too bad, caught you!\Why did everyone gather in one spot?\She used these to lure in the younger ones.\So she's not stupid, huh?\No!\Listen everyone! Sister is really hard to beat!\Don and Gilda, too?\It was crazy. She chased me everywhere. response:	We got caught way faster than when Norman was It.
context: Why did everyone gather in one spot?\She used these to lure in the younger ones.\So she's not stupid, huh?\No!\Listen everyone! Sister is really hard to beat!\Don and Gilda, too?\It was crazy. She chased me everywhere.\We got caught way faster than when Norman was It. response:	Emma!
context: She used these to lure in the younger ones.\So she's not stupid, huh?\No!\Listen everyone! Sister is really hard to beat!\Don and Gilda, too?\It was crazy. She chased me everywhere.\We got caught way faster than when Norman was It.\Emma! response:	Cover your mouths!
context: So she's not stupid, huh?\No!\Listen everyone! Sister is really hard to beat!\Don and Gilda, too?\It was crazy. She chased me everywhere.\We got caught way faster than when Norman was It.\Emma!\Cover your mouths! response:	Jump!
context: No!\Listen everyone! Sister is really hard to beat!\Don and Gilda, too?\It was crazy. She chased me everywhere.\We got caught way faster than when Norman was It.\Emma!\Cover your mouths!\Jump! response:	Running while carrying two kids. You must be tired, Emma.
context: Listen everyone! Sister is really hard to beat!\Don and Gilda, too?\It was crazy. She chased me everywhere.\We got caught way faster than when Norman was It.\Emma!\Cover your mouths!\Jump!\Running while carrying two kids. You must be tired, Emma. response:	You won't be able to move unless you rest.
context: Don and Gilda, too?\It was crazy. She chased me everywhere.\We got caught way faster than when Norman was It.\Emma!\Cover your mouths!\Jump!\Running while carrying two kids. You must be tired, Emma.\You won't be able to move unless you rest. response:	Did you know? Norman's weakness is physical strength.
context: It was crazy. She chased me everywhere.\We got caught way faster than when Norman was It.\Emma!\Cover your mouths!\Jump!\Running while carrying two kids. You must be tired, Emma.\You won't be able to move unless you rest.\Did you know? Norman's weakness is physical strength. response:	I heard he was feeble when he was younger.
context: We got caught way faster than when Norman was It.\Emma!\Cover your mouths!\Jump!\Running while carrying two kids. You must be tired, Emma.\You won't be able to move unless you rest.\Did you know? Norman's weakness is physical strength.\I heard he was feeble when he was younger. response:	Ray's weakness is that he's a little quick to give up.
context: Emma!\Cover your mouths!\Jump!\Running while carrying two kids. You must be tired, Emma.\You won't be able to move unless you rest.\Did you know? Norman's weakness is physical strength.\I heard he was feeble when he was younger.\Ray's weakness is that he's a little quick to give up. response:	He makes a decision fast but abandons them just as quickly.
context: Cover your mouths!\Jump!\Running while carrying two kids. You must be tired, Emma.\You won't be able to move unless you rest.\Did you know? Norman's weakness is physical strength.\I heard he was feeble when he was younger.\Ray's weakness is that he's a little quick to give up.\He makes a decision fast but abandons them just as quickly. response:	And you, Emma!
context: Jump!\Running while carrying two kids. You must be tired, Emma.\You won't be able to move unless you rest.\Did you know? Norman's weakness is physical strength.\I heard he was feeble when he was younger.\Ray's weakness is that he's a little quick to give up.\He makes a decision fast but abandons them just as quickly.\And you, Emma! response:	Your weakness is your naivete.
context: Running while carrying two kids. You must be tired, Emma.\You won't be able to move unless you rest.\Did you know? Norman's weakness is physical strength.\I heard he was feeble when he was younger.\Ray's weakness is that he's a little quick to give up.\He makes a decision fast but abandons them just as quickly.\And you, Emma!\Your weakness is your naivete. response:	Like how naive you are by carrying others when you're being chased.
context: You won't be able to move unless you rest.\Did you know? Norman's weakness is physical strength.\I heard he was feeble when he was younger.\Ray's weakness is that he's a little quick to give up.\He makes a decision fast but abandons them just as quickly.\And you, Emma!\Your weakness is your naivete.\Like how naive you are by carrying others when you're being chased. response:	Just give up and come on out.
context: Did you know? Norman's weakness is physical strength.\I heard he was feeble when he was younger.\Ray's weakness is that he's a little quick to give up.\He makes a decision fast but abandons them just as quickly.\And you, Emma!\Your weakness is your naivete.\Like how naive you are by carrying others when you're being chased.\Just give up and come on out. response:	I won't do you wrong.
context: I heard he was feeble when he was younger.\Ray's weakness is that he's a little quick to give up.\He makes a decision fast but abandons them just as quickly.\And you, Emma!\Your weakness is your naivete.\Like how naive you are by carrying others when you're being chased.\Just give up and come on out.\I won't do you wrong. response:	Listen, Emma. If you saw the harvest that day...
context: Ray's weakness is that he's a little quick to give up.\He makes a decision fast but abandons them just as quickly.\And you, Emma!\Your weakness is your naivete.\Like how naive you are by carrying others when you're being chased.\Just give up and come on out.\I won't do you wrong.\Listen, Emma. If you saw the harvest that day... response:	then I'm on your side.
context: He makes a decision fast but abandons them just as quickly.\And you, Emma!\Your weakness is your naivete.\Like how naive you are by carrying others when you're being chased.\Just give up and come on out.\I won't do you wrong.\Listen, Emma. If you saw the harvest that day...\then I'm on your side. response:	Found you!
context: And you, Emma!\Your weakness is your naivete.\Like how naive you are by carrying others when you're being chased.\Just give up and come on out.\I won't do you wrong.\Listen, Emma. If you saw the harvest that day...\then I'm on your side.\Found you! response:	Two more!
context: Your weakness is your naivete.\Like how naive you are by carrying others when you're being chased.\Just give up and come on out.\I won't do you wrong.\Listen, Emma. If you saw the harvest that day...\then I'm on your side.\Found you!\Two more! response:	How much time is left?
context: Like how naive you are by carrying others when you're being chased.\Just give up and come on out.\I won't do you wrong.\Listen, Emma. If you saw the harvest that day...\then I'm on your side.\Found you!\Two more!\How much time is left? response:	Eight minutes and 40 seconds!
context: Just give up and come on out.\I won't do you wrong.\Listen, Emma. If you saw the harvest that day...\then I'm on your side.\Found you!\Two more!\How much time is left?\Eight minutes and 40 seconds! response:	So these are the perfect scorers of this place.
context: I won't do you wrong.\Listen, Emma. If you saw the harvest that day...\then I'm on your side.\Found you!\Two more!\How much time is left?\Eight minutes and 40 seconds!\So these are the perfect scorers of this place. response:	Time's up.
context: Listen, Emma. If you saw the harvest that day...\then I'm on your side.\Found you!\Two more!\How much time is left?\Eight minutes and 40 seconds!\So these are the perfect scorers of this place.\Time's up. response:	- They did it! - Yay!
context: then I'm on your side.\Found you!\Two more!\How much time is left?\Eight minutes and 40 seconds!\So these are the perfect scorers of this place.\Time's up.\- They did it! - Yay! response:	Norman. Ray. Emma.
context: Found you!\Two more!\How much time is left?\Eight minutes and 40 seconds!\So these are the perfect scorers of this place.\Time's up.\- They did it! - Yay!\Norman. Ray. Emma. response:	And...
context: Two more!\How much time is left?\Eight minutes and 40 seconds!\So these are the perfect scorers of this place.\Time's up.\- They did it! - Yay!\Norman. Ray. Emma.\And... response:	That sister hasn't done anything since.
context: How much time is left?\Eight minutes and 40 seconds!\So these are the perfect scorers of this place.\Time's up.\- They did it! - Yay!\Norman. Ray. Emma.\And...\That sister hasn't done anything since. response:	That's probably Mom's order.
context: Eight minutes and 40 seconds!\So these are the perfect scorers of this place.\Time's up.\- They did it! - Yay!\Norman. Ray. Emma.\And...\That sister hasn't done anything since.\That's probably Mom's order. response:	Mom used to suspect us, but it doesn't seem like that anymore.
context: So these are the perfect scorers of this place.\Time's up.\- They did it! - Yay!\Norman. Ray. Emma.\And...\That sister hasn't done anything since.\That's probably Mom's order.\Mom used to suspect us, but it doesn't seem like that anymore. response:	I wonder why?
context: Time's up.\- They did it! - Yay!\Norman. Ray. Emma.\And...\That sister hasn't done anything since.\That's probably Mom's order.\Mom used to suspect us, but it doesn't seem like that anymore.\I wonder why? response:	What do you think, Ray?
context: - They did it! - Yay!\Norman. Ray. Emma.\And...\That sister hasn't done anything since.\That's probably Mom's order.\Mom used to suspect us, but it doesn't seem like that anymore.\I wonder why?\What do you think, Ray? response:	What about you, Norman?
context: Norman. Ray. Emma.\And...\That sister hasn't done anything since.\That's probably Mom's order.\Mom used to suspect us, but it doesn't seem like that anymore.\I wonder why?\What do you think, Ray?\What about you, Norman? response:	Mom did something behind the scenes so she won't have to move herself.
context: And...\That sister hasn't done anything since.\That's probably Mom's order.\Mom used to suspect us, but it doesn't seem like that anymore.\I wonder why?\What do you think, Ray?\What about you, Norman?\Mom did something behind the scenes so she won't have to move herself. response:	What do you mean?
context: That sister hasn't done anything since.\That's probably Mom's order.\Mom used to suspect us, but it doesn't seem like that anymore.\I wonder why?\What do you think, Ray?\What about you, Norman?\Mom did something behind the scenes so she won't have to move herself.\What do you mean? response:	What do you think would be the easiest situation for Mom?
context: That's probably Mom's order.\Mom used to suspect us, but it doesn't seem like that anymore.\I wonder why?\What do you think, Ray?\What about you, Norman?\Mom did something behind the scenes so she won't have to move herself.\What do you mean?\What do you think would be the easiest situation for Mom? response:	That would be to know our moves without having to do anything.
context: Mom used to suspect us, but it doesn't seem like that anymore.\I wonder why?\What do you think, Ray?\What about you, Norman?\Mom did something behind the scenes so she won't have to move herself.\What do you mean?\What do you think would be the easiest situation for Mom?\That would be to know our moves without having to do anything. response:	But there are no security cameras or listening devices...
context: I wonder why?\What do you think, Ray?\What about you, Norman?\Mom did something behind the scenes so she won't have to move herself.\What do you mean?\What do you think would be the easiest situation for Mom?\That would be to know our moves without having to do anything.\But there are no security cameras or listening devices... response:	That means...
context: What do you think, Ray?\What about you, Norman?\Mom did something behind the scenes so she won't have to move herself.\What do you mean?\What do you think would be the easiest situation for Mom?\That would be to know our moves without having to do anything.\But there are no security cameras or listening devices...\That means... response:	Yeah, there's probably...
context: What about you, Norman?\Mom did something behind the scenes so she won't have to move herself.\What do you mean?\What do you think would be the easiest situation for Mom?\That would be to know our moves without having to do anything.\But there are no security cameras or listening devices...\That means...\Yeah, there's probably... response:	Most likely among the kids.
context: Mom did something behind the scenes so she won't have to move herself.\What do you mean?\What do you think would be the easiest situation for Mom?\That would be to know our moves without having to do anything.\But there are no security cameras or listening devices...\That means...\Yeah, there's probably...\Most likely among the kids. response:	There's a traitor.
context: What do you mean?\What do you think would be the easiest situation for Mom?\That would be to know our moves without having to do anything.\But there are no security cameras or listening devices...\That means...\Yeah, there's probably...\Most likely among the kids.\There's a traitor. response:	- I'm hungry! - Me too.
