context: There's no way he would like someone like me. response:	Why are you assuming you've lost?
context: G-Get her? How?\Hey, you're great at impersonating Miku, aren't you?\You're so mean.\Excuse me.\May I try on the samurai clothes, too?\Maeda and Takeda are late as hell.\And Miku said she'd wait, but she's gone.\I guess she left. response:	Considering what happened on the first day, I can't blame her.
context: Hey, you're great at impersonating Miku, aren't you?\You're so mean.\Excuse me.\May I try on the samurai clothes, too?\Maeda and Takeda are late as hell.\And Miku said she'd wait, but she's gone.\I guess she left.\Considering what happened on the first day, I can't blame her. response:	Miku.
context: You're so mean.\Excuse me.\May I try on the samurai clothes, too?\Maeda and Takeda are late as hell.\And Miku said she'd wait, but she's gone.\I guess she left.\Considering what happened on the first day, I can't blame her.\Miku. response:	So you did get dressed, too, huh?
context: Excuse me.\May I try on the samurai clothes, too?\Maeda and Takeda are late as hell.\And Miku said she'd wait, but she's gone.\I guess she left.\Considering what happened on the first day, I can't blame her.\Miku.\So you did get dressed, too, huh? response:	I wasn't planning to, but the staff were weirdly enthusiastic about it.
context: May I try on the samurai clothes, too?\Maeda and Takeda are late as hell.\And Miku said she'd wait, but she's gone.\I guess she left.\Considering what happened on the first day, I can't blame her.\Miku.\So you did get dressed, too, huh?\I wasn't planning to, but the staff were weirdly enthusiastic about it. response:	I don't look weird, do I?
context: Maeda and Takeda are late as hell.\And Miku said she'd wait, but she's gone.\I guess she left.\Considering what happened on the first day, I can't blame her.\Miku.\So you did get dressed, too, huh?\I wasn't planning to, but the staff were weirdly enthusiastic about it.\I don't look weird, do I? response:	Y-You look good.
context: And Miku said she'd wait, but she's gone.\I guess she left.\Considering what happened on the first day, I can't blame her.\Miku.\So you did get dressed, too, huh?\I wasn't planning to, but the staff were weirdly enthusiastic about it.\I don't look weird, do I?\Y-You look good. response:	Wh-Where are your friends?
context: I guess she left.\Considering what happened on the first day, I can't blame her.\Miku.\So you did get dressed, too, huh?\I wasn't planning to, but the staff were weirdly enthusiastic about it.\I don't look weird, do I?\Y-You look good.\Wh-Where are your friends? response:	Th-They're taking forever.
context: Considering what happened on the first day, I can't blame her.\Miku.\So you did get dressed, too, huh?\I wasn't planning to, but the staff were weirdly enthusiastic about it.\I don't look weird, do I?\Y-You look good.\Wh-Where are your friends?\Th-They're taking forever. response:	I don't know what to do with them.
context: Miku.\So you did get dressed, too, huh?\I wasn't planning to, but the staff were weirdly enthusiastic about it.\I don't look weird, do I?\Y-You look good.\Wh-Where are your friends?\Th-They're taking forever.\I don't know what to do with them. response:	Scariest Haunted House in History
context: So you did get dressed, too, huh?\I wasn't planning to, but the staff were weirdly enthusiastic about it.\I don't look weird, do I?\Y-You look good.\Wh-Where are your friends?\Th-They're taking forever.\I don't know what to do with them.\Scariest Haunted House in History response:	Uesugi-kun! Are you really here?!
context: I wasn't planning to, but the staff were weirdly enthusiastic about it.\I don't look weird, do I?\Y-You look good.\Wh-Where are your friends?\Th-They're taking forever.\I don't know what to do with them.\Scariest Haunted House in History\Uesugi-kun! Are you really here?! response:	Lured them in good.
context: I don't look weird, do I?\Y-You look good.\Wh-Where are your friends?\Th-They're taking forever.\I don't know what to do with them.\Scariest Haunted House in History\Uesugi-kun! Are you really here?!\Lured them in good. response:	Looks like Ichika managed to do her part.
context: Y-You look good.\Wh-Where are your friends?\Th-They're taking forever.\I don't know what to do with them.\Scariest Haunted House in History\Uesugi-kun! Are you really here?!\Lured them in good.\Looks like Ichika managed to do her part. response:	Huh...
context: Wh-Where are your friends?\Th-They're taking forever.\I don't know what to do with them.\Scariest Haunted House in History\Uesugi-kun! Are you really here?!\Lured them in good.\Looks like Ichika managed to do her part.\Huh... response:	They look good together.
context: Th-They're taking forever.\I don't know what to do with them.\Scariest Haunted House in History\Uesugi-kun! Are you really here?!\Lured them in good.\Looks like Ichika managed to do her part.\Huh...\They look good together. response:	Futaro!
context: I don't know what to do with them.\Scariest Haunted House in History\Uesugi-kun! Are you really here?!\Lured them in good.\Looks like Ichika managed to do her part.\Huh...\They look good together.\Futaro! response:	Take a picture! It's going to go back down!
context: Scariest Haunted House in History\Uesugi-kun! Are you really here?!\Lured them in good.\Looks like Ichika managed to do her part.\Huh...\They look good together.\Futaro!\Take a picture! It's going to go back down! response:	All right. Fine.
context: Uesugi-kun! Are you really here?!\Lured them in good.\Looks like Ichika managed to do her part.\Huh...\They look good together.\Futaro!\Take a picture! It's going to go back down!\All right. Fine. response:	Don't go thinking I'm giving you to her.
context: Lured them in good.\Looks like Ichika managed to do her part.\Huh...\They look good together.\Futaro!\Take a picture! It's going to go back down!\All right. Fine.\Don't go thinking I'm giving you to her. response:	Oh, dear.
context: Looks like Ichika managed to do her part.\Huh...\They look good together.\Futaro!\Take a picture! It's going to go back down!\All right. Fine.\Don't go thinking I'm giving you to her.\Oh, dear. response:	She's drenched.
context: Huh...\They look good together.\Futaro!\Take a picture! It's going to go back down!\All right. Fine.\Don't go thinking I'm giving you to her.\Oh, dear.\She's drenched. response:	Like we were yesterday.
context: They look good together.\Futaro!\Take a picture! It's going to go back down!\All right. Fine.\Don't go thinking I'm giving you to her.\Oh, dear.\She's drenched.\Like we were yesterday. response:	What is she going to do about her underwear?
context: Futaro!\Take a picture! It's going to go back down!\All right. Fine.\Don't go thinking I'm giving you to her.\Oh, dear.\She's drenched.\Like we were yesterday.\What is she going to do about her underwear? response:	You told me to watch where I was going.
context: Take a picture! It's going to go back down!\All right. Fine.\Don't go thinking I'm giving you to her.\Oh, dear.\She's drenched.\Like we were yesterday.\What is she going to do about her underwear?\You told me to watch where I was going. response:	You should pay attention to your surroundings, too.
context: All right. Fine.\Don't go thinking I'm giving you to her.\Oh, dear.\She's drenched.\Like we were yesterday.\What is she going to do about her underwear?\You told me to watch where I was going.\You should pay attention to your surroundings, too. response:	I told you, I'm sorry.
context: Don't go thinking I'm giving you to her.\Oh, dear.\She's drenched.\Like we were yesterday.\What is she going to do about her underwear?\You told me to watch where I was going.\You should pay attention to your surroundings, too.\I told you, I'm sorry. response:	I'll apologize to the staff.
context: Oh, dear.\She's drenched.\Like we were yesterday.\What is she going to do about her underwear?\You told me to watch where I was going.\You should pay attention to your surroundings, too.\I told you, I'm sorry.\I'll apologize to the staff. response:	You should get changed.
context: She's drenched.\Like we were yesterday.\What is she going to do about her underwear?\You told me to watch where I was going.\You should pay attention to your surroundings, too.\I told you, I'm sorry.\I'll apologize to the staff.\You should get changed. response:	Yeah.
context: Like we were yesterday.\What is she going to do about her underwear?\You told me to watch where I was going.\You should pay attention to your surroundings, too.\I told you, I'm sorry.\I'll apologize to the staff.\You should get changed.\Yeah. response:	Before we knew it, we were talking like normal again.
context: What is she going to do about her underwear?\You told me to watch where I was going.\You should pay attention to your surroundings, too.\I told you, I'm sorry.\I'll apologize to the staff.\You should get changed.\Yeah.\Before we knew it, we were talking like normal again. response:	It's strange, given everything that happened.
context: You told me to watch where I was going.\You should pay attention to your surroundings, too.\I told you, I'm sorry.\I'll apologize to the staff.\You should get changed.\Yeah.\Before we knew it, we were talking like normal again.\It's strange, given everything that happened. response:	It's like I stop worrying about silly things when I'm with him.
context: You should pay attention to your surroundings, too.\I told you, I'm sorry.\I'll apologize to the staff.\You should get changed.\Yeah.\Before we knew it, we were talking like normal again.\It's strange, given everything that happened.\It's like I stop worrying about silly things when I'm with him. response:	Like the fact that I'm soaked all the way down to my underwear.
context: I told you, I'm sorry.\I'll apologize to the staff.\You should get changed.\Yeah.\Before we knew it, we were talking like normal again.\It's strange, given everything that happened.\It's like I stop worrying about silly things when I'm with him.\Like the fact that I'm soaked all the way down to my underwear. response:	Please use this if you're in need
context: I'll apologize to the staff.\You should get changed.\Yeah.\Before we knew it, we were talking like normal again.\It's strange, given everything that happened.\It's like I stop worrying about silly things when I'm with him.\Like the fact that I'm soaked all the way down to my underwear.\Please use this if you're in need response:	This paper bag is from an underwear shop.
context: You should get changed.\Yeah.\Before we knew it, we were talking like normal again.\It's strange, given everything that happened.\It's like I stop worrying about silly things when I'm with him.\Like the fact that I'm soaked all the way down to my underwear.\Please use this if you're in need\This paper bag is from an underwear shop. response:	Who was it?
context: Yeah.\Before we knew it, we were talking like normal again.\It's strange, given everything that happened.\It's like I stop worrying about silly things when I'm with him.\Like the fact that I'm soaked all the way down to my underwear.\Please use this if you're in need\This paper bag is from an underwear shop.\Who was it? response:	Maybe it was the staff.
context: Before we knew it, we were talking like normal again.\It's strange, given everything that happened.\It's like I stop worrying about silly things when I'm with him.\Like the fact that I'm soaked all the way down to my underwear.\Please use this if you're in need\This paper bag is from an underwear shop.\Who was it?\Maybe it was the staff. response:	I'll take them up on their offer.
context: It's strange, given everything that happened.\It's like I stop worrying about silly things when I'm with him.\Like the fact that I'm soaked all the way down to my underwear.\Please use this if you're in need\This paper bag is from an underwear shop.\Who was it?\Maybe it was the staff.\I'll take them up on their offer. response:	Good thing you had that underwear, Itsuki!
context: It's like I stop worrying about silly things when I'm with him.\Like the fact that I'm soaked all the way down to my underwear.\Please use this if you're in need\This paper bag is from an underwear shop.\Who was it?\Maybe it was the staff.\I'll take them up on their offer.\Good thing you had that underwear, Itsuki! response:	Why, though?
context: Like the fact that I'm soaked all the way down to my underwear.\Please use this if you're in need\This paper bag is from an underwear shop.\Who was it?\Maybe it was the staff.\I'll take them up on their offer.\Good thing you had that underwear, Itsuki!\Why, though? response:	I thought I might need it in an emergency!
context: Please use this if you're in need\This paper bag is from an underwear shop.\Who was it?\Maybe it was the staff.\I'll take them up on their offer.\Good thing you had that underwear, Itsuki!\Why, though?\I thought I might need it in an emergency! response:	Those guys are still gone...
context: This paper bag is from an underwear shop.\Who was it?\Maybe it was the staff.\I'll take them up on their offer.\Good thing you had that underwear, Itsuki!\Why, though?\I thought I might need it in an emergency!\Those guys are still gone... response:	Where are they?
context: Who was it?\Maybe it was the staff.\I'll take them up on their offer.\Good thing you had that underwear, Itsuki!\Why, though?\I thought I might need it in an emergency!\Those guys are still gone...\Where are they? response:	What's wrong, Miku?
context: Maybe it was the staff.\I'll take them up on their offer.\Good thing you had that underwear, Itsuki!\Why, though?\I thought I might need it in an emergency!\Those guys are still gone...\Where are they?\What's wrong, Miku? response:	I-I'm exhausted.
context: I'll take them up on their offer.\Good thing you had that underwear, Itsuki!\Why, though?\I thought I might need it in an emergency!\Those guys are still gone...\Where are they?\What's wrong, Miku?\I-I'm exhausted. response:	Currently under maintenance. Please keep out.
context: Good thing you had that underwear, Itsuki!\Why, though?\I thought I might need it in an emergency!\Those guys are still gone...\Where are they?\What's wrong, Miku?\I-I'm exhausted.\Currently under maintenance. Please keep out. response:	Let's sit down for a bit.
context: Why, though?\I thought I might need it in an emergency!\Those guys are still gone...\Where are they?\What's wrong, Miku?\I-I'm exhausted.\Currently under maintenance. Please keep out.\Let's sit down for a bit. response:	There we go.
context: I thought I might need it in an emergency!\Those guys are still gone...\Where are they?\What's wrong, Miku?\I-I'm exhausted.\Currently under maintenance. Please keep out.\Let's sit down for a bit.\There we go. response:	Sorry, I'm back now.
context: Those guys are still gone...\Where are they?\What's wrong, Miku?\I-I'm exhausted.\Currently under maintenance. Please keep out.\Let's sit down for a bit.\There we go.\Sorry, I'm back now. response:	How are they doing?
context: Where are they?\What's wrong, Miku?\I-I'm exhausted.\Currently under maintenance. Please keep out.\Let's sit down for a bit.\There we go.\Sorry, I'm back now.\How are they doing? response:	I think things are going well.
context: What's wrong, Miku?\I-I'm exhausted.\Currently under maintenance. Please keep out.\Let's sit down for a bit.\There we go.\Sorry, I'm back now.\How are they doing?\I think things are going well. response:	What do we do now, Yotsuba?
context: I-I'm exhausted.\Currently under maintenance. Please keep out.\Let's sit down for a bit.\There we go.\Sorry, I'm back now.\How are they doing?\I think things are going well.\What do we do now, Yotsuba? response:	I picked up Miku's bread, but I left it back at the hotel.
context: Currently under maintenance. Please keep out.\Let's sit down for a bit.\There we go.\Sorry, I'm back now.\How are they doing?\I think things are going well.\What do we do now, Yotsuba?\I picked up Miku's bread, but I left it back at the hotel. response:	What? B-Bread?
context: Let's sit down for a bit.\There we go.\Sorry, I'm back now.\How are they doing?\I think things are going well.\What do we do now, Yotsuba?\I picked up Miku's bread, but I left it back at the hotel.\What? B-Bread? response:	Don't worry.
context: There we go.\Sorry, I'm back now.\How are they doing?\I think things are going well.\What do we do now, Yotsuba?\I picked up Miku's bread, but I left it back at the hotel.\What? B-Bread?\Don't worry. response:	I just need to hand this to Miku, right?
context: Sorry, I'm back now.\How are they doing?\I think things are going well.\What do we do now, Yotsuba?\I picked up Miku's bread, but I left it back at the hotel.\What? B-Bread?\Don't worry.\I just need to hand this to Miku, right? response:	The last three days went by so quickly.
context: How are they doing?\I think things are going well.\What do we do now, Yotsuba?\I picked up Miku's bread, but I left it back at the hotel.\What? B-Bread?\Don't worry.\I just need to hand this to Miku, right?\The last three days went by so quickly. response:	Yeah.
context: I think things are going well.\What do we do now, Yotsuba?\I picked up Miku's bread, but I left it back at the hotel.\What? B-Bread?\Don't worry.\I just need to hand this to Miku, right?\The last three days went by so quickly.\Yeah. response:	Although it was just two days for me.
context: What do we do now, Yotsuba?\I picked up Miku's bread, but I left it back at the hotel.\What? B-Bread?\Don't worry.\I just need to hand this to Miku, right?\The last three days went by so quickly.\Yeah.\Although it was just two days for me. response:	But it's fine.
context: I picked up Miku's bread, but I left it back at the hotel.\What? B-Bread?\Don't worry.\I just need to hand this to Miku, right?\The last three days went by so quickly.\Yeah.\Although it was just two days for me.\But it's fine. response:	I got to spend the last day with you.
context: What? B-Bread?\Don't worry.\I just need to hand this to Miku, right?\The last three days went by so quickly.\Yeah.\Although it was just two days for me.\But it's fine.\I got to spend the last day with you. response:	That's good enough for me.
context: Don't worry.\I just need to hand this to Miku, right?\The last three days went by so quickly.\Yeah.\Although it was just two days for me.\But it's fine.\I got to spend the last day with you.\That's good enough for me. response:	Miku...
context: I just need to hand this to Miku, right?\The last three days went by so quickly.\Yeah.\Although it was just two days for me.\But it's fine.\I got to spend the last day with you.\That's good enough for me.\Miku... response:	What's that?
context: The last three days went by so quickly.\Yeah.\Although it was just two days for me.\But it's fine.\I got to spend the last day with you.\That's good enough for me.\Miku...\What's that? response:	Why is my bread here?
context: Yeah.\Although it was just two days for me.\But it's fine.\I got to spend the last day with you.\That's good enough for me.\Miku...\What's that?\Why is my bread here? response:	You baked that?
context: Although it was just two days for me.\But it's fine.\I got to spend the last day with you.\That's good enough for me.\Miku...\What's that?\Why is my bread here?\You baked that? response:	I did, but...
context: But it's fine.\I got to spend the last day with you.\That's good enough for me.\Miku...\What's that?\Why is my bread here?\You baked that?\I did, but... response:	I'm hungry. I'm going to take one.
context: I got to spend the last day with you.\That's good enough for me.\Miku...\What's that?\Why is my bread here?\You baked that?\I did, but...\I'm hungry. I'm going to take one. response:	That's already...
context: That's good enough for me.\Miku...\What's that?\Why is my bread here?\You baked that?\I did, but...\I'm hungry. I'm going to take one.\That's already... response:	Yum.
context: Miku...\What's that?\Why is my bread here?\You baked that?\I did, but...\I'm hungry. I'm going to take one.\That's already...\Yum. response:	I seem to have a bad palate.
context: What's that?\Why is my bread here?\You baked that?\I did, but...\I'm hungry. I'm going to take one.\That's already...\Yum.\I seem to have a bad palate. response:	Honestly, I'm not confident I can give you good feedback,
context: Why is my bread here?\You baked that?\I did, but...\I'm hungry. I'm going to take one.\That's already...\Yum.\I seem to have a bad palate.\Honestly, I'm not confident I can give you good feedback, response:	but I can, at least, appreciate your effort.
context: You baked that?\I did, but...\I'm hungry. I'm going to take one.\That's already...\Yum.\I seem to have a bad palate.\Honestly, I'm not confident I can give you good feedback,\but I can, at least, appreciate your effort. response:	You must've worked so hard.
context: I did, but...\I'm hungry. I'm going to take one.\That's already...\Yum.\I seem to have a bad palate.\Honestly, I'm not confident I can give you good feedback,\but I can, at least, appreciate your effort.\You must've worked so hard. response:	Yeah.
context: I'm hungry. I'm going to take one.\That's already...\Yum.\I seem to have a bad palate.\Honestly, I'm not confident I can give you good feedback,\but I can, at least, appreciate your effort.\You must've worked so hard.\Yeah. response:	I worked really hard.
context: That's already...\Yum.\I seem to have a bad palate.\Honestly, I'm not confident I can give you good feedback,\but I can, at least, appreciate your effort.\You must've worked so hard.\Yeah.\I worked really hard. response:	I handed it to her.
context: Yum.\I seem to have a bad palate.\Honestly, I'm not confident I can give you good feedback,\but I can, at least, appreciate your effort.\You must've worked so hard.\Yeah.\I worked really hard.\I handed it to her. response:	Sorry, Ichika.
context: I seem to have a bad palate.\Honestly, I'm not confident I can give you good feedback,\but I can, at least, appreciate your effort.\You must've worked so hard.\Yeah.\I worked really hard.\I handed it to her.\Sorry, Ichika. response:	I think I've been rooting for the passive one the most
context: Honestly, I'm not confident I can give you good feedback,\but I can, at least, appreciate your effort.\You must've worked so hard.\Yeah.\I worked really hard.\I handed it to her.\Sorry, Ichika.\I think I've been rooting for the passive one the most response:	because I wanted everyone to be happy.
context: but I can, at least, appreciate your effort.\You must've worked so hard.\Yeah.\I worked really hard.\I handed it to her.\Sorry, Ichika.\I think I've been rooting for the passive one the most\because I wanted everyone to be happy. response:	So I never realized how you were really feeling.
context: You must've worked so hard.\Yeah.\I worked really hard.\I handed it to her.\Sorry, Ichika.\I think I've been rooting for the passive one the most\because I wanted everyone to be happy.\So I never realized how you were really feeling. response:	So, sorry.
context: Yeah.\I worked really hard.\I handed it to her.\Sorry, Ichika.\I think I've been rooting for the passive one the most\because I wanted everyone to be happy.\So I never realized how you were really feeling.\So, sorry. response:	I keep getting apologized to.
context: I worked really hard.\I handed it to her.\Sorry, Ichika.\I think I've been rooting for the passive one the most\because I wanted everyone to be happy.\So I never realized how you were really feeling.\So, sorry.\I keep getting apologized to. response:	I'm the one who needs to apologize the most.
context: I handed it to her.\Sorry, Ichika.\I think I've been rooting for the passive one the most\because I wanted everyone to be happy.\So I never realized how you were really feeling.\So, sorry.\I keep getting apologized to.\I'm the one who needs to apologize the most. response:	My mom used to bake for me a lot.
context: Sorry, Ichika.\I think I've been rooting for the passive one the most\because I wanted everyone to be happy.\So I never realized how you were really feeling.\So, sorry.\I keep getting apologized to.\I'm the one who needs to apologize the most.\My mom used to bake for me a lot. response:	When I was six.
context: I think I've been rooting for the passive one the most\because I wanted everyone to be happy.\So I never realized how you were really feeling.\So, sorry.\I keep getting apologized to.\I'm the one who needs to apologize the most.\My mom used to bake for me a lot.\When I was six. response:	She baked bread every day until she died.
context: because I wanted everyone to be happy.\So I never realized how you were really feeling.\So, sorry.\I keep getting apologized to.\I'm the one who needs to apologize the most.\My mom used to bake for me a lot.\When I was six.\She baked bread every day until she died. response:	I was reminded of that for some reason.
context: So I never realized how you were really feeling.\So, sorry.\I keep getting apologized to.\I'm the one who needs to apologize the most.\My mom used to bake for me a lot.\When I was six.\She baked bread every day until she died.\I was reminded of that for some reason. response:	Your mom?
context: So, sorry.\I keep getting apologized to.\I'm the one who needs to apologize the most.\My mom used to bake for me a lot.\When I was six.\She baked bread every day until she died.\I was reminded of that for some reason.\Your mom? response:	It was the kind of popular handmade bread that they serve at small cafes and stuff.
context: I keep getting apologized to.\I'm the one who needs to apologize the most.\My mom used to bake for me a lot.\When I was six.\She baked bread every day until she died.\I was reminded of that for some reason.\Your mom?\It was the kind of popular handmade bread that they serve at small cafes and stuff. response:	My dad and I loved it.
context: I'm the one who needs to apologize the most.\My mom used to bake for me a lot.\When I was six.\She baked bread every day until she died.\I was reminded of that for some reason.\Your mom?\It was the kind of popular handmade bread that they serve at small cafes and stuff.\My dad and I loved it. response:	Anyway, no point talking about me right now.
context: My mom used to bake for me a lot.\When I was six.\She baked bread every day until she died.\I was reminded of that for some reason.\Your mom?\It was the kind of popular handmade bread that they serve at small cafes and stuff.\My dad and I loved it.\Anyway, no point talking about me right now. response:	No.
context: When I was six.\She baked bread every day until she died.\I was reminded of that for some reason.\Your mom?\It was the kind of popular handmade bread that they serve at small cafes and stuff.\My dad and I loved it.\Anyway, no point talking about me right now.\No. response:	I want you to tell me more.
context: She baked bread every day until she died.\I was reminded of that for some reason.\Your mom?\It was the kind of popular handmade bread that they serve at small cafes and stuff.\My dad and I loved it.\Anyway, no point talking about me right now.\No.\I want you to tell me more. response:	I never knew any of this, even though we've spent so much time together.
context: I was reminded of that for some reason.\Your mom?\It was the kind of popular handmade bread that they serve at small cafes and stuff.\My dad and I loved it.\Anyway, no point talking about me right now.\No.\I want you to tell me more.\I never knew any of this, even though we've spent so much time together. response:	I've been so busy thinking about myself, I didn't even try to learn.
context: Your mom?\It was the kind of popular handmade bread that they serve at small cafes and stuff.\My dad and I loved it.\Anyway, no point talking about me right now.\No.\I want you to tell me more.\I never knew any of this, even though we've spent so much time together.\I've been so busy thinking about myself, I didn't even try to learn. response:	I want to learn more.
context: It was the kind of popular handmade bread that they serve at small cafes and stuff.\My dad and I loved it.\Anyway, no point talking about me right now.\No.\I want you to tell me more.\I never knew any of this, even though we've spent so much time together.\I've been so busy thinking about myself, I didn't even try to learn.\I want to learn more. response:	Everything about you.
context: My dad and I loved it.\Anyway, no point talking about me right now.\No.\I want you to tell me more.\I never knew any of this, even though we've spent so much time together.\I've been so busy thinking about myself, I didn't even try to learn.\I want to learn more.\Everything about you. response:	And I want you to know everything about me, too.
context: Anyway, no point talking about me right now.\No.\I want you to tell me more.\I never knew any of this, even though we've spent so much time together.\I've been so busy thinking about myself, I didn't even try to learn.\I want to learn more.\Everything about you.\And I want you to know everything about me, too. response:	Like that.
context: No.\I want you to tell me more.\I never knew any of this, even though we've spent so much time together.\I've been so busy thinking about myself, I didn't even try to learn.\I want to learn more.\Everything about you.\And I want you to know everything about me, too.\Like that. response:	That spot's famous for being used as a magistrate's office in period dramas.
context: I want you to tell me more.\I never knew any of this, even though we've spent so much time together.\I've been so busy thinking about myself, I didn't even try to learn.\I want to learn more.\Everything about you.\And I want you to know everything about me, too.\Like that.\That spot's famous for being used as a magistrate's office in period dramas. response:	I'm content just having been able to see it today.
context: I never knew any of this, even though we've spent so much time together.\I've been so busy thinking about myself, I didn't even try to learn.\I want to learn more.\Everything about you.\And I want you to know everything about me, too.\Like that.\That spot's famous for being used as a magistrate's office in period dramas.\I'm content just having been able to see it today. response:	I'm sure you are. I know.
context: I've been so busy thinking about myself, I didn't even try to learn.\I want to learn more.\Everything about you.\And I want you to know everything about me, too.\Like that.\That spot's famous for being used as a magistrate's office in period dramas.\I'm content just having been able to see it today.\I'm sure you are. I know. response:	I love that big bridge we just crossed, too.
context: I want to learn more.\Everything about you.\And I want you to know everything about me, too.\Like that.\That spot's famous for being used as a magistrate's office in period dramas.\I'm content just having been able to see it today.\I'm sure you are. I know.\I love that big bridge we just crossed, too. response:	TV shows again?
context: Everything about you.\And I want you to know everything about me, too.\Like that.\That spot's famous for being used as a magistrate's office in period dramas.\I'm content just having been able to see it today.\I'm sure you are. I know.\I love that big bridge we just crossed, too.\TV shows again? response:	Yeah.
context: And I want you to know everything about me, too.\Like that.\That spot's famous for being used as a magistrate's office in period dramas.\I'm content just having been able to see it today.\I'm sure you are. I know.\I love that big bridge we just crossed, too.\TV shows again?\Yeah. response:	Oh, and I love that, too.
context: Like that.\That spot's famous for being used as a magistrate's office in period dramas.\I'm content just having been able to see it today.\I'm sure you are. I know.\I love that big bridge we just crossed, too.\TV shows again?\Yeah.\Oh, and I love that, too. response:	And I love that.
context: That spot's famous for being used as a magistrate's office in period dramas.\I'm content just having been able to see it today.\I'm sure you are. I know.\I love that big bridge we just crossed, too.\TV shows again?\Yeah.\Oh, and I love that, too.\And I love that. response:	I love this, too.
context: I'm content just having been able to see it today.\I'm sure you are. I know.\I love that big bridge we just crossed, too.\TV shows again?\Yeah.\Oh, and I love that, too.\And I love that.\I love this, too. response:	That's way too many.
context: I'm sure you are. I know.\I love that big bridge we just crossed, too.\TV shows again?\Yeah.\Oh, and I love that, too.\And I love that.\I love this, too.\That's way too many. response:	Not that I didn't know.
context: I love that big bridge we just crossed, too.\TV shows again?\Yeah.\Oh, and I love that, too.\And I love that.\I love this, too.\That's way too many.\Not that I didn't know. response:	And I love you...
context: TV shows again?\Yeah.\Oh, and I love that, too.\And I love that.\I love this, too.\That's way too many.\Not that I didn't know.\And I love you... response:	I'm sorry, Miku.
context: Yeah.\Oh, and I love that, too.\And I love that.\I love this, too.\That's way too many.\Not that I didn't know.\And I love you...\I'm sorry, Miku. response:	I'm sorry I kept getting in your way.
context: Oh, and I love that, too.\And I love that.\I love this, too.\That's way too many.\Not that I didn't know.\And I love you...\I'm sorry, Miku.\I'm sorry I kept getting in your way. response:	Futaro-kun, I'm sorry I kept lying.
context: And I love that.\I love this, too.\That's way too many.\Not that I didn't know.\And I love you...\I'm sorry, Miku.\I'm sorry I kept getting in your way.\Futaro-kun, I'm sorry I kept lying. response:	But what I said...
context: I love this, too.\That's way too many.\Not that I didn't know.\And I love you...\I'm sorry, Miku.\I'm sorry I kept getting in your way.\Futaro-kun, I'm sorry I kept lying.\But what I said... response:	I met this really interesting boy today.
context: That's way too many.\Not that I didn't know.\And I love you...\I'm sorry, Miku.\I'm sorry I kept getting in your way.\Futaro-kun, I'm sorry I kept lying.\But what I said...\I met this really interesting boy today. response:	And we bought all these good luck charms together.
context: Not that I didn't know.\And I love you...\I'm sorry, Miku.\I'm sorry I kept getting in your way.\Futaro-kun, I'm sorry I kept lying.\But what I said...\I met this really interesting boy today.\And we bought all these good luck charms together. response:	He's still in the main hall right now.
context: And I love you...\I'm sorry, Miku.\I'm sorry I kept getting in your way.\Futaro-kun, I'm sorry I kept lying.\But what I said...\I met this really interesting boy today.\And we bought all these good luck charms together.\He's still in the main hall right now. response:	Hey.
context: I'm sorry, Miku.\I'm sorry I kept getting in your way.\Futaro-kun, I'm sorry I kept lying.\But what I said...\I met this really interesting boy today.\And we bought all these good luck charms together.\He's still in the main hall right now.\Hey. response:	You came.
context: I'm sorry I kept getting in your way.\Futaro-kun, I'm sorry I kept lying.\But what I said...\I met this really interesting boy today.\And we bought all these good luck charms together.\He's still in the main hall right now.\Hey.\You came. response:	I was bored, being all by myself.
context: Futaro-kun, I'm sorry I kept lying.\But what I said...\I met this really interesting boy today.\And we bought all these good luck charms together.\He's still in the main hall right now.\Hey.\You came.\I was bored, being all by myself. response:	Let's play something.
context: But what I said...\I met this really interesting boy today.\And we bought all these good luck charms together.\He's still in the main hall right now.\Hey.\You came.\I was bored, being all by myself.\Let's play something. response:	H-How about Sevens?
context: I met this really interesting boy today.\And we bought all these good luck charms together.\He's still in the main hall right now.\Hey.\You came.\I was bored, being all by myself.\Let's play something.\H-How about Sevens? response:	It was just for a short while.
context: And we bought all these good luck charms together.\He's still in the main hall right now.\Hey.\You came.\I was bored, being all by myself.\Let's play something.\H-How about Sevens?\It was just for a short while. response:	But I'm sure I fell in love with you because of that moment.
context: He's still in the main hall right now.\Hey.\You came.\I was bored, being all by myself.\Let's play something.\H-How about Sevens?\It was just for a short while.\But I'm sure I fell in love with you because of that moment. response:	Futaro-kun, you might not believe me anymore,
context: Hey.\You came.\I was bored, being all by myself.\Let's play something.\H-How about Sevens?\It was just for a short while.\But I'm sure I fell in love with you because of that moment.\Futaro-kun, you might not believe me anymore, response:	but that moment...
context: You came.\I was bored, being all by myself.\Let's play something.\H-How about Sevens?\It was just for a short while.\But I'm sure I fell in love with you because of that moment.\Futaro-kun, you might not believe me anymore,\but that moment... response:	That memory isn't a lie.
context: I was bored, being all by myself.\Let's play something.\H-How about Sevens?\It was just for a short while.\But I'm sure I fell in love with you because of that moment.\Futaro-kun, you might not believe me anymore,\but that moment...\That memory isn't a lie. response:	Ichika, you know...
context: Let's play something.\H-How about Sevens?\It was just for a short while.\But I'm sure I fell in love with you because of that moment.\Futaro-kun, you might not believe me anymore,\but that moment...\That memory isn't a lie.\Ichika, you know... response:	When I saw them together, I couldn't keep my cool.
