context: Burst into bloom - Red Crown! response:	Surely you don't think that's sufficient to deal with me?
context: I see.\Meaning that those were your true powers, then?\Yeah... I guess you could say that.\What's up with that? Such a vague answer.\Well, I can only use them for so long.\This is the first time they've lasted for more than five minutes.\And to top it all off, look at the state I'm left in.\Why did your sister do such a thing? response:	Well, I'd ask her myself if I could.
context: Meaning that those were your true powers, then?\Yeah... I guess you could say that.\What's up with that? Such a vague answer.\Well, I can only use them for so long.\This is the first time they've lasted for more than five minutes.\And to top it all off, look at the state I'm left in.\Why did your sister do such a thing?\Well, I'd ask her myself if I could. response:	As it is, she went missing five years ago.
context: Yeah... I guess you could say that.\What's up with that? Such a vague answer.\Well, I can only use them for so long.\This is the first time they've lasted for more than five minutes.\And to top it all off, look at the state I'm left in.\Why did your sister do such a thing?\Well, I'd ask her myself if I could.\As it is, she went missing five years ago. response:	It's all right. I'm sure that my sister had her reasons.
context: What's up with that? Such a vague answer.\Well, I can only use them for so long.\This is the first time they've lasted for more than five minutes.\And to top it all off, look at the state I'm left in.\Why did your sister do such a thing?\Well, I'd ask her myself if I could.\As it is, she went missing five years ago.\It's all right. I'm sure that my sister had her reasons. response:	And I'm sure there must be some kind of point to all this, as well.
context: Well, I can only use them for so long.\This is the first time they've lasted for more than five minutes.\And to top it all off, look at the state I'm left in.\Why did your sister do such a thing?\Well, I'd ask her myself if I could.\As it is, she went missing five years ago.\It's all right. I'm sure that my sister had her reasons.\And I'm sure there must be some kind of point to all this, as well. response:	Is it okay if I ask you one more question?
context: This is the first time they've lasted for more than five minutes.\And to top it all off, look at the state I'm left in.\Why did your sister do such a thing?\Well, I'd ask her myself if I could.\As it is, she went missing five years ago.\It's all right. I'm sure that my sister had her reasons.\And I'm sure there must be some kind of point to all this, as well.\Is it okay if I ask you one more question? response:	What is it?
context: And to top it all off, look at the state I'm left in.\Why did your sister do such a thing?\Well, I'd ask her myself if I could.\As it is, she went missing five years ago.\It's all right. I'm sure that my sister had her reasons.\And I'm sure there must be some kind of point to all this, as well.\Is it okay if I ask you one more question?\What is it? response:	Have you already decided on your tag partner for the Phoenix Festa?
context: Why did your sister do such a thing?\Well, I'd ask her myself if I could.\As it is, she went missing five years ago.\It's all right. I'm sure that my sister had her reasons.\And I'm sure there must be some kind of point to all this, as well.\Is it okay if I ask you one more question?\What is it?\Have you already decided on your tag partner for the Phoenix Festa? response:	Um... listen...
context: Well, I'd ask her myself if I could.\As it is, she went missing five years ago.\It's all right. I'm sure that my sister had her reasons.\And I'm sure there must be some kind of point to all this, as well.\Is it okay if I ask you one more question?\What is it?\Have you already decided on your tag partner for the Phoenix Festa?\Um... listen... response:	I wonder if I'd fit the bill?
context: As it is, she went missing five years ago.\It's all right. I'm sure that my sister had her reasons.\And I'm sure there must be some kind of point to all this, as well.\Is it okay if I ask you one more question?\What is it?\Have you already decided on your tag partner for the Phoenix Festa?\Um... listen...\I wonder if I'd fit the bill? response:	What?
context: It's all right. I'm sure that my sister had her reasons.\And I'm sure there must be some kind of point to all this, as well.\Is it okay if I ask you one more question?\What is it?\Have you already decided on your tag partner for the Phoenix Festa?\Um... listen...\I wonder if I'd fit the bill?\What? response:	I'm not a man of integrity, and my mind is just average-quick,
context: And I'm sure there must be some kind of point to all this, as well.\Is it okay if I ask you one more question?\What is it?\Have you already decided on your tag partner for the Phoenix Festa?\Um... listen...\I wonder if I'd fit the bill?\What?\I'm not a man of integrity, and my mind is just average-quick, response:	and you'll have to give me a pass on the strong will, noble spirit thing, but...
context: Is it okay if I ask you one more question?\What is it?\Have you already decided on your tag partner for the Phoenix Festa?\Um... listen...\I wonder if I'd fit the bill?\What?\I'm not a man of integrity, and my mind is just average-quick,\and you'll have to give me a pass on the strong will, noble spirit thing, but... response:	I appreciate your offer, but don't push yourself.
context: What is it?\Have you already decided on your tag partner for the Phoenix Festa?\Um... listen...\I wonder if I'd fit the bill?\What?\I'm not a man of integrity, and my mind is just average-quick,\and you'll have to give me a pass on the strong will, noble spirit thing, but...\I appreciate your offer, but don't push yourself. response:	At the Festa level, your normal powers just won't translate.
context: Have you already decided on your tag partner for the Phoenix Festa?\Um... listen...\I wonder if I'd fit the bill?\What?\I'm not a man of integrity, and my mind is just average-quick,\and you'll have to give me a pass on the strong will, noble spirit thing, but...\I appreciate your offer, but don't push yourself.\At the Festa level, your normal powers just won't translate. response:	And you wouldn't want to end up this way after unsealing your powers after every match.
context: Um... listen...\I wonder if I'd fit the bill?\What?\I'm not a man of integrity, and my mind is just average-quick,\and you'll have to give me a pass on the strong will, noble spirit thing, but...\I appreciate your offer, but don't push yourself.\At the Festa level, your normal powers just won't translate.\And you wouldn't want to end up this way after unsealing your powers after every match. response:	No, I'm totally cool with that.
context: I wonder if I'd fit the bill?\What?\I'm not a man of integrity, and my mind is just average-quick,\and you'll have to give me a pass on the strong will, noble spirit thing, but...\I appreciate your offer, but don't push yourself.\At the Festa level, your normal powers just won't translate.\And you wouldn't want to end up this way after unsealing your powers after every match.\No, I'm totally cool with that. response:	I told you before...
context: What?\I'm not a man of integrity, and my mind is just average-quick,\and you'll have to give me a pass on the strong will, noble spirit thing, but...\I appreciate your offer, but don't push yourself.\At the Festa level, your normal powers just won't translate.\And you wouldn't want to end up this way after unsealing your powers after every match.\No, I'm totally cool with that.\I told you before... response:	what I'm supposed to do right now...
context: I'm not a man of integrity, and my mind is just average-quick,\and you'll have to give me a pass on the strong will, noble spirit thing, but...\I appreciate your offer, but don't push yourself.\At the Festa level, your normal powers just won't translate.\And you wouldn't want to end up this way after unsealing your powers after every match.\No, I'm totally cool with that.\I told you before...\what I'm supposed to do right now... response:	Julis, it's to be there for you.
context: and you'll have to give me a pass on the strong will, noble spirit thing, but...\I appreciate your offer, but don't push yourself.\At the Festa level, your normal powers just won't translate.\And you wouldn't want to end up this way after unsealing your powers after every match.\No, I'm totally cool with that.\I told you before...\what I'm supposed to do right now...\Julis, it's to be there for you. response:	N-No... But the thing is...
context: I appreciate your offer, but don't push yourself.\At the Festa level, your normal powers just won't translate.\And you wouldn't want to end up this way after unsealing your powers after every match.\No, I'm totally cool with that.\I told you before...\what I'm supposed to do right now...\Julis, it's to be there for you.\N-No... But the thing is... response:	These things should be handled more...
context: At the Festa level, your normal powers just won't translate.\And you wouldn't want to end up this way after unsealing your powers after every match.\No, I'm totally cool with that.\I told you before...\what I'm supposed to do right now...\Julis, it's to be there for you.\N-No... But the thing is...\These things should be handled more... response:	Wait, are you embarrassed?
context: And you wouldn't want to end up this way after unsealing your powers after every match.\No, I'm totally cool with that.\I told you before...\what I'm supposed to do right now...\Julis, it's to be there for you.\N-No... But the thing is...\These things should be handled more...\Wait, are you embarrassed? response:	Your face is bright red!
context: No, I'm totally cool with that.\I told you before...\what I'm supposed to do right now...\Julis, it's to be there for you.\N-No... But the thing is...\These things should be handled more...\Wait, are you embarrassed?\Your face is bright red! response:	Idiot! Of course I'm not!
context: I told you before...\what I'm supposed to do right now...\Julis, it's to be there for you.\N-No... But the thing is...\These things should be handled more...\Wait, are you embarrassed?\Your face is bright red!\Idiot! Of course I'm not! response:	A-Anyway, d-don't look at me!
context: what I'm supposed to do right now...\Julis, it's to be there for you.\N-No... But the thing is...\These things should be handled more...\Wait, are you embarrassed?\Your face is bright red!\Idiot! Of course I'm not!\A-Anyway, d-don't look at me! response:	J-Julis!
context: Julis, it's to be there for you.\N-No... But the thing is...\These things should be handled more...\Wait, are you embarrassed?\Your face is bright red!\Idiot! Of course I'm not!\A-Anyway, d-don't look at me!\J-Julis! response:	Julis?
context: N-No... But the thing is...\These things should be handled more...\Wait, are you embarrassed?\Your face is bright red!\Idiot! Of course I'm not!\A-Anyway, d-don't look at me!\J-Julis!\Julis? response:	Are you serious about this?
context: These things should be handled more...\Wait, are you embarrassed?\Your face is bright red!\Idiot! Of course I'm not!\A-Anyway, d-don't look at me!\J-Julis!\Julis?\Are you serious about this? response:	Of course I am.
context: Wait, are you embarrassed?\Your face is bright red!\Idiot! Of course I'm not!\A-Anyway, d-don't look at me!\J-Julis!\Julis?\Are you serious about this?\Of course I am. response:	Seriously, you really are a strange one...
context: Your face is bright red!\Idiot! Of course I'm not!\A-Anyway, d-don't look at me!\J-Julis!\Julis?\Are you serious about this?\Of course I am.\Seriously, you really are a strange one... response:	aren't you?
context: Idiot! Of course I'm not!\A-Anyway, d-don't look at me!\J-Julis!\Julis?\Are you serious about this?\Of course I am.\Seriously, you really are a strange one...\aren't you? response:	What's this?
context: A-Anyway, d-don't look at me!\J-Julis!\Julis?\Are you serious about this?\Of course I am.\Seriously, you really are a strange one...\aren't you?\What's this? response:	Surely you couldn't have been ignorant of this one's power, could you now?
context: J-Julis!\Julis?\Are you serious about this?\Of course I am.\Seriously, you really are a strange one...\aren't you?\What's this?\Surely you couldn't have been ignorant of this one's power, could you now? response:	Oh, man, don't tell me you actually wasted him, did you?
context: Julis?\Are you serious about this?\Of course I am.\Seriously, you really are a strange one...\aren't you?\What's this?\Surely you couldn't have been ignorant of this one's power, could you now?\Oh, man, don't tell me you actually wasted him, did you? response:	No worries, he's not dead.
context: Are you serious about this?\Of course I am.\Seriously, you really are a strange one...\aren't you?\What's this?\Surely you couldn't have been ignorant of this one's power, could you now?\Oh, man, don't tell me you actually wasted him, did you?\No worries, he's not dead. response:	He can still be of some use, after all.
context: Of course I am.\Seriously, you really are a strange one...\aren't you?\What's this?\Surely you couldn't have been ignorant of this one's power, could you now?\Oh, man, don't tell me you actually wasted him, did you?\No worries, he's not dead.\He can still be of some use, after all. response:	So instead of going public with this incident and using it as a diplomatic chip,
context: Seriously, you really are a strange one...\aren't you?\What's this?\Surely you couldn't have been ignorant of this one's power, could you now?\Oh, man, don't tell me you actually wasted him, did you?\No worries, he's not dead.\He can still be of some use, after all.\So instead of going public with this incident and using it as a diplomatic chip, response:	you're going to take care of it internally, and make Allekant owe us, is that it?
context: aren't you?\What's this?\Surely you couldn't have been ignorant of this one's power, could you now?\Oh, man, don't tell me you actually wasted him, did you?\No worries, he's not dead.\He can still be of some use, after all.\So instead of going public with this incident and using it as a diplomatic chip,\you're going to take care of it internally, and make Allekant owe us, is that it? response:	I'm going to leave this to the discretion of you Shadow Stars.
context: What's this?\Surely you couldn't have been ignorant of this one's power, could you now?\Oh, man, don't tell me you actually wasted him, did you?\No worries, he's not dead.\He can still be of some use, after all.\So instead of going public with this incident and using it as a diplomatic chip,\you're going to take care of it internally, and make Allekant owe us, is that it?\I'm going to leave this to the discretion of you Shadow Stars. response:	Please be sure to get some information out of him.
context: Surely you couldn't have been ignorant of this one's power, could you now?\Oh, man, don't tell me you actually wasted him, did you?\No worries, he's not dead.\He can still be of some use, after all.\So instead of going public with this incident and using it as a diplomatic chip,\you're going to take care of it internally, and make Allekant owe us, is that it?\I'm going to leave this to the discretion of you Shadow Stars.\Please be sure to get some information out of him. response:	You can count on it.
context: Oh, man, don't tell me you actually wasted him, did you?\No worries, he's not dead.\He can still be of some use, after all.\So instead of going public with this incident and using it as a diplomatic chip,\you're going to take care of it internally, and make Allekant owe us, is that it?\I'm going to leave this to the discretion of you Shadow Stars.\Please be sure to get some information out of him.\You can count on it. response:	It's our job.
context: No worries, he's not dead.\He can still be of some use, after all.\So instead of going public with this incident and using it as a diplomatic chip,\you're going to take care of it internally, and make Allekant owe us, is that it?\I'm going to leave this to the discretion of you Shadow Stars.\Please be sure to get some information out of him.\You can count on it.\It's our job. response:	So? How did it go with those two?
context: He can still be of some use, after all.\So instead of going public with this incident and using it as a diplomatic chip,\you're going to take care of it internally, and make Allekant owe us, is that it?\I'm going to leave this to the discretion of you Shadow Stars.\Please be sure to get some information out of him.\You can count on it.\It's our job.\So? How did it go with those two? response:	It seems to have gone well.
context: So instead of going public with this incident and using it as a diplomatic chip,\you're going to take care of it internally, and make Allekant owe us, is that it?\I'm going to leave this to the discretion of you Shadow Stars.\Please be sure to get some information out of him.\You can count on it.\It's our job.\So? How did it go with those two?\It seems to have gone well. response:	Wait, you don't look too happy, considering.
context: you're going to take care of it internally, and make Allekant owe us, is that it?\I'm going to leave this to the discretion of you Shadow Stars.\Please be sure to get some information out of him.\You can count on it.\It's our job.\So? How did it go with those two?\It seems to have gone well.\Wait, you don't look too happy, considering. response:	Oh, really? I wouldn't say that.
context: I'm going to leave this to the discretion of you Shadow Stars.\Please be sure to get some information out of him.\You can count on it.\It's our job.\So? How did it go with those two?\It seems to have gone well.\Wait, you don't look too happy, considering.\Oh, really? I wouldn't say that. response:	Well, I guess it's time.
context: Please be sure to get some information out of him.\You can count on it.\It's our job.\So? How did it go with those two?\It seems to have gone well.\Wait, you don't look too happy, considering.\Oh, really? I wouldn't say that.\Well, I guess it's time. response:	I've acquired enough data,
context: You can count on it.\It's our job.\So? How did it go with those two?\It seems to have gone well.\Wait, you don't look too happy, considering.\Oh, really? I wouldn't say that.\Well, I guess it's time.\I've acquired enough data, response:	and they even did a better job with those bonus sneak attacks
context: It's our job.\So? How did it go with those two?\It seems to have gone well.\Wait, you don't look too happy, considering.\Oh, really? I wouldn't say that.\Well, I guess it's time.\I've acquired enough data,\and they even did a better job with those bonus sneak attacks response:	on the frontrunners than I'd dared to hope.
context: So? How did it go with those two?\It seems to have gone well.\Wait, you don't look too happy, considering.\Oh, really? I wouldn't say that.\Well, I guess it's time.\I've acquired enough data,\and they even did a better job with those bonus sneak attacks\on the frontrunners than I'd dared to hope. response:	Ah, well, but maybe that was only because my little puppets were so competent?
context: It seems to have gone well.\Wait, you don't look too happy, considering.\Oh, really? I wouldn't say that.\Well, I guess it's time.\I've acquired enough data,\and they even did a better job with those bonus sneak attacks\on the frontrunners than I'd dared to hope.\Ah, well, but maybe that was only because my little puppets were so competent? response:	At any rate, these semi-intelligent beings are so easy to handle, it's a godsend!
context: Wait, you don't look too happy, considering.\Oh, really? I wouldn't say that.\Well, I guess it's time.\I've acquired enough data,\and they even did a better job with those bonus sneak attacks\on the frontrunners than I'd dared to hope.\Ah, well, but maybe that was only because my little puppets were so competent?\At any rate, these semi-intelligent beings are so easy to handle, it's a godsend! response:	That's my Ayato!
context: Oh, really? I wouldn't say that.\Well, I guess it's time.\I've acquired enough data,\and they even did a better job with those bonus sneak attacks\on the frontrunners than I'd dared to hope.\Ah, well, but maybe that was only because my little puppets were so competent?\At any rate, these semi-intelligent beings are so easy to handle, it's a godsend!\That's my Ayato! response:	Your relationship with Julis makes me somewhat jealous,
context: Well, I guess it's time.\I've acquired enough data,\and they even did a better job with those bonus sneak attacks\on the frontrunners than I'd dared to hope.\Ah, well, but maybe that was only because my little puppets were so competent?\At any rate, these semi-intelligent beings are so easy to handle, it's a godsend!\That's my Ayato!\Your relationship with Julis makes me somewhat jealous, response:	but it's for the Phoenix Festa. I shall endure it.
context: I've acquired enough data,\and they even did a better job with those bonus sneak attacks\on the frontrunners than I'd dared to hope.\Ah, well, but maybe that was only because my little puppets were so competent?\At any rate, these semi-intelligent beings are so easy to handle, it's a godsend!\That's my Ayato!\Your relationship with Julis makes me somewhat jealous,\but it's for the Phoenix Festa. I shall endure it. response:	Now if only our school's Rank 1...
context: and they even did a better job with those bonus sneak attacks\on the frontrunners than I'd dared to hope.\Ah, well, but maybe that was only because my little puppets were so competent?\At any rate, these semi-intelligent beings are so easy to handle, it's a godsend!\That's my Ayato!\Your relationship with Julis makes me somewhat jealous,\but it's for the Phoenix Festa. I shall endure it.\Now if only our school's Rank 1... response:	Episode 5 - Lightning Blade Speed
context: on the frontrunners than I'd dared to hope.\Ah, well, but maybe that was only because my little puppets were so competent?\At any rate, these semi-intelligent beings are so easy to handle, it's a godsend!\That's my Ayato!\Your relationship with Julis makes me somewhat jealous,\but it's for the Phoenix Festa. I shall endure it.\Now if only our school's Rank 1...\Episode 5 - Lightning Blade Speed response:	if only she would agree to compete...
