context: Milika-san is living in my yard. response:	She declared that she's going to become my third girlfriend.
context: I'm not going home! Ever!\What?!\H-Hey!\What do you mean, you're not going home?\It's not your problem!\It's a problem for me if you stay at my place.\Shut up!\Y-You're paying me to go home and to stay away from you. response:	I-I don't like that.
context: What?!\H-Hey!\What do you mean, you're not going home?\It's not your problem!\It's a problem for me if you stay at my place.\Shut up!\Y-You're paying me to go home and to stay away from you.\I-I don't like that. response:	Rika!
context: H-Hey!\What do you mean, you're not going home?\It's not your problem!\It's a problem for me if you stay at my place.\Shut up!\Y-You're paying me to go home and to stay away from you.\I-I don't like that.\Rika! response:	Crap!
context: What do you mean, you're not going home?\It's not your problem!\It's a problem for me if you stay at my place.\Shut up!\Y-You're paying me to go home and to stay away from you.\I-I don't like that.\Rika!\Crap! response:	Dad!
context: It's not your problem!\It's a problem for me if you stay at my place.\Shut up!\Y-You're paying me to go home and to stay away from you.\I-I don't like that.\Rika!\Crap!\Dad! response:	Milika's dad?
context: It's a problem for me if you stay at my place.\Shut up!\Y-You're paying me to go home and to stay away from you.\I-I don't like that.\Rika!\Crap!\Dad!\Milika's dad? response:	How did you find me?
context: Shut up!\Y-You're paying me to go home and to stay away from you.\I-I don't like that.\Rika!\Crap!\Dad!\Milika's dad?\How did you find me? response:	I asked around at school.
context: Y-You're paying me to go home and to stay away from you.\I-I don't like that.\Rika!\Crap!\Dad!\Milika's dad?\How did you find me?\I asked around at school. response:	What are you doing here and not at home?
context: I-I don't like that.\Rika!\Crap!\Dad!\Milika's dad?\How did you find me?\I asked around at school.\What are you doing here and not at home? response:	Shut up!
context: Rika!\Crap!\Dad!\Milika's dad?\How did you find me?\I asked around at school.\What are you doing here and not at home?\Shut up! response:	I have my reasons.
context: Crap!\Dad!\Milika's dad?\How did you find me?\I asked around at school.\What are you doing here and not at home?\Shut up!\I have my reasons. response:	I was staying at this kid's place.
context: Dad!\Milika's dad?\How did you find me?\I asked around at school.\What are you doing here and not at home?\Shut up!\I have my reasons.\I was staying at this kid's place. response:	Who is that guy?!
context: Milika's dad?\How did you find me?\I asked around at school.\What are you doing here and not at home?\Shut up!\I have my reasons.\I was staying at this kid's place.\Who is that guy?! response:	He isn't your boyfriend, is he?
context: How did you find me?\I asked around at school.\What are you doing here and not at home?\Shut up!\I have my reasons.\I was staying at this kid's place.\Who is that guy?!\He isn't your boyfriend, is he? response:	I'm not her boyfriend.
context: I asked around at school.\What are you doing here and not at home?\Shut up!\I have my reasons.\I was staying at this kid's place.\Who is that guy?!\He isn't your boyfriend, is he?\I'm not her boyfriend. response:	I already have two girlfriends that I care deeply about.
context: What are you doing here and not at home?\Shut up!\I have my reasons.\I was staying at this kid's place.\Who is that guy?!\He isn't your boyfriend, is he?\I'm not her boyfriend.\I already have two girlfriends that I care deeply about. response:	What does that even mean?!
context: Shut up!\I have my reasons.\I was staying at this kid's place.\Who is that guy?!\He isn't your boyfriend, is he?\I'm not her boyfriend.\I already have two girlfriends that I care deeply about.\What does that even mean?! response:	I'm a two-timer!
context: I have my reasons.\I was staying at this kid's place.\Who is that guy?!\He isn't your boyfriend, is he?\I'm not her boyfriend.\I already have two girlfriends that I care deeply about.\What does that even mean?!\I'm a two-timer! response:	You didn't need to mention that!
context: I was staying at this kid's place.\Who is that guy?!\He isn't your boyfriend, is he?\I'm not her boyfriend.\I already have two girlfriends that I care deeply about.\What does that even mean?!\I'm a two-timer!\You didn't need to mention that! response:	Huh? What?
context: Who is that guy?!\He isn't your boyfriend, is he?\I'm not her boyfriend.\I already have two girlfriends that I care deeply about.\What does that even mean?!\I'm a two-timer!\You didn't need to mention that!\Huh? What? response:	Rika, you fell in love with a two-timer, and you're crashing at his place?
context: He isn't your boyfriend, is he?\I'm not her boyfriend.\I already have two girlfriends that I care deeply about.\What does that even mean?!\I'm a two-timer!\You didn't need to mention that!\Huh? What?\Rika, you fell in love with a two-timer, and you're crashing at his place? response:	It's not that I l-like him!
context: I'm not her boyfriend.\I already have two girlfriends that I care deeply about.\What does that even mean?!\I'm a two-timer!\You didn't need to mention that!\Huh? What?\Rika, you fell in love with a two-timer, and you're crashing at his place?\It's not that I l-like him! response:	I-I guess I wouldn't mind trying it out if he begs, though.
context: I already have two girlfriends that I care deeply about.\What does that even mean?!\I'm a two-timer!\You didn't need to mention that!\Huh? What?\Rika, you fell in love with a two-timer, and you're crashing at his place?\It's not that I l-like him!\I-I guess I wouldn't mind trying it out if he begs, though. response:	I won't.
context: What does that even mean?!\I'm a two-timer!\You didn't need to mention that!\Huh? What?\Rika, you fell in love with a two-timer, and you're crashing at his place?\It's not that I l-like him!\I-I guess I wouldn't mind trying it out if he begs, though.\I won't. response:	Shut up!
context: I'm a two-timer!\You didn't need to mention that!\Huh? What?\Rika, you fell in love with a two-timer, and you're crashing at his place?\It's not that I l-like him!\I-I guess I wouldn't mind trying it out if he begs, though.\I won't.\Shut up! response:	Hey, Nagisa-chan...
context: You didn't need to mention that!\Huh? What?\Rika, you fell in love with a two-timer, and you're crashing at his place?\It's not that I l-like him!\I-I guess I wouldn't mind trying it out if he begs, though.\I won't.\Shut up!\Hey, Nagisa-chan... response:	Yes?
context: Huh? What?\Rika, you fell in love with a two-timer, and you're crashing at his place?\It's not that I l-like him!\I-I guess I wouldn't mind trying it out if he begs, though.\I won't.\Shut up!\Hey, Nagisa-chan...\Yes? response:	Do you think Milika's kind of...
context: Rika, you fell in love with a two-timer, and you're crashing at his place?\It's not that I l-like him!\I-I guess I wouldn't mind trying it out if he begs, though.\I won't.\Shut up!\Hey, Nagisa-chan...\Yes?\Do you think Milika's kind of... response:	fallen for Naoya?
context: It's not that I l-like him!\I-I guess I wouldn't mind trying it out if he begs, though.\I won't.\Shut up!\Hey, Nagisa-chan...\Yes?\Do you think Milika's kind of...\fallen for Naoya? response:	Right?
context: I-I guess I wouldn't mind trying it out if he begs, though.\I won't.\Shut up!\Hey, Nagisa-chan...\Yes?\Do you think Milika's kind of...\fallen for Naoya?\Right? response:	I had that feeling, too.
context: I won't.\Shut up!\Hey, Nagisa-chan...\Yes?\Do you think Milika's kind of...\fallen for Naoya?\Right?\I had that feeling, too. response:	She definitely likes him more now, right?
context: Shut up!\Hey, Nagisa-chan...\Yes?\Do you think Milika's kind of...\fallen for Naoya?\Right?\I had that feeling, too.\She definitely likes him more now, right? response:	It'll be bad if she actually falls for him, right?
context: Hey, Nagisa-chan...\Yes?\Do you think Milika's kind of...\fallen for Naoya?\Right?\I had that feeling, too.\She definitely likes him more now, right?\It'll be bad if she actually falls for him, right? response:	Don't date a guy like that.
context: Yes?\Do you think Milika's kind of...\fallen for Naoya?\Right?\I had that feeling, too.\She definitely likes him more now, right?\It'll be bad if she actually falls for him, right?\Don't date a guy like that. response:	Leave me alone!
context: Do you think Milika's kind of...\fallen for Naoya?\Right?\I had that feeling, too.\She definitely likes him more now, right?\It'll be bad if she actually falls for him, right?\Don't date a guy like that.\Leave me alone! response:	Naoya!
context: fallen for Naoya?\Right?\I had that feeling, too.\She definitely likes him more now, right?\It'll be bad if she actually falls for him, right?\Don't date a guy like that.\Leave me alone!\Naoya! response:	How am I supposed to leave you alone?!
context: Right?\I had that feeling, too.\She definitely likes him more now, right?\It'll be bad if she actually falls for him, right?\Don't date a guy like that.\Leave me alone!\Naoya!\How am I supposed to leave you alone?! response:	Let's make Milika go home.
context: I had that feeling, too.\She definitely likes him more now, right?\It'll be bad if she actually falls for him, right?\Don't date a guy like that.\Leave me alone!\Naoya!\How am I supposed to leave you alone?!\Let's make Milika go home. response:	Right.
context: She definitely likes him more now, right?\It'll be bad if she actually falls for him, right?\Don't date a guy like that.\Leave me alone!\Naoya!\How am I supposed to leave you alone?!\Let's make Milika go home.\Right. response:	He's a two-timer! It's not right!
context: It'll be bad if she actually falls for him, right?\Don't date a guy like that.\Leave me alone!\Naoya!\How am I supposed to leave you alone?!\Let's make Milika go home.\Right.\He's a two-timer! It's not right! response:	Um...
context: Don't date a guy like that.\Leave me alone!\Naoya!\How am I supposed to leave you alone?!\Let's make Milika go home.\Right.\He's a two-timer! It's not right!\Um... response:	I have no intention of dating Milika-san.
context: Leave me alone!\Naoya!\How am I supposed to leave you alone?!\Let's make Milika go home.\Right.\He's a two-timer! It's not right!\Um...\I have no intention of dating Milika-san. response:	Please leave.
context: Naoya!\How am I supposed to leave you alone?!\Let's make Milika go home.\Right.\He's a two-timer! It's not right!\Um...\I have no intention of dating Milika-san.\Please leave. response:	Wha...
context: How am I supposed to leave you alone?!\Let's make Milika go home.\Right.\He's a two-timer! It's not right!\Um...\I have no intention of dating Milika-san.\Please leave.\Wha... response:	Are you saying my daughter isn't attractive?!
context: Let's make Milika go home.\Right.\He's a two-timer! It's not right!\Um...\I have no intention of dating Milika-san.\Please leave.\Wha...\Are you saying my daughter isn't attractive?! response:	What an annoying dad!
context: Right.\He's a two-timer! It's not right!\Um...\I have no intention of dating Milika-san.\Please leave.\Wha...\Are you saying my daughter isn't attractive?!\What an annoying dad! response:	She may be selfish, but I raised her the best I could as a single father.
context: He's a two-timer! It's not right!\Um...\I have no intention of dating Milika-san.\Please leave.\Wha...\Are you saying my daughter isn't attractive?!\What an annoying dad!\She may be selfish, but I raised her the best I could as a single father. response:	No, she's attractive.
context: Um...\I have no intention of dating Milika-san.\Please leave.\Wha...\Are you saying my daughter isn't attractive?!\What an annoying dad!\She may be selfish, but I raised her the best I could as a single father.\No, she's attractive. response:	What?
context: I have no intention of dating Milika-san.\Please leave.\Wha...\Are you saying my daughter isn't attractive?!\What an annoying dad!\She may be selfish, but I raised her the best I could as a single father.\No, she's attractive.\What? response:	What?!
context: Please leave.\Wha...\Are you saying my daughter isn't attractive?!\What an annoying dad!\She may be selfish, but I raised her the best I could as a single father.\No, she's attractive.\What?\What?! response:	I've only just met her, but she's got backbone and determination.
context: Wha...\Are you saying my daughter isn't attractive?!\What an annoying dad!\She may be selfish, but I raised her the best I could as a single father.\No, she's attractive.\What?\What?!\I've only just met her, but she's got backbone and determination. response:	More than anything, at her age, she's already gotten 50,000 subscribers on MeTube.
context: Are you saying my daughter isn't attractive?!\What an annoying dad!\She may be selfish, but I raised her the best I could as a single father.\No, she's attractive.\What?\What?!\I've only just met her, but she's got backbone and determination.\More than anything, at her age, she's already gotten 50,000 subscribers on MeTube. response:	Milika-san is attractive.
context: What an annoying dad!\She may be selfish, but I raised her the best I could as a single father.\No, she's attractive.\What?\What?!\I've only just met her, but she's got backbone and determination.\More than anything, at her age, she's already gotten 50,000 subscribers on MeTube.\Milika-san is attractive. response:	You didn't need to say that!
context: She may be selfish, but I raised her the best I could as a single father.\No, she's attractive.\What?\What?!\I've only just met her, but she's got backbone and determination.\More than anything, at her age, she's already gotten 50,000 subscribers on MeTube.\Milika-san is attractive.\You didn't need to say that! response:	Look, her heart's skipped a beat!
context: No, she's attractive.\What?\What?!\I've only just met her, but she's got backbone and determination.\More than anything, at her age, she's already gotten 50,000 subscribers on MeTube.\Milika-san is attractive.\You didn't need to say that!\Look, her heart's skipped a beat! response:	But that doesn't mean I'd go out with her.
context: What?\What?!\I've only just met her, but she's got backbone and determination.\More than anything, at her age, she's already gotten 50,000 subscribers on MeTube.\Milika-san is attractive.\You didn't need to say that!\Look, her heart's skipped a beat!\But that doesn't mean I'd go out with her. response:	Huh? MeTube?
context: What?!\I've only just met her, but she's got backbone and determination.\More than anything, at her age, she's already gotten 50,000 subscribers on MeTube.\Milika-san is attractive.\You didn't need to say that!\Look, her heart's skipped a beat!\But that doesn't mean I'd go out with her.\Huh? MeTube? response:	Wait, Milika...
context: I've only just met her, but she's got backbone and determination.\More than anything, at her age, she's already gotten 50,000 subscribers on MeTube.\Milika-san is attractive.\You didn't need to say that!\Look, her heart's skipped a beat!\But that doesn't mean I'd go out with her.\Huh? MeTube?\Wait, Milika... response:	Crap!
context: More than anything, at her age, she's already gotten 50,000 subscribers on MeTube.\Milika-san is attractive.\You didn't need to say that!\Look, her heart's skipped a beat!\But that doesn't mean I'd go out with her.\Huh? MeTube?\Wait, Milika...\Crap! response:	Are you...
context: Milika-san is attractive.\You didn't need to say that!\Look, her heart's skipped a beat!\But that doesn't mean I'd go out with her.\Huh? MeTube?\Wait, Milika...\Crap!\Are you... response:	I-Is this...
context: You didn't need to say that!\Look, her heart's skipped a beat!\But that doesn't mean I'd go out with her.\Huh? MeTube?\Wait, Milika...\Crap!\Are you...\I-Is this... response:	My daughter's breasts are being revealed to the whole world!
context: Look, her heart's skipped a beat!\But that doesn't mean I'd go out with her.\Huh? MeTube?\Wait, Milika...\Crap!\Are you...\I-Is this...\My daughter's breasts are being revealed to the whole world! response:	Real Name Hoshizaki Rika
context: But that doesn't mean I'd go out with her.\Huh? MeTube?\Wait, Milika...\Crap!\Are you...\I-Is this...\My daughter's breasts are being revealed to the whole world!\Real Name Hoshizaki Rika response:	You're completely showing your breasts!
context: Huh? MeTube?\Wait, Milika...\Crap!\Are you...\I-Is this...\My daughter's breasts are being revealed to the whole world!\Real Name Hoshizaki Rika\You're completely showing your breasts! response:	This is why I've been hiding it!
context: Wait, Milika...\Crap!\Are you...\I-Is this...\My daughter's breasts are being revealed to the whole world!\Real Name Hoshizaki Rika\You're completely showing your breasts!\This is why I've been hiding it! response:	I'm sorry!
context: Crap!\Are you...\I-Is this...\My daughter's breasts are being revealed to the whole world!\Real Name Hoshizaki Rika\You're completely showing your breasts!\This is why I've been hiding it!\I'm sorry! response:	Looks like we're headed for a family meeting!
context: Are you...\I-Is this...\My daughter's breasts are being revealed to the whole world!\Real Name Hoshizaki Rika\You're completely showing your breasts!\This is why I've been hiding it!\I'm sorry!\Looks like we're headed for a family meeting! response:	Take her home, Daddy.
context: I-Is this...\My daughter's breasts are being revealed to the whole world!\Real Name Hoshizaki Rika\You're completely showing your breasts!\This is why I've been hiding it!\I'm sorry!\Looks like we're headed for a family meeting!\Take her home, Daddy. response:	Th-These shameful videos!
context: My daughter's breasts are being revealed to the whole world!\Real Name Hoshizaki Rika\You're completely showing your breasts!\This is why I've been hiding it!\I'm sorry!\Looks like we're headed for a family meeting!\Take her home, Daddy.\Th-These shameful videos! response:	Just a second.
context: Real Name Hoshizaki Rika\You're completely showing your breasts!\This is why I've been hiding it!\I'm sorry!\Looks like we're headed for a family meeting!\Take her home, Daddy.\Th-These shameful videos!\Just a second. response:	I don't think that's true.
context: You're completely showing your breasts!\This is why I've been hiding it!\I'm sorry!\Looks like we're headed for a family meeting!\Take her home, Daddy.\Th-These shameful videos!\Just a second.\I don't think that's true. response:	Uh, hey!
context: This is why I've been hiding it!\I'm sorry!\Looks like we're headed for a family meeting!\Take her home, Daddy.\Th-These shameful videos!\Just a second.\I don't think that's true.\Uh, hey! response:	Her videos aren't just her revealing herself.
context: I'm sorry!\Looks like we're headed for a family meeting!\Take her home, Daddy.\Th-These shameful videos!\Just a second.\I don't think that's true.\Uh, hey!\Her videos aren't just her revealing herself. response:	Her creativity, the ingenuity of her editing, her dedication to her audience...
context: Looks like we're headed for a family meeting!\Take her home, Daddy.\Th-These shameful videos!\Just a second.\I don't think that's true.\Uh, hey!\Her videos aren't just her revealing herself.\Her creativity, the ingenuity of her editing, her dedication to her audience... response:	She's a entertainer, through and through.
context: Take her home, Daddy.\Th-These shameful videos!\Just a second.\I don't think that's true.\Uh, hey!\Her videos aren't just her revealing herself.\Her creativity, the ingenuity of her editing, her dedication to her audience...\She's a entertainer, through and through. response:	Quit commenting on everything!
context: Th-These shameful videos!\Just a second.\I don't think that's true.\Uh, hey!\Her videos aren't just her revealing herself.\Her creativity, the ingenuity of her editing, her dedication to her audience...\She's a entertainer, through and through.\Quit commenting on everything! response:	You do get it...
context: Just a second.\I don't think that's true.\Uh, hey!\Her videos aren't just her revealing herself.\Her creativity, the ingenuity of her editing, her dedication to her audience...\She's a entertainer, through and through.\Quit commenting on everything!\You do get it... response:	Hey! Don't blush at that!
context: I don't think that's true.\Uh, hey!\Her videos aren't just her revealing herself.\Her creativity, the ingenuity of her editing, her dedication to her audience...\She's a entertainer, through and through.\Quit commenting on everything!\You do get it...\Hey! Don't blush at that! response:	In any case, once we get home,
context: Uh, hey!\Her videos aren't just her revealing herself.\Her creativity, the ingenuity of her editing, her dedication to her audience...\She's a entertainer, through and through.\Quit commenting on everything!\You do get it...\Hey! Don't blush at that!\In any case, once we get home, response:	you're going to explain your sleeping somewhere else and your videos.
context: Her videos aren't just her revealing herself.\Her creativity, the ingenuity of her editing, her dedication to her audience...\She's a entertainer, through and through.\Quit commenting on everything!\You do get it...\Hey! Don't blush at that!\In any case, once we get home,\you're going to explain your sleeping somewhere else and your videos. response:	Good going, Daddy!
context: Her creativity, the ingenuity of her editing, her dedication to her audience...\She's a entertainer, through and through.\Quit commenting on everything!\You do get it...\Hey! Don't blush at that!\In any case, once we get home,\you're going to explain your sleeping somewhere else and your videos.\Good going, Daddy! response:	Hey, wait!
context: She's a entertainer, through and through.\Quit commenting on everything!\You do get it...\Hey! Don't blush at that!\In any case, once we get home,\you're going to explain your sleeping somewhere else and your videos.\Good going, Daddy!\Hey, wait! response:	Come with me.
context: Quit commenting on everything!\You do get it...\Hey! Don't blush at that!\In any case, once we get home,\you're going to explain your sleeping somewhere else and your videos.\Good going, Daddy!\Hey, wait!\Come with me. response:	Stop dreaming.
context: You do get it...\Hey! Don't blush at that!\In any case, once we get home,\you're going to explain your sleeping somewhere else and your videos.\Good going, Daddy!\Hey, wait!\Come with me.\Stop dreaming. response:	Let me go!
context: Hey! Don't blush at that!\In any case, once we get home,\you're going to explain your sleeping somewhere else and your videos.\Good going, Daddy!\Hey, wait!\Come with me.\Stop dreaming.\Let me go! response:	She's so stubborn.
context: In any case, once we get home,\you're going to explain your sleeping somewhere else and your videos.\Good going, Daddy!\Hey, wait!\Come with me.\Stop dreaming.\Let me go!\She's so stubborn. response:	The videos and the whole thing with Naoya
context: you're going to explain your sleeping somewhere else and your videos.\Good going, Daddy!\Hey, wait!\Come with me.\Stop dreaming.\Let me go!\She's so stubborn.\The videos and the whole thing with Naoya response:	are things that I'm doing on my own, for myself!
context: Good going, Daddy!\Hey, wait!\Come with me.\Stop dreaming.\Let me go!\She's so stubborn.\The videos and the whole thing with Naoya\are things that I'm doing on my own, for myself! response:	No one can tell me what to do!
context: Hey, wait!\Come with me.\Stop dreaming.\Let me go!\She's so stubborn.\The videos and the whole thing with Naoya\are things that I'm doing on my own, for myself!\No one can tell me what to do! response:	You don't even know how much you're worrying me.
context: Come with me.\Stop dreaming.\Let me go!\She's so stubborn.\The videos and the whole thing with Naoya\are things that I'm doing on my own, for myself!\No one can tell me what to do!\You don't even know how much you're worrying me. response:	If you won't stop with your selfishness...
context: Stop dreaming.\Let me go!\She's so stubborn.\The videos and the whole thing with Naoya\are things that I'm doing on my own, for myself!\No one can tell me what to do!\You don't even know how much you're worrying me.\If you won't stop with your selfishness... response:	I won't have it!
context: Let me go!\She's so stubborn.\The videos and the whole thing with Naoya\are things that I'm doing on my own, for myself!\No one can tell me what to do!\You don't even know how much you're worrying me.\If you won't stop with your selfishness...\I won't have it! response:	My phone!
context: She's so stubborn.\The videos and the whole thing with Naoya\are things that I'm doing on my own, for myself!\No one can tell me what to do!\You don't even know how much you're worrying me.\If you won't stop with your selfishness...\I won't have it!\My phone! response:	The guy is one thing...
context: The videos and the whole thing with Naoya\are things that I'm doing on my own, for myself!\No one can tell me what to do!\You don't even know how much you're worrying me.\If you won't stop with your selfishness...\I won't have it!\My phone!\The guy is one thing... response:	But I can't have you revealing yourself to the whole world!
context: are things that I'm doing on my own, for myself!\No one can tell me what to do!\You don't even know how much you're worrying me.\If you won't stop with your selfishness...\I won't have it!\My phone!\The guy is one thing...\But I can't have you revealing yourself to the whole world! response:	H-Hey... You wouldn't...
context: No one can tell me what to do!\You don't even know how much you're worrying me.\If you won't stop with your selfishness...\I won't have it!\My phone!\The guy is one thing...\But I can't have you revealing yourself to the whole world!\H-Hey... You wouldn't... response:	This channel and all the videos on it...
context: You don't even know how much you're worrying me.\If you won't stop with your selfishness...\I won't have it!\My phone!\The guy is one thing...\But I can't have you revealing yourself to the whole world!\H-Hey... You wouldn't...\This channel and all the videos on it... response:	Hey!
context: If you won't stop with your selfishness...\I won't have it!\My phone!\The guy is one thing...\But I can't have you revealing yourself to the whole world!\H-Hey... You wouldn't...\This channel and all the videos on it...\Hey! response:	D-Don't...
context: I won't have it!\My phone!\The guy is one thing...\But I can't have you revealing yourself to the whole world!\H-Hey... You wouldn't...\This channel and all the videos on it...\Hey!\D-Don't... response:	That's my only...
context: My phone!\The guy is one thing...\But I can't have you revealing yourself to the whole world!\H-Hey... You wouldn't...\This channel and all the videos on it...\Hey!\D-Don't...\That's my only... response:	I'm deleting it all!
context: The guy is one thing...\But I can't have you revealing yourself to the whole world!\H-Hey... You wouldn't...\This channel and all the videos on it...\Hey!\D-Don't...\That's my only...\I'm deleting it all! response:	Naoya!
context: But I can't have you revealing yourself to the whole world!\H-Hey... You wouldn't...\This channel and all the videos on it...\Hey!\D-Don't...\That's my only...\I'm deleting it all!\Naoya! response:	Are you sure you want to delete your channel? Yes No
context: H-Hey... You wouldn't...\This channel and all the videos on it...\Hey!\D-Don't...\That's my only...\I'm deleting it all!\Naoya!\Are you sure you want to delete your channel? Yes No response:	Give that back.
context: This channel and all the videos on it...\Hey!\D-Don't...\That's my only...\I'm deleting it all!\Naoya!\Are you sure you want to delete your channel? Yes No\Give that back. response:	Milika-san's dad,
context: Hey!\D-Don't...\That's my only...\I'm deleting it all!\Naoya!\Are you sure you want to delete your channel? Yes No\Give that back.\Milika-san's dad, response:	do you have any idea how much work it takes for a high schooler
context: D-Don't...\That's my only...\I'm deleting it all!\Naoya!\Are you sure you want to delete your channel? Yes No\Give that back.\Milika-san's dad,\do you have any idea how much work it takes for a high schooler response:	to get 50,000 subscribers?
context: That's my only...\I'm deleting it all!\Naoya!\Are you sure you want to delete your channel? Yes No\Give that back.\Milika-san's dad,\do you have any idea how much work it takes for a high schooler\to get 50,000 subscribers? response:	She puts an incredible amount of effort into recording.
context: I'm deleting it all!\Naoya!\Are you sure you want to delete your channel? Yes No\Give that back.\Milika-san's dad,\do you have any idea how much work it takes for a high schooler\to get 50,000 subscribers?\She puts an incredible amount of effort into recording. response:	To an ordinary high schooler like me, she really is amazing.
context: Naoya!\Are you sure you want to delete your channel? Yes No\Give that back.\Milika-san's dad,\do you have any idea how much work it takes for a high schooler\to get 50,000 subscribers?\She puts an incredible amount of effort into recording.\To an ordinary high schooler like me, she really is amazing. response:	I don't like where this is headed.
context: Are you sure you want to delete your channel? Yes No\Give that back.\Milika-san's dad,\do you have any idea how much work it takes for a high schooler\to get 50,000 subscribers?\She puts an incredible amount of effort into recording.\To an ordinary high schooler like me, she really is amazing.\I don't like where this is headed. response:	That may be...
context: Give that back.\Milika-san's dad,\do you have any idea how much work it takes for a high schooler\to get 50,000 subscribers?\She puts an incredible amount of effort into recording.\To an ordinary high schooler like me, she really is amazing.\I don't like where this is headed.\That may be... response:	But the way she bares her breasts...
context: Milika-san's dad,\do you have any idea how much work it takes for a high schooler\to get 50,000 subscribers?\She puts an incredible amount of effort into recording.\To an ordinary high schooler like me, she really is amazing.\I don't like where this is headed.\That may be...\But the way she bares her breasts... response:	What's wrong with it?
context: do you have any idea how much work it takes for a high schooler\to get 50,000 subscribers?\She puts an incredible amount of effort into recording.\To an ordinary high schooler like me, she really is amazing.\I don't like where this is headed.\That may be...\But the way she bares her breasts...\What's wrong with it? response:	She chose to do it herself!
context: to get 50,000 subscribers?\She puts an incredible amount of effort into recording.\To an ordinary high schooler like me, she really is amazing.\I don't like where this is headed.\That may be...\But the way she bares her breasts...\What's wrong with it?\She chose to do it herself! response:	Sure, I caused a lot of trouble trying to get her to leave, too,
context: She puts an incredible amount of effort into recording.\To an ordinary high schooler like me, she really is amazing.\I don't like where this is headed.\That may be...\But the way she bares her breasts...\What's wrong with it?\She chose to do it herself!\Sure, I caused a lot of trouble trying to get her to leave, too, response:	by selling her camping gear.
context: To an ordinary high schooler like me, she really is amazing.\I don't like where this is headed.\That may be...\But the way she bares her breasts...\What's wrong with it?\She chose to do it herself!\Sure, I caused a lot of trouble trying to get her to leave, too,\by selling her camping gear. response:	But deleting her videos is too much!
context: I don't like where this is headed.\That may be...\But the way she bares her breasts...\What's wrong with it?\She chose to do it herself!\Sure, I caused a lot of trouble trying to get her to leave, too,\by selling her camping gear.\But deleting her videos is too much! response:	Naoya!
context: That may be...\But the way she bares her breasts...\What's wrong with it?\She chose to do it herself!\Sure, I caused a lot of trouble trying to get her to leave, too,\by selling her camping gear.\But deleting her videos is too much!\Naoya! response:	Don't do anything else!
context: But the way she bares her breasts...\What's wrong with it?\She chose to do it herself!\Sure, I caused a lot of trouble trying to get her to leave, too,\by selling her camping gear.\But deleting her videos is too much!\Naoya!\Don't do anything else! response:	I'll protect her now!
context: What's wrong with it?\She chose to do it herself!\Sure, I caused a lot of trouble trying to get her to leave, too,\by selling her camping gear.\But deleting her videos is too much!\Naoya!\Don't do anything else!\I'll protect her now! response:	She's...
context: She chose to do it herself!\Sure, I caused a lot of trouble trying to get her to leave, too,\by selling her camping gear.\But deleting her videos is too much!\Naoya!\Don't do anything else!\I'll protect her now!\She's... response:	Y-You...
context: Sure, I caused a lot of trouble trying to get her to leave, too,\by selling her camping gear.\But deleting her videos is too much!\Naoya!\Don't do anything else!\I'll protect her now!\She's...\Y-You... response:	Naoya, you've gone and done it now!
context: by selling her camping gear.\But deleting her videos is too much!\Naoya!\Don't do anything else!\I'll protect her now!\She's...\Y-You...\Naoya, you've gone and done it now! response:	What do we do about her?!
context: But deleting her videos is too much!\Naoya!\Don't do anything else!\I'll protect her now!\She's...\Y-You...\Naoya, you've gone and done it now!\What do we do about her?! response:	Done what?
context: Naoya!\Don't do anything else!\I'll protect her now!\She's...\Y-You...\Naoya, you've gone and done it now!\What do we do about her?!\Done what? response:	Well...
context: Don't do anything else!\I'll protect her now!\She's...\Y-You...\Naoya, you've gone and done it now!\What do we do about her?!\Done what?\Well... response:	There's something I need to think about carefully.
context: I'll protect her now!\She's...\Y-You...\Naoya, you've gone and done it now!\What do we do about her?!\Done what?\Well...\There's something I need to think about carefully. response:	I'm going home for now.
context: She's...\Y-You...\Naoya, you've gone and done it now!\What do we do about her?!\Done what?\Well...\There's something I need to think about carefully.\I'm going home for now. response:	So...
context: Y-You...\Naoya, you've gone and done it now!\What do we do about her?!\Done what?\Well...\There's something I need to think about carefully.\I'm going home for now.\So... response:	Dad, the next time you try to delete my channel, I'm going to disown you.
context: Naoya, you've gone and done it now!\What do we do about her?!\Done what?\Well...\There's something I need to think about carefully.\I'm going home for now.\So...\Dad, the next time you try to delete my channel, I'm going to disown you. response:	S-See you.
context: What do we do about her?!\Done what?\Well...\There's something I need to think about carefully.\I'm going home for now.\So...\Dad, the next time you try to delete my channel, I'm going to disown you.\S-See you. response:	What's Naoya-kun going to do if Milika-san becomes serious?
context: Done what?\Well...\There's something I need to think about carefully.\I'm going home for now.\So...\Dad, the next time you try to delete my channel, I'm going to disown you.\S-See you.\What's Naoya-kun going to do if Milika-san becomes serious? response:	Girlfriend, Girlfriend
context: Well...\There's something I need to think about carefully.\I'm going home for now.\So...\Dad, the next time you try to delete my channel, I'm going to disown you.\S-See you.\What's Naoya-kun going to do if Milika-san becomes serious?\Girlfriend, Girlfriend response:	Th-This could get ugly.
context: There's something I need to think about carefully.\I'm going home for now.\So...\Dad, the next time you try to delete my channel, I'm going to disown you.\S-See you.\What's Naoya-kun going to do if Milika-san becomes serious?\Girlfriend, Girlfriend\Th-This could get ugly. response:	Preview
