context: Who's there?! response:	Gretto,
context: Elmer...\Smile, Maiza.\Even that old man might change.\What is this?\Who would have thought that I would end up\devouring a young girl in a place like this?\It was you.\My lust should have disappeared long ago, response:	but I hear a voice inside me that seeks you.
context: Smile, Maiza.\Even that old man might change.\What is this?\Who would have thought that I would end up\devouring a young girl in a place like this?\It was you.\My lust should have disappeared long ago,\but I hear a voice inside me that seeks you. response:	I see. That young man seemed to be quite taken with you, huh?
context: Even that old man might change.\What is this?\Who would have thought that I would end up\devouring a young girl in a place like this?\It was you.\My lust should have disappeared long ago,\but I hear a voice inside me that seeks you.\I see. That young man seemed to be quite taken with you, huh? response:	What do you mean by that?
context: What is this?\Who would have thought that I would end up\devouring a young girl in a place like this?\It was you.\My lust should have disappeared long ago,\but I hear a voice inside me that seeks you.\I see. That young man seemed to be quite taken with you, huh?\What do you mean by that? response:	Stop!
context: Who would have thought that I would end up\devouring a young girl in a place like this?\It was you.\My lust should have disappeared long ago,\but I hear a voice inside me that seeks you.\I see. That young man seemed to be quite taken with you, huh?\What do you mean by that?\Stop! response:	Please, stop! I beg you!
context: devouring a young girl in a place like this?\It was you.\My lust should have disappeared long ago,\but I hear a voice inside me that seeks you.\I see. That young man seemed to be quite taken with you, huh?\What do you mean by that?\Stop!\Please, stop! I beg you! response:	Gretto, this is your punishment.
context: It was you.\My lust should have disappeared long ago,\but I hear a voice inside me that seeks you.\I see. That young man seemed to be quite taken with you, huh?\What do you mean by that?\Stop!\Please, stop! I beg you!\Gretto, this is your punishment. response:	That man was wrong in trying to monopolize such grand knowledge in the first place.
context: My lust should have disappeared long ago,\but I hear a voice inside me that seeks you.\I see. That young man seemed to be quite taken with you, huh?\What do you mean by that?\Stop!\Please, stop! I beg you!\Gretto, this is your punishment.\That man was wrong in trying to monopolize such grand knowledge in the first place. response:	Help!
context: but I hear a voice inside me that seeks you.\I see. That young man seemed to be quite taken with you, huh?\What do you mean by that?\Stop!\Please, stop! I beg you!\Gretto, this is your punishment.\That man was wrong in trying to monopolize such grand knowledge in the first place.\Help! response:	Sylvie, I'm so happy.
context: I see. That young man seemed to be quite taken with you, huh?\What do you mean by that?\Stop!\Please, stop! I beg you!\Gretto, this is your punishment.\That man was wrong in trying to monopolize such grand knowledge in the first place.\Help!\Sylvie, I'm so happy. response:	Everyone's own experiences, everyone's own knowledge,
context: What do you mean by that?\Stop!\Please, stop! I beg you!\Gretto, this is your punishment.\That man was wrong in trying to monopolize such grand knowledge in the first place.\Help!\Sylvie, I'm so happy.\Everyone's own experiences, everyone's own knowledge, response:	everyone's own desires...
context: Stop!\Please, stop! I beg you!\Gretto, this is your punishment.\That man was wrong in trying to monopolize such grand knowledge in the first place.\Help!\Sylvie, I'm so happy.\Everyone's own experiences, everyone's own knowledge,\everyone's own desires... response:	There is no end to the useful things one ought to know in life!
context: Please, stop! I beg you!\Gretto, this is your punishment.\That man was wrong in trying to monopolize such grand knowledge in the first place.\Help!\Sylvie, I'm so happy.\Everyone's own experiences, everyone's own knowledge,\everyone's own desires...\There is no end to the useful things one ought to know in life! response:	I still want to know more!
context: Gretto, this is your punishment.\That man was wrong in trying to monopolize such grand knowledge in the first place.\Help!\Sylvie, I'm so happy.\Everyone's own experiences, everyone's own knowledge,\everyone's own desires...\There is no end to the useful things one ought to know in life!\I still want to know more! response:	I still haven't eaten enough, Sylvie!
context: That man was wrong in trying to monopolize such grand knowledge in the first place.\Help!\Sylvie, I'm so happy.\Everyone's own experiences, everyone's own knowledge,\everyone's own desires...\There is no end to the useful things one ought to know in life!\I still want to know more!\I still haven't eaten enough, Sylvie! response:	You're the one... You ate him, didn't you?
context: Help!\Sylvie, I'm so happy.\Everyone's own experiences, everyone's own knowledge,\everyone's own desires...\There is no end to the useful things one ought to know in life!\I still want to know more!\I still haven't eaten enough, Sylvie!\You're the one... You ate him, didn't you? response:	You can curse your fate for being born that man's younger brother.
context: Sylvie, I'm so happy.\Everyone's own experiences, everyone's own knowledge,\everyone's own desires...\There is no end to the useful things one ought to know in life!\I still want to know more!\I still haven't eaten enough, Sylvie!\You're the one... You ate him, didn't you?\You can curse your fate for being born that man's younger brother. response:	Do not worry. I will make you one with me, inside me.
context: Everyone's own experiences, everyone's own knowledge,\everyone's own desires...\There is no end to the useful things one ought to know in life!\I still want to know more!\I still haven't eaten enough, Sylvie!\You're the one... You ate him, didn't you?\You can curse your fate for being born that man's younger brother.\Do not worry. I will make you one with me, inside me. response:	You ate him, didn't you?!
context: everyone's own desires...\There is no end to the useful things one ought to know in life!\I still want to know more!\I still haven't eaten enough, Sylvie!\You're the one... You ate him, didn't you?\You can curse your fate for being born that man's younger brother.\Do not worry. I will make you one with me, inside me.\You ate him, didn't you?! response:	S-Sylvie!
context: There is no end to the useful things one ought to know in life!\I still want to know more!\I still haven't eaten enough, Sylvie!\You're the one... You ate him, didn't you?\You can curse your fate for being born that man's younger brother.\Do not worry. I will make you one with me, inside me.\You ate him, didn't you?!\S-Sylvie! response:	Maiza, I...
context: I still want to know more!\I still haven't eaten enough, Sylvie!\You're the one... You ate him, didn't you?\You can curse your fate for being born that man's younger brother.\Do not worry. I will make you one with me, inside me.\You ate him, didn't you?!\S-Sylvie!\Maiza, I... response:	Let's find Szilard.
context: I still haven't eaten enough, Sylvie!\You're the one... You ate him, didn't you?\You can curse your fate for being born that man's younger brother.\Do not worry. I will make you one with me, inside me.\You ate him, didn't you?!\S-Sylvie!\Maiza, I...\Let's find Szilard. response:	Sylvie! You didn't drink!
context: You're the one... You ate him, didn't you?\You can curse your fate for being born that man's younger brother.\Do not worry. I will make you one with me, inside me.\You ate him, didn't you?!\S-Sylvie!\Maiza, I...\Let's find Szilard.\Sylvie! You didn't drink! response:	Nile, why, you!
context: You can curse your fate for being born that man's younger brother.\Do not worry. I will make you one with me, inside me.\You ate him, didn't you?!\S-Sylvie!\Maiza, I...\Let's find Szilard.\Sylvie! You didn't drink!\Nile, why, you! response:	I am extremely angry with you right now, but I'll go ahead
context: Do not worry. I will make you one with me, inside me.\You ate him, didn't you?!\S-Sylvie!\Maiza, I...\Let's find Szilard.\Sylvie! You didn't drink!\Nile, why, you!\I am extremely angry with you right now, but I'll go ahead response:	and put my feelings into words anyhow.
context: You ate him, didn't you?!\S-Sylvie!\Maiza, I...\Let's find Szilard.\Sylvie! You didn't drink!\Nile, why, you!\I am extremely angry with you right now, but I'll go ahead\and put my feelings into words anyhow. response:	I'll kill you!
context: S-Sylvie!\Maiza, I...\Let's find Szilard.\Sylvie! You didn't drink!\Nile, why, you!\I am extremely angry with you right now, but I'll go ahead\and put my feelings into words anyhow.\I'll kill you! response:	Maiza- san...
context: Maiza, I...\Let's find Szilard.\Sylvie! You didn't drink!\Nile, why, you!\I am extremely angry with you right now, but I'll go ahead\and put my feelings into words anyhow.\I'll kill you!\Maiza- san... response:	Sylvie, are you okay?
context: Let's find Szilard.\Sylvie! You didn't drink!\Nile, why, you!\I am extremely angry with you right now, but I'll go ahead\and put my feelings into words anyhow.\I'll kill you!\Maiza- san...\Sylvie, are you okay? response:	Come on, let's smile together.
context: Sylvie! You didn't drink!\Nile, why, you!\I am extremely angry with you right now, but I'll go ahead\and put my feelings into words anyhow.\I'll kill you!\Maiza- san...\Sylvie, are you okay?\Come on, let's smile together. response:	I guess not. Well, I'm going to go try to convince old man Szilard.
context: Nile, why, you!\I am extremely angry with you right now, but I'll go ahead\and put my feelings into words anyhow.\I'll kill you!\Maiza- san...\Sylvie, are you okay?\Come on, let's smile together.\I guess not. Well, I'm going to go try to convince old man Szilard. response:	Convince him?
context: I am extremely angry with you right now, but I'll go ahead\and put my feelings into words anyhow.\I'll kill you!\Maiza- san...\Sylvie, are you okay?\Come on, let's smile together.\I guess not. Well, I'm going to go try to convince old man Szilard.\Convince him? response:	What can you convince that man of?
context: and put my feelings into words anyhow.\I'll kill you!\Maiza- san...\Sylvie, are you okay?\Come on, let's smile together.\I guess not. Well, I'm going to go try to convince old man Szilard.\Convince him?\What can you convince that man of? response:	The possibility isn't zero.
context: I'll kill you!\Maiza- san...\Sylvie, are you okay?\Come on, let's smile together.\I guess not. Well, I'm going to go try to convince old man Szilard.\Convince him?\What can you convince that man of?\The possibility isn't zero. response:	Elmer- san!
context: Maiza- san...\Sylvie, are you okay?\Come on, let's smile together.\I guess not. Well, I'm going to go try to convince old man Szilard.\Convince him?\What can you convince that man of?\The possibility isn't zero.\Elmer- san! response:	Give up, Szilard- dono!
context: Sylvie, are you okay?\Come on, let's smile together.\I guess not. Well, I'm going to go try to convince old man Szilard.\Convince him?\What can you convince that man of?\The possibility isn't zero.\Elmer- san!\Give up, Szilard- dono! response:	I have no reservations any longer, Szilard- san.
context: Come on, let's smile together.\I guess not. Well, I'm going to go try to convince old man Szilard.\Convince him?\What can you convince that man of?\The possibility isn't zero.\Elmer- san!\Give up, Szilard- dono!\I have no reservations any longer, Szilard- san. response:	Hey! Old man Szilard!
context: I guess not. Well, I'm going to go try to convince old man Szilard.\Convince him?\What can you convince that man of?\The possibility isn't zero.\Elmer- san!\Give up, Szilard- dono!\I have no reservations any longer, Szilard- san.\Hey! Old man Szilard! response:	Listen to what I have to say!
context: Convince him?\What can you convince that man of?\The possibility isn't zero.\Elmer- san!\Give up, Szilard- dono!\I have no reservations any longer, Szilard- san.\Hey! Old man Szilard!\Listen to what I have to say! response:	Yow!
context: What can you convince that man of?\The possibility isn't zero.\Elmer- san!\Give up, Szilard- dono!\I have no reservations any longer, Szilard- san.\Hey! Old man Szilard!\Listen to what I have to say!\Yow! response:	Elmer!
context: The possibility isn't zero.\Elmer- san!\Give up, Szilard- dono!\I have no reservations any longer, Szilard- san.\Hey! Old man Szilard!\Listen to what I have to say!\Yow!\Elmer! response:	Maiza!
context: Elmer- san!\Give up, Szilard- dono!\I have no reservations any longer, Szilard- san.\Hey! Old man Szilard!\Listen to what I have to say!\Yow!\Elmer!\Maiza! response:	Elmer!
context: Give up, Szilard- dono!\I have no reservations any longer, Szilard- san.\Hey! Old man Szilard!\Listen to what I have to say!\Yow!\Elmer!\Maiza!\Elmer! response:	To think that you would try a stunt like that to get the old man's attention...
context: I have no reservations any longer, Szilard- san.\Hey! Old man Szilard!\Listen to what I have to say!\Yow!\Elmer!\Maiza!\Elmer!\To think that you would try a stunt like that to get the old man's attention... response:	You're an unusual man. Fascinating.
context: Hey! Old man Szilard!\Listen to what I have to say!\Yow!\Elmer!\Maiza!\Elmer!\To think that you would try a stunt like that to get the old man's attention...\You're an unusual man. Fascinating. response:	I will grant you one wish.
context: Listen to what I have to say!\Yow!\Elmer!\Maiza!\Elmer!\To think that you would try a stunt like that to get the old man's attention...\You're an unusual man. Fascinating.\I will grant you one wish. response:	Almost like an Arabian genie.
context: Yow!\Elmer!\Maiza!\Elmer!\To think that you would try a stunt like that to get the old man's attention...\You're an unusual man. Fascinating.\I will grant you one wish.\Almost like an Arabian genie. response:	Yes, but you only get one wish, not three.
context: Elmer!\Maiza!\Elmer!\To think that you would try a stunt like that to get the old man's attention...\You're an unusual man. Fascinating.\I will grant you one wish.\Almost like an Arabian genie.\Yes, but you only get one wish, not three. response:	All right, I've decided, devil.
context: Maiza!\Elmer!\To think that you would try a stunt like that to get the old man's attention...\You're an unusual man. Fascinating.\I will grant you one wish.\Almost like an Arabian genie.\Yes, but you only get one wish, not three.\All right, I've decided, devil. response:	Elmer- san!
context: Elmer!\To think that you would try a stunt like that to get the old man's attention...\You're an unusual man. Fascinating.\I will grant you one wish.\Almost like an Arabian genie.\Yes, but you only get one wish, not three.\All right, I've decided, devil.\Elmer- san! response:	Are you all right, Elmer- san?!
context: To think that you would try a stunt like that to get the old man's attention...\You're an unusual man. Fascinating.\I will grant you one wish.\Almost like an Arabian genie.\Yes, but you only get one wish, not three.\All right, I've decided, devil.\Elmer- san!\Are you all right, Elmer- san?! response:	Where's old man Szilard?
context: You're an unusual man. Fascinating.\I will grant you one wish.\Almost like an Arabian genie.\Yes, but you only get one wish, not three.\All right, I've decided, devil.\Elmer- san!\Are you all right, Elmer- san?!\Where's old man Szilard? response:	He fell into the sea. I doubt he'll be returning to the ship, in his condition.
context: I will grant you one wish.\Almost like an Arabian genie.\Yes, but you only get one wish, not three.\All right, I've decided, devil.\Elmer- san!\Are you all right, Elmer- san?!\Where's old man Szilard?\He fell into the sea. I doubt he'll be returning to the ship, in his condition. response:	I see. I thought I had a chance at convincing him.
context: Almost like an Arabian genie.\Yes, but you only get one wish, not three.\All right, I've decided, devil.\Elmer- san!\Are you all right, Elmer- san?!\Where's old man Szilard?\He fell into the sea. I doubt he'll be returning to the ship, in his condition.\I see. I thought I had a chance at convincing him. response:	Sylvie...
context: Yes, but you only get one wish, not three.\All right, I've decided, devil.\Elmer- san!\Are you all right, Elmer- san?!\Where's old man Szilard?\He fell into the sea. I doubt he'll be returning to the ship, in his condition.\I see. I thought I had a chance at convincing him.\Sylvie... response:	I know you don't want to right now,
context: All right, I've decided, devil.\Elmer- san!\Are you all right, Elmer- san?!\Where's old man Szilard?\He fell into the sea. I doubt he'll be returning to the ship, in his condition.\I see. I thought I had a chance at convincing him.\Sylvie...\I know you don't want to right now, response:	but you have to keep a happy face. Smile, Sylvie.
context: Elmer- san!\Are you all right, Elmer- san?!\Where's old man Szilard?\He fell into the sea. I doubt he'll be returning to the ship, in his condition.\I see. I thought I had a chance at convincing him.\Sylvie...\I know you don't want to right now,\but you have to keep a happy face. Smile, Sylvie. response:	Elmer- san...
context: Are you all right, Elmer- san?!\Where's old man Szilard?\He fell into the sea. I doubt he'll be returning to the ship, in his condition.\I see. I thought I had a chance at convincing him.\Sylvie...\I know you don't want to right now,\but you have to keep a happy face. Smile, Sylvie.\Elmer- san... response:	I did believe that the possibility was zero.
context: Where's old man Szilard?\He fell into the sea. I doubt he'll be returning to the ship, in his condition.\I see. I thought I had a chance at convincing him.\Sylvie...\I know you don't want to right now,\but you have to keep a happy face. Smile, Sylvie.\Elmer- san...\I did believe that the possibility was zero. response:	So that's why...
context: He fell into the sea. I doubt he'll be returning to the ship, in his condition.\I see. I thought I had a chance at convincing him.\Sylvie...\I know you don't want to right now,\but you have to keep a happy face. Smile, Sylvie.\Elmer- san...\I did believe that the possibility was zero.\So that's why... response:	I haven't given up yet, though.
context: I see. I thought I had a chance at convincing him.\Sylvie...\I know you don't want to right now,\but you have to keep a happy face. Smile, Sylvie.\Elmer- san...\I did believe that the possibility was zero.\So that's why...\I haven't given up yet, though. response:	Gretto...
context: Sylvie...\I know you don't want to right now,\but you have to keep a happy face. Smile, Sylvie.\Elmer- san...\I did believe that the possibility was zero.\So that's why...\I haven't given up yet, though.\Gretto... response:	I never imagined that it would start so soon.
context: I know you don't want to right now,\but you have to keep a happy face. Smile, Sylvie.\Elmer- san...\I did believe that the possibility was zero.\So that's why...\I haven't given up yet, though.\Gretto...\I never imagined that it would start so soon. response:	It bothers me that it looks like I incited this,
context: but you have to keep a happy face. Smile, Sylvie.\Elmer- san...\I did believe that the possibility was zero.\So that's why...\I haven't given up yet, though.\Gretto...\I never imagined that it would start so soon.\It bothers me that it looks like I incited this, response:	but the human race is thoroughly steeped in avarice.
context: Elmer- san...\I did believe that the possibility was zero.\So that's why...\I haven't given up yet, though.\Gretto...\I never imagined that it would start so soon.\It bothers me that it looks like I incited this,\but the human race is thoroughly steeped in avarice. response:	Why are you speaking to me?
context: I did believe that the possibility was zero.\So that's why...\I haven't given up yet, though.\Gretto...\I never imagined that it would start so soon.\It bothers me that it looks like I incited this,\but the human race is thoroughly steeped in avarice.\Why are you speaking to me? response:	Because you were there. As fellow onlookers, not getting involved,
context: So that's why...\I haven't given up yet, though.\Gretto...\I never imagined that it would start so soon.\It bothers me that it looks like I incited this,\but the human race is thoroughly steeped in avarice.\Why are you speaking to me?\Because you were there. As fellow onlookers, not getting involved, response:	let's try to get along with each other.
context: I haven't given up yet, though.\Gretto...\I never imagined that it would start so soon.\It bothers me that it looks like I incited this,\but the human race is thoroughly steeped in avarice.\Why are you speaking to me?\Because you were there. As fellow onlookers, not getting involved,\let's try to get along with each other. response:	I'm just interested, that's all.
context: Gretto...\I never imagined that it would start so soon.\It bothers me that it looks like I incited this,\but the human race is thoroughly steeped in avarice.\Why are you speaking to me?\Because you were there. As fellow onlookers, not getting involved,\let's try to get along with each other.\I'm just interested, that's all. response:	Birds of a feather. Well, all right.
context: I never imagined that it would start so soon.\It bothers me that it looks like I incited this,\but the human race is thoroughly steeped in avarice.\Why are you speaking to me?\Because you were there. As fellow onlookers, not getting involved,\let's try to get along with each other.\I'm just interested, that's all.\Birds of a feather. Well, all right. response:	I thought this was the time, for sure.
context: It bothers me that it looks like I incited this,\but the human race is thoroughly steeped in avarice.\Why are you speaking to me?\Because you were there. As fellow onlookers, not getting involved,\let's try to get along with each other.\I'm just interested, that's all.\Birds of a feather. Well, all right.\I thought this was the time, for sure. response:	What do you mean?
context: but the human race is thoroughly steeped in avarice.\Why are you speaking to me?\Because you were there. As fellow onlookers, not getting involved,\let's try to get along with each other.\I'm just interested, that's all.\Birds of a feather. Well, all right.\I thought this was the time, for sure.\What do you mean? response:	Nothing much.
context: Why are you speaking to me?\Because you were there. As fellow onlookers, not getting involved,\let's try to get along with each other.\I'm just interested, that's all.\Birds of a feather. Well, all right.\I thought this was the time, for sure.\What do you mean?\Nothing much. response:	It was just a mild sentiment, you might say.
context: Because you were there. As fellow onlookers, not getting involved,\let's try to get along with each other.\I'm just interested, that's all.\Birds of a feather. Well, all right.\I thought this was the time, for sure.\What do you mean?\Nothing much.\It was just a mild sentiment, you might say. response:	It almost sounds like you are expecting something from us.
context: let's try to get along with each other.\I'm just interested, that's all.\Birds of a feather. Well, all right.\I thought this was the time, for sure.\What do you mean?\Nothing much.\It was just a mild sentiment, you might say.\It almost sounds like you are expecting something from us. response:	Don't be so hasty.
context: I'm just interested, that's all.\Birds of a feather. Well, all right.\I thought this was the time, for sure.\What do you mean?\Nothing much.\It was just a mild sentiment, you might say.\It almost sounds like you are expecting something from us.\Don't be so hasty. response:	After all, we're going to be together for a long time.
context: Birds of a feather. Well, all right.\I thought this was the time, for sure.\What do you mean?\Nothing much.\It was just a mild sentiment, you might say.\It almost sounds like you are expecting something from us.\Don't be so hasty.\After all, we're going to be together for a long time. response:	We'll have opportunity to meet each other again, as well.
context: I thought this was the time, for sure.\What do you mean?\Nothing much.\It was just a mild sentiment, you might say.\It almost sounds like you are expecting something from us.\Don't be so hasty.\After all, we're going to be together for a long time.\We'll have opportunity to meet each other again, as well. response:	It's risky turning the Runoratas against us,
context: What do you mean?\Nothing much.\It was just a mild sentiment, you might say.\It almost sounds like you are expecting something from us.\Don't be so hasty.\After all, we're going to be together for a long time.\We'll have opportunity to meet each other again, as well.\It's risky turning the Runoratas against us, response:	but you might say that this man Gustavo is less than fearsome.
context: Nothing much.\It was just a mild sentiment, you might say.\It almost sounds like you are expecting something from us.\Don't be so hasty.\After all, we're going to be together for a long time.\We'll have opportunity to meet each other again, as well.\It's risky turning the Runoratas against us,\but you might say that this man Gustavo is less than fearsome. response:	I see. Then, other than brushing away the sparks that come at us,
context: It was just a mild sentiment, you might say.\It almost sounds like you are expecting something from us.\Don't be so hasty.\After all, we're going to be together for a long time.\We'll have opportunity to meet each other again, as well.\It's risky turning the Runoratas against us,\but you might say that this man Gustavo is less than fearsome.\I see. Then, other than brushing away the sparks that come at us, response:	you want us to not get involved, right?
context: It almost sounds like you are expecting something from us.\Don't be so hasty.\After all, we're going to be together for a long time.\We'll have opportunity to meet each other again, as well.\It's risky turning the Runoratas against us,\but you might say that this man Gustavo is less than fearsome.\I see. Then, other than brushing away the sparks that come at us,\you want us to not get involved, right? response:	I don't think there will be any problems.
context: Don't be so hasty.\After all, we're going to be together for a long time.\We'll have opportunity to meet each other again, as well.\It's risky turning the Runoratas against us,\but you might say that this man Gustavo is less than fearsome.\I see. Then, other than brushing away the sparks that come at us,\you want us to not get involved, right?\I don't think there will be any problems. response:	Maiza, I can sense the presence of Szilard right nearby.
context: After all, we're going to be together for a long time.\We'll have opportunity to meet each other again, as well.\It's risky turning the Runoratas against us,\but you might say that this man Gustavo is less than fearsome.\I see. Then, other than brushing away the sparks that come at us,\you want us to not get involved, right?\I don't think there will be any problems.\Maiza, I can sense the presence of Szilard right nearby. response:	Don't you sense anything?
context: We'll have opportunity to meet each other again, as well.\It's risky turning the Runoratas against us,\but you might say that this man Gustavo is less than fearsome.\I see. Then, other than brushing away the sparks that come at us,\you want us to not get involved, right?\I don't think there will be any problems.\Maiza, I can sense the presence of Szilard right nearby.\Don't you sense anything? response:	Oh, well.
context: It's risky turning the Runoratas against us,\but you might say that this man Gustavo is less than fearsome.\I see. Then, other than brushing away the sparks that come at us,\you want us to not get involved, right?\I don't think there will be any problems.\Maiza, I can sense the presence of Szilard right nearby.\Don't you sense anything?\Oh, well. response:	Looking up at the starry sky that goes on forever, we sing
context: but you might say that this man Gustavo is less than fearsome.\I see. Then, other than brushing away the sparks that come at us,\you want us to not get involved, right?\I don't think there will be any problems.\Maiza, I can sense the presence of Szilard right nearby.\Don't you sense anything?\Oh, well.\Looking up at the starry sky that goes on forever, we sing response:	a melody of a dream we have of our limited eternity
context: I see. Then, other than brushing away the sparks that come at us,\you want us to not get involved, right?\I don't think there will be any problems.\Maiza, I can sense the presence of Szilard right nearby.\Don't you sense anything?\Oh, well.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity response:	The water of adoration, overflowing in our hearts
context: you want us to not get involved, right?\I don't think there will be any problems.\Maiza, I can sense the presence of Szilard right nearby.\Don't you sense anything?\Oh, well.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts response:	will reach someone in the distant future
context: I don't think there will be any problems.\Maiza, I can sense the presence of Szilard right nearby.\Don't you sense anything?\Oh, well.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future response:	I believe so
context: Maiza, I can sense the presence of Szilard right nearby.\Don't you sense anything?\Oh, well.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so response:	Running through time prolonged,
context: Don't you sense anything?\Oh, well.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged, response:	our voices calling out will someday become a great song
context: Oh, well.\Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song response:	We can go on spinning our love
context: Looking up at the starry sky that goes on forever, we sing\a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love response:	though it may still be such a tiny light now
context: a melody of a dream we have of our limited eternity\The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now response:	Miria, it says Isaac and Miria Unintentionally Spread Happiness Around Them!
context: The water of adoration, overflowing in our hearts\will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, it says Isaac and Miria Unintentionally Spread Happiness Around Them! response:	That's incredible, Isaac!
context: will reach someone in the distant future\I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, it says Isaac and Miria Unintentionally Spread Happiness Around Them!\That's incredible, Isaac! response:	They've got the same names that we do!
context: I believe so\Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, it says Isaac and Miria Unintentionally Spread Happiness Around Them!\That's incredible, Isaac!\They've got the same names that we do! response:	Same first, same last!
context: Running through time prolonged,\our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, it says Isaac and Miria Unintentionally Spread Happiness Around Them!\That's incredible, Isaac!\They've got the same names that we do!\Same first, same last! response:	We'll have to spread happiness, so we're not shown up by this Isaac-san and Miria-san!
context: our voices calling out will someday become a great song\We can go on spinning our love\though it may still be such a tiny light now\Miria, it says Isaac and Miria Unintentionally Spread Happiness Around Them!\That's incredible, Isaac!\They've got the same names that we do!\Same first, same last!\We'll have to spread happiness, so we're not shown up by this Isaac-san and Miria-san! response:	I'm not sure I get it, but it's incredible!
