context: Episode 6 Punch response:	Kakeru-kun.
context: just weak sounds or voices.\Nothing more.\Until I met you.\I'm slowly starting to understand.\What I want\isn't those mysterious pieces.\It must be something clearer,\more tangible. response:	Do you mean
context: Nothing more.\Until I met you.\I'm slowly starting to understand.\What I want\isn't those mysterious pieces.\It must be something clearer,\more tangible.\Do you mean response:	All I can hear is
context: Until I met you.\I'm slowly starting to understand.\What I want\isn't those mysterious pieces.\It must be something clearer,\more tangible.\Do you mean\All I can hear is response:	your voice.
context: I'm slowly starting to understand.\What I want\isn't those mysterious pieces.\It must be something clearer,\more tangible.\Do you mean\All I can hear is\your voice. response:	I keep seeing you, too.
context: What I want\isn't those mysterious pieces.\It must be something clearer,\more tangible.\Do you mean\All I can hear is\your voice.\I keep seeing you, too. response:	Have I found it?
context: isn't those mysterious pieces.\It must be something clearer,\more tangible.\Do you mean\All I can hear is\your voice.\I keep seeing you, too.\Have I found it? response:	I don't like David.
context: It must be something clearer,\more tangible.\Do you mean\All I can hear is\your voice.\I keep seeing you, too.\Have I found it?\I don't like David. response:	The future can't be changed.
context: more tangible.\Do you mean\All I can hear is\your voice.\I keep seeing you, too.\Have I found it?\I don't like David.\The future can't be changed. response:	What is my relationship with Kakeru-kun?
context: Do you mean\All I can hear is\your voice.\I keep seeing you, too.\Have I found it?\I don't like David.\The future can't be changed.\What is my relationship with Kakeru-kun? response:	I'm going home for now.
context: All I can hear is\your voice.\I keep seeing you, too.\Have I found it?\I don't like David.\The future can't be changed.\What is my relationship with Kakeru-kun?\I'm going home for now. response:	Episode 7 Bicycle
context: your voice.\I keep seeing you, too.\Have I found it?\I don't like David.\The future can't be changed.\What is my relationship with Kakeru-kun?\I'm going home for now.\Episode 7 Bicycle response:	Please don't look bad.
