context: Signs response:	Unread: Thank you for taking care of me
context: I can't believe I'm troubling you.\You...\Thanks.\Hey Taiga, your shoes!\Sheesh...\Kawashima?\Oh yeah, Yuusaku said he'll bring you a change of clothes.\Anyway, I'm sorry for bothering you. response:	Excuse me.
context: You...\Thanks.\Hey Taiga, your shoes!\Sheesh...\Kawashima?\Oh yeah, Yuusaku said he'll bring you a change of clothes.\Anyway, I'm sorry for bothering you.\Excuse me. response:	You love Taiga, right?
context: Thanks.\Hey Taiga, your shoes!\Sheesh...\Kawashima?\Oh yeah, Yuusaku said he'll bring you a change of clothes.\Anyway, I'm sorry for bothering you.\Excuse me.\You love Taiga, right? response:	W-What are you talking about?!
context: Hey Taiga, your shoes!\Sheesh...\Kawashima?\Oh yeah, Yuusaku said he'll bring you a change of clothes.\Anyway, I'm sorry for bothering you.\Excuse me.\You love Taiga, right?\W-What are you talking about?! response:	You do, right?
context: Sheesh...\Kawashima?\Oh yeah, Yuusaku said he'll bring you a change of clothes.\Anyway, I'm sorry for bothering you.\Excuse me.\You love Taiga, right?\W-What are you talking about?!\You do, right? response:	Y-Yeah...
context: Kawashima?\Oh yeah, Yuusaku said he'll bring you a change of clothes.\Anyway, I'm sorry for bothering you.\Excuse me.\You love Taiga, right?\W-What are you talking about?!\You do, right?\Y-Yeah... response:	Say it seriously.
context: Oh yeah, Yuusaku said he'll bring you a change of clothes.\Anyway, I'm sorry for bothering you.\Excuse me.\You love Taiga, right?\W-What are you talking about?!\You do, right?\Y-Yeah...\Say it seriously. response:	What's up with you?
context: Anyway, I'm sorry for bothering you.\Excuse me.\You love Taiga, right?\W-What are you talking about?!\You do, right?\Y-Yeah...\Say it seriously.\What's up with you? response:	Say it.
context: Excuse me.\You love Taiga, right?\W-What are you talking about?!\You do, right?\Y-Yeah...\Say it seriously.\What's up with you?\Say it. response:	Why -
context: You love Taiga, right?\W-What are you talking about?!\You do, right?\Y-Yeah...\Say it seriously.\What's up with you?\Say it.\Why - response:	Say it.
context: W-What are you talking about?!\You do, right?\Y-Yeah...\Say it seriously.\What's up with you?\Say it.\Why -\Say it. response:	I love Taiga.
context: You do, right?\Y-Yeah...\Say it seriously.\What's up with you?\Say it.\Why -\Say it.\I love Taiga. response:	You look so dumb!
context: Y-Yeah...\Say it seriously.\What's up with you?\Say it.\Why -\Say it.\I love Taiga.\You look so dumb! response:	You're the one who forced me to say it!
context: Say it seriously.\What's up with you?\Say it.\Why -\Say it.\I love Taiga.\You look so dumb!\You're the one who forced me to say it! response:	Taiga!
context: What's up with you?\Say it.\Why -\Say it.\I love Taiga.\You look so dumb!\You're the one who forced me to say it!\Taiga! response:	I was worried sick!
context: Say it.\Why -\Say it.\I love Taiga.\You look so dumb!\You're the one who forced me to say it!\Taiga!\I was worried sick! response:	How could you?! How could you?! How could you?!
context: Why -\Say it.\I love Taiga.\You look so dumb!\You're the one who forced me to say it!\Taiga!\I was worried sick!\How could you?! How could you?! How could you?! response:	Minorin!
context: Say it.\I love Taiga.\You look so dumb!\You're the one who forced me to say it!\Taiga!\I was worried sick!\How could you?! How could you?! How could you?!\Minorin! response:	Minorin, I'm sorry!
context: I love Taiga.\You look so dumb!\You're the one who forced me to say it!\Taiga!\I was worried sick!\How could you?! How could you?! How could you?!\Minorin!\Minorin, I'm sorry! response:	Kitamura, I'm sorry for bothering you.
context: You look so dumb!\You're the one who forced me to say it!\Taiga!\I was worried sick!\How could you?! How could you?! How could you?!\Minorin!\Minorin, I'm sorry!\Kitamura, I'm sorry for bothering you. response:	Taiga! Taiga!
context: You're the one who forced me to say it!\Taiga!\I was worried sick!\How could you?! How could you?! How could you?!\Minorin!\Minorin, I'm sorry!\Kitamura, I'm sorry for bothering you.\Taiga! Taiga! response:	It's all right.
context: Taiga!\I was worried sick!\How could you?! How could you?! How could you?!\Minorin!\Minorin, I'm sorry!\Kitamura, I'm sorry for bothering you.\Taiga! Taiga!\It's all right. response:	Anyway, what are you guys planning to do now?
context: I was worried sick!\How could you?! How could you?! How could you?!\Minorin!\Minorin, I'm sorry!\Kitamura, I'm sorry for bothering you.\Taiga! Taiga!\It's all right.\Anyway, what are you guys planning to do now? response:	Well, we...
context: How could you?! How could you?! How could you?!\Minorin!\Minorin, I'm sorry!\Kitamura, I'm sorry for bothering you.\Taiga! Taiga!\It's all right.\Anyway, what are you guys planning to do now?\Well, we... response:	Huh?
context: Minorin!\Minorin, I'm sorry!\Kitamura, I'm sorry for bothering you.\Taiga! Taiga!\It's all right.\Anyway, what are you guys planning to do now?\Well, we...\Huh? response:	We're serious!
context: Minorin, I'm sorry!\Kitamura, I'm sorry for bothering you.\Taiga! Taiga!\It's all right.\Anyway, what are you guys planning to do now?\Well, we...\Huh?\We're serious! response:	I see.
context: Kitamura, I'm sorry for bothering you.\Taiga! Taiga!\It's all right.\Anyway, what are you guys planning to do now?\Well, we...\Huh?\We're serious!\I see. response:	Two more months, huh?
context: Taiga! Taiga!\It's all right.\Anyway, what are you guys planning to do now?\Well, we...\Huh?\We're serious!\I see.\Two more months, huh? response:	Why are you supporting them?!
context: It's all right.\Anyway, what are you guys planning to do now?\Well, we...\Huh?\We're serious!\I see.\Two more months, huh?\Why are you supporting them?! response:	Running away, and then getting married?
context: Anyway, what are you guys planning to do now?\Well, we...\Huh?\We're serious!\I see.\Two more months, huh?\Why are you supporting them?!\Running away, and then getting married? response:	That's too fast of a development!
context: Well, we...\Huh?\We're serious!\I see.\Two more months, huh?\Why are you supporting them?!\Running away, and then getting married?\That's too fast of a development! response:	After Ryuuji turns eighteen, we'll -
context: Huh?\We're serious!\I see.\Two more months, huh?\Why are you supporting them?!\Running away, and then getting married?\That's too fast of a development!\After Ryuuji turns eighteen, we'll - response:	Moreover, where will you be living?
context: We're serious!\I see.\Two more months, huh?\Why are you supporting them?!\Running away, and then getting married?\That's too fast of a development!\After Ryuuji turns eighteen, we'll -\Moreover, where will you be living? response:	Well, about that...
context: I see.\Two more months, huh?\Why are you supporting them?!\Running away, and then getting married?\That's too fast of a development!\After Ryuuji turns eighteen, we'll -\Moreover, where will you be living?\Well, about that... response:	We'll stay in a business hotel, or maybe even a manga cafe for now...
context: Two more months, huh?\Why are you supporting them?!\Running away, and then getting married?\That's too fast of a development!\After Ryuuji turns eighteen, we'll -\Moreover, where will you be living?\Well, about that...\We'll stay in a business hotel, or maybe even a manga cafe for now... response:	Do you plan to live like that forever?
context: Why are you supporting them?!\Running away, and then getting married?\That's too fast of a development!\After Ryuuji turns eighteen, we'll -\Moreover, where will you be living?\Well, about that...\We'll stay in a business hotel, or maybe even a manga cafe for now...\Do you plan to live like that forever? response:	No, well, after I come back...
context: Running away, and then getting married?\That's too fast of a development!\After Ryuuji turns eighteen, we'll -\Moreover, where will you be living?\Well, about that...\We'll stay in a business hotel, or maybe even a manga cafe for now...\Do you plan to live like that forever?\No, well, after I come back... response:	Do you think you can come back?
context: That's too fast of a development!\After Ryuuji turns eighteen, we'll -\Moreover, where will you be living?\Well, about that...\We'll stay in a business hotel, or maybe even a manga cafe for now...\Do you plan to live like that forever?\No, well, after I come back...\Do you think you can come back? response:	Just imagine search parties looking for you,
context: After Ryuuji turns eighteen, we'll -\Moreover, where will you be living?\Well, about that...\We'll stay in a business hotel, or maybe even a manga cafe for now...\Do you plan to live like that forever?\No, well, after I come back...\Do you think you can come back?\Just imagine search parties looking for you, response:	and everyone at school finding out...
context: Moreover, where will you be living?\Well, about that...\We'll stay in a business hotel, or maybe even a manga cafe for now...\Do you plan to live like that forever?\No, well, after I come back...\Do you think you can come back?\Just imagine search parties looking for you,\and everyone at school finding out... response:	You two might even get expelled.
context: Well, about that...\We'll stay in a business hotel, or maybe even a manga cafe for now...\Do you plan to live like that forever?\No, well, after I come back...\Do you think you can come back?\Just imagine search parties looking for you,\and everyone at school finding out...\You two might even get expelled. response:	Well...
context: We'll stay in a business hotel, or maybe even a manga cafe for now...\Do you plan to live like that forever?\No, well, after I come back...\Do you think you can come back?\Just imagine search parties looking for you,\and everyone at school finding out...\You two might even get expelled.\Well... response:	You know...
context: Do you plan to live like that forever?\No, well, after I come back...\Do you think you can come back?\Just imagine search parties looking for you,\and everyone at school finding out...\You two might even get expelled.\Well...\You know... response:	All the things I want just end up breaking.
context: No, well, after I come back...\Do you think you can come back?\Just imagine search parties looking for you,\and everyone at school finding out...\You two might even get expelled.\Well...\You know...\All the things I want just end up breaking. response:	That's why I decided to not desire anything.
context: Do you think you can come back?\Just imagine search parties looking for you,\and everyone at school finding out...\You two might even get expelled.\Well...\You know...\All the things I want just end up breaking.\That's why I decided to not desire anything. response:	But my feelings were rewarded.
context: Just imagine search parties looking for you,\and everyone at school finding out...\You two might even get expelled.\Well...\You know...\All the things I want just end up breaking.\That's why I decided to not desire anything.\But my feelings were rewarded. response:	My wish came true.
context: and everyone at school finding out...\You two might even get expelled.\Well...\You know...\All the things I want just end up breaking.\That's why I decided to not desire anything.\But my feelings were rewarded.\My wish came true. response:	That's why I want to break this all the things I want just end up breaking jinx.
context: You two might even get expelled.\Well...\You know...\All the things I want just end up breaking.\That's why I decided to not desire anything.\But my feelings were rewarded.\My wish came true.\That's why I want to break this all the things I want just end up breaking jinx. response:	No, I have to break it.
context: Well...\You know...\All the things I want just end up breaking.\That's why I decided to not desire anything.\But my feelings were rewarded.\My wish came true.\That's why I want to break this all the things I want just end up breaking jinx.\No, I have to break it. response:	That's why... That's why...
context: You know...\All the things I want just end up breaking.\That's why I decided to not desire anything.\But my feelings were rewarded.\My wish came true.\That's why I want to break this all the things I want just end up breaking jinx.\No, I have to break it.\That's why... That's why... response:	These are my savings that I always hold onto.
context: All the things I want just end up breaking.\That's why I decided to not desire anything.\But my feelings were rewarded.\My wish came true.\That's why I want to break this all the things I want just end up breaking jinx.\No, I have to break it.\That's why... That's why...\These are my savings that I always hold onto. response:	They're my life savings.
context: That's why I decided to not desire anything.\But my feelings were rewarded.\My wish came true.\That's why I want to break this all the things I want just end up breaking jinx.\No, I have to break it.\That's why... That's why...\These are my savings that I always hold onto.\They're my life savings. response:	What are you doing?
context: But my feelings were rewarded.\My wish came true.\That's why I want to break this all the things I want just end up breaking jinx.\No, I have to break it.\That's why... That's why...\These are my savings that I always hold onto.\They're my life savings.\What are you doing? response:	Takasu-kun, Taiga,
context: My wish came true.\That's why I want to break this all the things I want just end up breaking jinx.\No, I have to break it.\That's why... That's why...\These are my savings that I always hold onto.\They're my life savings.\What are you doing?\Takasu-kun, Taiga, response:	I don't think your actions are correct.
context: That's why I want to break this all the things I want just end up breaking jinx.\No, I have to break it.\That's why... That's why...\These are my savings that I always hold onto.\They're my life savings.\What are you doing?\Takasu-kun, Taiga,\I don't think your actions are correct. response:	I don't think I'll be able to approve of them either.
context: No, I have to break it.\That's why... That's why...\These are my savings that I always hold onto.\They're my life savings.\What are you doing?\Takasu-kun, Taiga,\I don't think your actions are correct.\I don't think I'll be able to approve of them either. response:	Minorin...
context: That's why... That's why...\These are my savings that I always hold onto.\They're my life savings.\What are you doing?\Takasu-kun, Taiga,\I don't think your actions are correct.\I don't think I'll be able to approve of them either.\Minorin... response:	But, if this is what you want to do, I have no right to object to it.
context: These are my savings that I always hold onto.\They're my life savings.\What are you doing?\Takasu-kun, Taiga,\I don't think your actions are correct.\I don't think I'll be able to approve of them either.\Minorin...\But, if this is what you want to do, I have no right to object to it. response:	So take it.
context: They're my life savings.\What are you doing?\Takasu-kun, Taiga,\I don't think your actions are correct.\I don't think I'll be able to approve of them either.\Minorin...\But, if this is what you want to do, I have no right to object to it.\So take it. response:	You have to pay me back one day.
context: What are you doing?\Takasu-kun, Taiga,\I don't think your actions are correct.\I don't think I'll be able to approve of them either.\Minorin...\But, if this is what you want to do, I have no right to object to it.\So take it.\You have to pay me back one day. response:	Here.
context: Takasu-kun, Taiga,\I don't think your actions are correct.\I don't think I'll be able to approve of them either.\Minorin...\But, if this is what you want to do, I have no right to object to it.\So take it.\You have to pay me back one day.\Here. response:	This is the key to my villa.
context: I don't think your actions are correct.\I don't think I'll be able to approve of them either.\Minorin...\But, if this is what you want to do, I have no right to object to it.\So take it.\You have to pay me back one day.\Here.\This is the key to my villa. response:	You've been there already, so you should know how to get there.
context: I don't think I'll be able to approve of them either.\Minorin...\But, if this is what you want to do, I have no right to object to it.\So take it.\You have to pay me back one day.\Here.\This is the key to my villa.\You've been there already, so you should know how to get there. response:	Kawashima...
context: Minorin...\But, if this is what you want to do, I have no right to object to it.\So take it.\You have to pay me back one day.\Here.\This is the key to my villa.\You've been there already, so you should know how to get there.\Kawashima... response:	Don't forget about me.
context: But, if this is what you want to do, I have no right to object to it.\So take it.\You have to pay me back one day.\Here.\This is the key to my villa.\You've been there already, so you should know how to get there.\Kawashima...\Don't forget about me. response:	Take these.
context: So take it.\You have to pay me back one day.\Here.\This is the key to my villa.\You've been there already, so you should know how to get there.\Kawashima...\Don't forget about me.\Take these. response:	Thank you, everyone.
context: You have to pay me back one day.\Here.\This is the key to my villa.\You've been there already, so you should know how to get there.\Kawashima...\Don't forget about me.\Take these.\Thank you, everyone. response:	Ami, thanks for today.
context: Here.\This is the key to my villa.\You've been there already, so you should know how to get there.\Kawashima...\Don't forget about me.\Take these.\Thank you, everyone.\Ami, thanks for today. response:	Good work, everyone!
context: This is the key to my villa.\You've been there already, so you should know how to get there.\Kawashima...\Don't forget about me.\Take these.\Thank you, everyone.\Ami, thanks for today.\Good work, everyone! response:	Minorin has some things to discuss with Amin.
context: You've been there already, so you should know how to get there.\Kawashima...\Don't forget about me.\Take these.\Thank you, everyone.\Ami, thanks for today.\Good work, everyone!\Minorin has some things to discuss with Amin. response:	Huh?! Why do I have to -
context: Kawashima...\Don't forget about me.\Take these.\Thank you, everyone.\Ami, thanks for today.\Good work, everyone!\Minorin has some things to discuss with Amin.\Huh?! Why do I have to - response:	So you're friends again!
context: Don't forget about me.\Take these.\Thank you, everyone.\Ami, thanks for today.\Good work, everyone!\Minorin has some things to discuss with Amin.\Huh?! Why do I have to -\So you're friends again! response:	That's great, Stupid Chi'.
context: Take these.\Thank you, everyone.\Ami, thanks for today.\Good work, everyone!\Minorin has some things to discuss with Amin.\Huh?! Why do I have to -\So you're friends again!\That's great, Stupid Chi'. response:	Whatever, just go!
context: Thank you, everyone.\Ami, thanks for today.\Good work, everyone!\Minorin has some things to discuss with Amin.\Huh?! Why do I have to -\So you're friends again!\That's great, Stupid Chi'.\Whatever, just go! response:	You too -
context: Ami, thanks for today.\Good work, everyone!\Minorin has some things to discuss with Amin.\Huh?! Why do I have to -\So you're friends again!\That's great, Stupid Chi'.\Whatever, just go!\You too - response:	See you again, Minorin, Stupid Chi'.
context: Good work, everyone!\Minorin has some things to discuss with Amin.\Huh?! Why do I have to -\So you're friends again!\That's great, Stupid Chi'.\Whatever, just go!\You too -\See you again, Minorin, Stupid Chi'. response:	We'll definitely meet again!
context: Minorin has some things to discuss with Amin.\Huh?! Why do I have to -\So you're friends again!\That's great, Stupid Chi'.\Whatever, just go!\You too -\See you again, Minorin, Stupid Chi'.\We'll definitely meet again! response:	Yeah.
context: Huh?! Why do I have to -\So you're friends again!\That's great, Stupid Chi'.\Whatever, just go!\You too -\See you again, Minorin, Stupid Chi'.\We'll definitely meet again!\Yeah. response:	Bye.
context: So you're friends again!\That's great, Stupid Chi'.\Whatever, just go!\You too -\See you again, Minorin, Stupid Chi'.\We'll definitely meet again!\Yeah.\Bye. response:	Wai -
context: That's great, Stupid Chi'.\Whatever, just go!\You too -\See you again, Minorin, Stupid Chi'.\We'll definitely meet again!\Yeah.\Bye.\Wai - response:	What do you have to discuss with me?
context: Whatever, just go!\You too -\See you again, Minorin, Stupid Chi'.\We'll definitely meet again!\Yeah.\Bye.\Wai -\What do you have to discuss with me? response:	Get your hand off me!
context: You too -\See you again, Minorin, Stupid Chi'.\We'll definitely meet again!\Yeah.\Bye.\Wai -\What do you have to discuss with me?\Get your hand off me! response:	I feel so weak that I can't even stand anymore...
context: See you again, Minorin, Stupid Chi'.\We'll definitely meet again!\Yeah.\Bye.\Wai -\What do you have to discuss with me?\Get your hand off me!\I feel so weak that I can't even stand anymore... response:	Wait, what are you -
context: We'll definitely meet again!\Yeah.\Bye.\Wai -\What do you have to discuss with me?\Get your hand off me!\I feel so weak that I can't even stand anymore...\Wait, what are you - response:	What are you doing?
context: Yeah.\Bye.\Wai -\What do you have to discuss with me?\Get your hand off me!\I feel so weak that I can't even stand anymore...\Wait, what are you -\What are you doing? response:	You wanted to show me your crying face?
context: Bye.\Wai -\What do you have to discuss with me?\Get your hand off me!\I feel so weak that I can't even stand anymore...\Wait, what are you -\What are you doing?\You wanted to show me your crying face? response:	Crying is a nosebleed of the heart...
context: Wai -\What do you have to discuss with me?\Get your hand off me!\I feel so weak that I can't even stand anymore...\Wait, what are you -\What are you doing?\You wanted to show me your crying face?\Crying is a nosebleed of the heart... response:	And why are you crying?
context: What do you have to discuss with me?\Get your hand off me!\I feel so weak that I can't even stand anymore...\Wait, what are you -\What are you doing?\You wanted to show me your crying face?\Crying is a nosebleed of the heart...\And why are you crying? response:	Because Taiga took Takasu-kun away from you?
context: Get your hand off me!\I feel so weak that I can't even stand anymore...\Wait, what are you -\What are you doing?\You wanted to show me your crying face?\Crying is a nosebleed of the heart...\And why are you crying?\Because Taiga took Takasu-kun away from you? response:	Or -
context: I feel so weak that I can't even stand anymore...\Wait, what are you -\What are you doing?\You wanted to show me your crying face?\Crying is a nosebleed of the heart...\And why are you crying?\Because Taiga took Takasu-kun away from you?\Or - response:	I'm not even sure myself...
context: Wait, what are you -\What are you doing?\You wanted to show me your crying face?\Crying is a nosebleed of the heart...\And why are you crying?\Because Taiga took Takasu-kun away from you?\Or -\I'm not even sure myself... response:	Even though I decided to never cry again...
context: What are you doing?\You wanted to show me your crying face?\Crying is a nosebleed of the heart...\And why are you crying?\Because Taiga took Takasu-kun away from you?\Or -\I'm not even sure myself...\Even though I decided to never cry again... response:	You're so embarrassing.
context: You wanted to show me your crying face?\Crying is a nosebleed of the heart...\And why are you crying?\Because Taiga took Takasu-kun away from you?\Or -\I'm not even sure myself...\Even though I decided to never cry again...\You're so embarrassing. response:	But I've understood something.
context: Crying is a nosebleed of the heart...\And why are you crying?\Because Taiga took Takasu-kun away from you?\Or -\I'm not even sure myself...\Even though I decided to never cry again...\You're so embarrassing.\But I've understood something. response:	If you trip while running down a hallway, you'll get a nosebleed.
context: And why are you crying?\Because Taiga took Takasu-kun away from you?\Or -\I'm not even sure myself...\Even though I decided to never cry again...\You're so embarrassing.\But I've understood something.\If you trip while running down a hallway, you'll get a nosebleed. response:	If you trip in life, you'll cry.
context: Because Taiga took Takasu-kun away from you?\Or -\I'm not even sure myself...\Even though I decided to never cry again...\You're so embarrassing.\But I've understood something.\If you trip while running down a hallway, you'll get a nosebleed.\If you trip in life, you'll cry. response:	Are you stupid?
context: Or -\I'm not even sure myself...\Even though I decided to never cry again...\You're so embarrassing.\But I've understood something.\If you trip while running down a hallway, you'll get a nosebleed.\If you trip in life, you'll cry.\Are you stupid? response:	It's still too early for us to be talking about life.
context: I'm not even sure myself...\Even though I decided to never cry again...\You're so embarrassing.\But I've understood something.\If you trip while running down a hallway, you'll get a nosebleed.\If you trip in life, you'll cry.\Are you stupid?\It's still too early for us to be talking about life. response:	From now on, for ten years, for twenty years, for sixty years,
context: Even though I decided to never cry again...\You're so embarrassing.\But I've understood something.\If you trip while running down a hallway, you'll get a nosebleed.\If you trip in life, you'll cry.\Are you stupid?\It's still too early for us to be talking about life.\From now on, for ten years, for twenty years, for sixty years, response:	life will go on.
context: You're so embarrassing.\But I've understood something.\If you trip while running down a hallway, you'll get a nosebleed.\If you trip in life, you'll cry.\Are you stupid?\It's still too early for us to be talking about life.\From now on, for ten years, for twenty years, for sixty years,\life will go on. response:	You have to run out once you've got your things.
context: But I've understood something.\If you trip while running down a hallway, you'll get a nosebleed.\If you trip in life, you'll cry.\Are you stupid?\It's still too early for us to be talking about life.\From now on, for ten years, for twenty years, for sixty years,\life will go on.\You have to run out once you've got your things. response:	About Ya-chan -
context: If you trip while running down a hallway, you'll get a nosebleed.\If you trip in life, you'll cry.\Are you stupid?\It's still too early for us to be talking about life.\From now on, for ten years, for twenty years, for sixty years,\life will go on.\You have to run out once you've got your things.\About Ya-chan - response:	Don't worry, I can do it.
context: If you trip in life, you'll cry.\Are you stupid?\It's still too early for us to be talking about life.\From now on, for ten years, for twenty years, for sixty years,\life will go on.\You have to run out once you've got your things.\About Ya-chan -\Don't worry, I can do it. response:	Bye.
context: Are you stupid?\It's still too early for us to be talking about life.\From now on, for ten years, for twenty years, for sixty years,\life will go on.\You have to run out once you've got your things.\About Ya-chan -\Don't worry, I can do it.\Bye. response:	Wait!
context: It's still too early for us to be talking about life.\From now on, for ten years, for twenty years, for sixty years,\life will go on.\You have to run out once you've got your things.\About Ya-chan -\Don't worry, I can do it.\Bye.\Wait! response:	Uh... Oh yeah!
context: From now on, for ten years, for twenty years, for sixty years,\life will go on.\You have to run out once you've got your things.\About Ya-chan -\Don't worry, I can do it.\Bye.\Wait!\Uh... Oh yeah! response:	Remember to bring your hair dryer!
context: life will go on.\You have to run out once you've got your things.\About Ya-chan -\Don't worry, I can do it.\Bye.\Wait!\Uh... Oh yeah!\Remember to bring your hair dryer! response:	I don't want to carry too much.
context: You have to run out once you've got your things.\About Ya-chan -\Don't worry, I can do it.\Bye.\Wait!\Uh... Oh yeah!\Remember to bring your hair dryer!\I don't want to carry too much. response:	Yeah, okay.
context: About Ya-chan -\Don't worry, I can do it.\Bye.\Wait!\Uh... Oh yeah!\Remember to bring your hair dryer!\I don't want to carry too much.\Yeah, okay. response:	Don't bring too much light clothing.
context: Don't worry, I can do it.\Bye.\Wait!\Uh... Oh yeah!\Remember to bring your hair dryer!\I don't want to carry too much.\Yeah, okay.\Don't bring too much light clothing. response:	It'll just be dead weight.
context: Bye.\Wait!\Uh... Oh yeah!\Remember to bring your hair dryer!\I don't want to carry too much.\Yeah, okay.\Don't bring too much light clothing.\It'll just be dead weight. response:	I know!
context: Wait!\Uh... Oh yeah!\Remember to bring your hair dryer!\I don't want to carry too much.\Yeah, okay.\Don't bring too much light clothing.\It'll just be dead weight.\I know! response:	Come out right after you're done!
context: Uh... Oh yeah!\Remember to bring your hair dryer!\I don't want to carry too much.\Yeah, okay.\Don't bring too much light clothing.\It'll just be dead weight.\I know!\Come out right after you're done! response:	If something happens, call me immediately!
context: Remember to bring your hair dryer!\I don't want to carry too much.\Yeah, okay.\Don't bring too much light clothing.\It'll just be dead weight.\I know!\Come out right after you're done!\If something happens, call me immediately! response:	Yeah, I will.
context: I don't want to carry too much.\Yeah, okay.\Don't bring too much light clothing.\It'll just be dead weight.\I know!\Come out right after you're done!\If something happens, call me immediately!\Yeah, I will. response:	I'm back.
context: Yeah, okay.\Don't bring too much light clothing.\It'll just be dead weight.\I know!\Come out right after you're done!\If something happens, call me immediately!\Yeah, I will.\I'm back. response:	She's not back yet?
context: Don't bring too much light clothing.\It'll just be dead weight.\I know!\Come out right after you're done!\If something happens, call me immediately!\Yeah, I will.\I'm back.\She's not back yet? response:	I-Inko-chan?!
context: It'll just be dead weight.\I know!\Come out right after you're done!\If something happens, call me immediately!\Yeah, I will.\I'm back.\She's not back yet?\I-Inko-chan?! response:	Yasuko...
context: I know!\Come out right after you're done!\If something happens, call me immediately!\Yeah, I will.\I'm back.\She's not back yet?\I-Inko-chan?!\Yasuko... response:	Go to your grandparents' house.
context: Come out right after you're done!\If something happens, call me immediately!\Yeah, I will.\I'm back.\She's not back yet?\I-Inko-chan?!\Yasuko...\Go to your grandparents' house. response:	Show them this watch and they'll understand.
context: If something happens, call me immediately!\Yeah, I will.\I'm back.\She's not back yet?\I-Inko-chan?!\Yasuko...\Go to your grandparents' house.\Show them this watch and they'll understand. response:	Oh, Mirano-san?
context: Yeah, I will.\I'm back.\She's not back yet?\I-Inko-chan?!\Yasuko...\Go to your grandparents' house.\Show them this watch and they'll understand.\Oh, Mirano-san? response:	She called at dawn saying she'll be taking a vacation.
context: I'm back.\She's not back yet?\I-Inko-chan?!\Yasuko...\Go to your grandparents' house.\Show them this watch and they'll understand.\Oh, Mirano-san?\She called at dawn saying she'll be taking a vacation. response:	She...
context: She's not back yet?\I-Inko-chan?!\Yasuko...\Go to your grandparents' house.\Show them this watch and they'll understand.\Oh, Mirano-san?\She called at dawn saying she'll be taking a vacation.\She... response:	She's such a child!
context: I-Inko-chan?!\Yasuko...\Go to your grandparents' house.\Show them this watch and they'll understand.\Oh, Mirano-san?\She called at dawn saying she'll be taking a vacation.\She...\She's such a child! response:	If I run away...
context: Yasuko...\Go to your grandparents' house.\Show them this watch and they'll understand.\Oh, Mirano-san?\She called at dawn saying she'll be taking a vacation.\She...\She's such a child!\If I run away... response:	Even after my birthday...
context: Go to your grandparents' house.\Show them this watch and they'll understand.\Oh, Mirano-san?\She called at dawn saying she'll be taking a vacation.\She...\She's such a child!\If I run away...\Even after my birthday... response:	I'll still be a kid.
context: Show them this watch and they'll understand.\Oh, Mirano-san?\She called at dawn saying she'll be taking a vacation.\She...\She's such a child!\If I run away...\Even after my birthday...\I'll still be a kid. response:	Look! Look!
context: Oh, Mirano-san?\She called at dawn saying she'll be taking a vacation.\She...\She's such a child!\If I run away...\Even after my birthday...\I'll still be a kid.\Look! Look! response:	It's chocolate!
context: She called at dawn saying she'll be taking a vacation.\She...\She's such a child!\If I run away...\Even after my birthday...\I'll still be a kid.\Look! Look!\It's chocolate! response:	You've been showing it off since yesterday.
context: She...\She's such a child!\If I run away...\Even after my birthday...\I'll still be a kid.\Look! Look!\It's chocolate!\You've been showing it off since yesterday. response:	Eat it already! Just how long do you plan to show it off for?
context: She's such a child!\If I run away...\Even after my birthday...\I'll still be a kid.\Look! Look!\It's chocolate!\You've been showing it off since yesterday.\Eat it already! Just how long do you plan to show it off for? response:	Until it expires.
context: If I run away...\Even after my birthday...\I'll still be a kid.\Look! Look!\It's chocolate!\You've been showing it off since yesterday.\Eat it already! Just how long do you plan to show it off for?\Until it expires. response:	Weren't you the one who said that school isn't a place for trading chocolate?
context: Even after my birthday...\I'll still be a kid.\Look! Look!\It's chocolate!\You've been showing it off since yesterday.\Eat it already! Just how long do you plan to show it off for?\Until it expires.\Weren't you the one who said that school isn't a place for trading chocolate? response:	I'm not trading. I'm just bringing it.
context: I'll still be a kid.\Look! Look!\It's chocolate!\You've been showing it off since yesterday.\Eat it already! Just how long do you plan to show it off for?\Until it expires.\Weren't you the one who said that school isn't a place for trading chocolate?\I'm not trading. I'm just bringing it. response:	Right, Taiga?
context: Look! Look!\It's chocolate!\You've been showing it off since yesterday.\Eat it already! Just how long do you plan to show it off for?\Until it expires.\Weren't you the one who said that school isn't a place for trading chocolate?\I'm not trading. I'm just bringing it.\Right, Taiga? response:	Huh?
context: It's chocolate!\You've been showing it off since yesterday.\Eat it already! Just how long do you plan to show it off for?\Until it expires.\Weren't you the one who said that school isn't a place for trading chocolate?\I'm not trading. I'm just bringing it.\Right, Taiga?\Huh? response:	She's absent.
context: You've been showing it off since yesterday.\Eat it already! Just how long do you plan to show it off for?\Until it expires.\Weren't you the one who said that school isn't a place for trading chocolate?\I'm not trading. I'm just bringing it.\Right, Taiga?\Huh?\She's absent. response:	Takasu-kun too.
context: Eat it already! Just how long do you plan to show it off for?\Until it expires.\Weren't you the one who said that school isn't a place for trading chocolate?\I'm not trading. I'm just bringing it.\Right, Taiga?\Huh?\She's absent.\Takasu-kun too. response:	What's going on?
context: Until it expires.\Weren't you the one who said that school isn't a place for trading chocolate?\I'm not trading. I'm just bringing it.\Right, Taiga?\Huh?\She's absent.\Takasu-kun too.\What's going on? response:	Did they catch a cold together?
