context: Auntie, are you really going to marry the Crown Prince? response:	I have to marry him sooner or later.
context: I'm not going to visit him this time.\Whatever. I'll act accordingly after my father finds out.\I have to get away first.\Fourth Uncle, please?\- Fourth Uncle... - All right!\Little lass.\I'll grant you your wish this time.\Thank you, Fourth Uncle. response:	Where are you going, Fourth Uncle?
context: Whatever. I'll act accordingly after my father finds out.\I have to get away first.\Fourth Uncle, please?\- Fourth Uncle... - All right!\Little lass.\I'll grant you your wish this time.\Thank you, Fourth Uncle.\Where are you going, Fourth Uncle? response:	You're not staying for lunch?
context: I have to get away first.\Fourth Uncle, please?\- Fourth Uncle... - All right!\Little lass.\I'll grant you your wish this time.\Thank you, Fourth Uncle.\Where are you going, Fourth Uncle?\You're not staying for lunch? response:	I'm thinking about visiting that Die Yong in the West Sea
context: Fourth Uncle, please?\- Fourth Uncle... - All right!\Little lass.\I'll grant you your wish this time.\Thank you, Fourth Uncle.\Where are you going, Fourth Uncle?\You're not staying for lunch?\I'm thinking about visiting that Die Yong in the West Sea response:	to see how High God Mo Yuan's spirit is faring.
context: - Fourth Uncle... - All right!\Little lass.\I'll grant you your wish this time.\Thank you, Fourth Uncle.\Where are you going, Fourth Uncle?\You're not staying for lunch?\I'm thinking about visiting that Die Yong in the West Sea\to see how High God Mo Yuan's spirit is faring. response:	Qian Qian has been looking after her future husband
context: Little lass.\I'll grant you your wish this time.\Thank you, Fourth Uncle.\Where are you going, Fourth Uncle?\You're not staying for lunch?\I'm thinking about visiting that Die Yong in the West Sea\to see how High God Mo Yuan's spirit is faring.\Qian Qian has been looking after her future husband response:	in the Celestial Palace these days.
context: I'll grant you your wish this time.\Thank you, Fourth Uncle.\Where are you going, Fourth Uncle?\You're not staying for lunch?\I'm thinking about visiting that Die Yong in the West Sea\to see how High God Mo Yuan's spirit is faring.\Qian Qian has been looking after her future husband\in the Celestial Palace these days. response:	How could she care about the West Sea?
context: Thank you, Fourth Uncle.\Where are you going, Fourth Uncle?\You're not staying for lunch?\I'm thinking about visiting that Die Yong in the West Sea\to see how High God Mo Yuan's spirit is faring.\Qian Qian has been looking after her future husband\in the Celestial Palace these days.\How could she care about the West Sea? response:	I'll tell Little Princess not to make you lunch.
context: Where are you going, Fourth Uncle?\You're not staying for lunch?\I'm thinking about visiting that Die Yong in the West Sea\to see how High God Mo Yuan's spirit is faring.\Qian Qian has been looking after her future husband\in the Celestial Palace these days.\How could she care about the West Sea?\I'll tell Little Princess not to make you lunch. response:	Feng Jiu is still asleep. Don't wake her up.
context: You're not staying for lunch?\I'm thinking about visiting that Die Yong in the West Sea\to see how High God Mo Yuan's spirit is faring.\Qian Qian has been looking after her future husband\in the Celestial Palace these days.\How could she care about the West Sea?\I'll tell Little Princess not to make you lunch.\Feng Jiu is still asleep. Don't wake her up. response:	She hasn't been in a good mood lately.
context: I'm thinking about visiting that Die Yong in the West Sea\to see how High God Mo Yuan's spirit is faring.\Qian Qian has been looking after her future husband\in the Celestial Palace these days.\How could she care about the West Sea?\I'll tell Little Princess not to make you lunch.\Feng Jiu is still asleep. Don't wake her up.\She hasn't been in a good mood lately. response:	Just let her sleep in.
context: to see how High God Mo Yuan's spirit is faring.\Qian Qian has been looking after her future husband\in the Celestial Palace these days.\How could she care about the West Sea?\I'll tell Little Princess not to make you lunch.\Feng Jiu is still asleep. Don't wake her up.\She hasn't been in a good mood lately.\Just let her sleep in. response:	Wake her up at lunchtime.
context: Qian Qian has been looking after her future husband\in the Celestial Palace these days.\How could she care about the West Sea?\I'll tell Little Princess not to make you lunch.\Feng Jiu is still asleep. Don't wake her up.\She hasn't been in a good mood lately.\Just let her sleep in.\Wake her up at lunchtime. response:	Sure.
context: in the Celestial Palace these days.\How could she care about the West Sea?\I'll tell Little Princess not to make you lunch.\Feng Jiu is still asleep. Don't wake her up.\She hasn't been in a good mood lately.\Just let her sleep in.\Wake her up at lunchtime.\Sure. response:	Fourth Uncle is so thoughtful today.
context: How could she care about the West Sea?\I'll tell Little Princess not to make you lunch.\Feng Jiu is still asleep. Don't wake her up.\She hasn't been in a good mood lately.\Just let her sleep in.\Wake her up at lunchtime.\Sure.\Fourth Uncle is so thoughtful today. response:	Fourth Uncle, be gentle!
context: I'll tell Little Princess not to make you lunch.\Feng Jiu is still asleep. Don't wake her up.\She hasn't been in a good mood lately.\Just let her sleep in.\Wake her up at lunchtime.\Sure.\Fourth Uncle is so thoughtful today.\Fourth Uncle, be gentle! response:	You threw me to the ground.
context: Feng Jiu is still asleep. Don't wake her up.\She hasn't been in a good mood lately.\Just let her sleep in.\Wake her up at lunchtime.\Sure.\Fourth Uncle is so thoughtful today.\Fourth Uncle, be gentle!\You threw me to the ground. response:	You're still yammering?
context: She hasn't been in a good mood lately.\Just let her sleep in.\Wake her up at lunchtime.\Sure.\Fourth Uncle is so thoughtful today.\Fourth Uncle, be gentle!\You threw me to the ground.\You're still yammering? response:	If you don't hurry up, your father will catch you.
context: Just let her sleep in.\Wake her up at lunchtime.\Sure.\Fourth Uncle is so thoughtful today.\Fourth Uncle, be gentle!\You threw me to the ground.\You're still yammering?\If you don't hurry up, your father will catch you. response:	I'll get going now.
context: Wake her up at lunchtime.\Sure.\Fourth Uncle is so thoughtful today.\Fourth Uncle, be gentle!\You threw me to the ground.\You're still yammering?\If you don't hurry up, your father will catch you.\I'll get going now. response:	Thank you, Fourth Uncle!
context: Sure.\Fourth Uncle is so thoughtful today.\Fourth Uncle, be gentle!\You threw me to the ground.\You're still yammering?\If you don't hurry up, your father will catch you.\I'll get going now.\Thank you, Fourth Uncle! response:	Since I've made an excuse to leave the den
context: Fourth Uncle is so thoughtful today.\Fourth Uncle, be gentle!\You threw me to the ground.\You're still yammering?\If you don't hurry up, your father will catch you.\I'll get going now.\Thank you, Fourth Uncle!\Since I've made an excuse to leave the den response:	it's troublesome to head back now.
context: Fourth Uncle, be gentle!\You threw me to the ground.\You're still yammering?\If you don't hurry up, your father will catch you.\I'll get going now.\Thank you, Fourth Uncle!\Since I've made an excuse to leave the den\it's troublesome to head back now. response:	That lass got me in this fix.
context: You threw me to the ground.\You're still yammering?\If you don't hurry up, your father will catch you.\I'll get going now.\Thank you, Fourth Uncle!\Since I've made an excuse to leave the den\it's troublesome to head back now.\That lass got me in this fix. response:	I don't even have a place to go for lunch.
context: You're still yammering?\If you don't hurry up, your father will catch you.\I'll get going now.\Thank you, Fourth Uncle!\Since I've made an excuse to leave the den\it's troublesome to head back now.\That lass got me in this fix.\I don't even have a place to go for lunch. response:	Forget it.
context: If you don't hurry up, your father will catch you.\I'll get going now.\Thank you, Fourth Uncle!\Since I've made an excuse to leave the den\it's troublesome to head back now.\That lass got me in this fix.\I don't even have a place to go for lunch.\Forget it. response:	I'd better go to Zhe Yan.
context: I'll get going now.\Thank you, Fourth Uncle!\Since I've made an excuse to leave the den\it's troublesome to head back now.\That lass got me in this fix.\I don't even have a place to go for lunch.\Forget it.\I'd better go to Zhe Yan. response:	What brings both high gods over?
context: Thank you, Fourth Uncle!\Since I've made an excuse to leave the den\it's troublesome to head back now.\That lass got me in this fix.\I don't even have a place to go for lunch.\Forget it.\I'd better go to Zhe Yan.\What brings both high gods over? response:	Your 17th junior has to look after the Crown Prince in the Celestial Palace.
context: Since I've made an excuse to leave the den\it's troublesome to head back now.\That lass got me in this fix.\I don't even have a place to go for lunch.\Forget it.\I'd better go to Zhe Yan.\What brings both high gods over?\Your 17th junior has to look after the Crown Prince in the Celestial Palace. response:	She can't come here.
context: it's troublesome to head back now.\That lass got me in this fix.\I don't even have a place to go for lunch.\Forget it.\I'd better go to Zhe Yan.\What brings both high gods over?\Your 17th junior has to look after the Crown Prince in the Celestial Palace.\She can't come here. response:	Zhen and I decided to take a look.
context: That lass got me in this fix.\I don't even have a place to go for lunch.\Forget it.\I'd better go to Zhe Yan.\What brings both high gods over?\Your 17th junior has to look after the Crown Prince in the Celestial Palace.\She can't come here.\Zhen and I decided to take a look. response:	How has your brother been?
context: I don't even have a place to go for lunch.\Forget it.\I'd better go to Zhe Yan.\What brings both high gods over?\Your 17th junior has to look after the Crown Prince in the Celestial Palace.\She can't come here.\Zhen and I decided to take a look.\How has your brother been? response:	He was suddenly unwell last night.
context: Forget it.\I'd better go to Zhe Yan.\What brings both high gods over?\Your 17th junior has to look after the Crown Prince in the Celestial Palace.\She can't come here.\Zhen and I decided to take a look.\How has your brother been?\He was suddenly unwell last night. response:	It went on all night, so I thought that his situation might deteriorate.
context: I'd better go to Zhe Yan.\What brings both high gods over?\Your 17th junior has to look after the Crown Prince in the Celestial Palace.\She can't come here.\Zhen and I decided to take a look.\How has your brother been?\He was suddenly unwell last night.\It went on all night, so I thought that his situation might deteriorate. response:	However, he said that he felt energetic the next day.
context: What brings both high gods over?\Your 17th junior has to look after the Crown Prince in the Celestial Palace.\She can't come here.\Zhen and I decided to take a look.\How has your brother been?\He was suddenly unwell last night.\It went on all night, so I thought that his situation might deteriorate.\However, he said that he felt energetic the next day. response:	It was as if his lingering illness was gone.
context: Your 17th junior has to look after the Crown Prince in the Celestial Palace.\She can't come here.\Zhen and I decided to take a look.\How has your brother been?\He was suddenly unwell last night.\It went on all night, so I thought that his situation might deteriorate.\However, he said that he felt energetic the next day.\It was as if his lingering illness was gone. response:	He even ate quite a lot.
context: She can't come here.\Zhen and I decided to take a look.\How has your brother been?\He was suddenly unwell last night.\It went on all night, so I thought that his situation might deteriorate.\However, he said that he felt energetic the next day.\It was as if his lingering illness was gone.\He even ate quite a lot. response:	Really?
context: Zhen and I decided to take a look.\How has your brother been?\He was suddenly unwell last night.\It went on all night, so I thought that his situation might deteriorate.\However, he said that he felt energetic the next day.\It was as if his lingering illness was gone.\He even ate quite a lot.\Really? response:	Yes.
context: How has your brother been?\He was suddenly unwell last night.\It went on all night, so I thought that his situation might deteriorate.\However, he said that he felt energetic the next day.\It was as if his lingering illness was gone.\He even ate quite a lot.\Really?\Yes. response:	It seems that there will be some good news soon.
context: He was suddenly unwell last night.\It went on all night, so I thought that his situation might deteriorate.\However, he said that he felt energetic the next day.\It was as if his lingering illness was gone.\He even ate quite a lot.\Really?\Yes.\It seems that there will be some good news soon. response:	High God, you mean...
context: It went on all night, so I thought that his situation might deteriorate.\However, he said that he felt energetic the next day.\It was as if his lingering illness was gone.\He even ate quite a lot.\Really?\Yes.\It seems that there will be some good news soon.\High God, you mean... response:	Your mentor will return very soon.
context: However, he said that he felt energetic the next day.\It was as if his lingering illness was gone.\He even ate quite a lot.\Really?\Yes.\It seems that there will be some good news soon.\High God, you mean...\Your mentor will return very soon. response:	Is that right?
context: It was as if his lingering illness was gone.\He even ate quite a lot.\Really?\Yes.\It seems that there will be some good news soon.\High God, you mean...\Your mentor will return very soon.\Is that right? response:	Forgive my manners.
context: He even ate quite a lot.\Really?\Yes.\It seems that there will be some good news soon.\High God, you mean...\Your mentor will return very soon.\Is that right?\Forgive my manners. response:	It's all right.
context: Really?\Yes.\It seems that there will be some good news soon.\High God, you mean...\Your mentor will return very soon.\Is that right?\Forgive my manners.\It's all right. response:	Quickly. Take me to your brother.
context: Yes.\It seems that there will be some good news soon.\High God, you mean...\Your mentor will return very soon.\Is that right?\Forgive my manners.\It's all right.\Quickly. Take me to your brother. response:	After you.
context: It seems that there will be some good news soon.\High God, you mean...\Your mentor will return very soon.\Is that right?\Forgive my manners.\It's all right.\Quickly. Take me to your brother.\After you. response:	It's indeed as I thought.
context: High God, you mean...\Your mentor will return very soon.\Is that right?\Forgive my manners.\It's all right.\Quickly. Take me to your brother.\After you.\It's indeed as I thought. response:	Your mentor's spirit isn't here anymore.
context: Your mentor will return very soon.\Is that right?\Forgive my manners.\It's all right.\Quickly. Take me to your brother.\After you.\It's indeed as I thought.\Your mentor's spirit isn't here anymore. response:	I think that he must have returned to his own body.
context: Is that right?\Forgive my manners.\It's all right.\Quickly. Take me to your brother.\After you.\It's indeed as I thought.\Your mentor's spirit isn't here anymore.\I think that he must have returned to his own body. response:	Then... What should I do?
context: Forgive my manners.\It's all right.\Quickly. Take me to your brother.\After you.\It's indeed as I thought.\Your mentor's spirit isn't here anymore.\I think that he must have returned to his own body.\Then... What should I do? response:	Don't panic.
context: It's all right.\Quickly. Take me to your brother.\After you.\It's indeed as I thought.\Your mentor's spirit isn't here anymore.\I think that he must have returned to his own body.\Then... What should I do?\Don't panic. response:	Hurry back to Kunlun Mountain now.
context: Quickly. Take me to your brother.\After you.\It's indeed as I thought.\Your mentor's spirit isn't here anymore.\I think that he must have returned to his own body.\Then... What should I do?\Don't panic.\Hurry back to Kunlun Mountain now. response:	Gather up all the disciples.
context: After you.\It's indeed as I thought.\Your mentor's spirit isn't here anymore.\I think that he must have returned to his own body.\Then... What should I do?\Don't panic.\Hurry back to Kunlun Mountain now.\Gather up all the disciples. response:	Zhen and I will rush back to Qing Qiu's Yanhua Cave.
context: It's indeed as I thought.\Your mentor's spirit isn't here anymore.\I think that he must have returned to his own body.\Then... What should I do?\Don't panic.\Hurry back to Kunlun Mountain now.\Gather up all the disciples.\Zhen and I will rush back to Qing Qiu's Yanhua Cave. response:	We'll check to see if your mentor Mo Yuan's spirit has really returned.
context: Your mentor's spirit isn't here anymore.\I think that he must have returned to his own body.\Then... What should I do?\Don't panic.\Hurry back to Kunlun Mountain now.\Gather up all the disciples.\Zhen and I will rush back to Qing Qiu's Yanhua Cave.\We'll check to see if your mentor Mo Yuan's spirit has really returned. response:	Yes, I'll head back to Kunlun Mountain right away.
context: I think that he must have returned to his own body.\Then... What should I do?\Don't panic.\Hurry back to Kunlun Mountain now.\Gather up all the disciples.\Zhen and I will rush back to Qing Qiu's Yanhua Cave.\We'll check to see if your mentor Mo Yuan's spirit has really returned.\Yes, I'll head back to Kunlun Mountain right away. response:	He doesn't seem like the first disciple of Kunlun Mountain.
context: Then... What should I do?\Don't panic.\Hurry back to Kunlun Mountain now.\Gather up all the disciples.\Zhen and I will rush back to Qing Qiu's Yanhua Cave.\We'll check to see if your mentor Mo Yuan's spirit has really returned.\Yes, I'll head back to Kunlun Mountain right away.\He doesn't seem like the first disciple of Kunlun Mountain. response:	He's more like a reckless teen.
context: Don't panic.\Hurry back to Kunlun Mountain now.\Gather up all the disciples.\Zhen and I will rush back to Qing Qiu's Yanhua Cave.\We'll check to see if your mentor Mo Yuan's spirit has really returned.\Yes, I'll head back to Kunlun Mountain right away.\He doesn't seem like the first disciple of Kunlun Mountain.\He's more like a reckless teen. response:	It's not just him.
context: Hurry back to Kunlun Mountain now.\Gather up all the disciples.\Zhen and I will rush back to Qing Qiu's Yanhua Cave.\We'll check to see if your mentor Mo Yuan's spirit has really returned.\Yes, I'll head back to Kunlun Mountain right away.\He doesn't seem like the first disciple of Kunlun Mountain.\He's more like a reckless teen.\It's not just him. response:	Even I'm so thrilled that I don't know what to do next.
context: Gather up all the disciples.\Zhen and I will rush back to Qing Qiu's Yanhua Cave.\We'll check to see if your mentor Mo Yuan's spirit has really returned.\Yes, I'll head back to Kunlun Mountain right away.\He doesn't seem like the first disciple of Kunlun Mountain.\He's more like a reckless teen.\It's not just him.\Even I'm so thrilled that I don't know what to do next. response:	Quickly. Let's rush back to Qing Qiu now.
context: Zhen and I will rush back to Qing Qiu's Yanhua Cave.\We'll check to see if your mentor Mo Yuan's spirit has really returned.\Yes, I'll head back to Kunlun Mountain right away.\He doesn't seem like the first disciple of Kunlun Mountain.\He's more like a reckless teen.\It's not just him.\Even I'm so thrilled that I don't know what to do next.\Quickly. Let's rush back to Qing Qiu now. response:	Go on.
context: We'll check to see if your mentor Mo Yuan's spirit has really returned.\Yes, I'll head back to Kunlun Mountain right away.\He doesn't seem like the first disciple of Kunlun Mountain.\He's more like a reckless teen.\It's not just him.\Even I'm so thrilled that I don't know what to do next.\Quickly. Let's rush back to Qing Qiu now.\Go on. response:	I'll head down to the Mortal Realm after visiting the Heavenly Lord.
context: Yes, I'll head back to Kunlun Mountain right away.\He doesn't seem like the first disciple of Kunlun Mountain.\He's more like a reckless teen.\It's not just him.\Even I'm so thrilled that I don't know what to do next.\Quickly. Let's rush back to Qing Qiu now.\Go on.\I'll head down to the Mortal Realm after visiting the Heavenly Lord. response:	Why won't you let me see you off to the Mortal Realm?
context: He doesn't seem like the first disciple of Kunlun Mountain.\He's more like a reckless teen.\It's not just him.\Even I'm so thrilled that I don't know what to do next.\Quickly. Let's rush back to Qing Qiu now.\Go on.\I'll head down to the Mortal Realm after visiting the Heavenly Lord.\Why won't you let me see you off to the Mortal Realm? response:	It's just two months.
context: He's more like a reckless teen.\It's not just him.\Even I'm so thrilled that I don't know what to do next.\Quickly. Let's rush back to Qing Qiu now.\Go on.\I'll head down to the Mortal Realm after visiting the Heavenly Lord.\Why won't you let me see you off to the Mortal Realm?\It's just two months. response:	If the others learn that High God
context: It's not just him.\Even I'm so thrilled that I don't know what to do next.\Quickly. Let's rush back to Qing Qiu now.\Go on.\I'll head down to the Mortal Realm after visiting the Heavenly Lord.\Why won't you let me see you off to the Mortal Realm?\It's just two months.\If the others learn that High God response:	Bai Qian of Qing Qiu went personally to see me off
context: Even I'm so thrilled that I don't know what to do next.\Quickly. Let's rush back to Qing Qiu now.\Go on.\I'll head down to the Mortal Realm after visiting the Heavenly Lord.\Why won't you let me see you off to the Mortal Realm?\It's just two months.\If the others learn that High God\Bai Qian of Qing Qiu went personally to see me off response:	aren't you worried about being teased?
context: Quickly. Let's rush back to Qing Qiu now.\Go on.\I'll head down to the Mortal Realm after visiting the Heavenly Lord.\Why won't you let me see you off to the Mortal Realm?\It's just two months.\If the others learn that High God\Bai Qian of Qing Qiu went personally to see me off\aren't you worried about being teased? response:	The Celestial Tribe's regulations are so bothersome.
context: Go on.\I'll head down to the Mortal Realm after visiting the Heavenly Lord.\Why won't you let me see you off to the Mortal Realm?\It's just two months.\If the others learn that High God\Bai Qian of Qing Qiu went personally to see me off\aren't you worried about being teased?\The Celestial Tribe's regulations are so bothersome. response:	By the way, I have something for you.
context: I'll head down to the Mortal Realm after visiting the Heavenly Lord.\Why won't you let me see you off to the Mortal Realm?\It's just two months.\If the others learn that High God\Bai Qian of Qing Qiu went personally to see me off\aren't you worried about being teased?\The Celestial Tribe's regulations are so bothersome.\By the way, I have something for you. response:	Take this with you.
context: Why won't you let me see you off to the Mortal Realm?\It's just two months.\If the others learn that High God\Bai Qian of Qing Qiu went personally to see me off\aren't you worried about being teased?\The Celestial Tribe's regulations are so bothersome.\By the way, I have something for you.\Take this with you. response:	Soul jade?
context: It's just two months.\If the others learn that High God\Bai Qian of Qing Qiu went personally to see me off\aren't you worried about being teased?\The Celestial Tribe's regulations are so bothersome.\By the way, I have something for you.\Take this with you.\Soul jade? response:	Do you know why Li Jing handed this over to Mu Gu?
context: If the others learn that High God\Bai Qian of Qing Qiu went personally to see me off\aren't you worried about being teased?\The Celestial Tribe's regulations are so bothersome.\By the way, I have something for you.\Take this with you.\Soul jade?\Do you know why Li Jing handed this over to Mu Gu? response:	It's probably because I saved him and his sister in Yingzhou.
context: Bai Qian of Qing Qiu went personally to see me off\aren't you worried about being teased?\The Celestial Tribe's regulations are so bothersome.\By the way, I have something for you.\Take this with you.\Soul jade?\Do you know why Li Jing handed this over to Mu Gu?\It's probably because I saved him and his sister in Yingzhou. response:	Since you saved them
context: aren't you worried about being teased?\The Celestial Tribe's regulations are so bothersome.\By the way, I have something for you.\Take this with you.\Soul jade?\Do you know why Li Jing handed this over to Mu Gu?\It's probably because I saved him and his sister in Yingzhou.\Since you saved them response:	it's fine for you to keep it.
context: The Celestial Tribe's regulations are so bothersome.\By the way, I have something for you.\Take this with you.\Soul jade?\Do you know why Li Jing handed this over to Mu Gu?\It's probably because I saved him and his sister in Yingzhou.\Since you saved them\it's fine for you to keep it. response:	Do you not find it strange that I accept it so quickly?
context: By the way, I have something for you.\Take this with you.\Soul jade?\Do you know why Li Jing handed this over to Mu Gu?\It's probably because I saved him and his sister in Yingzhou.\Since you saved them\it's fine for you to keep it.\Do you not find it strange that I accept it so quickly? response:	You're worried that Li Jing would use that as an excuse to meet me?
context: Take this with you.\Soul jade?\Do you know why Li Jing handed this over to Mu Gu?\It's probably because I saved him and his sister in Yingzhou.\Since you saved them\it's fine for you to keep it.\Do you not find it strange that I accept it so quickly?\You're worried that Li Jing would use that as an excuse to meet me? response:	I'll get going now.
context: Soul jade?\Do you know why Li Jing handed this over to Mu Gu?\It's probably because I saved him and his sister in Yingzhou.\Since you saved them\it's fine for you to keep it.\Do you not find it strange that I accept it so quickly?\You're worried that Li Jing would use that as an excuse to meet me?\I'll get going now. response:	Go on.
context: Do you know why Li Jing handed this over to Mu Gu?\It's probably because I saved him and his sister in Yingzhou.\Since you saved them\it's fine for you to keep it.\Do you not find it strange that I accept it so quickly?\You're worried that Li Jing would use that as an excuse to meet me?\I'll get going now.\Go on. response:	- Second Senior! - Second Senior!
context: It's probably because I saved him and his sister in Yingzhou.\Since you saved them\it's fine for you to keep it.\Do you not find it strange that I accept it so quickly?\You're worried that Li Jing would use that as an excuse to meet me?\I'll get going now.\Go on.\- Second Senior! - Second Senior! response:	The bell is chiming again.
context: Since you saved them\it's fine for you to keep it.\Do you not find it strange that I accept it so quickly?\You're worried that Li Jing would use that as an excuse to meet me?\I'll get going now.\Go on.\- Second Senior! - Second Senior!\The bell is chiming again. response:	It's Master!
context: it's fine for you to keep it.\Do you not find it strange that I accept it so quickly?\You're worried that Li Jing would use that as an excuse to meet me?\I'll get going now.\Go on.\- Second Senior! - Second Senior!\The bell is chiming again.\It's Master! response:	- It's Master! - Master has returned!
context: Do you not find it strange that I accept it so quickly?\You're worried that Li Jing would use that as an excuse to meet me?\I'll get going now.\Go on.\- Second Senior! - Second Senior!\The bell is chiming again.\It's Master!\- It's Master! - Master has returned! response:	- Master has returned! - This is great!
context: You're worried that Li Jing would use that as an excuse to meet me?\I'll get going now.\Go on.\- Second Senior! - Second Senior!\The bell is chiming again.\It's Master!\- It's Master! - Master has returned!\- Master has returned! - This is great! response:	Master has returned!
context: I'll get going now.\Go on.\- Second Senior! - Second Senior!\The bell is chiming again.\It's Master!\- It's Master! - Master has returned!\- Master has returned! - This is great!\Master has returned! response:	Master...
context: Go on.\- Second Senior! - Second Senior!\The bell is chiming again.\It's Master!\- It's Master! - Master has returned!\- Master has returned! - This is great!\Master has returned!\Master... response:	- Indeed... - We've been waiting for so long.
context: - Second Senior! - Second Senior!\The bell is chiming again.\It's Master!\- It's Master! - Master has returned!\- Master has returned! - This is great!\Master has returned!\Master...\- Indeed... - We've been waiting for so long. response:	You're right.
context: The bell is chiming again.\It's Master!\- It's Master! - Master has returned!\- Master has returned! - This is great!\Master has returned!\Master...\- Indeed... - We've been waiting for so long.\You're right. response:	That's Kunlun Mountain.
context: It's Master!\- It's Master! - Master has returned!\- Master has returned! - This is great!\Master has returned!\Master...\- Indeed... - We've been waiting for so long.\You're right.\That's Kunlun Mountain. response:	Lord Dong Hua, could you recognize this bell?
context: - It's Master! - Master has returned!\- Master has returned! - This is great!\Master has returned!\Master...\- Indeed... - We've been waiting for so long.\You're right.\That's Kunlun Mountain.\Lord Dong Hua, could you recognize this bell? response:	It is as Heavenly Lord thinks.
context: - Master has returned! - This is great!\Master has returned!\Master...\- Indeed... - We've been waiting for so long.\You're right.\That's Kunlun Mountain.\Lord Dong Hua, could you recognize this bell?\It is as Heavenly Lord thinks. response:	The bell is chiming in Kunlun Mountain.
context: Master has returned!\Master...\- Indeed... - We've been waiting for so long.\You're right.\That's Kunlun Mountain.\Lord Dong Hua, could you recognize this bell?\It is as Heavenly Lord thinks.\The bell is chiming in Kunlun Mountain. response:	Mo Yuan has returned.
context: Master...\- Indeed... - We've been waiting for so long.\You're right.\That's Kunlun Mountain.\Lord Dong Hua, could you recognize this bell?\It is as Heavenly Lord thinks.\The bell is chiming in Kunlun Mountain.\Mo Yuan has returned. response:	Fifth Sister!
context: - Indeed... - We've been waiting for so long.\You're right.\That's Kunlun Mountain.\Lord Dong Hua, could you recognize this bell?\It is as Heavenly Lord thinks.\The bell is chiming in Kunlun Mountain.\Mo Yuan has returned.\Fifth Sister! response:	Your long-awaited wish can probably be fulfilled today.
context: You're right.\That's Kunlun Mountain.\Lord Dong Hua, could you recognize this bell?\It is as Heavenly Lord thinks.\The bell is chiming in Kunlun Mountain.\Mo Yuan has returned.\Fifth Sister!\Your long-awaited wish can probably be fulfilled today. response:	Fourth Brother.
context: That's Kunlun Mountain.\Lord Dong Hua, could you recognize this bell?\It is as Heavenly Lord thinks.\The bell is chiming in Kunlun Mountain.\Mo Yuan has returned.\Fifth Sister!\Your long-awaited wish can probably be fulfilled today.\Fourth Brother. response:	Have you also heard the bell chime?
context: Lord Dong Hua, could you recognize this bell?\It is as Heavenly Lord thinks.\The bell is chiming in Kunlun Mountain.\Mo Yuan has returned.\Fifth Sister!\Your long-awaited wish can probably be fulfilled today.\Fourth Brother.\Have you also heard the bell chime? response:	It isn't just the bell.
context: It is as Heavenly Lord thinks.\The bell is chiming in Kunlun Mountain.\Mo Yuan has returned.\Fifth Sister!\Your long-awaited wish can probably be fulfilled today.\Fourth Brother.\Have you also heard the bell chime?\It isn't just the bell. response:	Your fourth brother and I just rushed back from the West Sea.
context: The bell is chiming in Kunlun Mountain.\Mo Yuan has returned.\Fifth Sister!\Your long-awaited wish can probably be fulfilled today.\Fourth Brother.\Have you also heard the bell chime?\It isn't just the bell.\Your fourth brother and I just rushed back from the West Sea. response:	Die Yong had a tough night yesterday
context: Mo Yuan has returned.\Fifth Sister!\Your long-awaited wish can probably be fulfilled today.\Fourth Brother.\Have you also heard the bell chime?\It isn't just the bell.\Your fourth brother and I just rushed back from the West Sea.\Die Yong had a tough night yesterday response:	so I investigated with my soul-tracking magic.
context: Fifth Sister!\Your long-awaited wish can probably be fulfilled today.\Fourth Brother.\Have you also heard the bell chime?\It isn't just the bell.\Your fourth brother and I just rushed back from the West Sea.\Die Yong had a tough night yesterday\so I investigated with my soul-tracking magic. response:	I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore.
context: Your long-awaited wish can probably be fulfilled today.\Fourth Brother.\Have you also heard the bell chime?\It isn't just the bell.\Your fourth brother and I just rushed back from the West Sea.\Die Yong had a tough night yesterday\so I investigated with my soul-tracking magic.\I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore. response:	That's why I rushed back here to check on Yanhua Cave.
context: Fourth Brother.\Have you also heard the bell chime?\It isn't just the bell.\Your fourth brother and I just rushed back from the West Sea.\Die Yong had a tough night yesterday\so I investigated with my soul-tracking magic.\I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore.\That's why I rushed back here to check on Yanhua Cave. response:	Mo Yuan has been asleep for so long.
context: Have you also heard the bell chime?\It isn't just the bell.\Your fourth brother and I just rushed back from the West Sea.\Die Yong had a tough night yesterday\so I investigated with my soul-tracking magic.\I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore.\That's why I rushed back here to check on Yanhua Cave.\Mo Yuan has been asleep for so long. response:	He's finally picked a good day to wake up.
context: It isn't just the bell.\Your fourth brother and I just rushed back from the West Sea.\Die Yong had a tough night yesterday\so I investigated with my soul-tracking magic.\I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore.\That's why I rushed back here to check on Yanhua Cave.\Mo Yuan has been asleep for so long.\He's finally picked a good day to wake up. response:	Master...
context: Your fourth brother and I just rushed back from the West Sea.\Die Yong had a tough night yesterday\so I investigated with my soul-tracking magic.\I found out that Mo Yuan's spirit isn't residing in Die Yong's body anymore.\That's why I rushed back here to check on Yanhua Cave.\Mo Yuan has been asleep for so long.\He's finally picked a good day to wake up.\Master... response:	Master is going to wake up?
