context: It's common knowledge that contractors act rationally response:	regardless of what kind of situation they're in.
context: Of all people, I didn't want you to find out.\Not until the very last moment of your kind's existence.\I'm sorry it had to be this way.\Me, too.\Please record your message within fifteen seconds after the beep.\It's me. I thought I wouldn't bother you with a farewell message, but...\It looks like I've put you two in a life-threatening situation.\Let me emphasize that this isn't a jo... response:	I guess I don't have to complete my remuneration since I'm going to die.
context: Not until the very last moment of your kind's existence.\I'm sorry it had to be this way.\Me, too.\Please record your message within fifteen seconds after the beep.\It's me. I thought I wouldn't bother you with a farewell message, but...\It looks like I've put you two in a life-threatening situation.\Let me emphasize that this isn't a jo...\I guess I don't have to complete my remuneration since I'm going to die. response:	Why?
context: I'm sorry it had to be this way.\Me, too.\Please record your message within fifteen seconds after the beep.\It's me. I thought I wouldn't bother you with a farewell message, but...\It looks like I've put you two in a life-threatening situation.\Let me emphasize that this isn't a jo...\I guess I don't have to complete my remuneration since I'm going to die.\Why? response:	Why did he do something like this?
context: Me, too.\Please record your message within fifteen seconds after the beep.\It's me. I thought I wouldn't bother you with a farewell message, but...\It looks like I've put you two in a life-threatening situation.\Let me emphasize that this isn't a jo...\I guess I don't have to complete my remuneration since I'm going to die.\Why?\Why did he do something like this? response:	Why?
context: Please record your message within fifteen seconds after the beep.\It's me. I thought I wouldn't bother you with a farewell message, but...\It looks like I've put you two in a life-threatening situation.\Let me emphasize that this isn't a jo...\I guess I don't have to complete my remuneration since I'm going to die.\Why?\Why did he do something like this?\Why? response:	You shouldn't get involved any further.
context: It's me. I thought I wouldn't bother you with a farewell message, but...\It looks like I've put you two in a life-threatening situation.\Let me emphasize that this isn't a jo...\I guess I don't have to complete my remuneration since I'm going to die.\Why?\Why did he do something like this?\Why?\You shouldn't get involved any further. response:	That's why he sacrificed himself without telling you.
context: It looks like I've put you two in a life-threatening situation.\Let me emphasize that this isn't a jo...\I guess I don't have to complete my remuneration since I'm going to die.\Why?\Why did he do something like this?\Why?\You shouldn't get involved any further.\That's why he sacrificed himself without telling you. response:	A rational decision, befitting of a contractor.
context: Let me emphasize that this isn't a jo...\I guess I don't have to complete my remuneration since I'm going to die.\Why?\Why did he do something like this?\Why?\You shouldn't get involved any further.\That's why he sacrificed himself without telling you.\A rational decision, befitting of a contractor. response:	I appreciate your concern.
context: I guess I don't have to complete my remuneration since I'm going to die.\Why?\Why did he do something like this?\Why?\You shouldn't get involved any further.\That's why he sacrificed himself without telling you.\A rational decision, befitting of a contractor.\I appreciate your concern. response:	Thanks, Misaki.
context: Why?\Why did he do something like this?\Why?\You shouldn't get involved any further.\That's why he sacrificed himself without telling you.\A rational decision, befitting of a contractor.\I appreciate your concern.\Thanks, Misaki. response:	I've finally gathered the necessary amount of dolls.
context: Why did he do something like this?\Why?\You shouldn't get involved any further.\That's why he sacrificed himself without telling you.\A rational decision, befitting of a contractor.\I appreciate your concern.\Thanks, Misaki.\I've finally gathered the necessary amount of dolls. response:	I see.
context: Why?\You shouldn't get involved any further.\That's why he sacrificed himself without telling you.\A rational decision, befitting of a contractor.\I appreciate your concern.\Thanks, Misaki.\I've finally gathered the necessary amount of dolls.\I see. response:	We can't turn back the hands of time anymore.
context: You shouldn't get involved any further.\That's why he sacrificed himself without telling you.\A rational decision, befitting of a contractor.\I appreciate your concern.\Thanks, Misaki.\I've finally gathered the necessary amount of dolls.\I see.\We can't turn back the hands of time anymore. response:	Good-bye.
context: That's why he sacrificed himself without telling you.\A rational decision, befitting of a contractor.\I appreciate your concern.\Thanks, Misaki.\I've finally gathered the necessary amount of dolls.\I see.\We can't turn back the hands of time anymore.\Good-bye. response:	Why did you rescue me?
context: A rational decision, befitting of a contractor.\I appreciate your concern.\Thanks, Misaki.\I've finally gathered the necessary amount of dolls.\I see.\We can't turn back the hands of time anymore.\Good-bye.\Why did you rescue me? response:	The most sensible course of action was to...
context: I appreciate your concern.\Thanks, Misaki.\I've finally gathered the necessary amount of dolls.\I see.\We can't turn back the hands of time anymore.\Good-bye.\Why did you rescue me?\The most sensible course of action was to... response:	leave you to die.
context: Thanks, Misaki.\I've finally gathered the necessary amount of dolls.\I see.\We can't turn back the hands of time anymore.\Good-bye.\Why did you rescue me?\The most sensible course of action was to...\leave you to die. response:	It doesn't take the rational mindset of a contractor to understand something as simple as that.
context: I've finally gathered the necessary amount of dolls.\I see.\We can't turn back the hands of time anymore.\Good-bye.\Why did you rescue me?\The most sensible course of action was to...\leave you to die.\It doesn't take the rational mindset of a contractor to understand something as simple as that. response:	You're a bunch of idiots.
context: I see.\We can't turn back the hands of time anymore.\Good-bye.\Why did you rescue me?\The most sensible course of action was to...\leave you to die.\It doesn't take the rational mindset of a contractor to understand something as simple as that.\You're a bunch of idiots. response:	He's the only idiot among us.
context: We can't turn back the hands of time anymore.\Good-bye.\Why did you rescue me?\The most sensible course of action was to...\leave you to die.\It doesn't take the rational mindset of a contractor to understand something as simple as that.\You're a bunch of idiots.\He's the only idiot among us. response:	That aside, what was the urgent matter?
context: Good-bye.\Why did you rescue me?\The most sensible course of action was to...\leave you to die.\It doesn't take the rational mindset of a contractor to understand something as simple as that.\You're a bunch of idiots.\He's the only idiot among us.\That aside, what was the urgent matter? response:	Oh, the GQ model from MI6 died.
context: Why did you rescue me?\The most sensible course of action was to...\leave you to die.\It doesn't take the rational mindset of a contractor to understand something as simple as that.\You're a bunch of idiots.\He's the only idiot among us.\That aside, what was the urgent matter?\Oh, the GQ model from MI6 died. response:	Are you serious, Huang?
context: The most sensible course of action was to...\leave you to die.\It doesn't take the rational mindset of a contractor to understand something as simple as that.\You're a bunch of idiots.\He's the only idiot among us.\That aside, what was the urgent matter?\Oh, the GQ model from MI6 died.\Are you serious, Huang? response:	Yeah, he took his boss and their associates with him.
context: leave you to die.\It doesn't take the rational mindset of a contractor to understand something as simple as that.\You're a bunch of idiots.\He's the only idiot among us.\That aside, what was the urgent matter?\Oh, the GQ model from MI6 died.\Are you serious, Huang?\Yeah, he took his boss and their associates with him. response:	Knowing how the syndicate works,
context: It doesn't take the rational mindset of a contractor to understand something as simple as that.\You're a bunch of idiots.\He's the only idiot among us.\That aside, what was the urgent matter?\Oh, the GQ model from MI6 died.\Are you serious, Huang?\Yeah, he took his boss and their associates with him.\Knowing how the syndicate works, response:	it's only a matter of time before they find out Mao was there.
context: You're a bunch of idiots.\He's the only idiot among us.\That aside, what was the urgent matter?\Oh, the GQ model from MI6 died.\Are you serious, Huang?\Yeah, he took his boss and their associates with him.\Knowing how the syndicate works,\it's only a matter of time before they find out Mao was there. response:	You need to tell me everything before they do.
context: He's the only idiot among us.\That aside, what was the urgent matter?\Oh, the GQ model from MI6 died.\Are you serious, Huang?\Yeah, he took his boss and their associates with him.\Knowing how the syndicate works,\it's only a matter of time before they find out Mao was there.\You need to tell me everything before they do. response:	What exactly happened over there?
context: That aside, what was the urgent matter?\Oh, the GQ model from MI6 died.\Are you serious, Huang?\Yeah, he took his boss and their associates with him.\Knowing how the syndicate works,\it's only a matter of time before they find out Mao was there.\You need to tell me everything before they do.\What exactly happened over there? response:	That man... He knew he was going to die.
context: Oh, the GQ model from MI6 died.\Are you serious, Huang?\Yeah, he took his boss and their associates with him.\Knowing how the syndicate works,\it's only a matter of time before they find out Mao was there.\You need to tell me everything before they do.\What exactly happened over there?\That man... He knew he was going to die. response:	It looks like there's a reason why I survived.
context: Are you serious, Huang?\Yeah, he took his boss and their associates with him.\Knowing how the syndicate works,\it's only a matter of time before they find out Mao was there.\You need to tell me everything before they do.\What exactly happened over there?\That man... He knew he was going to die.\It looks like there's a reason why I survived. response:	I heard it from Amber.
context: Yeah, he took his boss and their associates with him.\Knowing how the syndicate works,\it's only a matter of time before they find out Mao was there.\You need to tell me everything before they do.\What exactly happened over there?\That man... He knew he was going to die.\It looks like there's a reason why I survived.\I heard it from Amber. response:	The syndicate's trying to erase every single contractor from the face of the Earth.
context: Knowing how the syndicate works,\it's only a matter of time before they find out Mao was there.\You need to tell me everything before they do.\What exactly happened over there?\That man... He knew he was going to die.\It looks like there's a reason why I survived.\I heard it from Amber.\The syndicate's trying to erase every single contractor from the face of the Earth. response:	What?
context: it's only a matter of time before they find out Mao was there.\You need to tell me everything before they do.\What exactly happened over there?\That man... He knew he was going to die.\It looks like there's a reason why I survived.\I heard it from Amber.\The syndicate's trying to erase every single contractor from the face of the Earth.\What? response:	Amber and her allies are establishing a resistance.
context: You need to tell me everything before they do.\What exactly happened over there?\That man... He knew he was going to die.\It looks like there's a reason why I survived.\I heard it from Amber.\The syndicate's trying to erase every single contractor from the face of the Earth.\What?\Amber and her allies are establishing a resistance. response:	That's why they concealed the gate in South America five years ago.
context: What exactly happened over there?\That man... He knew he was going to die.\It looks like there's a reason why I survived.\I heard it from Amber.\The syndicate's trying to erase every single contractor from the face of the Earth.\What?\Amber and her allies are establishing a resistance.\That's why they concealed the gate in South America five years ago. response:	Hold on. What the hell are you talking about?
context: That man... He knew he was going to die.\It looks like there's a reason why I survived.\I heard it from Amber.\The syndicate's trying to erase every single contractor from the face of the Earth.\What?\Amber and her allies are establishing a resistance.\That's why they concealed the gate in South America five years ago.\Hold on. What the hell are you talking about? response:	Wrong!
context: It looks like there's a reason why I survived.\I heard it from Amber.\The syndicate's trying to erase every single contractor from the face of the Earth.\What?\Amber and her allies are establishing a resistance.\That's why they concealed the gate in South America five years ago.\Hold on. What the hell are you talking about?\Wrong! response:	Her actions can't be justified!
context: I heard it from Amber.\The syndicate's trying to erase every single contractor from the face of the Earth.\What?\Amber and her allies are establishing a resistance.\That's why they concealed the gate in South America five years ago.\Hold on. What the hell are you talking about?\Wrong!\Her actions can't be justified! response:	She's only... only...
context: The syndicate's trying to erase every single contractor from the face of the Earth.\What?\Amber and her allies are establishing a resistance.\That's why they concealed the gate in South America five years ago.\Hold on. What the hell are you talking about?\Wrong!\Her actions can't be justified!\She's only... only... response:	She's not that kind of person.
context: What?\Amber and her allies are establishing a resistance.\That's why they concealed the gate in South America five years ago.\Hold on. What the hell are you talking about?\Wrong!\Her actions can't be justified!\She's only... only...\She's not that kind of person. response:	What the hell is going on?
context: Amber and her allies are establishing a resistance.\That's why they concealed the gate in South America five years ago.\Hold on. What the hell are you talking about?\Wrong!\Her actions can't be justified!\She's only... only...\She's not that kind of person.\What the hell is going on? response:	Two people, wandering the city with nowhere to go,
context: That's why they concealed the gate in South America five years ago.\Hold on. What the hell are you talking about?\Wrong!\Her actions can't be justified!\She's only... only...\She's not that kind of person.\What the hell is going on?\Two people, wandering the city with nowhere to go, response:	meet each other where the man died.
context: Hold on. What the hell are you talking about?\Wrong!\Her actions can't be justified!\She's only... only...\She's not that kind of person.\What the hell is going on?\Two people, wandering the city with nowhere to go,\meet each other where the man died. response:	The two of them walk together.
context: Wrong!\Her actions can't be justified!\She's only... only...\She's not that kind of person.\What the hell is going on?\Two people, wandering the city with nowhere to go,\meet each other where the man died.\The two of them walk together. response:	They do not mention the doubts they have in their hearts,
context: Her actions can't be justified!\She's only... only...\She's not that kind of person.\What the hell is going on?\Two people, wandering the city with nowhere to go,\meet each other where the man died.\The two of them walk together.\They do not mention the doubts they have in their hearts, response:	and time simply passes, along with the faint twilight of feelings.
context: She's only... only...\She's not that kind of person.\What the hell is going on?\Two people, wandering the city with nowhere to go,\meet each other where the man died.\The two of them walk together.\They do not mention the doubts they have in their hearts,\and time simply passes, along with the faint twilight of feelings. response:	The countdown to the end had begun, before they even realized it.
context: She's not that kind of person.\What the hell is going on?\Two people, wandering the city with nowhere to go,\meet each other where the man died.\The two of them walk together.\They do not mention the doubts they have in their hearts,\and time simply passes, along with the faint twilight of feelings.\The countdown to the end had begun, before they even realized it. response:	Episode Twenty-Three God is In His Heaven...
context: What the hell is going on?\Two people, wandering the city with nowhere to go,\meet each other where the man died.\The two of them walk together.\They do not mention the doubts they have in their hearts,\and time simply passes, along with the faint twilight of feelings.\The countdown to the end had begun, before they even realized it.\Episode Twenty-Three God is In His Heaven... response:	And then, she says goodbye.
