context: Presented by Soul Eater Fan Subs response:	www.souleaterfan.com
context: Why is my honorable father's signature on this thing?\What's wrong, Kid?\What's written next to Eibon, the one you called the Wicked Warlock?\Whose signature is that?\What is this?\What is the meaning of this?\That's...\What? response:	You're...
context: What's wrong, Kid?\What's written next to Eibon, the one you called the Wicked Warlock?\Whose signature is that?\What is this?\What is the meaning of this?\That's...\What?\You're... response:	Sid-sensei.
context: What's written next to Eibon, the one you called the Wicked Warlock?\Whose signature is that?\What is this?\What is the meaning of this?\That's...\What?\You're...\Sid-sensei. response:	Leave the rest to me and the Africa branch's salvage unit.
context: Whose signature is that?\What is this?\What is the meaning of this?\That's...\What?\You're...\Sid-sensei.\Leave the rest to me and the Africa branch's salvage unit. response:	You guys go rest.
context: What is this?\What is the meaning of this?\That's...\What?\You're...\Sid-sensei.\Leave the rest to me and the Africa branch's salvage unit.\You guys go rest. response:	Kid, this guy's soul... belongs to you.
context: What is the meaning of this?\That's...\What?\You're...\Sid-sensei.\Leave the rest to me and the Africa branch's salvage unit.\You guys go rest.\Kid, this guy's soul... belongs to you. response:	Kid, this guy's soul... belongs to you.
context: That's...\What?\You're...\Sid-sensei.\Leave the rest to me and the Africa branch's salvage unit.\You guys go rest.\Kid, this guy's soul... belongs to you.\Kid, this guy's soul... belongs to you. response:	Take it down! Take it down!
context: What?\You're...\Sid-sensei.\Leave the rest to me and the Africa branch's salvage unit.\You guys go rest.\Kid, this guy's soul... belongs to you.\Kid, this guy's soul... belongs to you.\Take it down! Take it down! response:	Sid, a witch flew away.
context: You're...\Sid-sensei.\Leave the rest to me and the Africa branch's salvage unit.\You guys go rest.\Kid, this guy's soul... belongs to you.\Kid, this guy's soul... belongs to you.\Take it down! Take it down!\Sid, a witch flew away. response:	Our target is the Eternal Spring.
context: Sid-sensei.\Leave the rest to me and the Africa branch's salvage unit.\You guys go rest.\Kid, this guy's soul... belongs to you.\Kid, this guy's soul... belongs to you.\Take it down! Take it down!\Sid, a witch flew away.\Our target is the Eternal Spring. response:	Leave her be.
context: Leave the rest to me and the Africa branch's salvage unit.\You guys go rest.\Kid, this guy's soul... belongs to you.\Kid, this guy's soul... belongs to you.\Take it down! Take it down!\Sid, a witch flew away.\Our target is the Eternal Spring.\Leave her be. response:	Now, you kids, go take a rest at the camp.
context: You guys go rest.\Kid, this guy's soul... belongs to you.\Kid, this guy's soul... belongs to you.\Take it down! Take it down!\Sid, a witch flew away.\Our target is the Eternal Spring.\Leave her be.\Now, you kids, go take a rest at the camp. response:	We have cold drinks there.
context: Kid, this guy's soul... belongs to you.\Kid, this guy's soul... belongs to you.\Take it down! Take it down!\Sid, a witch flew away.\Our target is the Eternal Spring.\Leave her be.\Now, you kids, go take a rest at the camp.\We have cold drinks there. response:	Yes, thanks!
context: Kid, this guy's soul... belongs to you.\Take it down! Take it down!\Sid, a witch flew away.\Our target is the Eternal Spring.\Leave her be.\Now, you kids, go take a rest at the camp.\We have cold drinks there.\Yes, thanks! response:	Thank you!
context: Take it down! Take it down!\Sid, a witch flew away.\Our target is the Eternal Spring.\Leave her be.\Now, you kids, go take a rest at the camp.\We have cold drinks there.\Yes, thanks!\Thank you! response:	I'm grateful.
context: Sid, a witch flew away.\Our target is the Eternal Spring.\Leave her be.\Now, you kids, go take a rest at the camp.\We have cold drinks there.\Yes, thanks!\Thank you!\I'm grateful. response:	We can finally get out of here!
context: Our target is the Eternal Spring.\Leave her be.\Now, you kids, go take a rest at the camp.\We have cold drinks there.\Yes, thanks!\Thank you!\I'm grateful.\We can finally get out of here! response:	And yet again, another Demon Tool is in Shibusen's hands.
context: Leave her be.\Now, you kids, go take a rest at the camp.\We have cold drinks there.\Yes, thanks!\Thank you!\I'm grateful.\We can finally get out of here!\And yet again, another Demon Tool is in Shibusen's hands. response:	It's no use...
context: Now, you kids, go take a rest at the camp.\We have cold drinks there.\Yes, thanks!\Thank you!\I'm grateful.\We can finally get out of here!\And yet again, another Demon Tool is in Shibusen's hands.\It's no use... response:	I can't find a single clue in the Level 1 information reports.
context: We have cold drinks there.\Yes, thanks!\Thank you!\I'm grateful.\We can finally get out of here!\And yet again, another Demon Tool is in Shibusen's hands.\It's no use...\I can't find a single clue in the Level 1 information reports. response:	Eibon and Shinigami are the same person.
context: Yes, thanks!\Thank you!\I'm grateful.\We can finally get out of here!\And yet again, another Demon Tool is in Shibusen's hands.\It's no use...\I can't find a single clue in the Level 1 information reports.\Eibon and Shinigami are the same person. response:	Who the hell is Eibon?
context: Thank you!\I'm grateful.\We can finally get out of here!\And yet again, another Demon Tool is in Shibusen's hands.\It's no use...\I can't find a single clue in the Level 1 information reports.\Eibon and Shinigami are the same person.\Who the hell is Eibon? response:	Yes, how can I help you?
context: I'm grateful.\We can finally get out of here!\And yet again, another Demon Tool is in Shibusen's hands.\It's no use...\I can't find a single clue in the Level 1 information reports.\Eibon and Shinigami are the same person.\Who the hell is Eibon?\Yes, how can I help you? response:	Are you looking for a book?
context: We can finally get out of here!\And yet again, another Demon Tool is in Shibusen's hands.\It's no use...\I can't find a single clue in the Level 1 information reports.\Eibon and Shinigami are the same person.\Who the hell is Eibon?\Yes, how can I help you?\Are you looking for a book? response:	I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4.
context: And yet again, another Demon Tool is in Shibusen's hands.\It's no use...\I can't find a single clue in the Level 1 information reports.\Eibon and Shinigami are the same person.\Who the hell is Eibon?\Yes, how can I help you?\Are you looking for a book?\I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4. response:	May I see your student ID?
context: It's no use...\I can't find a single clue in the Level 1 information reports.\Eibon and Shinigami are the same person.\Who the hell is Eibon?\Yes, how can I help you?\Are you looking for a book?\I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4.\May I see your student ID? response:	I'm very sorry.
context: I can't find a single clue in the Level 1 information reports.\Eibon and Shinigami are the same person.\Who the hell is Eibon?\Yes, how can I help you?\Are you looking for a book?\I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4.\May I see your student ID?\I'm very sorry. response:	One-Star and Two-Star students only may go up to Level 2.
context: Eibon and Shinigami are the same person.\Who the hell is Eibon?\Yes, how can I help you?\Are you looking for a book?\I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4.\May I see your student ID?\I'm very sorry.\One-Star and Two-Star students only may go up to Level 2. response:	Teaching staff are allowed to go up to Level 3.
context: Who the hell is Eibon?\Yes, how can I help you?\Are you looking for a book?\I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4.\May I see your student ID?\I'm very sorry.\One-Star and Two-Star students only may go up to Level 2.\Teaching staff are allowed to go up to Level 3. response:	Finally, both Death Scythes and first-class Technician all the way up to Level 4.
context: Yes, how can I help you?\Are you looking for a book?\I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4.\May I see your student ID?\I'm very sorry.\One-Star and Two-Star students only may go up to Level 2.\Teaching staff are allowed to go up to Level 3.\Finally, both Death Scythes and first-class Technician all the way up to Level 4. response:	You, sir, are still a One-Star.
context: Are you looking for a book?\I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4.\May I see your student ID?\I'm very sorry.\One-Star and Two-Star students only may go up to Level 2.\Teaching staff are allowed to go up to Level 3.\Finally, both Death Scythes and first-class Technician all the way up to Level 4.\You, sir, are still a One-Star. response:	You may not request anything but Level 1 books.
context: I want to research in every book about a certain person, all the way up to the ones in the highest level block, Level 4.\May I see your student ID?\I'm very sorry.\One-Star and Two-Star students only may go up to Level 2.\Teaching staff are allowed to go up to Level 3.\Finally, both Death Scythes and first-class Technician all the way up to Level 4.\You, sir, are still a One-Star.\You may not request anything but Level 1 books. response:	Look at the back of the card, please.
context: May I see your student ID?\I'm very sorry.\One-Star and Two-Star students only may go up to Level 2.\Teaching staff are allowed to go up to Level 3.\Finally, both Death Scythes and first-class Technician all the way up to Level 4.\You, sir, are still a One-Star.\You may not request anything but Level 1 books.\Look at the back of the card, please. response:	Yes.
context: I'm very sorry.\One-Star and Two-Star students only may go up to Level 2.\Teaching staff are allowed to go up to Level 3.\Finally, both Death Scythes and first-class Technician all the way up to Level 4.\You, sir, are still a One-Star.\You may not request anything but Level 1 books.\Look at the back of the card, please.\Yes. response:	My deepest apologies!
context: One-Star and Two-Star students only may go up to Level 2.\Teaching staff are allowed to go up to Level 3.\Finally, both Death Scythes and first-class Technician all the way up to Level 4.\You, sir, are still a One-Star.\You may not request anything but Level 1 books.\Look at the back of the card, please.\Yes.\My deepest apologies! response:	So you are the honorable son of Shinigami-sama!
context: Teaching staff are allowed to go up to Level 3.\Finally, both Death Scythes and first-class Technician all the way up to Level 4.\You, sir, are still a One-Star.\You may not request anything but Level 1 books.\Look at the back of the card, please.\Yes.\My deepest apologies!\So you are the honorable son of Shinigami-sama! response:	If you'll wait for a brief moment, I'll retrieve the requested book immediately.
context: Finally, both Death Scythes and first-class Technician all the way up to Level 4.\You, sir, are still a One-Star.\You may not request anything but Level 1 books.\Look at the back of the card, please.\Yes.\My deepest apologies!\So you are the honorable son of Shinigami-sama!\If you'll wait for a brief moment, I'll retrieve the requested book immediately. response:	Please do.
context: You, sir, are still a One-Star.\You may not request anything but Level 1 books.\Look at the back of the card, please.\Yes.\My deepest apologies!\So you are the honorable son of Shinigami-sama!\If you'll wait for a brief moment, I'll retrieve the requested book immediately.\Please do. response:	I'm still a One-Star Technician.
context: You may not request anything but Level 1 books.\Look at the back of the card, please.\Yes.\My deepest apologies!\So you are the honorable son of Shinigami-sama!\If you'll wait for a brief moment, I'll retrieve the requested book immediately.\Please do.\I'm still a One-Star Technician. response:	If possible, I wanted to stand on equal footing with everyone, but...
context: Look at the back of the card, please.\Yes.\My deepest apologies!\So you are the honorable son of Shinigami-sama!\If you'll wait for a brief moment, I'll retrieve the requested book immediately.\Please do.\I'm still a One-Star Technician.\If possible, I wanted to stand on equal footing with everyone, but... response:	like when I asked my father about the Kishin, he wouldn't give me a straight answer.
context: Yes.\My deepest apologies!\So you are the honorable son of Shinigami-sama!\If you'll wait for a brief moment, I'll retrieve the requested book immediately.\Please do.\I'm still a One-Star Technician.\If possible, I wanted to stand on equal footing with everyone, but...\like when I asked my father about the Kishin, he wouldn't give me a straight answer. response:	My only option is to investigate it myself.
context: My deepest apologies!\So you are the honorable son of Shinigami-sama!\If you'll wait for a brief moment, I'll retrieve the requested book immediately.\Please do.\I'm still a One-Star Technician.\If possible, I wanted to stand on equal footing with everyone, but...\like when I asked my father about the Kishin, he wouldn't give me a straight answer.\My only option is to investigate it myself. response:	Did you find it?
context: So you are the honorable son of Shinigami-sama!\If you'll wait for a brief moment, I'll retrieve the requested book immediately.\Please do.\I'm still a One-Star Technician.\If possible, I wanted to stand on equal footing with everyone, but...\like when I asked my father about the Kishin, he wouldn't give me a straight answer.\My only option is to investigate it myself.\Did you find it? response:	Yes, in the Level 4 block, there is a single volume related to Eibon.
context: If you'll wait for a brief moment, I'll retrieve the requested book immediately.\Please do.\I'm still a One-Star Technician.\If possible, I wanted to stand on equal footing with everyone, but...\like when I asked my father about the Kishin, he wouldn't give me a straight answer.\My only option is to investigate it myself.\Did you find it?\Yes, in the Level 4 block, there is a single volume related to Eibon. response:	Then, please tell me which shelf it's in.
context: Please do.\I'm still a One-Star Technician.\If possible, I wanted to stand on equal footing with everyone, but...\like when I asked my father about the Kishin, he wouldn't give me a straight answer.\My only option is to investigate it myself.\Did you find it?\Yes, in the Level 4 block, there is a single volume related to Eibon.\Then, please tell me which shelf it's in. response:	Quickly.
context: I'm still a One-Star Technician.\If possible, I wanted to stand on equal footing with everyone, but...\like when I asked my father about the Kishin, he wouldn't give me a straight answer.\My only option is to investigate it myself.\Did you find it?\Yes, in the Level 4 block, there is a single volume related to Eibon.\Then, please tell me which shelf it's in.\Quickly. response:	About that, you see...
context: If possible, I wanted to stand on equal footing with everyone, but...\like when I asked my father about the Kishin, he wouldn't give me a straight answer.\My only option is to investigate it myself.\Did you find it?\Yes, in the Level 4 block, there is a single volume related to Eibon.\Then, please tell me which shelf it's in.\Quickly.\About that, you see... response:	It seems it hasn't been returned since it was last borrowed two months ago.
context: like when I asked my father about the Kishin, he wouldn't give me a straight answer.\My only option is to investigate it myself.\Did you find it?\Yes, in the Level 4 block, there is a single volume related to Eibon.\Then, please tell me which shelf it's in.\Quickly.\About that, you see...\It seems it hasn't been returned since it was last borrowed two months ago. response:	Do you know who borrowed it?
context: My only option is to investigate it myself.\Did you find it?\Yes, in the Level 4 block, there is a single volume related to Eibon.\Then, please tell me which shelf it's in.\Quickly.\About that, you see...\It seems it hasn't been returned since it was last borrowed two months ago.\Do you know who borrowed it? response:	I will go myself and ask that person to return it.
context: Did you find it?\Yes, in the Level 4 block, there is a single volume related to Eibon.\Then, please tell me which shelf it's in.\Quickly.\About that, you see...\It seems it hasn't been returned since it was last borrowed two months ago.\Do you know who borrowed it?\I will go myself and ask that person to return it. response:	I apologize...
context: Yes, in the Level 4 block, there is a single volume related to Eibon.\Then, please tell me which shelf it's in.\Quickly.\About that, you see...\It seems it hasn't been returned since it was last borrowed two months ago.\Do you know who borrowed it?\I will go myself and ask that person to return it.\I apologize... response:	Due to my own incompetence, I can't determine who borrowed it.
context: Then, please tell me which shelf it's in.\Quickly.\About that, you see...\It seems it hasn't been returned since it was last borrowed two months ago.\Do you know who borrowed it?\I will go myself and ask that person to return it.\I apologize...\Due to my own incompetence, I can't determine who borrowed it. response:	The signature on the loan card...
context: Quickly.\About that, you see...\It seems it hasn't been returned since it was last borrowed two months ago.\Do you know who borrowed it?\I will go myself and ask that person to return it.\I apologize...\Due to my own incompetence, I can't determine who borrowed it.\The signature on the loan card... response:	there's nothing but an M written on it.
context: About that, you see...\It seems it hasn't been returned since it was last borrowed two months ago.\Do you know who borrowed it?\I will go myself and ask that person to return it.\I apologize...\Due to my own incompetence, I can't determine who borrowed it.\The signature on the loan card...\there's nothing but an M written on it. response:	I'm sorry...
context: It seems it hasn't been returned since it was last borrowed two months ago.\Do you know who borrowed it?\I will go myself and ask that person to return it.\I apologize...\Due to my own incompetence, I can't determine who borrowed it.\The signature on the loan card...\there's nothing but an M written on it.\I'm sorry... response:	I deeply apologize.
context: Do you know who borrowed it?\I will go myself and ask that person to return it.\I apologize...\Due to my own incompetence, I can't determine who borrowed it.\The signature on the loan card...\there's nothing but an M written on it.\I'm sorry...\I deeply apologize. response:	Still, who would borrow a book like this?
context: I will go myself and ask that person to return it.\I apologize...\Due to my own incompetence, I can't determine who borrowed it.\The signature on the loan card...\there's nothing but an M written on it.\I'm sorry...\I deeply apologize.\Still, who would borrow a book like this? response:	The book was borrowed roughly two months ago.
context: I apologize...\Due to my own incompetence, I can't determine who borrowed it.\The signature on the loan card...\there's nothing but an M written on it.\I'm sorry...\I deeply apologize.\Still, who would borrow a book like this?\The book was borrowed roughly two months ago. response:	April 1st...
context: Due to my own incompetence, I can't determine who borrowed it.\The signature on the loan card...\there's nothing but an M written on it.\I'm sorry...\I deeply apologize.\Still, who would borrow a book like this?\The book was borrowed roughly two months ago.\April 1st... response:	The day of the Kishin's resurrection...
