context: Miuna. You're going to catch a cold, so let's... response:	I've got sand in my mouth, damn it.
context: Apparently they don't have that pendant anymore.\Do you want that pendant that badly?\I want one...\with a shell from the sea I love so much.\So it just has to be like that one?\What should we do?\They might have it at another store.\Really? response:	Yeah. Let's look for more.
context: Do you want that pendant that badly?\I want one...\with a shell from the sea I love so much.\So it just has to be like that one?\What should we do?\They might have it at another store.\Really?\Yeah. Let's look for more. response:	Yeah.
context: I want one...\with a shell from the sea I love so much.\So it just has to be like that one?\What should we do?\They might have it at another store.\Really?\Yeah. Let's look for more.\Yeah. response:	You heard them.
context: with a shell from the sea I love so much.\So it just has to be like that one?\What should we do?\They might have it at another store.\Really?\Yeah. Let's look for more.\Yeah.\You heard them. response:	Let's go!
context: So it just has to be like that one?\What should we do?\They might have it at another store.\Really?\Yeah. Let's look for more.\Yeah.\You heard them.\Let's go! response:	Okay!
context: What should we do?\They might have it at another store.\Really?\Yeah. Let's look for more.\Yeah.\You heard them.\Let's go!\Okay! response:	I think it's up ahead somewhere.
context: They might have it at another store.\Really?\Yeah. Let's look for more.\Yeah.\You heard them.\Let's go!\Okay!\I think it's up ahead somewhere. response:	All right, we'll go there then.
context: Really?\Yeah. Let's look for more.\Yeah.\You heard them.\Let's go!\Okay!\I think it's up ahead somewhere.\All right, we'll go there then. response:	Miuna, we're going to the next one!
context: Yeah. Let's look for more.\Yeah.\You heard them.\Let's go!\Okay!\I think it's up ahead somewhere.\All right, we'll go there then.\Miuna, we're going to the next one! response:	What are you doing?
context: Yeah.\You heard them.\Let's go!\Okay!\I think it's up ahead somewhere.\All right, we'll go there then.\Miuna, we're going to the next one!\What are you doing? response:	I can't let you dry up!
context: You heard them.\Let's go!\Okay!\I think it's up ahead somewhere.\All right, we'll go there then.\Miuna, we're going to the next one!\What are you doing?\I can't let you dry up! response:	Huh?
context: Let's go!\Okay!\I think it's up ahead somewhere.\All right, we'll go there then.\Miuna, we're going to the next one!\What are you doing?\I can't let you dry up!\Huh? response:	Hikari, did your Ena dry up?
context: Okay!\I think it's up ahead somewhere.\All right, we'll go there then.\Miuna, we're going to the next one!\What are you doing?\I can't let you dry up!\Huh?\Hikari, did your Ena dry up? response:	No, my sandal came off...
context: I think it's up ahead somewhere.\All right, we'll go there then.\Miuna, we're going to the next one!\What are you doing?\I can't let you dry up!\Huh?\Hikari, did your Ena dry up?\No, my sandal came off... response:	Huh?
context: All right, we'll go there then.\Miuna, we're going to the next one!\What are you doing?\I can't let you dry up!\Huh?\Hikari, did your Ena dry up?\No, my sandal came off...\Huh? response:	This is...
context: Miuna, we're going to the next one!\What are you doing?\I can't let you dry up!\Huh?\Hikari, did your Ena dry up?\No, my sandal came off...\Huh?\This is... response:	It smells like salt.
context: What are you doing?\I can't let you dry up!\Huh?\Hikari, did your Ena dry up?\No, my sandal came off...\Huh?\This is...\It smells like salt. response:	So that's why this morning...
context: I can't let you dry up!\Huh?\Hikari, did your Ena dry up?\No, my sandal came off...\Huh?\This is...\It smells like salt.\So that's why this morning... response:	I'm... sorry...
context: Huh?\Hikari, did your Ena dry up?\No, my sandal came off...\Huh?\This is...\It smells like salt.\So that's why this morning...\I'm... sorry... response:	Could I have some, too?
context: Hikari, did your Ena dry up?\No, my sandal came off...\Huh?\This is...\It smells like salt.\So that's why this morning...\I'm... sorry...\Could I have some, too? response:	I'm a bit dry.
context: No, my sandal came off...\Huh?\This is...\It smells like salt.\So that's why this morning...\I'm... sorry...\Could I have some, too?\I'm a bit dry. response:	Could I get some, too?
context: Huh?\This is...\It smells like salt.\So that's why this morning...\I'm... sorry...\Could I have some, too?\I'm a bit dry.\Could I get some, too? response:	Me, too!
context: This is...\It smells like salt.\So that's why this morning...\I'm... sorry...\Could I have some, too?\I'm a bit dry.\Could I get some, too?\Me, too! response:	Take that!
context: It smells like salt.\So that's why this morning...\I'm... sorry...\Could I have some, too?\I'm a bit dry.\Could I get some, too?\Me, too!\Take that! response:	Miuna-chan's getting wet!
context: So that's why this morning...\I'm... sorry...\Could I have some, too?\I'm a bit dry.\Could I get some, too?\Me, too!\Take that!\Miuna-chan's getting wet! response:	Oh, sorry...
context: I'm... sorry...\Could I have some, too?\I'm a bit dry.\Could I get some, too?\Me, too!\Take that!\Miuna-chan's getting wet!\Oh, sorry... response:	By the way, what about the thing you needed to get done?
context: Could I have some, too?\I'm a bit dry.\Could I get some, too?\Me, too!\Take that!\Miuna-chan's getting wet!\Oh, sorry...\By the way, what about the thing you needed to get done? response:	Oh...
context: I'm a bit dry.\Could I get some, too?\Me, too!\Take that!\Miuna-chan's getting wet!\Oh, sorry...\By the way, what about the thing you needed to get done?\Oh... response:	I can do that whenever.
context: Could I get some, too?\Me, too!\Take that!\Miuna-chan's getting wet!\Oh, sorry...\By the way, what about the thing you needed to get done?\Oh...\I can do that whenever. response:	You sure?
context: Me, too!\Take that!\Miuna-chan's getting wet!\Oh, sorry...\By the way, what about the thing you needed to get done?\Oh...\I can do that whenever.\You sure? response:	All right!
context: Take that!\Miuna-chan's getting wet!\Oh, sorry...\By the way, what about the thing you needed to get done?\Oh...\I can do that whenever.\You sure?\All right! response:	Now that our Ena's recharged, we're gonna find it no matter what!
context: Miuna-chan's getting wet!\Oh, sorry...\By the way, what about the thing you needed to get done?\Oh...\I can do that whenever.\You sure?\All right!\Now that our Ena's recharged, we're gonna find it no matter what! response:	Yeah!
context: Oh, sorry...\By the way, what about the thing you needed to get done?\Oh...\I can do that whenever.\You sure?\All right!\Now that our Ena's recharged, we're gonna find it no matter what!\Yeah! response:	Saya Mart wouldn't have a cute one with shells, would they?
context: By the way, what about the thing you needed to get done?\Oh...\I can do that whenever.\You sure?\All right!\Now that our Ena's recharged, we're gonna find it no matter what!\Yeah!\Saya Mart wouldn't have a cute one with shells, would they? response:	I hope they have one somewhere...
context: Oh...\I can do that whenever.\You sure?\All right!\Now that our Ena's recharged, we're gonna find it no matter what!\Yeah!\Saya Mart wouldn't have a cute one with shells, would they?\I hope they have one somewhere... response:	Fish scales.
context: I can do that whenever.\You sure?\All right!\Now that our Ena's recharged, we're gonna find it no matter what!\Yeah!\Saya Mart wouldn't have a cute one with shells, would they?\I hope they have one somewhere...\Fish scales. response:	A long time ago,
context: You sure?\All right!\Now that our Ena's recharged, we're gonna find it no matter what!\Yeah!\Saya Mart wouldn't have a cute one with shells, would they?\I hope they have one somewhere...\Fish scales.\A long time ago, response:	I collected some fish scales and gave it to Gramps,
context: All right!\Now that our Ena's recharged, we're gonna find it no matter what!\Yeah!\Saya Mart wouldn't have a cute one with shells, would they?\I hope they have one somewhere...\Fish scales.\A long time ago,\I collected some fish scales and gave it to Gramps, response:	and he said, What's this?
context: Now that our Ena's recharged, we're gonna find it no matter what!\Yeah!\Saya Mart wouldn't have a cute one with shells, would they?\I hope they have one somewhere...\Fish scales.\A long time ago,\I collected some fish scales and gave it to Gramps,\and he said, What's this? response:	But Gramps has them with him even now.
context: Yeah!\Saya Mart wouldn't have a cute one with shells, would they?\I hope they have one somewhere...\Fish scales.\A long time ago,\I collected some fish scales and gave it to Gramps,\and he said, What's this?\But Gramps has them with him even now. response:	I think what'd be most important to Hikari's sister is the fact that you chose it.
context: Saya Mart wouldn't have a cute one with shells, would they?\I hope they have one somewhere...\Fish scales.\A long time ago,\I collected some fish scales and gave it to Gramps,\and he said, What's this?\But Gramps has them with him even now.\I think what'd be most important to Hikari's sister is the fact that you chose it. response:	-The thing you love! -The thing I love!
context: I hope they have one somewhere...\Fish scales.\A long time ago,\I collected some fish scales and gave it to Gramps,\and he said, What's this?\But Gramps has them with him even now.\I think what'd be most important to Hikari's sister is the fact that you chose it.\-The thing you love! -The thing I love! response:	They're late...
context: Fish scales.\A long time ago,\I collected some fish scales and gave it to Gramps,\and he said, What's this?\But Gramps has them with him even now.\I think what'd be most important to Hikari's sister is the fact that you chose it.\-The thing you love! -The thing I love!\They're late... response:	I think I'll head to the station after all...
context: A long time ago,\I collected some fish scales and gave it to Gramps,\and he said, What's this?\But Gramps has them with him even now.\I think what'd be most important to Hikari's sister is the fact that you chose it.\-The thing you love! -The thing I love!\They're late...\I think I'll head to the station after all... response:	I've got sand in my sandals...
context: I collected some fish scales and gave it to Gramps,\and he said, What's this?\But Gramps has them with him even now.\I think what'd be most important to Hikari's sister is the fact that you chose it.\-The thing you love! -The thing I love!\They're late...\I think I'll head to the station after all...\I've got sand in my sandals... response:	I want to hurry up and take a bath.
context: and he said, What's this?\But Gramps has them with him even now.\I think what'd be most important to Hikari's sister is the fact that you chose it.\-The thing you love! -The thing I love!\They're late...\I think I'll head to the station after all...\I've got sand in my sandals...\I want to hurry up and take a bath. response:	Miuna-chan!
context: But Gramps has them with him even now.\I think what'd be most important to Hikari's sister is the fact that you chose it.\-The thing you love! -The thing I love!\They're late...\I think I'll head to the station after all...\I've got sand in my sandals...\I want to hurry up and take a bath.\Miuna-chan! response:	Aka-chan...
context: I think what'd be most important to Hikari's sister is the fact that you chose it.\-The thing you love! -The thing I love!\They're late...\I think I'll head to the station after all...\I've got sand in my sandals...\I want to hurry up and take a bath.\Miuna-chan!\Aka-chan... response:	Go on.
context: -The thing you love! -The thing I love!\They're late...\I think I'll head to the station after all...\I've got sand in my sandals...\I want to hurry up and take a bath.\Miuna-chan!\Aka-chan...\Go on. response:	Miuna-chan?
context: They're late...\I think I'll head to the station after all...\I've got sand in my sandals...\I want to hurry up and take a bath.\Miuna-chan!\Aka-chan...\Go on.\Miuna-chan? response:	Here...
context: I think I'll head to the station after all...\I've got sand in my sandals...\I want to hurry up and take a bath.\Miuna-chan!\Aka-chan...\Go on.\Miuna-chan?\Here... response:	You're giving this to me?
context: I've got sand in my sandals...\I want to hurry up and take a bath.\Miuna-chan!\Aka-chan...\Go on.\Miuna-chan?\Here...\You're giving this to me? response:	We looked around stores all day...
context: I want to hurry up and take a bath.\Miuna-chan!\Aka-chan...\Go on.\Miuna-chan?\Here...\You're giving this to me?\We looked around stores all day... response:	but we couldn't find one...
context: Miuna-chan!\Aka-chan...\Go on.\Miuna-chan?\Here...\You're giving this to me?\We looked around stores all day...\but we couldn't find one... response:	So you worked hard to make me one?
context: Aka-chan...\Go on.\Miuna-chan?\Here...\You're giving this to me?\We looked around stores all day...\but we couldn't find one...\So you worked hard to make me one? response:	Yeah.
context: Go on.\Miuna-chan?\Here...\You're giving this to me?\We looked around stores all day...\but we couldn't find one...\So you worked hard to make me one?\Yeah. response:	This sea shell...
context: Miuna-chan?\Here...\You're giving this to me?\We looked around stores all day...\but we couldn't find one...\So you worked hard to make me one?\Yeah.\This sea shell... response:	we all worked hard to find it.
context: Here...\You're giving this to me?\We looked around stores all day...\but we couldn't find one...\So you worked hard to make me one?\Yeah.\This sea shell...\we all worked hard to find it. response:	I wanted to give you the thing I love, Aka-chan.
context: You're giving this to me?\We looked around stores all day...\but we couldn't find one...\So you worked hard to make me one?\Yeah.\This sea shell...\we all worked hard to find it.\I wanted to give you the thing I love, Aka-chan. response:	Would you have preferred something else?
context: We looked around stores all day...\but we couldn't find one...\So you worked hard to make me one?\Yeah.\This sea shell...\we all worked hard to find it.\I wanted to give you the thing I love, Aka-chan.\Would you have preferred something else? response:	No...
context: but we couldn't find one...\So you worked hard to make me one?\Yeah.\This sea shell...\we all worked hard to find it.\I wanted to give you the thing I love, Aka-chan.\Would you have preferred something else?\No... response:	this is perfect.
context: So you worked hard to make me one?\Yeah.\This sea shell...\we all worked hard to find it.\I wanted to give you the thing I love, Aka-chan.\Would you have preferred something else?\No...\this is perfect. response:	This makes me the happiest.
context: Yeah.\This sea shell...\we all worked hard to find it.\I wanted to give you the thing I love, Aka-chan.\Would you have preferred something else?\No...\this is perfect.\This makes me the happiest. response:	Thank you, Miuna-chan.
context: This sea shell...\we all worked hard to find it.\I wanted to give you the thing I love, Aka-chan.\Would you have preferred something else?\No...\this is perfect.\This makes me the happiest.\Thank you, Miuna-chan. response:	Looks like all that snot-dripping didn't go to waste.
context: we all worked hard to find it.\I wanted to give you the thing I love, Aka-chan.\Would you have preferred something else?\No...\this is perfect.\This makes me the happiest.\Thank you, Miuna-chan.\Looks like all that snot-dripping didn't go to waste. response:	Wha...
context: I wanted to give you the thing I love, Aka-chan.\Would you have preferred something else?\No...\this is perfect.\This makes me the happiest.\Thank you, Miuna-chan.\Looks like all that snot-dripping didn't go to waste.\Wha... response:	It's not dripping!
context: Would you have preferred something else?\No...\this is perfect.\This makes me the happiest.\Thank you, Miuna-chan.\Looks like all that snot-dripping didn't go to waste.\Wha...\It's not dripping! response:	When you found that,
context: No...\this is perfect.\This makes me the happiest.\Thank you, Miuna-chan.\Looks like all that snot-dripping didn't go to waste.\Wha...\It's not dripping!\When you found that, response:	you had snot dripping and you were all sticky!
context: this is perfect.\This makes me the happiest.\Thank you, Miuna-chan.\Looks like all that snot-dripping didn't go to waste.\Wha...\It's not dripping!\When you found that,\you had snot dripping and you were all sticky! response:	That's not true!
context: This makes me the happiest.\Thank you, Miuna-chan.\Looks like all that snot-dripping didn't go to waste.\Wha...\It's not dripping!\When you found that,\you had snot dripping and you were all sticky!\That's not true! response:	Hey! It so was!
context: Thank you, Miuna-chan.\Looks like all that snot-dripping didn't go to waste.\Wha...\It's not dripping!\When you found that,\you had snot dripping and you were all sticky!\That's not true!\Hey! It so was! response:	Wait!
context: Looks like all that snot-dripping didn't go to waste.\Wha...\It's not dripping!\When you found that,\you had snot dripping and you were all sticky!\That's not true!\Hey! It so was!\Wait! response:	All drippy and sticky!
context: Wha...\It's not dripping!\When you found that,\you had snot dripping and you were all sticky!\That's not true!\Hey! It so was!\Wait!\All drippy and sticky! response:	It was not!
context: It's not dripping!\When you found that,\you had snot dripping and you were all sticky!\That's not true!\Hey! It so was!\Wait!\All drippy and sticky!\It was not! response:	I was just sticky from the salt water!
context: When you found that,\you had snot dripping and you were all sticky!\That's not true!\Hey! It so was!\Wait!\All drippy and sticky!\It was not!\I was just sticky from the salt water! response:	Not just be together, but properly...
context: you had snot dripping and you were all sticky!\That's not true!\Hey! It so was!\Wait!\All drippy and sticky!\It was not!\I was just sticky from the salt water!\Not just be together, but properly... response:	Yeah...
context: That's not true!\Hey! It so was!\Wait!\All drippy and sticky!\It was not!\I was just sticky from the salt water!\Not just be together, but properly...\Yeah... response:	Properly...
context: Hey! It so was!\Wait!\All drippy and sticky!\It was not!\I was just sticky from the salt water!\Not just be together, but properly...\Yeah...\Properly... response:	Wait!
context: Wait!\All drippy and sticky!\It was not!\I was just sticky from the salt water!\Not just be together, but properly...\Yeah...\Properly...\Wait! response:	It's snowing...
context: All drippy and sticky!\It was not!\I was just sticky from the salt water!\Not just be together, but properly...\Yeah...\Properly...\Wait!\It's snowing... response:	Yay! It's snowing! It's snowing!
context: It was not!\I was just sticky from the salt water!\Not just be together, but properly...\Yeah...\Properly...\Wait!\It's snowing...\Yay! It's snowing! It's snowing! response:	Saltflake snow...
context: I was just sticky from the salt water!\Not just be together, but properly...\Yeah...\Properly...\Wait!\It's snowing...\Yay! It's snowing! It's snowing!\Saltflake snow... response:	on the surface?
context: Not just be together, but properly...\Yeah...\Properly...\Wait!\It's snowing...\Yay! It's snowing! It's snowing!\Saltflake snow...\on the surface? response:	I heard the saltflake snow fell on the surface...
context: Yeah...\Properly...\Wait!\It's snowing...\Yay! It's snowing! It's snowing!\Saltflake snow...\on the surface?\I heard the saltflake snow fell on the surface... response:	The village is different than usual...
context: Properly...\Wait!\It's snowing...\Yay! It's snowing! It's snowing!\Saltflake snow...\on the surface?\I heard the saltflake snow fell on the surface...\The village is different than usual... response:	The surface...
context: Wait!\It's snowing...\Yay! It's snowing! It's snowing!\Saltflake snow...\on the surface?\I heard the saltflake snow fell on the surface...\The village is different than usual...\The surface... response:	The sacred fire is going out faster lately.
context: It's snowing...\Yay! It's snowing! It's snowing!\Saltflake snow...\on the surface?\I heard the saltflake snow fell on the surface...\The village is different than usual...\The surface...\The sacred fire is going out faster lately. response:	I wonder if the Sea God is mad...
context: Yay! It's snowing! It's snowing!\Saltflake snow...\on the surface?\I heard the saltflake snow fell on the surface...\The village is different than usual...\The surface...\The sacred fire is going out faster lately.\I wonder if the Sea God is mad... response:	What... is this?
context: Saltflake snow...\on the surface?\I heard the saltflake snow fell on the surface...\The village is different than usual...\The surface...\The sacred fire is going out faster lately.\I wonder if the Sea God is mad...\What... is this? response:	Episode Nine: Unknown Warmth
