context: OP response:	ED
context: I wish she would just die!\You really are a stupid woman.\I gave you fair warning.\You made me\Made me kill you?\Made me kill you?\So sorry.\Its nothing. response:	A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered.
context: You really are a stupid woman.\I gave you fair warning.\You made me\Made me kill you?\Made me kill you?\So sorry.\Its nothing.\A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered. response:	It hurts. It hurts.
context: I gave you fair warning.\You made me\Made me kill you?\Made me kill you?\So sorry.\Its nothing.\A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered.\It hurts. It hurts. response:	I cant move.
context: You made me\Made me kill you?\Made me kill you?\So sorry.\Its nothing.\A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered.\It hurts. It hurts.\I cant move. response:	No! No, it cant be!
context: Made me kill you?\Made me kill you?\So sorry.\Its nothing.\A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered.\It hurts. It hurts.\I cant move.\No! No, it cant be! response:	No!
context: Made me kill you?\So sorry.\Its nothing.\A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered.\It hurts. It hurts.\I cant move.\No! No, it cant be!\No! response:	Please, notice me!
context: So sorry.\Its nothing.\A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered.\It hurts. It hurts.\I cant move.\No! No, it cant be!\No!\Please, notice me! response:	Dont hit me! You have to notice me!
context: Its nothing.\A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered.\It hurts. It hurts.\I cant move.\No! No, it cant be!\No!\Please, notice me!\Dont hit me! You have to notice me! response:	Ill never forgive you.
context: A woman reporter bit off more than she could chew, and committed suicide after having her dreams shattered.\It hurts. It hurts.\I cant move.\No! No, it cant be!\No!\Please, notice me!\Dont hit me! You have to notice me!\Ill never forgive you. response:	Ill never forgive you.
context: It hurts. It hurts.\I cant move.\No! No, it cant be!\No!\Please, notice me!\Dont hit me! You have to notice me!\Ill never forgive you.\Ill never forgive you. response:	No!
context: I cant move.\No! No, it cant be!\No!\Please, notice me!\Dont hit me! You have to notice me!\Ill never forgive you.\Ill never forgive you.\No! response:	Shes not even good enough for the back page.
context: No! No, it cant be!\No!\Please, notice me!\Dont hit me! You have to notice me!\Ill never forgive you.\Ill never forgive you.\No!\Shes not even good enough for the back page. response:	I want to be an actress.
context: No!\Please, notice me!\Dont hit me! You have to notice me!\Ill never forgive you.\Ill never forgive you.\No!\Shes not even good enough for the back page.\I want to be an actress. response:	Heres your payment.
context: Please, notice me!\Dont hit me! You have to notice me!\Ill never forgive you.\Ill never forgive you.\No!\Shes not even good enough for the back page.\I want to be an actress.\Heres your payment. response:	Yeah, this is a suicide. A suicide, Im sure.
context: Dont hit me! You have to notice me!\Ill never forgive you.\Ill never forgive you.\No!\Shes not even good enough for the back page.\I want to be an actress.\Heres your payment.\Yeah, this is a suicide. A suicide, Im sure. response:	Shut up!
context: Ill never forgive you.\Ill never forgive you.\No!\Shes not even good enough for the back page.\I want to be an actress.\Heres your payment.\Yeah, this is a suicide. A suicide, Im sure.\Shut up! response:	Ill never forgive you.
context: Ill never forgive you.\No!\Shes not even good enough for the back page.\I want to be an actress.\Heres your payment.\Yeah, this is a suicide. A suicide, Im sure.\Shut up!\Ill never forgive you. response:	Ill never forgive you.
context: No!\Shes not even good enough for the back page.\I want to be an actress.\Heres your payment.\Yeah, this is a suicide. A suicide, Im sure.\Shut up!\Ill never forgive you.\Ill never forgive you. response:	Ayakashi reside in a host,
context: Shes not even good enough for the back page.\I want to be an actress.\Heres your payment.\Yeah, this is a suicide. A suicide, Im sure.\Shut up!\Ill never forgive you.\Ill never forgive you.\Ayakashi reside in a host, response:	and humans reside in the physical plane.
context: I want to be an actress.\Heres your payment.\Yeah, this is a suicide. A suicide, Im sure.\Shut up!\Ill never forgive you.\Ill never forgive you.\Ayakashi reside in a host,\and humans reside in the physical plane. response:	A Mononoke is formed with an Ayakashi as its host,
context: Heres your payment.\Yeah, this is a suicide. A suicide, Im sure.\Shut up!\Ill never forgive you.\Ill never forgive you.\Ayakashi reside in a host,\and humans reside in the physical plane.\A Mononoke is formed with an Ayakashi as its host, response:	and fed by the fates of men.
context: Yeah, this is a suicide. A suicide, Im sure.\Shut up!\Ill never forgive you.\Ill never forgive you.\Ayakashi reside in a host,\and humans reside in the physical plane.\A Mononoke is formed with an Ayakashi as its host,\and fed by the fates of men. response:	However, when a Mononoke comes into the human plane,
context: Shut up!\Ill never forgive you.\Ill never forgive you.\Ayakashi reside in a host,\and humans reside in the physical plane.\A Mononoke is formed with an Ayakashi as its host,\and fed by the fates of men.\However, when a Mononoke comes into the human plane, response:	it must be killed.
context: Ill never forgive you.\Ill never forgive you.\Ayakashi reside in a host,\and humans reside in the physical plane.\A Mononoke is formed with an Ayakashi as its host,\and fed by the fates of men.\However, when a Mononoke comes into the human plane,\it must be killed. response:	it must be killed.
context: Ill never forgive you.\Ayakashi reside in a host,\and humans reside in the physical plane.\A Mononoke is formed with an Ayakashi as its host,\and fed by the fates of men.\However, when a Mononoke comes into the human plane,\it must be killed.\it must be killed. response:	This is
context: Ayakashi reside in a host,\and humans reside in the physical plane.\A Mononoke is formed with an Ayakashi as its host,\and fed by the fates of men.\However, when a Mononoke comes into the human plane,\it must be killed.\it must be killed.\This is response:	a Ghost Cat.
context: and humans reside in the physical plane.\A Mononoke is formed with an Ayakashi as its host,\and fed by the fates of men.\However, when a Mononoke comes into the human plane,\it must be killed.\it must be killed.\This is\a Ghost Cat. response:	I will cleanse this world.
context: A Mononoke is formed with an Ayakashi as its host,\and fed by the fates of men.\However, when a Mononoke comes into the human plane,\it must be killed.\it must be killed.\This is\a Ghost Cat.\I will cleanse this world. response:	I will cleanse this world.
context: and fed by the fates of men.\However, when a Mononoke comes into the human plane,\it must be killed.\it must be killed.\This is\a Ghost Cat.\I will cleanse this world.\I will cleanse this world. response:	I will cleanse this world.
context: However, when a Mononoke comes into the human plane,\it must be killed.\it must be killed.\This is\a Ghost Cat.\I will cleanse this world.\I will cleanse this world.\I will cleanse this world. response:	The Mononoke must be killed.
context: it must be killed.\it must be killed.\This is\a Ghost Cat.\I will cleanse this world.\I will cleanse this world.\I will cleanse this world.\The Mononoke must be killed. response:	Release.
context: it must be killed.\This is\a Ghost Cat.\I will cleanse this world.\I will cleanse this world.\I will cleanse this world.\The Mononoke must be killed.\Release. response:	A dream?
context: This is\a Ghost Cat.\I will cleanse this world.\I will cleanse this world.\I will cleanse this world.\The Mononoke must be killed.\Release.\A dream? response:	Id like to embark on the second stage as soon as possible.
context: a Ghost Cat.\I will cleanse this world.\I will cleanse this world.\I will cleanse this world.\The Mononoke must be killed.\Release.\A dream?\Id like to embark on the second stage as soon as possible. response:	Were safe?
context: I will cleanse this world.\I will cleanse this world.\I will cleanse this world.\The Mononoke must be killed.\Release.\A dream?\Id like to embark on the second stage as soon as possible.\Were safe? response:	Are we safe?
context: I will cleanse this world.\I will cleanse this world.\The Mononoke must be killed.\Release.\A dream?\Id like to embark on the second stage as soon as possible.\Were safe?\Are we safe? response:	It was just a nightmare.
context: I will cleanse this world.\The Mononoke must be killed.\Release.\A dream?\Id like to embark on the second stage as soon as possible.\Were safe?\Are we safe?\It was just a nightmare. response:	Thats unlike me.
context: The Mononoke must be killed.\Release.\A dream?\Id like to embark on the second stage as soon as possible.\Were safe?\Are we safe?\It was just a nightmare.\Thats unlike me. response:	Im sorry, Ichikawa.
context: Release.\A dream?\Id like to embark on the second stage as soon as possible.\Were safe?\Are we safe?\It was just a nightmare.\Thats unlike me.\Im sorry, Ichikawa. response:	I had no choice.
context: A dream?\Id like to embark on the second stage as soon as possible.\Were safe?\Are we safe?\It was just a nightmare.\Thats unlike me.\Im sorry, Ichikawa.\I had no choice. response:	Ill never forgive you.
context: Id like to embark on the second stage as soon as possible.\Were safe?\Are we safe?\It was just a nightmare.\Thats unlike me.\Im sorry, Ichikawa.\I had no choice.\Ill never forgive you. response:	Men are born into this world,
context: Were safe?\Are we safe?\It was just a nightmare.\Thats unlike me.\Im sorry, Ichikawa.\I had no choice.\Ill never forgive you.\Men are born into this world, response:	Ayakashi simply come into being.
context: Are we safe?\It was just a nightmare.\Thats unlike me.\Im sorry, Ichikawa.\I had no choice.\Ill never forgive you.\Men are born into this world,\Ayakashi simply come into being. response:	If birth and being are accompanied by Truth and Regret,
context: It was just a nightmare.\Thats unlike me.\Im sorry, Ichikawa.\I had no choice.\Ill never forgive you.\Men are born into this world,\Ayakashi simply come into being.\If birth and being are accompanied by Truth and Regret, response:	they gain a Form.
context: Thats unlike me.\Im sorry, Ichikawa.\I had no choice.\Ill never forgive you.\Men are born into this world,\Ayakashi simply come into being.\If birth and being are accompanied by Truth and Regret,\they gain a Form. response:	If they gain a Form, they become a Mononoke, which should not exist.
context: Im sorry, Ichikawa.\I had no choice.\Ill never forgive you.\Men are born into this world,\Ayakashi simply come into being.\If birth and being are accompanied by Truth and Regret,\they gain a Form.\If they gain a Form, they become a Mononoke, which should not exist. response:	We cannot eradicate the Mononoke.
context: I had no choice.\Ill never forgive you.\Men are born into this world,\Ayakashi simply come into being.\If birth and being are accompanied by Truth and Regret,\they gain a Form.\If they gain a Form, they become a Mononoke, which should not exist.\We cannot eradicate the Mononoke. response:	However, we can purify them, and put them to rest.
context: Ill never forgive you.\Men are born into this world,\Ayakashi simply come into being.\If birth and being are accompanied by Truth and Regret,\they gain a Form.\If they gain a Form, they become a Mononoke, which should not exist.\We cannot eradicate the Mononoke.\However, we can purify them, and put them to rest. response:	And so, there must be a sword, and hands in which it might rest.
context: Men are born into this world,\Ayakashi simply come into being.\If birth and being are accompanied by Truth and Regret,\they gain a Form.\If they gain a Form, they become a Mononoke, which should not exist.\We cannot eradicate the Mononoke.\However, we can purify them, and put them to rest.\And so, there must be a sword, and hands in which it might rest. response:	My friends, let me ask you of your Truth and Regret.
context: Ayakashi simply come into being.\If birth and being are accompanied by Truth and Regret,\they gain a Form.\If they gain a Form, they become a Mononoke, which should not exist.\We cannot eradicate the Mononoke.\However, we can purify them, and put them to rest.\And so, there must be a sword, and hands in which it might rest.\My friends, let me ask you of your Truth and Regret. response:	So long as Mononoke roam this world
context: If birth and being are accompanied by Truth and Regret,\they gain a Form.\If they gain a Form, they become a Mononoke, which should not exist.\We cannot eradicate the Mononoke.\However, we can purify them, and put them to rest.\And so, there must be a sword, and hands in which it might rest.\My friends, let me ask you of your Truth and Regret.\So long as Mononoke roam this world response:	So long as Mononoke roam this world
context: they gain a Form.\If they gain a Form, they become a Mononoke, which should not exist.\We cannot eradicate the Mononoke.\However, we can purify them, and put them to rest.\And so, there must be a sword, and hands in which it might rest.\My friends, let me ask you of your Truth and Regret.\So long as Mononoke roam this world\So long as Mononoke roam this world response:	Miss?
context: If they gain a Form, they become a Mononoke, which should not exist.\We cannot eradicate the Mononoke.\However, we can purify them, and put them to rest.\And so, there must be a sword, and hands in which it might rest.\My friends, let me ask you of your Truth and Regret.\So long as Mononoke roam this world\So long as Mononoke roam this world\Miss? response:	Im coming!
