context: Huh? response:	Doesn't it seem more crowded than usual?
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.!
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.! response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.!\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.!\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.!\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.!\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.!\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.!\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.!\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc. response:	Maou Inc.?
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.? response:	Personnel placement, my foot.
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.?\Personnel placement, my foot. response:	And Yusa
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.?\Personnel placement, my foot.\And Yusa response:	was our rival's employee!
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.?\Personnel placement, my foot.\And Yusa\was our rival's employee! response:	Emi...
context: Maou Inc.\Maou Inc.\Maou Inc.\Maou Inc.?\Personnel placement, my foot.\And Yusa\was our rival's employee!\Emi... response:	Your previous job was related to construction work?
context: Maou Inc.\Maou Inc.\Maou Inc.?\Personnel placement, my foot.\And Yusa\was our rival's employee!\Emi...\Your previous job was related to construction work? response:	Wait, how old are you, again?
context: Maou Inc.\Maou Inc.?\Personnel placement, my foot.\And Yusa\was our rival's employee!\Emi...\Your previous job was related to construction work?\Wait, how old are you, again? response:	W-Well, how should I put it...
context: Maou Inc.?\Personnel placement, my foot.\And Yusa\was our rival's employee!\Emi...\Your previous job was related to construction work?\Wait, how old are you, again?\W-Well, how should I put it... response:	If I remember correctly, weren't you a temp at the time?
context: Personnel placement, my foot.\And Yusa\was our rival's employee!\Emi...\Your previous job was related to construction work?\Wait, how old are you, again?\W-Well, how should I put it...\If I remember correctly, weren't you a temp at the time? response:	Temp?!
context: And Yusa\was our rival's employee!\Emi...\Your previous job was related to construction work?\Wait, how old are you, again?\W-Well, how should I put it...\If I remember correctly, weren't you a temp at the time?\Temp?! response:	Oh, I see.
context: was our rival's employee!\Emi...\Your previous job was related to construction work?\Wait, how old are you, again?\W-Well, how should I put it...\If I remember correctly, weren't you a temp at the time?\Temp?!\Oh, I see. response:	So the Hero's just a temp.
context: Emi...\Your previous job was related to construction work?\Wait, how old are you, again?\W-Well, how should I put it...\If I remember correctly, weren't you a temp at the time?\Temp?!\Oh, I see.\So the Hero's just a temp. response:	Don't take him seriously!
context: Your previous job was related to construction work?\Wait, how old are you, again?\W-Well, how should I put it...\If I remember correctly, weren't you a temp at the time?\Temp?!\Oh, I see.\So the Hero's just a temp.\Don't take him seriously! response:	Our operations were pretty large in scale,
context: Wait, how old are you, again?\W-Well, how should I put it...\If I remember correctly, weren't you a temp at the time?\Temp?!\Oh, I see.\So the Hero's just a temp.\Don't take him seriously!\Our operations were pretty large in scale, response:	but we were still small enough that we proprietors needed to take command out on the field.
context: W-Well, how should I put it...\If I remember correctly, weren't you a temp at the time?\Temp?!\Oh, I see.\So the Hero's just a temp.\Don't take him seriously!\Our operations were pretty large in scale,\but we were still small enough that we proprietors needed to take command out on the field. response:	Not only was Yusa talented, she also had backup from her firm.
context: If I remember correctly, weren't you a temp at the time?\Temp?!\Oh, I see.\So the Hero's just a temp.\Don't take him seriously!\Our operations were pretty large in scale,\but we were still small enough that we proprietors needed to take command out on the field.\Not only was Yusa talented, she also had backup from her firm. response:	We frequently fought over contracts.
context: Temp?!\Oh, I see.\So the Hero's just a temp.\Don't take him seriously!\Our operations were pretty large in scale,\but we were still small enough that we proprietors needed to take command out on the field.\Not only was Yusa talented, she also had backup from her firm.\We frequently fought over contracts. response:	We were all youngsters without much work experience.
context: Oh, I see.\So the Hero's just a temp.\Don't take him seriously!\Our operations were pretty large in scale,\but we were still small enough that we proprietors needed to take command out on the field.\Not only was Yusa talented, she also had backup from her firm.\We frequently fought over contracts.\We were all youngsters without much work experience. response:	I am so sorry!
context: So the Hero's just a temp.\Don't take him seriously!\Our operations were pretty large in scale,\but we were still small enough that we proprietors needed to take command out on the field.\Not only was Yusa talented, she also had backup from her firm.\We frequently fought over contracts.\We were all youngsters without much work experience.\I am so sorry! response:	We were smack-dab in the middle of a recession back then,
context: Don't take him seriously!\Our operations were pretty large in scale,\but we were still small enough that we proprietors needed to take command out on the field.\Not only was Yusa talented, she also had backup from her firm.\We frequently fought over contracts.\We were all youngsters without much work experience.\I am so sorry!\We were smack-dab in the middle of a recession back then, response:	so if a bunch of big contracts were taken away
context: Our operations were pretty large in scale,\but we were still small enough that we proprietors needed to take command out on the field.\Not only was Yusa talented, she also had backup from her firm.\We frequently fought over contracts.\We were all youngsters without much work experience.\I am so sorry!\We were smack-dab in the middle of a recession back then,\so if a bunch of big contracts were taken away response:	from a firm that was run by upstarts like us, it would crumble and fall.
context: but we were still small enough that we proprietors needed to take command out on the field.\Not only was Yusa talented, she also had backup from her firm.\We frequently fought over contracts.\We were all youngsters without much work experience.\I am so sorry!\We were smack-dab in the middle of a recession back then,\so if a bunch of big contracts were taken away\from a firm that was run by upstarts like us, it would crumble and fall. response:	And the last person we competed with over a contract
context: Not only was Yusa talented, she also had backup from her firm.\We frequently fought over contracts.\We were all youngsters without much work experience.\I am so sorry!\We were smack-dab in the middle of a recession back then,\so if a bunch of big contracts were taken away\from a firm that was run by upstarts like us, it would crumble and fall.\And the last person we competed with over a contract response:	Thank you very much, sir!
context: We frequently fought over contracts.\We were all youngsters without much work experience.\I am so sorry!\We were smack-dab in the middle of a recession back then,\so if a bunch of big contracts were taken away\from a firm that was run by upstarts like us, it would crumble and fall.\And the last person we competed with over a contract\Thank you very much, sir! response:	was Yusa.
context: We were all youngsters without much work experience.\I am so sorry!\We were smack-dab in the middle of a recession back then,\so if a bunch of big contracts were taken away\from a firm that was run by upstarts like us, it would crumble and fall.\And the last person we competed with over a contract\Thank you very much, sir!\was Yusa. response:	We lost the contract, and our company went bankrupt.
context: I am so sorry!\We were smack-dab in the middle of a recession back then,\so if a bunch of big contracts were taken away\from a firm that was run by upstarts like us, it would crumble and fall.\And the last person we competed with over a contract\Thank you very much, sir!\was Yusa.\We lost the contract, and our company went bankrupt. response:	We drifted from place to place until we reached Sasazuka.
context: We were smack-dab in the middle of a recession back then,\so if a bunch of big contracts were taken away\from a firm that was run by upstarts like us, it would crumble and fall.\And the last person we competed with over a contract\Thank you very much, sir!\was Yusa.\We lost the contract, and our company went bankrupt.\We drifted from place to place until we reached Sasazuka. response:	Roughly a year after we'd seen her last,
context: so if a bunch of big contracts were taken away\from a firm that was run by upstarts like us, it would crumble and fall.\And the last person we competed with over a contract\Thank you very much, sir!\was Yusa.\We lost the contract, and our company went bankrupt.\We drifted from place to place until we reached Sasazuka.\Roughly a year after we'd seen her last, response:	we ran into Yusa again by chance!
context: from a firm that was run by upstarts like us, it would crumble and fall.\And the last person we competed with over a contract\Thank you very much, sir!\was Yusa.\We lost the contract, and our company went bankrupt.\We drifted from place to place until we reached Sasazuka.\Roughly a year after we'd seen her last,\we ran into Yusa again by chance! response:	Octopus dumplings...
context: And the last person we competed with over a contract\Thank you very much, sir!\was Yusa.\We lost the contract, and our company went bankrupt.\We drifted from place to place until we reached Sasazuka.\Roughly a year after we'd seen her last,\we ran into Yusa again by chance!\Octopus dumplings... response:	I guess Yusa had us, her ex-business rivals, on her mind.
context: Thank you very much, sir!\was Yusa.\We lost the contract, and our company went bankrupt.\We drifted from place to place until we reached Sasazuka.\Roughly a year after we'd seen her last,\we ran into Yusa again by chance!\Octopus dumplings...\I guess Yusa had us, her ex-business rivals, on her mind. response:	She stops by from time to time to see how we're doing.
context: was Yusa.\We lost the contract, and our company went bankrupt.\We drifted from place to place until we reached Sasazuka.\Roughly a year after we'd seen her last,\we ran into Yusa again by chance!\Octopus dumplings...\I guess Yusa had us, her ex-business rivals, on her mind.\She stops by from time to time to see how we're doing. response:	Oh, so that's...
context: We lost the contract, and our company went bankrupt.\We drifted from place to place until we reached Sasazuka.\Roughly a year after we'd seen her last,\we ran into Yusa again by chance!\Octopus dumplings...\I guess Yusa had us, her ex-business rivals, on her mind.\She stops by from time to time to see how we're doing.\Oh, so that's... response:	However, Maou has not given up on being a successful businessman!
context: We drifted from place to place until we reached Sasazuka.\Roughly a year after we'd seen her last,\we ran into Yusa again by chance!\Octopus dumplings...\I guess Yusa had us, her ex-business rivals, on her mind.\She stops by from time to time to see how we're doing.\Oh, so that's...\However, Maou has not given up on being a successful businessman! response:	Right now, he's working his pants off at MgRonald's in order to learn about business administration
context: Roughly a year after we'd seen her last,\we ran into Yusa again by chance!\Octopus dumplings...\I guess Yusa had us, her ex-business rivals, on her mind.\She stops by from time to time to see how we're doing.\Oh, so that's...\However, Maou has not given up on being a successful businessman!\Right now, he's working his pants off at MgRonald's in order to learn about business administration response:	from the ground up.
context: we ran into Yusa again by chance!\Octopus dumplings...\I guess Yusa had us, her ex-business rivals, on her mind.\She stops by from time to time to see how we're doing.\Oh, so that's...\However, Maou has not given up on being a successful businessman!\Right now, he's working his pants off at MgRonald's in order to learn about business administration\from the ground up. response:	In just a year, he's become a shift supervisor.
context: Octopus dumplings...\I guess Yusa had us, her ex-business rivals, on her mind.\She stops by from time to time to see how we're doing.\Oh, so that's...\However, Maou has not given up on being a successful businessman!\Right now, he's working his pants off at MgRonald's in order to learn about business administration\from the ground up.\In just a year, he's become a shift supervisor. response:	As for me,
context: I guess Yusa had us, her ex-business rivals, on her mind.\She stops by from time to time to see how we're doing.\Oh, so that's...\However, Maou has not given up on being a successful businessman!\Right now, he's working his pants off at MgRonald's in order to learn about business administration\from the ground up.\In just a year, he's become a shift supervisor.\As for me, response:	I take care of things around the house.
context: She stops by from time to time to see how we're doing.\Oh, so that's...\However, Maou has not given up on being a successful businessman!\Right now, he's working his pants off at MgRonald's in order to learn about business administration\from the ground up.\In just a year, he's become a shift supervisor.\As for me,\I take care of things around the house. response:	How the mighty have fallen. I'm pathetic.
context: Oh, so that's...\However, Maou has not given up on being a successful businessman!\Right now, he's working his pants off at MgRonald's in order to learn about business administration\from the ground up.\In just a year, he's become a shift supervisor.\As for me,\I take care of things around the house.\How the mighty have fallen. I'm pathetic. response:	However!
context: However, Maou has not given up on being a successful businessman!\Right now, he's working his pants off at MgRonald's in order to learn about business administration\from the ground up.\In just a year, he's become a shift supervisor.\As for me,\I take care of things around the house.\How the mighty have fallen. I'm pathetic.\However! response:	We hope to run a business under Maou someday!
context: Right now, he's working his pants off at MgRonald's in order to learn about business administration\from the ground up.\In just a year, he's become a shift supervisor.\As for me,\I take care of things around the house.\How the mighty have fallen. I'm pathetic.\However!\We hope to run a business under Maou someday! response:	I want to support that with all I've got!
context: from the ground up.\In just a year, he's become a shift supervisor.\As for me,\I take care of things around the house.\How the mighty have fallen. I'm pathetic.\However!\We hope to run a business under Maou someday!\I want to support that with all I've got! response:	But business is just a gamble, so to speak.
context: In just a year, he's become a shift supervisor.\As for me,\I take care of things around the house.\How the mighty have fallen. I'm pathetic.\However!\We hope to run a business under Maou someday!\I want to support that with all I've got!\But business is just a gamble, so to speak. response:	If Yusa wants to keep Kamazuki away from us
context: As for me,\I take care of things around the house.\How the mighty have fallen. I'm pathetic.\However!\We hope to run a business under Maou someday!\I want to support that with all I've got!\But business is just a gamble, so to speak.\If Yusa wants to keep Kamazuki away from us response:	so that she doesn't get mixed up in our gambles,
context: I take care of things around the house.\How the mighty have fallen. I'm pathetic.\However!\We hope to run a business under Maou someday!\I want to support that with all I've got!\But business is just a gamble, so to speak.\If Yusa wants to keep Kamazuki away from us\so that she doesn't get mixed up in our gambles, response:	then I can't blame her.
context: How the mighty have fallen. I'm pathetic.\However!\We hope to run a business under Maou someday!\I want to support that with all I've got!\But business is just a gamble, so to speak.\If Yusa wants to keep Kamazuki away from us\so that she doesn't get mixed up in our gambles,\then I can't blame her. response:	I'm in far too deep to ever get out, though.
context: However!\We hope to run a business under Maou someday!\I want to support that with all I've got!\But business is just a gamble, so to speak.\If Yusa wants to keep Kamazuki away from us\so that she doesn't get mixed up in our gambles,\then I can't blame her.\I'm in far too deep to ever get out, though. response:	Maou's kind of stubborn too.
context: We hope to run a business under Maou someday!\I want to support that with all I've got!\But business is just a gamble, so to speak.\If Yusa wants to keep Kamazuki away from us\so that she doesn't get mixed up in our gambles,\then I can't blame her.\I'm in far too deep to ever get out, though.\Maou's kind of stubborn too. response:	He still sees Yusa as his enemy and hates her.
context: I want to support that with all I've got!\But business is just a gamble, so to speak.\If Yusa wants to keep Kamazuki away from us\so that she doesn't get mixed up in our gambles,\then I can't blame her.\I'm in far too deep to ever get out, though.\Maou's kind of stubborn too.\He still sees Yusa as his enemy and hates her. response:	I don't think things are like what you think they are.
context: But business is just a gamble, so to speak.\If Yusa wants to keep Kamazuki away from us\so that she doesn't get mixed up in our gambles,\then I can't blame her.\I'm in far too deep to ever get out, though.\Maou's kind of stubborn too.\He still sees Yusa as his enemy and hates her.\I don't think things are like what you think they are. response:	Oh man, that's amazing.
context: If Yusa wants to keep Kamazuki away from us\so that she doesn't get mixed up in our gambles,\then I can't blame her.\I'm in far too deep to ever get out, though.\Maou's kind of stubborn too.\He still sees Yusa as his enemy and hates her.\I don't think things are like what you think they are.\Oh man, that's amazing. response:	You're not that much older than me.
context: so that she doesn't get mixed up in our gambles,\then I can't blame her.\I'm in far too deep to ever get out, though.\Maou's kind of stubborn too.\He still sees Yusa as his enemy and hates her.\I don't think things are like what you think they are.\Oh man, that's amazing.\You're not that much older than me. response:	I'm ashamed of myself for letting my imagination run wild and poking my nose into this.
context: then I can't blame her.\I'm in far too deep to ever get out, though.\Maou's kind of stubborn too.\He still sees Yusa as his enemy and hates her.\I don't think things are like what you think they are.\Oh man, that's amazing.\You're not that much older than me.\I'm ashamed of myself for letting my imagination run wild and poking my nose into this. response:	Emi, you should've just said so from the start.
context: I'm in far too deep to ever get out, though.\Maou's kind of stubborn too.\He still sees Yusa as his enemy and hates her.\I don't think things are like what you think they are.\Oh man, that's amazing.\You're not that much older than me.\I'm ashamed of myself for letting my imagination run wild and poking my nose into this.\Emi, you should've just said so from the start. response:	I did, but you paid no heed to me.
context: Maou's kind of stubborn too.\He still sees Yusa as his enemy and hates her.\I don't think things are like what you think they are.\Oh man, that's amazing.\You're not that much older than me.\I'm ashamed of myself for letting my imagination run wild and poking my nose into this.\Emi, you should've just said so from the start.\I did, but you paid no heed to me. response:	My family runs a small factory,
context: He still sees Yusa as his enemy and hates her.\I don't think things are like what you think they are.\Oh man, that's amazing.\You're not that much older than me.\I'm ashamed of myself for letting my imagination run wild and poking my nose into this.\Emi, you should've just said so from the start.\I did, but you paid no heed to me.\My family runs a small factory, response:	and whenever we were in real trouble, we all worked together to get through it.
