context: Listen, Miach! response:	Bell-kun... Bell-kun...
context: I'm so dumb!\What's wrong, Bell-kun?\Did you have a bad dream?\Think it's because of this book you read yesterday?\A grimoire?\Yes.\A book that lets you use magic as appropriate\to your latent ability when read. response:	It's truly a magic book.
context: What's wrong, Bell-kun?\Did you have a bad dream?\Think it's because of this book you read yesterday?\A grimoire?\Yes.\A book that lets you use magic as appropriate\to your latent ability when read.\It's truly a magic book. response:	Where the heck did you get this?
context: Did you have a bad dream?\Think it's because of this book you read yesterday?\A grimoire?\Yes.\A book that lets you use magic as appropriate\to your latent ability when read.\It's truly a magic book.\Where the heck did you get this? response:	I borrowed it at the tavern.
context: Think it's because of this book you read yesterday?\A grimoire?\Yes.\A book that lets you use magic as appropriate\to your latent ability when read.\It's truly a magic book.\Where the heck did you get this?\I borrowed it at the tavern. response:	They said somebody forgot it, so I could read it.
context: A grimoire?\Yes.\A book that lets you use magic as appropriate\to your latent ability when read.\It's truly a magic book.\Where the heck did you get this?\I borrowed it at the tavern.\They said somebody forgot it, so I could read it. response:	Somebody forgot it?
context: Yes.\A book that lets you use magic as appropriate\to your latent ability when read.\It's truly a magic book.\Where the heck did you get this?\I borrowed it at the tavern.\They said somebody forgot it, so I could read it.\Somebody forgot it? response:	Is something wrong, Goddess?
context: A book that lets you use magic as appropriate\to your latent ability when read.\It's truly a magic book.\Where the heck did you get this?\I borrowed it at the tavern.\They said somebody forgot it, so I could read it.\Somebody forgot it?\Is something wrong, Goddess? response:	Bell-kun, listen.
context: to your latent ability when read.\It's truly a magic book.\Where the heck did you get this?\I borrowed it at the tavern.\They said somebody forgot it, so I could read it.\Somebody forgot it?\Is something wrong, Goddess?\Bell-kun, listen. response:	A grimoire loses its power once somebody reads it!
context: It's truly a magic book.\Where the heck did you get this?\I borrowed it at the tavern.\They said somebody forgot it, so I could read it.\Somebody forgot it?\Is something wrong, Goddess?\Bell-kun, listen.\A grimoire loses its power once somebody reads it! response:	Where are you going, Bell-kun?
context: Where the heck did you get this?\I borrowed it at the tavern.\They said somebody forgot it, so I could read it.\Somebody forgot it?\Is something wrong, Goddess?\Bell-kun, listen.\A grimoire loses its power once somebody reads it!\Where are you going, Bell-kun? response:	I need to apologize and pay them back
context: I borrowed it at the tavern.\They said somebody forgot it, so I could read it.\Somebody forgot it?\Is something wrong, Goddess?\Bell-kun, listen.\A grimoire loses its power once somebody reads it!\Where are you going, Bell-kun?\I need to apologize and pay them back response:	Impossible.
context: They said somebody forgot it, so I could read it.\Somebody forgot it?\Is something wrong, Goddess?\Bell-kun, listen.\A grimoire loses its power once somebody reads it!\Where are you going, Bell-kun?\I need to apologize and pay them back\Impossible. response:	Do you know how much a grimoire costs?
context: Somebody forgot it?\Is something wrong, Goddess?\Bell-kun, listen.\A grimoire loses its power once somebody reads it!\Where are you going, Bell-kun?\I need to apologize and pay them back\Impossible.\Do you know how much a grimoire costs? response:	As much as a top-grade piece of equipment from the Hephaestus Familia!
context: Is something wrong, Goddess?\Bell-kun, listen.\A grimoire loses its power once somebody reads it!\Where are you going, Bell-kun?\I need to apologize and pay them back\Impossible.\Do you know how much a grimoire costs?\As much as a top-grade piece of equipment from the Hephaestus Familia! response:	Or maybe even more!
context: Bell-kun, listen.\A grimoire loses its power once somebody reads it!\Where are you going, Bell-kun?\I need to apologize and pay them back\Impossible.\Do you know how much a grimoire costs?\As much as a top-grade piece of equipment from the Hephaestus Familia!\Or maybe even more! response:	Listen, Bell-kun.
context: A grimoire loses its power once somebody reads it!\Where are you going, Bell-kun?\I need to apologize and pay them back\Impossible.\Do you know how much a grimoire costs?\As much as a top-grade piece of equipment from the Hephaestus Familia!\Or maybe even more!\Listen, Bell-kun. response:	You haven't read the book.
context: Where are you going, Bell-kun?\I need to apologize and pay them back\Impossible.\Do you know how much a grimoire costs?\As much as a top-grade piece of equipment from the Hephaestus Familia!\Or maybe even more!\Listen, Bell-kun.\You haven't read the book. response:	Just tell everybody that.
context: I need to apologize and pay them back\Impossible.\Do you know how much a grimoire costs?\As much as a top-grade piece of equipment from the Hephaestus Familia!\Or maybe even more!\Listen, Bell-kun.\You haven't read the book.\Just tell everybody that. response:	I'll take care of the rest.
context: Impossible.\Do you know how much a grimoire costs?\As much as a top-grade piece of equipment from the Hephaestus Familia!\Or maybe even more!\Listen, Bell-kun.\You haven't read the book.\Just tell everybody that.\I'll take care of the rest. response:	Leave it to me!
context: Do you know how much a grimoire costs?\As much as a top-grade piece of equipment from the Hephaestus Familia!\Or maybe even more!\Listen, Bell-kun.\You haven't read the book.\Just tell everybody that.\I'll take care of the rest.\Leave it to me! response:	No, Goddess!
context: As much as a top-grade piece of equipment from the Hephaestus Familia!\Or maybe even more!\Listen, Bell-kun.\You haven't read the book.\Just tell everybody that.\I'll take care of the rest.\Leave it to me!\No, Goddess! response:	Don't stop me, Bell-kun!
context: Or maybe even more!\Listen, Bell-kun.\You haven't read the book.\Just tell everybody that.\I'll take care of the rest.\Leave it to me!\No, Goddess!\Don't stop me, Bell-kun! response:	Sometimes you have to do these things in the lower world!
context: Listen, Bell-kun.\You haven't read the book.\Just tell everybody that.\I'll take care of the rest.\Leave it to me!\No, Goddess!\Don't stop me, Bell-kun!\Sometimes you have to do these things in the lower world! response:	The world is more whimsical than a god!
context: You haven't read the book.\Just tell everybody that.\I'll take care of the rest.\Leave it to me!\No, Goddess!\Don't stop me, Bell-kun!\Sometimes you have to do these things in the lower world!\The world is more whimsical than a god! response:	Don't come up with great quotes at a time like this!
context: Just tell everybody that.\I'll take care of the rest.\Leave it to me!\No, Goddess!\Don't stop me, Bell-kun!\Sometimes you have to do these things in the lower world!\The world is more whimsical than a god!\Don't come up with great quotes at a time like this! response:	I'm sorry! I'm sorry! I'm sorry! I'm sorry!
context: I'll take care of the rest.\Leave it to me!\No, Goddess!\Don't stop me, Bell-kun!\Sometimes you have to do these things in the lower world!\The world is more whimsical than a god!\Don't come up with great quotes at a time like this!\I'm sorry! I'm sorry! I'm sorry! I'm sorry! response:	What a big problem you've caused, Bell-san.
context: Leave it to me!\No, Goddess!\Don't stop me, Bell-kun!\Sometimes you have to do these things in the lower world!\The world is more whimsical than a god!\Don't come up with great quotes at a time like this!\I'm sorry! I'm sorry! I'm sorry! I'm sorry!\What a big problem you've caused, Bell-san. response:	Syr-san, why are you acting like you're not involved?
context: No, Goddess!\Don't stop me, Bell-kun!\Sometimes you have to do these things in the lower world!\The world is more whimsical than a god!\Don't come up with great quotes at a time like this!\I'm sorry! I'm sorry! I'm sorry! I'm sorry!\What a big problem you've caused, Bell-san.\Syr-san, why are you acting like you're not involved? response:	Is it not going to work?
context: Don't stop me, Bell-kun!\Sometimes you have to do these things in the lower world!\The world is more whimsical than a god!\Don't come up with great quotes at a time like this!\I'm sorry! I'm sorry! I'm sorry! I'm sorry!\What a big problem you've caused, Bell-san.\Syr-san, why are you acting like you're not involved?\Is it not going to work? response:	You're very cute, but it's not.
context: Sometimes you have to do these things in the lower world!\The world is more whimsical than a god!\Don't come up with great quotes at a time like this!\I'm sorry! I'm sorry! I'm sorry! I'm sorry!\What a big problem you've caused, Bell-san.\Syr-san, why are you acting like you're not involved?\Is it not going to work?\You're very cute, but it's not. response:	Mia-san?
context: The world is more whimsical than a god!\Don't come up with great quotes at a time like this!\I'm sorry! I'm sorry! I'm sorry! I'm sorry!\What a big problem you've caused, Bell-san.\Syr-san, why are you acting like you're not involved?\Is it not going to work?\You're very cute, but it's not.\Mia-san? response:	Forget it.
context: Don't come up with great quotes at a time like this!\I'm sorry! I'm sorry! I'm sorry! I'm sorry!\What a big problem you've caused, Bell-san.\Syr-san, why are you acting like you're not involved?\Is it not going to work?\You're very cute, but it's not.\Mia-san?\Forget it. response:	B-But...
context: I'm sorry! I'm sorry! I'm sorry! I'm sorry!\What a big problem you've caused, Bell-san.\Syr-san, why are you acting like you're not involved?\Is it not going to work?\You're very cute, but it's not.\Mia-san?\Forget it.\B-But... response:	You read it, so there's nothing we can do now.
context: What a big problem you've caused, Bell-san.\Syr-san, why are you acting like you're not involved?\Is it not going to work?\You're very cute, but it's not.\Mia-san?\Forget it.\B-But...\You read it, so there's nothing we can do now. response:	It's the fault of whoever left it here.
context: Syr-san, why are you acting like you're not involved?\Is it not going to work?\You're very cute, but it's not.\Mia-san?\Forget it.\B-But...\You read it, so there's nothing we can do now.\It's the fault of whoever left it here. response:	B-But...
context: Is it not going to work?\You're very cute, but it's not.\Mia-san?\Forget it.\B-But...\You read it, so there's nothing we can do now.\It's the fault of whoever left it here.\B-But... response:	I-I'm off to the dungeon!
context: You're very cute, but it's not.\Mia-san?\Forget it.\B-But...\You read it, so there's nothing we can do now.\It's the fault of whoever left it here.\B-But...\I-I'm off to the dungeon! response:	Um...
context: Mia-san?\Forget it.\B-But...\You read it, so there's nothing we can do now.\It's the fault of whoever left it here.\B-But...\I-I'm off to the dungeon!\Um... response:	Where is it?
context: Forget it.\B-But...\You read it, so there's nothing we can do now.\It's the fault of whoever left it here.\B-But...\I-I'm off to the dungeon!\Um...\Where is it? response:	Oh, here it is, Riveria!
context: B-But...\You read it, so there's nothing we can do now.\It's the fault of whoever left it here.\B-But...\I-I'm off to the dungeon!\Um...\Where is it?\Oh, here it is, Riveria! response:	Soma wine!
context: You read it, so there's nothing we can do now.\It's the fault of whoever left it here.\B-But...\I-I'm off to the dungeon!\Um...\Where is it?\Oh, here it is, Riveria!\Soma wine! response:	Buy it! Buy it!
context: It's the fault of whoever left it here.\B-But...\I-I'm off to the dungeon!\Um...\Where is it?\Oh, here it is, Riveria!\Soma wine!\Buy it! Buy it! response:	It's fine, right, Mommy?
context: B-But...\I-I'm off to the dungeon!\Um...\Where is it?\Oh, here it is, Riveria!\Soma wine!\Buy it! Buy it!\It's fine, right, Mommy? response:	Who are you calling Mommy?
context: I-I'm off to the dungeon!\Um...\Where is it?\Oh, here it is, Riveria!\Soma wine!\Buy it! Buy it!\It's fine, right, Mommy?\Who are you calling Mommy? response:	I'm here to replenish our item stocks.
context: Um...\Where is it?\Oh, here it is, Riveria!\Soma wine!\Buy it! Buy it!\It's fine, right, Mommy?\Who are you calling Mommy?\I'm here to replenish our item stocks. response:	I'm not here to buy you drinks.
context: Where is it?\Oh, here it is, Riveria!\Soma wine!\Buy it! Buy it!\It's fine, right, Mommy?\Who are you calling Mommy?\I'm here to replenish our item stocks.\I'm not here to buy you drinks. response:	R-Riveria-sama!
context: Oh, here it is, Riveria!\Soma wine!\Buy it! Buy it!\It's fine, right, Mommy?\Who are you calling Mommy?\I'm here to replenish our item stocks.\I'm not here to buy you drinks.\R-Riveria-sama! response:	Is that you, Eina?
context: Soma wine!\Buy it! Buy it!\It's fine, right, Mommy?\Who are you calling Mommy?\I'm here to replenish our item stocks.\I'm not here to buy you drinks.\R-Riveria-sama!\Is that you, Eina? response:	I'm sorry, Riveria-sama...
context: Buy it! Buy it!\It's fine, right, Mommy?\Who are you calling Mommy?\I'm here to replenish our item stocks.\I'm not here to buy you drinks.\R-Riveria-sama!\Is that you, Eina?\I'm sorry, Riveria-sama... response:	Making you buy such an expensive drink for my sake...
context: It's fine, right, Mommy?\Who are you calling Mommy?\I'm here to replenish our item stocks.\I'm not here to buy you drinks.\R-Riveria-sama!\Is that you, Eina?\I'm sorry, Riveria-sama...\Making you buy such an expensive drink for my sake... response:	I was going to have to buy some anyway.
context: Who are you calling Mommy?\I'm here to replenish our item stocks.\I'm not here to buy you drinks.\R-Riveria-sama!\Is that you, Eina?\I'm sorry, Riveria-sama...\Making you buy such an expensive drink for my sake...\I was going to have to buy some anyway. response:	I'll feel better if it's at least helping you.
context: I'm here to replenish our item stocks.\I'm not here to buy you drinks.\R-Riveria-sama!\Is that you, Eina?\I'm sorry, Riveria-sama...\Making you buy such an expensive drink for my sake...\I was going to have to buy some anyway.\I'll feel better if it's at least helping you. response:	You promised.
context: I'm not here to buy you drinks.\R-Riveria-sama!\Is that you, Eina?\I'm sorry, Riveria-sama...\Making you buy such an expensive drink for my sake...\I was going to have to buy some anyway.\I'll feel better if it's at least helping you.\You promised. response:	Answer Eina's questions.
context: R-Riveria-sama!\Is that you, Eina?\I'm sorry, Riveria-sama...\Making you buy such an expensive drink for my sake...\I was going to have to buy some anyway.\I'll feel better if it's at least helping you.\You promised.\Answer Eina's questions. response:	I know.
context: Is that you, Eina?\I'm sorry, Riveria-sama...\Making you buy such an expensive drink for my sake...\I was going to have to buy some anyway.\I'll feel better if it's at least helping you.\You promised.\Answer Eina's questions.\I know. response:	Um, you were asking about the Soma Familia, right?
context: I'm sorry, Riveria-sama...\Making you buy such an expensive drink for my sake...\I was going to have to buy some anyway.\I'll feel better if it's at least helping you.\You promised.\Answer Eina's questions.\I know.\Um, you were asking about the Soma Familia, right? response:	Yes, please!
context: Making you buy such an expensive drink for my sake...\I was going to have to buy some anyway.\I'll feel better if it's at least helping you.\You promised.\Answer Eina's questions.\I know.\Um, you were asking about the Soma Familia, right?\Yes, please! response:	Well, basically, the children there don't worship Soma.
context: I was going to have to buy some anyway.\I'll feel better if it's at least helping you.\You promised.\Answer Eina's questions.\I know.\Um, you were asking about the Soma Familia, right?\Yes, please!\Well, basically, the children there don't worship Soma. response:	They worship wine.
context: I'll feel better if it's at least helping you.\You promised.\Answer Eina's questions.\I know.\Um, you were asking about the Soma Familia, right?\Yes, please!\Well, basically, the children there don't worship Soma.\They worship wine. response:	Is Bell-sama here already?
context: You promised.\Answer Eina's questions.\I know.\Um, you were asking about the Soma Familia, right?\Yes, please!\Well, basically, the children there don't worship Soma.\They worship wine.\Is Bell-sama here already? response:	Is Lili not here yet?
context: Answer Eina's questions.\I know.\Um, you were asking about the Soma Familia, right?\Yes, please!\Well, basically, the children there don't worship Soma.\They worship wine.\Is Bell-sama here already?\Is Lili not here yet? response:	There she is.
context: I know.\Um, you were asking about the Soma Familia, right?\Yes, please!\Well, basically, the children there don't worship Soma.\They worship wine.\Is Bell-sama here already?\Is Lili not here yet?\There she is. response:	Lili!
context: Um, you were asking about the Soma Familia, right?\Yes, please!\Well, basically, the children there don't worship Soma.\They worship wine.\Is Bell-sama here already?\Is Lili not here yet?\There she is.\Lili! response:	You're that guy from before...
context: Yes, please!\Well, basically, the children there don't worship Soma.\They worship wine.\Is Bell-sama here already?\Is Lili not here yet?\There she is.\Lili!\You're that guy from before... response:	You're with that kid?
context: Well, basically, the children there don't worship Soma.\They worship wine.\Is Bell-sama here already?\Is Lili not here yet?\There she is.\Lili!\You're that guy from before...\You're with that kid? response:	Then you must know something.
context: They worship wine.\Is Bell-sama here already?\Is Lili not here yet?\There she is.\Lili!\You're that guy from before...\You're with that kid?\Then you must know something. response:	About what?
context: Is Bell-sama here already?\Is Lili not here yet?\There she is.\Lili!\You're that guy from before...\You're with that kid?\Then you must know something.\About what? response:	Don't try to fool me.
context: Is Lili not here yet?\There she is.\Lili!\You're that guy from before...\You're with that kid?\Then you must know something.\About what?\Don't try to fool me. response:	Help me.
context: There she is.\Lili!\You're that guy from before...\You're with that kid?\Then you must know something.\About what?\Don't try to fool me.\Help me. response:	We'll trap her together.
context: Lili!\You're that guy from before...\You're with that kid?\Then you must know something.\About what?\Don't try to fool me.\Help me.\We'll trap her together. response:	Don't look at me like that.
context: You're that guy from before...\You're with that kid?\Then you must know something.\About what?\Don't try to fool me.\Help me.\We'll trap her together.\Don't look at me like that. response:	You're after the money she's saved, too, right?
context: You're with that kid?\Then you must know something.\About what?\Don't try to fool me.\Help me.\We'll trap her together.\Don't look at me like that.\You're after the money she's saved, too, right? response:	We're both adventurers.
context: Then you must know something.\About what?\Don't try to fool me.\Help me.\We'll trap her together.\Don't look at me like that.\You're after the money she's saved, too, right?\We're both adventurers. response:	Let's work together and get some cash from that useless pack mule.
context: About what?\Don't try to fool me.\Help me.\We'll trap her together.\Don't look at me like that.\You're after the money she's saved, too, right?\We're both adventurers.\Let's work together and get some cash from that useless pack mule. response:	Okay?
context: Don't try to fool me.\Help me.\We'll trap her together.\Don't look at me like that.\You're after the money she's saved, too, right?\We're both adventurers.\Let's work together and get some cash from that useless pack mule.\Okay? response:	No.
context: Help me.\We'll trap her together.\Don't look at me like that.\You're after the money she's saved, too, right?\We're both adventurers.\Let's work together and get some cash from that useless pack mule.\Okay?\No. response:	Never!
context: We'll trap her together.\Don't look at me like that.\You're after the money she's saved, too, right?\We're both adventurers.\Let's work together and get some cash from that useless pack mule.\Okay?\No.\Never! response:	Stupid brat!
context: Don't look at me like that.\You're after the money she's saved, too, right?\We're both adventurers.\Let's work together and get some cash from that useless pack mule.\Okay?\No.\Never!\Stupid brat! response:	Bell-sama...
context: You're after the money she's saved, too, right?\We're both adventurers.\Let's work together and get some cash from that useless pack mule.\Okay?\No.\Never!\Stupid brat!\Bell-sama... response:	Lili, when did you get here?
context: We're both adventurers.\Let's work together and get some cash from that useless pack mule.\Okay?\No.\Never!\Stupid brat!\Bell-sama...\Lili, when did you get here? response:	What were you talking with that adventurer about?
context: Let's work together and get some cash from that useless pack mule.\Okay?\No.\Never!\Stupid brat!\Bell-sama...\Lili, when did you get here?\What were you talking with that adventurer about? response:	No, it was nothing.
context: Okay?\No.\Never!\Stupid brat!\Bell-sama...\Lili, when did you get here?\What were you talking with that adventurer about?\No, it was nothing. response:	Just some small talk...
context: No.\Never!\Stupid brat!\Bell-sama...\Lili, when did you get here?\What were you talking with that adventurer about?\No, it was nothing.\Just some small talk... response:	Anyway, what about you?
context: Never!\Stupid brat!\Bell-sama...\Lili, when did you get here?\What were you talking with that adventurer about?\No, it was nothing.\Just some small talk...\Anyway, what about you? response:	It was like a fight almost broke out.
context: Stupid brat!\Bell-sama...\Lili, when did you get here?\What were you talking with that adventurer about?\No, it was nothing.\Just some small talk...\Anyway, what about you?\It was like a fight almost broke out. response:	Are you okay?
context: Bell-sama...\Lili, when did you get here?\What were you talking with that adventurer about?\No, it was nothing.\Just some small talk...\Anyway, what about you?\It was like a fight almost broke out.\Are you okay? response:	Yes.
context: Lili, when did you get here?\What were you talking with that adventurer about?\No, it was nothing.\Just some small talk...\Anyway, what about you?\It was like a fight almost broke out.\Are you okay?\Yes. response:	It was nothing.
context: What were you talking with that adventurer about?\No, it was nothing.\Just some small talk...\Anyway, what about you?\It was like a fight almost broke out.\Are you okay?\Yes.\It was nothing. response:	Let's go.
context: No, it was nothing.\Just some small talk...\Anyway, what about you?\It was like a fight almost broke out.\Are you okay?\Yes.\It was nothing.\Let's go. response:	Maybe it's time to say goodbye...
context: Just some small talk...\Anyway, what about you?\It was like a fight almost broke out.\Are you okay?\Yes.\It was nothing.\Let's go.\Maybe it's time to say goodbye... response:	Liliruca Arde Reason
context: Anyway, what about you?\It was like a fight almost broke out.\Are you okay?\Yes.\It was nothing.\Let's go.\Maybe it's time to say goodbye...\Liliruca Arde Reason response:	Next Time
context: It was like a fight almost broke out.\Are you okay?\Yes.\It was nothing.\Let's go.\Maybe it's time to say goodbye...\Liliruca Arde Reason\Next Time response:	Next time: Liliruca Arde.
