context: You left the Wulgaru to deliver that information to Earth? response:	We meet again!
context: Yeah, let's!\Hey, so, Izuru,\what type of girl do you think Master Daneel would like?\What's gotten into him?\I have a good idea.\He looked like he was good friends with Teoria...\Hey, are you listening?\Where're ya looking?! response:	Great! Now for another three laps!
context: Hey, so, Izuru,\what type of girl do you think Master Daneel would like?\What's gotten into him?\I have a good idea.\He looked like he was good friends with Teoria...\Hey, are you listening?\Where're ya looking?!\Great! Now for another three laps! response:	Why the morning jog...?
context: what type of girl do you think Master Daneel would like?\What's gotten into him?\I have a good idea.\He looked like he was good friends with Teoria...\Hey, are you listening?\Where're ya looking?!\Great! Now for another three laps!\Why the morning jog...? response:	We used to jog every day back at the academy!
context: What's gotten into him?\I have a good idea.\He looked like he was good friends with Teoria...\Hey, are you listening?\Where're ya looking?!\Great! Now for another three laps!\Why the morning jog...?\We used to jog every day back at the academy! response:	Our battles are just going to get harder.
context: I have a good idea.\He looked like he was good friends with Teoria...\Hey, are you listening?\Where're ya looking?!\Great! Now for another three laps!\Why the morning jog...?\We used to jog every day back at the academy!\Our battles are just going to get harder. response:	We've gotta keep up with our training!
context: He looked like he was good friends with Teoria...\Hey, are you listening?\Where're ya looking?!\Great! Now for another three laps!\Why the morning jog...?\We used to jog every day back at the academy!\Our battles are just going to get harder.\We've gotta keep up with our training! response:	Why is he so bubbly after what happened yesterday...?
context: Hey, are you listening?\Where're ya looking?!\Great! Now for another three laps!\Why the morning jog...?\We used to jog every day back at the academy!\Our battles are just going to get harder.\We've gotta keep up with our training!\Why is he so bubbly after what happened yesterday...? response:	I hardly got a wink of sleep...
context: Where're ya looking?!\Great! Now for another three laps!\Why the morning jog...?\We used to jog every day back at the academy!\Our battles are just going to get harder.\We've gotta keep up with our training!\Why is he so bubbly after what happened yesterday...?\I hardly got a wink of sleep... response:	I have low blood pressure in the morning.
context: Great! Now for another three laps!\Why the morning jog...?\We used to jog every day back at the academy!\Our battles are just going to get harder.\We've gotta keep up with our training!\Why is he so bubbly after what happened yesterday...?\I hardly got a wink of sleep...\I have low blood pressure in the morning. response:	Overcome that with determination and grit!
context: Why the morning jog...?\We used to jog every day back at the academy!\Our battles are just going to get harder.\We've gotta keep up with our training!\Why is he so bubbly after what happened yesterday...?\I hardly got a wink of sleep...\I have low blood pressure in the morning.\Overcome that with determination and grit! response:	Gimme a one, two! One, two!
context: We used to jog every day back at the academy!\Our battles are just going to get harder.\We've gotta keep up with our training!\Why is he so bubbly after what happened yesterday...?\I hardly got a wink of sleep...\I have low blood pressure in the morning.\Overcome that with determination and grit!\Gimme a one, two! One, two! response:	Love comes with trials to overcome!
context: Our battles are just going to get harder.\We've gotta keep up with our training!\Why is he so bubbly after what happened yesterday...?\I hardly got a wink of sleep...\I have low blood pressure in the morning.\Overcome that with determination and grit!\Gimme a one, two! One, two!\Love comes with trials to overcome! response:	I love you!
context: We've gotta keep up with our training!\Why is he so bubbly after what happened yesterday...?\I hardly got a wink of sleep...\I have low blood pressure in the morning.\Overcome that with determination and grit!\Gimme a one, two! One, two!\Love comes with trials to overcome!\I love you! response:	I need you!
context: Why is he so bubbly after what happened yesterday...?\I hardly got a wink of sleep...\I have low blood pressure in the morning.\Overcome that with determination and grit!\Gimme a one, two! One, two!\Love comes with trials to overcome!\I love you!\I need you! response:	I love...
context: I hardly got a wink of sleep...\I have low blood pressure in the morning.\Overcome that with determination and grit!\Gimme a one, two! One, two!\Love comes with trials to overcome!\I love you!\I need you!\I love... response:	So how were the results to yesterday's exam?
context: I have low blood pressure in the morning.\Overcome that with determination and grit!\Gimme a one, two! One, two!\Love comes with trials to overcome!\I love you!\I need you!\I love...\So how were the results to yesterday's exam? response:	Excellent!
context: Overcome that with determination and grit!\Gimme a one, two! One, two!\Love comes with trials to overcome!\I love you!\I need you!\I love...\So how were the results to yesterday's exam?\Excellent! response:	Izuru Hitachi's results were even better than expected.
context: Gimme a one, two! One, two!\Love comes with trials to overcome!\I love you!\I need you!\I love...\So how were the results to yesterday's exam?\Excellent!\Izuru Hitachi's results were even better than expected. response:	His results have suggested as much since the beginning,
context: Love comes with trials to overcome!\I love you!\I need you!\I love...\So how were the results to yesterday's exam?\Excellent!\Izuru Hitachi's results were even better than expected.\His results have suggested as much since the beginning, response:	but he has been adapting to the JURIA-SYSTEM at a surprising rate.
context: I love you!\I need you!\I love...\So how were the results to yesterday's exam?\Excellent!\Izuru Hitachi's results were even better than expected.\His results have suggested as much since the beginning,\but he has been adapting to the JURIA-SYSTEM at a surprising rate. response:	Supposedly Red 5 ceased
context: I need you!\I love...\So how were the results to yesterday's exam?\Excellent!\Izuru Hitachi's results were even better than expected.\His results have suggested as much since the beginning,\but he has been adapting to the JURIA-SYSTEM at a surprising rate.\Supposedly Red 5 ceased response:	moving in the middle of the Battle of Ceres.
context: I love...\So how were the results to yesterday's exam?\Excellent!\Izuru Hitachi's results were even better than expected.\His results have suggested as much since the beginning,\but he has been adapting to the JURIA-SYSTEM at a surprising rate.\Supposedly Red 5 ceased\moving in the middle of the Battle of Ceres. response:	It was wary of the enemy.
context: So how were the results to yesterday's exam?\Excellent!\Izuru Hitachi's results were even better than expected.\His results have suggested as much since the beginning,\but he has been adapting to the JURIA-SYSTEM at a surprising rate.\Supposedly Red 5 ceased\moving in the middle of the Battle of Ceres.\It was wary of the enemy. response:	The instinct to preserve itself must have kicked in.
context: Excellent!\Izuru Hitachi's results were even better than expected.\His results have suggested as much since the beginning,\but he has been adapting to the JURIA-SYSTEM at a surprising rate.\Supposedly Red 5 ceased\moving in the middle of the Battle of Ceres.\It was wary of the enemy.\The instinct to preserve itself must have kicked in. response:	His open and honest personality may be working in his favor.
context: Izuru Hitachi's results were even better than expected.\His results have suggested as much since the beginning,\but he has been adapting to the JURIA-SYSTEM at a surprising rate.\Supposedly Red 5 ceased\moving in the middle of the Battle of Ceres.\It was wary of the enemy.\The instinct to preserve itself must have kicked in.\His open and honest personality may be working in his favor. response:	Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM.
context: His results have suggested as much since the beginning,\but he has been adapting to the JURIA-SYSTEM at a surprising rate.\Supposedly Red 5 ceased\moving in the middle of the Battle of Ceres.\It was wary of the enemy.\The instinct to preserve itself must have kicked in.\His open and honest personality may be working in his favor.\Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM. response:	Following him would be Tamaki Irie and Ataru Suruga.
context: but he has been adapting to the JURIA-SYSTEM at a surprising rate.\Supposedly Red 5 ceased\moving in the middle of the Battle of Ceres.\It was wary of the enemy.\The instinct to preserve itself must have kicked in.\His open and honest personality may be working in his favor.\Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM.\Following him would be Tamaki Irie and Ataru Suruga. response:	Toshikazu Asagi and Kei Kugimiya have
context: Supposedly Red 5 ceased\moving in the middle of the Battle of Ceres.\It was wary of the enemy.\The instinct to preserve itself must have kicked in.\His open and honest personality may be working in his favor.\Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM.\Following him would be Tamaki Irie and Ataru Suruga.\Toshikazu Asagi and Kei Kugimiya have response:	not adapted as well as the other three.
context: moving in the middle of the Battle of Ceres.\It was wary of the enemy.\The instinct to preserve itself must have kicked in.\His open and honest personality may be working in his favor.\Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM.\Following him would be Tamaki Irie and Ataru Suruga.\Toshikazu Asagi and Kei Kugimiya have\not adapted as well as the other three. response:	I'm surprised to hear that Tamaki and Suruga are doing so well.
context: It was wary of the enemy.\The instinct to preserve itself must have kicked in.\His open and honest personality may be working in his favor.\Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM.\Following him would be Tamaki Irie and Ataru Suruga.\Toshikazu Asagi and Kei Kugimiya have\not adapted as well as the other three.\I'm surprised to hear that Tamaki and Suruga are doing so well. response:	It may help that both of them are true to their feelings.
context: The instinct to preserve itself must have kicked in.\His open and honest personality may be working in his favor.\Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM.\Following him would be Tamaki Irie and Ataru Suruga.\Toshikazu Asagi and Kei Kugimiya have\not adapted as well as the other three.\I'm surprised to hear that Tamaki and Suruga are doing so well.\It may help that both of them are true to their feelings. response:	Conversely, Asagi and Kei are
context: His open and honest personality may be working in his favor.\Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM.\Following him would be Tamaki Irie and Ataru Suruga.\Toshikazu Asagi and Kei Kugimiya have\not adapted as well as the other three.\I'm surprised to hear that Tamaki and Suruga are doing so well.\It may help that both of them are true to their feelings.\Conversely, Asagi and Kei are response:	highly self-conscious and tend to act reserved.
context: Currently, Izuru Hitachi has adapted the best to the JURIA-SYSTEM.\Following him would be Tamaki Irie and Ataru Suruga.\Toshikazu Asagi and Kei Kugimiya have\not adapted as well as the other three.\I'm surprised to hear that Tamaki and Suruga are doing so well.\It may help that both of them are true to their feelings.\Conversely, Asagi and Kei are\highly self-conscious and tend to act reserved. response:	Age may also play a factor,
context: Following him would be Tamaki Irie and Ataru Suruga.\Toshikazu Asagi and Kei Kugimiya have\not adapted as well as the other three.\I'm surprised to hear that Tamaki and Suruga are doing so well.\It may help that both of them are true to their feelings.\Conversely, Asagi and Kei are\highly self-conscious and tend to act reserved.\Age may also play a factor, response:	although all five are progressing faster than we had anticipated.
context: Toshikazu Asagi and Kei Kugimiya have\not adapted as well as the other three.\I'm surprised to hear that Tamaki and Suruga are doing so well.\It may help that both of them are true to their feelings.\Conversely, Asagi and Kei are\highly self-conscious and tend to act reserved.\Age may also play a factor,\although all five are progressing faster than we had anticipated. response:	So it would seem.
context: not adapted as well as the other three.\I'm surprised to hear that Tamaki and Suruga are doing so well.\It may help that both of them are true to their feelings.\Conversely, Asagi and Kei are\highly self-conscious and tend to act reserved.\Age may also play a factor,\although all five are progressing faster than we had anticipated.\So it would seem. response:	Oh, my beloved prince J You are mine J
context: I'm surprised to hear that Tamaki and Suruga are doing so well.\It may help that both of them are true to their feelings.\Conversely, Asagi and Kei are\highly self-conscious and tend to act reserved.\Age may also play a factor,\although all five are progressing faster than we had anticipated.\So it would seem.\Oh, my beloved prince J You are mine J response:	Dang, you've been on high gear since last night!
context: It may help that both of them are true to their feelings.\Conversely, Asagi and Kei are\highly self-conscious and tend to act reserved.\Age may also play a factor,\although all five are progressing faster than we had anticipated.\So it would seem.\Oh, my beloved prince J You are mine J\Dang, you've been on high gear since last night! response:	You think so?
context: Conversely, Asagi and Kei are\highly self-conscious and tend to act reserved.\Age may also play a factor,\although all five are progressing faster than we had anticipated.\So it would seem.\Oh, my beloved prince J You are mine J\Dang, you've been on high gear since last night!\You think so? response:	I think I'm the same as always.
context: highly self-conscious and tend to act reserved.\Age may also play a factor,\although all five are progressing faster than we had anticipated.\So it would seem.\Oh, my beloved prince J You are mine J\Dang, you've been on high gear since last night!\You think so?\I think I'm the same as always. response:	Yeah, right!
context: Age may also play a factor,\although all five are progressing faster than we had anticipated.\So it would seem.\Oh, my beloved prince J You are mine J\Dang, you've been on high gear since last night!\You think so?\I think I'm the same as always.\Yeah, right! response:	You've been hyped up ever since you met that Teoria lady.
context: although all five are progressing faster than we had anticipated.\So it would seem.\Oh, my beloved prince J You are mine J\Dang, you've been on high gear since last night!\You think so?\I think I'm the same as always.\Yeah, right!\You've been hyped up ever since you met that Teoria lady. response:	That's not true!
context: So it would seem.\Oh, my beloved prince J You are mine J\Dang, you've been on high gear since last night!\You think so?\I think I'm the same as always.\Yeah, right!\You've been hyped up ever since you met that Teoria lady.\That's not true! response:	Right, right! You've got it wrong.
context: Oh, my beloved prince J You are mine J\Dang, you've been on high gear since last night!\You think so?\I think I'm the same as always.\Yeah, right!\You've been hyped up ever since you met that Teoria lady.\That's not true!\Right, right! You've got it wrong. response:	I'm always like this!
context: Dang, you've been on high gear since last night!\You think so?\I think I'm the same as always.\Yeah, right!\You've been hyped up ever since you met that Teoria lady.\That's not true!\Right, right! You've got it wrong.\I'm always like this! response:	Why is everyone in my room?!
context: You think so?\I think I'm the same as always.\Yeah, right!\You've been hyped up ever since you met that Teoria lady.\That's not true!\Right, right! You've got it wrong.\I'm always like this!\Why is everyone in my room?! response:	You and Izuru are both hyped up.
context: I think I'm the same as always.\Yeah, right!\You've been hyped up ever since you met that Teoria lady.\That's not true!\Right, right! You've got it wrong.\I'm always like this!\Why is everyone in my room?!\You and Izuru are both hyped up. response:	They're on the same level...
context: Yeah, right!\You've been hyped up ever since you met that Teoria lady.\That's not true!\Right, right! You've got it wrong.\I'm always like this!\Why is everyone in my room?!\You and Izuru are both hyped up.\They're on the same level... response:	They said that we're the same!
context: You've been hyped up ever since you met that Teoria lady.\That's not true!\Right, right! You've got it wrong.\I'm always like this!\Why is everyone in my room?!\You and Izuru are both hyped up.\They're on the same level...\They said that we're the same! response:	We're buddies, Izuru!
context: That's not true!\Right, right! You've got it wrong.\I'm always like this!\Why is everyone in my room?!\You and Izuru are both hyped up.\They're on the same level...\They said that we're the same!\We're buddies, Izuru! response:	Yeah, we're buddies with everyone here.
context: Right, right! You've got it wrong.\I'm always like this!\Why is everyone in my room?!\You and Izuru are both hyped up.\They're on the same level...\They said that we're the same!\We're buddies, Izuru!\Yeah, we're buddies with everyone here. response:	I'm not like you!
context: I'm always like this!\Why is everyone in my room?!\You and Izuru are both hyped up.\They're on the same level...\They said that we're the same!\We're buddies, Izuru!\Yeah, we're buddies with everyone here.\I'm not like you! response:	Isn't that the Colorado-class battleship Princeton?
context: Why is everyone in my room?!\You and Izuru are both hyped up.\They're on the same level...\They said that we're the same!\We're buddies, Izuru!\Yeah, we're buddies with everyone here.\I'm not like you!\Isn't that the Colorado-class battleship Princeton? response:	Seriously, this isn't the time to be going gaga for a girl, Izuru.
context: You and Izuru are both hyped up.\They're on the same level...\They said that we're the same!\We're buddies, Izuru!\Yeah, we're buddies with everyone here.\I'm not like you!\Isn't that the Colorado-class battleship Princeton?\Seriously, this isn't the time to be going gaga for a girl, Izuru. response:	That Jiart guy has his eyes on you, remember?
context: They're on the same level...\They said that we're the same!\We're buddies, Izuru!\Yeah, we're buddies with everyone here.\I'm not like you!\Isn't that the Colorado-class battleship Princeton?\Seriously, this isn't the time to be going gaga for a girl, Izuru.\That Jiart guy has his eyes on you, remember? response:	Let us fight again, primitive creature!
context: They said that we're the same!\We're buddies, Izuru!\Yeah, we're buddies with everyone here.\I'm not like you!\Isn't that the Colorado-class battleship Princeton?\Seriously, this isn't the time to be going gaga for a girl, Izuru.\That Jiart guy has his eyes on you, remember?\Let us fight again, primitive creature! response:	Jiart...
context: We're buddies, Izuru!\Yeah, we're buddies with everyone here.\I'm not like you!\Isn't that the Colorado-class battleship Princeton?\Seriously, this isn't the time to be going gaga for a girl, Izuru.\That Jiart guy has his eyes on you, remember?\Let us fight again, primitive creature!\Jiart... response:	That was boring!
context: Yeah, we're buddies with everyone here.\I'm not like you!\Isn't that the Colorado-class battleship Princeton?\Seriously, this isn't the time to be going gaga for a girl, Izuru.\That Jiart guy has his eyes on you, remember?\Let us fight again, primitive creature!\Jiart...\That was boring! response:	Prince Jiart!
context: I'm not like you!\Isn't that the Colorado-class battleship Princeton?\Seriously, this isn't the time to be going gaga for a girl, Izuru.\That Jiart guy has his eyes on you, remember?\Let us fight again, primitive creature!\Jiart...\That was boring!\Prince Jiart! response:	Prince Jiart, I have come for you.
context: Isn't that the Colorado-class battleship Princeton?\Seriously, this isn't the time to be going gaga for a girl, Izuru.\That Jiart guy has his eyes on you, remember?\Let us fight again, primitive creature!\Jiart...\That was boring!\Prince Jiart!\Prince Jiart, I have come for you. response:	Lord Dolgana ordered me to deliver a message insisting
context: Seriously, this isn't the time to be going gaga for a girl, Izuru.\That Jiart guy has his eyes on you, remember?\Let us fight again, primitive creature!\Jiart...\That was boring!\Prince Jiart!\Prince Jiart, I have come for you.\Lord Dolgana ordered me to deliver a message insisting response:	that you attend the parisada.
context: That Jiart guy has his eyes on you, remember?\Let us fight again, primitive creature!\Jiart...\That was boring!\Prince Jiart!\Prince Jiart, I have come for you.\Lord Dolgana ordered me to deliver a message insisting\that you attend the parisada. response:	Tell him that I shall be there momentarily.
context: Let us fight again, primitive creature!\Jiart...\That was boring!\Prince Jiart!\Prince Jiart, I have come for you.\Lord Dolgana ordered me to deliver a message insisting\that you attend the parisada.\Tell him that I shall be there momentarily. response:	B-but he said to come immediately.
context: Jiart...\That was boring!\Prince Jiart!\Prince Jiart, I have come for you.\Lord Dolgana ordered me to deliver a message insisting\that you attend the parisada.\Tell him that I shall be there momentarily.\B-but he said to come immediately. response:	I do not have anything to report to him.
context: That was boring!\Prince Jiart!\Prince Jiart, I have come for you.\Lord Dolgana ordered me to deliver a message insisting\that you attend the parisada.\Tell him that I shall be there momentarily.\B-but he said to come immediately.\I do not have anything to report to him. response:	B-but...!
context: Prince Jiart!\Prince Jiart, I have come for you.\Lord Dolgana ordered me to deliver a message insisting\that you attend the parisada.\Tell him that I shall be there momentarily.\B-but he said to come immediately.\I do not have anything to report to him.\B-but...! response:	Did you fail to hear me?
context: Prince Jiart, I have come for you.\Lord Dolgana ordered me to deliver a message insisting\that you attend the parisada.\Tell him that I shall be there momentarily.\B-but he said to come immediately.\I do not have anything to report to him.\B-but...!\Did you fail to hear me? response:	S-surely you jest!
context: Lord Dolgana ordered me to deliver a message insisting\that you attend the parisada.\Tell him that I shall be there momentarily.\B-but he said to come immediately.\I do not have anything to report to him.\B-but...!\Did you fail to hear me?\S-surely you jest! response:	Do you think I am joking?
context: that you attend the parisada.\Tell him that I shall be there momentarily.\B-but he said to come immediately.\I do not have anything to report to him.\B-but...!\Did you fail to hear me?\S-surely you jest!\Do you think I am joking? response:	Prince Jiart, please show mercy!
context: Tell him that I shall be there momentarily.\B-but he said to come immediately.\I do not have anything to report to him.\B-but...!\Did you fail to hear me?\S-surely you jest!\Do you think I am joking?\Prince Jiart, please show mercy! response:	Very well.
context: B-but he said to come immediately.\I do not have anything to report to him.\B-but...!\Did you fail to hear me?\S-surely you jest!\Do you think I am joking?\Prince Jiart, please show mercy!\Very well. response:	In that case, I shall go to see my brother.
context: I do not have anything to report to him.\B-but...!\Did you fail to hear me?\S-surely you jest!\Do you think I am joking?\Prince Jiart, please show mercy!\Very well.\In that case, I shall go to see my brother. response:	You have done well, Dolgana.
context: B-but...!\Did you fail to hear me?\S-surely you jest!\Do you think I am joking?\Prince Jiart, please show mercy!\Very well.\In that case, I shall go to see my brother.\You have done well, Dolgana. response:	I am unworthy of such praise!
context: Did you fail to hear me?\S-surely you jest!\Do you think I am joking?\Prince Jiart, please show mercy!\Very well.\In that case, I shall go to see my brother.\You have done well, Dolgana.\I am unworthy of such praise! response:	This expedition allowed us to greatly curb the lamata's forces.
context: S-surely you jest!\Do you think I am joking?\Prince Jiart, please show mercy!\Very well.\In that case, I shall go to see my brother.\You have done well, Dolgana.\I am unworthy of such praise!\This expedition allowed us to greatly curb the lamata's forces. response:	It will make the remaining shikaara all the easier.
context: Do you think I am joking?\Prince Jiart, please show mercy!\Very well.\In that case, I shall go to see my brother.\You have done well, Dolgana.\I am unworthy of such praise!\This expedition allowed us to greatly curb the lamata's forces.\It will make the remaining shikaara all the easier. response:	I merely obeyed the words of the oracle and devised the strategy.
context: Prince Jiart, please show mercy!\Very well.\In that case, I shall go to see my brother.\You have done well, Dolgana.\I am unworthy of such praise!\This expedition allowed us to greatly curb the lamata's forces.\It will make the remaining shikaara all the easier.\I merely obeyed the words of the oracle and devised the strategy. response:	If in doing so I have earned your approval, King Galkie,
context: Very well.\In that case, I shall go to see my brother.\You have done well, Dolgana.\I am unworthy of such praise!\This expedition allowed us to greatly curb the lamata's forces.\It will make the remaining shikaara all the easier.\I merely obeyed the words of the oracle and devised the strategy.\If in doing so I have earned your approval, King Galkie, response:	then nothing could bring me greater joy!
context: In that case, I shall go to see my brother.\You have done well, Dolgana.\I am unworthy of such praise!\This expedition allowed us to greatly curb the lamata's forces.\It will make the remaining shikaara all the easier.\I merely obeyed the words of the oracle and devised the strategy.\If in doing so I have earned your approval, King Galkie,\then nothing could bring me greater joy! response:	The rest of you did well in the shikaara as well.
context: You have done well, Dolgana.\I am unworthy of such praise!\This expedition allowed us to greatly curb the lamata's forces.\It will make the remaining shikaara all the easier.\I merely obeyed the words of the oracle and devised the strategy.\If in doing so I have earned your approval, King Galkie,\then nothing could bring me greater joy!\The rest of you did well in the shikaara as well. response:	Your Majesty!
context: I am unworthy of such praise!\This expedition allowed us to greatly curb the lamata's forces.\It will make the remaining shikaara all the easier.\I merely obeyed the words of the oracle and devised the strategy.\If in doing so I have earned your approval, King Galkie,\then nothing could bring me greater joy!\The rest of you did well in the shikaara as well.\Your Majesty! response:	I will gladly take those words to heart!
context: This expedition allowed us to greatly curb the lamata's forces.\It will make the remaining shikaara all the easier.\I merely obeyed the words of the oracle and devised the strategy.\If in doing so I have earned your approval, King Galkie,\then nothing could bring me greater joy!\The rest of you did well in the shikaara as well.\Your Majesty!\I will gladly take those words to heart! response:	If Klein had taken more action in the frontlines,
context: It will make the remaining shikaara all the easier.\I merely obeyed the words of the oracle and devised the strategy.\If in doing so I have earned your approval, King Galkie,\then nothing could bring me greater joy!\The rest of you did well in the shikaara as well.\Your Majesty!\I will gladly take those words to heart!\If Klein had taken more action in the frontlines, response:	the final outcome would have been even better!
context: I merely obeyed the words of the oracle and devised the strategy.\If in doing so I have earned your approval, King Galkie,\then nothing could bring me greater joy!\The rest of you did well in the shikaara as well.\Your Majesty!\I will gladly take those words to heart!\If Klein had taken more action in the frontlines,\the final outcome would have been even better! response:	I fulfilled my mission!
context: If in doing so I have earned your approval, King Galkie,\then nothing could bring me greater joy!\The rest of you did well in the shikaara as well.\Your Majesty!\I will gladly take those words to heart!\If Klein had taken more action in the frontlines,\the final outcome would have been even better!\I fulfilled my mission! response:	It's your own fault if you didn't get the results you wanted!
context: then nothing could bring me greater joy!\The rest of you did well in the shikaara as well.\Your Majesty!\I will gladly take those words to heart!\If Klein had taken more action in the frontlines,\the final outcome would have been even better!\I fulfilled my mission!\It's your own fault if you didn't get the results you wanted! response:	Really, now?
context: The rest of you did well in the shikaara as well.\Your Majesty!\I will gladly take those words to heart!\If Klein had taken more action in the frontlines,\the final outcome would have been even better!\I fulfilled my mission!\It's your own fault if you didn't get the results you wanted!\Really, now? response:	Your battles are always monotonous, without any
context: Your Majesty!\I will gladly take those words to heart!\If Klein had taken more action in the frontlines,\the final outcome would have been even better!\I fulfilled my mission!\It's your own fault if you didn't get the results you wanted!\Really, now?\Your battles are always monotonous, without any response:	sign of improvement in sight.
context: I will gladly take those words to heart!\If Klein had taken more action in the frontlines,\the final outcome would have been even better!\I fulfilled my mission!\It's your own fault if you didn't get the results you wanted!\Really, now?\Your battles are always monotonous, without any\sign of improvement in sight. response:	What was that?!
context: If Klein had taken more action in the frontlines,\the final outcome would have been even better!\I fulfilled my mission!\It's your own fault if you didn't get the results you wanted!\Really, now?\Your battles are always monotonous, without any\sign of improvement in sight.\What was that?! response:	That is enough!
context: the final outcome would have been even better!\I fulfilled my mission!\It's your own fault if you didn't get the results you wanted!\Really, now?\Your battles are always monotonous, without any\sign of improvement in sight.\What was that?!\That is enough! response:	The harvest was most bountiful!
context: I fulfilled my mission!\It's your own fault if you didn't get the results you wanted!\Really, now?\Your battles are always monotonous, without any\sign of improvement in sight.\What was that?!\That is enough!\The harvest was most bountiful! response:	Legatus Dolgana,
context: It's your own fault if you didn't get the results you wanted!\Really, now?\Your battles are always monotonous, without any\sign of improvement in sight.\What was that?!\That is enough!\The harvest was most bountiful!\Legatus Dolgana, response:	is it true that there was a
context: Really, now?\Your battles are always monotonous, without any\sign of improvement in sight.\What was that?!\That is enough!\The harvest was most bountiful!\Legatus Dolgana,\is it true that there was a response:	particularly exceptional fighter amongst these lamata?
context: Your battles are always monotonous, without any\sign of improvement in sight.\What was that?!\That is enough!\The harvest was most bountiful!\Legatus Dolgana,\is it true that there was a\particularly exceptional fighter amongst these lamata? response:	The news of this finding has reached me as well.
context: sign of improvement in sight.\What was that?!\That is enough!\The harvest was most bountiful!\Legatus Dolgana,\is it true that there was a\particularly exceptional fighter amongst these lamata?\The news of this finding has reached me as well. response:	I have heard that Pleguzes Jiart
context: What was that?!\That is enough!\The harvest was most bountiful!\Legatus Dolgana,\is it true that there was a\particularly exceptional fighter amongst these lamata?\The news of this finding has reached me as well.\I have heard that Pleguzes Jiart response:	brought back information pertaining to that prey.
context: That is enough!\The harvest was most bountiful!\Legatus Dolgana,\is it true that there was a\particularly exceptional fighter amongst these lamata?\The news of this finding has reached me as well.\I have heard that Pleguzes Jiart\brought back information pertaining to that prey. response:	Do you know any further detail on the matter?
context: The harvest was most bountiful!\Legatus Dolgana,\is it true that there was a\particularly exceptional fighter amongst these lamata?\The news of this finding has reached me as well.\I have heard that Pleguzes Jiart\brought back information pertaining to that prey.\Do you know any further detail on the matter? response:	Really, I wonder what that man is thinking!
context: Legatus Dolgana,\is it true that there was a\particularly exceptional fighter amongst these lamata?\The news of this finding has reached me as well.\I have heard that Pleguzes Jiart\brought back information pertaining to that prey.\Do you know any further detail on the matter?\Really, I wonder what that man is thinking! response:	If he knows something, I wish he could hurry up
context: is it true that there was a\particularly exceptional fighter amongst these lamata?\The news of this finding has reached me as well.\I have heard that Pleguzes Jiart\brought back information pertaining to that prey.\Do you know any further detail on the matter?\Really, I wonder what that man is thinking!\If he knows something, I wish he could hurry up response:	and share it with the rest of us!
context: particularly exceptional fighter amongst these lamata?\The news of this finding has reached me as well.\I have heard that Pleguzes Jiart\brought back information pertaining to that prey.\Do you know any further detail on the matter?\Really, I wonder what that man is thinking!\If he knows something, I wish he could hurry up\and share it with the rest of us! response:	I can't stand that man's attitude...
context: The news of this finding has reached me as well.\I have heard that Pleguzes Jiart\brought back information pertaining to that prey.\Do you know any further detail on the matter?\Really, I wonder what that man is thinking!\If he knows something, I wish he could hurry up\and share it with the rest of us!\I can't stand that man's attitude... response:	Is there a problem?
context: I have heard that Pleguzes Jiart\brought back information pertaining to that prey.\Do you know any further detail on the matter?\Really, I wonder what that man is thinking!\If he knows something, I wish he could hurry up\and share it with the rest of us!\I can't stand that man's attitude...\Is there a problem? response:	It sounded as though you were talking about me.
context: brought back information pertaining to that prey.\Do you know any further detail on the matter?\Really, I wonder what that man is thinking!\If he knows something, I wish he could hurry up\and share it with the rest of us!\I can't stand that man's attitude...\Is there a problem?\It sounded as though you were talking about me. response:	Hardly! I was merely saying that I am eager
context: Do you know any further detail on the matter?\Really, I wonder what that man is thinking!\If he knows something, I wish he could hurry up\and share it with the rest of us!\I can't stand that man's attitude...\Is there a problem?\It sounded as though you were talking about me.\Hardly! I was merely saying that I am eager response:	to see the lamata you picked out, Pleguzes!
context: Really, I wonder what that man is thinking!\If he knows something, I wish he could hurry up\and share it with the rest of us!\I can't stand that man's attitude...\Is there a problem?\It sounded as though you were talking about me.\Hardly! I was merely saying that I am eager\to see the lamata you picked out, Pleguzes! response:	We are all aware of how you are a true master of the shikaara!
context: If he knows something, I wish he could hurry up\and share it with the rest of us!\I can't stand that man's attitude...\Is there a problem?\It sounded as though you were talking about me.\Hardly! I was merely saying that I am eager\to see the lamata you picked out, Pleguzes!\We are all aware of how you are a true master of the shikaara! response:	Alas, even I miss my target on occasion.
context: and share it with the rest of us!\I can't stand that man's attitude...\Is there a problem?\It sounded as though you were talking about me.\Hardly! I was merely saying that I am eager\to see the lamata you picked out, Pleguzes!\We are all aware of how you are a true master of the shikaara!\Alas, even I miss my target on occasion. response:	I may stab my allies in the back by mistake while on the hunting grounds.
