context: Loss response:	You're reassigning me as an instructor?
context: February 4, 86 GC.\Our units engaged what we believe to be an\armed Wulgaru recon force near FRB-1011.\That's right. We've been left in the dark, ever since then...\They came out of nowhere, striking Earth's frontier development base.\The armies stationed around the outer planets were dispatched immediately.\Thus began Earth's first war in outer space.\We believe the Wulgaru armada is composed of 1 massive mother ship, response:	5 large carriers, 800 space-faring vessels and 3,000 mobile fighters.
context: Our units engaged what we believe to be an\armed Wulgaru recon force near FRB-1011.\That's right. We've been left in the dark, ever since then...\They came out of nowhere, striking Earth's frontier development base.\The armies stationed around the outer planets were dispatched immediately.\Thus began Earth's first war in outer space.\We believe the Wulgaru armada is composed of 1 massive mother ship,\5 large carriers, 800 space-faring vessels and 3,000 mobile fighters. response:	Our combined global forces include 15 million soldiers,
context: armed Wulgaru recon force near FRB-1011.\That's right. We've been left in the dark, ever since then...\They came out of nowhere, striking Earth's frontier development base.\The armies stationed around the outer planets were dispatched immediately.\Thus began Earth's first war in outer space.\We believe the Wulgaru armada is composed of 1 massive mother ship,\5 large carriers, 800 space-faring vessels and 3,000 mobile fighters.\Our combined global forces include 15 million soldiers, response:	3,500 space-faring vessels and 20,000 mobile fighters.
context: That's right. We've been left in the dark, ever since then...\They came out of nowhere, striking Earth's frontier development base.\The armies stationed around the outer planets were dispatched immediately.\Thus began Earth's first war in outer space.\We believe the Wulgaru armada is composed of 1 massive mother ship,\5 large carriers, 800 space-faring vessels and 3,000 mobile fighters.\Our combined global forces include 15 million soldiers,\3,500 space-faring vessels and 20,000 mobile fighters. response:	Despite vastly superior numbers,
context: They came out of nowhere, striking Earth's frontier development base.\The armies stationed around the outer planets were dispatched immediately.\Thus began Earth's first war in outer space.\We believe the Wulgaru armada is composed of 1 massive mother ship,\5 large carriers, 800 space-faring vessels and 3,000 mobile fighters.\Our combined global forces include 15 million soldiers,\3,500 space-faring vessels and 20,000 mobile fighters.\Despite vastly superior numbers, response:	our results in battle have been dismal as we gradually pull back.
context: The armies stationed around the outer planets were dispatched immediately.\Thus began Earth's first war in outer space.\We believe the Wulgaru armada is composed of 1 massive mother ship,\5 large carriers, 800 space-faring vessels and 3,000 mobile fighters.\Our combined global forces include 15 million soldiers,\3,500 space-faring vessels and 20,000 mobile fighters.\Despite vastly superior numbers,\our results in battle have been dismal as we gradually pull back. response:	At this rate, even the most favorable calculations
context: Thus began Earth's first war in outer space.\We believe the Wulgaru armada is composed of 1 massive mother ship,\5 large carriers, 800 space-faring vessels and 3,000 mobile fighters.\Our combined global forces include 15 million soldiers,\3,500 space-faring vessels and 20,000 mobile fighters.\Despite vastly superior numbers,\our results in battle have been dismal as we gradually pull back.\At this rate, even the most favorable calculations response:	show them reaching Earth in...
context: We believe the Wulgaru armada is composed of 1 massive mother ship,\5 large carriers, 800 space-faring vessels and 3,000 mobile fighters.\Our combined global forces include 15 million soldiers,\3,500 space-faring vessels and 20,000 mobile fighters.\Despite vastly superior numbers,\our results in battle have been dismal as we gradually pull back.\At this rate, even the most favorable calculations\show them reaching Earth in... response:	Isn't this stuff awesome?
context: 5 large carriers, 800 space-faring vessels and 3,000 mobile fighters.\Our combined global forces include 15 million soldiers,\3,500 space-faring vessels and 20,000 mobile fighters.\Despite vastly superior numbers,\our results in battle have been dismal as we gradually pull back.\At this rate, even the most favorable calculations\show them reaching Earth in...\Isn't this stuff awesome? response:	It has a rich fragrance and a refreshing zing.
context: Our combined global forces include 15 million soldiers,\3,500 space-faring vessels and 20,000 mobile fighters.\Despite vastly superior numbers,\our results in battle have been dismal as we gradually pull back.\At this rate, even the most favorable calculations\show them reaching Earth in...\Isn't this stuff awesome?\It has a rich fragrance and a refreshing zing. response:	Not to mention the delicious fruity taste that explodes in your mouth!
context: 3,500 space-faring vessels and 20,000 mobile fighters.\Despite vastly superior numbers,\our results in battle have been dismal as we gradually pull back.\At this rate, even the most favorable calculations\show them reaching Earth in...\Isn't this stuff awesome?\It has a rich fragrance and a refreshing zing.\Not to mention the delicious fruity taste that explodes in your mouth! response:	Hey, stop right there!
context: Despite vastly superior numbers,\our results in battle have been dismal as we gradually pull back.\At this rate, even the most favorable calculations\show them reaching Earth in...\Isn't this stuff awesome?\It has a rich fragrance and a refreshing zing.\Not to mention the delicious fruity taste that explodes in your mouth!\Hey, stop right there! response:	S-sorry...
context: our results in battle have been dismal as we gradually pull back.\At this rate, even the most favorable calculations\show them reaching Earth in...\Isn't this stuff awesome?\It has a rich fragrance and a refreshing zing.\Not to mention the delicious fruity taste that explodes in your mouth!\Hey, stop right there!\S-sorry... response:	I swear, you're putting perfectly good sake to waste!
context: At this rate, even the most favorable calculations\show them reaching Earth in...\Isn't this stuff awesome?\It has a rich fragrance and a refreshing zing.\Not to mention the delicious fruity taste that explodes in your mouth!\Hey, stop right there!\S-sorry...\I swear, you're putting perfectly good sake to waste! response:	Y'know...
context: show them reaching Earth in...\Isn't this stuff awesome?\It has a rich fragrance and a refreshing zing.\Not to mention the delicious fruity taste that explodes in your mouth!\Hey, stop right there!\S-sorry...\I swear, you're putting perfectly good sake to waste!\Y'know... response:	So like, what do you think's gonna happen to us?
context: Isn't this stuff awesome?\It has a rich fragrance and a refreshing zing.\Not to mention the delicious fruity taste that explodes in your mouth!\Hey, stop right there!\S-sorry...\I swear, you're putting perfectly good sake to waste!\Y'know...\So like, what do you think's gonna happen to us? response:	In this battle, I mean...
context: It has a rich fragrance and a refreshing zing.\Not to mention the delicious fruity taste that explodes in your mouth!\Hey, stop right there!\S-sorry...\I swear, you're putting perfectly good sake to waste!\Y'know...\So like, what do you think's gonna happen to us?\In this battle, I mean... response:	Rin-Rin!
context: Not to mention the delicious fruity taste that explodes in your mouth!\Hey, stop right there!\S-sorry...\I swear, you're putting perfectly good sake to waste!\Y'know...\So like, what do you think's gonna happen to us?\In this battle, I mean...\Rin-Rin! response:	No matter how much we outnumber them,
context: Hey, stop right there!\S-sorry...\I swear, you're putting perfectly good sake to waste!\Y'know...\So like, what do you think's gonna happen to us?\In this battle, I mean...\Rin-Rin!\No matter how much we outnumber them, response:	their technology is far superior to our own...
context: S-sorry...\I swear, you're putting perfectly good sake to waste!\Y'know...\So like, what do you think's gonna happen to us?\In this battle, I mean...\Rin-Rin!\No matter how much we outnumber them,\their technology is far superior to our own... response:	That may be the case, but...
context: I swear, you're putting perfectly good sake to waste!\Y'know...\So like, what do you think's gonna happen to us?\In this battle, I mean...\Rin-Rin!\No matter how much we outnumber them,\their technology is far superior to our own...\That may be the case, but... response:	Even if we sent a bunch of men after them,
context: Y'know...\So like, what do you think's gonna happen to us?\In this battle, I mean...\Rin-Rin!\No matter how much we outnumber them,\their technology is far superior to our own...\That may be the case, but...\Even if we sent a bunch of men after them, response:	they can easily counter the attack with a handful of cutting-edge units.
context: So like, what do you think's gonna happen to us?\In this battle, I mean...\Rin-Rin!\No matter how much we outnumber them,\their technology is far superior to our own...\That may be the case, but...\Even if we sent a bunch of men after them,\they can easily counter the attack with a handful of cutting-edge units. response:	Oh, my, my...
context: In this battle, I mean...\Rin-Rin!\No matter how much we outnumber them,\their technology is far superior to our own...\That may be the case, but...\Even if we sent a bunch of men after them,\they can easily counter the attack with a handful of cutting-edge units.\Oh, my, my... response:	They swoop in and then swoop right back out,
context: Rin-Rin!\No matter how much we outnumber them,\their technology is far superior to our own...\That may be the case, but...\Even if we sent a bunch of men after them,\they can easily counter the attack with a handful of cutting-edge units.\Oh, my, my...\They swoop in and then swoop right back out, response:	so they've suffered surprisingly few losses.
context: No matter how much we outnumber them,\their technology is far superior to our own...\That may be the case, but...\Even if we sent a bunch of men after them,\they can easily counter the attack with a handful of cutting-edge units.\Oh, my, my...\They swoop in and then swoop right back out,\so they've suffered surprisingly few losses. response:	Too many peanuts overwhelm the persimmon seeds!
context: their technology is far superior to our own...\That may be the case, but...\Even if we sent a bunch of men after them,\they can easily counter the attack with a handful of cutting-edge units.\Oh, my, my...\They swoop in and then swoop right back out,\so they've suffered surprisingly few losses.\Too many peanuts overwhelm the persimmon seeds! response:	This isn't about persimmon seeds!
context: That may be the case, but...\Even if we sent a bunch of men after them,\they can easily counter the attack with a handful of cutting-edge units.\Oh, my, my...\They swoop in and then swoop right back out,\so they've suffered surprisingly few losses.\Too many peanuts overwhelm the persimmon seeds!\This isn't about persimmon seeds! response:	Then what are you talking about?
context: Even if we sent a bunch of men after them,\they can easily counter the attack with a handful of cutting-edge units.\Oh, my, my...\They swoop in and then swoop right back out,\so they've suffered surprisingly few losses.\Too many peanuts overwhelm the persimmon seeds!\This isn't about persimmon seeds!\Then what are you talking about? response:	Hey! Don't take that attitude with me!
context: they can easily counter the attack with a handful of cutting-edge units.\Oh, my, my...\They swoop in and then swoop right back out,\so they've suffered surprisingly few losses.\Too many peanuts overwhelm the persimmon seeds!\This isn't about persimmon seeds!\Then what are you talking about?\Hey! Don't take that attitude with me! response:	See, I almost gave up...
context: Oh, my, my...\They swoop in and then swoop right back out,\so they've suffered surprisingly few losses.\Too many peanuts overwhelm the persimmon seeds!\This isn't about persimmon seeds!\Then what are you talking about?\Hey! Don't take that attitude with me!\See, I almost gave up... response:	I almost gave up on Red 5.
context: They swoop in and then swoop right back out,\so they've suffered surprisingly few losses.\Too many peanuts overwhelm the persimmon seeds!\This isn't about persimmon seeds!\Then what are you talking about?\Hey! Don't take that attitude with me!\See, I almost gave up...\I almost gave up on Red 5. response:	Rin-Rin!
context: so they've suffered surprisingly few losses.\Too many peanuts overwhelm the persimmon seeds!\This isn't about persimmon seeds!\Then what are you talking about?\Hey! Don't take that attitude with me!\See, I almost gave up...\I almost gave up on Red 5.\Rin-Rin! response:	I'm not... supposed to give up on my own students!
context: Too many peanuts overwhelm the persimmon seeds!\This isn't about persimmon seeds!\Then what are you talking about?\Hey! Don't take that attitude with me!\See, I almost gave up...\I almost gave up on Red 5.\Rin-Rin!\I'm not... supposed to give up on my own students! response:	I'm not supposed to lose hope!
context: This isn't about persimmon seeds!\Then what are you talking about?\Hey! Don't take that attitude with me!\See, I almost gave up...\I almost gave up on Red 5.\Rin-Rin!\I'm not... supposed to give up on my own students!\I'm not supposed to lose hope! response:	Aw, jeez...
context: Then what are you talking about?\Hey! Don't take that attitude with me!\See, I almost gave up...\I almost gave up on Red 5.\Rin-Rin!\I'm not... supposed to give up on my own students!\I'm not supposed to lose hope!\Aw, jeez... response:	Damn, you're a crying drunk...
context: Hey! Don't take that attitude with me!\See, I almost gave up...\I almost gave up on Red 5.\Rin-Rin!\I'm not... supposed to give up on my own students!\I'm not supposed to lose hope!\Aw, jeez...\Damn, you're a crying drunk... response:	Tamaki, go to your room if you're gonna sleep.
context: See, I almost gave up...\I almost gave up on Red 5.\Rin-Rin!\I'm not... supposed to give up on my own students!\I'm not supposed to lose hope!\Aw, jeez...\Damn, you're a crying drunk...\Tamaki, go to your room if you're gonna sleep. response:	No! I'm staying here.
context: I almost gave up on Red 5.\Rin-Rin!\I'm not... supposed to give up on my own students!\I'm not supposed to lose hope!\Aw, jeez...\Damn, you're a crying drunk...\Tamaki, go to your room if you're gonna sleep.\No! I'm staying here. response:	More antacids?
context: Rin-Rin!\I'm not... supposed to give up on my own students!\I'm not supposed to lose hope!\Aw, jeez...\Damn, you're a crying drunk...\Tamaki, go to your room if you're gonna sleep.\No! I'm staying here.\More antacids? response:	Isn't it only natural to get an upset stomach after a battle like that?
context: I'm not... supposed to give up on my own students!\I'm not supposed to lose hope!\Aw, jeez...\Damn, you're a crying drunk...\Tamaki, go to your room if you're gonna sleep.\No! I'm staying here.\More antacids?\Isn't it only natural to get an upset stomach after a battle like that? response:	I'm amazed you guys don't have ulcers.
context: I'm not supposed to lose hope!\Aw, jeez...\Damn, you're a crying drunk...\Tamaki, go to your room if you're gonna sleep.\No! I'm staying here.\More antacids?\Isn't it only natural to get an upset stomach after a battle like that?\I'm amazed you guys don't have ulcers. response:	It's just a matter of time before you form a hole in your gut.
context: Aw, jeez...\Damn, you're a crying drunk...\Tamaki, go to your room if you're gonna sleep.\No! I'm staying here.\More antacids?\Isn't it only natural to get an upset stomach after a battle like that?\I'm amazed you guys don't have ulcers.\It's just a matter of time before you form a hole in your gut. response:	Shut it!
context: Damn, you're a crying drunk...\Tamaki, go to your room if you're gonna sleep.\No! I'm staying here.\More antacids?\Isn't it only natural to get an upset stomach after a battle like that?\I'm amazed you guys don't have ulcers.\It's just a matter of time before you form a hole in your gut.\Shut it! response:	It'd be nice if there was something we could do to help relax...
context: Tamaki, go to your room if you're gonna sleep.\No! I'm staying here.\More antacids?\Isn't it only natural to get an upset stomach after a battle like that?\I'm amazed you guys don't have ulcers.\It's just a matter of time before you form a hole in your gut.\Shut it!\It'd be nice if there was something we could do to help relax... response:	She's crashing in three, two, one!
context: No! I'm staying here.\More antacids?\Isn't it only natural to get an upset stomach after a battle like that?\I'm amazed you guys don't have ulcers.\It's just a matter of time before you form a hole in your gut.\Shut it!\It'd be nice if there was something we could do to help relax...\She's crashing in three, two, one! response:	Hey!
context: More antacids?\Isn't it only natural to get an upset stomach after a battle like that?\I'm amazed you guys don't have ulcers.\It's just a matter of time before you form a hole in your gut.\Shut it!\It'd be nice if there was something we could do to help relax...\She's crashing in three, two, one!\Hey! response:	Huggie!
context: Isn't it only natural to get an upset stomach after a battle like that?\I'm amazed you guys don't have ulcers.\It's just a matter of time before you form a hole in your gut.\Shut it!\It'd be nice if there was something we could do to help relax...\She's crashing in three, two, one!\Hey!\Huggie! response:	T-Tamaki?!
context: I'm amazed you guys don't have ulcers.\It's just a matter of time before you form a hole in your gut.\Shut it!\It'd be nice if there was something we could do to help relax...\She's crashing in three, two, one!\Hey!\Huggie!\T-Tamaki?! response:	She's just like a baby.
context: It's just a matter of time before you form a hole in your gut.\Shut it!\It'd be nice if there was something we could do to help relax...\She's crashing in three, two, one!\Hey!\Huggie!\T-Tamaki?!\She's just like a baby. response:	Sometimes, I have dreams.
context: Shut it!\It'd be nice if there was something we could do to help relax...\She's crashing in three, two, one!\Hey!\Huggie!\T-Tamaki?!\She's just like a baby.\Sometimes, I have dreams. response:	Of what?
context: It'd be nice if there was something we could do to help relax...\She's crashing in three, two, one!\Hey!\Huggie!\T-Tamaki?!\She's just like a baby.\Sometimes, I have dreams.\Of what? response:	I dream that I'm a baby and someone is holding me.
context: She's crashing in three, two, one!\Hey!\Huggie!\T-Tamaki?!\She's just like a baby.\Sometimes, I have dreams.\Of what?\I dream that I'm a baby and someone is holding me. response:	When I close my eyes, someone gently pats me on the back.
context: Hey!\Huggie!\T-Tamaki?!\She's just like a baby.\Sometimes, I have dreams.\Of what?\I dream that I'm a baby and someone is holding me.\When I close my eyes, someone gently pats me on the back. response:	But that's just a dream, right?
context: Huggie!\T-Tamaki?!\She's just like a baby.\Sometimes, I have dreams.\Of what?\I dream that I'm a baby and someone is holding me.\When I close my eyes, someone gently pats me on the back.\But that's just a dream, right? response:	Yeah, but I'm sure someone cared for me like that once.
context: T-Tamaki?!\She's just like a baby.\Sometimes, I have dreams.\Of what?\I dream that I'm a baby and someone is holding me.\When I close my eyes, someone gently pats me on the back.\But that's just a dream, right?\Yeah, but I'm sure someone cared for me like that once. response:	I just don't remember it.
context: She's just like a baby.\Sometimes, I have dreams.\Of what?\I dream that I'm a baby and someone is holding me.\When I close my eyes, someone gently pats me on the back.\But that's just a dream, right?\Yeah, but I'm sure someone cared for me like that once.\I just don't remember it. response:	Say, didn't you think we were going to die back there?
context: Sometimes, I have dreams.\Of what?\I dream that I'm a baby and someone is holding me.\When I close my eyes, someone gently pats me on the back.\But that's just a dream, right?\Yeah, but I'm sure someone cared for me like that once.\I just don't remember it.\Say, didn't you think we were going to die back there? response:	Yeah...
context: Of what?\I dream that I'm a baby and someone is holding me.\When I close my eyes, someone gently pats me on the back.\But that's just a dream, right?\Yeah, but I'm sure someone cared for me like that once.\I just don't remember it.\Say, didn't you think we were going to die back there?\Yeah... response:	When I die, do you think they'll inform the people
context: I dream that I'm a baby and someone is holding me.\When I close my eyes, someone gently pats me on the back.\But that's just a dream, right?\Yeah, but I'm sure someone cared for me like that once.\I just don't remember it.\Say, didn't you think we were going to die back there?\Yeah...\When I die, do you think they'll inform the people response:	who used to pat my back?
context: When I close my eyes, someone gently pats me on the back.\But that's just a dream, right?\Yeah, but I'm sure someone cared for me like that once.\I just don't remember it.\Say, didn't you think we were going to die back there?\Yeah...\When I die, do you think they'll inform the people\who used to pat my back? response:	It's doubtful.
context: But that's just a dream, right?\Yeah, but I'm sure someone cared for me like that once.\I just don't remember it.\Say, didn't you think we were going to die back there?\Yeah...\When I die, do you think they'll inform the people\who used to pat my back?\It's doubtful. response:	Dang, you're cold!
context: Yeah, but I'm sure someone cared for me like that once.\I just don't remember it.\Say, didn't you think we were going to die back there?\Yeah...\When I die, do you think they'll inform the people\who used to pat my back?\It's doubtful.\Dang, you're cold! response:	Gosh darn it!
context: I just don't remember it.\Say, didn't you think we were going to die back there?\Yeah...\When I die, do you think they'll inform the people\who used to pat my back?\It's doubtful.\Dang, you're cold!\Gosh darn it! response:	NaIve dudes like you are insensitive to another's naIve beliefs!
context: Say, didn't you think we were going to die back there?\Yeah...\When I die, do you think they'll inform the people\who used to pat my back?\It's doubtful.\Dang, you're cold!\Gosh darn it!\NaIve dudes like you are insensitive to another's naIve beliefs! response:	What was that?!
context: Yeah...\When I die, do you think they'll inform the people\who used to pat my back?\It's doubtful.\Dang, you're cold!\Gosh darn it!\NaIve dudes like you are insensitive to another's naIve beliefs!\What was that?! response:	Knock it off!
context: When I die, do you think they'll inform the people\who used to pat my back?\It's doubtful.\Dang, you're cold!\Gosh darn it!\NaIve dudes like you are insensitive to another's naIve beliefs!\What was that?!\Knock it off! response:	Yeah. Let's head back to our own rooms.
context: who used to pat my back?\It's doubtful.\Dang, you're cold!\Gosh darn it!\NaIve dudes like you are insensitive to another's naIve beliefs!\What was that?!\Knock it off!\Yeah. Let's head back to our own rooms. response:	Do something about Tamaki before you go.
context: It's doubtful.\Dang, you're cold!\Gosh darn it!\NaIve dudes like you are insensitive to another's naIve beliefs!\What was that?!\Knock it off!\Yeah. Let's head back to our own rooms.\Do something about Tamaki before you go. response:	Hey, Leader. Carry the girl.
context: Dang, you're cold!\Gosh darn it!\NaIve dudes like you are insensitive to another's naIve beliefs!\What was that?!\Knock it off!\Yeah. Let's head back to our own rooms.\Do something about Tamaki before you go.\Hey, Leader. Carry the girl. response:	He's drawing again?
context: Gosh darn it!\NaIve dudes like you are insensitive to another's naIve beliefs!\What was that?!\Knock it off!\Yeah. Let's head back to our own rooms.\Do something about Tamaki before you go.\Hey, Leader. Carry the girl.\He's drawing again? response:	That's like a tranquilizer for Izuru.
context: NaIve dudes like you are insensitive to another's naIve beliefs!\What was that?!\Knock it off!\Yeah. Let's head back to our own rooms.\Do something about Tamaki before you go.\Hey, Leader. Carry the girl.\He's drawing again?\That's like a tranquilizer for Izuru. response:	But Izuru tried to protect Tamaki, all on his own.
context: What was that?!\Knock it off!\Yeah. Let's head back to our own rooms.\Do something about Tamaki before you go.\Hey, Leader. Carry the girl.\He's drawing again?\That's like a tranquilizer for Izuru.\But Izuru tried to protect Tamaki, all on his own. response:	How do you feel?
context: Knock it off!\Yeah. Let's head back to our own rooms.\Do something about Tamaki before you go.\Hey, Leader. Carry the girl.\He's drawing again?\That's like a tranquilizer for Izuru.\But Izuru tried to protect Tamaki, all on his own.\How do you feel? response:	I am fine.
context: Yeah. Let's head back to our own rooms.\Do something about Tamaki before you go.\Hey, Leader. Carry the girl.\He's drawing again?\That's like a tranquilizer for Izuru.\But Izuru tried to protect Tamaki, all on his own.\How do you feel?\I am fine. response:	What is that?
context: Do something about Tamaki before you go.\Hey, Leader. Carry the girl.\He's drawing again?\That's like a tranquilizer for Izuru.\But Izuru tried to protect Tamaki, all on his own.\How do you feel?\I am fine.\What is that? response:	Supposedly it is called a picture book.
context: Hey, Leader. Carry the girl.\He's drawing again?\That's like a tranquilizer for Izuru.\But Izuru tried to protect Tamaki, all on his own.\How do you feel?\I am fine.\What is that?\Supposedly it is called a picture book. response:	Pictures are drawn to match the story.
context: He's drawing again?\That's like a tranquilizer for Izuru.\But Izuru tried to protect Tamaki, all on his own.\How do you feel?\I am fine.\What is that?\Supposedly it is called a picture book.\Pictures are drawn to match the story. response:	I cannot comprehend such books.
context: That's like a tranquilizer for Izuru.\But Izuru tried to protect Tamaki, all on his own.\How do you feel?\I am fine.\What is that?\Supposedly it is called a picture book.\Pictures are drawn to match the story.\I cannot comprehend such books. response:	How could anything save the truth hold any value?
context: But Izuru tried to protect Tamaki, all on his own.\How do you feel?\I am fine.\What is that?\Supposedly it is called a picture book.\Pictures are drawn to match the story.\I cannot comprehend such books.\How could anything save the truth hold any value? response:	I do not understand, myself.
context: How do you feel?\I am fine.\What is that?\Supposedly it is called a picture book.\Pictures are drawn to match the story.\I cannot comprehend such books.\How could anything save the truth hold any value?\I do not understand, myself. response:	But they may be unable
context: I am fine.\What is that?\Supposedly it is called a picture book.\Pictures are drawn to match the story.\I cannot comprehend such books.\How could anything save the truth hold any value?\I do not understand, myself.\But they may be unable response:	to understand us just as we fail to understand them.
context: What is that?\Supposedly it is called a picture book.\Pictures are drawn to match the story.\I cannot comprehend such books.\How could anything save the truth hold any value?\I do not understand, myself.\But they may be unable\to understand us just as we fail to understand them. response:	Auron Taul has spoken! Open the gate!
context: Supposedly it is called a picture book.\Pictures are drawn to match the story.\I cannot comprehend such books.\How could anything save the truth hold any value?\I do not understand, myself.\But they may be unable\to understand us just as we fail to understand them.\Auron Taul has spoken! Open the gate! response:	Is fighting the only option for those who cannot understand one another?
context: Pictures are drawn to match the story.\I cannot comprehend such books.\How could anything save the truth hold any value?\I do not understand, myself.\But they may be unable\to understand us just as we fail to understand them.\Auron Taul has spoken! Open the gate!\Is fighting the only option for those who cannot understand one another? response:	Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy.
context: I cannot comprehend such books.\How could anything save the truth hold any value?\I do not understand, myself.\But they may be unable\to understand us just as we fail to understand them.\Auron Taul has spoken! Open the gate!\Is fighting the only option for those who cannot understand one another?\Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy. response:	Roger!
context: How could anything save the truth hold any value?\I do not understand, myself.\But they may be unable\to understand us just as we fail to understand them.\Auron Taul has spoken! Open the gate!\Is fighting the only option for those who cannot understand one another?\Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy.\Roger! response:	We're taking the AHSMB units back to HQ, where we'll fix them right up.
context: I do not understand, myself.\But they may be unable\to understand us just as we fail to understand them.\Auron Taul has spoken! Open the gate!\Is fighting the only option for those who cannot understand one another?\Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy.\Roger!\We're taking the AHSMB units back to HQ, where we'll fix them right up. response:	Please take me with you, too!
context: But they may be unable\to understand us just as we fail to understand them.\Auron Taul has spoken! Open the gate!\Is fighting the only option for those who cannot understand one another?\Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy.\Roger!\We're taking the AHSMB units back to HQ, where we'll fix them right up.\Please take me with you, too! response:	And one more thing.
context: to understand us just as we fail to understand them.\Auron Taul has spoken! Open the gate!\Is fighting the only option for those who cannot understand one another?\Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy.\Roger!\We're taking the AHSMB units back to HQ, where we'll fix them right up.\Please take me with you, too!\And one more thing. response:	Look after Rin-Rin for me.
context: Auron Taul has spoken! Open the gate!\Is fighting the only option for those who cannot understand one another?\Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy.\Roger!\We're taking the AHSMB units back to HQ, where we'll fix them right up.\Please take me with you, too!\And one more thing.\Look after Rin-Rin for me. response:	I-I'm just fine!
context: Is fighting the only option for those who cannot understand one another?\Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy.\Roger!\We're taking the AHSMB units back to HQ, where we'll fix them right up.\Please take me with you, too!\And one more thing.\Look after Rin-Rin for me.\I-I'm just fine! response:	You just had a wee bit too much to drink. Right, Rin-Rin?
context: Team Rabbits will hereby return to Gurantseere Cosmopolitan Academy.\Roger!\We're taking the AHSMB units back to HQ, where we'll fix them right up.\Please take me with you, too!\And one more thing.\Look after Rin-Rin for me.\I-I'm just fine!\You just had a wee bit too much to drink. Right, Rin-Rin? response:	Don't say that in front of my students!
context: Roger!\We're taking the AHSMB units back to HQ, where we'll fix them right up.\Please take me with you, too!\And one more thing.\Look after Rin-Rin for me.\I-I'm just fine!\You just had a wee bit too much to drink. Right, Rin-Rin?\Don't say that in front of my students! response:	I wanna call you Rin-Rin!
context: We're taking the AHSMB units back to HQ, where we'll fix them right up.\Please take me with you, too!\And one more thing.\Look after Rin-Rin for me.\I-I'm just fine!\You just had a wee bit too much to drink. Right, Rin-Rin?\Don't say that in front of my students!\I wanna call you Rin-Rin! response:	Watch it!
context: Please take me with you, too!\And one more thing.\Look after Rin-Rin for me.\I-I'm just fine!\You just had a wee bit too much to drink. Right, Rin-Rin?\Don't say that in front of my students!\I wanna call you Rin-Rin!\Watch it! response:	Why do you call her Rin-Rin?
context: And one more thing.\Look after Rin-Rin for me.\I-I'm just fine!\You just had a wee bit too much to drink. Right, Rin-Rin?\Don't say that in front of my students!\I wanna call you Rin-Rin!\Watch it!\Why do you call her Rin-Rin? response:	We're childhood friends.
context: Look after Rin-Rin for me.\I-I'm just fine!\You just had a wee bit too much to drink. Right, Rin-Rin?\Don't say that in front of my students!\I wanna call you Rin-Rin!\Watch it!\Why do you call her Rin-Rin?\We're childhood friends. response:	Reika! We're childhood friends.
context: I-I'm just fine!\You just had a wee bit too much to drink. Right, Rin-Rin?\Don't say that in front of my students!\I wanna call you Rin-Rin!\Watch it!\Why do you call her Rin-Rin?\We're childhood friends.\Reika! We're childhood friends. response:	I've been calling her that since elementary school.
context: You just had a wee bit too much to drink. Right, Rin-Rin?\Don't say that in front of my students!\I wanna call you Rin-Rin!\Watch it!\Why do you call her Rin-Rin?\We're childhood friends.\Reika! We're childhood friends.\I've been calling her that since elementary school. response:	We went to different schools after that,
context: Don't say that in front of my students!\I wanna call you Rin-Rin!\Watch it!\Why do you call her Rin-Rin?\We're childhood friends.\Reika! We're childhood friends.\I've been calling her that since elementary school.\We went to different schools after that, response:	but then we met up again at the military academy, remember?
context: I wanna call you Rin-Rin!\Watch it!\Why do you call her Rin-Rin?\We're childhood friends.\Reika! We're childhood friends.\I've been calling her that since elementary school.\We went to different schools after that,\but then we met up again at the military academy, remember? response:	Childhood friends...
context: Watch it!\Why do you call her Rin-Rin?\We're childhood friends.\Reika! We're childhood friends.\I've been calling her that since elementary school.\We went to different schools after that,\but then we met up again at the military academy, remember?\Childhood friends... response:	I like that backstory!
context: Why do you call her Rin-Rin?\We're childhood friends.\Reika! We're childhood friends.\I've been calling her that since elementary school.\We went to different schools after that,\but then we met up again at the military academy, remember?\Childhood friends...\I like that backstory! response:	This isn't a manga!
context: We're childhood friends.\Reika! We're childhood friends.\I've been calling her that since elementary school.\We went to different schools after that,\but then we met up again at the military academy, remember?\Childhood friends...\I like that backstory!\This isn't a manga! response:	I wonder what it must be like to have a childhood friend.
context: Reika! We're childhood friends.\I've been calling her that since elementary school.\We went to different schools after that,\but then we met up again at the military academy, remember?\Childhood friends...\I like that backstory!\This isn't a manga!\I wonder what it must be like to have a childhood friend. response:	Quit going on about that!
context: I've been calling her that since elementary school.\We went to different schools after that,\but then we met up again at the military academy, remember?\Childhood friends...\I like that backstory!\This isn't a manga!\I wonder what it must be like to have a childhood friend.\Quit going on about that! response:	We'll reach the ground momentarily.
context: We went to different schools after that,\but then we met up again at the military academy, remember?\Childhood friends...\I like that backstory!\This isn't a manga!\I wonder what it must be like to have a childhood friend.\Quit going on about that!\We'll reach the ground momentarily. response:	Rin-Rin, see ya later!
