context: Hey! We need more over here. response:	Right away!
context: Oh, that's not possible.\We also asked for help,\but no one can help since it's before the festival.\You're kidding...\The Madam Manager said that\we have to do everything the way we used to\for the Bonbori Festival.\That was part of the promise. response:	That's just impossible!
context: We also asked for help,\but no one can help since it's before the festival.\You're kidding...\The Madam Manager said that\we have to do everything the way we used to\for the Bonbori Festival.\That was part of the promise.\That's just impossible! response:	We'll have to beg her.
context: but no one can help since it's before the festival.\You're kidding...\The Madam Manager said that\we have to do everything the way we used to\for the Bonbori Festival.\That was part of the promise.\That's just impossible!\We'll have to beg her. response:	We can get by if we use the new way.
context: You're kidding...\The Madam Manager said that\we have to do everything the way we used to\for the Bonbori Festival.\That was part of the promise.\That's just impossible!\We'll have to beg her.\We can get by if we use the new way. response:	I'll do it!
context: The Madam Manager said that\we have to do everything the way we used to\for the Bonbori Festival.\That was part of the promise.\That's just impossible!\We'll have to beg her.\We can get by if we use the new way.\I'll do it! response:	No! You need to stay put!
context: we have to do everything the way we used to\for the Bonbori Festival.\That was part of the promise.\That's just impossible!\We'll have to beg her.\We can get by if we use the new way.\I'll do it!\No! You need to stay put! response:	I can't stay put!
context: for the Bonbori Festival.\That was part of the promise.\That's just impossible!\We'll have to beg her.\We can get by if we use the new way.\I'll do it!\No! You need to stay put!\I can't stay put! response:	I'm not going to lose to the Madam Manager!
context: That was part of the promise.\That's just impossible!\We'll have to beg her.\We can get by if we use the new way.\I'll do it!\No! You need to stay put!\I can't stay put!\I'm not going to lose to the Madam Manager! response:	You're going to lose... to the Madam Manager?
context: That's just impossible!\We'll have to beg her.\We can get by if we use the new way.\I'll do it!\No! You need to stay put!\I can't stay put!\I'm not going to lose to the Madam Manager!\You're going to lose... to the Madam Manager? response:	Was work a battle?
context: We'll have to beg her.\We can get by if we use the new way.\I'll do it!\No! You need to stay put!\I can't stay put!\I'm not going to lose to the Madam Manager!\You're going to lose... to the Madam Manager?\Was work a battle? response:	What are you...
context: We can get by if we use the new way.\I'll do it!\No! You need to stay put!\I can't stay put!\I'm not going to lose to the Madam Manager!\You're going to lose... to the Madam Manager?\Was work a battle?\What are you... response:	It's just wrong!
context: I'll do it!\No! You need to stay put!\I can't stay put!\I'm not going to lose to the Madam Manager!\You're going to lose... to the Madam Manager?\Was work a battle?\What are you...\It's just wrong! response:	Is it more important to win than
context: No! You need to stay put!\I can't stay put!\I'm not going to lose to the Madam Manager!\You're going to lose... to the Madam Manager?\Was work a battle?\What are you...\It's just wrong!\Is it more important to win than response:	make the guests feel comfortable?
context: I can't stay put!\I'm not going to lose to the Madam Manager!\You're going to lose... to the Madam Manager?\Was work a battle?\What are you...\It's just wrong!\Is it more important to win than\make the guests feel comfortable? response:	If we lose, the Kissuiso will close!
context: I'm not going to lose to the Madam Manager!\You're going to lose... to the Madam Manager?\Was work a battle?\What are you...\It's just wrong!\Is it more important to win than\make the guests feel comfortable?\If we lose, the Kissuiso will close! response:	But
context: You're going to lose... to the Madam Manager?\Was work a battle?\What are you...\It's just wrong!\Is it more important to win than\make the guests feel comfortable?\If we lose, the Kissuiso will close!\But response:	Do you really understand that?!
context: Was work a battle?\What are you...\It's just wrong!\Is it more important to win than\make the guests feel comfortable?\If we lose, the Kissuiso will close!\But\Do you really understand that?! response:	Please just stop!
context: What are you...\It's just wrong!\Is it more important to win than\make the guests feel comfortable?\If we lose, the Kissuiso will close!\But\Do you really understand that?!\Please just stop! response:	Nako...
context: It's just wrong!\Is it more important to win than\make the guests feel comfortable?\If we lose, the Kissuiso will close!\But\Do you really understand that?!\Please just stop!\Nako... response:	I love the Kissuiso.
context: Is it more important to win than\make the guests feel comfortable?\If we lose, the Kissuiso will close!\But\Do you really understand that?!\Please just stop!\Nako...\I love the Kissuiso. response:	I really do!
context: make the guests feel comfortable?\If we lose, the Kissuiso will close!\But\Do you really understand that?!\Please just stop!\Nako...\I love the Kissuiso.\I really do! response:	But this isn't the Kissuiso.
context: If we lose, the Kissuiso will close!\But\Do you really understand that?!\Please just stop!\Nako...\I love the Kissuiso.\I really do!\But this isn't the Kissuiso. response:	Please bring back the Kissuiso I love!
context: But\Do you really understand that?!\Please just stop!\Nako...\I love the Kissuiso.\I really do!\But this isn't the Kissuiso.\Please bring back the Kissuiso I love! response:	Please!
context: Do you really understand that?!\Please just stop!\Nako...\I love the Kissuiso.\I really do!\But this isn't the Kissuiso.\Please bring back the Kissuiso I love!\Please! response:	I love the Kissuiso.
context: Please just stop!\Nako...\I love the Kissuiso.\I really do!\But this isn't the Kissuiso.\Please bring back the Kissuiso I love!\Please!\I love the Kissuiso. response:	Everyone there felt the same way.
context: Nako...\I love the Kissuiso.\I really do!\But this isn't the Kissuiso.\Please bring back the Kissuiso I love!\Please!\I love the Kissuiso.\Everyone there felt the same way. response:	Yet somehow, their feelings slipped past each other.
context: I love the Kissuiso.\I really do!\But this isn't the Kissuiso.\Please bring back the Kissuiso I love!\Please!\I love the Kissuiso.\Everyone there felt the same way.\Yet somehow, their feelings slipped past each other. response:	Kissuiso...'Tis a castle...
context: I really do!\But this isn't the Kissuiso.\Please bring back the Kissuiso I love!\Please!\I love the Kissuiso.\Everyone there felt the same way.\Yet somehow, their feelings slipped past each other.\Kissuiso...'Tis a castle... response:	in a long lost dream.
context: But this isn't the Kissuiso.\Please bring back the Kissuiso I love!\Please!\I love the Kissuiso.\Everyone there felt the same way.\Yet somehow, their feelings slipped past each other.\Kissuiso...'Tis a castle...\in a long lost dream. response:	Excuse me?
context: Please bring back the Kissuiso I love!\Please!\I love the Kissuiso.\Everyone there felt the same way.\Yet somehow, their feelings slipped past each other.\Kissuiso...'Tis a castle...\in a long lost dream.\Excuse me? response:	Oh, I was just speaking your thoughts.
context: Please!\I love the Kissuiso.\Everyone there felt the same way.\Yet somehow, their feelings slipped past each other.\Kissuiso...'Tis a castle...\in a long lost dream.\Excuse me?\Oh, I was just speaking your thoughts. response:	I'll do it in your place.
context: I love the Kissuiso.\Everyone there felt the same way.\Yet somehow, their feelings slipped past each other.\Kissuiso...'Tis a castle...\in a long lost dream.\Excuse me?\Oh, I was just speaking your thoughts.\I'll do it in your place. response:	Madam Manager!
context: Everyone there felt the same way.\Yet somehow, their feelings slipped past each other.\Kissuiso...'Tis a castle...\in a long lost dream.\Excuse me?\Oh, I was just speaking your thoughts.\I'll do it in your place.\Madam Manager! response:	I'll work as a waitress.
context: Yet somehow, their feelings slipped past each other.\Kissuiso...'Tis a castle...\in a long lost dream.\Excuse me?\Oh, I was just speaking your thoughts.\I'll do it in your place.\Madam Manager!\I'll work as a waitress. response:	I should be able to fill in for Tomoe to an extent.
context: Kissuiso...'Tis a castle...\in a long lost dream.\Excuse me?\Oh, I was just speaking your thoughts.\I'll do it in your place.\Madam Manager!\I'll work as a waitress.\I should be able to fill in for Tomoe to an extent. response:	B-But...
context: in a long lost dream.\Excuse me?\Oh, I was just speaking your thoughts.\I'll do it in your place.\Madam Manager!\I'll work as a waitress.\I should be able to fill in for Tomoe to an extent.\B-But... response:	Hey!
context: Excuse me?\Oh, I was just speaking your thoughts.\I'll do it in your place.\Madam Manager!\I'll work as a waitress.\I should be able to fill in for Tomoe to an extent.\B-But...\Hey! response:	Mom?!
context: Oh, I was just speaking your thoughts.\I'll do it in your place.\Madam Manager!\I'll work as a waitress.\I should be able to fill in for Tomoe to an extent.\B-But...\Hey!\Mom?! response:	I came again!
context: I'll do it in your place.\Madam Manager!\I'll work as a waitress.\I should be able to fill in for Tomoe to an extent.\B-But...\Hey!\Mom?!\I came again! response:	Why?
context: Madam Manager!\I'll work as a waitress.\I should be able to fill in for Tomoe to an extent.\B-But...\Hey!\Mom?!\I came again!\Why? response:	I needed a change of scenery.
context: I'll work as a waitress.\I should be able to fill in for Tomoe to an extent.\B-But...\Hey!\Mom?!\I came again!\Why?\I needed a change of scenery. response:	Staying for 2 nights. One adult.
context: I should be able to fill in for Tomoe to an extent.\B-But...\Hey!\Mom?!\I came again!\Why?\I needed a change of scenery.\Staying for 2 nights. One adult. response:	Sis, we're full right now, and we don't have time for you.
context: B-But...\Hey!\Mom?!\I came again!\Why?\I needed a change of scenery.\Staying for 2 nights. One adult.\Sis, we're full right now, and we don't have time for you. response:	Don't worry! I'll sleep in Ohana's room.
context: Hey!\Mom?!\I came again!\Why?\I needed a change of scenery.\Staying for 2 nights. One adult.\Sis, we're full right now, and we don't have time for you.\Don't worry! I'll sleep in Ohana's room. response:	If you let me stay, I'll help out too.
context: Mom?!\I came again!\Why?\I needed a change of scenery.\Staying for 2 nights. One adult.\Sis, we're full right now, and we don't have time for you.\Don't worry! I'll sleep in Ohana's room.\If you let me stay, I'll help out too. response:	You were yelling in that argument.
context: I came again!\Why?\I needed a change of scenery.\Staying for 2 nights. One adult.\Sis, we're full right now, and we don't have time for you.\Don't worry! I'll sleep in Ohana's room.\If you let me stay, I'll help out too.\You were yelling in that argument. response:	And why is no one at the front desk when you should be busy?
context: Why?\I needed a change of scenery.\Staying for 2 nights. One adult.\Sis, we're full right now, and we don't have time for you.\Don't worry! I'll sleep in Ohana's room.\If you let me stay, I'll help out too.\You were yelling in that argument.\And why is no one at the front desk when you should be busy? response:	Mom, are you really going to help out?
context: I needed a change of scenery.\Staying for 2 nights. One adult.\Sis, we're full right now, and we don't have time for you.\Don't worry! I'll sleep in Ohana's room.\If you let me stay, I'll help out too.\You were yelling in that argument.\And why is no one at the front desk when you should be busy?\Mom, are you really going to help out? response:	No, you aren't!
context: Staying for 2 nights. One adult.\Sis, we're full right now, and we don't have time for you.\Don't worry! I'll sleep in Ohana's room.\If you let me stay, I'll help out too.\You were yelling in that argument.\And why is no one at the front desk when you should be busy?\Mom, are you really going to help out?\No, you aren't! response:	Enishi?
context: Sis, we're full right now, and we don't have time for you.\Don't worry! I'll sleep in Ohana's room.\If you let me stay, I'll help out too.\You were yelling in that argument.\And why is no one at the front desk when you should be busy?\Mom, are you really going to help out?\No, you aren't!\Enishi? response:	This is our fight.
context: Don't worry! I'll sleep in Ohana's room.\If you let me stay, I'll help out too.\You were yelling in that argument.\And why is no one at the front desk when you should be busy?\Mom, are you really going to help out?\No, you aren't!\Enishi?\This is our fight. response:	If you or the Madam Manager help
context: If you let me stay, I'll help out too.\You were yelling in that argument.\And why is no one at the front desk when you should be busy?\Mom, are you really going to help out?\No, you aren't!\Enishi?\This is our fight.\If you or the Madam Manager help response:	What?!
context: You were yelling in that argument.\And why is no one at the front desk when you should be busy?\Mom, are you really going to help out?\No, you aren't!\Enishi?\This is our fight.\If you or the Madam Manager help\What?! response:	Don't run on your emotions!
context: And why is no one at the front desk when you should be busy?\Mom, are you really going to help out?\No, you aren't!\Enishi?\This is our fight.\If you or the Madam Manager help\What?!\Don't run on your emotions! response:	Don't you want to save the Kissuiso?
context: Mom, are you really going to help out?\No, you aren't!\Enishi?\This is our fight.\If you or the Madam Manager help\What?!\Don't run on your emotions!\Don't you want to save the Kissuiso? response:	Takky...
context: No, you aren't!\Enishi?\This is our fight.\If you or the Madam Manager help\What?!\Don't run on your emotions!\Don't you want to save the Kissuiso?\Takky... response:	Enishing...
context: Enishi?\This is our fight.\If you or the Madam Manager help\What?!\Don't run on your emotions!\Don't you want to save the Kissuiso?\Takky...\Enishing... response:	And... it's the day of the festival.
context: This is our fight.\If you or the Madam Manager help\What?!\Don't run on your emotions!\Don't you want to save the Kissuiso?\Takky...\Enishing...\And... it's the day of the festival. response:	Mom, can I have that?
context: If you or the Madam Manager help\What?!\Don't run on your emotions!\Don't you want to save the Kissuiso?\Takky...\Enishing...\And... it's the day of the festival.\Mom, can I have that? response:	Thank you for coming.
context: What?!\Don't run on your emotions!\Don't you want to save the Kissuiso?\Takky...\Enishing...\And... it's the day of the festival.\Mom, can I have that?\Thank you for coming. response:	Yes, immediately.
context: Don't run on your emotions!\Don't you want to save the Kissuiso?\Takky...\Enishing...\And... it's the day of the festival.\Mom, can I have that?\Thank you for coming.\Yes, immediately. response:	Takky, the Moon Room needs
context: Don't you want to save the Kissuiso?\Takky...\Enishing...\And... it's the day of the festival.\Mom, can I have that?\Thank you for coming.\Yes, immediately.\Takky, the Moon Room needs response:	You're busy?
context: Takky...\Enishing...\And... it's the day of the festival.\Mom, can I have that?\Thank you for coming.\Yes, immediately.\Takky, the Moon Room needs\You're busy? response:	Ask my sister?
context: Enishing...\And... it's the day of the festival.\Mom, can I have that?\Thank you for coming.\Yes, immediately.\Takky, the Moon Room needs\You're busy?\Ask my sister? response:	But...
context: And... it's the day of the festival.\Mom, can I have that?\Thank you for coming.\Yes, immediately.\Takky, the Moon Room needs\You're busy?\Ask my sister?\But... response:	Young Master, the Moon Room?
context: Mom, can I have that?\Thank you for coming.\Yes, immediately.\Takky, the Moon Room needs\You're busy?\Ask my sister?\But...\Young Master, the Moon Room? response:	What do they need?
context: Thank you for coming.\Yes, immediately.\Takky, the Moon Room needs\You're busy?\Ask my sister?\But...\Young Master, the Moon Room?\What do they need? response:	The yukata's too small. They want size L.
context: Yes, immediately.\Takky, the Moon Room needs\You're busy?\Ask my sister?\But...\Young Master, the Moon Room?\What do they need?\The yukata's too small. They want size L. response:	Okay.
context: Takky, the Moon Room needs\You're busy?\Ask my sister?\But...\Young Master, the Moon Room?\What do they need?\The yukata's too small. They want size L.\Okay. response:	Thank you very much.
context: You're busy?\Ask my sister?\But...\Young Master, the Moon Room?\What do they need?\The yukata's too small. They want size L.\Okay.\Thank you very much. response:	Young Master.
context: Ask my sister?\But...\Young Master, the Moon Room?\What do they need?\The yukata's too small. They want size L.\Okay.\Thank you very much.\Young Master. response:	I'm a waitress today.
context: But...\Young Master, the Moon Room?\What do they need?\The yukata's too small. They want size L.\Okay.\Thank you very much.\Young Master.\I'm a waitress today. response:	You need to give the orders.
context: Young Master, the Moon Room?\What do they need?\The yukata's too small. They want size L.\Okay.\Thank you very much.\Young Master.\I'm a waitress today.\You need to give the orders. response:	Madam Manager...
context: What do they need?\The yukata's too small. They want size L.\Okay.\Thank you very much.\Young Master.\I'm a waitress today.\You need to give the orders.\Madam Manager... response:	You have the wrong person.
context: The yukata's too small. They want size L.\Okay.\Thank you very much.\Young Master.\I'm a waitress today.\You need to give the orders.\Madam Manager...\You have the wrong person. response:	I'm not the Madam Manager.
context: Okay.\Thank you very much.\Young Master.\I'm a waitress today.\You need to give the orders.\Madam Manager...\You have the wrong person.\I'm not the Madam Manager. response:	Okay, I'm counting on you, Sui.
context: Thank you very much.\Young Master.\I'm a waitress today.\You need to give the orders.\Madam Manager...\You have the wrong person.\I'm not the Madam Manager.\Okay, I'm counting on you, Sui. response:	Minko, how's the vinegar dish?
context: Young Master.\I'm a waitress today.\You need to give the orders.\Madam Manager...\You have the wrong person.\I'm not the Madam Manager.\Okay, I'm counting on you, Sui.\Minko, how's the vinegar dish? response:	Just needs the final toppings.
context: I'm a waitress today.\You need to give the orders.\Madam Manager...\You have the wrong person.\I'm not the Madam Manager.\Okay, I'm counting on you, Sui.\Minko, how's the vinegar dish?\Just needs the final toppings. response:	Grill dish is done.
context: You need to give the orders.\Madam Manager...\You have the wrong person.\I'm not the Madam Manager.\Okay, I'm counting on you, Sui.\Minko, how's the vinegar dish?\Just needs the final toppings.\Grill dish is done. response:	Okay.
context: Madam Manager...\You have the wrong person.\I'm not the Madam Manager.\Okay, I'm counting on you, Sui.\Minko, how's the vinegar dish?\Just needs the final toppings.\Grill dish is done.\Okay. response:	Can I get the Wave Room next?
context: You have the wrong person.\I'm not the Madam Manager.\Okay, I'm counting on you, Sui.\Minko, how's the vinegar dish?\Just needs the final toppings.\Grill dish is done.\Okay.\Can I get the Wave Room next? response:	O-Okay.
context: I'm not the Madam Manager.\Okay, I'm counting on you, Sui.\Minko, how's the vinegar dish?\Just needs the final toppings.\Grill dish is done.\Okay.\Can I get the Wave Room next?\O-Okay. response:	Nako, I can take care of it.
context: Okay, I'm counting on you, Sui.\Minko, how's the vinegar dish?\Just needs the final toppings.\Grill dish is done.\Okay.\Can I get the Wave Room next?\O-Okay.\Nako, I can take care of it. response:	But...
context: Minko, how's the vinegar dish?\Just needs the final toppings.\Grill dish is done.\Okay.\Can I get the Wave Room next?\O-Okay.\Nako, I can take care of it.\But... response:	I can still clean with a sprained ankle.
context: Just needs the final toppings.\Grill dish is done.\Okay.\Can I get the Wave Room next?\O-Okay.\Nako, I can take care of it.\But...\I can still clean with a sprained ankle. response:	Can you take care of the banquet hall?
context: Grill dish is done.\Okay.\Can I get the Wave Room next?\O-Okay.\Nako, I can take care of it.\But...\I can still clean with a sprained ankle.\Can you take care of the banquet hall? response:	Very well.
context: Okay.\Can I get the Wave Room next?\O-Okay.\Nako, I can take care of it.\But...\I can still clean with a sprained ankle.\Can you take care of the banquet hall?\Very well. response:	Good. Good. Good.
context: Can I get the Wave Room next?\O-Okay.\Nako, I can take care of it.\But...\I can still clean with a sprained ankle.\Can you take care of the banquet hall?\Very well.\Good. Good. Good. response:	And stop.
context: O-Okay.\Nako, I can take care of it.\But...\I can still clean with a sprained ankle.\Can you take care of the banquet hall?\Very well.\Good. Good. Good.\And stop. response:	You're all good.
context: Nako, I can take care of it.\But...\I can still clean with a sprained ankle.\Can you take care of the banquet hall?\Very well.\Good. Good. Good.\And stop.\You're all good. response:	I need to check the Crane Room next...
context: But...\I can still clean with a sprained ankle.\Can you take care of the banquet hall?\Very well.\Good. Good. Good.\And stop.\You're all good.\I need to check the Crane Room next... response:	Madam Manager?
context: I can still clean with a sprained ankle.\Can you take care of the banquet hall?\Very well.\Good. Good. Good.\And stop.\You're all good.\I need to check the Crane Room next...\Madam Manager? response:	Madam Manager!
context: Can you take care of the banquet hall?\Very well.\Good. Good. Good.\And stop.\You're all good.\I need to check the Crane Room next...\Madam Manager?\Madam Manager! response:	Don't worry, I'm fine.
context: Very well.\Good. Good. Good.\And stop.\You're all good.\I need to check the Crane Room next...\Madam Manager?\Madam Manager!\Don't worry, I'm fine. response:	I just felt a little dizzy.
context: Good. Good. Good.\And stop.\You're all good.\I need to check the Crane Room next...\Madam Manager?\Madam Manager!\Don't worry, I'm fine.\I just felt a little dizzy. response:	Maybe you should rest a little
context: And stop.\You're all good.\I need to check the Crane Room next...\Madam Manager?\Madam Manager!\Don't worry, I'm fine.\I just felt a little dizzy.\Maybe you should rest a little response:	In an inn business, the guests come first.
context: You're all good.\I need to check the Crane Room next...\Madam Manager?\Madam Manager!\Don't worry, I'm fine.\I just felt a little dizzy.\Maybe you should rest a little\In an inn business, the guests come first. response:	We worry about ourselves last.
context: I need to check the Crane Room next...\Madam Manager?\Madam Manager!\Don't worry, I'm fine.\I just felt a little dizzy.\Maybe you should rest a little\In an inn business, the guests come first.\We worry about ourselves last. response:	But I enjoyed that kind of work.
context: Madam Manager?\Madam Manager!\Don't worry, I'm fine.\I just felt a little dizzy.\Maybe you should rest a little\In an inn business, the guests come first.\We worry about ourselves last.\But I enjoyed that kind of work. response:	Madam Manager...
context: Madam Manager!\Don't worry, I'm fine.\I just felt a little dizzy.\Maybe you should rest a little\In an inn business, the guests come first.\We worry about ourselves last.\But I enjoyed that kind of work.\Madam Manager... response:	Now, go back to your own job.
context: Don't worry, I'm fine.\I just felt a little dizzy.\Maybe you should rest a little\In an inn business, the guests come first.\We worry about ourselves last.\But I enjoyed that kind of work.\Madam Manager...\Now, go back to your own job. response:	Okay.
context: I just felt a little dizzy.\Maybe you should rest a little\In an inn business, the guests come first.\We worry about ourselves last.\But I enjoyed that kind of work.\Madam Manager...\Now, go back to your own job.\Okay. response:	I'm done over here.
context: Maybe you should rest a little\In an inn business, the guests come first.\We worry about ourselves last.\But I enjoyed that kind of work.\Madam Manager...\Now, go back to your own job.\Okay.\I'm done over here. response:	Can you get the stuffing in?
context: In an inn business, the guests come first.\We worry about ourselves last.\But I enjoyed that kind of work.\Madam Manager...\Now, go back to your own job.\Okay.\I'm done over here.\Can you get the stuffing in? response:	Okay.
context: We worry about ourselves last.\But I enjoyed that kind of work.\Madam Manager...\Now, go back to your own job.\Okay.\I'm done over here.\Can you get the stuffing in?\Okay. response:	Is the Wisteria Room ready?
context: But I enjoyed that kind of work.\Madam Manager...\Now, go back to your own job.\Okay.\I'm done over here.\Can you get the stuffing in?\Okay.\Is the Wisteria Room ready? response:	Right there.
context: Madam Manager...\Now, go back to your own job.\Okay.\I'm done over here.\Can you get the stuffing in?\Okay.\Is the Wisteria Room ready?\Right there. response:	Keep it up.
context: Now, go back to your own job.\Okay.\I'm done over here.\Can you get the stuffing in?\Okay.\Is the Wisteria Room ready?\Right there.\Keep it up. response:	Mr. Ren, the tempura's ready!
context: Okay.\I'm done over here.\Can you get the stuffing in?\Okay.\Is the Wisteria Room ready?\Right there.\Keep it up.\Mr. Ren, the tempura's ready! response:	I'm taking it to their room.
context: I'm done over here.\Can you get the stuffing in?\Okay.\Is the Wisteria Room ready?\Right there.\Keep it up.\Mr. Ren, the tempura's ready!\I'm taking it to their room. response:	It felt so weird.
context: Can you get the stuffing in?\Okay.\Is the Wisteria Room ready?\Right there.\Keep it up.\Mr. Ren, the tempura's ready!\I'm taking it to their room.\It felt so weird. response:	It's usually just us working here,
context: Okay.\Is the Wisteria Room ready?\Right there.\Keep it up.\Mr. Ren, the tempura's ready!\I'm taking it to their room.\It felt so weird.\It's usually just us working here, response:	but Mom and the Madam Manager were helping.
context: Is the Wisteria Room ready?\Right there.\Keep it up.\Mr. Ren, the tempura's ready!\I'm taking it to their room.\It felt so weird.\It's usually just us working here,\but Mom and the Madam Manager were helping. response:	Have a nice trip.
context: Right there.\Keep it up.\Mr. Ren, the tempura's ready!\I'm taking it to their room.\It felt so weird.\It's usually just us working here,\but Mom and the Madam Manager were helping.\Have a nice trip. response:	Okay, the Happiness Room?
context: Keep it up.\Mr. Ren, the tempura's ready!\I'm taking it to their room.\It felt so weird.\It's usually just us working here,\but Mom and the Madam Manager were helping.\Have a nice trip.\Okay, the Happiness Room? response:	I finally realized...
context: Mr. Ren, the tempura's ready!\I'm taking it to their room.\It felt so weird.\It's usually just us working here,\but Mom and the Madam Manager were helping.\Have a nice trip.\Okay, the Happiness Room?\I finally realized... response:	my dream.
context: I'm taking it to their room.\It felt so weird.\It's usually just us working here,\but Mom and the Madam Manager were helping.\Have a nice trip.\Okay, the Happiness Room?\I finally realized...\my dream. response:	Granny! Granny!
context: It felt so weird.\It's usually just us working here,\but Mom and the Madam Manager were helping.\Have a nice trip.\Okay, the Happiness Room?\I finally realized...\my dream.\Granny! Granny! response:	I'm exhausted!
context: It's usually just us working here,\but Mom and the Madam Manager were helping.\Have a nice trip.\Okay, the Happiness Room?\I finally realized...\my dream.\Granny! Granny!\I'm exhausted! response:	Everyone's done with dinner.
context: but Mom and the Madam Manager were helping.\Have a nice trip.\Okay, the Happiness Room?\I finally realized...\my dream.\Granny! Granny!\I'm exhausted!\Everyone's done with dinner. response:	Good work, everyone.
context: Have a nice trip.\Okay, the Happiness Room?\I finally realized...\my dream.\Granny! Granny!\I'm exhausted!\Everyone's done with dinner.\Good work, everyone. response:	Thanks to all of you, we got through.
context: Okay, the Happiness Room?\I finally realized...\my dream.\Granny! Granny!\I'm exhausted!\Everyone's done with dinner.\Good work, everyone.\Thanks to all of you, we got through. response:	For now, let's
context: I finally realized...\my dream.\Granny! Granny!\I'm exhausted!\Everyone's done with dinner.\Good work, everyone.\Thanks to all of you, we got through.\For now, let's response:	Good, you've rested.
context: my dream.\Granny! Granny!\I'm exhausted!\Everyone's done with dinner.\Good work, everyone.\Thanks to all of you, we got through.\For now, let's\Good, you've rested. response:	We don't have time to slack off.
context: Granny! Granny!\I'm exhausted!\Everyone's done with dinner.\Good work, everyone.\Thanks to all of you, we got through.\For now, let's\Good, you've rested.\We don't have time to slack off. response:	Let's go, everyone.
context: I'm exhausted!\Everyone's done with dinner.\Good work, everyone.\Thanks to all of you, we got through.\For now, let's\Good, you've rested.\We don't have time to slack off.\Let's go, everyone. response:	Go where?
context: Everyone's done with dinner.\Good work, everyone.\Thanks to all of you, we got through.\For now, let's\Good, you've rested.\We don't have time to slack off.\Let's go, everyone.\Go where? response:	To the Bonbori Festival. Where else?
context: Good work, everyone.\Thanks to all of you, we got through.\For now, let's\Good, you've rested.\We don't have time to slack off.\Let's go, everyone.\Go where?\To the Bonbori Festival. Where else? response:	I love you! I love, love, love you!
context: Thanks to all of you, we got through.\For now, let's\Good, you've rested.\We don't have time to slack off.\Let's go, everyone.\Go where?\To the Bonbori Festival. Where else?\I love you! I love, love, love you! response:	If it's possible, I'd like to...
context: For now, let's\Good, you've rested.\We don't have time to slack off.\Let's go, everyone.\Go where?\To the Bonbori Festival. Where else?\I love you! I love, love, love you!\If it's possible, I'd like to... response:	I really found it.
context: Good, you've rested.\We don't have time to slack off.\Let's go, everyone.\Go where?\To the Bonbori Festival. Where else?\I love you! I love, love, love you!\If it's possible, I'd like to...\I really found it. response:	Dear...
context: We don't have time to slack off.\Let's go, everyone.\Go where?\To the Bonbori Festival. Where else?\I love you! I love, love, love you!\If it's possible, I'd like to...\I really found it.\Dear... response:	Finale: To Bloom One Day
