context: It's not a dream. response:	It's not a joke.
context: Just because you're in high school doesn't mean I won't ask you to do everything,\from laundry to hard labor, as necessary.\Keep that in mind.\Yes ma'am!\The ABCs of Antarctic Expedition\A: Always follow procedure B: Be alert at all times C: Common sense!\These are the ABCs of an antarctic expedition.\A: Always follow procedure. response:	B: Be alert at all times.
context: from laundry to hard labor, as necessary.\Keep that in mind.\Yes ma'am!\The ABCs of Antarctic Expedition\A: Always follow procedure B: Be alert at all times C: Common sense!\These are the ABCs of an antarctic expedition.\A: Always follow procedure.\B: Be alert at all times. response:	C: Common sense.
context: Keep that in mind.\Yes ma'am!\The ABCs of Antarctic Expedition\A: Always follow procedure B: Be alert at all times C: Common sense!\These are the ABCs of an antarctic expedition.\A: Always follow procedure.\B: Be alert at all times.\C: Common sense. response:	I want you to keep these in mind at all time.
context: Yes ma'am!\The ABCs of Antarctic Expedition\A: Always follow procedure B: Be alert at all times C: Common sense!\These are the ABCs of an antarctic expedition.\A: Always follow procedure.\B: Be alert at all times.\C: Common sense.\I want you to keep these in mind at all time. response:	She sure did sound like a real captain, huh?
context: The ABCs of Antarctic Expedition\A: Always follow procedure B: Be alert at all times C: Common sense!\These are the ABCs of an antarctic expedition.\A: Always follow procedure.\B: Be alert at all times.\C: Common sense.\I want you to keep these in mind at all time.\She sure did sound like a real captain, huh? response:	If you dozed off around her, you'd have chalk coming your way, for sure.
context: A: Always follow procedure B: Be alert at all times C: Common sense!\These are the ABCs of an antarctic expedition.\A: Always follow procedure.\B: Be alert at all times.\C: Common sense.\I want you to keep these in mind at all time.\She sure did sound like a real captain, huh?\If you dozed off around her, you'd have chalk coming your way, for sure. response:	If we had a test, I bet she'd fill it with all the hardest questions.
context: These are the ABCs of an antarctic expedition.\A: Always follow procedure.\B: Be alert at all times.\C: Common sense.\I want you to keep these in mind at all time.\She sure did sound like a real captain, huh?\If you dozed off around her, you'd have chalk coming your way, for sure.\If we had a test, I bet she'd fill it with all the hardest questions. response:	We're surveying a route tomorrow, right?
context: A: Always follow procedure.\B: Be alert at all times.\C: Common sense.\I want you to keep these in mind at all time.\She sure did sound like a real captain, huh?\If you dozed off around her, you'd have chalk coming your way, for sure.\If we had a test, I bet she'd fill it with all the hardest questions.\We're surveying a route tomorrow, right? response:	Yeah, we'll be going outside.
context: B: Be alert at all times.\C: Common sense.\I want you to keep these in mind at all time.\She sure did sound like a real captain, huh?\If you dozed off around her, you'd have chalk coming your way, for sure.\If we had a test, I bet she'd fill it with all the hardest questions.\We're surveying a route tomorrow, right?\Yeah, we'll be going outside. response:	It'd be a waste not to, being up here in the mountains and all!
context: C: Common sense.\I want you to keep these in mind at all time.\She sure did sound like a real captain, huh?\If you dozed off around her, you'd have chalk coming your way, for sure.\If we had a test, I bet she'd fill it with all the hardest questions.\We're surveying a route tomorrow, right?\Yeah, we'll be going outside.\It'd be a waste not to, being up here in the mountains and all! response:	Still, this all looks pretty tough.
context: I want you to keep these in mind at all time.\She sure did sound like a real captain, huh?\If you dozed off around her, you'd have chalk coming your way, for sure.\If we had a test, I bet she'd fill it with all the hardest questions.\We're surveying a route tomorrow, right?\Yeah, we'll be going outside.\It'd be a waste not to, being up here in the mountains and all!\Still, this all looks pretty tough. response:	How did it go?
context: She sure did sound like a real captain, huh?\If you dozed off around her, you'd have chalk coming your way, for sure.\If we had a test, I bet she'd fill it with all the hardest questions.\We're surveying a route tomorrow, right?\Yeah, we'll be going outside.\It'd be a waste not to, being up here in the mountains and all!\Still, this all looks pretty tough.\How did it go? response:	How did what go?
context: If you dozed off around her, you'd have chalk coming your way, for sure.\If we had a test, I bet she'd fill it with all the hardest questions.\We're surveying a route tomorrow, right?\Yeah, we'll be going outside.\It'd be a waste not to, being up here in the mountains and all!\Still, this all looks pretty tough.\How did it go?\How did what go? response:	Seeing her again after so long.
context: If we had a test, I bet she'd fill it with all the hardest questions.\We're surveying a route tomorrow, right?\Yeah, we'll be going outside.\It'd be a waste not to, being up here in the mountains and all!\Still, this all looks pretty tough.\How did it go?\How did what go?\Seeing her again after so long. response:	I told you, didn't I?
context: We're surveying a route tomorrow, right?\Yeah, we'll be going outside.\It'd be a waste not to, being up here in the mountains and all!\Still, this all looks pretty tough.\How did it go?\How did what go?\Seeing her again after so long.\I told you, didn't I? response:	I'm going to treat her like any other member of the team.
context: Yeah, we'll be going outside.\It'd be a waste not to, being up here in the mountains and all!\Still, this all looks pretty tough.\How did it go?\How did what go?\Seeing her again after so long.\I told you, didn't I?\I'm going to treat her like any other member of the team. response:	Yeah, yeah...
context: It'd be a waste not to, being up here in the mountains and all!\Still, this all looks pretty tough.\How did it go?\How did what go?\Seeing her again after so long.\I told you, didn't I?\I'm going to treat her like any other member of the team.\Yeah, yeah... response:	Did you go against my wishes on purpose?
context: Still, this all looks pretty tough.\How did it go?\How did what go?\Seeing her again after so long.\I told you, didn't I?\I'm going to treat her like any other member of the team.\Yeah, yeah...\Did you go against my wishes on purpose? response:	No, I didn't have any part of this.
context: How did it go?\How did what go?\Seeing her again after so long.\I told you, didn't I?\I'm going to treat her like any other member of the team.\Yeah, yeah...\Did you go against my wishes on purpose?\No, I didn't have any part of this. response:	That girl really got here through her own efforts.
context: How did what go?\Seeing her again after so long.\I told you, didn't I?\I'm going to treat her like any other member of the team.\Yeah, yeah...\Did you go against my wishes on purpose?\No, I didn't have any part of this.\That girl really got here through her own efforts. response:	Though I must admit, I had a feeling she would...
context: Seeing her again after so long.\I told you, didn't I?\I'm going to treat her like any other member of the team.\Yeah, yeah...\Did you go against my wishes on purpose?\No, I didn't have any part of this.\That girl really got here through her own efforts.\Though I must admit, I had a feeling she would... response:	Since the first day she told me she wanted to come along.
context: I told you, didn't I?\I'm going to treat her like any other member of the team.\Yeah, yeah...\Did you go against my wishes on purpose?\No, I didn't have any part of this.\That girl really got here through her own efforts.\Though I must admit, I had a feeling she would...\Since the first day she told me she wanted to come along. response:	She's Takako's daughter, after all.
context: I'm going to treat her like any other member of the team.\Yeah, yeah...\Did you go against my wishes on purpose?\No, I didn't have any part of this.\That girl really got here through her own efforts.\Though I must admit, I had a feeling she would...\Since the first day she told me she wanted to come along.\She's Takako's daughter, after all. response:	What's this?
context: Yeah, yeah...\Did you go against my wishes on purpose?\No, I didn't have any part of this.\That girl really got here through her own efforts.\Though I must admit, I had a feeling she would...\Since the first day she told me she wanted to come along.\She's Takako's daughter, after all.\What's this? response:	A transceiver, I think.
context: Did you go against my wishes on purpose?\No, I didn't have any part of this.\That girl really got here through her own efforts.\Though I must admit, I had a feeling she would...\Since the first day she told me she wanted to come along.\She's Takako's daughter, after all.\What's this?\A transceiver, I think. response:	This is a compass, and that's a GPS...
context: No, I didn't have any part of this.\That girl really got here through her own efforts.\Though I must admit, I had a feeling she would...\Since the first day she told me she wanted to come along.\She's Takako's daughter, after all.\What's this?\A transceiver, I think.\This is a compass, and that's a GPS... response:	And then we've got flags.
context: That girl really got here through her own efforts.\Though I must admit, I had a feeling she would...\Since the first day she told me she wanted to come along.\She's Takako's daughter, after all.\What's this?\A transceiver, I think.\This is a compass, and that's a GPS...\And then we've got flags. response:	Hinata-chan, do you get it?
context: Though I must admit, I had a feeling she would...\Since the first day she told me she wanted to come along.\She's Takako's daughter, after all.\What's this?\A transceiver, I think.\This is a compass, and that's a GPS...\And then we've got flags.\Hinata-chan, do you get it? response:	Yeah, she taught us most of it to us yesterday.
context: Since the first day she told me she wanted to come along.\She's Takako's daughter, after all.\What's this?\A transceiver, I think.\This is a compass, and that's a GPS...\And then we've got flags.\Hinata-chan, do you get it?\Yeah, she taught us most of it to us yesterday. response:	But why do we have to do this?
context: She's Takako's daughter, after all.\What's this?\A transceiver, I think.\This is a compass, and that's a GPS...\And then we've got flags.\Hinata-chan, do you get it?\Yeah, she taught us most of it to us yesterday.\But why do we have to do this? response:	Antarctica's flat, isn't it?
context: What's this?\A transceiver, I think.\This is a compass, and that's a GPS...\And then we've got flags.\Hinata-chan, do you get it?\Yeah, she taught us most of it to us yesterday.\But why do we have to do this?\Antarctica's flat, isn't it? response:	We can get along fine without marking a route, can't we?
context: A transceiver, I think.\This is a compass, and that's a GPS...\And then we've got flags.\Hinata-chan, do you get it?\Yeah, she taught us most of it to us yesterday.\But why do we have to do this?\Antarctica's flat, isn't it?\We can get along fine without marking a route, can't we? response:	Totally wrong.
context: This is a compass, and that's a GPS...\And then we've got flags.\Hinata-chan, do you get it?\Yeah, she taught us most of it to us yesterday.\But why do we have to do this?\Antarctica's flat, isn't it?\We can get along fine without marking a route, can't we?\Totally wrong. response:	The landscape's white as far as you can see,
context: And then we've got flags.\Hinata-chan, do you get it?\Yeah, she taught us most of it to us yesterday.\But why do we have to do this?\Antarctica's flat, isn't it?\We can get along fine without marking a route, can't we?\Totally wrong.\The landscape's white as far as you can see, response:	so it's easy lose track of your direction in a blizzard.
context: Hinata-chan, do you get it?\Yeah, she taught us most of it to us yesterday.\But why do we have to do this?\Antarctica's flat, isn't it?\We can get along fine without marking a route, can't we?\Totally wrong.\The landscape's white as far as you can see,\so it's easy lose track of your direction in a blizzard. response:	That's why you need to create a route to walk along.
context: Yeah, she taught us most of it to us yesterday.\But why do we have to do this?\Antarctica's flat, isn't it?\We can get along fine without marking a route, can't we?\Totally wrong.\The landscape's white as far as you can see,\so it's easy lose track of your direction in a blizzard.\That's why you need to create a route to walk along. response:	So we set up the flags to serve as landmarks, huh?
context: But why do we have to do this?\Antarctica's flat, isn't it?\We can get along fine without marking a route, can't we?\Totally wrong.\The landscape's white as far as you can see,\so it's easy lose track of your direction in a blizzard.\That's why you need to create a route to walk along.\So we set up the flags to serve as landmarks, huh? response:	But where do we put them?
context: Antarctica's flat, isn't it?\We can get along fine without marking a route, can't we?\Totally wrong.\The landscape's white as far as you can see,\so it's easy lose track of your direction in a blizzard.\That's why you need to create a route to walk along.\So we set up the flags to serve as landmarks, huh?\But where do we put them? response:	Figuring that out is the point of the training.
context: We can get along fine without marking a route, can't we?\Totally wrong.\The landscape's white as far as you can see,\so it's easy lose track of your direction in a blizzard.\That's why you need to create a route to walk along.\So we set up the flags to serve as landmarks, huh?\But where do we put them?\Figuring that out is the point of the training. response:	Communication station
context: Totally wrong.\The landscape's white as far as you can see,\so it's easy lose track of your direction in a blizzard.\That's why you need to create a route to walk along.\So we set up the flags to serve as landmarks, huh?\But where do we put them?\Figuring that out is the point of the training.\Communication station response:	Route Creation Start Point
context: The landscape's white as far as you can see,\so it's easy lose track of your direction in a blizzard.\That's why you need to create a route to walk along.\So we set up the flags to serve as landmarks, huh?\But where do we put them?\Figuring that out is the point of the training.\Communication station\Route Creation Start Point response:	This is our current location.
context: so it's easy lose track of your direction in a blizzard.\That's why you need to create a route to walk along.\So we set up the flags to serve as landmarks, huh?\But where do we put them?\Figuring that out is the point of the training.\Communication station\Route Creation Start Point\This is our current location. response:	And this is our destination.
context: That's why you need to create a route to walk along.\So we set up the flags to serve as landmarks, huh?\But where do we put them?\Figuring that out is the point of the training.\Communication station\Route Creation Start Point\This is our current location.\And this is our destination. response:	Route Creation End Point
context: So we set up the flags to serve as landmarks, huh?\But where do we put them?\Figuring that out is the point of the training.\Communication station\Route Creation Start Point\This is our current location.\And this is our destination.\Route Creation End Point response:	Route Creation Course
context: But where do we put them?\Figuring that out is the point of the training.\Communication station\Route Creation Start Point\This is our current location.\And this is our destination.\Route Creation End Point\Route Creation Course response:	So we just have to get there?
context: Figuring that out is the point of the training.\Communication station\Route Creation Start Point\This is our current location.\And this is our destination.\Route Creation End Point\Route Creation Course\So we just have to get there? response:	But we can't just go right there.
context: Communication station\Route Creation Start Point\This is our current location.\And this is our destination.\Route Creation End Point\Route Creation Course\So we just have to get there?\But we can't just go right there. response:	We have to go here, here, and here on the way,
context: Route Creation Start Point\This is our current location.\And this is our destination.\Route Creation End Point\Route Creation Course\So we just have to get there?\But we can't just go right there.\We have to go here, here, and here on the way, response:	and set up flags at each point.
context: This is our current location.\And this is our destination.\Route Creation End Point\Route Creation Course\So we just have to get there?\But we can't just go right there.\We have to go here, here, and here on the way,\and set up flags at each point. response:	I see!
context: And this is our destination.\Route Creation End Point\Route Creation Course\So we just have to get there?\But we can't just go right there.\We have to go here, here, and here on the way,\and set up flags at each point.\I see! response:	Okay, let's do it!
context: Route Creation End Point\Route Creation Course\So we just have to get there?\But we can't just go right there.\We have to go here, here, and here on the way,\and set up flags at each point.\I see!\Okay, let's do it! response:	That way, right?
context: Route Creation Course\So we just have to get there?\But we can't just go right there.\We have to go here, here, and here on the way,\and set up flags at each point.\I see!\Okay, let's do it!\That way, right? response:	Wait, wait!
context: So we just have to get there?\But we can't just go right there.\We have to go here, here, and here on the way,\and set up flags at each point.\I see!\Okay, let's do it!\That way, right?\Wait, wait! response:	We can't just run off willy-nilly.
context: But we can't just go right there.\We have to go here, here, and here on the way,\and set up flags at each point.\I see!\Okay, let's do it!\That way, right?\Wait, wait!\We can't just run off willy-nilly. response:	Do you even know where the points are?
context: We have to go here, here, and here on the way,\and set up flags at each point.\I see!\Okay, let's do it!\That way, right?\Wait, wait!\We can't just run off willy-nilly.\Do you even know where the points are? response:	There... ish?
context: and set up flags at each point.\I see!\Okay, let's do it!\That way, right?\Wait, wait!\We can't just run off willy-nilly.\Do you even know where the points are?\There... ish? response:	Ish? Come on!
context: I see!\Okay, let's do it!\That way, right?\Wait, wait!\We can't just run off willy-nilly.\Do you even know where the points are?\There... ish?\Ish? Come on! response:	We'll need to keep precise track of our location.
context: Okay, let's do it!\That way, right?\Wait, wait!\We can't just run off willy-nilly.\Do you even know where the points are?\There... ish?\Ish? Come on!\We'll need to keep precise track of our location. response:	I'm getting the feeling this is gonna be hard.
context: That way, right?\Wait, wait!\We can't just run off willy-nilly.\Do you even know where the points are?\There... ish?\Ish? Come on!\We'll need to keep precise track of our location.\I'm getting the feeling this is gonna be hard. response:	Forty-eight, forty-nine, fifty!
context: Wait, wait!\We can't just run off willy-nilly.\Do you even know where the points are?\There... ish?\Ish? Come on!\We'll need to keep precise track of our location.\I'm getting the feeling this is gonna be hard.\Forty-eight, forty-nine, fifty! response:	Right here!
context: We can't just run off willy-nilly.\Do you even know where the points are?\There... ish?\Ish? Come on!\We'll need to keep precise track of our location.\I'm getting the feeling this is gonna be hard.\Forty-eight, forty-nine, fifty!\Right here! response:	Check the angle.
context: Do you even know where the points are?\There... ish?\Ish? Come on!\We'll need to keep precise track of our location.\I'm getting the feeling this is gonna be hard.\Forty-eight, forty-nine, fifty!\Right here!\Check the angle. response:	Which should I look with? Left eye or right eye?
context: There... ish?\Ish? Come on!\We'll need to keep precise track of our location.\I'm getting the feeling this is gonna be hard.\Forty-eight, forty-nine, fifty!\Right here!\Check the angle.\Which should I look with? Left eye or right eye? response:	Your dominant eye, probably.
context: Ish? Come on!\We'll need to keep precise track of our location.\I'm getting the feeling this is gonna be hard.\Forty-eight, forty-nine, fifty!\Right here!\Check the angle.\Which should I look with? Left eye or right eye?\Your dominant eye, probably. response:	Which eye is that?
context: We'll need to keep precise track of our location.\I'm getting the feeling this is gonna be hard.\Forty-eight, forty-nine, fifty!\Right here!\Check the angle.\Which should I look with? Left eye or right eye?\Your dominant eye, probably.\Which eye is that? response:	I think you go like this...
context: I'm getting the feeling this is gonna be hard.\Forty-eight, forty-nine, fifty!\Right here!\Check the angle.\Which should I look with? Left eye or right eye?\Your dominant eye, probably.\Which eye is that?\I think you go like this... response:	Are you done yet?!
context: Forty-eight, forty-nine, fifty!\Right here!\Check the angle.\Which should I look with? Left eye or right eye?\Your dominant eye, probably.\Which eye is that?\I think you go like this...\Are you done yet?! response:	168 degrees.
context: Right here!\Check the angle.\Which should I look with? Left eye or right eye?\Your dominant eye, probably.\Which eye is that?\I think you go like this...\Are you done yet?!\168 degrees. response:	More to the right!
context: Check the angle.\Which should I look with? Left eye or right eye?\Your dominant eye, probably.\Which eye is that?\I think you go like this...\Are you done yet?!\168 degrees.\More to the right! response:	Right?
context: Which should I look with? Left eye or right eye?\Your dominant eye, probably.\Which eye is that?\I think you go like this...\Are you done yet?!\168 degrees.\More to the right!\Right? response:	Right!
context: Your dominant eye, probably.\Which eye is that?\I think you go like this...\Are you done yet?!\168 degrees.\More to the right!\Right?\Right! response:	Right?
context: Which eye is that?\I think you go like this...\Are you done yet?!\168 degrees.\More to the right!\Right?\Right!\Right? response:	Correct!
context: I think you go like this...\Are you done yet?!\168 degrees.\More to the right!\Right?\Right!\Right?\Correct! response:	There!
context: Are you done yet?!\168 degrees.\More to the right!\Right?\Right!\Right?\Correct!\There! response:	Um, the latitude is...
context: 168 degrees.\More to the right!\Right?\Right!\Right?\Correct!\There!\Um, the latitude is... response:	And the longitude is...
context: More to the right!\Right?\Right!\Right?\Correct!\There!\Um, the latitude is...\And the longitude is... response:	It seems further away than the last one, doesn't it?
context: Right?\Right!\Right?\Correct!\There!\Um, the latitude is...\And the longitude is...\It seems further away than the last one, doesn't it? response:	If the instruments are right, we should be right here, I think.
context: Right!\Right?\Correct!\There!\Um, the latitude is...\And the longitude is...\It seems further away than the last one, doesn't it?\If the instruments are right, we should be right here, I think. response:	That's where they are, huh? They've gotten pretty off-track...
context: Right?\Correct!\There!\Um, the latitude is...\And the longitude is...\It seems further away than the last one, doesn't it?\If the instruments are right, we should be right here, I think.\That's where they are, huh? They've gotten pretty off-track... response:	This reminds me of the first time I took part in one of these.
context: Correct!\There!\Um, the latitude is...\And the longitude is...\It seems further away than the last one, doesn't it?\If the instruments are right, we should be right here, I think.\That's where they are, huh? They've gotten pretty off-track...\This reminds me of the first time I took part in one of these. response:	What's the story on the other three?
context: There!\Um, the latitude is...\And the longitude is...\It seems further away than the last one, doesn't it?\If the instruments are right, we should be right here, I think.\That's where they are, huh? They've gotten pretty off-track...\This reminds me of the first time I took part in one of these.\What's the story on the other three? response:	Well, the one is the girl we were supposed to bring along from the start, right?
context: Um, the latitude is...\And the longitude is...\It seems further away than the last one, doesn't it?\If the instruments are right, we should be right here, I think.\That's where they are, huh? They've gotten pretty off-track...\This reminds me of the first time I took part in one of these.\What's the story on the other three?\Well, the one is the girl we were supposed to bring along from the start, right? response:	They seem to have become friends at some point, but...
context: And the longitude is...\It seems further away than the last one, doesn't it?\If the instruments are right, we should be right here, I think.\That's where they are, huh? They've gotten pretty off-track...\This reminds me of the first time I took part in one of these.\What's the story on the other three?\Well, the one is the girl we were supposed to bring along from the start, right?\They seem to have become friends at some point, but... response:	Oh.
context: It seems further away than the last one, doesn't it?\If the instruments are right, we should be right here, I think.\That's where they are, huh? They've gotten pretty off-track...\This reminds me of the first time I took part in one of these.\What's the story on the other three?\Well, the one is the girl we were supposed to bring along from the start, right?\They seem to have become friends at some point, but...\Oh. response:	She said the other expedition members would compete on time, but...
context: If the instruments are right, we should be right here, I think.\That's where they are, huh? They've gotten pretty off-track...\This reminds me of the first time I took part in one of these.\What's the story on the other three?\Well, the one is the girl we were supposed to bring along from the start, right?\They seem to have become friends at some point, but...\Oh.\She said the other expedition members would compete on time, but... response:	I think precision is more important than speed.
context: That's where they are, huh? They've gotten pretty off-track...\This reminds me of the first time I took part in one of these.\What's the story on the other three?\Well, the one is the girl we were supposed to bring along from the start, right?\They seem to have become friends at some point, but...\Oh.\She said the other expedition members would compete on time, but...\I think precision is more important than speed. response:	Safety first, right?
context: This reminds me of the first time I took part in one of these.\What's the story on the other three?\Well, the one is the girl we were supposed to bring along from the start, right?\They seem to have become friends at some point, but...\Oh.\She said the other expedition members would compete on time, but...\I think precision is more important than speed.\Safety first, right? response:	Okay, here I go.
context: What's the story on the other three?\Well, the one is the girl we were supposed to bring along from the start, right?\They seem to have become friends at some point, but...\Oh.\She said the other expedition members would compete on time, but...\I think precision is more important than speed.\Safety first, right?\Okay, here I go. response:	One, two...
context: Well, the one is the girl we were supposed to bring along from the start, right?\They seem to have become friends at some point, but...\Oh.\She said the other expedition members would compete on time, but...\I think precision is more important than speed.\Safety first, right?\Okay, here I go.\One, two... response:	398, 399, 400.
context: They seem to have become friends at some point, but...\Oh.\She said the other expedition members would compete on time, but...\I think precision is more important than speed.\Safety first, right?\Okay, here I go.\One, two...\398, 399, 400. response:	Okay, here!
context: Oh.\She said the other expedition members would compete on time, but...\I think precision is more important than speed.\Safety first, right?\Okay, here I go.\One, two...\398, 399, 400.\Okay, here! response:	Two steps left!
context: She said the other expedition members would compete on time, but...\I think precision is more important than speed.\Safety first, right?\Okay, here I go.\One, two...\398, 399, 400.\Okay, here!\Two steps left! response:	Yes, there!
context: I think precision is more important than speed.\Safety first, right?\Okay, here I go.\One, two...\398, 399, 400.\Okay, here!\Two steps left!\Yes, there! response:	That was fast.
context: Safety first, right?\Okay, here I go.\One, two...\398, 399, 400.\Okay, here!\Two steps left!\Yes, there!\That was fast. response:	I'm impressed you could tell, though.
context: Okay, here I go.\One, two...\398, 399, 400.\Okay, here!\Two steps left!\Yes, there!\That was fast.\I'm impressed you could tell, though. response:	Kimari must be good with the compass.
context: One, two...\398, 399, 400.\Okay, here!\Two steps left!\Yes, there!\That was fast.\I'm impressed you could tell, though.\Kimari must be good with the compass. response:	She does seem cut out for it!
context: 398, 399, 400.\Okay, here!\Two steps left!\Yes, there!\That was fast.\I'm impressed you could tell, though.\Kimari must be good with the compass.\She does seem cut out for it! response:	Just call me a compass expert.
context: Okay, here!\Two steps left!\Yes, there!\That was fast.\I'm impressed you could tell, though.\Kimari must be good with the compass.\She does seem cut out for it!\Just call me a compass expert. response:	A compasser, for short!
context: Two steps left!\Yes, there!\That was fast.\I'm impressed you could tell, though.\Kimari must be good with the compass.\She does seem cut out for it!\Just call me a compass expert.\A compasser, for short! response:	First comes rock! Rock-paper-scissors!
context: Yes, there!\That was fast.\I'm impressed you could tell, though.\Kimari must be good with the compass.\She does seem cut out for it!\Just call me a compass expert.\A compasser, for short!\First comes rock! Rock-paper-scissors! response:	Okay, I'll take this one!
context: That was fast.\I'm impressed you could tell, though.\Kimari must be good with the compass.\She does seem cut out for it!\Just call me a compass expert.\A compasser, for short!\First comes rock! Rock-paper-scissors!\Okay, I'll take this one! response:	Feels like we're on a field trip!
context: I'm impressed you could tell, though.\Kimari must be good with the compass.\She does seem cut out for it!\Just call me a compass expert.\A compasser, for short!\First comes rock! Rock-paper-scissors!\Okay, I'll take this one!\Feels like we're on a field trip! response:	Anyone bring any playing cards?
context: Kimari must be good with the compass.\She does seem cut out for it!\Just call me a compass expert.\A compasser, for short!\First comes rock! Rock-paper-scissors!\Okay, I'll take this one!\Feels like we're on a field trip!\Anyone bring any playing cards? response:	We're not here to play around!
context: She does seem cut out for it!\Just call me a compass expert.\A compasser, for short!\First comes rock! Rock-paper-scissors!\Okay, I'll take this one!\Feels like we're on a field trip!\Anyone bring any playing cards?\We're not here to play around! response:	Sleeping in a tent will be good training, too.
context: Just call me a compass expert.\A compasser, for short!\First comes rock! Rock-paper-scissors!\Okay, I'll take this one!\Feels like we're on a field trip!\Anyone bring any playing cards?\We're not here to play around!\Sleeping in a tent will be good training, too. response:	But it's not even 8:00 yet!
context: A compasser, for short!\First comes rock! Rock-paper-scissors!\Okay, I'll take this one!\Feels like we're on a field trip!\Anyone bring any playing cards?\We're not here to play around!\Sleeping in a tent will be good training, too.\But it's not even 8:00 yet! response:	Come on, the captain said they'd always socialize at night during their training camps...
context: First comes rock! Rock-paper-scissors!\Okay, I'll take this one!\Feels like we're on a field trip!\Anyone bring any playing cards?\We're not here to play around!\Sleeping in a tent will be good training, too.\But it's not even 8:00 yet!\Come on, the captain said they'd always socialize at night during their training camps... response:	Less talk, more sleep!
context: Okay, I'll take this one!\Feels like we're on a field trip!\Anyone bring any playing cards?\We're not here to play around!\Sleeping in a tent will be good training, too.\But it's not even 8:00 yet!\Come on, the captain said they'd always socialize at night during their training camps...\Less talk, more sleep! response:	Hey, let's talk!
context: Feels like we're on a field trip!\Anyone bring any playing cards?\We're not here to play around!\Sleeping in a tent will be good training, too.\But it's not even 8:00 yet!\Come on, the captain said they'd always socialize at night during their training camps...\Less talk, more sleep!\Hey, let's talk! response:	Don't look at me.
context: Anyone bring any playing cards?\We're not here to play around!\Sleeping in a tent will be good training, too.\But it's not even 8:00 yet!\Come on, the captain said they'd always socialize at night during their training camps...\Less talk, more sleep!\Hey, let's talk!\Don't look at me. response:	Wanna tell scary stories?
context: We're not here to play around!\Sleeping in a tent will be good training, too.\But it's not even 8:00 yet!\Come on, the captain said they'd always socialize at night during their training camps...\Less talk, more sleep!\Hey, let's talk!\Don't look at me.\Wanna tell scary stories? response:	I could just kill you right now.
context: Sleeping in a tent will be good training, too.\But it's not even 8:00 yet!\Come on, the captain said they'd always socialize at night during their training camps...\Less talk, more sleep!\Hey, let's talk!\Don't look at me.\Wanna tell scary stories?\I could just kill you right now. response:	Yuzuki-chan, do you not like scary stories?
context: But it's not even 8:00 yet!\Come on, the captain said they'd always socialize at night during their training camps...\Less talk, more sleep!\Hey, let's talk!\Don't look at me.\Wanna tell scary stories?\I could just kill you right now.\Yuzuki-chan, do you not like scary stories? response:	Please shut talking now.
context: Come on, the captain said they'd always socialize at night during their training camps...\Less talk, more sleep!\Hey, let's talk!\Don't look at me.\Wanna tell scary stories?\I could just kill you right now.\Yuzuki-chan, do you not like scary stories?\Please shut talking now. response:	What does shut talking now mean?
context: Less talk, more sleep!\Hey, let's talk!\Don't look at me.\Wanna tell scary stories?\I could just kill you right now.\Yuzuki-chan, do you not like scary stories?\Please shut talking now.\What does shut talking now mean? response:	You're my senpai, so I self-corrected!
context: Hey, let's talk!\Don't look at me.\Wanna tell scary stories?\I could just kill you right now.\Yuzuki-chan, do you not like scary stories?\Please shut talking now.\What does shut talking now mean?\You're my senpai, so I self-corrected! response:	You knew what I meant, so please leave me alone!
context: Don't look at me.\Wanna tell scary stories?\I could just kill you right now.\Yuzuki-chan, do you not like scary stories?\Please shut talking now.\What does shut talking now mean?\You're my senpai, so I self-corrected!\You knew what I meant, so please leave me alone! response:	Please shut talking now.
context: Wanna tell scary stories?\I could just kill you right now.\Yuzuki-chan, do you not like scary stories?\Please shut talking now.\What does shut talking now mean?\You're my senpai, so I self-corrected!\You knew what I meant, so please leave me alone!\Please shut talking now. response:	Knock it off, Kimari!
context: I could just kill you right now.\Yuzuki-chan, do you not like scary stories?\Please shut talking now.\What does shut talking now mean?\You're my senpai, so I self-corrected!\You knew what I meant, so please leave me alone!\Please shut talking now.\Knock it off, Kimari! response:	Shirase-chan, are you asleep?
context: Yuzuki-chan, do you not like scary stories?\Please shut talking now.\What does shut talking now mean?\You're my senpai, so I self-corrected!\You knew what I meant, so please leave me alone!\Please shut talking now.\Knock it off, Kimari!\Shirase-chan, are you asleep? response:	I was wondering about something...
context: Please shut talking now.\What does shut talking now mean?\You're my senpai, so I self-corrected!\You knew what I meant, so please leave me alone!\Please shut talking now.\Knock it off, Kimari!\Shirase-chan, are you asleep?\I was wondering about something... response:	Do you know the captain?
context: What does shut talking now mean?\You're my senpai, so I self-corrected!\You knew what I meant, so please leave me alone!\Please shut talking now.\Knock it off, Kimari!\Shirase-chan, are you asleep?\I was wondering about something...\Do you know the captain? response:	How could you tell?
context: You're my senpai, so I self-corrected!\You knew what I meant, so please leave me alone!\Please shut talking now.\Knock it off, Kimari!\Shirase-chan, are you asleep?\I was wondering about something...\Do you know the captain?\How could you tell? response:	Just had a feeling.
context: You knew what I meant, so please leave me alone!\Please shut talking now.\Knock it off, Kimari!\Shirase-chan, are you asleep?\I was wondering about something...\Do you know the captain?\How could you tell?\Just had a feeling. response:	She and my mother knew each other in high school.
context: Please shut talking now.\Knock it off, Kimari!\Shirase-chan, are you asleep?\I was wondering about something...\Do you know the captain?\How could you tell?\Just had a feeling.\She and my mother knew each other in high school. response:	She went to Antarctica with my mother.
