context: This is Burnett, ARUS Golden News. response:	Did you all witness that shocking video
context: What? We ran away? When was that?\My head hurts...\I'm sure there was something more here...\You don't remember?\I'm positive that there was something. But now...\there's nothing.\What did I lose?!\The Haruto that I knew is gone. response:	What are you talking about, Shoko? I'm
context: My head hurts...\I'm sure there was something more here...\You don't remember?\I'm positive that there was something. But now...\there's nothing.\What did I lose?!\The Haruto that I knew is gone.\What are you talking about, Shoko? I'm response:	Don't touch me, you liar!
context: I'm sure there was something more here...\You don't remember?\I'm positive that there was something. But now...\there's nothing.\What did I lose?!\The Haruto that I knew is gone.\What are you talking about, Shoko? I'm\Don't touch me, you liar! response:	All this time...
context: You don't remember?\I'm positive that there was something. But now...\there's nothing.\What did I lose?!\The Haruto that I knew is gone.\What are you talking about, Shoko? I'm\Don't touch me, you liar!\All this time... response:	You've been lying to me.
context: I'm positive that there was something. But now...\there's nothing.\What did I lose?!\The Haruto that I knew is gone.\What are you talking about, Shoko? I'm\Don't touch me, you liar!\All this time...\You've been lying to me. response:	Prime Minister, your decision.
context: there's nothing.\What did I lose?!\The Haruto that I knew is gone.\What are you talking about, Shoko? I'm\Don't touch me, you liar!\All this time...\You've been lying to me.\Prime Minister, your decision. response:	Shoko...
context: What did I lose?!\The Haruto that I knew is gone.\What are you talking about, Shoko? I'm\Don't touch me, you liar!\All this time...\You've been lying to me.\Prime Minister, your decision.\Shoko... response:	All Valvraves, please stand down!
context: The Haruto that I knew is gone.\What are you talking about, Shoko? I'm\Don't touch me, you liar!\All this time...\You've been lying to me.\Prime Minister, your decision.\Shoko...\All Valvraves, please stand down! response:	Shoko-chan?
context: What are you talking about, Shoko? I'm\Don't touch me, you liar!\All this time...\You've been lying to me.\Prime Minister, your decision.\Shoko...\All Valvraves, please stand down!\Shoko-chan? response:	We are going to hand over Haruto Tokishima
context: Don't touch me, you liar!\All this time...\You've been lying to me.\Prime Minister, your decision.\Shoko...\All Valvraves, please stand down!\Shoko-chan?\We are going to hand over Haruto Tokishima response:	and surrender to the Allied Forces.
context: All this time...\You've been lying to me.\Prime Minister, your decision.\Shoko...\All Valvraves, please stand down!\Shoko-chan?\We are going to hand over Haruto Tokishima\and surrender to the Allied Forces. response:	What?!
context: You've been lying to me.\Prime Minister, your decision.\Shoko...\All Valvraves, please stand down!\Shoko-chan?\We are going to hand over Haruto Tokishima\and surrender to the Allied Forces.\What?! response:	Shoko, what are you saying?!
context: Prime Minister, your decision.\Shoko...\All Valvraves, please stand down!\Shoko-chan?\We are going to hand over Haruto Tokishima\and surrender to the Allied Forces.\What?!\Shoko, what are you saying?! response:	This is the only way.
context: Shoko...\All Valvraves, please stand down!\Shoko-chan?\We are going to hand over Haruto Tokishima\and surrender to the Allied Forces.\What?!\Shoko, what are you saying?!\This is the only way. response:	I have an obligation to protect everyone's lives.
context: All Valvraves, please stand down!\Shoko-chan?\We are going to hand over Haruto Tokishima\and surrender to the Allied Forces.\What?!\Shoko, what are you saying?!\This is the only way.\I have an obligation to protect everyone's lives. response:	As prime minister.
context: Shoko-chan?\We are going to hand over Haruto Tokishima\and surrender to the Allied Forces.\What?!\Shoko, what are you saying?!\This is the only way.\I have an obligation to protect everyone's lives.\As prime minister. response:	You gotta be kidding me!
context: We are going to hand over Haruto Tokishima\and surrender to the Allied Forces.\What?!\Shoko, what are you saying?!\This is the only way.\I have an obligation to protect everyone's lives.\As prime minister.\You gotta be kidding me! response:	What do you think we've been fighting all this time for?!
context: and surrender to the Allied Forces.\What?!\Shoko, what are you saying?!\This is the only way.\I have an obligation to protect everyone's lives.\As prime minister.\You gotta be kidding me!\What do you think we've been fighting all this time for?! response:	Don't make yourselves out to be heroes!
context: What?!\Shoko, what are you saying?!\This is the only way.\I have an obligation to protect everyone's lives.\As prime minister.\You gotta be kidding me!\What do you think we've been fighting all this time for?!\Don't make yourselves out to be heroes! response:	You're nothing but monsters!
context: Shoko, what are you saying?!\This is the only way.\I have an obligation to protect everyone's lives.\As prime minister.\You gotta be kidding me!\What do you think we've been fighting all this time for?!\Don't make yourselves out to be heroes!\You're nothing but monsters! response:	All this time, you've been killing
context: This is the only way.\I have an obligation to protect everyone's lives.\As prime minister.\You gotta be kidding me!\What do you think we've been fighting all this time for?!\Don't make yourselves out to be heroes!\You're nothing but monsters!\All this time, you've been killing response:	people while you were pretending to be our friends!
context: I have an obligation to protect everyone's lives.\As prime minister.\You gotta be kidding me!\What do you think we've been fighting all this time for?!\Don't make yourselves out to be heroes!\You're nothing but monsters!\All this time, you've been killing\people while you were pretending to be our friends! response:	Just like you killed my father!
context: As prime minister.\You gotta be kidding me!\What do you think we've been fighting all this time for?!\Don't make yourselves out to be heroes!\You're nothing but monsters!\All this time, you've been killing\people while you were pretending to be our friends!\Just like you killed my father! response:	Monsters, huh?
context: You gotta be kidding me!\What do you think we've been fighting all this time for?!\Don't make yourselves out to be heroes!\You're nothing but monsters!\All this time, you've been killing\people while you were pretending to be our friends!\Just like you killed my father!\Monsters, huh? response:	He's got nothing to do with this!
context: What do you think we've been fighting all this time for?!\Don't make yourselves out to be heroes!\You're nothing but monsters!\All this time, you've been killing\people while you were pretending to be our friends!\Just like you killed my father!\Monsters, huh?\He's got nothing to do with this! response:	There's no telling what he might do!
context: Don't make yourselves out to be heroes!\You're nothing but monsters!\All this time, you've been killing\people while you were pretending to be our friends!\Just like you killed my father!\Monsters, huh?\He's got nothing to do with this!\There's no telling what he might do! response:	It's too dangerous to take him with us!
context: You're nothing but monsters!\All this time, you've been killing\people while you were pretending to be our friends!\Just like you killed my father!\Monsters, huh?\He's got nothing to do with this!\There's no telling what he might do!\It's too dangerous to take him with us! response:	You give me too much credit...
context: All this time, you've been killing\people while you were pretending to be our friends!\Just like you killed my father!\Monsters, huh?\He's got nothing to do with this!\There's no telling what he might do!\It's too dangerous to take him with us!\You give me too much credit... response:	Huh? What's it doing?
context: people while you were pretending to be our friends!\Just like you killed my father!\Monsters, huh?\He's got nothing to do with this!\There's no telling what he might do!\It's too dangerous to take him with us!\You give me too much credit...\Huh? What's it doing? response:	No! This isn't what he said!
context: Just like you killed my father!\Monsters, huh?\He's got nothing to do with this!\There's no telling what he might do!\It's too dangerous to take him with us!\You give me too much credit...\Huh? What's it doing?\No! This isn't what he said! response:	The fools.
context: Monsters, huh?\He's got nothing to do with this!\There's no telling what he might do!\It's too dangerous to take him with us!\You give me too much credit...\Huh? What's it doing?\No! This isn't what he said!\The fools. response:	Did they honestly think that the president
context: He's got nothing to do with this!\There's no telling what he might do!\It's too dangerous to take him with us!\You give me too much credit...\Huh? What's it doing?\No! This isn't what he said!\The fools.\Did they honestly think that the president response:	of a country would negotiate with vermin?
context: There's no telling what he might do!\It's too dangerous to take him with us!\You give me too much credit...\Huh? What's it doing?\No! This isn't what he said!\The fools.\Did they honestly think that the president\of a country would negotiate with vermin? response:	He lied to us? No way...
context: It's too dangerous to take him with us!\You give me too much credit...\Huh? What's it doing?\No! This isn't what he said!\The fools.\Did they honestly think that the president\of a country would negotiate with vermin?\He lied to us? No way... response:	Let's run! Fire the mass driver!
context: You give me too much credit...\Huh? What's it doing?\No! This isn't what he said!\The fools.\Did they honestly think that the president\of a country would negotiate with vermin?\He lied to us? No way...\Let's run! Fire the mass driver! response:	I can't! It's not charged yet!
context: Huh? What's it doing?\No! This isn't what he said!\The fools.\Did they honestly think that the president\of a country would negotiate with vermin?\He lied to us? No way...\Let's run! Fire the mass driver!\I can't! It's not charged yet! response:	Why? You're a monster...
context: No! This isn't what he said!\The fools.\Did they honestly think that the president\of a country would negotiate with vermin?\He lied to us? No way...\Let's run! Fire the mass driver!\I can't! It's not charged yet!\Why? You're a monster... response:	We're not monsters!
context: The fools.\Did they honestly think that the president\of a country would negotiate with vermin?\He lied to us? No way...\Let's run! Fire the mass driver!\I can't! It's not charged yet!\Why? You're a monster...\We're not monsters! response:	We're Kamitsuki!
context: Did they honestly think that the president\of a country would negotiate with vermin?\He lied to us? No way...\Let's run! Fire the mass driver!\I can't! It's not charged yet!\Why? You're a monster...\We're not monsters!\We're Kamitsuki! response:	Aina came up with it.
context: of a country would negotiate with vermin?\He lied to us? No way...\Let's run! Fire the mass driver!\I can't! It's not charged yet!\Why? You're a monster...\We're not monsters!\We're Kamitsuki!\Aina came up with it. response:	She said we were touched by God, so she called us kamitsuki.
context: He lied to us? No way...\Let's run! Fire the mass driver!\I can't! It's not charged yet!\Why? You're a monster...\We're not monsters!\We're Kamitsuki!\Aina came up with it.\She said we were touched by God, so she called us kamitsuki. response:	If he's everyone's God,
context: Let's run! Fire the mass driver!\I can't! It's not charged yet!\Why? You're a monster...\We're not monsters!\We're Kamitsuki!\Aina came up with it.\She said we were touched by God, so she called us kamitsuki.\If he's everyone's God, response:	but is so stingy that he only saves those
context: I can't! It's not charged yet!\Why? You're a monster...\We're not monsters!\We're Kamitsuki!\Aina came up with it.\She said we were touched by God, so she called us kamitsuki.\If he's everyone's God,\but is so stingy that he only saves those response:	who believe in him, forget him!
context: Why? You're a monster...\We're not monsters!\We're Kamitsuki!\Aina came up with it.\She said we were touched by God, so she called us kamitsuki.\If he's everyone's God,\but is so stingy that he only saves those\who believe in him, forget him! response:	Even if you don't believe us,
context: We're not monsters!\We're Kamitsuki!\Aina came up with it.\She said we were touched by God, so she called us kamitsuki.\If he's everyone's God,\but is so stingy that he only saves those\who believe in him, forget him!\Even if you don't believe us, response:	even if you hate us, I'm still gonna save you!
context: We're Kamitsuki!\Aina came up with it.\She said we were touched by God, so she called us kamitsuki.\If he's everyone's God,\but is so stingy that he only saves those\who believe in him, forget him!\Even if you don't believe us,\even if you hate us, I'm still gonna save you! response:	Stay back!
context: Aina came up with it.\She said we were touched by God, so she called us kamitsuki.\If he's everyone's God,\but is so stingy that he only saves those\who believe in him, forget him!\Even if you don't believe us,\even if you hate us, I'm still gonna save you!\Stay back! response:	What the hell are you saying?!
context: She said we were touched by God, so she called us kamitsuki.\If he's everyone's God,\but is so stingy that he only saves those\who believe in him, forget him!\Even if you don't believe us,\even if you hate us, I'm still gonna save you!\Stay back!\What the hell are you saying?! response:	You and Akira, stick close to the shuttle!
context: If he's everyone's God,\but is so stingy that he only saves those\who believe in him, forget him!\Even if you don't believe us,\even if you hate us, I'm still gonna save you!\Stay back!\What the hell are you saying?!\You and Akira, stick close to the shuttle! response:	Escape with them using the mass driver!
context: but is so stingy that he only saves those\who believe in him, forget him!\Even if you don't believe us,\even if you hate us, I'm still gonna save you!\Stay back!\What the hell are you saying?!\You and Akira, stick close to the shuttle!\Escape with them using the mass driver! response:	What about you?
context: who believe in him, forget him!\Even if you don't believe us,\even if you hate us, I'm still gonna save you!\Stay back!\What the hell are you saying?!\You and Akira, stick close to the shuttle!\Escape with them using the mass driver!\What about you? response:	I'll rescue Haruto!
context: Even if you don't believe us,\even if you hate us, I'm still gonna save you!\Stay back!\What the hell are you saying?!\You and Akira, stick close to the shuttle!\Escape with them using the mass driver!\What about you?\I'll rescue Haruto! response:	Inuzuka-senpai, what are you
context: even if you hate us, I'm still gonna save you!\Stay back!\What the hell are you saying?!\You and Akira, stick close to the shuttle!\Escape with them using the mass driver!\What about you?\I'll rescue Haruto!\Inuzuka-senpai, what are you response:	I've been watching you and Haruto for years.
context: Stay back!\What the hell are you saying?!\You and Akira, stick close to the shuttle!\Escape with them using the mass driver!\What about you?\I'll rescue Haruto!\Inuzuka-senpai, what are you\I've been watching you and Haruto for years. response:	It's gonna end like this? I don't buy it.
context: What the hell are you saying?!\You and Akira, stick close to the shuttle!\Escape with them using the mass driver!\What about you?\I'll rescue Haruto!\Inuzuka-senpai, what are you\I've been watching you and Haruto for years.\It's gonna end like this? I don't buy it. response:	That's all.
context: You and Akira, stick close to the shuttle!\Escape with them using the mass driver!\What about you?\I'll rescue Haruto!\Inuzuka-senpai, what are you\I've been watching you and Haruto for years.\It's gonna end like this? I don't buy it.\That's all. response:	Charging complete!
context: Escape with them using the mass driver!\What about you?\I'll rescue Haruto!\Inuzuka-senpai, what are you\I've been watching you and Haruto for years.\It's gonna end like this? I don't buy it.\That's all.\Charging complete! response:	Oh, crap!
context: What about you?\I'll rescue Haruto!\Inuzuka-senpai, what are you\I've been watching you and Haruto for years.\It's gonna end like this? I don't buy it.\That's all.\Charging complete!\Oh, crap! response:	Yamada, I'll let you block the shot! Use my shield!
context: I'll rescue Haruto!\Inuzuka-senpai, what are you\I've been watching you and Haruto for years.\It's gonna end like this? I don't buy it.\That's all.\Charging complete!\Oh, crap!\Yamada, I'll let you block the shot! Use my shield! response:	Here it comes!
context: Inuzuka-senpai, what are you\I've been watching you and Haruto for years.\It's gonna end like this? I don't buy it.\That's all.\Charging complete!\Oh, crap!\Yamada, I'll let you block the shot! Use my shield!\Here it comes! response:	Senpai!
context: I've been watching you and Haruto for years.\It's gonna end like this? I don't buy it.\That's all.\Charging complete!\Oh, crap!\Yamada, I'll let you block the shot! Use my shield!\Here it comes!\Senpai! response:	Damn it!
context: It's gonna end like this? I don't buy it.\That's all.\Charging complete!\Oh, crap!\Yamada, I'll let you block the shot! Use my shield!\Here it comes!\Senpai!\Damn it! response:	Now to... get Haruto!
context: That's all.\Charging complete!\Oh, crap!\Yamada, I'll let you block the shot! Use my shield!\Here it comes!\Senpai!\Damn it!\Now to... get Haruto! response:	Senpai?
context: Charging complete!\Oh, crap!\Yamada, I'll let you block the shot! Use my shield!\Here it comes!\Senpai!\Damn it!\Now to... get Haruto!\Senpai? response:	Shoko and the others are in the clear.
context: Oh, crap!\Yamada, I'll let you block the shot! Use my shield!\Here it comes!\Senpai!\Damn it!\Now to... get Haruto!\Senpai?\Shoko and the others are in the clear. response:	The last order of business is you two.
context: Yamada, I'll let you block the shot! Use my shield!\Here it comes!\Senpai!\Damn it!\Now to... get Haruto!\Senpai?\Shoko and the others are in the clear.\The last order of business is you two. response:	I'll at least... get you to the Module...
context: Here it comes!\Senpai!\Damn it!\Now to... get Haruto!\Senpai?\Shoko and the others are in the clear.\The last order of business is you two.\I'll at least... get you to the Module... response:	It's no use! Leave us and escape by yourself!
context: Senpai!\Damn it!\Now to... get Haruto!\Senpai?\Shoko and the others are in the clear.\The last order of business is you two.\I'll at least... get you to the Module...\It's no use! Leave us and escape by yourself! response:	Haruto...
context: Damn it!\Now to... get Haruto!\Senpai?\Shoko and the others are in the clear.\The last order of business is you two.\I'll at least... get you to the Module...\It's no use! Leave us and escape by yourself!\Haruto... response:	Let me ask you something.
context: Now to... get Haruto!\Senpai?\Shoko and the others are in the clear.\The last order of business is you two.\I'll at least... get you to the Module...\It's no use! Leave us and escape by yourself!\Haruto...\Let me ask you something. response:	How do you feel about Shoko?
context: Senpai?\Shoko and the others are in the clear.\The last order of business is you two.\I'll at least... get you to the Module...\It's no use! Leave us and escape by yourself!\Haruto...\Let me ask you something.\How do you feel about Shoko? response:	How can you ask me that at a time like this?!
context: Shoko and the others are in the clear.\The last order of business is you two.\I'll at least... get you to the Module...\It's no use! Leave us and escape by yourself!\Haruto...\Let me ask you something.\How do you feel about Shoko?\How can you ask me that at a time like this?! response:	It occurred to me that I'd never heard it straight
context: The last order of business is you two.\I'll at least... get you to the Module...\It's no use! Leave us and escape by yourself!\Haruto...\Let me ask you something.\How do you feel about Shoko?\How can you ask me that at a time like this?!\It occurred to me that I'd never heard it straight response:	from the horse's mouth...
context: I'll at least... get you to the Module...\It's no use! Leave us and escape by yourself!\Haruto...\Let me ask you something.\How do you feel about Shoko?\How can you ask me that at a time like this?!\It occurred to me that I'd never heard it straight\from the horse's mouth... response:	How about it?
context: It's no use! Leave us and escape by yourself!\Haruto...\Let me ask you something.\How do you feel about Shoko?\How can you ask me that at a time like this?!\It occurred to me that I'd never heard it straight\from the horse's mouth...\How about it? response:	I liked her.
context: Haruto...\Let me ask you something.\How do you feel about Shoko?\How can you ask me that at a time like this?!\It occurred to me that I'd never heard it straight\from the horse's mouth...\How about it?\I liked her. response:	No, I still like her.
context: Let me ask you something.\How do you feel about Shoko?\How can you ask me that at a time like this?!\It occurred to me that I'd never heard it straight\from the horse's mouth...\How about it?\I liked her.\No, I still like her. response:	And I bet I always will.
context: How do you feel about Shoko?\How can you ask me that at a time like this?!\It occurred to me that I'd never heard it straight\from the horse's mouth...\How about it?\I liked her.\No, I still like her.\And I bet I always will. response:	I knew it. I knew it all along.
context: How can you ask me that at a time like this?!\It occurred to me that I'd never heard it straight\from the horse's mouth...\How about it?\I liked her.\No, I still like her.\And I bet I always will.\I knew it. I knew it all along. response:	Senpai!
context: It occurred to me that I'd never heard it straight\from the horse's mouth...\How about it?\I liked her.\No, I still like her.\And I bet I always will.\I knew it. I knew it all along.\Senpai! response:	Next time, episode 22. Fist of the Moon.
context: from the horse's mouth...\How about it?\I liked her.\No, I still like her.\And I bet I always will.\I knew it. I knew it all along.\Senpai!\Next time, episode 22. Fist of the Moon. response:	Valvrave the Liberator...
context: How about it?\I liked her.\No, I still like her.\And I bet I always will.\I knew it. I knew it all along.\Senpai!\Next time, episode 22. Fist of the Moon.\Valvrave the Liberator... response:	The system that will expose the truth of the world.
