context: Is that... response:	It looks like a princess or something to me.
context: and ambush her than try to go after her.\I'll send you the location.\Let's go.\Damn it, I've been running all the time lately!\It's gonna make me a healthy man.\Sounds great to me.\You won't have to ride in those awful cars.\I can smell her. response:	I think she's close!
context: I'll send you the location.\Let's go.\Damn it, I've been running all the time lately!\It's gonna make me a healthy man.\Sounds great to me.\You won't have to ride in those awful cars.\I can smell her.\I think she's close! response:	So we were right, huh? I don't know if that's good luck or bad.
context: Let's go.\Damn it, I've been running all the time lately!\It's gonna make me a healthy man.\Sounds great to me.\You won't have to ride in those awful cars.\I can smell her.\I think she's close!\So we were right, huh? I don't know if that's good luck or bad. response:	Kei.
context: Damn it, I've been running all the time lately!\It's gonna make me a healthy man.\Sounds great to me.\You won't have to ride in those awful cars.\I can smell her.\I think she's close!\So we were right, huh? I don't know if that's good luck or bad.\Kei. response:	What?
context: It's gonna make me a healthy man.\Sounds great to me.\You won't have to ride in those awful cars.\I can smell her.\I think she's close!\So we were right, huh? I don't know if that's good luck or bad.\Kei.\What? response:	I want to capture that vampire alive if possible.
context: Sounds great to me.\You won't have to ride in those awful cars.\I can smell her.\I think she's close!\So we were right, huh? I don't know if that's good luck or bad.\Kei.\What?\I want to capture that vampire alive if possible. response:	Don't be stupid!
context: You won't have to ride in those awful cars.\I can smell her.\I think she's close!\So we were right, huh? I don't know if that's good luck or bad.\Kei.\What?\I want to capture that vampire alive if possible.\Don't be stupid! response:	You saw how strong she is!
context: I can smell her.\I think she's close!\So we were right, huh? I don't know if that's good luck or bad.\Kei.\What?\I want to capture that vampire alive if possible.\Don't be stupid!\You saw how strong she is! response:	We can't hold back on her!
context: I think she's close!\So we were right, huh? I don't know if that's good luck or bad.\Kei.\What?\I want to capture that vampire alive if possible.\Don't be stupid!\You saw how strong she is!\We can't hold back on her! response:	That's why I said if possible.
context: So we were right, huh? I don't know if that's good luck or bad.\Kei.\What?\I want to capture that vampire alive if possible.\Don't be stupid!\You saw how strong she is!\We can't hold back on her!\That's why I said if possible. response:	Did talking to her make you sympathetic?
context: Kei.\What?\I want to capture that vampire alive if possible.\Don't be stupid!\You saw how strong she is!\We can't hold back on her!\That's why I said if possible.\Did talking to her make you sympathetic? response:	You take pity on her for having to run around in a town she's never seen before?
context: What?\I want to capture that vampire alive if possible.\Don't be stupid!\You saw how strong she is!\We can't hold back on her!\That's why I said if possible.\Did talking to her make you sympathetic?\You take pity on her for having to run around in a town she's never seen before? response:	Well...
context: I want to capture that vampire alive if possible.\Don't be stupid!\You saw how strong she is!\We can't hold back on her!\That's why I said if possible.\Did talking to her make you sympathetic?\You take pity on her for having to run around in a town she's never seen before?\Well... response:	Don't forget. She's killed two people already.
context: Don't be stupid!\You saw how strong she is!\We can't hold back on her!\That's why I said if possible.\Did talking to her make you sympathetic?\You take pity on her for having to run around in a town she's never seen before?\Well...\Don't forget. She's killed two people already. response:	I know that.
context: You saw how strong she is!\We can't hold back on her!\That's why I said if possible.\Did talking to her make you sympathetic?\You take pity on her for having to run around in a town she's never seen before?\Well...\Don't forget. She's killed two people already.\I know that. response:	She almost killed Cecil, too.
context: We can't hold back on her!\That's why I said if possible.\Did talking to her make you sympathetic?\You take pity on her for having to run around in a town she's never seen before?\Well...\Don't forget. She's killed two people already.\I know that.\She almost killed Cecil, too. response:	I know that!
context: That's why I said if possible.\Did talking to her make you sympathetic?\You take pity on her for having to run around in a town she's never seen before?\Well...\Don't forget. She's killed two people already.\I know that.\She almost killed Cecil, too.\I know that! response:	There's just something I want to ask her!
context: Did talking to her make you sympathetic?\You take pity on her for having to run around in a town she's never seen before?\Well...\Don't forget. She's killed two people already.\I know that.\She almost killed Cecil, too.\I know that!\There's just something I want to ask her! response:	It's so cold...
context: You take pity on her for having to run around in a town she's never seen before?\Well...\Don't forget. She's killed two people already.\I know that.\She almost killed Cecil, too.\I know that!\There's just something I want to ask her!\It's so cold... response:	An honor to meet you, descendant of the old blood.
context: Well...\Don't forget. She's killed two people already.\I know that.\She almost killed Cecil, too.\I know that!\There's just something I want to ask her!\It's so cold...\An honor to meet you, descendant of the old blood. response:	A wizard?
context: Don't forget. She's killed two people already.\I know that.\She almost killed Cecil, too.\I know that!\There's just something I want to ask her!\It's so cold...\An honor to meet you, descendant of the old blood.\A wizard? response:	Indeed. I apologize for being so forward.
context: I know that.\She almost killed Cecil, too.\I know that!\There's just something I want to ask her!\It's so cold...\An honor to meet you, descendant of the old blood.\A wizard?\Indeed. I apologize for being so forward. response:	What do you hope to gain by saving me?
context: She almost killed Cecil, too.\I know that!\There's just something I want to ask her!\It's so cold...\An honor to meet you, descendant of the old blood.\A wizard?\Indeed. I apologize for being so forward.\What do you hope to gain by saving me? response:	Tell me what it is you desire.
context: I know that!\There's just something I want to ask her!\It's so cold...\An honor to meet you, descendant of the old blood.\A wizard?\Indeed. I apologize for being so forward.\What do you hope to gain by saving me?\Tell me what it is you desire. response:	The Book of Niba.
context: There's just something I want to ask her!\It's so cold...\An honor to meet you, descendant of the old blood.\A wizard?\Indeed. I apologize for being so forward.\What do you hope to gain by saving me?\Tell me what it is you desire.\The Book of Niba. response:	Oh?
context: It's so cold...\An honor to meet you, descendant of the old blood.\A wizard?\Indeed. I apologize for being so forward.\What do you hope to gain by saving me?\Tell me what it is you desire.\The Book of Niba.\Oh? response:	I thought you might know something about such an ancient book...
context: An honor to meet you, descendant of the old blood.\A wizard?\Indeed. I apologize for being so forward.\What do you hope to gain by saving me?\Tell me what it is you desire.\The Book of Niba.\Oh?\I thought you might know something about such an ancient book... response:	I understand now.
context: A wizard?\Indeed. I apologize for being so forward.\What do you hope to gain by saving me?\Tell me what it is you desire.\The Book of Niba.\Oh?\I thought you might know something about such an ancient book...\I understand now. response:	Were you the one who had me brought here?
context: Indeed. I apologize for being so forward.\What do you hope to gain by saving me?\Tell me what it is you desire.\The Book of Niba.\Oh?\I thought you might know something about such an ancient book...\I understand now.\Were you the one who had me brought here? response:	Not at all. I wish merely to help you.
context: What do you hope to gain by saving me?\Tell me what it is you desire.\The Book of Niba.\Oh?\I thought you might know something about such an ancient book...\I understand now.\Were you the one who had me brought here?\Not at all. I wish merely to help you. response:	I need no help.
context: Tell me what it is you desire.\The Book of Niba.\Oh?\I thought you might know something about such an ancient book...\I understand now.\Were you the one who had me brought here?\Not at all. I wish merely to help you.\I need no help. response:	Begone.
context: The Book of Niba.\Oh?\I thought you might know something about such an ancient book...\I understand now.\Were you the one who had me brought here?\Not at all. I wish merely to help you.\I need no help.\Begone. response:	But with your current strength, you'll be hard-pressed to escape.
context: Oh?\I thought you might know something about such an ancient book...\I understand now.\Were you the one who had me brought here?\Not at all. I wish merely to help you.\I need no help.\Begone.\But with your current strength, you'll be hard-pressed to escape. response:	Do you hear?
context: I thought you might know something about such an ancient book...\I understand now.\Were you the one who had me brought here?\Not at all. I wish merely to help you.\I need no help.\Begone.\But with your current strength, you'll be hard-pressed to escape.\Do you hear? response:	Those two...
context: I understand now.\Were you the one who had me brought here?\Not at all. I wish merely to help you.\I need no help.\Begone.\But with your current strength, you'll be hard-pressed to escape.\Do you hear?\Those two... response:	My, my. They take their jobs very seriously.
context: Were you the one who had me brought here?\Not at all. I wish merely to help you.\I need no help.\Begone.\But with your current strength, you'll be hard-pressed to escape.\Do you hear?\Those two...\My, my. They take their jobs very seriously. response:	You know them?
context: Not at all. I wish merely to help you.\I need no help.\Begone.\But with your current strength, you'll be hard-pressed to escape.\Do you hear?\Those two...\My, my. They take their jobs very seriously.\You know them? response:	A little. Now, hurry.
context: I need no help.\Begone.\But with your current strength, you'll be hard-pressed to escape.\Do you hear?\Those two...\My, my. They take their jobs very seriously.\You know them?\A little. Now, hurry. response:	I will have this man guide you.
context: Begone.\But with your current strength, you'll be hard-pressed to escape.\Do you hear?\Those two...\My, my. They take their jobs very seriously.\You know them?\A little. Now, hurry.\I will have this man guide you. response:	Shocking... I'm disappointed, bearer of the old blood.
context: But with your current strength, you'll be hard-pressed to escape.\Do you hear?\Those two...\My, my. They take their jobs very seriously.\You know them?\A little. Now, hurry.\I will have this man guide you.\Shocking... I'm disappointed, bearer of the old blood. response:	I died long ago in an ancient war.
context: Do you hear?\Those two...\My, my. They take their jobs very seriously.\You know them?\A little. Now, hurry.\I will have this man guide you.\Shocking... I'm disappointed, bearer of the old blood.\I died long ago in an ancient war. response:	This is just a brief dream before the end.
context: Those two...\My, my. They take their jobs very seriously.\You know them?\A little. Now, hurry.\I will have this man guide you.\Shocking... I'm disappointed, bearer of the old blood.\I died long ago in an ancient war.\This is just a brief dream before the end. response:	And so...
context: My, my. They take their jobs very seriously.\You know them?\A little. Now, hurry.\I will have this man guide you.\Shocking... I'm disappointed, bearer of the old blood.\I died long ago in an ancient war.\This is just a brief dream before the end.\And so... response:	Another body.
context: You know them?\A little. Now, hurry.\I will have this man guide you.\Shocking... I'm disappointed, bearer of the old blood.\I died long ago in an ancient war.\This is just a brief dream before the end.\And so...\Another body. response:	A worker? No, but...
context: A little. Now, hurry.\I will have this man guide you.\Shocking... I'm disappointed, bearer of the old blood.\I died long ago in an ancient war.\This is just a brief dream before the end.\And so...\Another body.\A worker? No, but... response:	Damn you!
context: I will have this man guide you.\Shocking... I'm disappointed, bearer of the old blood.\I died long ago in an ancient war.\This is just a brief dream before the end.\And so...\Another body.\A worker? No, but...\Damn you! response:	Wait! Sheesh...
context: Shocking... I'm disappointed, bearer of the old blood.\I died long ago in an ancient war.\This is just a brief dream before the end.\And so...\Another body.\A worker? No, but...\Damn you!\Wait! Sheesh... response:	She's in the way.
context: I died long ago in an ancient war.\This is just a brief dream before the end.\And so...\Another body.\A worker? No, but...\Damn you!\Wait! Sheesh...\She's in the way. response:	Got her!
context: This is just a brief dream before the end.\And so...\Another body.\A worker? No, but...\Damn you!\Wait! Sheesh...\She's in the way.\Got her! response:	She's so damn tough!
context: And so...\Another body.\A worker? No, but...\Damn you!\Wait! Sheesh...\She's in the way.\Got her!\She's so damn tough! response:	Is that even possible?
context: Another body.\A worker? No, but...\Damn you!\Wait! Sheesh...\She's in the way.\Got her!\She's so damn tough!\Is that even possible? response:	Shit... This is not good!
context: A worker? No, but...\Damn you!\Wait! Sheesh...\She's in the way.\Got her!\She's so damn tough!\Is that even possible?\Shit... This is not good! response:	Get off! Do you want to die here with me?
context: Damn you!\Wait! Sheesh...\She's in the way.\Got her!\She's so damn tough!\Is that even possible?\Shit... This is not good!\Get off! Do you want to die here with me? response:	No man has ever survived three battles with me.
context: Wait! Sheesh...\She's in the way.\Got her!\She's so damn tough!\Is that even possible?\Shit... This is not good!\Get off! Do you want to die here with me?\No man has ever survived three battles with me. response:	I see. Perhaps you were the warrior spoken of in the prophecy.
context: She's in the way.\Got her!\She's so damn tough!\Is that even possible?\Shit... This is not good!\Get off! Do you want to die here with me?\No man has ever survived three battles with me.\I see. Perhaps you were the warrior spoken of in the prophecy. response:	Now suffer.
context: Got her!\She's so damn tough!\Is that even possible?\Shit... This is not good!\Get off! Do you want to die here with me?\No man has ever survived three battles with me.\I see. Perhaps you were the warrior spoken of in the prophecy.\Now suffer. response:	Is she... dead?
context: She's so damn tough!\Is that even possible?\Shit... This is not good!\Get off! Do you want to die here with me?\No man has ever survived three battles with me.\I see. Perhaps you were the warrior spoken of in the prophecy.\Now suffer.\Is she... dead? response:	Looks like it.
context: Is that even possible?\Shit... This is not good!\Get off! Do you want to die here with me?\No man has ever survived three battles with me.\I see. Perhaps you were the warrior spoken of in the prophecy.\Now suffer.\Is she... dead?\Looks like it. response:	She was smashed to pieces, so...
context: Shit... This is not good!\Get off! Do you want to die here with me?\No man has ever survived three battles with me.\I see. Perhaps you were the warrior spoken of in the prophecy.\Now suffer.\Is she... dead?\Looks like it.\She was smashed to pieces, so... response:	More importantly, Kei,
context: Get off! Do you want to die here with me?\No man has ever survived three battles with me.\I see. Perhaps you were the warrior spoken of in the prophecy.\Now suffer.\Is she... dead?\Looks like it.\She was smashed to pieces, so...\More importantly, Kei, response:	I haven't heard any thank-yous from the man
context: No man has ever survived three battles with me.\I see. Perhaps you were the warrior spoken of in the prophecy.\Now suffer.\Is she... dead?\Looks like it.\She was smashed to pieces, so...\More importantly, Kei,\I haven't heard any thank-yous from the man response:	who should've been smashed to pieces, too.
context: I see. Perhaps you were the warrior spoken of in the prophecy.\Now suffer.\Is she... dead?\Looks like it.\She was smashed to pieces, so...\More importantly, Kei,\I haven't heard any thank-yous from the man\who should've been smashed to pieces, too. response:	I didn't ask for your help.
context: Now suffer.\Is she... dead?\Looks like it.\She was smashed to pieces, so...\More importantly, Kei,\I haven't heard any thank-yous from the man\who should've been smashed to pieces, too.\I didn't ask for your help. response:	That again?
context: Is she... dead?\Looks like it.\She was smashed to pieces, so...\More importantly, Kei,\I haven't heard any thank-yous from the man\who should've been smashed to pieces, too.\I didn't ask for your help.\That again? response:	What is wrong with you? For one thing-
context: Looks like it.\She was smashed to pieces, so...\More importantly, Kei,\I haven't heard any thank-yous from the man\who should've been smashed to pieces, too.\I didn't ask for your help.\That again?\What is wrong with you? For one thing- response:	Thanks...
context: She was smashed to pieces, so...\More importantly, Kei,\I haven't heard any thank-yous from the man\who should've been smashed to pieces, too.\I didn't ask for your help.\That again?\What is wrong with you? For one thing-\Thanks... response:	Now let's call for backup.
context: More importantly, Kei,\I haven't heard any thank-yous from the man\who should've been smashed to pieces, too.\I didn't ask for your help.\That again?\What is wrong with you? For one thing-\Thanks...\Now let's call for backup. response:	Next time I'm not saving you! Not a chance in hell!
context: I haven't heard any thank-yous from the man\who should've been smashed to pieces, too.\I didn't ask for your help.\That again?\What is wrong with you? For one thing-\Thanks...\Now let's call for backup.\Next time I'm not saving you! Not a chance in hell! response:	No matter what!
context: who should've been smashed to pieces, too.\I didn't ask for your help.\That again?\What is wrong with you? For one thing-\Thanks...\Now let's call for backup.\Next time I'm not saving you! Not a chance in hell!\No matter what! response:	Fine!
context: I didn't ask for your help.\That again?\What is wrong with you? For one thing-\Thanks...\Now let's call for backup.\Next time I'm not saving you! Not a chance in hell!\No matter what!\Fine! response:	Anyway, we need to start on those reports...
context: That again?\What is wrong with you? For one thing-\Thanks...\Now let's call for backup.\Next time I'm not saving you! Not a chance in hell!\No matter what!\Fine!\Anyway, we need to start on those reports... response:	People who get to rest in a coffin when the sun comes up sure have it easy...
context: What is wrong with you? For one thing-\Thanks...\Now let's call for backup.\Next time I'm not saving you! Not a chance in hell!\No matter what!\Fine!\Anyway, we need to start on those reports...\People who get to rest in a coffin when the sun comes up sure have it easy... response:	Next Time Next time on COP CRAFT.
