context: You're such a slowpoke, Rita. response:	Alright, everyone, stay where you are and listen.
context: We want to go see our mothers and fathers\What's that song? We want to go see our mothers and fathers\It's coming from the laundry mill. We want to go see our mothers and fathers\It's coming from the laundry mill. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\It's an odd song. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy response:	So we can
context: What's that song? We want to go see our mothers and fathers\It's coming from the laundry mill. We want to go see our mothers and fathers\It's coming from the laundry mill. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\It's an odd song. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy\So we can response:	We're done.
context: It's coming from the laundry mill. We want to go see our mothers and fathers\It's coming from the laundry mill. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\It's an odd song. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy\So we can\We're done. response:	For the whole week.
context: It's coming from the laundry mill. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\It's an odd song. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy\So we can\We're done.\For the whole week. response:	We did it!
context: When we want to cry, we'll all laugh\It's an odd song. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy\So we can\We're done.\For the whole week.\We did it! response:	I don't believe it!
context: It's an odd song. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy\So we can\We're done.\For the whole week.\We did it!\I don't believe it! response:	We finished so fast!
context: When we want to cry, we'll all laugh\So we can cry tears of joy\So we can\We're done.\For the whole week.\We did it!\I don't believe it!\We finished so fast! response:	Ahem.
context: So we can cry tears of joy\So we can\We're done.\For the whole week.\We did it!\I don't believe it!\We finished so fast!\Ahem. response:	Ladies of the laundry mill!
context: So we can\We're done.\For the whole week.\We did it!\I don't believe it!\We finished so fast!\Ahem.\Ladies of the laundry mill! response:	Now that we've improved our efficiency,
context: We're done.\For the whole week.\We did it!\I don't believe it!\We finished so fast!\Ahem.\Ladies of the laundry mill!\Now that we've improved our efficiency, response:	I don't suppose you'd like to improve our revenue, as well?
context: For the whole week.\We did it!\I don't believe it!\We finished so fast!\Ahem.\Ladies of the laundry mill!\Now that we've improved our efficiency,\I don't suppose you'd like to improve our revenue, as well? response:	What? You mean earn more money?
context: We did it!\I don't believe it!\We finished so fast!\Ahem.\Ladies of the laundry mill!\Now that we've improved our efficiency,\I don't suppose you'd like to improve our revenue, as well?\What? You mean earn more money? response:	If we wash more, we earn more.
context: I don't believe it!\We finished so fast!\Ahem.\Ladies of the laundry mill!\Now that we've improved our efficiency,\I don't suppose you'd like to improve our revenue, as well?\What? You mean earn more money?\If we wash more, we earn more. response:	But there's nothing left to wash,
context: We finished so fast!\Ahem.\Ladies of the laundry mill!\Now that we've improved our efficiency,\I don't suppose you'd like to improve our revenue, as well?\What? You mean earn more money?\If we wash more, we earn more.\But there's nothing left to wash, response:	And the Army won't bring more'round til the weekend.
context: Ahem.\Ladies of the laundry mill!\Now that we've improved our efficiency,\I don't suppose you'd like to improve our revenue, as well?\What? You mean earn more money?\If we wash more, we earn more.\But there's nothing left to wash,\And the Army won't bring more'round til the weekend. response:	Then we'll just have to get some from other sources.
context: Ladies of the laundry mill!\Now that we've improved our efficiency,\I don't suppose you'd like to improve our revenue, as well?\What? You mean earn more money?\If we wash more, we earn more.\But there's nothing left to wash,\And the Army won't bring more'round til the weekend.\Then we'll just have to get some from other sources. response:	Some of you girls could really shine with a little polish.
context: Now that we've improved our efficiency,\I don't suppose you'd like to improve our revenue, as well?\What? You mean earn more money?\If we wash more, we earn more.\But there's nothing left to wash,\And the Army won't bring more'round til the weekend.\Then we'll just have to get some from other sources.\Some of you girls could really shine with a little polish. response:	What?
context: I don't suppose you'd like to improve our revenue, as well?\What? You mean earn more money?\If we wash more, we earn more.\But there's nothing left to wash,\And the Army won't bring more'round til the weekend.\Then we'll just have to get some from other sources.\Some of you girls could really shine with a little polish.\What? response:	Hey! Keep lollygagging and it'll be dark before we're through!
context: What? You mean earn more money?\If we wash more, we earn more.\But there's nothing left to wash,\And the Army won't bring more'round til the weekend.\Then we'll just have to get some from other sources.\Some of you girls could really shine with a little polish.\What?\Hey! Keep lollygagging and it'll be dark before we're through! response:	Hello!
context: If we wash more, we earn more.\But there's nothing left to wash,\And the Army won't bring more'round til the weekend.\Then we'll just have to get some from other sources.\Some of you girls could really shine with a little polish.\What?\Hey! Keep lollygagging and it'll be dark before we're through!\Hello! response:	I'm here with a business proposal.
context: But there's nothing left to wash,\And the Army won't bring more'round til the weekend.\Then we'll just have to get some from other sources.\Some of you girls could really shine with a little polish.\What?\Hey! Keep lollygagging and it'll be dark before we're through!\Hello!\I'm here with a business proposal. response:	What kind of proposal?
context: And the Army won't bring more'round til the weekend.\Then we'll just have to get some from other sources.\Some of you girls could really shine with a little polish.\What?\Hey! Keep lollygagging and it'll be dark before we're through!\Hello!\I'm here with a business proposal.\What kind of proposal? response:	We would like to wash all of your work clothes.
context: Then we'll just have to get some from other sources.\Some of you girls could really shine with a little polish.\What?\Hey! Keep lollygagging and it'll be dark before we're through!\Hello!\I'm here with a business proposal.\What kind of proposal?\We would like to wash all of your work clothes. response:	We?
context: Some of you girls could really shine with a little polish.\What?\Hey! Keep lollygagging and it'll be dark before we're through!\Hello!\I'm here with a business proposal.\What kind of proposal?\We would like to wash all of your work clothes.\We? response:	We look forward to working with you!
context: What?\Hey! Keep lollygagging and it'll be dark before we're through!\Hello!\I'm here with a business proposal.\What kind of proposal?\We would like to wash all of your work clothes.\We?\We look forward to working with you! response:	With you!
context: Hey! Keep lollygagging and it'll be dark before we're through!\Hello!\I'm here with a business proposal.\What kind of proposal?\We would like to wash all of your work clothes.\We?\We look forward to working with you!\With you! response:	Me, too!
context: Hello!\I'm here with a business proposal.\What kind of proposal?\We would like to wash all of your work clothes.\We?\We look forward to working with you!\With you!\Me, too! response:	You sure are cute!
context: I'm here with a business proposal.\What kind of proposal?\We would like to wash all of your work clothes.\We?\We look forward to working with you!\With you!\Me, too!\You sure are cute! response:	Oh, bother.
context: What kind of proposal?\We would like to wash all of your work clothes.\We?\We look forward to working with you!\With you!\Me, too!\You sure are cute!\Oh, bother. response:	We already have a launderer.
context: We would like to wash all of your work clothes.\We?\We look forward to working with you!\With you!\Me, too!\You sure are cute!\Oh, bother.\We already have a launderer. response:	But you can change that!
context: We?\We look forward to working with you!\With you!\Me, too!\You sure are cute!\Oh, bother.\We already have a launderer.\But you can change that! response:	Boss!
context: We look forward to working with you!\With you!\Me, too!\You sure are cute!\Oh, bother.\We already have a launderer.\But you can change that!\Boss! response:	Let's let them wash our clothes!
context: With you!\Me, too!\You sure are cute!\Oh, bother.\We already have a launderer.\But you can change that!\Boss!\Let's let them wash our clothes! response:	Weren't you just complaining about their sloppy work?
context: Me, too!\You sure are cute!\Oh, bother.\We already have a launderer.\But you can change that!\Boss!\Let's let them wash our clothes!\Weren't you just complaining about their sloppy work? response:	You boys...
context: You sure are cute!\Oh, bother.\We already have a launderer.\But you can change that!\Boss!\Let's let them wash our clothes!\Weren't you just complaining about their sloppy work?\You boys... response:	I suppose we could see how you do.
context: Oh, bother.\We already have a launderer.\But you can change that!\Boss!\Let's let them wash our clothes!\Weren't you just complaining about their sloppy work?\You boys...\I suppose we could see how you do. response:	Hooray!
context: We already have a launderer.\But you can change that!\Boss!\Let's let them wash our clothes!\Weren't you just complaining about their sloppy work?\You boys...\I suppose we could see how you do.\Hooray! response:	That's an awful lot of clothes.
context: But you can change that!\Boss!\Let's let them wash our clothes!\Weren't you just complaining about their sloppy work?\You boys...\I suppose we could see how you do.\Hooray!\That's an awful lot of clothes. response:	We had a lot of success, thanks to our excellent saleslady.
context: Boss!\Let's let them wash our clothes!\Weren't you just complaining about their sloppy work?\You boys...\I suppose we could see how you do.\Hooray!\That's an awful lot of clothes.\We had a lot of success, thanks to our excellent saleslady. response:	What? Rita?
context: Let's let them wash our clothes!\Weren't you just complaining about their sloppy work?\You boys...\I suppose we could see how you do.\Hooray!\That's an awful lot of clothes.\We had a lot of success, thanks to our excellent saleslady.\What? Rita? response:	Yoohoo!
context: Weren't you just complaining about their sloppy work?\You boys...\I suppose we could see how you do.\Hooray!\That's an awful lot of clothes.\We had a lot of success, thanks to our excellent saleslady.\What? Rita?\Yoohoo! response:	What happened?
context: You boys...\I suppose we could see how you do.\Hooray!\That's an awful lot of clothes.\We had a lot of success, thanks to our excellent saleslady.\What? Rita?\Yoohoo!\What happened? response:	You're all so pretty, I hardly recognize you!
context: I suppose we could see how you do.\Hooray!\That's an awful lot of clothes.\We had a lot of success, thanks to our excellent saleslady.\What? Rita?\Yoohoo!\What happened?\You're all so pretty, I hardly recognize you! response:	Miss Dorothea taught us how to wear makeup.
context: Hooray!\That's an awful lot of clothes.\We had a lot of success, thanks to our excellent saleslady.\What? Rita?\Yoohoo!\What happened?\You're all so pretty, I hardly recognize you!\Miss Dorothea taught us how to wear makeup. response:	What! Lucky!
context: That's an awful lot of clothes.\We had a lot of success, thanks to our excellent saleslady.\What? Rita?\Yoohoo!\What happened?\You're all so pretty, I hardly recognize you!\Miss Dorothea taught us how to wear makeup.\What! Lucky! response:	No fair! Do me, too!
context: We had a lot of success, thanks to our excellent saleslady.\What? Rita?\Yoohoo!\What happened?\You're all so pretty, I hardly recognize you!\Miss Dorothea taught us how to wear makeup.\What! Lucky!\No fair! Do me, too! response:	Me, too!
context: What? Rita?\Yoohoo!\What happened?\You're all so pretty, I hardly recognize you!\Miss Dorothea taught us how to wear makeup.\What! Lucky!\No fair! Do me, too!\Me, too! response:	Alright, save the chatter.
context: Yoohoo!\What happened?\You're all so pretty, I hardly recognize you!\Miss Dorothea taught us how to wear makeup.\What! Lucky!\No fair! Do me, too!\Me, too!\Alright, save the chatter. response:	Let's get these clothes in the machines.
context: What happened?\You're all so pretty, I hardly recognize you!\Miss Dorothea taught us how to wear makeup.\What! Lucky!\No fair! Do me, too!\Me, too!\Alright, save the chatter.\Let's get these clothes in the machines. response:	Yes, ma'am!
context: You're all so pretty, I hardly recognize you!\Miss Dorothea taught us how to wear makeup.\What! Lucky!\No fair! Do me, too!\Me, too!\Alright, save the chatter.\Let's get these clothes in the machines.\Yes, ma'am! response:	Thanks for doing sales, Rita.
context: Miss Dorothea taught us how to wear makeup.\What! Lucky!\No fair! Do me, too!\Me, too!\Alright, save the chatter.\Let's get these clothes in the machines.\Yes, ma'am!\Thanks for doing sales, Rita. response:	Yeah!
context: What! Lucky!\No fair! Do me, too!\Me, too!\Alright, save the chatter.\Let's get these clothes in the machines.\Yes, ma'am!\Thanks for doing sales, Rita.\Yeah! response:	What's this report?
context: No fair! Do me, too!\Me, too!\Alright, save the chatter.\Let's get these clothes in the machines.\Yes, ma'am!\Thanks for doing sales, Rita.\Yeah!\What's this report? response:	It's the income and expense report for the laundry mill Princess purchased.
context: Me, too!\Alright, save the chatter.\Let's get these clothes in the machines.\Yes, ma'am!\Thanks for doing sales, Rita.\Yeah!\What's this report?\It's the income and expense report for the laundry mill Princess purchased. response:	They've increased revenue 231 since last year.
context: Alright, save the chatter.\Let's get these clothes in the machines.\Yes, ma'am!\Thanks for doing sales, Rita.\Yeah!\What's this report?\It's the income and expense report for the laundry mill Princess purchased.\They've increased revenue 231 since last year. response:	Ho ho, how interesting.
context: Let's get these clothes in the machines.\Yes, ma'am!\Thanks for doing sales, Rita.\Yeah!\What's this report?\It's the income and expense report for the laundry mill Princess purchased.\They've increased revenue 231 since last year.\Ho ho, how interesting. response:	What the hell are they doing?
context: Yes, ma'am!\Thanks for doing sales, Rita.\Yeah!\What's this report?\It's the income and expense report for the laundry mill Princess purchased.\They've increased revenue 231 since last year.\Ho ho, how interesting.\What the hell are they doing? response:	I thought their job was to find Poison Gas Jack!
context: Thanks for doing sales, Rita.\Yeah!\What's this report?\It's the income and expense report for the laundry mill Princess purchased.\They've increased revenue 231 since last year.\Ho ho, how interesting.\What the hell are they doing?\I thought their job was to find Poison Gas Jack! response:	Wasting their time on these frivolities!
context: Yeah!\What's this report?\It's the income and expense report for the laundry mill Princess purchased.\They've increased revenue 231 since last year.\Ho ho, how interesting.\What the hell are they doing?\I thought their job was to find Poison Gas Jack!\Wasting their time on these frivolities! response:	What does D say about it?
context: What's this report?\It's the income and expense report for the laundry mill Princess purchased.\They've increased revenue 231 since last year.\Ho ho, how interesting.\What the hell are they doing?\I thought their job was to find Poison Gas Jack!\Wasting their time on these frivolities!\What does D say about it? response:	That it was a necessary measure in continuing the mission.
context: It's the income and expense report for the laundry mill Princess purchased.\They've increased revenue 231 since last year.\Ho ho, how interesting.\What the hell are they doing?\I thought their job was to find Poison Gas Jack!\Wasting their time on these frivolities!\What does D say about it?\That it was a necessary measure in continuing the mission. response:	Where's my uniform?
context: They've increased revenue 231 since last year.\Ho ho, how interesting.\What the hell are they doing?\I thought their job was to find Poison Gas Jack!\Wasting their time on these frivolities!\What does D say about it?\That it was a necessary measure in continuing the mission.\Where's my uniform? response:	I left it on my bed.
context: Ho ho, how interesting.\What the hell are they doing?\I thought their job was to find Poison Gas Jack!\Wasting their time on these frivolities!\What does D say about it?\That it was a necessary measure in continuing the mission.\Where's my uniform?\I left it on my bed. response:	Oh, is that all? They came around collecting laundry, so I gave it to them for you.
context: What the hell are they doing?\I thought their job was to find Poison Gas Jack!\Wasting their time on these frivolities!\What does D say about it?\That it was a necessary measure in continuing the mission.\Where's my uniform?\I left it on my bed.\Oh, is that all? They came around collecting laundry, so I gave it to them for you. response:	It's just, this guy always does his own laundry!
context: I thought their job was to find Poison Gas Jack!\Wasting their time on these frivolities!\What does D say about it?\That it was a necessary measure in continuing the mission.\Where's my uniform?\I left it on my bed.\Oh, is that all? They came around collecting laundry, so I gave it to them for you.\It's just, this guy always does his own laundry! response:	He didn't want your help, Mate.
context: Wasting their time on these frivolities!\What does D say about it?\That it was a necessary measure in continuing the mission.\Where's my uniform?\I left it on my bed.\Oh, is that all? They came around collecting laundry, so I gave it to them for you.\It's just, this guy always does his own laundry!\He didn't want your help, Mate. response:	What? Have to do it the way Mummy taught you?
context: What does D say about it?\That it was a necessary measure in continuing the mission.\Where's my uniform?\I left it on my bed.\Oh, is that all? They came around collecting laundry, so I gave it to them for you.\It's just, this guy always does his own laundry!\He didn't want your help, Mate.\What? Have to do it the way Mummy taught you? response:	Turn one more round
context: That it was a necessary measure in continuing the mission.\Where's my uniform?\I left it on my bed.\Oh, is that all? They came around collecting laundry, so I gave it to them for you.\It's just, this guy always does his own laundry!\He didn't want your help, Mate.\What? Have to do it the way Mummy taught you?\Turn one more round response:	Let's do our best to earn a living
context: Where's my uniform?\I left it on my bed.\Oh, is that all? They came around collecting laundry, so I gave it to them for you.\It's just, this guy always does his own laundry!\He didn't want your help, Mate.\What? Have to do it the way Mummy taught you?\Turn one more round\Let's do our best to earn a living response:	To eat delicious food
context: I left it on my bed.\Oh, is that all? They came around collecting laundry, so I gave it to them for you.\It's just, this guy always does his own laundry!\He didn't want your help, Mate.\What? Have to do it the way Mummy taught you?\Turn one more round\Let's do our best to earn a living\To eat delicious food response:	When we're tired, we'll all sing
context: Oh, is that all? They came around collecting laundry, so I gave it to them for you.\It's just, this guy always does his own laundry!\He didn't want your help, Mate.\What? Have to do it the way Mummy taught you?\Turn one more round\Let's do our best to earn a living\To eat delicious food\When we're tired, we'll all sing response:	So we can stop our sighing
context: It's just, this guy always does his own laundry!\He didn't want your help, Mate.\What? Have to do it the way Mummy taught you?\Turn one more round\Let's do our best to earn a living\To eat delicious food\When we're tired, we'll all sing\So we can stop our sighing response:	You can use this if you wish. So we can stop our sighing
context: He didn't want your help, Mate.\What? Have to do it the way Mummy taught you?\Turn one more round\Let's do our best to earn a living\To eat delicious food\When we're tired, we'll all sing\So we can stop our sighing\You can use this if you wish. So we can stop our sighing response:	So we can stop our sighing
context: What? Have to do it the way Mummy taught you?\Turn one more round\Let's do our best to earn a living\To eat delicious food\When we're tired, we'll all sing\So we can stop our sighing\You can use this if you wish. So we can stop our sighing\So we can stop our sighing response:	Uh, thanks.
context: Turn one more round\Let's do our best to earn a living\To eat delicious food\When we're tired, we'll all sing\So we can stop our sighing\You can use this if you wish. So we can stop our sighing\So we can stop our sighing\Uh, thanks. response:	Uh, thanks. When we're sad, we'll all laugh
context: Let's do our best to earn a living\To eat delicious food\When we're tired, we'll all sing\So we can stop our sighing\You can use this if you wish. So we can stop our sighing\So we can stop our sighing\Uh, thanks.\Uh, thanks. When we're sad, we'll all laugh response:	When we're sad, we'll all laugh
context: To eat delicious food\When we're tired, we'll all sing\So we can stop our sighing\You can use this if you wish. So we can stop our sighing\So we can stop our sighing\Uh, thanks.\Uh, thanks. When we're sad, we'll all laugh\When we're sad, we'll all laugh response:	A bandage? When we're sad, we'll all laugh
context: When we're tired, we'll all sing\So we can stop our sighing\You can use this if you wish. So we can stop our sighing\So we can stop our sighing\Uh, thanks.\Uh, thanks. When we're sad, we'll all laugh\When we're sad, we'll all laugh\A bandage? When we're sad, we'll all laugh response:	You wear it like this. When we're sad, we'll all laugh
context: So we can stop our sighing\You can use this if you wish. So we can stop our sighing\So we can stop our sighing\Uh, thanks.\Uh, thanks. When we're sad, we'll all laugh\When we're sad, we'll all laugh\A bandage? When we're sad, we'll all laugh\You wear it like this. When we're sad, we'll all laugh response:	You wear it like this. We want to go see our mothers and fathers
context: You can use this if you wish. So we can stop our sighing\So we can stop our sighing\Uh, thanks.\Uh, thanks. When we're sad, we'll all laugh\When we're sad, we'll all laugh\A bandage? When we're sad, we'll all laugh\You wear it like this. When we're sad, we'll all laugh\You wear it like this. We want to go see our mothers and fathers response:	We want to go see our mothers and fathers
context: So we can stop our sighing\Uh, thanks.\Uh, thanks. When we're sad, we'll all laugh\When we're sad, we'll all laugh\A bandage? When we're sad, we'll all laugh\You wear it like this. When we're sad, we'll all laugh\You wear it like this. We want to go see our mothers and fathers\We want to go see our mothers and fathers response:	It's called a hachimaki. We want to go see our mothers and fathers
context: Uh, thanks.\Uh, thanks. When we're sad, we'll all laugh\When we're sad, we'll all laugh\A bandage? When we're sad, we'll all laugh\You wear it like this. When we're sad, we'll all laugh\You wear it like this. We want to go see our mothers and fathers\We want to go see our mothers and fathers\It's called a hachimaki. We want to go see our mothers and fathers response:	When we want to cry, we'll all laugh
context: Uh, thanks. When we're sad, we'll all laugh\When we're sad, we'll all laugh\A bandage? When we're sad, we'll all laugh\You wear it like this. When we're sad, we'll all laugh\You wear it like this. We want to go see our mothers and fathers\We want to go see our mothers and fathers\It's called a hachimaki. We want to go see our mothers and fathers\When we want to cry, we'll all laugh response:	In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh
context: When we're sad, we'll all laugh\A bandage? When we're sad, we'll all laugh\You wear it like this. When we're sad, we'll all laugh\You wear it like this. We want to go see our mothers and fathers\We want to go see our mothers and fathers\It's called a hachimaki. We want to go see our mothers and fathers\When we want to cry, we'll all laugh\In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh response:	I see. When we want to cry, we'll all laugh
context: A bandage? When we're sad, we'll all laugh\You wear it like this. When we're sad, we'll all laugh\You wear it like this. We want to go see our mothers and fathers\We want to go see our mothers and fathers\It's called a hachimaki. We want to go see our mothers and fathers\When we want to cry, we'll all laugh\In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh\I see. When we want to cry, we'll all laugh response:	When we want to cry, we'll all laugh
context: You wear it like this. When we're sad, we'll all laugh\You wear it like this. We want to go see our mothers and fathers\We want to go see our mothers and fathers\It's called a hachimaki. We want to go see our mothers and fathers\When we want to cry, we'll all laugh\In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh\I see. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh response:	So we can cry tears of joy.
context: You wear it like this. We want to go see our mothers and fathers\We want to go see our mothers and fathers\It's called a hachimaki. We want to go see our mothers and fathers\When we want to cry, we'll all laugh\In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh\I see. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy. response:	Miss Dorothy!
context: We want to go see our mothers and fathers\It's called a hachimaki. We want to go see our mothers and fathers\When we want to cry, we'll all laugh\In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh\I see. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy.\Miss Dorothy! response:	What's up?
context: It's called a hachimaki. We want to go see our mothers and fathers\When we want to cry, we'll all laugh\In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh\I see. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy.\Miss Dorothy!\What's up? response:	Look.
context: When we want to cry, we'll all laugh\In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh\I see. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy.\Miss Dorothy!\What's up?\Look. response:	That's our Princess.
context: In my country, we use them to rouse our fighting spirit. When we want to cry, we'll all laugh\I see. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy.\Miss Dorothy!\What's up?\Look.\That's our Princess. response:	You have a way of attracting things.
context: I see. When we want to cry, we'll all laugh\When we want to cry, we'll all laugh\So we can cry tears of joy.\Miss Dorothy!\What's up?\Look.\That's our Princess.\You have a way of attracting things. response:	Private William Ricard, Platoon 2.
context: When we want to cry, we'll all laugh\So we can cry tears of joy.\Miss Dorothy!\What's up?\Look.\That's our Princess.\You have a way of attracting things.\Private William Ricard, Platoon 2. response:	His unit's barracks is right above the storehouse.
context: So we can cry tears of joy.\Miss Dorothy!\What's up?\Look.\That's our Princess.\You have a way of attracting things.\Private William Ricard, Platoon 2.\His unit's barracks is right above the storehouse. response:	Then he's the one?
context: Miss Dorothy!\What's up?\Look.\That's our Princess.\You have a way of attracting things.\Private William Ricard, Platoon 2.\His unit's barracks is right above the storehouse.\Then he's the one? response:	Yeah. I'll go get the car.
context: What's up?\Look.\That's our Princess.\You have a way of attracting things.\Private William Ricard, Platoon 2.\His unit's barracks is right above the storehouse.\Then he's the one?\Yeah. I'll go get the car. response:	Put the evidence in this bag.
context: Look.\That's our Princess.\You have a way of attracting things.\Private William Ricard, Platoon 2.\His unit's barracks is right above the storehouse.\Then he's the one?\Yeah. I'll go get the car.\Put the evidence in this bag. response:	All right.
context: That's our Princess.\You have a way of attracting things.\Private William Ricard, Platoon 2.\His unit's barracks is right above the storehouse.\Then he's the one?\Yeah. I'll go get the car.\Put the evidence in this bag.\All right. response:	You.
context: You have a way of attracting things.\Private William Ricard, Platoon 2.\His unit's barracks is right above the storehouse.\Then he's the one?\Yeah. I'll go get the car.\Put the evidence in this bag.\All right.\You. response:	What are you doing here?
context: Private William Ricard, Platoon 2.\His unit's barracks is right above the storehouse.\Then he's the one?\Yeah. I'll go get the car.\Put the evidence in this bag.\All right.\You.\What are you doing here? response:	None who work here feel the need to walk with such cat-like tread.
context: His unit's barracks is right above the storehouse.\Then he's the one?\Yeah. I'll go get the car.\Put the evidence in this bag.\All right.\You.\What are you doing here?\None who work here feel the need to walk with such cat-like tread. response:	And...
context: Then he's the one?\Yeah. I'll go get the car.\Put the evidence in this bag.\All right.\You.\What are you doing here?\None who work here feel the need to walk with such cat-like tread.\And... response:	Scoundrel.
context: Yeah. I'll go get the car.\Put the evidence in this bag.\All right.\You.\What are you doing here?\None who work here feel the need to walk with such cat-like tread.\And...\Scoundrel. response:	Hello? Chieko!
context: Put the evidence in this bag.\All right.\You.\What are you doing here?\None who work here feel the need to walk with such cat-like tread.\And...\Scoundrel.\Hello? Chieko! response:	Marilla!
context: All right.\You.\What are you doing here?\None who work here feel the need to walk with such cat-like tread.\And...\Scoundrel.\Hello? Chieko!\Marilla! response:	Long live the Kingdom!
context: You.\What are you doing here?\None who work here feel the need to walk with such cat-like tread.\And...\Scoundrel.\Hello? Chieko!\Marilla!\Long live the Kingdom! response:	NO!
context: What are you doing here?\None who work here feel the need to walk with such cat-like tread.\And...\Scoundrel.\Hello? Chieko!\Marilla!\Long live the Kingdom!\NO! response:	I was...
context: None who work here feel the need to walk with such cat-like tread.\And...\Scoundrel.\Hello? Chieko!\Marilla!\Long live the Kingdom!\NO!\I was... response:	Um...
context: And...\Scoundrel.\Hello? Chieko!\Marilla!\Long live the Kingdom!\NO!\I was...\Um... response:	Miss Chieko and the others haven't come to work in days.
context: Scoundrel.\Hello? Chieko!\Marilla!\Long live the Kingdom!\NO!\I was...\Um...\Miss Chieko and the others haven't come to work in days. response:	You don't think they have tummyaches, do you?
context: Hello? Chieko!\Marilla!\Long live the Kingdom!\NO!\I was...\Um...\Miss Chieko and the others haven't come to work in days.\You don't think they have tummyaches, do you? response:	Ladies, would you all come here, please?
context: Marilla!\Long live the Kingdom!\NO!\I was...\Um...\Miss Chieko and the others haven't come to work in days.\You don't think they have tummyaches, do you?\Ladies, would you all come here, please? response:	What is it? Why are we having a meeting?
context: Long live the Kingdom!\NO!\I was...\Um...\Miss Chieko and the others haven't come to work in days.\You don't think they have tummyaches, do you?\Ladies, would you all come here, please?\What is it? Why are we having a meeting? response:	Are our wages going up again?
context: NO!\I was...\Um...\Miss Chieko and the others haven't come to work in days.\You don't think they have tummyaches, do you?\Ladies, would you all come here, please?\What is it? Why are we having a meeting?\Are our wages going up again? response:	I've decided to step down as foreman.
context: I was...\Um...\Miss Chieko and the others haven't come to work in days.\You don't think they have tummyaches, do you?\Ladies, would you all come here, please?\What is it? Why are we having a meeting?\Are our wages going up again?\I've decided to step down as foreman. response:	What?!
context: Um...\Miss Chieko and the others haven't come to work in days.\You don't think they have tummyaches, do you?\Ladies, would you all come here, please?\What is it? Why are we having a meeting?\Are our wages going up again?\I've decided to step down as foreman.\What?! response:	Why? We need you!
context: Miss Chieko and the others haven't come to work in days.\You don't think they have tummyaches, do you?\Ladies, would you all come here, please?\What is it? Why are we having a meeting?\Are our wages going up again?\I've decided to step down as foreman.\What?!\Why? We need you! response:	Tell us why!
context: You don't think they have tummyaches, do you?\Ladies, would you all come here, please?\What is it? Why are we having a meeting?\Are our wages going up again?\I've decided to step down as foreman.\What?!\Why? We need you!\Tell us why! response:	What happened to Chieko?
context: Ladies, would you all come here, please?\What is it? Why are we having a meeting?\Are our wages going up again?\I've decided to step down as foreman.\What?!\Why? We need you!\Tell us why!\What happened to Chieko? response:	Are ALL of you quitting?
context: What is it? Why are we having a meeting?\Are our wages going up again?\I've decided to step down as foreman.\What?!\Why? We need you!\Tell us why!\What happened to Chieko?\Are ALL of you quitting? response:	No!
context: Are our wages going up again?\I've decided to step down as foreman.\What?!\Why? We need you!\Tell us why!\What happened to Chieko?\Are ALL of you quitting?\No! response:	I still have so much to learn! Don't go!
context: I've decided to step down as foreman.\What?!\Why? We need you!\Tell us why!\What happened to Chieko?\Are ALL of you quitting?\No!\I still have so much to learn! Don't go! response:	They didn't even say goodbye!
context: What?!\Why? We need you!\Tell us why!\What happened to Chieko?\Are ALL of you quitting?\No!\I still have so much to learn! Don't go!\They didn't even say goodbye! response:	Stay with us forever, Priscilla!
context: Why? We need you!\Tell us why!\What happened to Chieko?\Are ALL of you quitting?\No!\I still have so much to learn! Don't go!\They didn't even say goodbye!\Stay with us forever, Priscilla! response:	All of you, be quiet!
context: Tell us why!\What happened to Chieko?\Are ALL of you quitting?\No!\I still have so much to learn! Don't go!\They didn't even say goodbye!\Stay with us forever, Priscilla!\All of you, be quiet! response:	We've had people quit before, remember?
context: What happened to Chieko?\Are ALL of you quitting?\No!\I still have so much to learn! Don't go!\They didn't even say goodbye!\Stay with us forever, Priscilla!\All of you, be quiet!\We've had people quit before, remember? response:	I'm sure they have their reasons.
