context: That was loud. response:	Haru, are you okay?
context: Haru-chan always played it cool and said,\If you can keep up.\Who's this Haru-chan?\Oh, you go this way?\What do you want?\What do I want?\I want you to join the swim club.\We really need another member before our joint practice. response:	Why does it have to be me?
context: If you can keep up.\Who's this Haru-chan?\Oh, you go this way?\What do you want?\What do I want?\I want you to join the swim club.\We really need another member before our joint practice.\Why does it have to be me? response:	Because you're a boy with a girly name?
context: Who's this Haru-chan?\Oh, you go this way?\What do you want?\What do I want?\I want you to join the swim club.\We really need another member before our joint practice.\Why does it have to be me?\Because you're a boy with a girly name? response:	That's your reason?!
context: Oh, you go this way?\What do you want?\What do I want?\I want you to join the swim club.\We really need another member before our joint practice.\Why does it have to be me?\Because you're a boy with a girly name?\That's your reason?! response:	Yeah.
context: What do you want?\What do I want?\I want you to join the swim club.\We really need another member before our joint practice.\Why does it have to be me?\Because you're a boy with a girly name?\That's your reason?!\Yeah. response:	But the main reason is because you looked beautiful.
context: What do I want?\I want you to join the swim club.\We really need another member before our joint practice.\Why does it have to be me?\Because you're a boy with a girly name?\That's your reason?!\Yeah.\But the main reason is because you looked beautiful. response:	Huh?
context: I want you to join the swim club.\We really need another member before our joint practice.\Why does it have to be me?\Because you're a boy with a girly name?\That's your reason?!\Yeah.\But the main reason is because you looked beautiful.\Huh? response:	When you were pole vaulting.
context: We really need another member before our joint practice.\Why does it have to be me?\Because you're a boy with a girly name?\That's your reason?!\Yeah.\But the main reason is because you looked beautiful.\Huh?\When you were pole vaulting. response:	Your jump looked really beautiful, Rei-chan!
context: Why does it have to be me?\Because you're a boy with a girly name?\That's your reason?!\Yeah.\But the main reason is because you looked beautiful.\Huh?\When you were pole vaulting.\Your jump looked really beautiful, Rei-chan! response:	Well...
context: Because you're a boy with a girly name?\That's your reason?!\Yeah.\But the main reason is because you looked beautiful.\Huh?\When you were pole vaulting.\Your jump looked really beautiful, Rei-chan!\Well... response:	I was just
context: That's your reason?!\Yeah.\But the main reason is because you looked beautiful.\Huh?\When you were pole vaulting.\Your jump looked really beautiful, Rei-chan!\Well...\I was just response:	following theory and calculation.
context: Yeah.\But the main reason is because you looked beautiful.\Huh?\When you were pole vaulting.\Your jump looked really beautiful, Rei-chan!\Well...\I was just\following theory and calculation. response:	That's not something everybody can do.
context: But the main reason is because you looked beautiful.\Huh?\When you were pole vaulting.\Your jump looked really beautiful, Rei-chan!\Well...\I was just\following theory and calculation.\That's not something everybody can do. response:	I suck at that stuff.
context: Huh?\When you were pole vaulting.\Your jump looked really beautiful, Rei-chan!\Well...\I was just\following theory and calculation.\That's not something everybody can do.\I suck at that stuff. response:	So I want you to use theory and calculation to look good swimming.
context: When you were pole vaulting.\Your jump looked really beautiful, Rei-chan!\Well...\I was just\following theory and calculation.\That's not something everybody can do.\I suck at that stuff.\So I want you to use theory and calculation to look good swimming. response:	That's impossible.
context: Your jump looked really beautiful, Rei-chan!\Well...\I was just\following theory and calculation.\That's not something everybody can do.\I suck at that stuff.\So I want you to use theory and calculation to look good swimming.\That's impossible. response:	A swimmer must flap his arms and legs underwater,
context: Well...\I was just\following theory and calculation.\That's not something everybody can do.\I suck at that stuff.\So I want you to use theory and calculation to look good swimming.\That's impossible.\A swimmer must flap his arms and legs underwater, response:	while struggling to break the surface for a gasp of air.
context: I was just\following theory and calculation.\That's not something everybody can do.\I suck at that stuff.\So I want you to use theory and calculation to look good swimming.\That's impossible.\A swimmer must flap his arms and legs underwater,\while struggling to break the surface for a gasp of air. response:	You can't look good while doing that!
context: following theory and calculation.\That's not something everybody can do.\I suck at that stuff.\So I want you to use theory and calculation to look good swimming.\That's impossible.\A swimmer must flap his arms and legs underwater,\while struggling to break the surface for a gasp of air.\You can't look good while doing that! response:	Really?
context: That's not something everybody can do.\I suck at that stuff.\So I want you to use theory and calculation to look good swimming.\That's impossible.\A swimmer must flap his arms and legs underwater,\while struggling to break the surface for a gasp of air.\You can't look good while doing that!\Really? response:	But...
context: I suck at that stuff.\So I want you to use theory and calculation to look good swimming.\That's impossible.\A swimmer must flap his arms and legs underwater,\while struggling to break the surface for a gasp of air.\You can't look good while doing that!\Really?\But... response:	Haru-chan is a beautiful swimmer.
context: So I want you to use theory and calculation to look good swimming.\That's impossible.\A swimmer must flap his arms and legs underwater,\while struggling to break the surface for a gasp of air.\You can't look good while doing that!\Really?\But...\Haru-chan is a beautiful swimmer. response:	Haru-chan again?
context: That's impossible.\A swimmer must flap his arms and legs underwater,\while struggling to break the surface for a gasp of air.\You can't look good while doing that!\Really?\But...\Haru-chan is a beautiful swimmer.\Haru-chan again? response:	Hey, wait!
context: A swimmer must flap his arms and legs underwater,\while struggling to break the surface for a gasp of air.\You can't look good while doing that!\Really?\But...\Haru-chan is a beautiful swimmer.\Haru-chan again?\Hey, wait! response:	What are you doing?
context: while struggling to break the surface for a gasp of air.\You can't look good while doing that!\Really?\But...\Haru-chan is a beautiful swimmer.\Haru-chan again?\Hey, wait!\What are you doing? response:	Haru-chan,
context: You can't look good while doing that!\Really?\But...\Haru-chan is a beautiful swimmer.\Haru-chan again?\Hey, wait!\What are you doing?\Haru-chan, response:	Mako-chan.
context: Really?\But...\Haru-chan is a beautiful swimmer.\Haru-chan again?\Hey, wait!\What are you doing?\Haru-chan,\Mako-chan. response:	Oh, Rei-chan.
context: But...\Haru-chan is a beautiful swimmer.\Haru-chan again?\Hey, wait!\What are you doing?\Haru-chan,\Mako-chan.\Oh, Rei-chan. response:	You're Haru-chan-san?
context: Haru-chan is a beautiful swimmer.\Haru-chan again?\Hey, wait!\What are you doing?\Haru-chan,\Mako-chan.\Oh, Rei-chan.\You're Haru-chan-san? response:	Don't put -chan and -san on my name.
context: Haru-chan again?\Hey, wait!\What are you doing?\Haru-chan,\Mako-chan.\Oh, Rei-chan.\You're Haru-chan-san?\Don't put -chan and -san on my name. response:	Is something up?
context: Hey, wait!\What are you doing?\Haru-chan,\Mako-chan.\Oh, Rei-chan.\You're Haru-chan-san?\Don't put -chan and -san on my name.\Is something up? response:	I'm willing to participate in your joint practice as a trial member.
context: What are you doing?\Haru-chan,\Mako-chan.\Oh, Rei-chan.\You're Haru-chan-san?\Don't put -chan and -san on my name.\Is something up?\I'm willing to participate in your joint practice as a trial member. response:	What? Really?!
context: Haru-chan,\Mako-chan.\Oh, Rei-chan.\You're Haru-chan-san?\Don't put -chan and -san on my name.\Is something up?\I'm willing to participate in your joint practice as a trial member.\What? Really?! response:	But only on one condition.
context: Mako-chan.\Oh, Rei-chan.\You're Haru-chan-san?\Don't put -chan and -san on my name.\Is something up?\I'm willing to participate in your joint practice as a trial member.\What? Really?!\But only on one condition. response:	I won't do any swimming.
context: Oh, Rei-chan.\You're Haru-chan-san?\Don't put -chan and -san on my name.\Is something up?\I'm willing to participate in your joint practice as a trial member.\What? Really?!\But only on one condition.\I won't do any swimming. response:	Samezuka Academy
context: You're Haru-chan-san?\Don't put -chan and -san on my name.\Is something up?\I'm willing to participate in your joint practice as a trial member.\What? Really?!\But only on one condition.\I won't do any swimming.\Samezuka Academy response:	Indoor pools are so nice!
context: Don't put -chan and -san on my name.\Is something up?\I'm willing to participate in your joint practice as a trial member.\What? Really?!\But only on one condition.\I won't do any swimming.\Samezuka Academy\Indoor pools are so nice! response:	Easy to see they're from a champion school...
context: Is something up?\I'm willing to participate in your joint practice as a trial member.\What? Really?!\But only on one condition.\I won't do any swimming.\Samezuka Academy\Indoor pools are so nice!\Easy to see they're from a champion school... response:	But ours are just as good!
context: I'm willing to participate in your joint practice as a trial member.\What? Really?!\But only on one condition.\I won't do any swimming.\Samezuka Academy\Indoor pools are so nice!\Easy to see they're from a champion school...\But ours are just as good! response:	It's been a while.
context: What? Really?!\But only on one condition.\I won't do any swimming.\Samezuka Academy\Indoor pools are so nice!\Easy to see they're from a champion school...\But ours are just as good!\It's been a while. response:	Hey, thanks for coming.
context: But only on one condition.\I won't do any swimming.\Samezuka Academy\Indoor pools are so nice!\Easy to see they're from a champion school...\But ours are just as good!\It's been a while.\Hey, thanks for coming. response:	Thank you very much!
context: I won't do any swimming.\Samezuka Academy\Indoor pools are so nice!\Easy to see they're from a champion school...\But ours are just as good!\It's been a while.\Hey, thanks for coming.\Thank you very much! response:	Sure.
context: Samezuka Academy\Indoor pools are so nice!\Easy to see they're from a champion school...\But ours are just as good!\It's been a while.\Hey, thanks for coming.\Thank you very much!\Sure. response:	You're Nanase-kun, right?
context: Indoor pools are so nice!\Easy to see they're from a champion school...\But ours are just as good!\It's been a while.\Hey, thanks for coming.\Thank you very much!\Sure.\You're Nanase-kun, right? response:	You won a bunch of regional tournaments in grade school.
context: Easy to see they're from a champion school...\But ours are just as good!\It's been a while.\Hey, thanks for coming.\Thank you very much!\Sure.\You're Nanase-kun, right?\You won a bunch of regional tournaments in grade school. response:	Yeah...
context: But ours are just as good!\It's been a while.\Hey, thanks for coming.\Thank you very much!\Sure.\You're Nanase-kun, right?\You won a bunch of regional tournaments in grade school.\Yeah... response:	Oh, Senpai.
context: It's been a while.\Hey, thanks for coming.\Thank you very much!\Sure.\You're Nanase-kun, right?\You won a bunch of regional tournaments in grade school.\Yeah...\Oh, Senpai. response:	I've heard a lot about you.
context: Hey, thanks for coming.\Thank you very much!\Sure.\You're Nanase-kun, right?\You won a bunch of regional tournaments in grade school.\Yeah...\Oh, Senpai.\I've heard a lot about you. response:	What's wrong?
context: Thank you very much!\Sure.\You're Nanase-kun, right?\You won a bunch of regional tournaments in grade school.\Yeah...\Oh, Senpai.\I've heard a lot about you.\What's wrong? response:	You may not remember,
context: Sure.\You're Nanase-kun, right?\You won a bunch of regional tournaments in grade school.\Yeah...\Oh, Senpai.\I've heard a lot about you.\What's wrong?\You may not remember, response:	Nothing.
context: You're Nanase-kun, right?\You won a bunch of regional tournaments in grade school.\Yeah...\Oh, Senpai.\I've heard a lot about you.\What's wrong?\You may not remember,\Nothing. response:	but when you won the Iwatobi regional, I was second.
context: You won a bunch of regional tournaments in grade school.\Yeah...\Oh, Senpai.\I've heard a lot about you.\What's wrong?\You may not remember,\Nothing.\but when you won the Iwatobi regional, I was second. response:	I still remember how you beat me on the 50 meter turn.
context: Yeah...\Oh, Senpai.\I've heard a lot about you.\What's wrong?\You may not remember,\Nothing.\but when you won the Iwatobi regional, I was second.\I still remember how you beat me on the 50 meter turn. response:	Samezuka Academy
context: Oh, Senpai.\I've heard a lot about you.\What's wrong?\You may not remember,\Nothing.\but when you won the Iwatobi regional, I was second.\I still remember how you beat me on the 50 meter turn.\Samezuka Academy response:	Oh.
context: I've heard a lot about you.\What's wrong?\You may not remember,\Nothing.\but when you won the Iwatobi regional, I was second.\I still remember how you beat me on the 50 meter turn.\Samezuka Academy\Oh. response:	Big brother!
context: What's wrong?\You may not remember,\Nothing.\but when you won the Iwatobi regional, I was second.\I still remember how you beat me on the 50 meter turn.\Samezuka Academy\Oh.\Big brother! response:	Gou, what are you trying to do?
context: You may not remember,\Nothing.\but when you won the Iwatobi regional, I was second.\I still remember how you beat me on the 50 meter turn.\Samezuka Academy\Oh.\Big brother!\Gou, what are you trying to do? response:	Rin-chan! We get to swim together again!
context: Nothing.\but when you won the Iwatobi regional, I was second.\I still remember how you beat me on the 50 meter turn.\Samezuka Academy\Oh.\Big brother!\Gou, what are you trying to do?\Rin-chan! We get to swim together again! response:	Let's have fun today.
context: but when you won the Iwatobi regional, I was second.\I still remember how you beat me on the 50 meter turn.\Samezuka Academy\Oh.\Big brother!\Gou, what are you trying to do?\Rin-chan! We get to swim together again!\Let's have fun today. response:	Together?
context: I still remember how you beat me on the 50 meter turn.\Samezuka Academy\Oh.\Big brother!\Gou, what are you trying to do?\Rin-chan! We get to swim together again!\Let's have fun today.\Together? response:	You guys are a waste of my time.
context: Samezuka Academy\Oh.\Big brother!\Gou, what are you trying to do?\Rin-chan! We get to swim together again!\Let's have fun today.\Together?\You guys are a waste of my time. response:	Big brother...
context: Oh.\Big brother!\Gou, what are you trying to do?\Rin-chan! We get to swim together again!\Let's have fun today.\Together?\You guys are a waste of my time.\Big brother... response:	What's his problem?
context: Big brother!\Gou, what are you trying to do?\Rin-chan! We get to swim together again!\Let's have fun today.\Together?\You guys are a waste of my time.\Big brother...\What's his problem? response:	Yeah, there's some history there.
context: Gou, what are you trying to do?\Rin-chan! We get to swim together again!\Let's have fun today.\Together?\You guys are a waste of my time.\Big brother...\What's his problem?\Yeah, there's some history there. response:	I was thinking that you could practice with our first-years today.
context: Rin-chan! We get to swim together again!\Let's have fun today.\Together?\You guys are a waste of my time.\Big brother...\What's his problem?\Yeah, there's some history there.\I was thinking that you could practice with our first-years today. response:	Okay!
context: Let's have fun today.\Together?\You guys are a waste of my time.\Big brother...\What's his problem?\Yeah, there's some history there.\I was thinking that you could practice with our first-years today.\Okay! response:	Let's start with individual time trials.
context: Together?\You guys are a waste of my time.\Big brother...\What's his problem?\Yeah, there's some history there.\I was thinking that you could practice with our first-years today.\Okay!\Let's start with individual time trials. response:	You there.
context: You guys are a waste of my time.\Big brother...\What's his problem?\Yeah, there's some history there.\I was thinking that you could practice with our first-years today.\Okay!\Let's start with individual time trials.\You there. response:	Get in your swimsuit.
context: Big brother...\What's his problem?\Yeah, there's some history there.\I was thinking that you could practice with our first-years today.\Okay!\Let's start with individual time trials.\You there.\Get in your swimsuit. response:	Uh, I'm not...
context: What's his problem?\Yeah, there's some history there.\I was thinking that you could practice with our first-years today.\Okay!\Let's start with individual time trials.\You there.\Get in your swimsuit.\Uh, I'm not... response:	Sorry!
context: Yeah, there's some history there.\I was thinking that you could practice with our first-years today.\Okay!\Let's start with individual time trials.\You there.\Get in your swimsuit.\Uh, I'm not...\Sorry! response:	He forgot to bring his swimsuit!
context: I was thinking that you could practice with our first-years today.\Okay!\Let's start with individual time trials.\You there.\Get in your swimsuit.\Uh, I'm not...\Sorry!\He forgot to bring his swimsuit! response:	What?
context: Okay!\Let's start with individual time trials.\You there.\Get in your swimsuit.\Uh, I'm not...\Sorry!\He forgot to bring his swimsuit!\What? response:	Why is he here, then?
context: Let's start with individual time trials.\You there.\Get in your swimsuit.\Uh, I'm not...\Sorry!\He forgot to bring his swimsuit!\What?\Why is he here, then? response:	You can use one of our spare swimsuits, so go get changed!
context: You there.\Get in your swimsuit.\Uh, I'm not...\Sorry!\He forgot to bring his swimsuit!\What?\Why is he here, then?\You can use one of our spare swimsuits, so go get changed! response:	Huh?
context: Get in your swimsuit.\Uh, I'm not...\Sorry!\He forgot to bring his swimsuit!\What?\Why is he here, then?\You can use one of our spare swimsuits, so go get changed!\Huh? response:	Hey, Nitori!
context: Uh, I'm not...\Sorry!\He forgot to bring his swimsuit!\What?\Why is he here, then?\You can use one of our spare swimsuits, so go get changed!\Huh?\Hey, Nitori! response:	Yes!
context: Sorry!\He forgot to bring his swimsuit!\What?\Why is he here, then?\You can use one of our spare swimsuits, so go get changed!\Huh?\Hey, Nitori!\Yes! response:	Come with me.
context: He forgot to bring his swimsuit!\What?\Why is he here, then?\You can use one of our spare swimsuits, so go get changed!\Huh?\Hey, Nitori!\Yes!\Come with me. response:	Uh, I'm not...
context: What?\Why is he here, then?\You can use one of our spare swimsuits, so go get changed!\Huh?\Hey, Nitori!\Yes!\Come with me.\Uh, I'm not... response:	Hurry up!
context: Why is he here, then?\You can use one of our spare swimsuits, so go get changed!\Huh?\Hey, Nitori!\Yes!\Come with me.\Uh, I'm not...\Hurry up! response:	Hey!
context: You can use one of our spare swimsuits, so go get changed!\Huh?\Hey, Nitori!\Yes!\Come with me.\Uh, I'm not...\Hurry up!\Hey! response:	Uh-oh...
context: Huh?\Hey, Nitori!\Yes!\Come with me.\Uh, I'm not...\Hurry up!\Hey!\Uh-oh... response:	You'll get in trouble again!
context: Hey, Nitori!\Yes!\Come with me.\Uh, I'm not...\Hurry up!\Hey!\Uh-oh...\You'll get in trouble again! response:	I'm not swimming!
context: Yes!\Come with me.\Uh, I'm not...\Hurry up!\Hey!\Uh-oh...\You'll get in trouble again!\I'm not swimming! response:	The deal was that I wouldn't have to swim.
context: Come with me.\Uh, I'm not...\Hurry up!\Hey!\Uh-oh...\You'll get in trouble again!\I'm not swimming!\The deal was that I wouldn't have to swim. response:	Don't worry.
context: Uh, I'm not...\Hurry up!\Hey!\Uh-oh...\You'll get in trouble again!\I'm not swimming!\The deal was that I wouldn't have to swim.\Don't worry. response:	These time trials are just for practice,
context: Hurry up!\Hey!\Uh-oh...\You'll get in trouble again!\I'm not swimming!\The deal was that I wouldn't have to swim.\Don't worry.\These time trials are just for practice, response:	so it doesn't matter if you're slow.
context: Hey!\Uh-oh...\You'll get in trouble again!\I'm not swimming!\The deal was that I wouldn't have to swim.\Don't worry.\These time trials are just for practice,\so it doesn't matter if you're slow. response:	That's not the issue!
context: Uh-oh...\You'll get in trouble again!\I'm not swimming!\The deal was that I wouldn't have to swim.\Don't worry.\These time trials are just for practice,\so it doesn't matter if you're slow.\That's not the issue! response:	Oh, it's Mako-chan's turn.
context: You'll get in trouble again!\I'm not swimming!\The deal was that I wouldn't have to swim.\Don't worry.\These time trials are just for practice,\so it doesn't matter if you're slow.\That's not the issue!\Oh, it's Mako-chan's turn. response:	Are you listening to me?
context: I'm not swimming!\The deal was that I wouldn't have to swim.\Don't worry.\These time trials are just for practice,\so it doesn't matter if you're slow.\That's not the issue!\Oh, it's Mako-chan's turn.\Are you listening to me? response:	So he's curious.
context: The deal was that I wouldn't have to swim.\Don't worry.\These time trials are just for practice,\so it doesn't matter if you're slow.\That's not the issue!\Oh, it's Mako-chan's turn.\Are you listening to me?\So he's curious. response:	I'm up next.
context: Don't worry.\These time trials are just for practice,\so it doesn't matter if you're slow.\That's not the issue!\Oh, it's Mako-chan's turn.\Are you listening to me?\So he's curious.\I'm up next. response:	Ready!
context: These time trials are just for practice,\so it doesn't matter if you're slow.\That's not the issue!\Oh, it's Mako-chan's turn.\Are you listening to me?\So he's curious.\I'm up next.\Ready! response:	Keep it coming!
context: so it doesn't matter if you're slow.\That's not the issue!\Oh, it's Mako-chan's turn.\Are you listening to me?\So he's curious.\I'm up next.\Ready!\Keep it coming! response:	Next swimmer, get ready.
context: That's not the issue!\Oh, it's Mako-chan's turn.\Are you listening to me?\So he's curious.\I'm up next.\Ready!\Keep it coming!\Next swimmer, get ready. response:	You're up next, Ryugazaki-kun.
context: Oh, it's Mako-chan's turn.\Are you listening to me?\So he's curious.\I'm up next.\Ready!\Keep it coming!\Next swimmer, get ready.\You're up next, Ryugazaki-kun. response:	I told you, I'm not
context: Are you listening to me?\So he's curious.\I'm up next.\Ready!\Keep it coming!\Next swimmer, get ready.\You're up next, Ryugazaki-kun.\I told you, I'm not response:	Hey, next swimmer!
context: So he's curious.\I'm up next.\Ready!\Keep it coming!\Next swimmer, get ready.\You're up next, Ryugazaki-kun.\I told you, I'm not\Hey, next swimmer! response:	Move to the starting block!
context: I'm up next.\Ready!\Keep it coming!\Next swimmer, get ready.\You're up next, Ryugazaki-kun.\I told you, I'm not\Hey, next swimmer!\Move to the starting block! response:	Can the next person get over here?
context: Ready!\Keep it coming!\Next swimmer, get ready.\You're up next, Ryugazaki-kun.\I told you, I'm not\Hey, next swimmer!\Move to the starting block!\Can the next person get over here? response:	Well...
context: Keep it coming!\Next swimmer, get ready.\You're up next, Ryugazaki-kun.\I told you, I'm not\Hey, next swimmer!\Move to the starting block!\Can the next person get over here?\Well... response:	You might as well.
context: Next swimmer, get ready.\You're up next, Ryugazaki-kun.\I told you, I'm not\Hey, next swimmer!\Move to the starting block!\Can the next person get over here?\Well...\You might as well. response:	Fine!
context: You're up next, Ryugazaki-kun.\I told you, I'm not\Hey, next swimmer!\Move to the starting block!\Can the next person get over here?\Well...\You might as well.\Fine! response:	Don't underestimate the water.
context: I told you, I'm not\Hey, next swimmer!\Move to the starting block!\Can the next person get over here?\Well...\You might as well.\Fine!\Don't underestimate the water. response:	I'm not!
context: Hey, next swimmer!\Move to the starting block!\Can the next person get over here?\Well...\You might as well.\Fine!\Don't underestimate the water.\I'm not! response:	It'll be fine.
context: Move to the starting block!\Can the next person get over here?\Well...\You might as well.\Fine!\Don't underestimate the water.\I'm not!\It'll be fine. response:	It's about 50 centimeters from the surface to the starting block.
context: Can the next person get over here?\Well...\You might as well.\Fine!\Don't underestimate the water.\I'm not!\It'll be fine.\It's about 50 centimeters from the surface to the starting block. response:	Set acceleration to v.
context: Well...\You might as well.\Fine!\Don't underestimate the water.\I'm not!\It'll be fine.\It's about 50 centimeters from the surface to the starting block.\Set acceleration to v. response:	Set entry angle to theta.
context: You might as well.\Fine!\Don't underestimate the water.\I'm not!\It'll be fine.\It's about 50 centimeters from the surface to the starting block.\Set acceleration to v.\Set entry angle to theta. response:	Assuming that the water viscosity is equal to r...
context: Fine!\Don't underestimate the water.\I'm not!\It'll be fine.\It's about 50 centimeters from the surface to the starting block.\Set acceleration to v.\Set entry angle to theta.\Assuming that the water viscosity is equal to r... response:	Calculate the power I should use when kicking off...
context: Don't underestimate the water.\I'm not!\It'll be fine.\It's about 50 centimeters from the surface to the starting block.\Set acceleration to v.\Set entry angle to theta.\Assuming that the water viscosity is equal to r...\Calculate the power I should use when kicking off... response:	Ready!
context: I'm not!\It'll be fine.\It's about 50 centimeters from the surface to the starting block.\Set acceleration to v.\Set entry angle to theta.\Assuming that the water viscosity is equal to r...\Calculate the power I should use when kicking off...\Ready! response:	His form is beautiful.
context: It'll be fine.\It's about 50 centimeters from the surface to the starting block.\Set acceleration to v.\Set entry angle to theta.\Assuming that the water viscosity is equal to r...\Calculate the power I should use when kicking off...\Ready!\His form is beautiful. response:	Set!
context: It's about 50 centimeters from the surface to the starting block.\Set acceleration to v.\Set entry angle to theta.\Assuming that the water viscosity is equal to r...\Calculate the power I should use when kicking off...\Ready!\His form is beautiful.\Set! response:	What angle should my arms be at?
context: Set acceleration to v.\Set entry angle to theta.\Assuming that the water viscosity is equal to r...\Calculate the power I should use when kicking off...\Ready!\His form is beautiful.\Set!\What angle should my arms be at? response:	What?!
context: Set entry angle to theta.\Assuming that the water viscosity is equal to r...\Calculate the power I should use when kicking off...\Ready!\His form is beautiful.\Set!\What angle should my arms be at?\What?! response:	What?!
context: Assuming that the water viscosity is equal to r...\Calculate the power I should use when kicking off...\Ready!\His form is beautiful.\Set!\What angle should my arms be at?\What?!\What?! response:	U-Uh...
context: Calculate the power I should use when kicking off...\Ready!\His form is beautiful.\Set!\What angle should my arms be at?\What?!\What?!\U-Uh... response:	He hasn't come back up.
context: Ready!\His form is beautiful.\Set!\What angle should my arms be at?\What?!\What?!\U-Uh...\He hasn't come back up. response:	Um, this looks bad...
context: His form is beautiful.\Set!\What angle should my arms be at?\What?!\What?!\U-Uh...\He hasn't come back up.\Um, this looks bad... response:	Is he okay?
context: Set!\What angle should my arms be at?\What?!\What?!\U-Uh...\He hasn't come back up.\Um, this looks bad...\Is he okay? response:	Whew...
context: What angle should my arms be at?\What?!\What?!\U-Uh...\He hasn't come back up.\Um, this looks bad...\Is he okay?\Whew... response:	So Rei-chan...
context: What?!\What?!\U-Uh...\He hasn't come back up.\Um, this looks bad...\Is he okay?\Whew...\So Rei-chan... response:	You can't swim?
context: What?!\U-Uh...\He hasn't come back up.\Um, this looks bad...\Is he okay?\Whew...\So Rei-chan...\You can't swim? response:	Yeah...
context: U-Uh...\He hasn't come back up.\Um, this looks bad...\Is he okay?\Whew...\So Rei-chan...\You can't swim?\Yeah... response:	Are you saying it's my fault?!
context: He hasn't come back up.\Um, this looks bad...\Is he okay?\Whew...\So Rei-chan...\You can't swim?\Yeah...\Are you saying it's my fault?! response:	I told you I wasn't going to swim!
context: Um, this looks bad...\Is he okay?\Whew...\So Rei-chan...\You can't swim?\Yeah...\Are you saying it's my fault?!\I told you I wasn't going to swim! response:	You should have said something earlier.
context: Is he okay?\Whew...\So Rei-chan...\You can't swim?\Yeah...\Are you saying it's my fault?!\I told you I wasn't going to swim!\You should have said something earlier. response:	I wasn't going to admit I couldn't swim.
context: Whew...\So Rei-chan...\You can't swim?\Yeah...\Are you saying it's my fault?!\I told you I wasn't going to swim!\You should have said something earlier.\I wasn't going to admit I couldn't swim. response:	That would go against my sense of beauty!
context: So Rei-chan...\You can't swim?\Yeah...\Are you saying it's my fault?!\I told you I wasn't going to swim!\You should have said something earlier.\I wasn't going to admit I couldn't swim.\That would go against my sense of beauty! response:	Rei-chan...
context: You can't swim?\Yeah...\Are you saying it's my fault?!\I told you I wasn't going to swim!\You should have said something earlier.\I wasn't going to admit I couldn't swim.\That would go against my sense of beauty!\Rei-chan... response:	I'll clear things up with Samezuka.
context: Yeah...\Are you saying it's my fault?!\I told you I wasn't going to swim!\You should have said something earlier.\I wasn't going to admit I couldn't swim.\That would go against my sense of beauty!\Rei-chan...\I'll clear things up with Samezuka. response:	Sorry about forcing you into this situation.
context: Are you saying it's my fault?!\I told you I wasn't going to swim!\You should have said something earlier.\I wasn't going to admit I couldn't swim.\That would go against my sense of beauty!\Rei-chan...\I'll clear things up with Samezuka.\Sorry about forcing you into this situation. response:	Oh, it's Haru's turn to swim.
context: I told you I wasn't going to swim!\You should have said something earlier.\I wasn't going to admit I couldn't swim.\That would go against my sense of beauty!\Rei-chan...\I'll clear things up with Samezuka.\Sorry about forcing you into this situation.\Oh, it's Haru's turn to swim. response:	Ready!
context: You should have said something earlier.\I wasn't going to admit I couldn't swim.\That would go against my sense of beauty!\Rei-chan...\I'll clear things up with Samezuka.\Sorry about forcing you into this situation.\Oh, it's Haru's turn to swim.\Ready! response:	Set!
context: I wasn't going to admit I couldn't swim.\That would go against my sense of beauty!\Rei-chan...\I'll clear things up with Samezuka.\Sorry about forcing you into this situation.\Oh, it's Haru's turn to swim.\Ready!\Set! response:	It's so beautiful to watch!
context: That would go against my sense of beauty!\Rei-chan...\I'll clear things up with Samezuka.\Sorry about forcing you into this situation.\Oh, it's Haru's turn to swim.\Ready!\Set!\It's so beautiful to watch! response:	Is something wrong?
context: Rei-chan...\I'll clear things up with Samezuka.\Sorry about forcing you into this situation.\Oh, it's Haru's turn to swim.\Ready!\Set!\It's so beautiful to watch!\Is something wrong? response:	No, it's just that...
context: I'll clear things up with Samezuka.\Sorry about forcing you into this situation.\Oh, it's Haru's turn to swim.\Ready!\Set!\It's so beautiful to watch!\Is something wrong?\No, it's just that... response:	See? I told you so.
context: Sorry about forcing you into this situation.\Oh, it's Haru's turn to swim.\Ready!\Set!\It's so beautiful to watch!\Is something wrong?\No, it's just that...\See? I told you so. response:	Haru-chan is an amazing swimmer.
context: Oh, it's Haru's turn to swim.\Ready!\Set!\It's so beautiful to watch!\Is something wrong?\No, it's just that...\See? I told you so.\Haru-chan is an amazing swimmer. response:	He doesn't use theory.
context: Ready!\Set!\It's so beautiful to watch!\Is something wrong?\No, it's just that...\See? I told you so.\Haru-chan is an amazing swimmer.\He doesn't use theory. response:	No calculation, either.
context: Set!\It's so beautiful to watch!\Is something wrong?\No, it's just that...\See? I told you so.\Haru-chan is an amazing swimmer.\He doesn't use theory.\No calculation, either. response:	He has something much stronger
context: It's so beautiful to watch!\Is something wrong?\No, it's just that...\See? I told you so.\Haru-chan is an amazing swimmer.\He doesn't use theory.\No calculation, either.\He has something much stronger response:	that I do not.
context: Is something wrong?\No, it's just that...\See? I told you so.\Haru-chan is an amazing swimmer.\He doesn't use theory.\No calculation, either.\He has something much stronger\that I do not. response:	Much stronger...
context: No, it's just that...\See? I told you so.\Haru-chan is an amazing swimmer.\He doesn't use theory.\No calculation, either.\He has something much stronger\that I do not.\Much stronger... response:	Can I...
context: See? I told you so.\Haru-chan is an amazing swimmer.\He doesn't use theory.\No calculation, either.\He has something much stronger\that I do not.\Much stronger...\Can I... response:	Can I learn to swim like that?
