context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: If we're done, I'm leaving.\Tabitha... When I take a good look at you, your small and thin body's really cute.\Let me see how small yours are.\I won't let you say no.\Air Hammer.\Does it taste good, Dear?\Y-Yeah...\It's kind of noisy outside. response:	Let's not worry about the outside.
context: Tabitha... When I take a good look at you, your small and thin body's really cute.\Let me see how small yours are.\I won't let you say no.\Air Hammer.\Does it taste good, Dear?\Y-Yeah...\It's kind of noisy outside.\Let's not worry about the outside. response:	Rather than that, please look at me.
context: Let me see how small yours are.\I won't let you say no.\Air Hammer.\Does it taste good, Dear?\Y-Yeah...\It's kind of noisy outside.\Let's not worry about the outside.\Rather than that, please look at me. response:	I'll go check outside!
context: I won't let you say no.\Air Hammer.\Does it taste good, Dear?\Y-Yeah...\It's kind of noisy outside.\Let's not worry about the outside.\Rather than that, please look at me.\I'll go check outside! response:	Saito-san!
context: Air Hammer.\Does it taste good, Dear?\Y-Yeah...\It's kind of noisy outside.\Let's not worry about the outside.\Rather than that, please look at me.\I'll go check outside!\Saito-san! response:	Ouch.
context: Does it taste good, Dear?\Y-Yeah...\It's kind of noisy outside.\Let's not worry about the outside.\Rather than that, please look at me.\I'll go check outside!\Saito-san!\Ouch. response:	What are you doing?
context: Y-Yeah...\It's kind of noisy outside.\Let's not worry about the outside.\Rather than that, please look at me.\I'll go check outside!\Saito-san!\Ouch.\What are you doing? response:	Do you know that I'm Princess Guldenhorf?
context: It's kind of noisy outside.\Let's not worry about the outside.\Rather than that, please look at me.\I'll go check outside!\Saito-san!\Ouch.\What are you doing?\Do you know that I'm Princess Guldenhorf? response:	You're as tough as always.
context: Let's not worry about the outside.\Rather than that, please look at me.\I'll go check outside!\Saito-san!\Ouch.\What are you doing?\Do you know that I'm Princess Guldenhorf?\You're as tough as always. response:	But that's what I like about you.
context: Rather than that, please look at me.\I'll go check outside!\Saito-san!\Ouch.\What are you doing?\Do you know that I'm Princess Guldenhorf?\You're as tough as always.\But that's what I like about you. response:	Montmorency-neesama...
context: I'll go check outside!\Saito-san!\Ouch.\What are you doing?\Do you know that I'm Princess Guldenhorf?\You're as tough as always.\But that's what I like about you.\Montmorency-neesama... response:	I'll do anything you say.
context: Saito-san!\Ouch.\What are you doing?\Do you know that I'm Princess Guldenhorf?\You're as tough as always.\But that's what I like about you.\Montmorency-neesama...\I'll do anything you say. response:	It spreads through kisses?
context: Ouch.\What are you doing?\Do you know that I'm Princess Guldenhorf?\You're as tough as always.\But that's what I like about you.\Montmorency-neesama...\I'll do anything you say.\It spreads through kisses? response:	I've finally caught you.
context: What are you doing?\Do you know that I'm Princess Guldenhorf?\You're as tough as always.\But that's what I like about you.\Montmorency-neesama...\I'll do anything you say.\It spreads through kisses?\I've finally caught you. response:	S-Stop it, Louise!
context: Do you know that I'm Princess Guldenhorf?\You're as tough as always.\But that's what I like about you.\Montmorency-neesama...\I'll do anything you say.\It spreads through kisses?\I've finally caught you.\S-Stop it, Louise! response:	This strange feeling...
context: You're as tough as always.\But that's what I like about you.\Montmorency-neesama...\I'll do anything you say.\It spreads through kisses?\I've finally caught you.\S-Stop it, Louise!\This strange feeling... response:	Is this what love is?
context: But that's what I like about you.\Montmorency-neesama...\I'll do anything you say.\It spreads through kisses?\I've finally caught you.\S-Stop it, Louise!\This strange feeling...\Is this what love is? response:	Saito-san!
context: Montmorency-neesama...\I'll do anything you say.\It spreads through kisses?\I've finally caught you.\S-Stop it, Louise!\This strange feeling...\Is this what love is?\Saito-san! response:	Shh! Something looks strange.
context: I'll do anything you say.\It spreads through kisses?\I've finally caught you.\S-Stop it, Louise!\This strange feeling...\Is this what love is?\Saito-san!\Shh! Something looks strange. response:	Um, how long should I keep an eye on them?
context: It spreads through kisses?\I've finally caught you.\S-Stop it, Louise!\This strange feeling...\Is this what love is?\Saito-san!\Shh! Something looks strange.\Um, how long should I keep an eye on them? response:	Hey, it's Tiffania.
context: I've finally caught you.\S-Stop it, Louise!\This strange feeling...\Is this what love is?\Saito-san!\Shh! Something looks strange.\Um, how long should I keep an eye on them?\Hey, it's Tiffania. response:	What beautiful white skin...
context: S-Stop it, Louise!\This strange feeling...\Is this what love is?\Saito-san!\Shh! Something looks strange.\Um, how long should I keep an eye on them?\Hey, it's Tiffania.\What beautiful white skin... response:	Why did you come?
context: This strange feeling...\Is this what love is?\Saito-san!\Shh! Something looks strange.\Um, how long should I keep an eye on them?\Hey, it's Tiffania.\What beautiful white skin...\Why did you come? response:	I shouldn't have?
context: Is this what love is?\Saito-san!\Shh! Something looks strange.\Um, how long should I keep an eye on them?\Hey, it's Tiffania.\What beautiful white skin...\Why did you come?\I shouldn't have? response:	Why are they so big?
context: Saito-san!\Shh! Something looks strange.\Um, how long should I keep an eye on them?\Hey, it's Tiffania.\What beautiful white skin...\Why did you come?\I shouldn't have?\Why are they so big? response:	You'll suffocate others with them.
context: Shh! Something looks strange.\Um, how long should I keep an eye on them?\Hey, it's Tiffania.\What beautiful white skin...\Why did you come?\I shouldn't have?\Why are they so big?\You'll suffocate others with them. response:	I've got to punish you for that.
context: Um, how long should I keep an eye on them?\Hey, it's Tiffania.\What beautiful white skin...\Why did you come?\I shouldn't have?\Why are they so big?\You'll suffocate others with them.\I've got to punish you for that. response:	No fair! Don't take her all for yourself!
context: Hey, it's Tiffania.\What beautiful white skin...\Why did you come?\I shouldn't have?\Why are they so big?\You'll suffocate others with them.\I've got to punish you for that.\No fair! Don't take her all for yourself! response:	I want to touch them, too! I want to kiss her, too!
context: What beautiful white skin...\Why did you come?\I shouldn't have?\Why are they so big?\You'll suffocate others with them.\I've got to punish you for that.\No fair! Don't take her all for yourself!\I want to touch them, too! I want to kiss her, too! response:	Please stop!
context: Why did you come?\I shouldn't have?\Why are they so big?\You'll suffocate others with them.\I've got to punish you for that.\No fair! Don't take her all for yourself!\I want to touch them, too! I want to kiss her, too!\Please stop! response:	No!
context: I shouldn't have?\Why are they so big?\You'll suffocate others with them.\I've got to punish you for that.\No fair! Don't take her all for yourself!\I want to touch them, too! I want to kiss her, too!\Please stop!\No! response:	What's wrong with you all?
context: Why are they so big?\You'll suffocate others with them.\I've got to punish you for that.\No fair! Don't take her all for yourself!\I want to touch them, too! I want to kiss her, too!\Please stop!\No!\What's wrong with you all? response:	Please don't look at me like that.
context: You'll suffocate others with them.\I've got to punish you for that.\No fair! Don't take her all for yourself!\I want to touch them, too! I want to kiss her, too!\Please stop!\No!\What's wrong with you all?\Please don't look at me like that. response:	You're scaring me.
context: I've got to punish you for that.\No fair! Don't take her all for yourself!\I want to touch them, too! I want to kiss her, too!\Please stop!\No!\What's wrong with you all?\Please don't look at me like that.\You're scaring me. response:	Wait!
context: No fair! Don't take her all for yourself!\I want to touch them, too! I want to kiss her, too!\Please stop!\No!\What's wrong with you all?\Please don't look at me like that.\You're scaring me.\Wait! response:	Hold it!
context: I want to touch them, too! I want to kiss her, too!\Please stop!\No!\What's wrong with you all?\Please don't look at me like that.\You're scaring me.\Wait!\Hold it! response:	We're not letting you get away!
context: Please stop!\No!\What's wrong with you all?\Please don't look at me like that.\You're scaring me.\Wait!\Hold it!\We're not letting you get away! response:	Tiffa-chan!
context: No!\What's wrong with you all?\Please don't look at me like that.\You're scaring me.\Wait!\Hold it!\We're not letting you get away!\Tiffa-chan! response:	Stop following me!
context: What's wrong with you all?\Please don't look at me like that.\You're scaring me.\Wait!\Hold it!\We're not letting you get away!\Tiffa-chan!\Stop following me! response:	That's Scarron.
context: Please don't look at me like that.\You're scaring me.\Wait!\Hold it!\We're not letting you get away!\Tiffa-chan!\Stop following me!\That's Scarron. response:	What a manly maid...
context: You're scaring me.\Wait!\Hold it!\We're not letting you get away!\Tiffa-chan!\Stop following me!\That's Scarron.\What a manly maid... response:	Wait!
context: Wait!\Hold it!\We're not letting you get away!\Tiffa-chan!\Stop following me!\That's Scarron.\What a manly maid...\Wait! response:	You're so different from a skinny stuck-up I know.
context: Hold it!\We're not letting you get away!\Tiffa-chan!\Stop following me!\That's Scarron.\What a manly maid...\Wait!\You're so different from a skinny stuck-up I know. response:	I don't know who you are, but you flatter me.
context: We're not letting you get away!\Tiffa-chan!\Stop following me!\That's Scarron.\What a manly maid...\Wait!\You're so different from a skinny stuck-up I know.\I don't know who you are, but you flatter me. response:	Look at those muscles.
context: Tiffa-chan!\Stop following me!\That's Scarron.\What a manly maid...\Wait!\You're so different from a skinny stuck-up I know.\I don't know who you are, but you flatter me.\Look at those muscles. response:	I wonder what it feels like to be hugged by those arms.
context: Stop following me!\That's Scarron.\What a manly maid...\Wait!\You're so different from a skinny stuck-up I know.\I don't know who you are, but you flatter me.\Look at those muscles.\I wonder what it feels like to be hugged by those arms. response:	Louise! What are you doing?!
context: That's Scarron.\What a manly maid...\Wait!\You're so different from a skinny stuck-up I know.\I don't know who you are, but you flatter me.\Look at those muscles.\I wonder what it feels like to be hugged by those arms.\Louise! What are you doing?! response:	Long time no see, Saito-kun!
context: What a manly maid...\Wait!\You're so different from a skinny stuck-up I know.\I don't know who you are, but you flatter me.\Look at those muscles.\I wonder what it feels like to be hugged by those arms.\Louise! What are you doing?!\Long time no see, Saito-kun! response:	You're so my type!
context: Wait!\You're so different from a skinny stuck-up I know.\I don't know who you are, but you flatter me.\Look at those muscles.\I wonder what it feels like to be hugged by those arms.\Louise! What are you doing?!\Long time no see, Saito-kun!\You're so my type! response:	What is this all of a sudden?
context: You're so different from a skinny stuck-up I know.\I don't know who you are, but you flatter me.\Look at those muscles.\I wonder what it feels like to be hugged by those arms.\Louise! What are you doing?!\Long time no see, Saito-kun!\You're so my type!\What is this all of a sudden? response:	No, you can't!
context: I don't know who you are, but you flatter me.\Look at those muscles.\I wonder what it feels like to be hugged by those arms.\Louise! What are you doing?!\Long time no see, Saito-kun!\You're so my type!\What is this all of a sudden?\No, you can't! response:	Call me Mi mademoiselle.
context: Look at those muscles.\I wonder what it feels like to be hugged by those arms.\Louise! What are you doing?!\Long time no see, Saito-kun!\You're so my type!\What is this all of a sudden?\No, you can't!\Call me Mi mademoiselle. response:	Hey, stop! I said you're making me...
context: I wonder what it feels like to be hugged by those arms.\Louise! What are you doing?!\Long time no see, Saito-kun!\You're so my type!\What is this all of a sudden?\No, you can't!\Call me Mi mademoiselle.\Hey, stop! I said you're making me... response:	Ouch!
context: Louise! What are you doing?!\Long time no see, Saito-kun!\You're so my type!\What is this all of a sudden?\No, you can't!\Call me Mi mademoiselle.\Hey, stop! I said you're making me...\Ouch! response:	My crotch... My crotch...
context: Long time no see, Saito-kun!\You're so my type!\What is this all of a sudden?\No, you can't!\Call me Mi mademoiselle.\Hey, stop! I said you're making me...\Ouch!\My crotch... My crotch... response:	My balls...
context: You're so my type!\What is this all of a sudden?\No, you can't!\Call me Mi mademoiselle.\Hey, stop! I said you're making me...\Ouch!\My crotch... My crotch...\My balls... response:	Rest in peace.
context: What is this all of a sudden?\No, you can't!\Call me Mi mademoiselle.\Hey, stop! I said you're making me...\Ouch!\My crotch... My crotch...\My balls...\Rest in peace. response:	Saito-san, help me.
context: No, you can't!\Call me Mi mademoiselle.\Hey, stop! I said you're making me...\Ouch!\My crotch... My crotch...\My balls...\Rest in peace.\Saito-san, help me. response:	What's wrong, Tiffa?
context: Call me Mi mademoiselle.\Hey, stop! I said you're making me...\Ouch!\My crotch... My crotch...\My balls...\Rest in peace.\Saito-san, help me.\What's wrong, Tiffa? response:	Something's wrong with everyone.
context: Hey, stop! I said you're making me...\Ouch!\My crotch... My crotch...\My balls...\Rest in peace.\Saito-san, help me.\What's wrong, Tiffa?\Something's wrong with everyone. response:	They're coming after my breasts and hugging me.
context: Ouch!\My crotch... My crotch...\My balls...\Rest in peace.\Saito-san, help me.\What's wrong, Tiffa?\Something's wrong with everyone.\They're coming after my breasts and hugging me. response:	I bet it's a magic that makes people lose their senses.
context: My crotch... My crotch...\My balls...\Rest in peace.\Saito-san, help me.\What's wrong, Tiffa?\Something's wrong with everyone.\They're coming after my breasts and hugging me.\I bet it's a magic that makes people lose their senses. response:	Please get out of here, Saito-san.
context: My balls...\Rest in peace.\Saito-san, help me.\What's wrong, Tiffa?\Something's wrong with everyone.\They're coming after my breasts and hugging me.\I bet it's a magic that makes people lose their senses.\Please get out of here, Saito-san. response:	Magic?
context: Rest in peace.\Saito-san, help me.\What's wrong, Tiffa?\Something's wrong with everyone.\They're coming after my breasts and hugging me.\I bet it's a magic that makes people lose their senses.\Please get out of here, Saito-san.\Magic? response:	Tiffa. So that's where you were.
context: Saito-san, help me.\What's wrong, Tiffa?\Something's wrong with everyone.\They're coming after my breasts and hugging me.\I bet it's a magic that makes people lose their senses.\Please get out of here, Saito-san.\Magic?\Tiffa. So that's where you were. response:	You won't get away from us.
context: What's wrong, Tiffa?\Something's wrong with everyone.\They're coming after my breasts and hugging me.\I bet it's a magic that makes people lose their senses.\Please get out of here, Saito-san.\Magic?\Tiffa. So that's where you were.\You won't get away from us. response:	The quarrel between us started the moment we met.
context: Something's wrong with everyone.\They're coming after my breasts and hugging me.\I bet it's a magic that makes people lose their senses.\Please get out of here, Saito-san.\Magic?\Tiffa. So that's where you were.\You won't get away from us.\The quarrel between us started the moment we met. response:	Today, we'll end it using our bodies!
context: They're coming after my breasts and hugging me.\I bet it's a magic that makes people lose their senses.\Please get out of here, Saito-san.\Magic?\Tiffa. So that's where you were.\You won't get away from us.\The quarrel between us started the moment we met.\Today, we'll end it using our bodies! response:	Using your bodies?!
context: I bet it's a magic that makes people lose their senses.\Please get out of here, Saito-san.\Magic?\Tiffa. So that's where you were.\You won't get away from us.\The quarrel between us started the moment we met.\Today, we'll end it using our bodies!\Using your bodies?! response:	You'll make love just like us.
context: Please get out of here, Saito-san.\Magic?\Tiffa. So that's where you were.\You won't get away from us.\The quarrel between us started the moment we met.\Today, we'll end it using our bodies!\Using your bodies?!\You'll make love just like us. response:	Love is great.
context: Magic?\Tiffa. So that's where you were.\You won't get away from us.\The quarrel between us started the moment we met.\Today, we'll end it using our bodies!\Using your bodies?!\You'll make love just like us.\Love is great. response:	What a sight.
context: Tiffa. So that's where you were.\You won't get away from us.\The quarrel between us started the moment we met.\Today, we'll end it using our bodies!\Using your bodies?!\You'll make love just like us.\Love is great.\What a sight. response:	What should I do?
context: You won't get away from us.\The quarrel between us started the moment we met.\Today, we'll end it using our bodies!\Using your bodies?!\You'll make love just like us.\Love is great.\What a sight.\What should I do? response:	I never imagined the effects of the love potion would spread this much.
context: The quarrel between us started the moment we met.\Today, we'll end it using our bodies!\Using your bodies?!\You'll make love just like us.\Love is great.\What a sight.\What should I do?\I never imagined the effects of the love potion would spread this much. response:	Now, Tiffa!
context: Today, we'll end it using our bodies!\Using your bodies?!\You'll make love just like us.\Love is great.\What a sight.\What should I do?\I never imagined the effects of the love potion would spread this much.\Now, Tiffa! response:	I didn't want to use it at a place like this, but...
context: Using your bodies?!\You'll make love just like us.\Love is great.\What a sight.\What should I do?\I never imagined the effects of the love potion would spread this much.\Now, Tiffa!\I didn't want to use it at a place like this, but... response:	But, if it's magic...
context: You'll make love just like us.\Love is great.\What a sight.\What should I do?\I never imagined the effects of the love potion would spread this much.\Now, Tiffa!\I didn't want to use it at a place like this, but...\But, if it's magic... response:	Nau cid yisa waysarel.
context: Love is great.\What a sight.\What should I do?\I never imagined the effects of the love potion would spread this much.\Now, Tiffa!\I didn't want to use it at a place like this, but...\But, if it's magic...\Nau cid yisa waysarel. response:	Hagaraz yul beog.
context: What a sight.\What should I do?\I never imagined the effects of the love potion would spread this much.\Now, Tiffa!\I didn't want to use it at a place like this, but...\But, if it's magic...\Nau cid yisa waysarel.\Hagaraz yul beog. response:	Need is algees.
context: What should I do?\I never imagined the effects of the love potion would spread this much.\Now, Tiffa!\I didn't want to use it at a place like this, but...\But, if it's magic...\Nau cid yisa waysarel.\Hagaraz yul beog.\Need is algees. response:	Bel kana man lagoo!
context: I never imagined the effects of the love potion would spread this much.\Now, Tiffa!\I didn't want to use it at a place like this, but...\But, if it's magic...\Nau cid yisa waysarel.\Hagaraz yul beog.\Need is algees.\Bel kana man lagoo! response:	What was I doing?
context: Now, Tiffa!\I didn't want to use it at a place like this, but...\But, if it's magic...\Nau cid yisa waysarel.\Hagaraz yul beog.\Need is algees.\Bel kana man lagoo!\What was I doing? response:	Who are you?
context: I didn't want to use it at a place like this, but...\But, if it's magic...\Nau cid yisa waysarel.\Hagaraz yul beog.\Need is algees.\Bel kana man lagoo!\What was I doing?\Who are you? response:	I think I was having a great dream.
context: But, if it's magic...\Nau cid yisa waysarel.\Hagaraz yul beog.\Need is algees.\Bel kana man lagoo!\What was I doing?\Who are you?\I think I was having a great dream. response:	Eek! Who are you?!
context: Nau cid yisa waysarel.\Hagaraz yul beog.\Need is algees.\Bel kana man lagoo!\What was I doing?\Who are you?\I think I was having a great dream.\Eek! Who are you?! response:	Crap!
context: Hagaraz yul beog.\Need is algees.\Bel kana man lagoo!\What was I doing?\Who are you?\I think I was having a great dream.\Eek! Who are you?!\Crap! response:	We shouldn't be here! Let's go home!
context: Need is algees.\Bel kana man lagoo!\What was I doing?\Who are you?\I think I was having a great dream.\Eek! Who are you?!\Crap!\We shouldn't be here! Let's go home! response:	Wait for me!
context: Bel kana man lagoo!\What was I doing?\Who are you?\I think I was having a great dream.\Eek! Who are you?!\Crap!\We shouldn't be here! Let's go home!\Wait for me! response:	Tiffa, what was that magic you just used?
context: What was I doing?\Who are you?\I think I was having a great dream.\Eek! Who are you?!\Crap!\We shouldn't be here! Let's go home!\Wait for me!\Tiffa, what was that magic you just used? response:	I'm sorry, Saito-san.
context: Who are you?\I think I was having a great dream.\Eek! Who are you?!\Crap!\We shouldn't be here! Let's go home!\Wait for me!\Tiffa, what was that magic you just used?\I'm sorry, Saito-san. response:	Everyone, I think the love potion I had caused this.
context: I think I was having a great dream.\Eek! Who are you?!\Crap!\We shouldn't be here! Let's go home!\Wait for me!\Tiffa, what was that magic you just used?\I'm sorry, Saito-san.\Everyone, I think the love potion I had caused this. response:	Love potion?
context: Eek! Who are you?!\Crap!\We shouldn't be here! Let's go home!\Wait for me!\Tiffa, what was that magic you just used?\I'm sorry, Saito-san.\Everyone, I think the love potion I had caused this.\Love potion? response:	You mean this?
context: Crap!\We shouldn't be here! Let's go home!\Wait for me!\Tiffa, what was that magic you just used?\I'm sorry, Saito-san.\Everyone, I think the love potion I had caused this.\Love potion?\You mean this? response:	It's a real low quality one, but it was yours?
context: We shouldn't be here! Let's go home!\Wait for me!\Tiffa, what was that magic you just used?\I'm sorry, Saito-san.\Everyone, I think the love potion I had caused this.\Love potion?\You mean this?\It's a real low quality one, but it was yours? response:	I'm sorry. I'm very sorry.
context: Wait for me!\Tiffa, what was that magic you just used?\I'm sorry, Saito-san.\Everyone, I think the love potion I had caused this.\Love potion?\You mean this?\It's a real low quality one, but it was yours?\I'm sorry. I'm very sorry. response:	Forget it. I don't remember anything, and I don't want to.
context: Tiffa, what was that magic you just used?\I'm sorry, Saito-san.\Everyone, I think the love potion I had caused this.\Love potion?\You mean this?\It's a real low quality one, but it was yours?\I'm sorry. I'm very sorry.\Forget it. I don't remember anything, and I don't want to. response:	You'd better not play a prank like this anymore.
context: I'm sorry, Saito-san.\Everyone, I think the love potion I had caused this.\Love potion?\You mean this?\It's a real low quality one, but it was yours?\I'm sorry. I'm very sorry.\Forget it. I don't remember anything, and I don't want to.\You'd better not play a prank like this anymore. response:	Yes.
context: Everyone, I think the love potion I had caused this.\Love potion?\You mean this?\It's a real low quality one, but it was yours?\I'm sorry. I'm very sorry.\Forget it. I don't remember anything, and I don't want to.\You'd better not play a prank like this anymore.\Yes. response:	Magic for oblivion?
context: Love potion?\You mean this?\It's a real low quality one, but it was yours?\I'm sorry. I'm very sorry.\Forget it. I don't remember anything, and I don't want to.\You'd better not play a prank like this anymore.\Yes.\Magic for oblivion? response:	Yes. It's the only spell I can use.
context: You mean this?\It's a real low quality one, but it was yours?\I'm sorry. I'm very sorry.\Forget it. I don't remember anything, and I don't want to.\You'd better not play a prank like this anymore.\Yes.\Magic for oblivion?\Yes. It's the only spell I can use. response:	It erases memories.
context: It's a real low quality one, but it was yours?\I'm sorry. I'm very sorry.\Forget it. I don't remember anything, and I don't want to.\You'd better not play a prank like this anymore.\Yes.\Magic for oblivion?\Yes. It's the only spell I can use.\It erases memories. response:	I've never heard of such magic before.
context: I'm sorry. I'm very sorry.\Forget it. I don't remember anything, and I don't want to.\You'd better not play a prank like this anymore.\Yes.\Magic for oblivion?\Yes. It's the only spell I can use.\It erases memories.\I've never heard of such magic before. response:	Nature magic?
context: Forget it. I don't remember anything, and I don't want to.\You'd better not play a prank like this anymore.\Yes.\Magic for oblivion?\Yes. It's the only spell I can use.\It erases memories.\I've never heard of such magic before.\Nature magic? response:	Or...
context: You'd better not play a prank like this anymore.\Yes.\Magic for oblivion?\Yes. It's the only spell I can use.\It erases memories.\I've never heard of such magic before.\Nature magic?\Or... response:	I'm not sure.
context: Yes.\Magic for oblivion?\Yes. It's the only spell I can use.\It erases memories.\I've never heard of such magic before.\Nature magic?\Or...\I'm not sure. response:	Nice to meet you,
context: Magic for oblivion?\Yes. It's the only spell I can use.\It erases memories.\I've never heard of such magic before.\Nature magic?\Or...\I'm not sure.\Nice to meet you, response:	Chevalier de Norfatul, Tabitha-dono.
context: Yes. It's the only spell I can use.\It erases memories.\I've never heard of such magic before.\Nature magic?\Or...\I'm not sure.\Nice to meet you,\Chevalier de Norfatul, Tabitha-dono. response:	Why?
context: It erases memories.\I've never heard of such magic before.\Nature magic?\Or...\I'm not sure.\Nice to meet you,\Chevalier de Norfatul, Tabitha-dono.\Why? response:	Why am I here and not in Gallia?
context: I've never heard of such magic before.\Nature magic?\Or...\I'm not sure.\Nice to meet you,\Chevalier de Norfatul, Tabitha-dono.\Why?\Why am I here and not in Gallia? response:	My master wants a dragon, of which only four exist in this world.
context: Nature magic?\Or...\I'm not sure.\Nice to meet you,\Chevalier de Norfatul, Tabitha-dono.\Why?\Why am I here and not in Gallia?\My master wants a dragon, of which only four exist in this world. response:	You know what I'm talking about, right?
context: Or...\I'm not sure.\Nice to meet you,\Chevalier de Norfatul, Tabitha-dono.\Why?\Why am I here and not in Gallia?\My master wants a dragon, of which only four exist in this world.\You know what I'm talking about, right? response:	Someone you're very familiar with.
context: I'm not sure.\Nice to meet you,\Chevalier de Norfatul, Tabitha-dono.\Why?\Why am I here and not in Gallia?\My master wants a dragon, of which only four exist in this world.\You know what I'm talking about, right?\Someone you're very familiar with. response:	Listen. This could be a chance for you to regain your mother's heart.
context: Nice to meet you,\Chevalier de Norfatul, Tabitha-dono.\Why?\Why am I here and not in Gallia?\My master wants a dragon, of which only four exist in this world.\You know what I'm talking about, right?\Someone you're very familiar with.\Listen. This could be a chance for you to regain your mother's heart. response:	Succeed in your mission.
context: Chevalier de Norfatul, Tabitha-dono.\Why?\Why am I here and not in Gallia?\My master wants a dragon, of which only four exist in this world.\You know what I'm talking about, right?\Someone you're very familiar with.\Listen. This could be a chance for you to regain your mother's heart.\Succeed in your mission. response:	Sigh...
context: Why?\Why am I here and not in Gallia?\My master wants a dragon, of which only four exist in this world.\You know what I'm talking about, right?\Someone you're very familiar with.\Listen. This could be a chance for you to regain your mother's heart.\Succeed in your mission.\Sigh... response:	It's impossible.
context: Why am I here and not in Gallia?\My master wants a dragon, of which only four exist in this world.\You know what I'm talking about, right?\Someone you're very familiar with.\Listen. This could be a chance for you to regain your mother's heart.\Succeed in your mission.\Sigh...\It's impossible. response:	But...
context: My master wants a dragon, of which only four exist in this world.\You know what I'm talking about, right?\Someone you're very familiar with.\Listen. This could be a chance for you to regain your mother's heart.\Succeed in your mission.\Sigh...\It's impossible.\But... response:	Mirror, oh mirror, tell me! Who do I want to be the most?
context: You know what I'm talking about, right?\Someone you're very familiar with.\Listen. This could be a chance for you to regain your mother's heart.\Succeed in your mission.\Sigh...\It's impossible.\But...\Mirror, oh mirror, tell me! Who do I want to be the most? response:	I'm sure it'll be someone unlikely.
context: Someone you're very familiar with.\Listen. This could be a chance for you to regain your mother's heart.\Succeed in your mission.\Sigh...\It's impossible.\But...\Mirror, oh mirror, tell me! Who do I want to be the most?\I'm sure it'll be someone unlikely. response:	Zero no Tsukaima. Princess no Rondo.
context: Listen. This could be a chance for you to regain your mother's heart.\Succeed in your mission.\Sigh...\It's impossible.\But...\Mirror, oh mirror, tell me! Who do I want to be the most?\I'm sure it'll be someone unlikely.\Zero no Tsukaima. Princess no Rondo. response:	The Sleipnir Ball.
context: Succeed in your mission.\Sigh...\It's impossible.\But...\Mirror, oh mirror, tell me! Who do I want to be the most?\I'm sure it'll be someone unlikely.\Zero no Tsukaima. Princess no Rondo.\The Sleipnir Ball. response:	Saito, come find me quick!
context: Sigh...\It's impossible.\But...\Mirror, oh mirror, tell me! Who do I want to be the most?\I'm sure it'll be someone unlikely.\Zero no Tsukaima. Princess no Rondo.\The Sleipnir Ball.\Saito, come find me quick! response:	I won't forgive you if you look away.
