context: -Goddamned corpse! -Stay down, damn it! response:	Why are you getting in my way?
context: I simply do what I can for the sake of my master.\He said the dead. Does he mean users of fairy dust?\Indeed.\My magics have not the slightest effect on those who are pure of soul.\And that's where this comes in!\That's the fairy bomb?\A prototype, but yeah.\I'm about to test it right now. response:	What do you mean?
context: He said the dead. Does he mean users of fairy dust?\Indeed.\My magics have not the slightest effect on those who are pure of soul.\And that's where this comes in!\That's the fairy bomb?\A prototype, but yeah.\I'm about to test it right now.\What do you mean? response:	I called them here. Using 911.
context: Indeed.\My magics have not the slightest effect on those who are pure of soul.\And that's where this comes in!\That's the fairy bomb?\A prototype, but yeah.\I'm about to test it right now.\What do you mean?\I called them here. Using 911. response:	I said something about suspicious people making a ruckus.
context: My magics have not the slightest effect on those who are pure of soul.\And that's where this comes in!\That's the fairy bomb?\A prototype, but yeah.\I'm about to test it right now.\What do you mean?\I called them here. Using 911.\I said something about suspicious people making a ruckus. response:	This place is off limits.
context: And that's where this comes in!\That's the fairy bomb?\A prototype, but yeah.\I'm about to test it right now.\What do you mean?\I called them here. Using 911.\I said something about suspicious people making a ruckus.\This place is off limits. response:	-Hands above your heads, all of you! -Don't look at the light.
context: That's the fairy bomb?\A prototype, but yeah.\I'm about to test it right now.\What do you mean?\I called them here. Using 911.\I said something about suspicious people making a ruckus.\This place is off limits.\-Hands above your heads, all of you! -Don't look at the light. response:	And it takes effect instantly!
context: A prototype, but yeah.\I'm about to test it right now.\What do you mean?\I called them here. Using 911.\I said something about suspicious people making a ruckus.\This place is off limits.\-Hands above your heads, all of you! -Don't look at the light.\And it takes effect instantly! response:	What's the verdict, Zelada?
context: I'm about to test it right now.\What do you mean?\I called them here. Using 911.\I said something about suspicious people making a ruckus.\This place is off limits.\-Hands above your heads, all of you! -Don't look at the light.\And it takes effect instantly!\What's the verdict, Zelada? response:	It worked, my lord. The two of them are already dead.
context: What do you mean?\I called them here. Using 911.\I said something about suspicious people making a ruckus.\This place is off limits.\-Hands above your heads, all of you! -Don't look at the light.\And it takes effect instantly!\What's the verdict, Zelada?\It worked, my lord. The two of them are already dead. response:	Make'em salute, then.
context: I called them here. Using 911.\I said something about suspicious people making a ruckus.\This place is off limits.\-Hands above your heads, all of you! -Don't look at the light.\And it takes effect instantly!\What's the verdict, Zelada?\It worked, my lord. The two of them are already dead.\Make'em salute, then. response:	As you wish.
context: I said something about suspicious people making a ruckus.\This place is off limits.\-Hands above your heads, all of you! -Don't look at the light.\And it takes effect instantly!\What's the verdict, Zelada?\It worked, my lord. The two of them are already dead.\Make'em salute, then.\As you wish. response:	Have one shoot the other.
context: This place is off limits.\-Hands above your heads, all of you! -Don't look at the light.\And it takes effect instantly!\What's the verdict, Zelada?\It worked, my lord. The two of them are already dead.\Make'em salute, then.\As you wish.\Have one shoot the other. response:	Yes, sir.
context: -Hands above your heads, all of you! -Don't look at the light.\And it takes effect instantly!\What's the verdict, Zelada?\It worked, my lord. The two of them are already dead.\Make'em salute, then.\As you wish.\Have one shoot the other.\Yes, sir. response:	Poor bastard! He's dead!
context: And it takes effect instantly!\What's the verdict, Zelada?\It worked, my lord. The two of them are already dead.\Make'em salute, then.\As you wish.\Have one shoot the other.\Yes, sir.\Poor bastard! He's dead! response:	Now... hmm...
context: What's the verdict, Zelada?\It worked, my lord. The two of them are already dead.\Make'em salute, then.\As you wish.\Have one shoot the other.\Yes, sir.\Poor bastard! He's dead!\Now... hmm... response:	Make him dance on the hood!
context: It worked, my lord. The two of them are already dead.\Make'em salute, then.\As you wish.\Have one shoot the other.\Yes, sir.\Poor bastard! He's dead!\Now... hmm...\Make him dance on the hood! response:	Zelada, looks like you don't know how to dance, huh?
context: Make'em salute, then.\As you wish.\Have one shoot the other.\Yes, sir.\Poor bastard! He's dead!\Now... hmm...\Make him dance on the hood!\Zelada, looks like you don't know how to dance, huh? response:	I'm sorry, sir.
context: As you wish.\Have one shoot the other.\Yes, sir.\Poor bastard! He's dead!\Now... hmm...\Make him dance on the hood!\Zelada, looks like you don't know how to dance, huh?\I'm sorry, sir. response:	Hilarious, huh? Huh?
context: Have one shoot the other.\Yes, sir.\Poor bastard! He's dead!\Now... hmm...\Make him dance on the hood!\Zelada, looks like you don't know how to dance, huh?\I'm sorry, sir.\Hilarious, huh? Huh? response:	How many can be controlled by this?
context: Yes, sir.\Poor bastard! He's dead!\Now... hmm...\Make him dance on the hood!\Zelada, looks like you don't know how to dance, huh?\I'm sorry, sir.\Hilarious, huh? Huh?\How many can be controlled by this? response:	Five thousand? Ten thousand? However many you like.
context: Poor bastard! He's dead!\Now... hmm...\Make him dance on the hood!\Zelada, looks like you don't know how to dance, huh?\I'm sorry, sir.\Hilarious, huh? Huh?\How many can be controlled by this?\Five thousand? Ten thousand? However many you like. response:	The most I've ever controlled at once is 100.
context: Now... hmm...\Make him dance on the hood!\Zelada, looks like you don't know how to dance, huh?\I'm sorry, sir.\Hilarious, huh? Huh?\How many can be controlled by this?\Five thousand? Ten thousand? However many you like.\The most I've ever controlled at once is 100. response:	What?
context: Make him dance on the hood!\Zelada, looks like you don't know how to dance, huh?\I'm sorry, sir.\Hilarious, huh? Huh?\How many can be controlled by this?\Five thousand? Ten thousand? However many you like.\The most I've ever controlled at once is 100.\What? response:	That was a prototype. The finished product will be even more amazing.
context: Zelada, looks like you don't know how to dance, huh?\I'm sorry, sir.\Hilarious, huh? Huh?\How many can be controlled by this?\Five thousand? Ten thousand? However many you like.\The most I've ever controlled at once is 100.\What?\That was a prototype. The finished product will be even more amazing. response:	We're using the entire body of a powerful fairy.
context: I'm sorry, sir.\Hilarious, huh? Huh?\How many can be controlled by this?\Five thousand? Ten thousand? However many you like.\The most I've ever controlled at once is 100.\What?\That was a prototype. The finished product will be even more amazing.\We're using the entire body of a powerful fairy. response:	The blast radius should be... five kilometers or so?
context: Hilarious, huh? Huh?\How many can be controlled by this?\Five thousand? Ten thousand? However many you like.\The most I've ever controlled at once is 100.\What?\That was a prototype. The finished product will be even more amazing.\We're using the entire body of a powerful fairy.\The blast radius should be... five kilometers or so? response:	That's the size of a nuke.
context: How many can be controlled by this?\Five thousand? Ten thousand? However many you like.\The most I've ever controlled at once is 100.\What?\That was a prototype. The finished product will be even more amazing.\We're using the entire body of a powerful fairy.\The blast radius should be... five kilometers or so?\That's the size of a nuke. response:	We could use this to overthrow the government of a superpower!
context: Five thousand? Ten thousand? However many you like.\The most I've ever controlled at once is 100.\What?\That was a prototype. The finished product will be even more amazing.\We're using the entire body of a powerful fairy.\The blast radius should be... five kilometers or so?\That's the size of a nuke.\We could use this to overthrow the government of a superpower! response:	Use it however you like.
context: The most I've ever controlled at once is 100.\What?\That was a prototype. The finished product will be even more amazing.\We're using the entire body of a powerful fairy.\The blast radius should be... five kilometers or so?\That's the size of a nuke.\We could use this to overthrow the government of a superpower!\Use it however you like. response:	You'll have to rent Zelada too, though.
context: What?\That was a prototype. The finished product will be even more amazing.\We're using the entire body of a powerful fairy.\The blast radius should be... five kilometers or so?\That's the size of a nuke.\We could use this to overthrow the government of a superpower!\Use it however you like.\You'll have to rent Zelada too, though. response:	We'll pay.
context: That was a prototype. The finished product will be even more amazing.\We're using the entire body of a powerful fairy.\The blast radius should be... five kilometers or so?\That's the size of a nuke.\We could use this to overthrow the government of a superpower!\Use it however you like.\You'll have to rent Zelada too, though.\We'll pay. response:	Sounds good.
context: We're using the entire body of a powerful fairy.\The blast radius should be... five kilometers or so?\That's the size of a nuke.\We could use this to overthrow the government of a superpower!\Use it however you like.\You'll have to rent Zelada too, though.\We'll pay.\Sounds good. response:	I'll get it ready for you, so make sure you've got the cash.
context: The blast radius should be... five kilometers or so?\That's the size of a nuke.\We could use this to overthrow the government of a superpower!\Use it however you like.\You'll have to rent Zelada too, though.\We'll pay.\Sounds good.\I'll get it ready for you, so make sure you've got the cash. response:	My lord, what should we do with him?
context: That's the size of a nuke.\We could use this to overthrow the government of a superpower!\Use it however you like.\You'll have to rent Zelada too, though.\We'll pay.\Sounds good.\I'll get it ready for you, so make sure you've got the cash.\My lord, what should we do with him? response:	Oh, take care of him.
context: We could use this to overthrow the government of a superpower!\Use it however you like.\You'll have to rent Zelada too, though.\We'll pay.\Sounds good.\I'll get it ready for you, so make sure you've got the cash.\My lord, what should we do with him?\Oh, take care of him. response:	It's not the first time I've been pallbearer for a coworker,
context: Use it however you like.\You'll have to rent Zelada too, though.\We'll pay.\Sounds good.\I'll get it ready for you, so make sure you've got the cash.\My lord, what should we do with him?\Oh, take care of him.\It's not the first time I've been pallbearer for a coworker, response:	but you know, it's tough.
context: You'll have to rent Zelada too, though.\We'll pay.\Sounds good.\I'll get it ready for you, so make sure you've got the cash.\My lord, what should we do with him?\Oh, take care of him.\It's not the first time I've been pallbearer for a coworker,\but you know, it's tough. response:	It's part of the job.
context: We'll pay.\Sounds good.\I'll get it ready for you, so make sure you've got the cash.\My lord, what should we do with him?\Oh, take care of him.\It's not the first time I've been pallbearer for a coworker,\but you know, it's tough.\It's part of the job. response:	The force has lost three people this month. Morale's in the gutter.
context: Sounds good.\I'll get it ready for you, so make sure you've got the cash.\My lord, what should we do with him?\Oh, take care of him.\It's not the first time I've been pallbearer for a coworker,\but you know, it's tough.\It's part of the job.\The force has lost three people this month. Morale's in the gutter. response:	But the city council's trying to cut our budget even more.
context: I'll get it ready for you, so make sure you've got the cash.\My lord, what should we do with him?\Oh, take care of him.\It's not the first time I've been pallbearer for a coworker,\but you know, it's tough.\It's part of the job.\The force has lost three people this month. Morale's in the gutter.\But the city council's trying to cut our budget even more. response:	They don't see the reality. The bastards.
context: My lord, what should we do with him?\Oh, take care of him.\It's not the first time I've been pallbearer for a coworker,\but you know, it's tough.\It's part of the job.\The force has lost three people this month. Morale's in the gutter.\But the city council's trying to cut our budget even more.\They don't see the reality. The bastards. response:	Chief?
context: Oh, take care of him.\It's not the first time I've been pallbearer for a coworker,\but you know, it's tough.\It's part of the job.\The force has lost three people this month. Morale's in the gutter.\But the city council's trying to cut our budget even more.\They don't see the reality. The bastards.\Chief? response:	Never mind. Focus on the job in front of you.
context: It's not the first time I've been pallbearer for a coworker,\but you know, it's tough.\It's part of the job.\The force has lost three people this month. Morale's in the gutter.\But the city council's trying to cut our budget even more.\They don't see the reality. The bastards.\Chief?\Never mind. Focus on the job in front of you. response:	Are you sure you're okay?
context: but you know, it's tough.\It's part of the job.\The force has lost three people this month. Morale's in the gutter.\But the city council's trying to cut our budget even more.\They don't see the reality. The bastards.\Chief?\Never mind. Focus on the job in front of you.\Are you sure you're okay? response:	With what?
context: It's part of the job.\The force has lost three people this month. Morale's in the gutter.\But the city council's trying to cut our budget even more.\They don't see the reality. The bastards.\Chief?\Never mind. Focus on the job in front of you.\Are you sure you're okay?\With what? response:	Nothing.
context: The force has lost three people this month. Morale's in the gutter.\But the city council's trying to cut our budget even more.\They don't see the reality. The bastards.\Chief?\Never mind. Focus on the job in front of you.\Are you sure you're okay?\With what?\Nothing. response:	Let's go.
context: But the city council's trying to cut our budget even more.\They don't see the reality. The bastards.\Chief?\Never mind. Focus on the job in front of you.\Are you sure you're okay?\With what?\Nothing.\Let's go. response:	Was it long?
context: They don't see the reality. The bastards.\Chief?\Never mind. Focus on the job in front of you.\Are you sure you're okay?\With what?\Nothing.\Let's go.\Was it long? response:	Was what long?
context: Chief?\Never mind. Focus on the job in front of you.\Are you sure you're okay?\With what?\Nothing.\Let's go.\Was it long?\Was what long? response:	Your relationship with the deceased. You were his partner, right?
context: Never mind. Focus on the job in front of you.\Are you sure you're okay?\With what?\Nothing.\Let's go.\Was it long?\Was what long?\Your relationship with the deceased. You were his partner, right? response:	Yeah, I guess. Rick was a good guy.
context: Are you sure you're okay?\With what?\Nothing.\Let's go.\Was it long?\Was what long?\Your relationship with the deceased. You were his partner, right?\Yeah, I guess. Rick was a good guy. response:	He and I never did agree on which baseball team to support, though.
context: With what?\Nothing.\Let's go.\Was it long?\Was what long?\Your relationship with the deceased. You were his partner, right?\Yeah, I guess. Rick was a good guy.\He and I never did agree on which baseball team to support, though. response:	In my country, it's said that those who are mourned by many
context: Nothing.\Let's go.\Was it long?\Was what long?\Your relationship with the deceased. You were his partner, right?\Yeah, I guess. Rick was a good guy.\He and I never did agree on which baseball team to support, though.\In my country, it's said that those who are mourned by many response:	go to a country of eternal, peaceful spring after death.
context: Let's go.\Was it long?\Was what long?\Your relationship with the deceased. You were his partner, right?\Yeah, I guess. Rick was a good guy.\He and I never did agree on which baseball team to support, though.\In my country, it's said that those who are mourned by many\go to a country of eternal, peaceful spring after death. response:	That's probably what will happen to Detective Fury.
context: Was it long?\Was what long?\Your relationship with the deceased. You were his partner, right?\Yeah, I guess. Rick was a good guy.\He and I never did agree on which baseball team to support, though.\In my country, it's said that those who are mourned by many\go to a country of eternal, peaceful spring after death.\That's probably what will happen to Detective Fury. response:	Trying to make me feel better?
context: Was what long?\Your relationship with the deceased. You were his partner, right?\Yeah, I guess. Rick was a good guy.\He and I never did agree on which baseball team to support, though.\In my country, it's said that those who are mourned by many\go to a country of eternal, peaceful spring after death.\That's probably what will happen to Detective Fury.\Trying to make me feel better? response:	Is that bad?
context: Your relationship with the deceased. You were his partner, right?\Yeah, I guess. Rick was a good guy.\He and I never did agree on which baseball team to support, though.\In my country, it's said that those who are mourned by many\go to a country of eternal, peaceful spring after death.\That's probably what will happen to Detective Fury.\Trying to make me feel better?\Is that bad? response:	No.
context: Yeah, I guess. Rick was a good guy.\He and I never did agree on which baseball team to support, though.\In my country, it's said that those who are mourned by many\go to a country of eternal, peaceful spring after death.\That's probably what will happen to Detective Fury.\Trying to make me feel better?\Is that bad?\No. response:	Do you know what you should say at times like this, then?
context: He and I never did agree on which baseball team to support, though.\In my country, it's said that those who are mourned by many\go to a country of eternal, peaceful spring after death.\That's probably what will happen to Detective Fury.\Trying to make me feel better?\Is that bad?\No.\Do you know what you should say at times like this, then? response:	Dasch zanna. Thank you, right?
context: In my country, it's said that those who are mourned by many\go to a country of eternal, peaceful spring after death.\That's probably what will happen to Detective Fury.\Trying to make me feel better?\Is that bad?\No.\Do you know what you should say at times like this, then?\Dasch zanna. Thank you, right? response:	Well done.
context: go to a country of eternal, peaceful spring after death.\That's probably what will happen to Detective Fury.\Trying to make me feel better?\Is that bad?\No.\Do you know what you should say at times like this, then?\Dasch zanna. Thank you, right?\Well done. response:	Kei, got a second?
context: That's probably what will happen to Detective Fury.\Trying to make me feel better?\Is that bad?\No.\Do you know what you should say at times like this, then?\Dasch zanna. Thank you, right?\Well done.\Kei, got a second? response:	What's up, Jamie?
context: Trying to make me feel better?\Is that bad?\No.\Do you know what you should say at times like this, then?\Dasch zanna. Thank you, right?\Well done.\Kei, got a second?\What's up, Jamie? response:	You know a patrol car went missing last night?
context: Is that bad?\No.\Do you know what you should say at times like this, then?\Dasch zanna. Thank you, right?\Well done.\Kei, got a second?\What's up, Jamie?\You know a patrol car went missing last night? response:	The one from precinct 22, right?
context: No.\Do you know what you should say at times like this, then?\Dasch zanna. Thank you, right?\Well done.\Kei, got a second?\What's up, Jamie?\You know a patrol car went missing last night?\The one from precinct 22, right? response:	It was found in Eastrock Park.
context: Do you know what you should say at times like this, then?\Dasch zanna. Thank you, right?\Well done.\Kei, got a second?\What's up, Jamie?\You know a patrol car went missing last night?\The one from precinct 22, right?\It was found in Eastrock Park. response:	Along with two dead officers.
context: Dasch zanna. Thank you, right?\Well done.\Kei, got a second?\What's up, Jamie?\You know a patrol car went missing last night?\The one from precinct 22, right?\It was found in Eastrock Park.\Along with two dead officers. response:	We know that they were killed at a construction site in Redmoor.
context: Well done.\Kei, got a second?\What's up, Jamie?\You know a patrol car went missing last night?\The one from precinct 22, right?\It was found in Eastrock Park.\Along with two dead officers.\We know that they were killed at a construction site in Redmoor. response:	They were brought here in their patrol car and then thrown into the lake.
context: Kei, got a second?\What's up, Jamie?\You know a patrol car went missing last night?\The one from precinct 22, right?\It was found in Eastrock Park.\Along with two dead officers.\We know that they were killed at a construction site in Redmoor.\They were brought here in their patrol car and then thrown into the lake. response:	You're sure it's murder?
context: What's up, Jamie?\You know a patrol car went missing last night?\The one from precinct 22, right?\It was found in Eastrock Park.\Along with two dead officers.\We know that they were killed at a construction site in Redmoor.\They were brought here in their patrol car and then thrown into the lake.\You're sure it's murder? response:	From the angle of the bullet wound, this one looks like suicide.
context: You know a patrol car went missing last night?\The one from precinct 22, right?\It was found in Eastrock Park.\Along with two dead officers.\We know that they were killed at a construction site in Redmoor.\They were brought here in their patrol car and then thrown into the lake.\You're sure it's murder?\From the angle of the bullet wound, this one looks like suicide. response:	Not sure. We'll have to wait for the autopsy to be sure.
context: The one from precinct 22, right?\It was found in Eastrock Park.\Along with two dead officers.\We know that they were killed at a construction site in Redmoor.\They were brought here in their patrol car and then thrown into the lake.\You're sure it's murder?\From the angle of the bullet wound, this one looks like suicide.\Not sure. We'll have to wait for the autopsy to be sure. response:	Let's have our police dog take a look...
context: It was found in Eastrock Park.\Along with two dead officers.\We know that they were killed at a construction site in Redmoor.\They were brought here in their patrol car and then thrown into the lake.\You're sure it's murder?\From the angle of the bullet wound, this one looks like suicide.\Not sure. We'll have to wait for the autopsy to be sure.\Let's have our police dog take a look... response:	Hey, Tilarna!
context: Along with two dead officers.\We know that they were killed at a construction site in Redmoor.\They were brought here in their patrol car and then thrown into the lake.\You're sure it's murder?\From the angle of the bullet wound, this one looks like suicide.\Not sure. We'll have to wait for the autopsy to be sure.\Let's have our police dog take a look...\Hey, Tilarna! response:	I'm surprised you remembered my name!
context: We know that they were killed at a construction site in Redmoor.\They were brought here in their patrol car and then thrown into the lake.\You're sure it's murder?\From the angle of the bullet wound, this one looks like suicide.\Not sure. We'll have to wait for the autopsy to be sure.\Let's have our police dog take a look...\Hey, Tilarna!\I'm surprised you remembered my name! response:	Just take a look at the bodies.
context: They were brought here in their patrol car and then thrown into the lake.\You're sure it's murder?\From the angle of the bullet wound, this one looks like suicide.\Not sure. We'll have to wait for the autopsy to be sure.\Let's have our police dog take a look...\Hey, Tilarna!\I'm surprised you remembered my name!\Just take a look at the bodies. response:	Bonah Tilarna.
context: You're sure it's murder?\From the angle of the bullet wound, this one looks like suicide.\Not sure. We'll have to wait for the autopsy to be sure.\Let's have our police dog take a look...\Hey, Tilarna!\I'm surprised you remembered my name!\Just take a look at the bodies.\Bonah Tilarna. response:	That's what I told you to call me.
context: From the angle of the bullet wound, this one looks like suicide.\Not sure. We'll have to wait for the autopsy to be sure.\Let's have our police dog take a look...\Hey, Tilarna!\I'm surprised you remembered my name!\Just take a look at the bodies.\Bonah Tilarna.\That's what I told you to call me. response:	Just take a look at this!
context: Not sure. We'll have to wait for the autopsy to be sure.\Let's have our police dog take a look...\Hey, Tilarna!\I'm surprised you remembered my name!\Just take a look at the bodies.\Bonah Tilarna.\That's what I told you to call me.\Just take a look at this! response:	These are dead. Just like the assassin and the dealer.
context: Let's have our police dog take a look...\Hey, Tilarna!\I'm surprised you remembered my name!\Just take a look at the bodies.\Bonah Tilarna.\That's what I told you to call me.\Just take a look at this!\These are dead. Just like the assassin and the dealer. response:	So they were regular users of fairy dust?
context: Hey, Tilarna!\I'm surprised you remembered my name!\Just take a look at the bodies.\Bonah Tilarna.\That's what I told you to call me.\Just take a look at this!\These are dead. Just like the assassin and the dealer.\So they were regular users of fairy dust? response:	These guys were cops.
context: I'm surprised you remembered my name!\Just take a look at the bodies.\Bonah Tilarna.\That's what I told you to call me.\Just take a look at this!\These are dead. Just like the assassin and the dealer.\So they were regular users of fairy dust?\These guys were cops. response:	But I'm sure of it.
context: Just take a look at the bodies.\Bonah Tilarna.\That's what I told you to call me.\Just take a look at this!\These are dead. Just like the assassin and the dealer.\So they were regular users of fairy dust?\These guys were cops.\But I'm sure of it. response:	If a cop's using, his coworkers are gonna notice right away.
context: Bonah Tilarna.\That's what I told you to call me.\Just take a look at this!\These are dead. Just like the assassin and the dealer.\So they were regular users of fairy dust?\These guys were cops.\But I'm sure of it.\If a cop's using, his coworkers are gonna notice right away. response:	Maybe they used gold jewelry.
context: That's what I told you to call me.\Just take a look at this!\These are dead. Just like the assassin and the dealer.\So they were regular users of fairy dust?\These guys were cops.\But I'm sure of it.\If a cop's using, his coworkers are gonna notice right away.\Maybe they used gold jewelry. response:	Gold jewelry?
context: Just take a look at this!\These are dead. Just like the assassin and the dealer.\So they were regular users of fairy dust?\These guys were cops.\But I'm sure of it.\If a cop's using, his coworkers are gonna notice right away.\Maybe they used gold jewelry.\Gold jewelry? response:	Gold jewelry can be used as a catalyst to enhance the power of latena.
context: These are dead. Just like the assassin and the dealer.\So they were regular users of fairy dust?\These guys were cops.\But I'm sure of it.\If a cop's using, his coworkers are gonna notice right away.\Maybe they used gold jewelry.\Gold jewelry?\Gold jewelry can be used as a catalyst to enhance the power of latena. response:	But if you wanted something with this kind of power,
context: So they were regular users of fairy dust?\These guys were cops.\But I'm sure of it.\If a cop's using, his coworkers are gonna notice right away.\Maybe they used gold jewelry.\Gold jewelry?\Gold jewelry can be used as a catalyst to enhance the power of latena.\But if you wanted something with this kind of power, response:	you couldn't have a mistake the width of a human hair.
context: These guys were cops.\But I'm sure of it.\If a cop's using, his coworkers are gonna notice right away.\Maybe they used gold jewelry.\Gold jewelry?\Gold jewelry can be used as a catalyst to enhance the power of latena.\But if you wanted something with this kind of power,\you couldn't have a mistake the width of a human hair. response:	Even the best craftsmen in my country couldn't make it.
context: But I'm sure of it.\If a cop's using, his coworkers are gonna notice right away.\Maybe they used gold jewelry.\Gold jewelry?\Gold jewelry can be used as a catalyst to enhance the power of latena.\But if you wanted something with this kind of power,\you couldn't have a mistake the width of a human hair.\Even the best craftsmen in my country couldn't make it. response:	Maybe I'm wrong.
context: If a cop's using, his coworkers are gonna notice right away.\Maybe they used gold jewelry.\Gold jewelry?\Gold jewelry can be used as a catalyst to enhance the power of latena.\But if you wanted something with this kind of power,\you couldn't have a mistake the width of a human hair.\Even the best craftsmen in my country couldn't make it.\Maybe I'm wrong. response:	No, wait.
context: Maybe they used gold jewelry.\Gold jewelry?\Gold jewelry can be used as a catalyst to enhance the power of latena.\But if you wanted something with this kind of power,\you couldn't have a mistake the width of a human hair.\Even the best craftsmen in my country couldn't make it.\Maybe I'm wrong.\No, wait. response:	Maybe a human couldn't do it.
context: Gold jewelry?\Gold jewelry can be used as a catalyst to enhance the power of latena.\But if you wanted something with this kind of power,\you couldn't have a mistake the width of a human hair.\Even the best craftsmen in my country couldn't make it.\Maybe I'm wrong.\No, wait.\Maybe a human couldn't do it. response:	But what about a digitally controlled manufacturing device?
context: Gold jewelry can be used as a catalyst to enhance the power of latena.\But if you wanted something with this kind of power,\you couldn't have a mistake the width of a human hair.\Even the best craftsmen in my country couldn't make it.\Maybe I'm wrong.\No, wait.\Maybe a human couldn't do it.\But what about a digitally controlled manufacturing device? response:	Okay, there we go.
context: But if you wanted something with this kind of power,\you couldn't have a mistake the width of a human hair.\Even the best craftsmen in my country couldn't make it.\Maybe I'm wrong.\No, wait.\Maybe a human couldn't do it.\But what about a digitally controlled manufacturing device?\Okay, there we go. response:	What?
context: you couldn't have a mistake the width of a human hair.\Even the best craftsmen in my country couldn't make it.\Maybe I'm wrong.\No, wait.\Maybe a human couldn't do it.\But what about a digitally controlled manufacturing device?\Okay, there we go.\What? response:	Not many people are buying powerful manufacturing machines.
context: Even the best craftsmen in my country couldn't make it.\Maybe I'm wrong.\No, wait.\Maybe a human couldn't do it.\But what about a digitally controlled manufacturing device?\Okay, there we go.\What?\Not many people are buying powerful manufacturing machines. response:	I found someone using a dummy corporation. Look.
context: Maybe I'm wrong.\No, wait.\Maybe a human couldn't do it.\But what about a digitally controlled manufacturing device?\Okay, there we go.\What?\Not many people are buying powerful manufacturing machines.\I found someone using a dummy corporation. Look. response:	Dennis Elbaji.
context: No, wait.\Maybe a human couldn't do it.\But what about a digitally controlled manufacturing device?\Okay, there we go.\What?\Not many people are buying powerful manufacturing machines.\I found someone using a dummy corporation. Look.\Dennis Elbaji. response:	A Semanian club owner?
context: Maybe a human couldn't do it.\But what about a digitally controlled manufacturing device?\Okay, there we go.\What?\Not many people are buying powerful manufacturing machines.\I found someone using a dummy corporation. Look.\Dennis Elbaji.\A Semanian club owner? response:	What the hell does a guy like that want with a manufacturing device?
context: But what about a digitally controlled manufacturing device?\Okay, there we go.\What?\Not many people are buying powerful manufacturing machines.\I found someone using a dummy corporation. Look.\Dennis Elbaji.\A Semanian club owner?\What the hell does a guy like that want with a manufacturing device? response:	Let's arrest him!
context: Okay, there we go.\What?\Not many people are buying powerful manufacturing machines.\I found someone using a dummy corporation. Look.\Dennis Elbaji.\A Semanian club owner?\What the hell does a guy like that want with a manufacturing device?\Let's arrest him! response:	For what?
context: What?\Not many people are buying powerful manufacturing machines.\I found someone using a dummy corporation. Look.\Dennis Elbaji.\A Semanian club owner?\What the hell does a guy like that want with a manufacturing device?\Let's arrest him!\For what? response:	Anything! We need to capture him and question him!
context: Not many people are buying powerful manufacturing machines.\I found someone using a dummy corporation. Look.\Dennis Elbaji.\A Semanian club owner?\What the hell does a guy like that want with a manufacturing device?\Let's arrest him!\For what?\Anything! We need to capture him and question him! response:	We can't do that.
context: I found someone using a dummy corporation. Look.\Dennis Elbaji.\A Semanian club owner?\What the hell does a guy like that want with a manufacturing device?\Let's arrest him!\For what?\Anything! We need to capture him and question him!\We can't do that. response:	The Earth is ruled by a god named fundamental rights.
context: Dennis Elbaji.\A Semanian club owner?\What the hell does a guy like that want with a manufacturing device?\Let's arrest him!\For what?\Anything! We need to capture him and question him!\We can't do that.\The Earth is ruled by a god named fundamental rights. response:	We need some proof to convince a judge.
context: A Semanian club owner?\What the hell does a guy like that want with a manufacturing device?\Let's arrest him!\For what?\Anything! We need to capture him and question him!\We can't do that.\The Earth is ruled by a god named fundamental rights.\We need some proof to convince a judge. response:	But we need to hurry!
context: What the hell does a guy like that want with a manufacturing device?\Let's arrest him!\For what?\Anything! We need to capture him and question him!\We can't do that.\The Earth is ruled by a god named fundamental rights.\We need some proof to convince a judge.\But we need to hurry! response:	We need to do the paperwork.
context: Let's arrest him!\For what?\Anything! We need to capture him and question him!\We can't do that.\The Earth is ruled by a god named fundamental rights.\We need some proof to convince a judge.\But we need to hurry!\We need to do the paperwork. response:	Her life is on the line!
context: For what?\Anything! We need to capture him and question him!\We can't do that.\The Earth is ruled by a god named fundamental rights.\We need some proof to convince a judge.\But we need to hurry!\We need to do the paperwork.\Her life is on the line! response:	Her? You mean the fairy?
context: Anything! We need to capture him and question him!\We can't do that.\The Earth is ruled by a god named fundamental rights.\We need some proof to convince a judge.\But we need to hurry!\We need to do the paperwork.\Her life is on the line!\Her? You mean the fairy? response:	Seems like this is personal.
context: We can't do that.\The Earth is ruled by a god named fundamental rights.\We need some proof to convince a judge.\But we need to hurry!\We need to do the paperwork.\Her life is on the line!\Her? You mean the fairy?\Seems like this is personal. response:	What about you, Kei?
context: The Earth is ruled by a god named fundamental rights.\We need some proof to convince a judge.\But we need to hurry!\We need to do the paperwork.\Her life is on the line!\Her? You mean the fairy?\Seems like this is personal.\What about you, Kei? response:	Do you not care if that fiel, that fairy, dies?
context: We need some proof to convince a judge.\But we need to hurry!\We need to do the paperwork.\Her life is on the line!\Her? You mean the fairy?\Seems like this is personal.\What about you, Kei?\Do you not care if that fiel, that fairy, dies? response:	I feel responsible.
context: But we need to hurry!\We need to do the paperwork.\Her life is on the line!\Her? You mean the fairy?\Seems like this is personal.\What about you, Kei?\Do you not care if that fiel, that fairy, dies?\I feel responsible. response:	I have my own responsibility towards her.
