context: Zankoku na tenshi no youni Like an angel without a sense of mercy... response:	Shonen yo shinwa ni nare...rise young boy to the heavens as a legend.
context: Yes, by its taste.\How can she make something ready-to-eat taste so awful?\Next time, invite me when it's Shinji's turn to cook.\Shinji, you really ought to move.\You shouldn't let one bad roommate ruin your life.\I'm used to it now.\He's right, Ritsuko.\Never underestimate the ability of the human animal response:	to adapt to its environment.
context: How can she make something ready-to-eat taste so awful?\Next time, invite me when it's Shinji's turn to cook.\Shinji, you really ought to move.\You shouldn't let one bad roommate ruin your life.\I'm used to it now.\He's right, Ritsuko.\Never underestimate the ability of the human animal\to adapt to its environment. response:	And anyway, if he does move...
context: Next time, invite me when it's Shinji's turn to cook.\Shinji, you really ought to move.\You shouldn't let one bad roommate ruin your life.\I'm used to it now.\He's right, Ritsuko.\Never underestimate the ability of the human animal\to adapt to its environment.\And anyway, if he does move... response:	Shinji, why don't you bring me another one, please?
context: Shinji, you really ought to move.\You shouldn't let one bad roommate ruin your life.\I'm used to it now.\He's right, Ritsuko.\Never underestimate the ability of the human animal\to adapt to its environment.\And anyway, if he does move...\Shinji, why don't you bring me another one, please? response:	Right. Shinji, why don't you bring me another one, please?
context: You shouldn't let one bad roommate ruin your life.\I'm used to it now.\He's right, Ritsuko.\Never underestimate the ability of the human animal\to adapt to its environment.\And anyway, if he does move...\Shinji, why don't you bring me another one, please?\Right. Shinji, why don't you bring me another one, please? response:	Right. He's going to have to go through a lot of trouble and red tape.
context: I'm used to it now.\He's right, Ritsuko.\Never underestimate the ability of the human animal\to adapt to its environment.\And anyway, if he does move...\Shinji, why don't you bring me another one, please?\Right. Shinji, why don't you bring me another one, please?\Right. He's going to have to go through a lot of trouble and red tape. response:	He's going to have to go through a lot of trouble and red tape.
context: He's right, Ritsuko.\Never underestimate the ability of the human animal\to adapt to its environment.\And anyway, if he does move...\Shinji, why don't you bring me another one, please?\Right. Shinji, why don't you bring me another one, please?\Right. He's going to have to go through a lot of trouble and red tape.\He's going to have to go through a lot of trouble and red tape. response:	He just got his permanent security card, you know.
context: Never underestimate the ability of the human animal\to adapt to its environment.\And anyway, if he does move...\Shinji, why don't you bring me another one, please?\Right. Shinji, why don't you bring me another one, please?\Right. He's going to have to go through a lot of trouble and red tape.\He's going to have to go through a lot of trouble and red tape.\He just got his permanent security card, you know. response:	Oh, I almost forgot!
context: to adapt to its environment.\And anyway, if he does move...\Shinji, why don't you bring me another one, please?\Right. Shinji, why don't you bring me another one, please?\Right. He's going to have to go through a lot of trouble and red tape.\He's going to have to go through a lot of trouble and red tape.\He just got his permanent security card, you know.\Oh, I almost forgot! response:	Shinji, would you do me a favor?
context: And anyway, if he does move...\Shinji, why don't you bring me another one, please?\Right. Shinji, why don't you bring me another one, please?\Right. He's going to have to go through a lot of trouble and red tape.\He's going to have to go through a lot of trouble and red tape.\He just got his permanent security card, you know.\Oh, I almost forgot!\Shinji, would you do me a favor? response:	What is it?
context: Shinji, why don't you bring me another one, please?\Right. Shinji, why don't you bring me another one, please?\Right. He's going to have to go through a lot of trouble and red tape.\He's going to have to go through a lot of trouble and red tape.\He just got his permanent security card, you know.\Oh, I almost forgot!\Shinji, would you do me a favor?\What is it? response:	Rei Ayanami's renewal card.
context: Right. Shinji, why don't you bring me another one, please?\Right. He's going to have to go through a lot of trouble and red tape.\He's going to have to go through a lot of trouble and red tape.\He just got his permanent security card, you know.\Oh, I almost forgot!\Shinji, would you do me a favor?\What is it?\Rei Ayanami's renewal card. response:	I keep forgetting to give this to her.
context: Right. He's going to have to go through a lot of trouble and red tape.\He's going to have to go through a lot of trouble and red tape.\He just got his permanent security card, you know.\Oh, I almost forgot!\Shinji, would you do me a favor?\What is it?\Rei Ayanami's renewal card.\I keep forgetting to give this to her. response:	Would you mind delivering it before you go to headquarters?
context: He's going to have to go through a lot of trouble and red tape.\He just got his permanent security card, you know.\Oh, I almost forgot!\Shinji, would you do me a favor?\What is it?\Rei Ayanami's renewal card.\I keep forgetting to give this to her.\Would you mind delivering it before you go to headquarters? response:	Sure.
context: He just got his permanent security card, you know.\Oh, I almost forgot!\Shinji, would you do me a favor?\What is it?\Rei Ayanami's renewal card.\I keep forgetting to give this to her.\Would you mind delivering it before you go to headquarters?\Sure. response:	What's the matter? You're staring at Rei's picture, aren't you?
context: Oh, I almost forgot!\Shinji, would you do me a favor?\What is it?\Rei Ayanami's renewal card.\I keep forgetting to give this to her.\Would you mind delivering it before you go to headquarters?\Sure.\What's the matter? You're staring at Rei's picture, aren't you? response:	No!
context: Shinji, would you do me a favor?\What is it?\Rei Ayanami's renewal card.\I keep forgetting to give this to her.\Would you mind delivering it before you go to headquarters?\Sure.\What's the matter? You're staring at Rei's picture, aren't you?\No! response:	Oh, I think you are, Shinji.
context: What is it?\Rei Ayanami's renewal card.\I keep forgetting to give this to her.\Would you mind delivering it before you go to headquarters?\Sure.\What's the matter? You're staring at Rei's picture, aren't you?\No!\Oh, I think you are, Shinji. response:	No!
context: Rei Ayanami's renewal card.\I keep forgetting to give this to her.\Would you mind delivering it before you go to headquarters?\Sure.\What's the matter? You're staring at Rei's picture, aren't you?\No!\Oh, I think you are, Shinji.\No! response:	Oh, come on! You're embarrassed, aren't you?
context: I keep forgetting to give this to her.\Would you mind delivering it before you go to headquarters?\Sure.\What's the matter? You're staring at Rei's picture, aren't you?\No!\Oh, I think you are, Shinji.\No!\Oh, come on! You're embarrassed, aren't you? response:	Well, you've got an official excuse to go to Rei's place now.
context: Would you mind delivering it before you go to headquarters?\Sure.\What's the matter? You're staring at Rei's picture, aren't you?\No!\Oh, I think you are, Shinji.\No!\Oh, come on! You're embarrassed, aren't you?\Well, you've got an official excuse to go to Rei's place now. response:	This is your chance, isn't it?
context: Sure.\What's the matter? You're staring at Rei's picture, aren't you?\No!\Oh, I think you are, Shinji.\No!\Oh, come on! You're embarrassed, aren't you?\Well, you've got an official excuse to go to Rei's place now.\This is your chance, isn't it? response:	Stop teasing me!
context: What's the matter? You're staring at Rei's picture, aren't you?\No!\Oh, I think you are, Shinji.\No!\Oh, come on! You're embarrassed, aren't you?\Well, you've got an official excuse to go to Rei's place now.\This is your chance, isn't it?\Stop teasing me! response:	But I love teasing you. You always go ballistic!
context: No!\Oh, I think you are, Shinji.\No!\Oh, come on! You're embarrassed, aren't you?\Well, you've got an official excuse to go to Rei's place now.\This is your chance, isn't it?\Stop teasing me!\But I love teasing you. You always go ballistic! response:	Just like Misato.
context: Oh, I think you are, Shinji.\No!\Oh, come on! You're embarrassed, aren't you?\Well, you've got an official excuse to go to Rei's place now.\This is your chance, isn't it?\Stop teasing me!\But I love teasing you. You always go ballistic!\Just like Misato. response:	I just find it strange that I know so little about Ayanami,
context: No!\Oh, come on! You're embarrassed, aren't you?\Well, you've got an official excuse to go to Rei's place now.\This is your chance, isn't it?\Stop teasing me!\But I love teasing you. You always go ballistic!\Just like Misato.\I just find it strange that I know so little about Ayanami, response:	even though we're both Eva pilots.
context: Oh, come on! You're embarrassed, aren't you?\Well, you've got an official excuse to go to Rei's place now.\This is your chance, isn't it?\Stop teasing me!\But I love teasing you. You always go ballistic!\Just like Misato.\I just find it strange that I know so little about Ayanami,\even though we're both Eva pilots. response:	She's a very nice girl, but she's like your father.
context: Well, you've got an official excuse to go to Rei's place now.\This is your chance, isn't it?\Stop teasing me!\But I love teasing you. You always go ballistic!\Just like Misato.\I just find it strange that I know so little about Ayanami,\even though we're both Eva pilots.\She's a very nice girl, but she's like your father. response:	She's not very adept at...
context: This is your chance, isn't it?\Stop teasing me!\But I love teasing you. You always go ballistic!\Just like Misato.\I just find it strange that I know so little about Ayanami,\even though we're both Eva pilots.\She's a very nice girl, but she's like your father.\She's not very adept at... response:	Not adept at what?
context: Stop teasing me!\But I love teasing you. You always go ballistic!\Just like Misato.\I just find it strange that I know so little about Ayanami,\even though we're both Eva pilots.\She's a very nice girl, but she's like your father.\She's not very adept at...\Not adept at what? response:	Living.
context: But I love teasing you. You always go ballistic!\Just like Misato.\I just find it strange that I know so little about Ayanami,\even though we're both Eva pilots.\She's a very nice girl, but she's like your father.\She's not very adept at...\Not adept at what?\Living. response:	Excuse me?
context: Just like Misato.\I just find it strange that I know so little about Ayanami,\even though we're both Eva pilots.\She's a very nice girl, but she's like your father.\She's not very adept at...\Not adept at what?\Living.\Excuse me? response:	Excuse me, it's Shinji Ikari.
context: I just find it strange that I know so little about Ayanami,\even though we're both Eva pilots.\She's a very nice girl, but she's like your father.\She's not very adept at...\Not adept at what?\Living.\Excuse me?\Excuse me, it's Shinji Ikari. response:	I'm coming in, Miss Ayanami!
context: even though we're both Eva pilots.\She's a very nice girl, but she's like your father.\She's not very adept at...\Not adept at what?\Living.\Excuse me?\Excuse me, it's Shinji Ikari.\I'm coming in, Miss Ayanami! response:	Are these hers?
context: She's a very nice girl, but she's like your father.\She's not very adept at...\Not adept at what?\Living.\Excuse me?\Excuse me, it's Shinji Ikari.\I'm coming in, Miss Ayanami!\Are these hers? response:	Well...
context: She's not very adept at...\Not adept at what?\Living.\Excuse me?\Excuse me, it's Shinji Ikari.\I'm coming in, Miss Ayanami!\Are these hers?\Well... response:	I didn't mean...
context: Not adept at what?\Living.\Excuse me?\Excuse me, it's Shinji Ikari.\I'm coming in, Miss Ayanami!\Are these hers?\Well...\I didn't mean... response:	Will you get off?
context: Living.\Excuse me?\Excuse me, it's Shinji Ikari.\I'm coming in, Miss Ayanami!\Are these hers?\Well...\I didn't mean...\Will you get off? response:	What is it?
context: Excuse me?\Excuse me, it's Shinji Ikari.\I'm coming in, Miss Ayanami!\Are these hers?\Well...\I didn't mean...\Will you get off?\What is it? response:	Well, I mean, I was...
context: Excuse me, it's Shinji Ikari.\I'm coming in, Miss Ayanami!\Are these hers?\Well...\I didn't mean...\Will you get off?\What is it?\Well, I mean, I was... response:	I was asked to, so...
context: I'm coming in, Miss Ayanami!\Are these hers?\Well...\I didn't mean...\Will you get off?\What is it?\Well, I mean, I was...\I was asked to, so... response:	What was it? The card, your card...
context: Are these hers?\Well...\I didn't mean...\Will you get off?\What is it?\Well, I mean, I was...\I was asked to, so...\What was it? The card, your card... response:	It's been renewed!
context: Well...\I didn't mean...\Will you get off?\What is it?\Well, I mean, I was...\I was asked to, so...\What was it? The card, your card...\It's been renewed! response:	So I was asked to deliver it.
context: I didn't mean...\Will you get off?\What is it?\Well, I mean, I was...\I was asked to, so...\What was it? The card, your card...\It's been renewed!\So I was asked to deliver it. response:	I didn't mean for any of this to happen.
context: Will you get off?\What is it?\Well, I mean, I was...\I was asked to, so...\What was it? The card, your card...\It's been renewed!\So I was asked to deliver it.\I didn't mean for any of this to happen. response:	Ritsuko said she forgot to give it to you.
context: What is it?\Well, I mean, I was...\I was asked to, so...\What was it? The card, your card...\It's been renewed!\So I was asked to deliver it.\I didn't mean for any of this to happen.\Ritsuko said she forgot to give it to you. response:	It's true. I rang your bell, but there was no reply,
context: Well, I mean, I was...\I was asked to, so...\What was it? The card, your card...\It's been renewed!\So I was asked to deliver it.\I didn't mean for any of this to happen.\Ritsuko said she forgot to give it to you.\It's true. I rang your bell, but there was no reply, response:	and the door was unlocked. So...
context: I was asked to, so...\What was it? The card, your card...\It's been renewed!\So I was asked to deliver it.\I didn't mean for any of this to happen.\Ritsuko said she forgot to give it to you.\It's true. I rang your bell, but there was no reply,\and the door was unlocked. So... response:	Central Dogma is currently open to the public.
context: What was it? The card, your card...\It's been renewed!\So I was asked to deliver it.\I didn't mean for any of this to happen.\Ritsuko said she forgot to give it to you.\It's true. I rang your bell, but there was no reply,\and the door was unlocked. So...\Central Dogma is currently open to the public. response:	Group 3 should proceed directly to the fourth gate.
context: It's been renewed!\So I was asked to deliver it.\I didn't mean for any of this to happen.\Ritsuko said she forgot to give it to you.\It's true. I rang your bell, but there was no reply,\and the door was unlocked. So...\Central Dogma is currently open to the public.\Group 3 should proceed directly to the fourth gate. response:	This is your new card. Ritsuko asked me to deliver it to you.
context: So I was asked to deliver it.\I didn't mean for any of this to happen.\Ritsuko said she forgot to give it to you.\It's true. I rang your bell, but there was no reply,\and the door was unlocked. So...\Central Dogma is currently open to the public.\Group 3 should proceed directly to the fourth gate.\This is your new card. Ritsuko asked me to deliver it to you. response:	I'm sorry.
context: I didn't mean for any of this to happen.\Ritsuko said she forgot to give it to you.\It's true. I rang your bell, but there was no reply,\and the door was unlocked. So...\Central Dogma is currently open to the public.\Group 3 should proceed directly to the fourth gate.\This is your new card. Ritsuko asked me to deliver it to you.\I'm sorry. response:	About what?
context: Ritsuko said she forgot to give it to you.\It's true. I rang your bell, but there was no reply,\and the door was unlocked. So...\Central Dogma is currently open to the public.\Group 3 should proceed directly to the fourth gate.\This is your new card. Ritsuko asked me to deliver it to you.\I'm sorry.\About what? response:	Aren't you going to have a re-activation experiment today?
context: It's true. I rang your bell, but there was no reply,\and the door was unlocked. So...\Central Dogma is currently open to the public.\Group 3 should proceed directly to the fourth gate.\This is your new card. Ritsuko asked me to deliver it to you.\I'm sorry.\About what?\Aren't you going to have a re-activation experiment today? response:	Say, aren't you scared?
context: and the door was unlocked. So...\Central Dogma is currently open to the public.\Group 3 should proceed directly to the fourth gate.\This is your new card. Ritsuko asked me to deliver it to you.\I'm sorry.\About what?\Aren't you going to have a re-activation experiment today?\Say, aren't you scared? response:	Aren't you afraid of piloting Unit 00?
context: Central Dogma is currently open to the public.\Group 3 should proceed directly to the fourth gate.\This is your new card. Ritsuko asked me to deliver it to you.\I'm sorry.\About what?\Aren't you going to have a re-activation experiment today?\Say, aren't you scared?\Aren't you afraid of piloting Unit 00? response:	Why?
context: Group 3 should proceed directly to the fourth gate.\This is your new card. Ritsuko asked me to deliver it to you.\I'm sorry.\About what?\Aren't you going to have a re-activation experiment today?\Say, aren't you scared?\Aren't you afraid of piloting Unit 00?\Why? response:	I heard that you were hurt pretty badly in an earlier experiment,
context: This is your new card. Ritsuko asked me to deliver it to you.\I'm sorry.\About what?\Aren't you going to have a re-activation experiment today?\Say, aren't you scared?\Aren't you afraid of piloting Unit 00?\Why?\I heard that you were hurt pretty badly in an earlier experiment, response:	so I thought you might be...
context: I'm sorry.\About what?\Aren't you going to have a re-activation experiment today?\Say, aren't you scared?\Aren't you afraid of piloting Unit 00?\Why?\I heard that you were hurt pretty badly in an earlier experiment,\so I thought you might be... response:	Aren't you Commander Ikari's son?
context: About what?\Aren't you going to have a re-activation experiment today?\Say, aren't you scared?\Aren't you afraid of piloting Unit 00?\Why?\I heard that you were hurt pretty badly in an earlier experiment,\so I thought you might be...\Aren't you Commander Ikari's son? response:	Yeah.
context: Aren't you going to have a re-activation experiment today?\Say, aren't you scared?\Aren't you afraid of piloting Unit 00?\Why?\I heard that you were hurt pretty badly in an earlier experiment,\so I thought you might be...\Aren't you Commander Ikari's son?\Yeah. response:	Don't you have faith in your own father's work?
context: Say, aren't you scared?\Aren't you afraid of piloting Unit 00?\Why?\I heard that you were hurt pretty badly in an earlier experiment,\so I thought you might be...\Aren't you Commander Ikari's son?\Yeah.\Don't you have faith in your own father's work? response:	Of course not! How could I trust him?
context: Aren't you afraid of piloting Unit 00?\Why?\I heard that you were hurt pretty badly in an earlier experiment,\so I thought you might be...\Aren't you Commander Ikari's son?\Yeah.\Don't you have faith in your own father's work?\Of course not! How could I trust him? response:	What?
context: Why?\I heard that you were hurt pretty badly in an earlier experiment,\so I thought you might be...\Aren't you Commander Ikari's son?\Yeah.\Don't you have faith in your own father's work?\Of course not! How could I trust him?\What? response:	Rei, are you all right?
context: I heard that you were hurt pretty badly in an earlier experiment,\so I thought you might be...\Aren't you Commander Ikari's son?\Yeah.\Don't you have faith in your own father's work?\Of course not! How could I trust him?\What?\Rei, are you all right? response:	Rei...
context: so I thought you might be...\Aren't you Commander Ikari's son?\Yeah.\Don't you have faith in your own father's work?\Of course not! How could I trust him?\What?\Rei, are you all right?\Rei... response:	The pilot was trapped inside.
context: Aren't you Commander Ikari's son?\Yeah.\Don't you have faith in your own father's work?\Of course not! How could I trust him?\What?\Rei, are you all right?\Rei...\The pilot was trapped inside. response:	It was Commander Ikari who rescued her.
context: Yeah.\Don't you have faith in your own father's work?\Of course not! How could I trust him?\What?\Rei, are you all right?\Rei...\The pilot was trapped inside.\It was Commander Ikari who rescued her. response:	He opened the super-heated hatch with his bare hands.
context: Don't you have faith in your own father's work?\Of course not! How could I trust him?\What?\Rei, are you all right?\Rei...\The pilot was trapped inside.\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands. response:	That's how he burned his hands.
context: Of course not! How could I trust him?\What?\Rei, are you all right?\Rei...\The pilot was trapped inside.\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\That's how he burned his hands. response:	Rei.
context: What?\Rei, are you all right?\Rei...\The pilot was trapped inside.\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\That's how he burned his hands.\Rei. response:	Can you hear me?
context: Rei, are you all right?\Rei...\The pilot was trapped inside.\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\That's how he burned his hands.\Rei.\Can you hear me? response:	Yes.
context: Rei...\The pilot was trapped inside.\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\That's how he burned his hands.\Rei.\Can you hear me?\Yes. response:	We will now commence the Unit 00 re-activation experiment.
context: The pilot was trapped inside.\It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\That's how he burned his hands.\Rei.\Can you hear me?\Yes.\We will now commence the Unit 00 re-activation experiment. response:	Commence first connection.
context: It was Commander Ikari who rescued her.\He opened the super-heated hatch with his bare hands.\That's how he burned his hands.\Rei.\Can you hear me?\Yes.\We will now commence the Unit 00 re-activation experiment.\Commence first connection. response:	Connecting main power supply.
context: He opened the super-heated hatch with his bare hands.\That's how he burned his hands.\Rei.\Can you hear me?\Yes.\We will now commence the Unit 00 re-activation experiment.\Commence first connection.\Connecting main power supply. response:	Activation voltage has passed the critical point.
context: That's how he burned his hands.\Rei.\Can you hear me?\Yes.\We will now commence the Unit 00 re-activation experiment.\Commence first connection.\Connecting main power supply.\Activation voltage has passed the critical point. response:	Roger.
context: Rei.\Can you hear me?\Yes.\We will now commence the Unit 00 re-activation experiment.\Commence first connection.\Connecting main power supply.\Activation voltage has passed the critical point.\Roger. response:	Shift format to Phase 2.
context: Can you hear me?\Yes.\We will now commence the Unit 00 re-activation experiment.\Commence first connection.\Connecting main power supply.\Activation voltage has passed the critical point.\Roger.\Shift format to Phase 2. response:	Connecting pilot to Unit 00.
context: Yes.\We will now commence the Unit 00 re-activation experiment.\Commence first connection.\Connecting main power supply.\Activation voltage has passed the critical point.\Roger.\Shift format to Phase 2.\Connecting pilot to Unit 00. response:	Open circuits.
context: We will now commence the Unit 00 re-activation experiment.\Commence first connection.\Connecting main power supply.\Activation voltage has passed the critical point.\Roger.\Shift format to Phase 2.\Connecting pilot to Unit 00.\Open circuits. response:	Pulse and harmonics are normal.
context: Commence first connection.\Connecting main power supply.\Activation voltage has passed the critical point.\Roger.\Shift format to Phase 2.\Connecting pilot to Unit 00.\Open circuits.\Pulse and harmonics are normal. response:	No problems detected.
context: Connecting main power supply.\Activation voltage has passed the critical point.\Roger.\Shift format to Phase 2.\Connecting pilot to Unit 00.\Open circuits.\Pulse and harmonics are normal.\No problems detected. response:	In sync. All links completed.
context: Activation voltage has passed the critical point.\Roger.\Shift format to Phase 2.\Connecting pilot to Unit 00.\Open circuits.\Pulse and harmonics are normal.\No problems detected.\In sync. All links completed. response:	Central Nerve System elements are nominal.
context: Roger.\Shift format to Phase 2.\Connecting pilot to Unit 00.\Open circuits.\Pulse and harmonics are normal.\No problems detected.\In sync. All links completed.\Central Nerve System elements are nominal. response:	Re-calculating, no error corrections.
context: Shift format to Phase 2.\Connecting pilot to Unit 00.\Open circuits.\Pulse and harmonics are normal.\No problems detected.\In sync. All links completed.\Central Nerve System elements are nominal.\Re-calculating, no error corrections. response:	Checklist is satisfactory up to 2590.
context: Connecting pilot to Unit 00.\Open circuits.\Pulse and harmonics are normal.\No problems detected.\In sync. All links completed.\Central Nerve System elements are nominal.\Re-calculating, no error corrections.\Checklist is satisfactory up to 2590. response:	Approaching the critical mark.
context: Open circuits.\Pulse and harmonics are normal.\No problems detected.\In sync. All links completed.\Central Nerve System elements are nominal.\Re-calculating, no error corrections.\Checklist is satisfactory up to 2590.\Approaching the critical mark. response:	Borderline cleared.
context: Pulse and harmonics are normal.\No problems detected.\In sync. All links completed.\Central Nerve System elements are nominal.\Re-calculating, no error corrections.\Checklist is satisfactory up to 2590.\Approaching the critical mark.\Borderline cleared. response:	Unit 00 has been activated.
context: No problems detected.\In sync. All links completed.\Central Nerve System elements are nominal.\Re-calculating, no error corrections.\Checklist is satisfactory up to 2590.\Approaching the critical mark.\Borderline cleared.\Unit 00 has been activated. response:	Roger.
context: In sync. All links completed.\Central Nerve System elements are nominal.\Re-calculating, no error corrections.\Checklist is satisfactory up to 2590.\Approaching the critical mark.\Borderline cleared.\Unit 00 has been activated.\Roger. response:	Beginning interlock test.
context: Central Nerve System elements are nominal.\Re-calculating, no error corrections.\Checklist is satisfactory up to 2590.\Approaching the critical mark.\Borderline cleared.\Unit 00 has been activated.\Roger.\Beginning interlock test. response:	Unidentified object approaching. It may be the fifth Angel.
context: Re-calculating, no error corrections.\Checklist is satisfactory up to 2590.\Approaching the critical mark.\Borderline cleared.\Unit 00 has been activated.\Roger.\Beginning interlock test.\Unidentified object approaching. It may be the fifth Angel. response:	Stop the test. Go to first stage alert.
context: Checklist is satisfactory up to 2590.\Approaching the critical mark.\Borderline cleared.\Unit 00 has been activated.\Roger.\Beginning interlock test.\Unidentified object approaching. It may be the fifth Angel.\Stop the test. Go to first stage alert. response:	You're not going to use Unit 00?
context: Approaching the critical mark.\Borderline cleared.\Unit 00 has been activated.\Roger.\Beginning interlock test.\Unidentified object approaching. It may be the fifth Angel.\Stop the test. Go to first stage alert.\You're not going to use Unit 00? response:	She's not ready to fight yet. What's the status on Unit 01?
context: Borderline cleared.\Unit 00 has been activated.\Roger.\Beginning interlock test.\Unidentified object approaching. It may be the fifth Angel.\Stop the test. Go to first stage alert.\You're not going to use Unit 00?\She's not ready to fight yet. What's the status on Unit 01? response:	It'll be ready in 380 seconds.
context: Unit 00 has been activated.\Roger.\Beginning interlock test.\Unidentified object approaching. It may be the fifth Angel.\Stop the test. Go to first stage alert.\You're not going to use Unit 00?\She's not ready to fight yet. What's the status on Unit 01?\It'll be ready in 380 seconds. response:	Engage!
context: Roger.\Beginning interlock test.\Unidentified object approaching. It may be the fifth Angel.\Stop the test. Go to first stage alert.\You're not going to use Unit 00?\She's not ready to fight yet. What's the status on Unit 01?\It'll be ready in 380 seconds.\Engage! response:	Yes, Sir.
context: Beginning interlock test.\Unidentified object approaching. It may be the fifth Angel.\Stop the test. Go to first stage alert.\You're not going to use Unit 00?\She's not ready to fight yet. What's the status on Unit 01?\It'll be ready in 380 seconds.\Engage!\Yes, Sir. response:	Rei. Yes, Sir.
context: Unidentified object approaching. It may be the fifth Angel.\Stop the test. Go to first stage alert.\You're not going to use Unit 00?\She's not ready to fight yet. What's the status on Unit 01?\It'll be ready in 380 seconds.\Engage!\Yes, Sir.\Rei. Yes, Sir. response:	Rei.
context: Stop the test. Go to first stage alert.\You're not going to use Unit 00?\She's not ready to fight yet. What's the status on Unit 01?\It'll be ready in 380 seconds.\Engage!\Yes, Sir.\Rei. Yes, Sir.\Rei. response:	Re-activation was successfully completed. Return now.
context: You're not going to use Unit 00?\She's not ready to fight yet. What's the status on Unit 01?\It'll be ready in 380 seconds.\Engage!\Yes, Sir.\Rei. Yes, Sir.\Rei.\Re-activation was successfully completed. Return now. response:	The target is passing over Tonosawa.
context: She's not ready to fight yet. What's the status on Unit 01?\It'll be ready in 380 seconds.\Engage!\Yes, Sir.\Rei. Yes, Sir.\Rei.\Re-activation was successfully completed. Return now.\The target is passing over Tonosawa. response:	Unit 01 is beginning launch preparation.
context: It'll be ready in 380 seconds.\Engage!\Yes, Sir.\Rei. Yes, Sir.\Rei.\Re-activation was successfully completed. Return now.\The target is passing over Tonosawa.\Unit 01 is beginning launch preparation. response:	Releasing primary lock bolts.
context: Engage!\Yes, Sir.\Rei. Yes, Sir.\Rei.\Re-activation was successfully completed. Return now.\The target is passing over Tonosawa.\Unit 01 is beginning launch preparation.\Releasing primary lock bolts. response:	Release confirmed.
context: Yes, Sir.\Rei. Yes, Sir.\Rei.\Re-activation was successfully completed. Return now.\The target is passing over Tonosawa.\Unit 01 is beginning launch preparation.\Releasing primary lock bolts.\Release confirmed. response:	Roger. Release confirmed.
context: Rei. Yes, Sir.\Rei.\Re-activation was successfully completed. Return now.\The target is passing over Tonosawa.\Unit 01 is beginning launch preparation.\Releasing primary lock bolts.\Release confirmed.\Roger. Release confirmed. response:	Roger. Removing secondary restraints.
context: Rei.\Re-activation was successfully completed. Return now.\The target is passing over Tonosawa.\Unit 01 is beginning launch preparation.\Releasing primary lock bolts.\Release confirmed.\Roger. Release confirmed.\Roger. Removing secondary restraints. response:	Removing secondary restraints.
context: Re-activation was successfully completed. Return now.\The target is passing over Tonosawa.\Unit 01 is beginning launch preparation.\Releasing primary lock bolts.\Release confirmed.\Roger. Release confirmed.\Roger. Removing secondary restraints.\Removing secondary restraints. response:	Roger.
context: The target is passing over Tonosawa.\Unit 01 is beginning launch preparation.\Releasing primary lock bolts.\Release confirmed.\Roger. Release confirmed.\Roger. Removing secondary restraints.\Removing secondary restraints.\Roger. response:	The target is now intruding into Lake Ashino airspace.
context: Unit 01 is beginning launch preparation.\Releasing primary lock bolts.\Release confirmed.\Roger. Release confirmed.\Roger. Removing secondary restraints.\Removing secondary restraints.\Roger.\The target is now intruding into Lake Ashino airspace. response:	Eva Unit 01 is ready for launch.
context: Releasing primary lock bolts.\Release confirmed.\Roger. Release confirmed.\Roger. Removing secondary restraints.\Removing secondary restraints.\Roger.\The target is now intruding into Lake Ashino airspace.\Eva Unit 01 is ready for launch. response:	Launch!
context: Release confirmed.\Roger. Release confirmed.\Roger. Removing secondary restraints.\Removing secondary restraints.\Roger.\The target is now intruding into Lake Ashino airspace.\Eva Unit 01 is ready for launch.\Launch! response:	We're detecting a high energy reaction from inside the target!
context: Roger. Release confirmed.\Roger. Removing secondary restraints.\Removing secondary restraints.\Roger.\The target is now intruding into Lake Ashino airspace.\Eva Unit 01 is ready for launch.\Launch!\We're detecting a high energy reaction from inside the target! response:	What?!
context: Roger. Removing secondary restraints.\Removing secondary restraints.\Roger.\The target is now intruding into Lake Ashino airspace.\Eva Unit 01 is ready for launch.\Launch!\We're detecting a high energy reaction from inside the target!\What?! response:	It's accelerating, and massing upon itself!
context: Removing secondary restraints.\Roger.\The target is now intruding into Lake Ashino airspace.\Eva Unit 01 is ready for launch.\Launch!\We're detecting a high energy reaction from inside the target!\What?!\It's accelerating, and massing upon itself! response:	Is it possible?
context: Roger.\The target is now intruding into Lake Ashino airspace.\Eva Unit 01 is ready for launch.\Launch!\We're detecting a high energy reaction from inside the target!\What?!\It's accelerating, and massing upon itself!\Is it possible? response:	No, dodge it!
context: The target is now intruding into Lake Ashino airspace.\Eva Unit 01 is ready for launch.\Launch!\We're detecting a high energy reaction from inside the target!\What?!\It's accelerating, and massing upon itself!\Is it possible?\No, dodge it! response:	Shinji!
context: Eva Unit 01 is ready for launch.\Launch!\We're detecting a high energy reaction from inside the target!\What?!\It's accelerating, and massing upon itself!\Is it possible?\No, dodge it!\Shinji! response:	TO BE CONTINUED...
context: Launch!\We're detecting a high energy reaction from inside the target!\What?!\It's accelerating, and massing upon itself!\Is it possible?\No, dodge it!\Shinji!\TO BE CONTINUED... response:	Preview
