context: This baby came very strangely. response:	In just a few days, it's ready for birth.
context: You used blood from your own heart\to preserve your master's body.\You've repaid the debt of his protecting you from three bolts of lightning.\But Fifth Sister, you must know\since Mo Yuan has used your blood to preserve his body\he has to keep using it.\He can't use another fox's.\I know, Mother. response:	But Master has showed me such grace.
context: to preserve your master's body.\You've repaid the debt of his protecting you from three bolts of lightning.\But Fifth Sister, you must know\since Mo Yuan has used your blood to preserve his body\he has to keep using it.\He can't use another fox's.\I know, Mother.\But Master has showed me such grace. response:	What I'm doing for him is nothing compared to what he's done for me.
context: You've repaid the debt of his protecting you from three bolts of lightning.\But Fifth Sister, you must know\since Mo Yuan has used your blood to preserve his body\he has to keep using it.\He can't use another fox's.\I know, Mother.\But Master has showed me such grace.\What I'm doing for him is nothing compared to what he's done for me. response:	Mother, do you think Master will come back alive?
context: But Fifth Sister, you must know\since Mo Yuan has used your blood to preserve his body\he has to keep using it.\He can't use another fox's.\I know, Mother.\But Master has showed me such grace.\What I'm doing for him is nothing compared to what he's done for me.\Mother, do you think Master will come back alive? response:	You're awake.
context: since Mo Yuan has used your blood to preserve his body\he has to keep using it.\He can't use another fox's.\I know, Mother.\But Master has showed me such grace.\What I'm doing for him is nothing compared to what he's done for me.\Mother, do you think Master will come back alive?\You're awake. response:	Is this my second brother's daughter?
context: he has to keep using it.\He can't use another fox's.\I know, Mother.\But Master has showed me such grace.\What I'm doing for him is nothing compared to what he's done for me.\Mother, do you think Master will come back alive?\You're awake.\Is this my second brother's daughter? response:	Yes. I've brought her over here for you to see her.
context: He can't use another fox's.\I know, Mother.\But Master has showed me such grace.\What I'm doing for him is nothing compared to what he's done for me.\Mother, do you think Master will come back alive?\You're awake.\Is this my second brother's daughter?\Yes. I've brought her over here for you to see her. response:	Come closer. Let me see.
context: I know, Mother.\But Master has showed me such grace.\What I'm doing for him is nothing compared to what he's done for me.\Mother, do you think Master will come back alive?\You're awake.\Is this my second brother's daughter?\Yes. I've brought her over here for you to see her.\Come closer. Let me see. response:	Come quickly.
context: But Master has showed me such grace.\What I'm doing for him is nothing compared to what he's done for me.\Mother, do you think Master will come back alive?\You're awake.\Is this my second brother's daughter?\Yes. I've brought her over here for you to see her.\Come closer. Let me see.\Come quickly. response:	Here.
context: What I'm doing for him is nothing compared to what he's done for me.\Mother, do you think Master will come back alive?\You're awake.\Is this my second brother's daughter?\Yes. I've brought her over here for you to see her.\Come closer. Let me see.\Come quickly.\Here. response:	She's so pretty.
context: Mother, do you think Master will come back alive?\You're awake.\Is this my second brother's daughter?\Yes. I've brought her over here for you to see her.\Come closer. Let me see.\Come quickly.\Here.\She's so pretty. response:	She has a birthmark on her forehead.
context: You're awake.\Is this my second brother's daughter?\Yes. I've brought her over here for you to see her.\Come closer. Let me see.\Come quickly.\Here.\She's so pretty.\She has a birthmark on her forehead. response:	This birthmark...
context: Is this my second brother's daughter?\Yes. I've brought her over here for you to see her.\Come closer. Let me see.\Come quickly.\Here.\She's so pretty.\She has a birthmark on her forehead.\This birthmark... response:	Plumed cockscomb.
context: Yes. I've brought her over here for you to see her.\Come closer. Let me see.\Come quickly.\Here.\She's so pretty.\She has a birthmark on her forehead.\This birthmark...\Plumed cockscomb. response:	It's because of this plumed cockscomb
context: Come closer. Let me see.\Come quickly.\Here.\She's so pretty.\She has a birthmark on her forehead.\This birthmark...\Plumed cockscomb.\It's because of this plumed cockscomb response:	and because she's born in September
context: Come quickly.\Here.\She's so pretty.\She has a birthmark on her forehead.\This birthmark...\Plumed cockscomb.\It's because of this plumed cockscomb\and because she's born in September response:	that I've named her Feng Jiu, an ordinary name.
context: Here.\She's so pretty.\She has a birthmark on her forehead.\This birthmark...\Plumed cockscomb.\It's because of this plumed cockscomb\and because she's born in September\that I've named her Feng Jiu, an ordinary name. response:	Combined with our last name Bai, her name is Bai Feng Jiu.
context: She's so pretty.\She has a birthmark on her forehead.\This birthmark...\Plumed cockscomb.\It's because of this plumed cockscomb\and because she's born in September\that I've named her Feng Jiu, an ordinary name.\Combined with our last name Bai, her name is Bai Feng Jiu. response:	Bai Feng Jiu?
context: She has a birthmark on her forehead.\This birthmark...\Plumed cockscomb.\It's because of this plumed cockscomb\and because she's born in September\that I've named her Feng Jiu, an ordinary name.\Combined with our last name Bai, her name is Bai Feng Jiu.\Bai Feng Jiu? response:	Little Feng Jiu, did you know that
context: This birthmark...\Plumed cockscomb.\It's because of this plumed cockscomb\and because she's born in September\that I've named her Feng Jiu, an ordinary name.\Combined with our last name Bai, her name is Bai Feng Jiu.\Bai Feng Jiu?\Little Feng Jiu, did you know that response:	I tried to sneak down the mountain with Ninth to come see you?
context: Plumed cockscomb.\It's because of this plumed cockscomb\and because she's born in September\that I've named her Feng Jiu, an ordinary name.\Combined with our last name Bai, her name is Bai Feng Jiu.\Bai Feng Jiu?\Little Feng Jiu, did you know that\I tried to sneak down the mountain with Ninth to come see you? response:	After many accidents, I ended up in Grand Ziming Palace.
context: It's because of this plumed cockscomb\and because she's born in September\that I've named her Feng Jiu, an ordinary name.\Combined with our last name Bai, her name is Bai Feng Jiu.\Bai Feng Jiu?\Little Feng Jiu, did you know that\I tried to sneak down the mountain with Ninth to come see you?\After many accidents, I ended up in Grand Ziming Palace. response:	Fifth Sister, I don't mean to lecture you
context: and because she's born in September\that I've named her Feng Jiu, an ordinary name.\Combined with our last name Bai, her name is Bai Feng Jiu.\Bai Feng Jiu?\Little Feng Jiu, did you know that\I tried to sneak down the mountain with Ninth to come see you?\After many accidents, I ended up in Grand Ziming Palace.\Fifth Sister, I don't mean to lecture you response:	but in all the realms
context: that I've named her Feng Jiu, an ordinary name.\Combined with our last name Bai, her name is Bai Feng Jiu.\Bai Feng Jiu?\Little Feng Jiu, did you know that\I tried to sneak down the mountain with Ninth to come see you?\After many accidents, I ended up in Grand Ziming Palace.\Fifth Sister, I don't mean to lecture you\but in all the realms response:	only you would dare to bring Mo Yuan's body out here with you
context: Combined with our last name Bai, her name is Bai Feng Jiu.\Bai Feng Jiu?\Little Feng Jiu, did you know that\I tried to sneak down the mountain with Ninth to come see you?\After many accidents, I ended up in Grand Ziming Palace.\Fifth Sister, I don't mean to lecture you\but in all the realms\only you would dare to bring Mo Yuan's body out here with you response:	causing trouble with Kunlun Mountain and Celestial Palace.
context: Bai Feng Jiu?\Little Feng Jiu, did you know that\I tried to sneak down the mountain with Ninth to come see you?\After many accidents, I ended up in Grand Ziming Palace.\Fifth Sister, I don't mean to lecture you\but in all the realms\only you would dare to bring Mo Yuan's body out here with you\causing trouble with Kunlun Mountain and Celestial Palace. response:	Your fellow disciples are going crazy looking everywhere for you and Mo Yuan.
context: Little Feng Jiu, did you know that\I tried to sneak down the mountain with Ninth to come see you?\After many accidents, I ended up in Grand Ziming Palace.\Fifth Sister, I don't mean to lecture you\but in all the realms\only you would dare to bring Mo Yuan's body out here with you\causing trouble with Kunlun Mountain and Celestial Palace.\Your fellow disciples are going crazy looking everywhere for you and Mo Yuan. response:	At first, it was because of my heavy injuries
context: I tried to sneak down the mountain with Ninth to come see you?\After many accidents, I ended up in Grand Ziming Palace.\Fifth Sister, I don't mean to lecture you\but in all the realms\only you would dare to bring Mo Yuan's body out here with you\causing trouble with Kunlun Mountain and Celestial Palace.\Your fellow disciples are going crazy looking everywhere for you and Mo Yuan.\At first, it was because of my heavy injuries response:	and because I didn't know when Master would vanish away
context: After many accidents, I ended up in Grand Ziming Palace.\Fifth Sister, I don't mean to lecture you\but in all the realms\only you would dare to bring Mo Yuan's body out here with you\causing trouble with Kunlun Mountain and Celestial Palace.\Your fellow disciples are going crazy looking everywhere for you and Mo Yuan.\At first, it was because of my heavy injuries\and because I didn't know when Master would vanish away response:	that I thought I'd come here to see if there was a way.
context: Fifth Sister, I don't mean to lecture you\but in all the realms\only you would dare to bring Mo Yuan's body out here with you\causing trouble with Kunlun Mountain and Celestial Palace.\Your fellow disciples are going crazy looking everywhere for you and Mo Yuan.\At first, it was because of my heavy injuries\and because I didn't know when Master would vanish away\that I thought I'd come here to see if there was a way. response:	Do you remember that you're not actually Si Yin?
context: but in all the realms\only you would dare to bring Mo Yuan's body out here with you\causing trouble with Kunlun Mountain and Celestial Palace.\Your fellow disciples are going crazy looking everywhere for you and Mo Yuan.\At first, it was because of my heavy injuries\and because I didn't know when Master would vanish away\that I thought I'd come here to see if there was a way.\Do you remember that you're not actually Si Yin? response:	You're Qing Qiu fox clan's Bai Qian.
context: only you would dare to bring Mo Yuan's body out here with you\causing trouble with Kunlun Mountain and Celestial Palace.\Your fellow disciples are going crazy looking everywhere for you and Mo Yuan.\At first, it was because of my heavy injuries\and because I didn't know when Master would vanish away\that I thought I'd come here to see if there was a way.\Do you remember that you're not actually Si Yin?\You're Qing Qiu fox clan's Bai Qian. response:	You have a mother, father, and four brothers.
context: causing trouble with Kunlun Mountain and Celestial Palace.\Your fellow disciples are going crazy looking everywhere for you and Mo Yuan.\At first, it was because of my heavy injuries\and because I didn't know when Master would vanish away\that I thought I'd come here to see if there was a way.\Do you remember that you're not actually Si Yin?\You're Qing Qiu fox clan's Bai Qian.\You have a mother, father, and four brothers. response:	If you wanted to feed your master blood from the heart
context: Your fellow disciples are going crazy looking everywhere for you and Mo Yuan.\At first, it was because of my heavy injuries\and because I didn't know when Master would vanish away\that I thought I'd come here to see if there was a way.\Do you remember that you're not actually Si Yin?\You're Qing Qiu fox clan's Bai Qian.\You have a mother, father, and four brothers.\If you wanted to feed your master blood from the heart response:	you could have just acted cute with me
context: At first, it was because of my heavy injuries\and because I didn't know when Master would vanish away\that I thought I'd come here to see if there was a way.\Do you remember that you're not actually Si Yin?\You're Qing Qiu fox clan's Bai Qian.\You have a mother, father, and four brothers.\If you wanted to feed your master blood from the heart\you could have just acted cute with me response:	and I'd feed him my blood for you.
context: and because I didn't know when Master would vanish away\that I thought I'd come here to see if there was a way.\Do you remember that you're not actually Si Yin?\You're Qing Qiu fox clan's Bai Qian.\You have a mother, father, and four brothers.\If you wanted to feed your master blood from the heart\you could have just acted cute with me\and I'd feed him my blood for you. response:	Fourth Brother, I needed to repay Master's kindness.
context: that I thought I'd come here to see if there was a way.\Do you remember that you're not actually Si Yin?\You're Qing Qiu fox clan's Bai Qian.\You have a mother, father, and four brothers.\If you wanted to feed your master blood from the heart\you could have just acted cute with me\and I'd feed him my blood for you.\Fourth Brother, I needed to repay Master's kindness. response:	It has nothing to do with you.
context: Do you remember that you're not actually Si Yin?\You're Qing Qiu fox clan's Bai Qian.\You have a mother, father, and four brothers.\If you wanted to feed your master blood from the heart\you could have just acted cute with me\and I'd feed him my blood for you.\Fourth Brother, I needed to repay Master's kindness.\It has nothing to do with you. response:	Silly girl.
context: You're Qing Qiu fox clan's Bai Qian.\You have a mother, father, and four brothers.\If you wanted to feed your master blood from the heart\you could have just acted cute with me\and I'd feed him my blood for you.\Fourth Brother, I needed to repay Master's kindness.\It has nothing to do with you.\Silly girl. response:	Fifth Sister is right.
context: You have a mother, father, and four brothers.\If you wanted to feed your master blood from the heart\you could have just acted cute with me\and I'd feed him my blood for you.\Fourth Brother, I needed to repay Master's kindness.\It has nothing to do with you.\Silly girl.\Fifth Sister is right. response:	Mo Yuan protected her from the lightning.
context: If you wanted to feed your master blood from the heart\you could have just acted cute with me\and I'd feed him my blood for you.\Fourth Brother, I needed to repay Master's kindness.\It has nothing to do with you.\Silly girl.\Fifth Sister is right.\Mo Yuan protected her from the lightning. response:	She repaid him by using the magic blood from her heart.
context: you could have just acted cute with me\and I'd feed him my blood for you.\Fourth Brother, I needed to repay Master's kindness.\It has nothing to do with you.\Silly girl.\Fifth Sister is right.\Mo Yuan protected her from the lightning.\She repaid him by using the magic blood from her heart. response:	That is reasonable.
context: and I'd feed him my blood for you.\Fourth Brother, I needed to repay Master's kindness.\It has nothing to do with you.\Silly girl.\Fifth Sister is right.\Mo Yuan protected her from the lightning.\She repaid him by using the magic blood from her heart.\That is reasonable. response:	But if you did it, and Mo Yuan comes back one day
context: Fourth Brother, I needed to repay Master's kindness.\It has nothing to do with you.\Silly girl.\Fifth Sister is right.\Mo Yuan protected her from the lightning.\She repaid him by using the magic blood from her heart.\That is reasonable.\But if you did it, and Mo Yuan comes back one day response:	he would have received your kindness gratuitously.
context: It has nothing to do with you.\Silly girl.\Fifth Sister is right.\Mo Yuan protected her from the lightning.\She repaid him by using the magic blood from her heart.\That is reasonable.\But if you did it, and Mo Yuan comes back one day\he would have received your kindness gratuitously. response:	How would he repay you?
context: Silly girl.\Fifth Sister is right.\Mo Yuan protected her from the lightning.\She repaid him by using the magic blood from her heart.\That is reasonable.\But if you did it, and Mo Yuan comes back one day\he would have received your kindness gratuitously.\How would he repay you? response:	You're right, Mother.
context: Fifth Sister is right.\Mo Yuan protected her from the lightning.\She repaid him by using the magic blood from her heart.\That is reasonable.\But if you did it, and Mo Yuan comes back one day\he would have received your kindness gratuitously.\How would he repay you?\You're right, Mother. response:	You.
context: Mo Yuan protected her from the lightning.\She repaid him by using the magic blood from her heart.\That is reasonable.\But if you did it, and Mo Yuan comes back one day\he would have received your kindness gratuitously.\How would he repay you?\You're right, Mother.\You. response:	All right, forget it.
context: She repaid him by using the magic blood from her heart.\That is reasonable.\But if you did it, and Mo Yuan comes back one day\he would have received your kindness gratuitously.\How would he repay you?\You're right, Mother.\You.\All right, forget it. response:	Take care of Fifth Sister.
context: That is reasonable.\But if you did it, and Mo Yuan comes back one day\he would have received your kindness gratuitously.\How would he repay you?\You're right, Mother.\You.\All right, forget it.\Take care of Fifth Sister. response:	I am going to the Celestial Palace with your father.
context: But if you did it, and Mo Yuan comes back one day\he would have received your kindness gratuitously.\How would he repay you?\You're right, Mother.\You.\All right, forget it.\Take care of Fifth Sister.\I am going to the Celestial Palace with your father. response:	Because of the new heir that was born?
context: he would have received your kindness gratuitously.\How would he repay you?\You're right, Mother.\You.\All right, forget it.\Take care of Fifth Sister.\I am going to the Celestial Palace with your father.\Because of the new heir that was born? response:	Yes.
context: How would he repay you?\You're right, Mother.\You.\All right, forget it.\Take care of Fifth Sister.\I am going to the Celestial Palace with your father.\Because of the new heir that was born?\Yes. response:	I have to go now.
context: You're right, Mother.\You.\All right, forget it.\Take care of Fifth Sister.\I am going to the Celestial Palace with your father.\Because of the new heir that was born?\Yes.\I have to go now. response:	Oh yeah, don't be too naughty.
context: You.\All right, forget it.\Take care of Fifth Sister.\I am going to the Celestial Palace with your father.\Because of the new heir that was born?\Yes.\I have to go now.\Oh yeah, don't be too naughty. response:	Fifth Sister is really weak right now. You can't play around her.
context: All right, forget it.\Take care of Fifth Sister.\I am going to the Celestial Palace with your father.\Because of the new heir that was born?\Yes.\I have to go now.\Oh yeah, don't be too naughty.\Fifth Sister is really weak right now. You can't play around her. response:	Don't worry, Mother.
context: Take care of Fifth Sister.\I am going to the Celestial Palace with your father.\Because of the new heir that was born?\Yes.\I have to go now.\Oh yeah, don't be too naughty.\Fifth Sister is really weak right now. You can't play around her.\Don't worry, Mother. response:	Zhe Yan and I will just chat with her and play with Feng Jiu.
context: I am going to the Celestial Palace with your father.\Because of the new heir that was born?\Yes.\I have to go now.\Oh yeah, don't be too naughty.\Fifth Sister is really weak right now. You can't play around her.\Don't worry, Mother.\Zhe Yan and I will just chat with her and play with Feng Jiu. response:	- Don't worry, Mother. - Don't worry.
context: Because of the new heir that was born?\Yes.\I have to go now.\Oh yeah, don't be too naughty.\Fifth Sister is really weak right now. You can't play around her.\Don't worry, Mother.\Zhe Yan and I will just chat with her and play with Feng Jiu.\- Don't worry, Mother. - Don't worry. response:	You two are the most alike.
context: Yes.\I have to go now.\Oh yeah, don't be too naughty.\Fifth Sister is really weak right now. You can't play around her.\Don't worry, Mother.\Zhe Yan and I will just chat with her and play with Feng Jiu.\- Don't worry, Mother. - Don't worry.\You two are the most alike. response:	But you are the most disobedient.
context: I have to go now.\Oh yeah, don't be too naughty.\Fifth Sister is really weak right now. You can't play around her.\Don't worry, Mother.\Zhe Yan and I will just chat with her and play with Feng Jiu.\- Don't worry, Mother. - Don't worry.\You two are the most alike.\But you are the most disobedient. response:	Little Feng Jiu.
context: Oh yeah, don't be too naughty.\Fifth Sister is really weak right now. You can't play around her.\Don't worry, Mother.\Zhe Yan and I will just chat with her and play with Feng Jiu.\- Don't worry, Mother. - Don't worry.\You two are the most alike.\But you are the most disobedient.\Little Feng Jiu. response:	Master.
context: Fifth Sister is really weak right now. You can't play around her.\Don't worry, Mother.\Zhe Yan and I will just chat with her and play with Feng Jiu.\- Don't worry, Mother. - Don't worry.\You two are the most alike.\But you are the most disobedient.\Little Feng Jiu.\Master. response:	After getting half of Mother's essence
context: Don't worry, Mother.\Zhe Yan and I will just chat with her and play with Feng Jiu.\- Don't worry, Mother. - Don't worry.\You two are the most alike.\But you are the most disobedient.\Little Feng Jiu.\Master.\After getting half of Mother's essence response:	I'm able to preserve your body.
context: Zhe Yan and I will just chat with her and play with Feng Jiu.\- Don't worry, Mother. - Don't worry.\You two are the most alike.\But you are the most disobedient.\Little Feng Jiu.\Master.\After getting half of Mother's essence\I'm able to preserve your body. response:	I will wait here for you to come back
context: - Don't worry, Mother. - Don't worry.\You two are the most alike.\But you are the most disobedient.\Little Feng Jiu.\Master.\After getting half of Mother's essence\I'm able to preserve your body.\I will wait here for you to come back response:	and for you to grandly reappear in Kunlun Mountain
context: You two are the most alike.\But you are the most disobedient.\Little Feng Jiu.\Master.\After getting half of Mother's essence\I'm able to preserve your body.\I will wait here for you to come back\and for you to grandly reappear in Kunlun Mountain response:	where everyone will worship you.
context: But you are the most disobedient.\Little Feng Jiu.\Master.\After getting half of Mother's essence\I'm able to preserve your body.\I will wait here for you to come back\and for you to grandly reappear in Kunlun Mountain\where everyone will worship you. response:	Ever since taking you away from Kunlun Mountain on my own accord
context: Little Feng Jiu.\Master.\After getting half of Mother's essence\I'm able to preserve your body.\I will wait here for you to come back\and for you to grandly reappear in Kunlun Mountain\where everyone will worship you.\Ever since taking you away from Kunlun Mountain on my own accord response:	for the past 70,000 years
context: Master.\After getting half of Mother's essence\I'm able to preserve your body.\I will wait here for you to come back\and for you to grandly reappear in Kunlun Mountain\where everyone will worship you.\Ever since taking you away from Kunlun Mountain on my own accord\for the past 70,000 years response:	I haven't stepped foot outside of Qing Qiu.
context: After getting half of Mother's essence\I'm able to preserve your body.\I will wait here for you to come back\and for you to grandly reappear in Kunlun Mountain\where everyone will worship you.\Ever since taking you away from Kunlun Mountain on my own accord\for the past 70,000 years\I haven't stepped foot outside of Qing Qiu. response:	I heard all my fellow disciples have returned to their own tribes.
context: I'm able to preserve your body.\I will wait here for you to come back\and for you to grandly reappear in Kunlun Mountain\where everyone will worship you.\Ever since taking you away from Kunlun Mountain on my own accord\for the past 70,000 years\I haven't stepped foot outside of Qing Qiu.\I heard all my fellow disciples have returned to their own tribes. response:	The Kunlun Mountain where crowds of immortals go for worship
context: I will wait here for you to come back\and for you to grandly reappear in Kunlun Mountain\where everyone will worship you.\Ever since taking you away from Kunlun Mountain on my own accord\for the past 70,000 years\I haven't stepped foot outside of Qing Qiu.\I heard all my fellow disciples have returned to their own tribes.\The Kunlun Mountain where crowds of immortals go for worship response:	has become an uninhabited holy land.
context: and for you to grandly reappear in Kunlun Mountain\where everyone will worship you.\Ever since taking you away from Kunlun Mountain on my own accord\for the past 70,000 years\I haven't stepped foot outside of Qing Qiu.\I heard all my fellow disciples have returned to their own tribes.\The Kunlun Mountain where crowds of immortals go for worship\has become an uninhabited holy land. response:	The Celestial Tribe and Ghost Tribe are friends again.
context: where everyone will worship you.\Ever since taking you away from Kunlun Mountain on my own accord\for the past 70,000 years\I haven't stepped foot outside of Qing Qiu.\I heard all my fellow disciples have returned to their own tribes.\The Kunlun Mountain where crowds of immortals go for worship\has become an uninhabited holy land.\The Celestial Tribe and Ghost Tribe are friends again. response:	Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang
context: Ever since taking you away from Kunlun Mountain on my own accord\for the past 70,000 years\I haven't stepped foot outside of Qing Qiu.\I heard all my fellow disciples have returned to their own tribes.\The Kunlun Mountain where crowds of immortals go for worship\has become an uninhabited holy land.\The Celestial Tribe and Ghost Tribe are friends again.\Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang response:	have been buried under Kunlun Mountain's endless leaves and river sediments.
context: for the past 70,000 years\I haven't stepped foot outside of Qing Qiu.\I heard all my fellow disciples have returned to their own tribes.\The Kunlun Mountain where crowds of immortals go for worship\has become an uninhabited holy land.\The Celestial Tribe and Ghost Tribe are friends again.\Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang\have been buried under Kunlun Mountain's endless leaves and river sediments. response:	No one mentions them anymore.
context: I haven't stepped foot outside of Qing Qiu.\I heard all my fellow disciples have returned to their own tribes.\The Kunlun Mountain where crowds of immortals go for worship\has become an uninhabited holy land.\The Celestial Tribe and Ghost Tribe are friends again.\Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang\have been buried under Kunlun Mountain's endless leaves and river sediments.\No one mentions them anymore. response:	Master, in seven days
context: I heard all my fellow disciples have returned to their own tribes.\The Kunlun Mountain where crowds of immortals go for worship\has become an uninhabited holy land.\The Celestial Tribe and Ghost Tribe are friends again.\Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang\have been buried under Kunlun Mountain's endless leaves and river sediments.\No one mentions them anymore.\Master, in seven days response:	it'll be the day when Qing Cang breaks the seal
context: The Kunlun Mountain where crowds of immortals go for worship\has become an uninhabited holy land.\The Celestial Tribe and Ghost Tribe are friends again.\Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang\have been buried under Kunlun Mountain's endless leaves and river sediments.\No one mentions them anymore.\Master, in seven days\it'll be the day when Qing Cang breaks the seal response:	and comes out from the bell.
context: has become an uninhabited holy land.\The Celestial Tribe and Ghost Tribe are friends again.\Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang\have been buried under Kunlun Mountain's endless leaves and river sediments.\No one mentions them anymore.\Master, in seven days\it'll be the day when Qing Cang breaks the seal\and comes out from the bell. response:	Don't worry, Master.
context: The Celestial Tribe and Ghost Tribe are friends again.\Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang\have been buried under Kunlun Mountain's endless leaves and river sediments.\No one mentions them anymore.\Master, in seven days\it'll be the day when Qing Cang breaks the seal\and comes out from the bell.\Don't worry, Master. response:	Even if I have to sacrifice my life
context: Gradually, the names of the God of War Mo Yuan and Ghost Lord Qing Cang\have been buried under Kunlun Mountain's endless leaves and river sediments.\No one mentions them anymore.\Master, in seven days\it'll be the day when Qing Cang breaks the seal\and comes out from the bell.\Don't worry, Master.\Even if I have to sacrifice my life response:	I will seal him again.
context: have been buried under Kunlun Mountain's endless leaves and river sediments.\No one mentions them anymore.\Master, in seven days\it'll be the day when Qing Cang breaks the seal\and comes out from the bell.\Don't worry, Master.\Even if I have to sacrifice my life\I will seal him again. response:	I won't let you down.
context: No one mentions them anymore.\Master, in seven days\it'll be the day when Qing Cang breaks the seal\and comes out from the bell.\Don't worry, Master.\Even if I have to sacrifice my life\I will seal him again.\I won't let you down. response:	- Aunt. - Aunt.
context: Master, in seven days\it'll be the day when Qing Cang breaks the seal\and comes out from the bell.\Don't worry, Master.\Even if I have to sacrifice my life\I will seal him again.\I won't let you down.\- Aunt. - Aunt. response:	Aunt, you're so beautiful.
context: it'll be the day when Qing Cang breaks the seal\and comes out from the bell.\Don't worry, Master.\Even if I have to sacrifice my life\I will seal him again.\I won't let you down.\- Aunt. - Aunt.\Aunt, you're so beautiful. response:	- Aunt. - Aunt.
context: and comes out from the bell.\Don't worry, Master.\Even if I have to sacrifice my life\I will seal him again.\I won't let you down.\- Aunt. - Aunt.\Aunt, you're so beautiful.\- Aunt. - Aunt. response:	- Aunt. - Aunt.
context: Don't worry, Master.\Even if I have to sacrifice my life\I will seal him again.\I won't let you down.\- Aunt. - Aunt.\Aunt, you're so beautiful.\- Aunt. - Aunt.\- Aunt. - Aunt. response:	Here, what do you think of this one?
context: Even if I have to sacrifice my life\I will seal him again.\I won't let you down.\- Aunt. - Aunt.\Aunt, you're so beautiful.\- Aunt. - Aunt.\- Aunt. - Aunt.\Here, what do you think of this one? response:	This one is good.
context: I will seal him again.\I won't let you down.\- Aunt. - Aunt.\Aunt, you're so beautiful.\- Aunt. - Aunt.\- Aunt. - Aunt.\Here, what do you think of this one?\This one is good. response:	Yes.
context: I won't let you down.\- Aunt. - Aunt.\Aunt, you're so beautiful.\- Aunt. - Aunt.\- Aunt. - Aunt.\Here, what do you think of this one?\This one is good.\Yes. response:	- Aunt. - Aunt.
context: - Aunt. - Aunt.\Aunt, you're so beautiful.\- Aunt. - Aunt.\- Aunt. - Aunt.\Here, what do you think of this one?\This one is good.\Yes.\- Aunt. - Aunt. response:	Hello, Aunt.
context: Aunt, you're so beautiful.\- Aunt. - Aunt.\- Aunt. - Aunt.\Here, what do you think of this one?\This one is good.\Yes.\- Aunt. - Aunt.\Hello, Aunt. response:	Aunt, are you going to the mountain pass?
context: - Aunt. - Aunt.\- Aunt. - Aunt.\Here, what do you think of this one?\This one is good.\Yes.\- Aunt. - Aunt.\Hello, Aunt.\Aunt, are you going to the mountain pass? response:	It's all my fault.
context: - Aunt. - Aunt.\Here, what do you think of this one?\This one is good.\Yes.\- Aunt. - Aunt.\Hello, Aunt.\Aunt, are you going to the mountain pass?\It's all my fault. response:	I shouldn't have kept you and Shao Xing in the cave.
context: Here, what do you think of this one?\This one is good.\Yes.\- Aunt. - Aunt.\Hello, Aunt.\Aunt, are you going to the mountain pass?\It's all my fault.\I shouldn't have kept you and Shao Xing in the cave. response:	You look awful.
context: This one is good.\Yes.\- Aunt. - Aunt.\Hello, Aunt.\Aunt, are you going to the mountain pass?\It's all my fault.\I shouldn't have kept you and Shao Xing in the cave.\You look awful. response:	You're not even married yet.
context: Yes.\- Aunt. - Aunt.\Hello, Aunt.\Aunt, are you going to the mountain pass?\It's all my fault.\I shouldn't have kept you and Shao Xing in the cave.\You look awful.\You're not even married yet. response:	Do you have that much to worry about?
context: - Aunt. - Aunt.\Hello, Aunt.\Aunt, are you going to the mountain pass?\It's all my fault.\I shouldn't have kept you and Shao Xing in the cave.\You look awful.\You're not even married yet.\Do you have that much to worry about? response:	Aunt, something big has happened.
context: Hello, Aunt.\Aunt, are you going to the mountain pass?\It's all my fault.\I shouldn't have kept you and Shao Xing in the cave.\You look awful.\You're not even married yet.\Do you have that much to worry about?\Aunt, something big has happened. response:	What happened?
context: Aunt, are you going to the mountain pass?\It's all my fault.\I shouldn't have kept you and Shao Xing in the cave.\You look awful.\You're not even married yet.\Do you have that much to worry about?\Aunt, something big has happened.\What happened? response:	Forget it. Come here, Aunt.
context: It's all my fault.\I shouldn't have kept you and Shao Xing in the cave.\You look awful.\You're not even married yet.\Do you have that much to worry about?\Aunt, something big has happened.\What happened?\Forget it. Come here, Aunt. response:	Mi Gu, what happened? Tell me quickly.
context: I shouldn't have kept you and Shao Xing in the cave.\You look awful.\You're not even married yet.\Do you have that much to worry about?\Aunt, something big has happened.\What happened?\Forget it. Come here, Aunt.\Mi Gu, what happened? Tell me quickly. response:	Sang Ji came to the Fox Den.
context: You look awful.\You're not even married yet.\Do you have that much to worry about?\Aunt, something big has happened.\What happened?\Forget it. Come here, Aunt.\Mi Gu, what happened? Tell me quickly.\Sang Ji came to the Fox Den. response:	Then I'll keep going to the mountain pass.
context: You're not even married yet.\Do you have that much to worry about?\Aunt, something big has happened.\What happened?\Forget it. Come here, Aunt.\Mi Gu, what happened? Tell me quickly.\Sang Ji came to the Fox Den.\Then I'll keep going to the mountain pass. response:	No, Aunt.
