context: Yes, I'm on my way. response:	Yes, it'll be fine.
context: I order you in the name of my Crest.\- Hurry and deal with these - Silence!\You've violated the treaty.\Meaning you'll be stripped of your rank and everything else.\And your contract with me is now void. I have no reason to follow your orders!\W-What did you say?\Now that it's come to this, it's time to surrender your Crest,\and leave this land without further delay. response:	Dammit!
context: - Hurry and deal with these - Silence!\You've violated the treaty.\Meaning you'll be stripped of your rank and everything else.\And your contract with me is now void. I have no reason to follow your orders!\W-What did you say?\Now that it's come to this, it's time to surrender your Crest,\and leave this land without further delay.\Dammit! response:	This is all because you passed through my domain!
context: You've violated the treaty.\Meaning you'll be stripped of your rank and everything else.\And your contract with me is now void. I have no reason to follow your orders!\W-What did you say?\Now that it's come to this, it's time to surrender your Crest,\and leave this land without further delay.\Dammit!\This is all because you passed through my domain! response:	Thank you very much.
context: Meaning you'll be stripped of your rank and everything else.\And your contract with me is now void. I have no reason to follow your orders!\W-What did you say?\Now that it's come to this, it's time to surrender your Crest,\and leave this land without further delay.\Dammit!\This is all because you passed through my domain!\Thank you very much. response:	Why you...
context: And your contract with me is now void. I have no reason to follow your orders!\W-What did you say?\Now that it's come to this, it's time to surrender your Crest,\and leave this land without further delay.\Dammit!\This is all because you passed through my domain!\Thank you very much.\Why you... response:	Your Crest or your life, which will you choose?
context: W-What did you say?\Now that it's come to this, it's time to surrender your Crest,\and leave this land without further delay.\Dammit!\This is all because you passed through my domain!\Thank you very much.\Why you...\Your Crest or your life, which will you choose? response:	A-Anything but my life... Please spare me!
context: Now that it's come to this, it's time to surrender your Crest,\and leave this land without further delay.\Dammit!\This is all because you passed through my domain!\Thank you very much.\Why you...\Your Crest or your life, which will you choose?\A-Anything but my life... Please spare me! response:	In that case, relinquish your Crest to my Lord.
context: and leave this land without further delay.\Dammit!\This is all because you passed through my domain!\Thank you very much.\Why you...\Your Crest or your life, which will you choose?\A-Anything but my life... Please spare me!\In that case, relinquish your Crest to my Lord. response:	I, Mesto Meadrich, offer my Crest to you as your own.
context: Dammit!\This is all because you passed through my domain!\Thank you very much.\Why you...\Your Crest or your life, which will you choose?\A-Anything but my life... Please spare me!\In that case, relinquish your Crest to my Lord.\I, Mesto Meadrich, offer my Crest to you as your own. response:	Please hold out your Crest, Sir Theo.
context: This is all because you passed through my domain!\Thank you very much.\Why you...\Your Crest or your life, which will you choose?\A-Anything but my life... Please spare me!\In that case, relinquish your Crest to my Lord.\I, Mesto Meadrich, offer my Crest to you as your own.\Please hold out your Crest, Sir Theo. response:	Repeat after me.
context: Thank you very much.\Why you...\Your Crest or your life, which will you choose?\A-Anything but my life... Please spare me!\In that case, relinquish your Crest to my Lord.\I, Mesto Meadrich, offer my Crest to you as your own.\Please hold out your Crest, Sir Theo.\Repeat after me. response:	I, Theo...
context: Why you...\Your Crest or your life, which will you choose?\A-Anything but my life... Please spare me!\In that case, relinquish your Crest to my Lord.\I, Mesto Meadrich, offer my Crest to you as your own.\Please hold out your Crest, Sir Theo.\Repeat after me.\I, Theo... response:	I, Theo...
context: Your Crest or your life, which will you choose?\A-Anything but my life... Please spare me!\In that case, relinquish your Crest to my Lord.\I, Mesto Meadrich, offer my Crest to you as your own.\Please hold out your Crest, Sir Theo.\Repeat after me.\I, Theo...\I, Theo... response:	Accept thy Crest...
context: A-Anything but my life... Please spare me!\In that case, relinquish your Crest to my Lord.\I, Mesto Meadrich, offer my Crest to you as your own.\Please hold out your Crest, Sir Theo.\Repeat after me.\I, Theo...\I, Theo...\Accept thy Crest... response:	Accept thy Crest...
context: In that case, relinquish your Crest to my Lord.\I, Mesto Meadrich, offer my Crest to you as your own.\Please hold out your Crest, Sir Theo.\Repeat after me.\I, Theo...\I, Theo...\Accept thy Crest...\Accept thy Crest... response:	And now, please lay your own Crest against Mesto's.
context: I, Mesto Meadrich, offer my Crest to you as your own.\Please hold out your Crest, Sir Theo.\Repeat after me.\I, Theo...\I, Theo...\Accept thy Crest...\Accept thy Crest...\And now, please lay your own Crest against Mesto's. response:	Somehow, he seems pitiful, doesn't he?
context: Please hold out your Crest, Sir Theo.\Repeat after me.\I, Theo...\I, Theo...\Accept thy Crest...\Accept thy Crest...\And now, please lay your own Crest against Mesto's.\Somehow, he seems pitiful, doesn't he? response:	The people living under such a foolish Lord should be pitied.
context: Repeat after me.\I, Theo...\I, Theo...\Accept thy Crest...\Accept thy Crest...\And now, please lay your own Crest against Mesto's.\Somehow, he seems pitiful, doesn't he?\The people living under such a foolish Lord should be pitied. response:	Even if you hadn't seized it, a Lord like that would've lost his Crest eventually.
context: I, Theo...\I, Theo...\Accept thy Crest...\Accept thy Crest...\And now, please lay your own Crest against Mesto's.\Somehow, he seems pitiful, doesn't he?\The people living under such a foolish Lord should be pitied.\Even if you hadn't seized it, a Lord like that would've lost his Crest eventually. response:	Also, this means that along with his Crest, you've inherited that Lord's domain.
context: I, Theo...\Accept thy Crest...\Accept thy Crest...\And now, please lay your own Crest against Mesto's.\Somehow, he seems pitiful, doesn't he?\The people living under such a foolish Lord should be pitied.\Even if you hadn't seized it, a Lord like that would've lost his Crest eventually.\Also, this means that along with his Crest, you've inherited that Lord's domain. response:	But whether the other Lords in this area will recognize that...
context: Accept thy Crest...\Accept thy Crest...\And now, please lay your own Crest against Mesto's.\Somehow, he seems pitiful, doesn't he?\The people living under such a foolish Lord should be pitied.\Even if you hadn't seized it, a Lord like that would've lost his Crest eventually.\Also, this means that along with his Crest, you've inherited that Lord's domain.\But whether the other Lords in this area will recognize that... response:	Allow me to go speak with Viscount Shakes.
context: Accept thy Crest...\And now, please lay your own Crest against Mesto's.\Somehow, he seems pitiful, doesn't he?\The people living under such a foolish Lord should be pitied.\Even if you hadn't seized it, a Lord like that would've lost his Crest eventually.\Also, this means that along with his Crest, you've inherited that Lord's domain.\But whether the other Lords in this area will recognize that...\Allow me to go speak with Viscount Shakes. response:	That is, if Sir Theo will agree to enter a contract with me.
context: And now, please lay your own Crest against Mesto's.\Somehow, he seems pitiful, doesn't he?\The people living under such a foolish Lord should be pitied.\Even if you hadn't seized it, a Lord like that would've lost his Crest eventually.\Also, this means that along with his Crest, you've inherited that Lord's domain.\But whether the other Lords in this area will recognize that...\Allow me to go speak with Viscount Shakes.\That is, if Sir Theo will agree to enter a contract with me. response:	Then I shall set off to negotiate immediately.
context: Somehow, he seems pitiful, doesn't he?\The people living under such a foolish Lord should be pitied.\Even if you hadn't seized it, a Lord like that would've lost his Crest eventually.\Also, this means that along with his Crest, you've inherited that Lord's domain.\But whether the other Lords in this area will recognize that...\Allow me to go speak with Viscount Shakes.\That is, if Sir Theo will agree to enter a contract with me.\Then I shall set off to negotiate immediately. response:	There's no need for that.
context: The people living under such a foolish Lord should be pitied.\Even if you hadn't seized it, a Lord like that would've lost his Crest eventually.\Also, this means that along with his Crest, you've inherited that Lord's domain.\But whether the other Lords in this area will recognize that...\Allow me to go speak with Viscount Shakes.\That is, if Sir Theo will agree to enter a contract with me.\Then I shall set off to negotiate immediately.\There's no need for that. response:	Because Sir Theo is going to announce that hes joining the Alliance.
context: Even if you hadn't seized it, a Lord like that would've lost his Crest eventually.\Also, this means that along with his Crest, you've inherited that Lord's domain.\But whether the other Lords in this area will recognize that...\Allow me to go speak with Viscount Shakes.\That is, if Sir Theo will agree to enter a contract with me.\Then I shall set off to negotiate immediately.\There's no need for that.\Because Sir Theo is going to announce that hes joining the Alliance. response:	What's that?
context: Also, this means that along with his Crest, you've inherited that Lord's domain.\But whether the other Lords in this area will recognize that...\Allow me to go speak with Viscount Shakes.\That is, if Sir Theo will agree to enter a contract with me.\Then I shall set off to negotiate immediately.\There's no need for that.\Because Sir Theo is going to announce that hes joining the Alliance.\What's that? response:	But if he does, hell be surrounded by enemies!
context: But whether the other Lords in this area will recognize that...\Allow me to go speak with Viscount Shakes.\That is, if Sir Theo will agree to enter a contract with me.\Then I shall set off to negotiate immediately.\There's no need for that.\Because Sir Theo is going to announce that hes joining the Alliance.\What's that?\But if he does, hell be surrounded by enemies! response:	That's precisely what our Lord desires.
context: Allow me to go speak with Viscount Shakes.\That is, if Sir Theo will agree to enter a contract with me.\Then I shall set off to negotiate immediately.\There's no need for that.\Because Sir Theo is going to announce that hes joining the Alliance.\What's that?\But if he does, hell be surrounded by enemies!\That's precisely what our Lord desires. response:	What exactly are you planning to make me do?
context: That is, if Sir Theo will agree to enter a contract with me.\Then I shall set off to negotiate immediately.\There's no need for that.\Because Sir Theo is going to announce that hes joining the Alliance.\What's that?\But if he does, hell be surrounded by enemies!\That's precisely what our Lord desires.\What exactly are you planning to make me do? response:	Didn't I tell you before?
context: Then I shall set off to negotiate immediately.\There's no need for that.\Because Sir Theo is going to announce that hes joining the Alliance.\What's that?\But if he does, hell be surrounded by enemies!\That's precisely what our Lord desires.\What exactly are you planning to make me do?\Didn't I tell you before? response:	That I was going to help you realize the world you've envisioned.
context: There's no need for that.\Because Sir Theo is going to announce that hes joining the Alliance.\What's that?\But if he does, hell be surrounded by enemies!\That's precisely what our Lord desires.\What exactly are you planning to make me do?\Didn't I tell you before?\That I was going to help you realize the world you've envisioned. response:	I think I could end up dead before I ever realize my dream.
context: Because Sir Theo is going to announce that hes joining the Alliance.\What's that?\But if he does, hell be surrounded by enemies!\That's precisely what our Lord desires.\What exactly are you planning to make me do?\Didn't I tell you before?\That I was going to help you realize the world you've envisioned.\I think I could end up dead before I ever realize my dream. response:	You'll be fine!
context: What's that?\But if he does, hell be surrounded by enemies!\That's precisely what our Lord desires.\What exactly are you planning to make me do?\Didn't I tell you before?\That I was going to help you realize the world you've envisioned.\I think I could end up dead before I ever realize my dream.\You'll be fine! response:	Because you'll have me by your side.
context: But if he does, hell be surrounded by enemies!\That's precisely what our Lord desires.\What exactly are you planning to make me do?\Didn't I tell you before?\That I was going to help you realize the world you've envisioned.\I think I could end up dead before I ever realize my dream.\You'll be fine!\Because you'll have me by your side. response:	CONTRACT
context: That's precisely what our Lord desires.\What exactly are you planning to make me do?\Didn't I tell you before?\That I was going to help you realize the world you've envisioned.\I think I could end up dead before I ever realize my dream.\You'll be fine!\Because you'll have me by your side.\CONTRACT response:	EPISODE 2: AMBITION
