context: This is... Earth?! response:	It's hovering!
context: When ships join up, it doesn't take long to form a fleet.\And there are pains in the neck, too, like pirates...\Pirates are enemies?\Yeah, I guess you could say that.\No worries.\A Milky Way. Sometimes it's called a Sea Galaxy.\You have to see it. It's so beautiful.\Thank goodness. response:	Now we can travel on a new Milky Way.
context: And there are pains in the neck, too, like pirates...\Pirates are enemies?\Yeah, I guess you could say that.\No worries.\A Milky Way. Sometimes it's called a Sea Galaxy.\You have to see it. It's so beautiful.\Thank goodness.\Now we can travel on a new Milky Way. response:	What is a Milky Way?
context: Pirates are enemies?\Yeah, I guess you could say that.\No worries.\A Milky Way. Sometimes it's called a Sea Galaxy.\You have to see it. It's so beautiful.\Thank goodness.\Now we can travel on a new Milky Way.\What is a Milky Way? response:	It's a glowing path that runs through the sea.
context: Yeah, I guess you could say that.\No worries.\A Milky Way. Sometimes it's called a Sea Galaxy.\You have to see it. It's so beautiful.\Thank goodness.\Now we can travel on a new Milky Way.\What is a Milky Way?\It's a glowing path that runs through the sea. response:	We wouldn't be able to live without it.
context: No worries.\A Milky Way. Sometimes it's called a Sea Galaxy.\You have to see it. It's so beautiful.\Thank goodness.\Now we can travel on a new Milky Way.\What is a Milky Way?\It's a glowing path that runs through the sea.\We wouldn't be able to live without it. response:	So the ships forge ahead, staying on the path.
context: A Milky Way. Sometimes it's called a Sea Galaxy.\You have to see it. It's so beautiful.\Thank goodness.\Now we can travel on a new Milky Way.\What is a Milky Way?\It's a glowing path that runs through the sea.\We wouldn't be able to live without it.\So the ships forge ahead, staying on the path. response:	But there's no guarantee that the path will go on forever.
context: You have to see it. It's so beautiful.\Thank goodness.\Now we can travel on a new Milky Way.\What is a Milky Way?\It's a glowing path that runs through the sea.\We wouldn't be able to live without it.\So the ships forge ahead, staying on the path.\But there's no guarantee that the path will go on forever. response:	So when that happens,
context: Thank goodness.\Now we can travel on a new Milky Way.\What is a Milky Way?\It's a glowing path that runs through the sea.\We wouldn't be able to live without it.\So the ships forge ahead, staying on the path.\But there's no guarantee that the path will go on forever.\So when that happens, response:	we search for a new Sea Galaxy and switch over to that path.
context: Now we can travel on a new Milky Way.\What is a Milky Way?\It's a glowing path that runs through the sea.\We wouldn't be able to live without it.\So the ships forge ahead, staying on the path.\But there's no guarantee that the path will go on forever.\So when that happens,\we search for a new Sea Galaxy and switch over to that path. response:	Lightbugs are what make Sea Galaxies glow.
context: What is a Milky Way?\It's a glowing path that runs through the sea.\We wouldn't be able to live without it.\So the ships forge ahead, staying on the path.\But there's no guarantee that the path will go on forever.\So when that happens,\we search for a new Sea Galaxy and switch over to that path.\Lightbugs are what make Sea Galaxies glow. response:	They're a swarm of itty-bitty bugs that accumulate electricity.
context: It's a glowing path that runs through the sea.\We wouldn't be able to live without it.\So the ships forge ahead, staying on the path.\But there's no guarantee that the path will go on forever.\So when that happens,\we search for a new Sea Galaxy and switch over to that path.\Lightbugs are what make Sea Galaxies glow.\They're a swarm of itty-bitty bugs that accumulate electricity. response:	We get our electricity from this band of light.
context: We wouldn't be able to live without it.\So the ships forge ahead, staying on the path.\But there's no guarantee that the path will go on forever.\So when that happens,\we search for a new Sea Galaxy and switch over to that path.\Lightbugs are what make Sea Galaxies glow.\They're a swarm of itty-bitty bugs that accumulate electricity.\We get our electricity from this band of light. response:	Beautiful...
context: So the ships forge ahead, staying on the path.\But there's no guarantee that the path will go on forever.\So when that happens,\we search for a new Sea Galaxy and switch over to that path.\Lightbugs are what make Sea Galaxies glow.\They're a swarm of itty-bitty bugs that accumulate electricity.\We get our electricity from this band of light.\Beautiful... response:	What?
context: But there's no guarantee that the path will go on forever.\So when that happens,\we search for a new Sea Galaxy and switch over to that path.\Lightbugs are what make Sea Galaxies glow.\They're a swarm of itty-bitty bugs that accumulate electricity.\We get our electricity from this band of light.\Beautiful...\What? response:	Well? What's your analysis of our coordinates?
context: So when that happens,\we search for a new Sea Galaxy and switch over to that path.\Lightbugs are what make Sea Galaxies glow.\They're a swarm of itty-bitty bugs that accumulate electricity.\We get our electricity from this band of light.\Beautiful...\What?\Well? What's your analysis of our coordinates? response:	Due to the existence of an atmosphere, lack of information,
context: we search for a new Sea Galaxy and switch over to that path.\Lightbugs are what make Sea Galaxies glow.\They're a swarm of itty-bitty bugs that accumulate electricity.\We get our electricity from this band of light.\Beautiful...\What?\Well? What's your analysis of our coordinates?\Due to the existence of an atmosphere, lack of information, response:	and the limitations of optical analysis,
context: Lightbugs are what make Sea Galaxies glow.\They're a swarm of itty-bitty bugs that accumulate electricity.\We get our electricity from this band of light.\Beautiful...\What?\Well? What's your analysis of our coordinates?\Due to the existence of an atmosphere, lack of information,\and the limitations of optical analysis, response:	further observation is required to derive our current position.
context: They're a swarm of itty-bitty bugs that accumulate electricity.\We get our electricity from this band of light.\Beautiful...\What?\Well? What's your analysis of our coordinates?\Due to the existence of an atmosphere, lack of information,\and the limitations of optical analysis,\further observation is required to derive our current position. response:	It's true, I tell you! I think...
context: We get our electricity from this band of light.\Beautiful...\What?\Well? What's your analysis of our coordinates?\Due to the existence of an atmosphere, lack of information,\and the limitations of optical analysis,\further observation is required to derive our current position.\It's true, I tell you! I think... response:	You think they'd come up with a better lie than that...
context: Beautiful...\What?\Well? What's your analysis of our coordinates?\Due to the existence of an atmosphere, lack of information,\and the limitations of optical analysis,\further observation is required to derive our current position.\It's true, I tell you! I think...\You think they'd come up with a better lie than that... response:	If that really is a talking machine...
context: What?\Well? What's your analysis of our coordinates?\Due to the existence of an atmosphere, lack of information,\and the limitations of optical analysis,\further observation is required to derive our current position.\It's true, I tell you! I think...\You think they'd come up with a better lie than that...\If that really is a talking machine... response:	It is!
context: Well? What's your analysis of our coordinates?\Due to the existence of an atmosphere, lack of information,\and the limitations of optical analysis,\further observation is required to derive our current position.\It's true, I tell you! I think...\You think they'd come up with a better lie than that...\If that really is a talking machine...\It is! response:	Even if that's true, come on, a war with an alien race?
context: Due to the existence of an atmosphere, lack of information,\and the limitations of optical analysis,\further observation is required to derive our current position.\It's true, I tell you! I think...\You think they'd come up with a better lie than that...\If that really is a talking machine...\It is!\Even if that's true, come on, a war with an alien race? response:	Impossible!
context: and the limitations of optical analysis,\further observation is required to derive our current position.\It's true, I tell you! I think...\You think they'd come up with a better lie than that...\If that really is a talking machine...\It is!\Even if that's true, come on, a war with an alien race?\Impossible! response:	But that aside, let's find out for sure if it can talk or not by taking it apart!
context: further observation is required to derive our current position.\It's true, I tell you! I think...\You think they'd come up with a better lie than that...\If that really is a talking machine...\It is!\Even if that's true, come on, a war with an alien race?\Impossible!\But that aside, let's find out for sure if it can talk or not by taking it apart! response:	Then we throw the kid overboard!
context: It's true, I tell you! I think...\You think they'd come up with a better lie than that...\If that really is a talking machine...\It is!\Even if that's true, come on, a war with an alien race?\Impossible!\But that aside, let's find out for sure if it can talk or not by taking it apart!\Then we throw the kid overboard! response:	Are you serious?!
context: You think they'd come up with a better lie than that...\If that really is a talking machine...\It is!\Even if that's true, come on, a war with an alien race?\Impossible!\But that aside, let's find out for sure if it can talk or not by taking it apart!\Then we throw the kid overboard!\Are you serious?! response:	He's in trouble and has nowhere else to go!
context: If that really is a talking machine...\It is!\Even if that's true, come on, a war with an alien race?\Impossible!\But that aside, let's find out for sure if it can talk or not by taking it apart!\Then we throw the kid overboard!\Are you serious?!\He's in trouble and has nowhere else to go! response:	Everyone, listen to what Ledo has to say!
context: It is!\Even if that's true, come on, a war with an alien race?\Impossible!\But that aside, let's find out for sure if it can talk or not by taking it apart!\Then we throw the kid overboard!\Are you serious?!\He's in trouble and has nowhere else to go!\Everyone, listen to what Ledo has to say! response:	Having undue contact with an outsider wouldn't benefit either side...
context: Even if that's true, come on, a war with an alien race?\Impossible!\But that aside, let's find out for sure if it can talk or not by taking it apart!\Then we throw the kid overboard!\Are you serious?!\He's in trouble and has nowhere else to go!\Everyone, listen to what Ledo has to say!\Having undue contact with an outsider wouldn't benefit either side... response:	Not the sea... and not space...
context: Impossible!\But that aside, let's find out for sure if it can talk or not by taking it apart!\Then we throw the kid overboard!\Are you serious?!\He's in trouble and has nowhere else to go!\Everyone, listen to what Ledo has to say!\Having undue contact with an outsider wouldn't benefit either side...\Not the sea... and not space... response:	Confirming the terrain...
context: But that aside, let's find out for sure if it can talk or not by taking it apart!\Then we throw the kid overboard!\Are you serious?!\He's in trouble and has nowhere else to go!\Everyone, listen to what Ledo has to say!\Having undue contact with an outsider wouldn't benefit either side...\Not the sea... and not space...\Confirming the terrain... response:	There's no mistake. This is where the Yunboro was sunken.
context: Then we throw the kid overboard!\Are you serious?!\He's in trouble and has nowhere else to go!\Everyone, listen to what Ledo has to say!\Having undue contact with an outsider wouldn't benefit either side...\Not the sea... and not space...\Confirming the terrain...\There's no mistake. This is where the Yunboro was sunken. response:	Alright! Let's get psyched up and do this!
context: Are you serious?!\He's in trouble and has nowhere else to go!\Everyone, listen to what Ledo has to say!\Having undue contact with an outsider wouldn't benefit either side...\Not the sea... and not space...\Confirming the terrain...\There's no mistake. This is where the Yunboro was sunken.\Alright! Let's get psyched up and do this! response:	They've got an abundance of commodities here
context: He's in trouble and has nowhere else to go!\Everyone, listen to what Ledo has to say!\Having undue contact with an outsider wouldn't benefit either side...\Not the sea... and not space...\Confirming the terrain...\There's no mistake. This is where the Yunboro was sunken.\Alright! Let's get psyched up and do this!\They've got an abundance of commodities here response:	and the threat level of these natives is low.
context: Everyone, listen to what Ledo has to say!\Having undue contact with an outsider wouldn't benefit either side...\Not the sea... and not space...\Confirming the terrain...\There's no mistake. This is where the Yunboro was sunken.\Alright! Let's get psyched up and do this!\They've got an abundance of commodities here\and the threat level of these natives is low. response:	Agreed, with reservations.
context: Having undue contact with an outsider wouldn't benefit either side...\Not the sea... and not space...\Confirming the terrain...\There's no mistake. This is where the Yunboro was sunken.\Alright! Let's get psyched up and do this!\They've got an abundance of commodities here\and the threat level of these natives is low.\Agreed, with reservations. response:	If we can't return to the front under our own power,
context: Not the sea... and not space...\Confirming the terrain...\There's no mistake. This is where the Yunboro was sunken.\Alright! Let's get psyched up and do this!\They've got an abundance of commodities here\and the threat level of these natives is low.\Agreed, with reservations.\If we can't return to the front under our own power, response:	all we can do is wait for the troops to notice our distress signal.
context: Confirming the terrain...\There's no mistake. This is where the Yunboro was sunken.\Alright! Let's get psyched up and do this!\They've got an abundance of commodities here\and the threat level of these natives is low.\Agreed, with reservations.\If we can't return to the front under our own power,\all we can do is wait for the troops to notice our distress signal. response:	I think the best course of action is to look for a cooperative relationship.
context: There's no mistake. This is where the Yunboro was sunken.\Alright! Let's get psyched up and do this!\They've got an abundance of commodities here\and the threat level of these natives is low.\Agreed, with reservations.\If we can't return to the front under our own power,\all we can do is wait for the troops to notice our distress signal.\I think the best course of action is to look for a cooperative relationship. response:	Agreed.
context: Alright! Let's get psyched up and do this!\They've got an abundance of commodities here\and the threat level of these natives is low.\Agreed, with reservations.\If we can't return to the front under our own power,\all we can do is wait for the troops to notice our distress signal.\I think the best course of action is to look for a cooperative relationship.\Agreed. response:	The front. Troops. The people who live on this planet don't know what those words mean.
context: They've got an abundance of commodities here\and the threat level of these natives is low.\Agreed, with reservations.\If we can't return to the front under our own power,\all we can do is wait for the troops to notice our distress signal.\I think the best course of action is to look for a cooperative relationship.\Agreed.\The front. Troops. The people who live on this planet don't know what those words mean. response:	The desperate struggle against the Hideauze... has no connection to this place.
context: and the threat level of these natives is low.\Agreed, with reservations.\If we can't return to the front under our own power,\all we can do is wait for the troops to notice our distress signal.\I think the best course of action is to look for a cooperative relationship.\Agreed.\The front. Troops. The people who live on this planet don't know what those words mean.\The desperate struggle against the Hideauze... has no connection to this place. response:	What is it? What's wrong?
context: Agreed, with reservations.\If we can't return to the front under our own power,\all we can do is wait for the troops to notice our distress signal.\I think the best course of action is to look for a cooperative relationship.\Agreed.\The front. Troops. The people who live on this planet don't know what those words mean.\The desperate struggle against the Hideauze... has no connection to this place.\What is it? What's wrong? response:	Say, what's going on?!
context: If we can't return to the front under our own power,\all we can do is wait for the troops to notice our distress signal.\I think the best course of action is to look for a cooperative relationship.\Agreed.\The front. Troops. The people who live on this planet don't know what those words mean.\The desperate struggle against the Hideauze... has no connection to this place.\What is it? What's wrong?\Say, what's going on?! response:	The salvage ship is under attack from pirates!
context: all we can do is wait for the troops to notice our distress signal.\I think the best course of action is to look for a cooperative relationship.\Agreed.\The front. Troops. The people who live on this planet don't know what those words mean.\The desperate struggle against the Hideauze... has no connection to this place.\What is it? What's wrong?\Say, what's going on?!\The salvage ship is under attack from pirates! response:	Bellows's ship!
context: I think the best course of action is to look for a cooperative relationship.\Agreed.\The front. Troops. The people who live on this planet don't know what those words mean.\The desperate struggle against the Hideauze... has no connection to this place.\What is it? What's wrong?\Say, what's going on?!\The salvage ship is under attack from pirates!\Bellows's ship! response:	Bellows and the others are...
context: Agreed.\The front. Troops. The people who live on this planet don't know what those words mean.\The desperate struggle against the Hideauze... has no connection to this place.\What is it? What's wrong?\Say, what's going on?!\The salvage ship is under attack from pirates!\Bellows's ship!\Bellows and the others are... response:	Oh, hell.
context: The front. Troops. The people who live on this planet don't know what those words mean.\The desperate struggle against the Hideauze... has no connection to this place.\What is it? What's wrong?\Say, what's going on?!\The salvage ship is under attack from pirates!\Bellows's ship!\Bellows and the others are...\Oh, hell. response:	They're surrounding us! Escort Fleet Commander!
context: The desperate struggle against the Hideauze... has no connection to this place.\What is it? What's wrong?\Say, what's going on?!\The salvage ship is under attack from pirates!\Bellows's ship!\Bellows and the others are...\Oh, hell.\They're surrounding us! Escort Fleet Commander! response:	No good! There are too many of'em!
context: What is it? What's wrong?\Say, what's going on?!\The salvage ship is under attack from pirates!\Bellows's ship!\Bellows and the others are...\Oh, hell.\They're surrounding us! Escort Fleet Commander!\No good! There are too many of'em! response:	Salvage team, stand by underwater!
context: Say, what's going on?!\The salvage ship is under attack from pirates!\Bellows's ship!\Bellows and the others are...\Oh, hell.\They're surrounding us! Escort Fleet Commander!\No good! There are too many of'em!\Salvage team, stand by underwater! response:	There are several new points of engine noise.
context: The salvage ship is under attack from pirates!\Bellows's ship!\Bellows and the others are...\Oh, hell.\They're surrounding us! Escort Fleet Commander!\No good! There are too many of'em!\Salvage team, stand by underwater!\There are several new points of engine noise. response:	Check it out!
context: Bellows's ship!\Bellows and the others are...\Oh, hell.\They're surrounding us! Escort Fleet Commander!\No good! There are too many of'em!\Salvage team, stand by underwater!\There are several new points of engine noise.\Check it out! response:	Ledo!
context: Bellows and the others are...\Oh, hell.\They're surrounding us! Escort Fleet Commander!\No good! There are too many of'em!\Salvage team, stand by underwater!\There are several new points of engine noise.\Check it out!\Ledo! response:	Amy?
context: Oh, hell.\They're surrounding us! Escort Fleet Commander!\No good! There are too many of'em!\Salvage team, stand by underwater!\There are several new points of engine noise.\Check it out!\Ledo!\Amy? response:	Kites?!
context: They're surrounding us! Escort Fleet Commander!\No good! There are too many of'em!\Salvage team, stand by underwater!\There are several new points of engine noise.\Check it out!\Ledo!\Amy?\Kites?! response:	The enemy has nine ships and several small crafts!
context: No good! There are too many of'em!\Salvage team, stand by underwater!\There are several new points of engine noise.\Check it out!\Ledo!\Amy?\Kites?!\The enemy has nine ships and several small crafts! response:	They're starting a kite attack!
context: Salvage team, stand by underwater!\There are several new points of engine noise.\Check it out!\Ledo!\Amy?\Kites?!\The enemy has nine ships and several small crafts!\They're starting a kite attack! response:	What about the reinforcements?
context: There are several new points of engine noise.\Check it out!\Ledo!\Amy?\Kites?!\The enemy has nine ships and several small crafts!\They're starting a kite attack!\What about the reinforcements? response:	I don't know if they'll make it in time...
context: Check it out!\Ledo!\Amy?\Kites?!\The enemy has nine ships and several small crafts!\They're starting a kite attack!\What about the reinforcements?\I don't know if they'll make it in time... response:	Enemy attack?
context: Ledo!\Amy?\Kites?!\The enemy has nine ships and several small crafts!\They're starting a kite attack!\What about the reinforcements?\I don't know if they'll make it in time...\Enemy attack? response:	You two are strong, aren't you?!
context: Amy?\Kites?!\The enemy has nine ships and several small crafts!\They're starting a kite attack!\What about the reinforcements?\I don't know if they'll make it in time...\Enemy attack?\You two are strong, aren't you?! response:	That's a totally strong Yunboro, right?!
context: Kites?!\The enemy has nine ships and several small crafts!\They're starting a kite attack!\What about the reinforcements?\I don't know if they'll make it in time...\Enemy attack?\You two are strong, aren't you?!\That's a totally strong Yunboro, right?! response:	Do something! Help us out!
context: The enemy has nine ships and several small crafts!\They're starting a kite attack!\What about the reinforcements?\I don't know if they'll make it in time...\Enemy attack?\You two are strong, aren't you?!\That's a totally strong Yunboro, right?!\Do something! Help us out! response:	She seeks assistance.
context: They're starting a kite attack!\What about the reinforcements?\I don't know if they'll make it in time...\Enemy attack?\You two are strong, aren't you?!\That's a totally strong Yunboro, right?!\Do something! Help us out!\She seeks assistance. response:	I'll do it. This'll be a good bargaining chip.
context: What about the reinforcements?\I don't know if they'll make it in time...\Enemy attack?\You two are strong, aren't you?!\That's a totally strong Yunboro, right?!\Do something! Help us out!\She seeks assistance.\I'll do it. This'll be a good bargaining chip. response:	Activate floater!
context: I don't know if they'll make it in time...\Enemy attack?\You two are strong, aren't you?!\That's a totally strong Yunboro, right?!\Do something! Help us out!\She seeks assistance.\I'll do it. This'll be a good bargaining chip.\Activate floater! response:	Wha...?!
context: Enemy attack?\You two are strong, aren't you?!\That's a totally strong Yunboro, right?!\Do something! Help us out!\She seeks assistance.\I'll do it. This'll be a good bargaining chip.\Activate floater!\Wha...?! response:	That Yunboro's starting to move!
context: You two are strong, aren't you?!\That's a totally strong Yunboro, right?!\Do something! Help us out!\She seeks assistance.\I'll do it. This'll be a good bargaining chip.\Activate floater!\Wha...?!\That Yunboro's starting to move! response:	What?!
context: That's a totally strong Yunboro, right?!\Do something! Help us out!\She seeks assistance.\I'll do it. This'll be a good bargaining chip.\Activate floater!\Wha...?!\That Yunboro's starting to move!\What?! response:	What do they intend to do?!
context: Do something! Help us out!\She seeks assistance.\I'll do it. This'll be a good bargaining chip.\Activate floater!\Wha...?!\That Yunboro's starting to move!\What?!\What do they intend to do?! response:	Liftoff.
context: She seeks assistance.\I'll do it. This'll be a good bargaining chip.\Activate floater!\Wha...?!\That Yunboro's starting to move!\What?!\What do they intend to do?!\Liftoff. response:	Are you Bellows from Gargantia?
context: I'll do it. This'll be a good bargaining chip.\Activate floater!\Wha...?!\That Yunboro's starting to move!\What?!\What do they intend to do?!\Liftoff.\Are you Bellows from Gargantia? response:	You got what you came for! Now get the hell out of here!
context: Activate floater!\Wha...?!\That Yunboro's starting to move!\What?!\What do they intend to do?!\Liftoff.\Are you Bellows from Gargantia?\You got what you came for! Now get the hell out of here! response:	Dump that rinky-dink fleet you're with and join us!
context: Wha...?!\That Yunboro's starting to move!\What?!\What do they intend to do?!\Liftoff.\Are you Bellows from Gargantia?\You got what you came for! Now get the hell out of here!\Dump that rinky-dink fleet you're with and join us! response:	Empress Lukkage recognizes your skills, too.
context: That Yunboro's starting to move!\What?!\What do they intend to do?!\Liftoff.\Are you Bellows from Gargantia?\You got what you came for! Now get the hell out of here!\Dump that rinky-dink fleet you're with and join us!\Empress Lukkage recognizes your skills, too. response:	Don't make me laugh, pirate scum!
context: What?!\What do they intend to do?!\Liftoff.\Are you Bellows from Gargantia?\You got what you came for! Now get the hell out of here!\Dump that rinky-dink fleet you're with and join us!\Empress Lukkage recognizes your skills, too.\Don't make me laugh, pirate scum! response:	What do you think you're doing?!
context: What do they intend to do?!\Liftoff.\Are you Bellows from Gargantia?\You got what you came for! Now get the hell out of here!\Dump that rinky-dink fleet you're with and join us!\Empress Lukkage recognizes your skills, too.\Don't make me laugh, pirate scum!\What do you think you're doing?! response:	For your own good, I'd think twice about refusing...
context: Liftoff.\Are you Bellows from Gargantia?\You got what you came for! Now get the hell out of here!\Dump that rinky-dink fleet you're with and join us!\Empress Lukkage recognizes your skills, too.\Don't make me laugh, pirate scum!\What do you think you're doing?!\For your own good, I'd think twice about refusing... response:	Bastard!
context: Are you Bellows from Gargantia?\You got what you came for! Now get the hell out of here!\Dump that rinky-dink fleet you're with and join us!\Empress Lukkage recognizes your skills, too.\Don't make me laugh, pirate scum!\What do you think you're doing?!\For your own good, I'd think twice about refusing...\Bastard! response:	Identification of main enemy targets complete.
context: You got what you came for! Now get the hell out of here!\Dump that rinky-dink fleet you're with and join us!\Empress Lukkage recognizes your skills, too.\Don't make me laugh, pirate scum!\What do you think you're doing?!\For your own good, I'd think twice about refusing...\Bastard!\Identification of main enemy targets complete. response:	Request to identify smaller targets.
context: Dump that rinky-dink fleet you're with and join us!\Empress Lukkage recognizes your skills, too.\Don't make me laugh, pirate scum!\What do you think you're doing?!\For your own good, I'd think twice about refusing...\Bastard!\Identification of main enemy targets complete.\Request to identify smaller targets. response:	Do it.
context: Empress Lukkage recognizes your skills, too.\Don't make me laugh, pirate scum!\What do you think you're doing?!\For your own good, I'd think twice about refusing...\Bastard!\Identification of main enemy targets complete.\Request to identify smaller targets.\Do it. response:	Identification complete. Deflector beam stand by.
context: Don't make me laugh, pirate scum!\What do you think you're doing?!\For your own good, I'd think twice about refusing...\Bastard!\Identification of main enemy targets complete.\Request to identify smaller targets.\Do it.\Identification complete. Deflector beam stand by. response:	Annihilate them.
context: What do you think you're doing?!\For your own good, I'd think twice about refusing...\Bastard!\Identification of main enemy targets complete.\Request to identify smaller targets.\Do it.\Identification complete. Deflector beam stand by.\Annihilate them. response:	What the...?!
context: For your own good, I'd think twice about refusing...\Bastard!\Identification of main enemy targets complete.\Request to identify smaller targets.\Do it.\Identification complete. Deflector beam stand by.\Annihilate them.\What the...?! response:	What's happening?!
context: Bastard!\Identification of main enemy targets complete.\Request to identify smaller targets.\Do it.\Identification complete. Deflector beam stand by.\Annihilate them.\What the...?!\What's happening?! response:	What the hell is that?!
context: Identification of main enemy targets complete.\Request to identify smaller targets.\Do it.\Identification complete. Deflector beam stand by.\Annihilate them.\What the...?!\What's happening?!\What the hell is that?! response:	G-Good lord...
context: Request to identify smaller targets.\Do it.\Identification complete. Deflector beam stand by.\Annihilate them.\What the...?!\What's happening?!\What the hell is that?!\G-Good lord... response:	What in the world...?
