context: Did you wake up after finding something tasty to eat? response:	I was dreaming of Yoitsu.
context: Or do you want credit?\Credit please.\Appeciated.\Everyone's charging cash this time of year.\The scarcity of cash makes it difficult.\Lanto!\Yes, master!\You have an apprentice? response:	It's natural when you set up a store.
context: Credit please.\Appeciated.\Everyone's charging cash this time of year.\The scarcity of cash makes it difficult.\Lanto!\Yes, master!\You have an apprentice?\It's natural when you set up a store. response:	Load all these boxes onto my cart.
context: Appeciated.\Everyone's charging cash this time of year.\The scarcity of cash makes it difficult.\Lanto!\Yes, master!\You have an apprentice?\It's natural when you set up a store.\Load all these boxes onto my cart. response:	I'll be selling them at Hans' later.
context: Everyone's charging cash this time of year.\The scarcity of cash makes it difficult.\Lanto!\Yes, master!\You have an apprentice?\It's natural when you set up a store.\Load all these boxes onto my cart.\I'll be selling them at Hans' later. response:	That ironsmith person?
context: The scarcity of cash makes it difficult.\Lanto!\Yes, master!\You have an apprentice?\It's natural when you set up a store.\Load all these boxes onto my cart.\I'll be selling them at Hans' later.\That ironsmith person? response:	Just go move them!
context: Lanto!\Yes, master!\You have an apprentice?\It's natural when you set up a store.\Load all these boxes onto my cart.\I'll be selling them at Hans' later.\That ironsmith person?\Just go move them! response:	Yes!
context: Yes, master!\You have an apprentice?\It's natural when you set up a store.\Load all these boxes onto my cart.\I'll be selling them at Hans' later.\That ironsmith person?\Just go move them!\Yes! response:	You'll be here until the end of the festival right?
context: You have an apprentice?\It's natural when you set up a store.\Load all these boxes onto my cart.\I'll be selling them at Hans' later.\That ironsmith person?\Just go move them!\Yes!\You'll be here until the end of the festival right? response:	Come over at least once for a drink.
context: It's natural when you set up a store.\Load all these boxes onto my cart.\I'll be selling them at Hans' later.\That ironsmith person?\Just go move them!\Yes!\You'll be here until the end of the festival right?\Come over at least once for a drink. response:	I'll introduce you to Adelle.
context: Load all these boxes onto my cart.\I'll be selling them at Hans' later.\That ironsmith person?\Just go move them!\Yes!\You'll be here until the end of the festival right?\Come over at least once for a drink.\I'll introduce you to Adelle. response:	Ah, sure.
context: I'll be selling them at Hans' later.\That ironsmith person?\Just go move them!\Yes!\You'll be here until the end of the festival right?\Come over at least once for a drink.\I'll introduce you to Adelle.\Ah, sure. response:	What's wrong?
context: That ironsmith person?\Just go move them!\Yes!\You'll be here until the end of the festival right?\Come over at least once for a drink.\I'll introduce you to Adelle.\Ah, sure.\What's wrong? response:	Are you taken in by my store's beauty?
context: Just go move them!\Yes!\You'll be here until the end of the festival right?\Come over at least once for a drink.\I'll introduce you to Adelle.\Ah, sure.\What's wrong?\Are you taken in by my store's beauty? response:	Yeah...
context: Yes!\You'll be here until the end of the festival right?\Come over at least once for a drink.\I'll introduce you to Adelle.\Ah, sure.\What's wrong?\Are you taken in by my store's beauty?\Yeah... response:	It's a good store.
context: You'll be here until the end of the festival right?\Come over at least once for a drink.\I'll introduce you to Adelle.\Ah, sure.\What's wrong?\Are you taken in by my store's beauty?\Yeah...\It's a good store. response:	Oh come on.
context: Come over at least once for a drink.\I'll introduce you to Adelle.\Ah, sure.\What's wrong?\Are you taken in by my store's beauty?\Yeah...\It's a good store.\Oh come on. response:	Young people like you have much better ahead of them.
context: I'll introduce you to Adelle.\Ah, sure.\What's wrong?\Are you taken in by my store's beauty?\Yeah...\It's a good store.\Oh come on.\Young people like you have much better ahead of them. response:	You're close to opening an even bigger store, aren't you?
context: Ah, sure.\What's wrong?\Are you taken in by my store's beauty?\Yeah...\It's a good store.\Oh come on.\Young people like you have much better ahead of them.\You're close to opening an even bigger store, aren't you? response:	Cheers!
context: What's wrong?\Are you taken in by my store's beauty?\Yeah...\It's a good store.\Oh come on.\Young people like you have much better ahead of them.\You're close to opening an even bigger store, aren't you?\Cheers! response:	The festival is only a day away now.
context: Are you taken in by my store's beauty?\Yeah...\It's a good store.\Oh come on.\Young people like you have much better ahead of them.\You're close to opening an even bigger store, aren't you?\Cheers!\The festival is only a day away now. response:	So we've got pre-festival celebration to do tonight.
context: Yeah...\It's a good store.\Oh come on.\Young people like you have much better ahead of them.\You're close to opening an even bigger store, aren't you?\Cheers!\The festival is only a day away now.\So we've got pre-festival celebration to do tonight. response:	You're just using it as an excuse to drink.
context: It's a good store.\Oh come on.\Young people like you have much better ahead of them.\You're close to opening an even bigger store, aren't you?\Cheers!\The festival is only a day away now.\So we've got pre-festival celebration to do tonight.\You're just using it as an excuse to drink. response:	I'm really glad I met you.
context: Oh come on.\Young people like you have much better ahead of them.\You're close to opening an even bigger store, aren't you?\Cheers!\The festival is only a day away now.\So we've got pre-festival celebration to do tonight.\You're just using it as an excuse to drink.\I'm really glad I met you. response:	If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me.
context: Young people like you have much better ahead of them.\You're close to opening an even bigger store, aren't you?\Cheers!\The festival is only a day away now.\So we've got pre-festival celebration to do tonight.\You're just using it as an excuse to drink.\I'm really glad I met you.\If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me. response:	Hey now...
context: You're close to opening an even bigger store, aren't you?\Cheers!\The festival is only a day away now.\So we've got pre-festival celebration to do tonight.\You're just using it as an excuse to drink.\I'm really glad I met you.\If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me.\Hey now... response:	It feels like a long time ago since we first met.
context: Cheers!\The festival is only a day away now.\So we've got pre-festival celebration to do tonight.\You're just using it as an excuse to drink.\I'm really glad I met you.\If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me.\Hey now...\It feels like a long time ago since we first met. response:	That's true.
context: The festival is only a day away now.\So we've got pre-festival celebration to do tonight.\You're just using it as an excuse to drink.\I'm really glad I met you.\If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me.\Hey now...\It feels like a long time ago since we first met.\That's true. response:	Back then, you were much more embarrassed at my temptations.
context: So we've got pre-festival celebration to do tonight.\You're just using it as an excuse to drink.\I'm really glad I met you.\If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me.\Hey now...\It feels like a long time ago since we first met.\That's true.\Back then, you were much more embarrassed at my temptations. response:	It was cute.
context: You're just using it as an excuse to drink.\I'm really glad I met you.\If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me.\Hey now...\It feels like a long time ago since we first met.\That's true.\Back then, you were much more embarrassed at my temptations.\It was cute. response:	And you only drank half as much as you do now.
context: I'm really glad I met you.\If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me.\Hey now...\It feels like a long time ago since we first met.\That's true.\Back then, you were much more embarrassed at my temptations.\It was cute.\And you only drank half as much as you do now. response:	And you wouldn't have answered back like that.
context: If it'd been anyone less serious but brainless, I'm sure they wouldn't have put up with me.\Hey now...\It feels like a long time ago since we first met.\That's true.\Back then, you were much more embarrassed at my temptations.\It was cute.\And you only drank half as much as you do now.\And you wouldn't have answered back like that. response:	It's strange, isn't it.
context: Hey now...\It feels like a long time ago since we first met.\That's true.\Back then, you were much more embarrassed at my temptations.\It was cute.\And you only drank half as much as you do now.\And you wouldn't have answered back like that.\It's strange, isn't it. response:	It's definitely strange.
context: It feels like a long time ago since we first met.\That's true.\Back then, you were much more embarrassed at my temptations.\It was cute.\And you only drank half as much as you do now.\And you wouldn't have answered back like that.\It's strange, isn't it.\It's definitely strange. response:	Normally it'd be much easier to get by in wolf form.
context: That's true.\Back then, you were much more embarrassed at my temptations.\It was cute.\And you only drank half as much as you do now.\And you wouldn't have answered back like that.\It's strange, isn't it.\It's definitely strange.\Normally it'd be much easier to get by in wolf form. response:	It's easier to chew meat,
context: Back then, you were much more embarrassed at my temptations.\It was cute.\And you only drank half as much as you do now.\And you wouldn't have answered back like that.\It's strange, isn't it.\It's definitely strange.\Normally it'd be much easier to get by in wolf form.\It's easier to chew meat, response:	and I still can't get used to these cheeks.
context: It was cute.\And you only drank half as much as you do now.\And you wouldn't have answered back like that.\It's strange, isn't it.\It's definitely strange.\Normally it'd be much easier to get by in wolf form.\It's easier to chew meat,\and I still can't get used to these cheeks. response:	But, you know...
context: And you only drank half as much as you do now.\And you wouldn't have answered back like that.\It's strange, isn't it.\It's definitely strange.\Normally it'd be much easier to get by in wolf form.\It's easier to chew meat,\and I still can't get used to these cheeks.\But, you know... response:	I think I'll be okay for a while like this.
context: And you wouldn't have answered back like that.\It's strange, isn't it.\It's definitely strange.\Normally it'd be much easier to get by in wolf form.\It's easier to chew meat,\and I still can't get used to these cheeks.\But, you know...\I think I'll be okay for a while like this. response:	You let down your guard when drinking in that form too.
context: It's strange, isn't it.\It's definitely strange.\Normally it'd be much easier to get by in wolf form.\It's easier to chew meat,\and I still can't get used to these cheeks.\But, you know...\I think I'll be okay for a while like this.\You let down your guard when drinking in that form too. response:	You fool!
context: It's definitely strange.\Normally it'd be much easier to get by in wolf form.\It's easier to chew meat,\and I still can't get used to these cheeks.\But, you know...\I think I'll be okay for a while like this.\You let down your guard when drinking in that form too.\You fool! response:	You fool!
context: Normally it'd be much easier to get by in wolf form.\It's easier to chew meat,\and I still can't get used to these cheeks.\But, you know...\I think I'll be okay for a while like this.\You let down your guard when drinking in that form too.\You fool!\You fool! response:	There's a fool here!
context: It's easier to chew meat,\and I still can't get used to these cheeks.\But, you know...\I think I'll be okay for a while like this.\You let down your guard when drinking in that form too.\You fool!\You fool!\There's a fool here! response:	You damned...
context: and I still can't get used to these cheeks.\But, you know...\I think I'll be okay for a while like this.\You let down your guard when drinking in that form too.\You fool!\You fool!\There's a fool here!\You damned... response:	fool!
context: But, you know...\I think I'll be okay for a while like this.\You let down your guard when drinking in that form too.\You fool!\You fool!\There's a fool here!\You damned...\fool! response:	Come now, drink up.
context: I think I'll be okay for a while like this.\You let down your guard when drinking in that form too.\You fool!\You fool!\There's a fool here!\You damned...\fool!\Come now, drink up. response:	Forgiven.
context: You let down your guard when drinking in that form too.\You fool!\You fool!\There's a fool here!\You damned...\fool!\Come now, drink up.\Forgiven. response:	So, there's something I want to ask before you pass out.
context: You fool!\You fool!\There's a fool here!\You damned...\fool!\Come now, drink up.\Forgiven.\So, there's something I want to ask before you pass out. response:	What's that?
context: You fool!\There's a fool here!\You damned...\fool!\Come now, drink up.\Forgiven.\So, there's something I want to ask before you pass out.\What's that? response:	About possible clues that could help us find your hometown.
context: There's a fool here!\You damned...\fool!\Come now, drink up.\Forgiven.\So, there's something I want to ask before you pass out.\What's that?\About possible clues that could help us find your hometown. response:	Clues?
context: You damned...\fool!\Come now, drink up.\Forgiven.\So, there's something I want to ask before you pass out.\What's that?\About possible clues that could help us find your hometown.\Clues? response:	There isn't a predetermined path ahead of us, and we don't have a useful map.
context: fool!\Come now, drink up.\Forgiven.\So, there's something I want to ask before you pass out.\What's that?\About possible clues that could help us find your hometown.\Clues?\There isn't a predetermined path ahead of us, and we don't have a useful map. response:	Depending on the circumstances we might not be able to go straight there.
context: Come now, drink up.\Forgiven.\So, there's something I want to ask before you pass out.\What's that?\About possible clues that could help us find your hometown.\Clues?\There isn't a predetermined path ahead of us, and we don't have a useful map.\Depending on the circumstances we might not be able to go straight there. response:	For example, don't you remember the name of any nearby towns?
context: Forgiven.\So, there's something I want to ask before you pass out.\What's that?\About possible clues that could help us find your hometown.\Clues?\There isn't a predetermined path ahead of us, and we don't have a useful map.\Depending on the circumstances we might not be able to go straight there.\For example, don't you remember the name of any nearby towns? response:	That's it!
context: So, there's something I want to ask before you pass out.\What's that?\About possible clues that could help us find your hometown.\Clues?\There isn't a predetermined path ahead of us, and we don't have a useful map.\Depending on the circumstances we might not be able to go straight there.\For example, don't you remember the name of any nearby towns?\That's it! response:	Niohira!
context: What's that?\About possible clues that could help us find your hometown.\Clues?\There isn't a predetermined path ahead of us, and we don't have a useful map.\Depending on the circumstances we might not be able to go straight there.\For example, don't you remember the name of any nearby towns?\That's it!\Niohira! response:	Niohira?!
context: About possible clues that could help us find your hometown.\Clues?\There isn't a predetermined path ahead of us, and we don't have a useful map.\Depending on the circumstances we might not be able to go straight there.\For example, don't you remember the name of any nearby towns?\That's it!\Niohira!\Niohira?! response:	Do you know it?
context: Clues?\There isn't a predetermined path ahead of us, and we don't have a useful map.\Depending on the circumstances we might not be able to go straight there.\For example, don't you remember the name of any nearby towns?\That's it!\Niohira!\Niohira?!\Do you know it? response:	Yeah, it's famous for its hotsprings.
context: There isn't a predetermined path ahead of us, and we don't have a useful map.\Depending on the circumstances we might not be able to go straight there.\For example, don't you remember the name of any nearby towns?\That's it!\Niohira!\Niohira?!\Do you know it?\Yeah, it's famous for its hotsprings. response:	Even though it's full of heathens, I heard there are a lot of archbishops and royalty there.
context: Depending on the circumstances we might not be able to go straight there.\For example, don't you remember the name of any nearby towns?\That's it!\Niohira!\Niohira?!\Do you know it?\Yeah, it's famous for its hotsprings.\Even though it's full of heathens, I heard there are a lot of archbishops and royalty there. response:	Really?
context: For example, don't you remember the name of any nearby towns?\That's it!\Niohira!\Niohira?!\Do you know it?\Yeah, it's famous for its hotsprings.\Even though it's full of heathens, I heard there are a lot of archbishops and royalty there.\Really? response:	Even these days?
context: That's it!\Niohira!\Niohira?!\Do you know it?\Yeah, it's famous for its hotsprings.\Even though it's full of heathens, I heard there are a lot of archbishops and royalty there.\Really?\Even these days? response:	The hotsprings were good for healing our wounds back then, so we went a lot.
context: Niohira!\Niohira?!\Do you know it?\Yeah, it's famous for its hotsprings.\Even though it's full of heathens, I heard there are a lot of archbishops and royalty there.\Really?\Even these days?\The hotsprings were good for healing our wounds back then, so we went a lot. response:	So if this way was North and Niohira was here.
context: Niohira?!\Do you know it?\Yeah, it's famous for its hotsprings.\Even though it's full of heathens, I heard there are a lot of archbishops and royalty there.\Really?\Even these days?\The hotsprings were good for healing our wounds back then, so we went a lot.\So if this way was North and Niohira was here. response:	Where would Yoitsu be?
context: Do you know it?\Yeah, it's famous for its hotsprings.\Even though it's full of heathens, I heard there are a lot of archbishops and royalty there.\Really?\Even these days?\The hotsprings were good for healing our wounds back then, so we went a lot.\So if this way was North and Niohira was here.\Where would Yoitsu be? response:	This way!
context: Yeah, it's famous for its hotsprings.\Even though it's full of heathens, I heard there are a lot of archbishops and royalty there.\Really?\Even these days?\The hotsprings were good for healing our wounds back then, so we went a lot.\So if this way was North and Niohira was here.\Where would Yoitsu be?\This way! response:	Southwest, huh?
context: Even though it's full of heathens, I heard there are a lot of archbishops and royalty there.\Really?\Even these days?\The hotsprings were good for healing our wounds back then, so we went a lot.\So if this way was North and Niohira was here.\Where would Yoitsu be?\This way!\Southwest, huh? response:	How far?
context: Really?\Even these days?\The hotsprings were good for healing our wounds back then, so we went a lot.\So if this way was North and Niohira was here.\Where would Yoitsu be?\This way!\Southwest, huh?\How far? response:	It'd take me two days.
context: Even these days?\The hotsprings were good for healing our wounds back then, so we went a lot.\So if this way was North and Niohira was here.\Where would Yoitsu be?\This way!\Southwest, huh?\How far?\It'd take me two days. response:	For people it'd take...
context: The hotsprings were good for healing our wounds back then, so we went a lot.\So if this way was North and Niohira was here.\Where would Yoitsu be?\This way!\Southwest, huh?\How far?\It'd take me two days.\For people it'd take... response:	I don't know!
context: So if this way was North and Niohira was here.\Where would Yoitsu be?\This way!\Southwest, huh?\How far?\It'd take me two days.\For people it'd take...\I don't know! response:	Two days, huh?
context: Where would Yoitsu be?\This way!\Southwest, huh?\How far?\It'd take me two days.\For people it'd take...\I don't know!\Two days, huh? response:	Two days at that speed would be quite a distance.
context: This way!\Southwest, huh?\How far?\It'd take me two days.\For people it'd take...\I don't know!\Two days, huh?\Two days at that speed would be quite a distance. response:	It'd take me a month.
context: Southwest, huh?\How far?\It'd take me two days.\For people it'd take...\I don't know!\Two days, huh?\Two days at that speed would be quite a distance.\It'd take me a month. response:	Don't worry about it.
context: How far?\It'd take me two days.\For people it'd take...\I don't know!\Two days, huh?\Two days at that speed would be quite a distance.\It'd take me a month.\Don't worry about it. response:	I'm fine as long as there's good food.
context: It'd take me two days.\For people it'd take...\I don't know!\Two days, huh?\Two days at that speed would be quite a distance.\It'd take me a month.\Don't worry about it.\I'm fine as long as there's good food. response:	There's too wide an area to cover.
context: For people it'd take...\I don't know!\Two days, huh?\Two days at that speed would be quite a distance.\It'd take me a month.\Don't worry about it.\I'm fine as long as there's good food.\There's too wide an area to cover. response:	We can't assume you took the roads as a wolf.
context: I don't know!\Two days, huh?\Two days at that speed would be quite a distance.\It'd take me a month.\Don't worry about it.\I'm fine as long as there's good food.\There's too wide an area to cover.\We can't assume you took the roads as a wolf. response:	If things don't go well it could take a year or two.
context: Two days, huh?\Two days at that speed would be quite a distance.\It'd take me a month.\Don't worry about it.\I'm fine as long as there's good food.\There's too wide an area to cover.\We can't assume you took the roads as a wolf.\If things don't go well it could take a year or two. response:	This wine is delicious!
context: Two days at that speed would be quite a distance.\It'd take me a month.\Don't worry about it.\I'm fine as long as there's good food.\There's too wide an area to cover.\We can't assume you took the roads as a wolf.\If things don't go well it could take a year or two.\This wine is delicious! response:	Aren't you going to drink?
context: It'd take me a month.\Don't worry about it.\I'm fine as long as there's good food.\There's too wide an area to cover.\We can't assume you took the roads as a wolf.\If things don't go well it could take a year or two.\This wine is delicious!\Aren't you going to drink? response:	If we got to Niohira, wouldn't you be able to go back alone?
context: Don't worry about it.\I'm fine as long as there's good food.\There's too wide an area to cover.\We can't assume you took the roads as a wolf.\If things don't go well it could take a year or two.\This wine is delicious!\Aren't you going to drink?\If we got to Niohira, wouldn't you be able to go back alone? response:	Th-That's true.
context: I'm fine as long as there's good food.\There's too wide an area to cover.\We can't assume you took the roads as a wolf.\If things don't go well it could take a year or two.\This wine is delicious!\Aren't you going to drink?\If we got to Niohira, wouldn't you be able to go back alone?\Th-That's true. response:	I'm sure I'd be able to go back alone if we got to Niohira.
context: There's too wide an area to cover.\We can't assume you took the roads as a wolf.\If things don't go well it could take a year or two.\This wine is delicious!\Aren't you going to drink?\If we got to Niohira, wouldn't you be able to go back alone?\Th-That's true.\I'm sure I'd be able to go back alone if we got to Niohira. response:	I'll be fine.
context: We can't assume you took the roads as a wolf.\If things don't go well it could take a year or two.\This wine is delicious!\Aren't you going to drink?\If we got to Niohira, wouldn't you be able to go back alone?\Th-That's true.\I'm sure I'd be able to go back alone if we got to Niohira.\I'll be fine. response:	Loneliness is a sickness that leads to death.
context: If things don't go well it could take a year or two.\This wine is delicious!\Aren't you going to drink?\If we got to Niohira, wouldn't you be able to go back alone?\Th-That's true.\I'm sure I'd be able to go back alone if we got to Niohira.\I'll be fine.\Loneliness is a sickness that leads to death. response:	No!
context: This wine is delicious!\Aren't you going to drink?\If we got to Niohira, wouldn't you be able to go back alone?\Th-That's true.\I'm sure I'd be able to go back alone if we got to Niohira.\I'll be fine.\Loneliness is a sickness that leads to death.\No! response:	I don't mean that, we still have traveling to do!
context: Aren't you going to drink?\If we got to Niohira, wouldn't you be able to go back alone?\Th-That's true.\I'm sure I'd be able to go back alone if we got to Niohira.\I'll be fine.\Loneliness is a sickness that leads to death.\No!\I don't mean that, we still have traveling to do! response:	That'll be enough.
context: If we got to Niohira, wouldn't you be able to go back alone?\Th-That's true.\I'm sure I'd be able to go back alone if we got to Niohira.\I'll be fine.\Loneliness is a sickness that leads to death.\No!\I don't mean that, we still have traveling to do!\That'll be enough. response:	You'll take me as far as Niohira, right?
context: Th-That's true.\I'm sure I'd be able to go back alone if we got to Niohira.\I'll be fine.\Loneliness is a sickness that leads to death.\No!\I don't mean that, we still have traveling to do!\That'll be enough.\You'll take me as far as Niohira, right? response:	I still want to look around more towns.
context: I'm sure I'd be able to go back alone if we got to Niohira.\I'll be fine.\Loneliness is a sickness that leads to death.\No!\I don't mean that, we still have traveling to do!\That'll be enough.\You'll take me as far as Niohira, right?\I still want to look around more towns. response:	Listen...
context: I'll be fine.\Loneliness is a sickness that leads to death.\No!\I don't mean that, we still have traveling to do!\That'll be enough.\You'll take me as far as Niohira, right?\I still want to look around more towns.\Listen... response:	What I just said...
context: Loneliness is a sickness that leads to death.\No!\I don't mean that, we still have traveling to do!\That'll be enough.\You'll take me as far as Niohira, right?\I still want to look around more towns.\Listen...\What I just said... response:	Earlier I said men are measured by their kindness.
context: No!\I don't mean that, we still have traveling to do!\That'll be enough.\You'll take me as far as Niohira, right?\I still want to look around more towns.\Listen...\What I just said...\Earlier I said men are measured by their kindness. response:	But I don't want to be...
context: I don't mean that, we still have traveling to do!\That'll be enough.\You'll take me as far as Niohira, right?\I still want to look around more towns.\Listen...\What I just said...\Earlier I said men are measured by their kindness.\But I don't want to be... response:	too pampered.
context: That'll be enough.\You'll take me as far as Niohira, right?\I still want to look around more towns.\Listen...\What I just said...\Earlier I said men are measured by their kindness.\But I don't want to be...\too pampered. response:	I'm terrible, I'm always thinking in our scale of things.
context: You'll take me as far as Niohira, right?\I still want to look around more towns.\Listen...\What I just said...\Earlier I said men are measured by their kindness.\But I don't want to be...\too pampered.\I'm terrible, I'm always thinking in our scale of things. response:	The time you age is like the time it takes us to blink.
context: I still want to look around more towns.\Listen...\What I just said...\Earlier I said men are measured by their kindness.\But I don't want to be...\too pampered.\I'm terrible, I'm always thinking in our scale of things.\The time you age is like the time it takes us to blink. response:	A year of that short lifespan is precious.
context: Listen...\What I just said...\Earlier I said men are measured by their kindness.\But I don't want to be...\too pampered.\I'm terrible, I'm always thinking in our scale of things.\The time you age is like the time it takes us to blink.\A year of that short lifespan is precious. response:	I just... forget that.
context: What I just said...\Earlier I said men are measured by their kindness.\But I don't want to be...\too pampered.\I'm terrible, I'm always thinking in our scale of things.\The time you age is like the time it takes us to blink.\A year of that short lifespan is precious.\I just... forget that. response:	That may be true, but...
context: Earlier I said men are measured by their kindness.\But I don't want to be...\too pampered.\I'm terrible, I'm always thinking in our scale of things.\The time you age is like the time it takes us to blink.\A year of that short lifespan is precious.\I just... forget that.\That may be true, but... response:	How can I put it...
context: But I don't want to be...\too pampered.\I'm terrible, I'm always thinking in our scale of things.\The time you age is like the time it takes us to blink.\A year of that short lifespan is precious.\I just... forget that.\That may be true, but...\How can I put it... response:	I'll feel bad if you make faces like that.
context: too pampered.\I'm terrible, I'm always thinking in our scale of things.\The time you age is like the time it takes us to blink.\A year of that short lifespan is precious.\I just... forget that.\That may be true, but...\How can I put it...\I'll feel bad if you make faces like that. response:	Sorry.
context: I'm terrible, I'm always thinking in our scale of things.\The time you age is like the time it takes us to blink.\A year of that short lifespan is precious.\I just... forget that.\That may be true, but...\How can I put it...\I'll feel bad if you make faces like that.\Sorry. response:	I'm the one who didn't consider the obvious.
context: The time you age is like the time it takes us to blink.\A year of that short lifespan is precious.\I just... forget that.\That may be true, but...\How can I put it...\I'll feel bad if you make faces like that.\Sorry.\I'm the one who didn't consider the obvious. response:	It's comfortable being by your side.
context: A year of that short lifespan is precious.\I just... forget that.\That may be true, but...\How can I put it...\I'll feel bad if you make faces like that.\Sorry.\I'm the one who didn't consider the obvious.\It's comfortable being by your side. response:	I just...
context: I just... forget that.\That may be true, but...\How can I put it...\I'll feel bad if you make faces like that.\Sorry.\I'm the one who didn't consider the obvious.\It's comfortable being by your side.\I just... response:	ended up depending on you.
context: That may be true, but...\How can I put it...\I'll feel bad if you make faces like that.\Sorry.\I'm the one who didn't consider the obvious.\It's comfortable being by your side.\I just...\ended up depending on you. response:	Seems I'm drunk.
context: How can I put it...\I'll feel bad if you make faces like that.\Sorry.\I'm the one who didn't consider the obvious.\It's comfortable being by your side.\I just...\ended up depending on you.\Seems I'm drunk. response:	I'd better sleep soon, or who knows what I'll come up with next.
context: I'll feel bad if you make faces like that.\Sorry.\I'm the one who didn't consider the obvious.\It's comfortable being by your side.\I just...\ended up depending on you.\Seems I'm drunk.\I'd better sleep soon, or who knows what I'll come up with next. response:	Next episode: Wolf and the Calm Before the Storm.
context: Sorry.\I'm the one who didn't consider the obvious.\It's comfortable being by your side.\I just...\ended up depending on you.\Seems I'm drunk.\I'd better sleep soon, or who knows what I'll come up with next.\Next episode: Wolf and the Calm Before the Storm. response:	Wolf and the Calm Before the Storm
