context: Mizusawa High School from Tokyo! response:	Congratulations.
context: Yes!\Well, the team tournament\was exciting as a new school emerged triumphant.\I expect this to give the karuta world a jolt, Chairman.\No, in the team tournament, players rely on strength to take cards.\All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10\The matches are very messy to watch.\However, in the individual tournament, response:	we can expect battles of wit and strategy.
context: Well, the team tournament\was exciting as a new school emerged triumphant.\I expect this to give the karuta world a jolt, Chairman.\No, in the team tournament, players rely on strength to take cards.\All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10\The matches are very messy to watch.\However, in the individual tournament,\we can expect battles of wit and strategy. response:	Super Class A
context: was exciting as a new school emerged triumphant.\I expect this to give the karuta world a jolt, Chairman.\No, in the team tournament, players rely on strength to take cards.\All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10\The matches are very messy to watch.\However, in the individual tournament,\we can expect battles of wit and strategy.\Super Class A response:	It'll hurt if you hit something.
context: I expect this to give the karuta world a jolt, Chairman.\No, in the team tournament, players rely on strength to take cards.\All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10\The matches are very messy to watch.\However, in the individual tournament,\we can expect battles of wit and strategy.\Super Class A\It'll hurt if you hit something. response:	How are you gonna play like that?
context: No, in the team tournament, players rely on strength to take cards.\All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10\The matches are very messy to watch.\However, in the individual tournament,\we can expect battles of wit and strategy.\Super Class A\It'll hurt if you hit something.\How are you gonna play like that? response:	I-I'll use my left hand...
context: All Japan Karuta Association Chairman Mashita Yoshiaki, grade 10\The matches are very messy to watch.\However, in the individual tournament,\we can expect battles of wit and strategy.\Super Class A\It'll hurt if you hit something.\How are you gonna play like that?\I-I'll use my left hand... response:	Huh?
context: The matches are very messy to watch.\However, in the individual tournament,\we can expect battles of wit and strategy.\Super Class A\It'll hurt if you hit something.\How are you gonna play like that?\I-I'll use my left hand...\Huh? response:	I'll do what I can with my left hand.
context: However, in the individual tournament,\we can expect battles of wit and strategy.\Super Class A\It'll hurt if you hit something.\How are you gonna play like that?\I-I'll use my left hand...\Huh?\I'll do what I can with my left hand. response:	What?!
context: we can expect battles of wit and strategy.\Super Class A\It'll hurt if you hit something.\How are you gonna play like that?\I-I'll use my left hand...\Huh?\I'll do what I can with my left hand.\What?! response:	We're all playing to win.
context: Super Class A\It'll hurt if you hit something.\How are you gonna play like that?\I-I'll use my left hand...\Huh?\I'll do what I can with my left hand.\What?!\We're all playing to win. response:	The individual tournament is about to start.
context: It'll hurt if you hit something.\How are you gonna play like that?\I-I'll use my left hand...\Huh?\I'll do what I can with my left hand.\What?!\We're all playing to win.\The individual tournament is about to start. response:	Class A
context: How are you gonna play like that?\I-I'll use my left hand...\Huh?\I'll do what I can with my left hand.\What?!\We're all playing to win.\The individual tournament is about to start.\Class A response:	Ayase Chihaya
context: I-I'll use my left hand...\Huh?\I'll do what I can with my left hand.\What?!\We're all playing to win.\The individual tournament is about to start.\Class A\Ayase Chihaya response:	Yuube Keiko
context: Huh?\I'll do what I can with my left hand.\What?!\We're all playing to win.\The individual tournament is about to start.\Class A\Ayase Chihaya\Yuube Keiko response:	You don't have a chance!
context: I'll do what I can with my left hand.\What?!\We're all playing to win.\The individual tournament is about to start.\Class A\Ayase Chihaya\Yuube Keiko\You don't have a chance! response:	She's aggressive enough to blow you away, even using your right hand!
context: What?!\We're all playing to win.\The individual tournament is about to start.\Class A\Ayase Chihaya\Yuube Keiko\You don't have a chance!\She's aggressive enough to blow you away, even using your right hand! response:	What are you going to do with your left hand?!
context: We're all playing to win.\The individual tournament is about to start.\Class A\Ayase Chihaya\Yuube Keiko\You don't have a chance!\She's aggressive enough to blow you away, even using your right hand!\What are you going to do with your left hand?! response:	But! But, but, but!
context: The individual tournament is about to start.\Class A\Ayase Chihaya\Yuube Keiko\You don't have a chance!\She's aggressive enough to blow you away, even using your right hand!\What are you going to do with your left hand?!\But! But, but, but! response:	What's with that scarf?
context: Class A\Ayase Chihaya\Yuube Keiko\You don't have a chance!\She's aggressive enough to blow you away, even using your right hand!\What are you going to do with your left hand?!\But! But, but, but!\What's with that scarf? response:	Stare...
context: Ayase Chihaya\Yuube Keiko\You don't have a chance!\She's aggressive enough to blow you away, even using your right hand!\What are you going to do with your left hand?!\But! But, but, but!\What's with that scarf?\Stare... response:	Why is the Queen so interested?
context: Yuube Keiko\You don't have a chance!\She's aggressive enough to blow you away, even using your right hand!\What are you going to do with your left hand?!\But! But, but, but!\What's with that scarf?\Stare...\Why is the Queen so interested? response:	The first round should be a cinch for her.
context: You don't have a chance!\She's aggressive enough to blow you away, even using your right hand!\What are you going to do with your left hand?!\But! But, but, but!\What's with that scarf?\Stare...\Why is the Queen so interested?\The first round should be a cinch for her. response:	They should just seed her, for our sake.
context: She's aggressive enough to blow you away, even using your right hand!\What are you going to do with your left hand?!\But! But, but, but!\What's with that scarf?\Stare...\Why is the Queen so interested?\The first round should be a cinch for her.\They should just seed her, for our sake. response:	How did she lose all that weight?
context: What are you going to do with your left hand?!\But! But, but, but!\What's with that scarf?\Stare...\Why is the Queen so interested?\The first round should be a cinch for her.\They should just seed her, for our sake.\How did she lose all that weight? response:	It's probably because they stopped selling Snowmaru daifuku.
context: But! But, but, but!\What's with that scarf?\Stare...\Why is the Queen so interested?\The first round should be a cinch for her.\They should just seed her, for our sake.\How did she lose all that weight?\It's probably because they stopped selling Snowmaru daifuku. response:	You know the reason?
context: What's with that scarf?\Stare...\Why is the Queen so interested?\The first round should be a cinch for her.\They should just seed her, for our sake.\How did she lose all that weight?\It's probably because they stopped selling Snowmaru daifuku.\You know the reason? response:	It's so sad...
context: Stare...\Why is the Queen so interested?\The first round should be a cinch for her.\They should just seed her, for our sake.\How did she lose all that weight?\It's probably because they stopped selling Snowmaru daifuku.\You know the reason?\It's so sad... response:	Wataya Arata
context: Why is the Queen so interested?\The first round should be a cinch for her.\They should just seed her, for our sake.\How did she lose all that weight?\It's probably because they stopped selling Snowmaru daifuku.\You know the reason?\It's so sad...\Wataya Arata response:	Kawauchi Shoji
context: The first round should be a cinch for her.\They should just seed her, for our sake.\How did she lose all that weight?\It's probably because they stopped selling Snowmaru daifuku.\You know the reason?\It's so sad...\Wataya Arata\Kawauchi Shoji response:	Wait, I'm playing him?!
context: They should just seed her, for our sake.\How did she lose all that weight?\It's probably because they stopped selling Snowmaru daifuku.\You know the reason?\It's so sad...\Wataya Arata\Kawauchi Shoji\Wait, I'm playing him?! response:	Oh, Arata.
context: How did she lose all that weight?\It's probably because they stopped selling Snowmaru daifuku.\You know the reason?\It's so sad...\Wataya Arata\Kawauchi Shoji\Wait, I'm playing him?!\Oh, Arata. response:	I lucked out.
context: It's probably because they stopped selling Snowmaru daifuku.\You know the reason?\It's so sad...\Wataya Arata\Kawauchi Shoji\Wait, I'm playing him?!\Oh, Arata.\I lucked out. response:	It's a good thing I didn't get paired against Arata in the first round.
context: You know the reason?\It's so sad...\Wataya Arata\Kawauchi Shoji\Wait, I'm playing him?!\Oh, Arata.\I lucked out.\It's a good thing I didn't get paired against Arata in the first round. response:	I would've had a taste of how much stronger you've gotten
context: It's so sad...\Wataya Arata\Kawauchi Shoji\Wait, I'm playing him?!\Oh, Arata.\I lucked out.\It's a good thing I didn't get paired against Arata in the first round.\I would've had a taste of how much stronger you've gotten response:	over the past few years.
context: Wataya Arata\Kawauchi Shoji\Wait, I'm playing him?!\Oh, Arata.\I lucked out.\It's a good thing I didn't get paired against Arata in the first round.\I would've had a taste of how much stronger you've gotten\over the past few years. response:	It's not just Arata.
context: Kawauchi Shoji\Wait, I'm playing him?!\Oh, Arata.\I lucked out.\It's a good thing I didn't get paired against Arata in the first round.\I would've had a taste of how much stronger you've gotten\over the past few years.\It's not just Arata. response:	Everybody here.
context: Wait, I'm playing him?!\Oh, Arata.\I lucked out.\It's a good thing I didn't get paired against Arata in the first round.\I would've had a taste of how much stronger you've gotten\over the past few years.\It's not just Arata.\Everybody here. response:	I'll make them admit that the team tournament is nothing serious.
context: Oh, Arata.\I lucked out.\It's a good thing I didn't get paired against Arata in the first round.\I would've had a taste of how much stronger you've gotten\over the past few years.\It's not just Arata.\Everybody here.\I'll make them admit that the team tournament is nothing serious. response:	I'll crush them all.
context: I lucked out.\It's a good thing I didn't get paired against Arata in the first round.\I would've had a taste of how much stronger you've gotten\over the past few years.\It's not just Arata.\Everybody here.\I'll make them admit that the team tournament is nothing serious.\I'll crush them all. response:	The Queen looked so lame.
context: It's a good thing I didn't get paired against Arata in the first round.\I would've had a taste of how much stronger you've gotten\over the past few years.\It's not just Arata.\Everybody here.\I'll make them admit that the team tournament is nothing serious.\I'll crush them all.\The Queen looked so lame. response:	Was that a cooling scarf around her neck?
context: I would've had a taste of how much stronger you've gotten\over the past few years.\It's not just Arata.\Everybody here.\I'll make them admit that the team tournament is nothing serious.\I'll crush them all.\The Queen looked so lame.\Was that a cooling scarf around her neck? response:	Oh, Chihaya.
context: over the past few years.\It's not just Arata.\Everybody here.\I'll make them admit that the team tournament is nothing serious.\I'll crush them all.\The Queen looked so lame.\Was that a cooling scarf around her neck?\Oh, Chihaya. response:	Will the players please step inside?
context: It's not just Arata.\Everybody here.\I'll make them admit that the team tournament is nothing serious.\I'll crush them all.\The Queen looked so lame.\Was that a cooling scarf around her neck?\Oh, Chihaya.\Will the players please step inside? response:	The first round will soon begin.
context: Everybody here.\I'll make them admit that the team tournament is nothing serious.\I'll crush them all.\The Queen looked so lame.\Was that a cooling scarf around her neck?\Oh, Chihaya.\Will the players please step inside?\The first round will soon begin. response:	Class A will be on the second floor.
context: I'll make them admit that the team tournament is nothing serious.\I'll crush them all.\The Queen looked so lame.\Was that a cooling scarf around her neck?\Oh, Chihaya.\Will the players please step inside?\The first round will soon begin.\Class A will be on the second floor. response:	Will the players please step inside?
context: I'll crush them all.\The Queen looked so lame.\Was that a cooling scarf around her neck?\Oh, Chihaya.\Will the players please step inside?\The first round will soon begin.\Class A will be on the second floor.\Will the players please step inside? response:	Chihaya, aren't you coming?
context: The Queen looked so lame.\Was that a cooling scarf around her neck?\Oh, Chihaya.\Will the players please step inside?\The first round will soon begin.\Class A will be on the second floor.\Will the players please step inside?\Chihaya, aren't you coming? response:	Oh, I'm coming.
context: Was that a cooling scarf around her neck?\Oh, Chihaya.\Will the players please step inside?\The first round will soon begin.\Class A will be on the second floor.\Will the players please step inside?\Chihaya, aren't you coming?\Oh, I'm coming. response:	It's Arata.
context: Oh, Chihaya.\Will the players please step inside?\The first round will soon begin.\Class A will be on the second floor.\Will the players please step inside?\Chihaya, aren't you coming?\Oh, I'm coming.\It's Arata. response:	Arata's here.
context: Will the players please step inside?\The first round will soon begin.\Class A will be on the second floor.\Will the players please step inside?\Chihaya, aren't you coming?\Oh, I'm coming.\It's Arata.\Arata's here. response:	Arata and I are standing on the same tatami floor.
context: The first round will soon begin.\Class A will be on the second floor.\Will the players please step inside?\Chihaya, aren't you coming?\Oh, I'm coming.\It's Arata.\Arata's here.\Arata and I are standing on the same tatami floor. response:	Today is the day... Today is the day...
context: Class A will be on the second floor.\Will the players please step inside?\Chihaya, aren't you coming?\Oh, I'm coming.\It's Arata.\Arata's here.\Arata and I are standing on the same tatami floor.\Today is the day... Today is the day... response:	Today is the day I win it all and start the Legend of Retro!
context: Will the players please step inside?\Chihaya, aren't you coming?\Oh, I'm coming.\It's Arata.\Arata's here.\Arata and I are standing on the same tatami floor.\Today is the day... Today is the day...\Today is the day I win it all and start the Legend of Retro! response:	Kinashi Hiro's Road to Master Project Classified
context: Chihaya, aren't you coming?\Oh, I'm coming.\It's Arata.\Arata's here.\Arata and I are standing on the same tatami floor.\Today is the day... Today is the day...\Today is the day I win it all and start the Legend of Retro!\Kinashi Hiro's Road to Master Project Classified response:	Retro
context: Oh, I'm coming.\It's Arata.\Arata's here.\Arata and I are standing on the same tatami floor.\Today is the day... Today is the day...\Today is the day I win it all and start the Legend of Retro!\Kinashi Hiro's Road to Master Project Classified\Retro response:	What's wrong, Mashima?
context: It's Arata.\Arata's here.\Arata and I are standing on the same tatami floor.\Today is the day... Today is the day...\Today is the day I win it all and start the Legend of Retro!\Kinashi Hiro's Road to Master Project Classified\Retro\What's wrong, Mashima? response:	Today is the day I win!
context: Arata's here.\Arata and I are standing on the same tatami floor.\Today is the day... Today is the day...\Today is the day I win it all and start the Legend of Retro!\Kinashi Hiro's Road to Master Project Classified\Retro\What's wrong, Mashima?\Today is the day I win! response:	Retro...
context: Arata and I are standing on the same tatami floor.\Today is the day... Today is the day...\Today is the day I win it all and start the Legend of Retro!\Kinashi Hiro's Road to Master Project Classified\Retro\What's wrong, Mashima?\Today is the day I win!\Retro... response:	Why am I here?
context: Today is the day... Today is the day...\Today is the day I win it all and start the Legend of Retro!\Kinashi Hiro's Road to Master Project Classified\Retro\What's wrong, Mashima?\Today is the day I win!\Retro...\Why am I here? response:	I-Is he burned out from the team tournament?
context: Today is the day I win it all and start the Legend of Retro!\Kinashi Hiro's Road to Master Project Classified\Retro\What's wrong, Mashima?\Today is the day I win!\Retro...\Why am I here?\I-Is he burned out from the team tournament? response:	That's not like him.
context: Kinashi Hiro's Road to Master Project Classified\Retro\What's wrong, Mashima?\Today is the day I win!\Retro...\Why am I here?\I-Is he burned out from the team tournament?\That's not like him. response:	It's not like him, but that means my greatest rival is out!
context: Retro\What's wrong, Mashima?\Today is the day I win!\Retro...\Why am I here?\I-Is he burned out from the team tournament?\That's not like him.\It's not like him, but that means my greatest rival is out! response:	My victory is assured!
context: What's wrong, Mashima?\Today is the day I win!\Retro...\Why am I here?\I-Is he burned out from the team tournament?\That's not like him.\It's not like him, but that means my greatest rival is out!\My victory is assured! response:	The two first-years in Class D are in a separate hall.
context: Today is the day I win!\Retro...\Why am I here?\I-Is he burned out from the team tournament?\That's not like him.\It's not like him, but that means my greatest rival is out!\My victory is assured!\The two first-years in Class D are in a separate hall. response:	Komano-kun and Oe-san in Class C are in the office.
context: Retro...\Why am I here?\I-Is he burned out from the team tournament?\That's not like him.\It's not like him, but that means my greatest rival is out!\My victory is assured!\The two first-years in Class D are in a separate hall.\Komano-kun and Oe-san in Class C are in the office. response:	Mashima-kun will be playing the Class B first round on the first floor.
context: Why am I here?\I-Is he burned out from the team tournament?\That's not like him.\It's not like him, but that means my greatest rival is out!\My victory is assured!\The two first-years in Class D are in a separate hall.\Komano-kun and Oe-san in Class C are in the office.\Mashima-kun will be playing the Class B first round on the first floor. response:	On the second floor is Class A, Nishida-kun and Ayase-san.
context: I-Is he burned out from the team tournament?\That's not like him.\It's not like him, but that means my greatest rival is out!\My victory is assured!\The two first-years in Class D are in a separate hall.\Komano-kun and Oe-san in Class C are in the office.\Mashima-kun will be playing the Class B first round on the first floor.\On the second floor is Class A, Nishida-kun and Ayase-san. response:	You can tell this is the national tournament.
context: That's not like him.\It's not like him, but that means my greatest rival is out!\My victory is assured!\The two first-years in Class D are in a separate hall.\Komano-kun and Oe-san in Class C are in the office.\Mashima-kun will be playing the Class B first round on the first floor.\On the second floor is Class A, Nishida-kun and Ayase-san.\You can tell this is the national tournament. response:	The parents are here to support the players.
context: It's not like him, but that means my greatest rival is out!\My victory is assured!\The two first-years in Class D are in a separate hall.\Komano-kun and Oe-san in Class C are in the office.\Mashima-kun will be playing the Class B first round on the first floor.\On the second floor is Class A, Nishida-kun and Ayase-san.\You can tell this is the national tournament.\The parents are here to support the players. response:	Arata's dad
context: My victory is assured!\The two first-years in Class D are in a separate hall.\Komano-kun and Oe-san in Class C are in the office.\Mashima-kun will be playing the Class B first round on the first floor.\On the second floor is Class A, Nishida-kun and Ayase-san.\You can tell this is the national tournament.\The parents are here to support the players.\Arata's dad response:	Arata's mom
context: The two first-years in Class D are in a separate hall.\Komano-kun and Oe-san in Class C are in the office.\Mashima-kun will be playing the Class B first round on the first floor.\On the second floor is Class A, Nishida-kun and Ayase-san.\You can tell this is the national tournament.\The parents are here to support the players.\Arata's dad\Arata's mom response:	Ayase-san...
context: Komano-kun and Oe-san in Class C are in the office.\Mashima-kun will be playing the Class B first round on the first floor.\On the second floor is Class A, Nishida-kun and Ayase-san.\You can tell this is the national tournament.\The parents are here to support the players.\Arata's dad\Arata's mom\Ayase-san... response:	It's time.
context: Mashima-kun will be playing the Class B first round on the first floor.\On the second floor is Class A, Nishida-kun and Ayase-san.\You can tell this is the national tournament.\The parents are here to support the players.\Arata's dad\Arata's mom\Ayase-san...\It's time. response:	We will now begin the first round of the Class A individual tournament.
context: On the second floor is Class A, Nishida-kun and Ayase-san.\You can tell this is the national tournament.\The parents are here to support the players.\Arata's dad\Arata's mom\Ayase-san...\It's time.\We will now begin the first round of the Class A individual tournament. response:	Thank you very much.
context: You can tell this is the national tournament.\The parents are here to support the players.\Arata's dad\Arata's mom\Ayase-san...\It's time.\We will now begin the first round of the Class A individual tournament.\Thank you very much. response:	Thank you very much.
context: The parents are here to support the players.\Arata's dad\Arata's mom\Ayase-san...\It's time.\We will now begin the first round of the Class A individual tournament.\Thank you very much.\Thank you very much. response:	Naniwa Bay, now the flower blooms, but for winter
context: Arata's dad\Arata's mom\Ayase-san...\It's time.\We will now begin the first round of the Class A individual tournament.\Thank you very much.\Thank you very much.\Naniwa Bay, now the flower blooms, but for winter response:	Here comes spring, now the flower blooms
context: Arata's mom\Ayase-san...\It's time.\We will now begin the first round of the Class A individual tournament.\Thank you very much.\Thank you very much.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms response:	Here we go.
context: Ayase-san...\It's time.\We will now begin the first round of the Class A individual tournament.\Thank you very much.\Thank you very much.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Here we go. response:	Here comes spring, now the flower blooms
context: It's time.\We will now begin the first round of the Class A individual tournament.\Thank you very much.\Thank you very much.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Here we go.\Here comes spring, now the flower blooms response:	Gust of wind...
context: We will now begin the first round of the Class A individual tournament.\Thank you very much.\Thank you very much.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Here we go.\Here comes spring, now the flower blooms\Gust of wind... response:	Yes!
context: Thank you very much.\Thank you very much.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Here we go.\Here comes spring, now the flower blooms\Gust of wind...\Yes! response:	I won't lose.
context: Thank you very much.\Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Here we go.\Here comes spring, now the flower blooms\Gust of wind...\Yes!\I won't lose. response:	Not until I get to play Megumu.
context: Naniwa Bay, now the flower blooms, but for winter\Here comes spring, now the flower blooms\Here we go.\Here comes spring, now the flower blooms\Gust of wind...\Yes!\I won't lose.\Not until I get to play Megumu. response:	The sound of birds crossing...
context: Here comes spring, now the flower blooms\Here we go.\Here comes spring, now the flower blooms\Gust of wind...\Yes!\I won't lose.\Not until I get to play Megumu.\The sound of birds crossing... response:	What do I do?
context: Here we go.\Here comes spring, now the flower blooms\Gust of wind...\Yes!\I won't lose.\Not until I get to play Megumu.\The sound of birds crossing...\What do I do? response:	I can hear everything.
context: Here comes spring, now the flower blooms\Gust of wind...\Yes!\I won't lose.\Not until I get to play Megumu.\The sound of birds crossing...\What do I do?\I can hear everything. response:	I can hear the sound,
context: Gust of wind...\Yes!\I won't lose.\Not until I get to play Megumu.\The sound of birds crossing...\What do I do?\I can hear everything.\I can hear the sound, response:	but my body, my left hand won't...
