context: You were late today, Ebata. response:	I apologize.
context: Action!\I've always wanted to try this cake shop.\Now's not the time, Tamako!\Huh? What do you mean?\That's the cursed reply.\They say if you get one, you die.\I'm too dumb to know what you're talking about.\Let's just have some cake! response:	What, Tamako-chan?
context: I've always wanted to try this cake shop.\Now's not the time, Tamako!\Huh? What do you mean?\That's the cursed reply.\They say if you get one, you die.\I'm too dumb to know what you're talking about.\Let's just have some cake!\What, Tamako-chan? response:	Futaro-kun,
context: Now's not the time, Tamako!\Huh? What do you mean?\That's the cursed reply.\They say if you get one, you die.\I'm too dumb to know what you're talking about.\Let's just have some cake!\What, Tamako-chan?\Futaro-kun, response:	would you mind not watching? It's embarrassing.
context: Huh? What do you mean?\That's the cursed reply.\They say if you get one, you die.\I'm too dumb to know what you're talking about.\Let's just have some cake!\What, Tamako-chan?\Futaro-kun,\would you mind not watching? It's embarrassing. response:	Why would you take up embarrassing work?
context: That's the cursed reply.\They say if you get one, you die.\I'm too dumb to know what you're talking about.\Let's just have some cake!\What, Tamako-chan?\Futaro-kun,\would you mind not watching? It's embarrassing.\Why would you take up embarrassing work? response:	I'm trying not to tell the others,
context: They say if you get one, you die.\I'm too dumb to know what you're talking about.\Let's just have some cake!\What, Tamako-chan?\Futaro-kun,\would you mind not watching? It's embarrassing.\Why would you take up embarrassing work?\I'm trying not to tell the others, response:	but we're running out of savings.
context: I'm too dumb to know what you're talking about.\Let's just have some cake!\What, Tamako-chan?\Futaro-kun,\would you mind not watching? It's embarrassing.\Why would you take up embarrassing work?\I'm trying not to tell the others,\but we're running out of savings. response:	I mean, it turns out food and power is a lot more expensive than I thought.
context: Let's just have some cake!\What, Tamako-chan?\Futaro-kun,\would you mind not watching? It's embarrassing.\Why would you take up embarrassing work?\I'm trying not to tell the others,\but we're running out of savings.\I mean, it turns out food and power is a lot more expensive than I thought. response:	So I decided to accept any work I can find.
context: What, Tamako-chan?\Futaro-kun,\would you mind not watching? It's embarrassing.\Why would you take up embarrassing work?\I'm trying not to tell the others,\but we're running out of savings.\I mean, it turns out food and power is a lot more expensive than I thought.\So I decided to accept any work I can find. response:	I have to be strong for the girls.
context: Futaro-kun,\would you mind not watching? It's embarrassing.\Why would you take up embarrassing work?\I'm trying not to tell the others,\but we're running out of savings.\I mean, it turns out food and power is a lot more expensive than I thought.\So I decided to accept any work I can find.\I have to be strong for the girls. response:	So don't try to stop me.
context: would you mind not watching? It's embarrassing.\Why would you take up embarrassing work?\I'm trying not to tell the others,\but we're running out of savings.\I mean, it turns out food and power is a lot more expensive than I thought.\So I decided to accept any work I can find.\I have to be strong for the girls.\So don't try to stop me. response:	I'm not going to dismiss your efforts.
context: Why would you take up embarrassing work?\I'm trying not to tell the others,\but we're running out of savings.\I mean, it turns out food and power is a lot more expensive than I thought.\So I decided to accept any work I can find.\I have to be strong for the girls.\So don't try to stop me.\I'm not going to dismiss your efforts. response:	And I'm grateful to you for giving me an opportunity to continue tutoring.
context: I'm trying not to tell the others,\but we're running out of savings.\I mean, it turns out food and power is a lot more expensive than I thought.\So I decided to accept any work I can find.\I have to be strong for the girls.\So don't try to stop me.\I'm not going to dismiss your efforts.\And I'm grateful to you for giving me an opportunity to continue tutoring. response:	But I'm sure you could do better.
context: but we're running out of savings.\I mean, it turns out food and power is a lot more expensive than I thought.\So I decided to accept any work I can find.\I have to be strong for the girls.\So don't try to stop me.\I'm not going to dismiss your efforts.\And I'm grateful to you for giving me an opportunity to continue tutoring.\But I'm sure you could do better. response:	Isn't this job still pretty unprofitable for how much it ties you down?
context: I mean, it turns out food and power is a lot more expensive than I thought.\So I decided to accept any work I can find.\I have to be strong for the girls.\So don't try to stop me.\I'm not going to dismiss your efforts.\And I'm grateful to you for giving me an opportunity to continue tutoring.\But I'm sure you could do better.\Isn't this job still pretty unprofitable for how much it ties you down? response:	Nakano-san, we're ready to start rolling.
context: So I decided to accept any work I can find.\I have to be strong for the girls.\So don't try to stop me.\I'm not going to dismiss your efforts.\And I'm grateful to you for giving me an opportunity to continue tutoring.\But I'm sure you could do better.\Isn't this job still pretty unprofitable for how much it ties you down?\Nakano-san, we're ready to start rolling. response:	Coming.
context: I have to be strong for the girls.\So don't try to stop me.\I'm not going to dismiss your efforts.\And I'm grateful to you for giving me an opportunity to continue tutoring.\But I'm sure you could do better.\Isn't this job still pretty unprofitable for how much it ties you down?\Nakano-san, we're ready to start rolling.\Coming. response:	Yummy!
context: So don't try to stop me.\I'm not going to dismiss your efforts.\And I'm grateful to you for giving me an opportunity to continue tutoring.\But I'm sure you could do better.\Isn't this job still pretty unprofitable for how much it ties you down?\Nakano-san, we're ready to start rolling.\Coming.\Yummy! response:	Cut!
context: I'm not going to dismiss your efforts.\And I'm grateful to you for giving me an opportunity to continue tutoring.\But I'm sure you could do better.\Isn't this job still pretty unprofitable for how much it ties you down?\Nakano-san, we're ready to start rolling.\Coming.\Yummy!\Cut! response:	That was good.
context: And I'm grateful to you for giving me an opportunity to continue tutoring.\But I'm sure you could do better.\Isn't this job still pretty unprofitable for how much it ties you down?\Nakano-san, we're ready to start rolling.\Coming.\Yummy!\Cut!\That was good. response:	That one was good, but why don't we try another take?
context: But I'm sure you could do better.\Isn't this job still pretty unprofitable for how much it ties you down?\Nakano-san, we're ready to start rolling.\Coming.\Yummy!\Cut!\That was good.\That one was good, but why don't we try another take? response:	Okay.
context: Isn't this job still pretty unprofitable for how much it ties you down?\Nakano-san, we're ready to start rolling.\Coming.\Yummy!\Cut!\That was good.\That one was good, but why don't we try another take?\Okay. response:	I wish the others could see her being so ditzy.
context: Nakano-san, we're ready to start rolling.\Coming.\Yummy!\Cut!\That was good.\That one was good, but why don't we try another take?\Okay.\I wish the others could see her being so ditzy. response:	I hope you don't mind us using this pie for one more take.
context: Coming.\Yummy!\Cut!\That was good.\That one was good, but why don't we try another take?\Okay.\I wish the others could see her being so ditzy.\I hope you don't mind us using this pie for one more take. response:	Sure.
context: Yummy!\Cut!\That was good.\That one was good, but why don't we try another take?\Okay.\I wish the others could see her being so ditzy.\I hope you don't mind us using this pie for one more take.\Sure. response:	The pick's missing.
context: Cut!\That was good.\That one was good, but why don't we try another take?\Okay.\I wish the others could see her being so ditzy.\I hope you don't mind us using this pie for one more take.\Sure.\The pick's missing. response:	It's the dud that I made!
context: That was good.\That one was good, but why don't we try another take?\Okay.\I wish the others could see her being so ditzy.\I hope you don't mind us using this pie for one more take.\Sure.\The pick's missing.\It's the dud that I made! response:	Ready! Action!
context: That one was good, but why don't we try another take?\Okay.\I wish the others could see her being so ditzy.\I hope you don't mind us using this pie for one more take.\Sure.\The pick's missing.\It's the dud that I made!\Ready! Action! response:	Yummy!
context: Okay.\I wish the others could see her being so ditzy.\I hope you don't mind us using this pie for one more take.\Sure.\The pick's missing.\It's the dud that I made!\Ready! Action!\Yummy! response:	Nice! That was great!
context: I wish the others could see her being so ditzy.\I hope you don't mind us using this pie for one more take.\Sure.\The pick's missing.\It's the dud that I made!\Ready! Action!\Yummy!\Nice! That was great! response:	You got Problem 5 wrong.
context: I hope you don't mind us using this pie for one more take.\Sure.\The pick's missing.\It's the dud that I made!\Ready! Action!\Yummy!\Nice! That was great!\You got Problem 5 wrong. response:	You caught me.
context: Sure.\The pick's missing.\It's the dud that I made!\Ready! Action!\Yummy!\Nice! That was great!\You got Problem 5 wrong.\You caught me. response:	You don't have anything to hide.
context: The pick's missing.\It's the dud that I made!\Ready! Action!\Yummy!\Nice! That was great!\You got Problem 5 wrong.\You caught me.\You don't have anything to hide. response:	These things are only cool when done in secret.
context: It's the dud that I made!\Ready! Action!\Yummy!\Nice! That was great!\You got Problem 5 wrong.\You caught me.\You don't have anything to hide.\These things are only cool when done in secret. response:	Final script
context: Ready! Action!\Yummy!\Nice! That was great!\You got Problem 5 wrong.\You caught me.\You don't have anything to hide.\These things are only cool when done in secret.\Final script response:	Nakano Ichika
context: Yummy!\Nice! That was great!\You got Problem 5 wrong.\You caught me.\You don't have anything to hide.\These things are only cool when done in secret.\Final script\Nakano Ichika response:	Are you done with your script?
context: Nice! That was great!\You got Problem 5 wrong.\You caught me.\You don't have anything to hide.\These things are only cool when done in secret.\Final script\Nakano Ichika\Are you done with your script? response:	Yeah.
context: You got Problem 5 wrong.\You caught me.\You don't have anything to hide.\These things are only cool when done in secret.\Final script\Nakano Ichika\Are you done with your script?\Yeah. response:	I memorized the whole thing already.
context: You caught me.\You don't have anything to hide.\These things are only cool when done in secret.\Final script\Nakano Ichika\Are you done with your script?\Yeah.\I memorized the whole thing already. response:	Why can't you use that skill for studying?
context: You don't have anything to hide.\These things are only cool when done in secret.\Final script\Nakano Ichika\Are you done with your script?\Yeah.\I memorized the whole thing already.\Why can't you use that skill for studying? response:	The curse kills me in the first part, so I don't have that many lines.
context: These things are only cool when done in secret.\Final script\Nakano Ichika\Are you done with your script?\Yeah.\I memorized the whole thing already.\Why can't you use that skill for studying?\The curse kills me in the first part, so I don't have that many lines. response:	You die a lot, huh?
context: Final script\Nakano Ichika\Are you done with your script?\Yeah.\I memorized the whole thing already.\Why can't you use that skill for studying?\The curse kills me in the first part, so I don't have that many lines.\You die a lot, huh? response:	Oh, yeah.
context: Nakano Ichika\Are you done with your script?\Yeah.\I memorized the whole thing already.\Why can't you use that skill for studying?\The curse kills me in the first part, so I don't have that many lines.\You die a lot, huh?\Oh, yeah. response:	Is the cake here all right?
context: Are you done with your script?\Yeah.\I memorized the whole thing already.\Why can't you use that skill for studying?\The curse kills me in the first part, so I don't have that many lines.\You die a lot, huh?\Oh, yeah.\Is the cake here all right? response:	If I'm being kind, it was unique.
context: Yeah.\I memorized the whole thing already.\Why can't you use that skill for studying?\The curse kills me in the first part, so I don't have that many lines.\You die a lot, huh?\Oh, yeah.\Is the cake here all right?\If I'm being kind, it was unique. response:	If I'm being brutal, it was like Miku's home cooking.
context: I memorized the whole thing already.\Why can't you use that skill for studying?\The curse kills me in the first part, so I don't have that many lines.\You die a lot, huh?\Oh, yeah.\Is the cake here all right?\If I'm being kind, it was unique.\If I'm being brutal, it was like Miku's home cooking. response:	Sorry about that.
context: Why can't you use that skill for studying?\The curse kills me in the first part, so I don't have that many lines.\You die a lot, huh?\Oh, yeah.\Is the cake here all right?\If I'm being kind, it was unique.\If I'm being brutal, it was like Miku's home cooking.\Sorry about that. response:	But you saved my skin.
context: The curse kills me in the first part, so I don't have that many lines.\You die a lot, huh?\Oh, yeah.\Is the cake here all right?\If I'm being kind, it was unique.\If I'm being brutal, it was like Miku's home cooking.\Sorry about that.\But you saved my skin. response:	That was an impressive lie.
context: You die a lot, huh?\Oh, yeah.\Is the cake here all right?\If I'm being kind, it was unique.\If I'm being brutal, it was like Miku's home cooking.\Sorry about that.\But you saved my skin.\That was an impressive lie. response:	You surprise me.
context: Oh, yeah.\Is the cake here all right?\If I'm being kind, it was unique.\If I'm being brutal, it was like Miku's home cooking.\Sorry about that.\But you saved my skin.\That was an impressive lie.\You surprise me. response:	It's called acting.
context: Is the cake here all right?\If I'm being kind, it was unique.\If I'm being brutal, it was like Miku's home cooking.\Sorry about that.\But you saved my skin.\That was an impressive lie.\You surprise me.\It's called acting. response:	It's true that you surprised me, though.
context: If I'm being kind, it was unique.\If I'm being brutal, it was like Miku's home cooking.\Sorry about that.\But you saved my skin.\That was an impressive lie.\You surprise me.\It's called acting.\It's true that you surprised me, though. response:	I mean, well...
context: If I'm being brutal, it was like Miku's home cooking.\Sorry about that.\But you saved my skin.\That was an impressive lie.\You surprise me.\It's called acting.\It's true that you surprised me, though.\I mean, well... response:	Y-You're kind of growing into your job as an actress.
context: Sorry about that.\But you saved my skin.\That was an impressive lie.\You surprise me.\It's called acting.\It's true that you surprised me, though.\I mean, well...\Y-You're kind of growing into your job as an actress. response:	She's asleep!
context: But you saved my skin.\That was an impressive lie.\You surprise me.\It's called acting.\It's true that you surprised me, though.\I mean, well...\Y-You're kind of growing into your job as an actress.\She's asleep! response:	Jeez.
context: That was an impressive lie.\You surprise me.\It's called acting.\It's true that you surprised me, though.\I mean, well...\Y-You're kind of growing into your job as an actress.\She's asleep!\Jeez. response:	She almost had me saying something smug to her.
context: You surprise me.\It's called acting.\It's true that you surprised me, though.\I mean, well...\Y-You're kind of growing into your job as an actress.\She's asleep!\Jeez.\She almost had me saying something smug to her. response:	Man, I'm amazed you can hide your embarrassment in front of so many people.
context: It's called acting.\It's true that you surprised me, though.\I mean, well...\Y-You're kind of growing into your job as an actress.\She's asleep!\Jeez.\She almost had me saying something smug to her.\Man, I'm amazed you can hide your embarrassment in front of so many people. response:	I really wish the others could see you.
context: It's true that you surprised me, though.\I mean, well...\Y-You're kind of growing into your job as an actress.\She's asleep!\Jeez.\She almost had me saying something smug to her.\Man, I'm amazed you can hide your embarrassment in front of so many people.\I really wish the others could see you. response:	Good work, Ichika.
context: I mean, well...\Y-You're kind of growing into your job as an actress.\She's asleep!\Jeez.\She almost had me saying something smug to her.\Man, I'm amazed you can hide your embarrassment in front of so many people.\I really wish the others could see you.\Good work, Ichika. response:	I hate that I'm even acting in this moment...
context: Y-You're kind of growing into your job as an actress.\She's asleep!\Jeez.\She almost had me saying something smug to her.\Man, I'm amazed you can hide your embarrassment in front of so many people.\I really wish the others could see you.\Good work, Ichika.\I hate that I'm even acting in this moment... response:	Now I really am lying.
context: She's asleep!\Jeez.\She almost had me saying something smug to her.\Man, I'm amazed you can hide your embarrassment in front of so many people.\I really wish the others could see you.\Good work, Ichika.\I hate that I'm even acting in this moment...\Now I really am lying. response:	But I couldn't let him see my face right now.
context: Jeez.\She almost had me saying something smug to her.\Man, I'm amazed you can hide your embarrassment in front of so many people.\I really wish the others could see you.\Good work, Ichika.\I hate that I'm even acting in this moment...\Now I really am lying.\But I couldn't let him see my face right now. response:	Hikarihime Delicious Rice First-class
context: She almost had me saying something smug to her.\Man, I'm amazed you can hide your embarrassment in front of so many people.\I really wish the others could see you.\Good work, Ichika.\I hate that I'm even acting in this moment...\Now I really am lying.\But I couldn't let him see my face right now.\Hikarihime Delicious Rice First-class response:	So heavy!
context: Man, I'm amazed you can hide your embarrassment in front of so many people.\I really wish the others could see you.\Good work, Ichika.\I hate that I'm even acting in this moment...\Now I really am lying.\But I couldn't let him see my face right now.\Hikarihime Delicious Rice First-class\So heavy! response:	Stay calm...
context: I really wish the others could see you.\Good work, Ichika.\I hate that I'm even acting in this moment...\Now I really am lying.\But I couldn't let him see my face right now.\Hikarihime Delicious Rice First-class\So heavy!\Stay calm... response:	Remember your mechanics! The most efficient way of carrying this load is...
context: Good work, Ichika.\I hate that I'm even acting in this moment...\Now I really am lying.\But I couldn't let him see my face right now.\Hikarihime Delicious Rice First-class\So heavy!\Stay calm...\Remember your mechanics! The most efficient way of carrying this load is... response:	I can't!
context: I hate that I'm even acting in this moment...\Now I really am lying.\But I couldn't let him see my face right now.\Hikarihime Delicious Rice First-class\So heavy!\Stay calm...\Remember your mechanics! The most efficient way of carrying this load is...\I can't! response:	I'll carry it.
context: Now I really am lying.\But I couldn't let him see my face right now.\Hikarihime Delicious Rice First-class\So heavy!\Stay calm...\Remember your mechanics! The most efficient way of carrying this load is...\I can't!\I'll carry it. response:	Hurry up, you bag handlers.
context: But I couldn't let him see my face right now.\Hikarihime Delicious Rice First-class\So heavy!\Stay calm...\Remember your mechanics! The most efficient way of carrying this load is...\I can't!\I'll carry it.\Hurry up, you bag handlers. response:	Jeez.
context: Hikarihime Delicious Rice First-class\So heavy!\Stay calm...\Remember your mechanics! The most efficient way of carrying this load is...\I can't!\I'll carry it.\Hurry up, you bag handlers.\Jeez. response:	Why'd you call me out at this hour?
context: So heavy!\Stay calm...\Remember your mechanics! The most efficient way of carrying this load is...\I can't!\I'll carry it.\Hurry up, you bag handlers.\Jeez.\Why'd you call me out at this hour? response:	They're having a sale today.
context: Stay calm...\Remember your mechanics! The most efficient way of carrying this load is...\I can't!\I'll carry it.\Hurry up, you bag handlers.\Jeez.\Why'd you call me out at this hour?\They're having a sale today. response:	And you should be able to carry that yourself.
context: Remember your mechanics! The most efficient way of carrying this load is...\I can't!\I'll carry it.\Hurry up, you bag handlers.\Jeez.\Why'd you call me out at this hour?\They're having a sale today.\And you should be able to carry that yourself. response:	You carry it, then.
context: I can't!\I'll carry it.\Hurry up, you bag handlers.\Jeez.\Why'd you call me out at this hour?\They're having a sale today.\And you should be able to carry that yourself.\You carry it, then. response:	Oh, right...
context: I'll carry it.\Hurry up, you bag handlers.\Jeez.\Why'd you call me out at this hour?\They're having a sale today.\And you should be able to carry that yourself.\You carry it, then.\Oh, right... response:	Miku asked me to buy these.
context: Hurry up, you bag handlers.\Jeez.\Why'd you call me out at this hour?\They're having a sale today.\And you should be able to carry that yourself.\You carry it, then.\Oh, right...\Miku asked me to buy these. response:	She's eating all that?
context: Jeez.\Why'd you call me out at this hour?\They're having a sale today.\And you should be able to carry that yourself.\You carry it, then.\Oh, right...\Miku asked me to buy these.\She's eating all that? response:	You're pretty dense for someone who's so smart.
context: Why'd you call me out at this hour?\They're having a sale today.\And you should be able to carry that yourself.\You carry it, then.\Oh, right...\Miku asked me to buy these.\She's eating all that?\You're pretty dense for someone who's so smart. response:	It's so early, too. It's only January.
context: They're having a sale today.\And you should be able to carry that yourself.\You carry it, then.\Oh, right...\Miku asked me to buy these.\She's eating all that?\You're pretty dense for someone who's so smart.\It's so early, too. It's only January. response:	Okay, let's go.
context: And you should be able to carry that yourself.\You carry it, then.\Oh, right...\Miku asked me to buy these.\She's eating all that?\You're pretty dense for someone who's so smart.\It's so early, too. It's only January.\Okay, let's go. response:	Wait, Nino.
context: You carry it, then.\Oh, right...\Miku asked me to buy these.\She's eating all that?\You're pretty dense for someone who's so smart.\It's so early, too. It's only January.\Okay, let's go.\Wait, Nino. response:	Can you hold this for a sec?
context: Oh, right...\Miku asked me to buy these.\She's eating all that?\You're pretty dense for someone who's so smart.\It's so early, too. It's only January.\Okay, let's go.\Wait, Nino.\Can you hold this for a sec? response:	Hey
context: Miku asked me to buy these.\She's eating all that?\You're pretty dense for someone who's so smart.\It's so early, too. It's only January.\Okay, let's go.\Wait, Nino.\Can you hold this for a sec?\Hey response:	I told you!
context: She's eating all that?\You're pretty dense for someone who's so smart.\It's so early, too. It's only January.\Okay, let's go.\Wait, Nino.\Can you hold this for a sec?\Hey\I told you! response:	Hold on tight.
context: You're pretty dense for someone who's so smart.\It's so early, too. It's only January.\Okay, let's go.\Wait, Nino.\Can you hold this for a sec?\Hey\I told you!\Hold on tight. response:	There.
context: It's so early, too. It's only January.\Okay, let's go.\Wait, Nino.\Can you hold this for a sec?\Hey\I told you!\Hold on tight.\There. response:	Sorry, Nino.
context: Okay, let's go.\Wait, Nino.\Can you hold this for a sec?\Hey\I told you!\Hold on tight.\There.\Sorry, Nino. response:	Y-Yeah.
context: Wait, Nino.\Can you hold this for a sec?\Hey\I told you!\Hold on tight.\There.\Sorry, Nino.\Y-Yeah. response:	Something's weird lately.
context: Can you hold this for a sec?\Hey\I told you!\Hold on tight.\There.\Sorry, Nino.\Y-Yeah.\Something's weird lately. response:	Maybe I haven't gotten over Kintaro-kun yet.
context: Hey\I told you!\Hold on tight.\There.\Sorry, Nino.\Y-Yeah.\Something's weird lately.\Maybe I haven't gotten over Kintaro-kun yet. response:	It doesn't make sense otherwise.
context: I told you!\Hold on tight.\There.\Sorry, Nino.\Y-Yeah.\Something's weird lately.\Maybe I haven't gotten over Kintaro-kun yet.\It doesn't make sense otherwise. response:	Yeah.
context: Hold on tight.\There.\Sorry, Nino.\Y-Yeah.\Something's weird lately.\Maybe I haven't gotten over Kintaro-kun yet.\It doesn't make sense otherwise.\Yeah. response:	There's no way...
context: There.\Sorry, Nino.\Y-Yeah.\Something's weird lately.\Maybe I haven't gotten over Kintaro-kun yet.\It doesn't make sense otherwise.\Yeah.\There's no way... response:	There's no way this guy's my prince!
context: Sorry, Nino.\Y-Yeah.\Something's weird lately.\Maybe I haven't gotten over Kintaro-kun yet.\It doesn't make sense otherwise.\Yeah.\There's no way...\There's no way this guy's my prince! response:	What?
context: Y-Yeah.\Something's weird lately.\Maybe I haven't gotten over Kintaro-kun yet.\It doesn't make sense otherwise.\Yeah.\There's no way...\There's no way this guy's my prince!\What? response:	Nothing.
context: Something's weird lately.\Maybe I haven't gotten over Kintaro-kun yet.\It doesn't make sense otherwise.\Yeah.\There's no way...\There's no way this guy's my prince!\What?\Nothing. response:	Nino, look.
context: Maybe I haven't gotten over Kintaro-kun yet.\It doesn't make sense otherwise.\Yeah.\There's no way...\There's no way this guy's my prince!\What?\Nothing.\Nino, look. response:	Excuse me.
context: It doesn't make sense otherwise.\Yeah.\There's no way...\There's no way this guy's my prince!\What?\Nothing.\Nino, look.\Excuse me. response:	Bring us every kind of sandwich you have.
context: Yeah.\There's no way...\There's no way this guy's my prince!\What?\Nothing.\Nino, look.\Excuse me.\Bring us every kind of sandwich you have. response:	Certainly.
context: There's no way...\There's no way this guy's my prince!\What?\Nothing.\Nino, look.\Excuse me.\Bring us every kind of sandwich you have.\Certainly. response:	Don't worry about me.
context: There's no way this guy's my prince!\What?\Nothing.\Nino, look.\Excuse me.\Bring us every kind of sandwich you have.\Certainly.\Don't worry about me. response:	You don't want anything?
context: What?\Nothing.\Nino, look.\Excuse me.\Bring us every kind of sandwich you have.\Certainly.\Don't worry about me.\You don't want anything? response:	I'll take them. Thank you.
context: Nothing.\Nino, look.\Excuse me.\Bring us every kind of sandwich you have.\Certainly.\Don't worry about me.\You don't want anything?\I'll take them. Thank you. response:	Good girl.
context: Nino, look.\Excuse me.\Bring us every kind of sandwich you have.\Certainly.\Don't worry about me.\You don't want anything?\I'll take them. Thank you.\Good girl. response:	You're amenable and quick to understand, Itsuki-kun.
context: Excuse me.\Bring us every kind of sandwich you have.\Certainly.\Don't worry about me.\You don't want anything?\I'll take them. Thank you.\Good girl.\You're amenable and quick to understand, Itsuki-kun. response:	I believe that's what is meant when one is called intelligent.
context: Bring us every kind of sandwich you have.\Certainly.\Don't worry about me.\You don't want anything?\I'll take them. Thank you.\Good girl.\You're amenable and quick to understand, Itsuki-kun.\I believe that's what is meant when one is called intelligent. response:	I knew it. It's Dad.
context: Certainly.\Don't worry about me.\You don't want anything?\I'll take them. Thank you.\Good girl.\You're amenable and quick to understand, Itsuki-kun.\I believe that's what is meant when one is called intelligent.\I knew it. It's Dad. response:	Why is he with Itsuki?
context: Don't worry about me.\You don't want anything?\I'll take them. Thank you.\Good girl.\You're amenable and quick to understand, Itsuki-kun.\I believe that's what is meant when one is called intelligent.\I knew it. It's Dad.\Why is he with Itsuki? response:	That was definitely him.
context: You don't want anything?\I'll take them. Thank you.\Good girl.\You're amenable and quick to understand, Itsuki-kun.\I believe that's what is meant when one is called intelligent.\I knew it. It's Dad.\Why is he with Itsuki?\That was definitely him. response:	That was him at the hospital back then.
context: I'll take them. Thank you.\Good girl.\You're amenable and quick to understand, Itsuki-kun.\I believe that's what is meant when one is called intelligent.\I knew it. It's Dad.\Why is he with Itsuki?\That was definitely him.\That was him at the hospital back then. response:	That man is their father?
context: Good girl.\You're amenable and quick to understand, Itsuki-kun.\I believe that's what is meant when one is called intelligent.\I knew it. It's Dad.\Why is he with Itsuki?\That was definitely him.\That was him at the hospital back then.\That man is their father? response:	Now, Itsuki-kun...
context: You're amenable and quick to understand, Itsuki-kun.\I believe that's what is meant when one is called intelligent.\I knew it. It's Dad.\Why is he with Itsuki?\That was definitely him.\That was him at the hospital back then.\That man is their father?\Now, Itsuki-kun... response:	I'll turn a blind eye to the mistake you girls have made.
context: I believe that's what is meant when one is called intelligent.\I knew it. It's Dad.\Why is he with Itsuki?\That was definitely him.\That was him at the hospital back then.\That man is their father?\Now, Itsuki-kun...\I'll turn a blind eye to the mistake you girls have made. response:	Come back home with the others immediately.
context: I knew it. It's Dad.\Why is he with Itsuki?\That was definitely him.\That was him at the hospital back then.\That man is their father?\Now, Itsuki-kun...\I'll turn a blind eye to the mistake you girls have made.\Come back home with the others immediately. response:	Inform all of your sisters.
context: Why is he with Itsuki?\That was definitely him.\That was him at the hospital back then.\That man is their father?\Now, Itsuki-kun...\I'll turn a blind eye to the mistake you girls have made.\Come back home with the others immediately.\Inform all of your sisters. response:	Does that include him as well?
context: That was definitely him.\That was him at the hospital back then.\That man is their father?\Now, Itsuki-kun...\I'll turn a blind eye to the mistake you girls have made.\Come back home with the others immediately.\Inform all of your sisters.\Does that include him as well? response:	You mean Uesugi-kun?
context: That was him at the hospital back then.\That man is their father?\Now, Itsuki-kun...\I'll turn a blind eye to the mistake you girls have made.\Come back home with the others immediately.\Inform all of your sisters.\Does that include him as well?\You mean Uesugi-kun? response:	This is a family matter.
context: That man is their father?\Now, Itsuki-kun...\I'll turn a blind eye to the mistake you girls have made.\Come back home with the others immediately.\Inform all of your sisters.\Does that include him as well?\You mean Uesugi-kun?\This is a family matter. response:	He's an outsider in every sense.
context: Now, Itsuki-kun...\I'll turn a blind eye to the mistake you girls have made.\Come back home with the others immediately.\Inform all of your sisters.\Does that include him as well?\You mean Uesugi-kun?\This is a family matter.\He's an outsider in every sense. response:	And, to be honest,
context: I'll turn a blind eye to the mistake you girls have made.\Come back home with the others immediately.\Inform all of your sisters.\Does that include him as well?\You mean Uesugi-kun?\This is a family matter.\He's an outsider in every sense.\And, to be honest, response:	I hate him.
context: Come back home with the others immediately.\Inform all of your sisters.\Does that include him as well?\You mean Uesugi-kun?\This is a family matter.\He's an outsider in every sense.\And, to be honest,\I hate him. response:	That's so childish!
context: Inform all of your sisters.\Does that include him as well?\You mean Uesugi-kun?\This is a family matter.\He's an outsider in every sense.\And, to be honest,\I hate him.\That's so childish! response:	What did you do to Dad?
context: Does that include him as well?\You mean Uesugi-kun?\This is a family matter.\He's an outsider in every sense.\And, to be honest,\I hate him.\That's so childish!\What did you do to Dad? response:	I-I dunno.
context: You mean Uesugi-kun?\This is a family matter.\He's an outsider in every sense.\And, to be honest,\I hate him.\That's so childish!\What did you do to Dad?\I-I dunno. response:	G-Gee, I'm not sure.
context: This is a family matter.\He's an outsider in every sense.\And, to be honest,\I hate him.\That's so childish!\What did you do to Dad?\I-I dunno.\G-Gee, I'm not sure. response:	We can't go home yet.
context: He's an outsider in every sense.\And, to be honest,\I hate him.\That's so childish!\What did you do to Dad?\I-I dunno.\G-Gee, I'm not sure.\We can't go home yet. response:	He's far too involved in this to call him an outsider.
context: And, to be honest,\I hate him.\That's so childish!\What did you do to Dad?\I-I dunno.\G-Gee, I'm not sure.\We can't go home yet.\He's far too involved in this to call him an outsider. response:	I'll allow Uesugi-kun back into the home,
context: I hate him.\That's so childish!\What did you do to Dad?\I-I dunno.\G-Gee, I'm not sure.\We can't go home yet.\He's far too involved in this to call him an outsider.\I'll allow Uesugi-kun back into the home, response:	and ask him to continue tutoring.
context: That's so childish!\What did you do to Dad?\I-I dunno.\G-Gee, I'm not sure.\We can't go home yet.\He's far too involved in this to call him an outsider.\I'll allow Uesugi-kun back into the home,\and ask him to continue tutoring. response:	But he'll be working alongside a professional tutor.
context: What did you do to Dad?\I-I dunno.\G-Gee, I'm not sure.\We can't go home yet.\He's far too involved in this to call him an outsider.\I'll allow Uesugi-kun back into the home,\and ask him to continue tutoring.\But he'll be working alongside a professional tutor. response:	He'll be acting as her support.
context: I-I dunno.\G-Gee, I'm not sure.\We can't go home yet.\He's far too involved in this to call him an outsider.\I'll allow Uesugi-kun back into the home,\and ask him to continue tutoring.\But he'll be working alongside a professional tutor.\He'll be acting as her support. response:	But we're all working so hard.
