context: Rations, four. response:	Medical supplies, one.
context: Ange,\a transport will arrive at dawn.\Your order to care for your former maid is hereby complete.\Good work.\Runway clear. Ready for lift-off.\Top maid my ass.\She's been lying to me this whole time.\I still adore you, Angelise-sama. response:	Idiot.
context: a transport will arrive at dawn.\Your order to care for your former maid is hereby complete.\Good work.\Runway clear. Ready for lift-off.\Top maid my ass.\She's been lying to me this whole time.\I still adore you, Angelise-sama.\Idiot. response:	You hopeless idiot.
context: Your order to care for your former maid is hereby complete.\Good work.\Runway clear. Ready for lift-off.\Top maid my ass.\She's been lying to me this whole time.\I still adore you, Angelise-sama.\Idiot.\You hopeless idiot. response:	That freaking bitch!
context: Good work.\Runway clear. Ready for lift-off.\Top maid my ass.\She's been lying to me this whole time.\I still adore you, Angelise-sama.\Idiot.\You hopeless idiot.\That freaking bitch! response:	She kicked my machine during combat!
context: Runway clear. Ready for lift-off.\Top maid my ass.\She's been lying to me this whole time.\I still adore you, Angelise-sama.\Idiot.\You hopeless idiot.\That freaking bitch!\She kicked my machine during combat! response:	A pest! She called me a pest!
context: Top maid my ass.\She's been lying to me this whole time.\I still adore you, Angelise-sama.\Idiot.\You hopeless idiot.\That freaking bitch!\She kicked my machine during combat!\A pest! She called me a pest! response:	Ange was awesome out there again.
context: She's been lying to me this whole time.\I still adore you, Angelise-sama.\Idiot.\You hopeless idiot.\That freaking bitch!\She kicked my machine during combat!\A pest! She called me a pest!\Ange was awesome out there again. response:	What are you talking about?
context: I still adore you, Angelise-sama.\Idiot.\You hopeless idiot.\That freaking bitch!\She kicked my machine during combat!\A pest! She called me a pest!\Ange was awesome out there again.\What are you talking about? response:	She totally defied her orders.
context: Idiot.\You hopeless idiot.\That freaking bitch!\She kicked my machine during combat!\A pest! She called me a pest!\Ange was awesome out there again.\What are you talking about?\She totally defied her orders. response:	There, there, calm down.
context: You hopeless idiot.\That freaking bitch!\She kicked my machine during combat!\A pest! She called me a pest!\Ange was awesome out there again.\What are you talking about?\She totally defied her orders.\There, there, calm down. response:	How can I calm down?
context: That freaking bitch!\She kicked my machine during combat!\A pest! She called me a pest!\Ange was awesome out there again.\What are you talking about?\She totally defied her orders.\There, there, calm down.\How can I calm down? response:	She killed all the DRAGONs herself.
context: She kicked my machine during combat!\A pest! She called me a pest!\Ange was awesome out there again.\What are you talking about?\She totally defied her orders.\There, there, calm down.\How can I calm down?\She killed all the DRAGONs herself. response:	It's unheard of.
context: A pest! She called me a pest!\Ange was awesome out there again.\What are you talking about?\She totally defied her orders.\There, there, calm down.\How can I calm down?\She killed all the DRAGONs herself.\It's unheard of. response:	Thank you for taking care of me.
context: Ange was awesome out there again.\What are you talking about?\She totally defied her orders.\There, there, calm down.\How can I calm down?\She killed all the DRAGONs herself.\It's unheard of.\Thank you for taking care of me. response:	It was only a short time, but I was very happy.
context: What are you talking about?\She totally defied her orders.\There, there, calm down.\How can I calm down?\She killed all the DRAGONs herself.\It's unheard of.\Thank you for taking care of me.\It was only a short time, but I was very happy. response:	Could you please let Angelise-sama know?
context: She totally defied her orders.\There, there, calm down.\How can I calm down?\She killed all the DRAGONs herself.\It's unheard of.\Thank you for taking care of me.\It was only a short time, but I was very happy.\Could you please let Angelise-sama know? response:	All right.
context: There, there, calm down.\How can I calm down?\She killed all the DRAGONs herself.\It's unheard of.\Thank you for taking care of me.\It was only a short time, but I was very happy.\Could you please let Angelise-sama know?\All right. response:	Over here, then.
context: How can I calm down?\She killed all the DRAGONs herself.\It's unheard of.\Thank you for taking care of me.\It was only a short time, but I was very happy.\Could you please let Angelise-sama know?\All right.\Over here, then. response:	Yes. Thank you.
context: She killed all the DRAGONs herself.\It's unheard of.\Thank you for taking care of me.\It was only a short time, but I was very happy.\Could you please let Angelise-sama know?\All right.\Over here, then.\Yes. Thank you. response:	Stop there.
context: It's unheard of.\Thank you for taking care of me.\It was only a short time, but I was very happy.\Could you please let Angelise-sama know?\All right.\Over here, then.\Yes. Thank you.\Stop there. response:	Angelise-sama.
context: Thank you for taking care of me.\It was only a short time, but I was very happy.\Could you please let Angelise-sama know?\All right.\Over here, then.\Yes. Thank you.\Stop there.\Angelise-sama. response:	I'm buying that girl.
context: It was only a short time, but I was very happy.\Could you please let Angelise-sama know?\All right.\Over here, then.\Yes. Thank you.\Stop there.\Angelise-sama.\I'm buying that girl. response:	What?
context: Could you please let Angelise-sama know?\All right.\Over here, then.\Yes. Thank you.\Stop there.\Angelise-sama.\I'm buying that girl.\What? response:	A Norma buying a human?
context: All right.\Over here, then.\Yes. Thank you.\Stop there.\Angelise-sama.\I'm buying that girl.\What?\A Norma buying a human? response:	With these tattered strips of paper?
context: Over here, then.\Yes. Thank you.\Stop there.\Angelise-sama.\I'm buying that girl.\What?\A Norma buying a human?\With these tattered strips of paper? response:	That's impossible.
context: Yes. Thank you.\Stop there.\Angelise-sama.\I'm buying that girl.\What?\A Norma buying a human?\With these tattered strips of paper?\That's impossible. response:	Fine.
context: Stop there.\Angelise-sama.\I'm buying that girl.\What?\A Norma buying a human?\With these tattered strips of paper?\That's impossible.\Fine. response:	What?
context: Angelise-sama.\I'm buying that girl.\What?\A Norma buying a human?\With these tattered strips of paper?\That's impossible.\Fine.\What? response:	I'm calling off the transport.
context: I'm buying that girl.\What?\A Norma buying a human?\With these tattered strips of paper?\That's impossible.\Fine.\What?\I'm calling off the transport. response:	That girl is hers.
context: What?\A Norma buying a human?\With these tattered strips of paper?\That's impossible.\Fine.\What?\I'm calling off the transport.\That girl is hers. response:	C-Commander.
context: A Norma buying a human?\With these tattered strips of paper?\That's impossible.\Fine.\What?\I'm calling off the transport.\That girl is hers.\C-Commander. response:	You can have anything with enough money.
context: With these tattered strips of paper?\That's impossible.\Fine.\What?\I'm calling off the transport.\That girl is hers.\C-Commander.\You can have anything with enough money. response:	That's how it works here.
context: That's impossible.\Fine.\What?\I'm calling off the transport.\That girl is hers.\C-Commander.\You can have anything with enough money.\That's how it works here. response:	I mean
context: Fine.\What?\I'm calling off the transport.\That girl is hers.\C-Commander.\You can have anything with enough money.\That's how it works here.\I mean response:	Wait, please.
context: What?\I'm calling off the transport.\That girl is hers.\C-Commander.\You can have anything with enough money.\That's how it works here.\I mean\Wait, please. response:	I can stay here?
context: I'm calling off the transport.\That girl is hers.\C-Commander.\You can have anything with enough money.\That's how it works here.\I mean\Wait, please.\I can stay here? response:	I can stay here by you, Angelise-sama?
context: That girl is hers.\C-Commander.\You can have anything with enough money.\That's how it works here.\I mean\Wait, please.\I can stay here?\I can stay here by you, Angelise-sama? response:	Ange.
context: C-Commander.\You can have anything with enough money.\That's how it works here.\I mean\Wait, please.\I can stay here?\I can stay here by you, Angelise-sama?\Ange. response:	My name is Ange.
context: You can have anything with enough money.\That's how it works here.\I mean\Wait, please.\I can stay here?\I can stay here by you, Angelise-sama?\Ange.\My name is Ange. response:	Yes,
context: That's how it works here.\I mean\Wait, please.\I can stay here?\I can stay here by you, Angelise-sama?\Ange.\My name is Ange.\Yes, response:	Angelise-sama.
context: I mean\Wait, please.\I can stay here?\I can stay here by you, Angelise-sama?\Ange.\My name is Ange.\Yes,\Angelise-sama. response:	Next Episode
context: Wait, please.\I can stay here?\I can stay here by you, Angelise-sama?\Ange.\My name is Ange.\Yes,\Angelise-sama.\Next Episode response:	I finally got to see you, Angelise-sama!
context: I can stay here?\I can stay here by you, Angelise-sama?\Ange.\My name is Ange.\Yes,\Angelise-sama.\Next Episode\I finally got to see you, Angelise-sama! response:	I so thought you were going to die.
context: I can stay here by you, Angelise-sama?\Ange.\My name is Ange.\Yes,\Angelise-sama.\Next Episode\I finally got to see you, Angelise-sama!\I so thought you were going to die. response:	That's so mean.
context: Ange.\My name is Ange.\Yes,\Angelise-sama.\Next Episode\I finally got to see you, Angelise-sama!\I so thought you were going to die.\That's so mean. response:	This director seriously thinks
context: My name is Ange.\Yes,\Angelise-sama.\Next Episode\I finally got to see you, Angelise-sama!\I so thought you were going to die.\That's so mean.\This director seriously thinks response:	it's all good, so long as there's a bathing scene with nudity.
context: Yes,\Angelise-sama.\Next Episode\I finally got to see you, Angelise-sama!\I so thought you were going to die.\That's so mean.\This director seriously thinks\it's all good, so long as there's a bathing scene with nudity. response:	Maybe you'll die next week?
context: Angelise-sama.\Next Episode\I finally got to see you, Angelise-sama!\I so thought you were going to die.\That's so mean.\This director seriously thinks\it's all good, so long as there's a bathing scene with nudity.\Maybe you'll die next week? response:	Salia's Depression
context: Next Episode\I finally got to see you, Angelise-sama!\I so thought you were going to die.\That's so mean.\This director seriously thinks\it's all good, so long as there's a bathing scene with nudity.\Maybe you'll die next week?\Salia's Depression response:	Maybe you're the worst, Princess.
