context: So, Sir Trillram. response:	My Landing Castle is about to take its meal,
context: Give me its position! Where is it?!\T-To your southwest, heading towards the city center.\That guy is crazy...!\Cover me! That bat's wake is dispersing the smoke!\We have to shoot it down!\Wait, Calm!\Terran Kataphrakts...!\Forgive me! response:	Calm!
context: T-To your southwest, heading towards the city center.\That guy is crazy...!\Cover me! That bat's wake is dispersing the smoke!\We have to shoot it down!\Wait, Calm!\Terran Kataphrakts...!\Forgive me!\Calm! response:	Damn!
context: That guy is crazy...!\Cover me! That bat's wake is dispersing the smoke!\We have to shoot it down!\Wait, Calm!\Terran Kataphrakts...!\Forgive me!\Calm!\Damn! response:	Are you okay?
context: Cover me! That bat's wake is dispersing the smoke!\We have to shoot it down!\Wait, Calm!\Terran Kataphrakts...!\Forgive me!\Calm!\Damn!\Are you okay? response:	Yeah. My stabilizer's gone, but I can still run, barely.
context: We have to shoot it down!\Wait, Calm!\Terran Kataphrakts...!\Forgive me!\Calm!\Damn!\Are you okay?\Yeah. My stabilizer's gone, but I can still run, barely. response:	Rockets seem to work fine on that one.
context: Wait, Calm!\Terran Kataphrakts...!\Forgive me!\Calm!\Damn!\Are you okay?\Yeah. My stabilizer's gone, but I can still run, barely.\Rockets seem to work fine on that one. response:	A sky carrier...
context: Terran Kataphrakts...!\Forgive me!\Calm!\Damn!\Are you okay?\Yeah. My stabilizer's gone, but I can still run, barely.\Rockets seem to work fine on that one.\A sky carrier... response:	It's a Vers tactical transport.
context: Forgive me!\Calm!\Damn!\Are you okay?\Yeah. My stabilizer's gone, but I can still run, barely.\Rockets seem to work fine on that one.\A sky carrier...\It's a Vers tactical transport. response:	I'm given to understand that it has no special equipment or capabilities
context: Calm!\Damn!\Are you okay?\Yeah. My stabilizer's gone, but I can still run, barely.\Rockets seem to work fine on that one.\A sky carrier...\It's a Vers tactical transport.\I'm given to understand that it has no special equipment or capabilities response:	beyond machine guns and missiles.
context: Damn!\Are you okay?\Yeah. My stabilizer's gone, but I can still run, barely.\Rockets seem to work fine on that one.\A sky carrier...\It's a Vers tactical transport.\I'm given to understand that it has no special equipment or capabilities\beyond machine guns and missiles. response:	Smoke screen!
context: Are you okay?\Yeah. My stabilizer's gone, but I can still run, barely.\Rockets seem to work fine on that one.\A sky carrier...\It's a Vers tactical transport.\I'm given to understand that it has no special equipment or capabilities\beyond machine guns and missiles.\Smoke screen! response:	Right away!
context: Yeah. My stabilizer's gone, but I can still run, barely.\Rockets seem to work fine on that one.\A sky carrier...\It's a Vers tactical transport.\I'm given to understand that it has no special equipment or capabilities\beyond machine guns and missiles.\Smoke screen!\Right away! response:	Voltage, check. Oil pressure, check.
context: Rockets seem to work fine on that one.\A sky carrier...\It's a Vers tactical transport.\I'm given to understand that it has no special equipment or capabilities\beyond machine guns and missiles.\Smoke screen!\Right away!\Voltage, check. Oil pressure, check. response:	Temperature, check. RPMs, normal.
context: A sky carrier...\It's a Vers tactical transport.\I'm given to understand that it has no special equipment or capabilities\beyond machine guns and missiles.\Smoke screen!\Right away!\Voltage, check. Oil pressure, check.\Temperature, check. RPMs, normal. response:	Nao, Good luck! -Yu
context: It's a Vers tactical transport.\I'm given to understand that it has no special equipment or capabilities\beyond machine guns and missiles.\Smoke screen!\Right away!\Voltage, check. Oil pressure, check.\Temperature, check. RPMs, normal.\Nao, Good luck! -Yu response:	Force feedback checking program, start.
context: I'm given to understand that it has no special equipment or capabilities\beyond machine guns and missiles.\Smoke screen!\Right away!\Voltage, check. Oil pressure, check.\Temperature, check. RPMs, normal.\Nao, Good luck! -Yu\Force feedback checking program, start. response:	Ejection seat functional. IFF confirmed.
context: beyond machine guns and missiles.\Smoke screen!\Right away!\Voltage, check. Oil pressure, check.\Temperature, check. RPMs, normal.\Nao, Good luck! -Yu\Force feedback checking program, start.\Ejection seat functional. IFF confirmed. response:	Tactical datalink, activated.
context: Smoke screen!\Right away!\Voltage, check. Oil pressure, check.\Temperature, check. RPMs, normal.\Nao, Good luck! -Yu\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical datalink, activated. response:	It's here.
context: Right away!\Voltage, check. Oil pressure, check.\Temperature, check. RPMs, normal.\Nao, Good luck! -Yu\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical datalink, activated.\It's here. response:	All systems green. Hold open.
context: Voltage, check. Oil pressure, check.\Temperature, check. RPMs, normal.\Nao, Good luck! -Yu\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical datalink, activated.\It's here.\All systems green. Hold open. response:	There's no escape.
context: Temperature, check. RPMs, normal.\Nao, Good luck! -Yu\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical datalink, activated.\It's here.\All systems green. Hold open.\There's no escape. response:	1200 meters to destination. Estimated time to rendezvous, 93 seconds.
context: Nao, Good luck! -Yu\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical datalink, activated.\It's here.\All systems green. Hold open.\There's no escape.\1200 meters to destination. Estimated time to rendezvous, 93 seconds. response:	I'll buy some time. Be quiet for a minute, okay?
context: Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical datalink, activated.\It's here.\All systems green. Hold open.\There's no escape.\1200 meters to destination. Estimated time to rendezvous, 93 seconds.\I'll buy some time. Be quiet for a minute, okay? response:	You dare mock me?!
context: Ejection seat functional. IFF confirmed.\Tactical datalink, activated.\It's here.\All systems green. Hold open.\There's no escape.\1200 meters to destination. Estimated time to rendezvous, 93 seconds.\I'll buy some time. Be quiet for a minute, okay?\You dare mock me?! response:	You've led me on quite the chase...
context: Tactical datalink, activated.\It's here.\All systems green. Hold open.\There's no escape.\1200 meters to destination. Estimated time to rendezvous, 93 seconds.\I'll buy some time. Be quiet for a minute, okay?\You dare mock me?!\You've led me on quite the chase... response:	Run, it's me he's after!
context: It's here.\All systems green. Hold open.\There's no escape.\1200 meters to destination. Estimated time to rendezvous, 93 seconds.\I'll buy some time. Be quiet for a minute, okay?\You dare mock me?!\You've led me on quite the chase...\Run, it's me he's after! response:	I will not. It is 54 seconds until our estimated rendezvous time.
context: All systems green. Hold open.\There's no escape.\1200 meters to destination. Estimated time to rendezvous, 93 seconds.\I'll buy some time. Be quiet for a minute, okay?\You dare mock me?!\You've led me on quite the chase...\Run, it's me he's after!\I will not. It is 54 seconds until our estimated rendezvous time. response:	I shall buy us that time.
context: There's no escape.\1200 meters to destination. Estimated time to rendezvous, 93 seconds.\I'll buy some time. Be quiet for a minute, okay?\You dare mock me?!\You've led me on quite the chase...\Run, it's me he's after!\I will not. It is 54 seconds until our estimated rendezvous time.\I shall buy us that time. response:	How pathetic... You are going to beg for your lives?
context: 1200 meters to destination. Estimated time to rendezvous, 93 seconds.\I'll buy some time. Be quiet for a minute, okay?\You dare mock me?!\You've led me on quite the chase...\Run, it's me he's after!\I will not. It is 54 seconds until our estimated rendezvous time.\I shall buy us that time.\How pathetic... You are going to beg for your lives? response:	Restrain yourself!
context: I'll buy some time. Be quiet for a minute, okay?\You dare mock me?!\You've led me on quite the chase...\Run, it's me he's after!\I will not. It is 54 seconds until our estimated rendezvous time.\I shall buy us that time.\How pathetic... You are going to beg for your lives?\Restrain yourself! response:	In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior!
context: You dare mock me?!\You've led me on quite the chase...\Run, it's me he's after!\I will not. It is 54 seconds until our estimated rendezvous time.\I shall buy us that time.\How pathetic... You are going to beg for your lives?\Restrain yourself!\In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior! response:	Her Highness Asseylum Vers Allusia? It can't be!
context: You've led me on quite the chase...\Run, it's me he's after!\I will not. It is 54 seconds until our estimated rendezvous time.\I shall buy us that time.\How pathetic... You are going to beg for your lives?\Restrain yourself!\In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior!\Her Highness Asseylum Vers Allusia? It can't be! response:	Leave at once, you ill-mannered ruffian!
context: Run, it's me he's after!\I will not. It is 54 seconds until our estimated rendezvous time.\I shall buy us that time.\How pathetic... You are going to beg for your lives?\Restrain yourself!\In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior!\Her Highness Asseylum Vers Allusia? It can't be!\Leave at once, you ill-mannered ruffian! response:	Impossible! That's not possible!
context: I will not. It is 54 seconds until our estimated rendezvous time.\I shall buy us that time.\How pathetic... You are going to beg for your lives?\Restrain yourself!\In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior!\Her Highness Asseylum Vers Allusia? It can't be!\Leave at once, you ill-mannered ruffian!\Impossible! That's not possible! response:	Fire all missiles! Target: enemy Martian Kataphrakt!
context: I shall buy us that time.\How pathetic... You are going to beg for your lives?\Restrain yourself!\In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior!\Her Highness Asseylum Vers Allusia? It can't be!\Leave at once, you ill-mannered ruffian!\Impossible! That's not possible!\Fire all missiles! Target: enemy Martian Kataphrakt! response:	How can you be alive?!
context: How pathetic... You are going to beg for your lives?\Restrain yourself!\In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior!\Her Highness Asseylum Vers Allusia? It can't be!\Leave at once, you ill-mannered ruffian!\Impossible! That's not possible!\Fire all missiles! Target: enemy Martian Kataphrakt!\How can you be alive?! response:	Let's see...
context: Restrain yourself!\In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior!\Her Highness Asseylum Vers Allusia? It can't be!\Leave at once, you ill-mannered ruffian!\Impossible! That's not possible!\Fire all missiles! Target: enemy Martian Kataphrakt!\How can you be alive?!\Let's see... response:	Master arm switch. Fire control. Lower dampers...
context: In the name of the Vers Princess Royal, I shall not tolerate this outrageous behavior!\Her Highness Asseylum Vers Allusia? It can't be!\Leave at once, you ill-mannered ruffian!\Impossible! That's not possible!\Fire all missiles! Target: enemy Martian Kataphrakt!\How can you be alive?!\Let's see...\Master arm switch. Fire control. Lower dampers... response:	Inko, hurry!
context: Her Highness Asseylum Vers Allusia? It can't be!\Leave at once, you ill-mannered ruffian!\Impossible! That's not possible!\Fire all missiles! Target: enemy Martian Kataphrakt!\How can you be alive?!\Let's see...\Master arm switch. Fire control. Lower dampers...\Inko, hurry! response:	Oh, fine!
context: Leave at once, you ill-mannered ruffian!\Impossible! That's not possible!\Fire all missiles! Target: enemy Martian Kataphrakt!\How can you be alive?!\Let's see...\Master arm switch. Fire control. Lower dampers...\Inko, hurry!\Oh, fine! response:	You waste your time! My Nilokeras' defenses are impregnable!
context: Impossible! That's not possible!\Fire all missiles! Target: enemy Martian Kataphrakt!\How can you be alive?!\Let's see...\Master arm switch. Fire control. Lower dampers...\Inko, hurry!\Oh, fine!\You waste your time! My Nilokeras' defenses are impregnable! response:	The likes of you could never scratch it!
context: Fire all missiles! Target: enemy Martian Kataphrakt!\How can you be alive?!\Let's see...\Master arm switch. Fire control. Lower dampers...\Inko, hurry!\Oh, fine!\You waste your time! My Nilokeras' defenses are impregnable!\The likes of you could never scratch it! response:	Targeting correction! 0-1-6, 0-1-2!
context: How can you be alive?!\Let's see...\Master arm switch. Fire control. Lower dampers...\Inko, hurry!\Oh, fine!\You waste your time! My Nilokeras' defenses are impregnable!\The likes of you could never scratch it!\Targeting correction! 0-1-6, 0-1-2! response:	Fire!
context: Let's see...\Master arm switch. Fire control. Lower dampers...\Inko, hurry!\Oh, fine!\You waste your time! My Nilokeras' defenses are impregnable!\The likes of you could never scratch it!\Targeting correction! 0-1-6, 0-1-2!\Fire! response:	Fire, fire, fire, fire, fire!
context: Master arm switch. Fire control. Lower dampers...\Inko, hurry!\Oh, fine!\You waste your time! My Nilokeras' defenses are impregnable!\The likes of you could never scratch it!\Targeting correction! 0-1-6, 0-1-2!\Fire!\Fire, fire, fire, fire, fire! response:	The water, it's...
context: Inko, hurry!\Oh, fine!\You waste your time! My Nilokeras' defenses are impregnable!\The likes of you could never scratch it!\Targeting correction! 0-1-6, 0-1-2!\Fire!\Fire, fire, fire, fire, fire!\The water, it's... response:	Why, you little...
context: Oh, fine!\You waste your time! My Nilokeras' defenses are impregnable!\The likes of you could never scratch it!\Targeting correction! 0-1-6, 0-1-2!\Fire!\Fire, fire, fire, fire, fire!\The water, it's...\Why, you little... response:	Calm.
context: You waste your time! My Nilokeras' defenses are impregnable!\The likes of you could never scratch it!\Targeting correction! 0-1-6, 0-1-2!\Fire!\Fire, fire, fire, fire, fire!\The water, it's...\Why, you little...\Calm. response:	Let's see... The soles of its feet?
context: The likes of you could never scratch it!\Targeting correction! 0-1-6, 0-1-2!\Fire!\Fire, fire, fire, fire, fire!\The water, it's...\Why, you little...\Calm.\Let's see... The soles of its feet? response:	Anything else?
context: Targeting correction! 0-1-6, 0-1-2!\Fire!\Fire, fire, fire, fire, fire!\The water, it's...\Why, you little...\Calm.\Let's see... The soles of its feet?\Anything else? response:	Found it!
context: Fire!\Fire, fire, fire, fire, fire!\The water, it's...\Why, you little...\Calm.\Let's see... The soles of its feet?\Anything else?\Found it! response:	The water isn't being sucked in!
context: Fire, fire, fire, fire, fire!\The water, it's...\Why, you little...\Calm.\Let's see... The soles of its feet?\Anything else?\Found it!\The water isn't being sucked in! response:	Rear armor! Below and to the right of the intake! The gap between the claws!
context: The water, it's...\Why, you little...\Calm.\Let's see... The soles of its feet?\Anything else?\Found it!\The water isn't being sucked in!\Rear armor! Below and to the right of the intake! The gap between the claws! response:	Impossible!
context: Why, you little...\Calm.\Let's see... The soles of its feet?\Anything else?\Found it!\The water isn't being sucked in!\Rear armor! Below and to the right of the intake! The gap between the claws!\Impossible! response:	We knew that your barrier had gaps.
context: Calm.\Let's see... The soles of its feet?\Anything else?\Found it!\The water isn't being sucked in!\Rear armor! Below and to the right of the intake! The gap between the claws!\Impossible!\We knew that your barrier had gaps. response:	Ground contact surfaces, for instance. You can't put up a barrier under your feet.
context: Let's see... The soles of its feet?\Anything else?\Found it!\The water isn't being sucked in!\Rear armor! Below and to the right of the intake! The gap between the claws!\Impossible!\We knew that your barrier had gaps.\Ground contact surfaces, for instance. You can't put up a barrier under your feet. response:	If you did, you wouldn't be able to stand.
context: Anything else?\Found it!\The water isn't being sucked in!\Rear armor! Below and to the right of the intake! The gap between the claws!\Impossible!\We knew that your barrier had gaps.\Ground contact surfaces, for instance. You can't put up a barrier under your feet.\If you did, you wouldn't be able to stand. response:	The very invincibility of your barrier makes it impossible
context: Found it!\The water isn't being sucked in!\Rear armor! Below and to the right of the intake! The gap between the claws!\Impossible!\We knew that your barrier had gaps.\Ground contact surfaces, for instance. You can't put up a barrier under your feet.\If you did, you wouldn't be able to stand.\The very invincibility of your barrier makes it impossible response:	to completely cover yourself in it.
context: The water isn't being sucked in!\Rear armor! Below and to the right of the intake! The gap between the claws!\Impossible!\We knew that your barrier had gaps.\Ground contact surfaces, for instance. You can't put up a barrier under your feet.\If you did, you wouldn't be able to stand.\The very invincibility of your barrier makes it impossible\to completely cover yourself in it. response:	The receiver for your external cameras. That's one of the barrier's gaps.
context: Rear armor! Below and to the right of the intake! The gap between the claws!\Impossible!\We knew that your barrier had gaps.\Ground contact surfaces, for instance. You can't put up a barrier under your feet.\If you did, you wouldn't be able to stand.\The very invincibility of your barrier makes it impossible\to completely cover yourself in it.\The receiver for your external cameras. That's one of the barrier's gaps. response:	This is for my friend.
context: Impossible!\We knew that your barrier had gaps.\Ground contact surfaces, for instance. You can't put up a barrier under your feet.\If you did, you wouldn't be able to stand.\The very invincibility of your barrier makes it impossible\to completely cover yourself in it.\The receiver for your external cameras. That's one of the barrier's gaps.\This is for my friend. response:	They did it?
context: We knew that your barrier had gaps.\Ground contact surfaces, for instance. You can't put up a barrier under your feet.\If you did, you wouldn't be able to stand.\The very invincibility of your barrier makes it impossible\to completely cover yourself in it.\The receiver for your external cameras. That's one of the barrier's gaps.\This is for my friend.\They did it? response:	Oh, yeah!
context: Ground contact surfaces, for instance. You can't put up a barrier under your feet.\If you did, you wouldn't be able to stand.\The very invincibility of your barrier makes it impossible\to completely cover yourself in it.\The receiver for your external cameras. That's one of the barrier's gaps.\This is for my friend.\They did it?\Oh, yeah! response:	It can't be...
context: If you did, you wouldn't be able to stand.\The very invincibility of your barrier makes it impossible\to completely cover yourself in it.\The receiver for your external cameras. That's one of the barrier's gaps.\This is for my friend.\They did it?\Oh, yeah!\It can't be... response:	The Martian princess...
context: The very invincibility of your barrier makes it impossible\to completely cover yourself in it.\The receiver for your external cameras. That's one of the barrier's gaps.\This is for my friend.\They did it?\Oh, yeah!\It can't be...\The Martian princess... response:	Sir Trillram! You're alive!
context: to completely cover yourself in it.\The receiver for your external cameras. That's one of the barrier's gaps.\This is for my friend.\They did it?\Oh, yeah!\It can't be...\The Martian princess...\Sir Trillram! You're alive! response:	Are you being sarcastic?! Where have you been all this time?
context: The receiver for your external cameras. That's one of the barrier's gaps.\This is for my friend.\They did it?\Oh, yeah!\It can't be...\The Martian princess...\Sir Trillram! You're alive!\Are you being sarcastic?! Where have you been all this time? response:	I have been making temporary repairs to the sky carrier...
context: This is for my friend.\They did it?\Oh, yeah!\It can't be...\The Martian princess...\Sir Trillram! You're alive!\Are you being sarcastic?! Where have you been all this time?\I have been making temporary repairs to the sky carrier... response:	Take me to it! We're leaving this place right now!
context: They did it?\Oh, yeah!\It can't be...\The Martian princess...\Sir Trillram! You're alive!\Are you being sarcastic?! Where have you been all this time?\I have been making temporary repairs to the sky carrier...\Take me to it! We're leaving this place right now! response:	Sir, wait! Princess Asseylum... She is alive! I don't understand!
context: Oh, yeah!\It can't be...\The Martian princess...\Sir Trillram! You're alive!\Are you being sarcastic?! Where have you been all this time?\I have been making temporary repairs to the sky carrier...\Take me to it! We're leaving this place right now!\Sir, wait! Princess Asseylum... She is alive! I don't understand! response:	I know she is!
context: It can't be...\The Martian princess...\Sir Trillram! You're alive!\Are you being sarcastic?! Where have you been all this time?\I have been making temporary repairs to the sky carrier...\Take me to it! We're leaving this place right now!\Sir, wait! Princess Asseylum... She is alive! I don't understand!\I know she is! response:	That's why I'm going to kill her and make certain this time!
context: The Martian princess...\Sir Trillram! You're alive!\Are you being sarcastic?! Where have you been all this time?\I have been making temporary repairs to the sky carrier...\Take me to it! We're leaving this place right now!\Sir, wait! Princess Asseylum... She is alive! I don't understand!\I know she is!\That's why I'm going to kill her and make certain this time! response:	How big a fool are you, you inferior scum?
context: Sir Trillram! You're alive!\Are you being sarcastic?! Where have you been all this time?\I have been making temporary repairs to the sky carrier...\Take me to it! We're leaving this place right now!\Sir, wait! Princess Asseylum... She is alive! I don't understand!\I know she is!\That's why I'm going to kill her and make certain this time!\How big a fool are you, you inferior scum? response:	If I let her live, my entire clan and its followers will be branded as traitors!
context: Are you being sarcastic?! Where have you been all this time?\I have been making temporary repairs to the sky carrier...\Take me to it! We're leaving this place right now!\Sir, wait! Princess Asseylum... She is alive! I don't understand!\I know she is!\That's why I'm going to kill her and make certain this time!\How big a fool are you, you inferior scum?\If I let her live, my entire clan and its followers will be branded as traitors! response:	Let's go.
context: I have been making temporary repairs to the sky carrier...\Take me to it! We're leaving this place right now!\Sir, wait! Princess Asseylum... She is alive! I don't understand!\I know she is!\That's why I'm going to kill her and make certain this time!\How big a fool are you, you inferior scum?\If I let her live, my entire clan and its followers will be branded as traitors!\Let's go. response:	You bastard, what do you think you're doing?
context: Take me to it! We're leaving this place right now!\Sir, wait! Princess Asseylum... She is alive! I don't understand!\I know she is!\That's why I'm going to kill her and make certain this time!\How big a fool are you, you inferior scum?\If I let her live, my entire clan and its followers will be branded as traitors!\Let's go.\You bastard, what do you think you're doing? response:	Give me tha-
context: Sir, wait! Princess Asseylum... She is alive! I don't understand!\I know she is!\That's why I'm going to kill her and make certain this time!\How big a fool are you, you inferior scum?\If I let her live, my entire clan and its followers will be branded as traitors!\Let's go.\You bastard, what do you think you're doing?\Give me tha- response:	That parade, it was you...
context: I know she is!\That's why I'm going to kill her and make certain this time!\How big a fool are you, you inferior scum?\If I let her live, my entire clan and its followers will be branded as traitors!\Let's go.\You bastard, what do you think you're doing?\Give me tha-\That parade, it was you... response:	You were the ones who tried to assassinate the Princess!
context: That's why I'm going to kill her and make certain this time!\How big a fool are you, you inferior scum?\If I let her live, my entire clan and its followers will be branded as traitors!\Let's go.\You bastard, what do you think you're doing?\Give me tha-\That parade, it was you...\You were the ones who tried to assassinate the Princess! response:	You'll... regret this...
