context: *Episode 2 seating change response:	*Take me
context: You're right, they're good.\I'm hungry.\You just had lunch.\I'm hun\I'm...\so glad...\I got this seat.\I'm so happy, response:	from the bottom of my heart!
context: I'm hungry.\You just had lunch.\I'm hun\I'm...\so glad...\I got this seat.\I'm so happy,\from the bottom of my heart! response:	Kuronuma.
context: You just had lunch.\I'm hun\I'm...\so glad...\I got this seat.\I'm so happy,\from the bottom of my heart!\Kuronuma. response:	You're not crying.
context: I'm hun\I'm...\so glad...\I got this seat.\I'm so happy,\from the bottom of my heart!\Kuronuma.\You're not crying. response:	H-How embarrassing.
context: I'm...\so glad...\I got this seat.\I'm so happy,\from the bottom of my heart!\Kuronuma.\You're not crying.\H-How embarrassing. response:	Embarrassing, huh?
context: so glad...\I got this seat.\I'm so happy,\from the bottom of my heart!\Kuronuma.\You're not crying.\H-How embarrassing.\Embarrassing, huh? response:	I see.
context: I got this seat.\I'm so happy,\from the bottom of my heart!\Kuronuma.\You're not crying.\H-How embarrassing.\Embarrassing, huh?\I see. response:	I work so hard to bring down the wall,
context: I'm so happy,\from the bottom of my heart!\Kuronuma.\You're not crying.\H-How embarrassing.\Embarrassing, huh?\I see.\I work so hard to bring down the wall, response:	but he breaks it down with nothing but a smile.
context: from the bottom of my heart!\Kuronuma.\You're not crying.\H-How embarrassing.\Embarrassing, huh?\I see.\I work so hard to bring down the wall,\but he breaks it down with nothing but a smile. response:	Isn't that Kazehaya and Sadako?
context: Kuronuma.\You're not crying.\H-How embarrassing.\Embarrassing, huh?\I see.\I work so hard to bring down the wall,\but he breaks it down with nothing but a smile.\Isn't that Kazehaya and Sadako? response:	Aren't they together a lot lately?
context: You're not crying.\H-How embarrassing.\Embarrassing, huh?\I see.\I work so hard to bring down the wall,\but he breaks it down with nothing but a smile.\Isn't that Kazehaya and Sadako?\Aren't they together a lot lately? response:	I wonder if Sadako really did get rejected.
context: H-How embarrassing.\Embarrassing, huh?\I see.\I work so hard to bring down the wall,\but he breaks it down with nothing but a smile.\Isn't that Kazehaya and Sadako?\Aren't they together a lot lately?\I wonder if Sadako really did get rejected. response:	See you tomorrow.
context: Embarrassing, huh?\I see.\I work so hard to bring down the wall,\but he breaks it down with nothing but a smile.\Isn't that Kazehaya and Sadako?\Aren't they together a lot lately?\I wonder if Sadako really did get rejected.\See you tomorrow. response:	I still respect him and admire him.
context: I see.\I work so hard to bring down the wall,\but he breaks it down with nothing but a smile.\Isn't that Kazehaya and Sadako?\Aren't they together a lot lately?\I wonder if Sadako really did get rejected.\See you tomorrow.\I still respect him and admire him. response:	That hasn't changed.
context: I work so hard to bring down the wall,\but he breaks it down with nothing but a smile.\Isn't that Kazehaya and Sadako?\Aren't they together a lot lately?\I wonder if Sadako really did get rejected.\See you tomorrow.\I still respect him and admire him.\That hasn't changed. response:	But...
context: but he breaks it down with nothing but a smile.\Isn't that Kazehaya and Sadako?\Aren't they together a lot lately?\I wonder if Sadako really did get rejected.\See you tomorrow.\I still respect him and admire him.\That hasn't changed.\But... response:	Since when did it become a lot more than that...
context: Isn't that Kazehaya and Sadako?\Aren't they together a lot lately?\I wonder if Sadako really did get rejected.\See you tomorrow.\I still respect him and admire him.\That hasn't changed.\But...\Since when did it become a lot more than that... response:	that I started really liking him?
context: Aren't they together a lot lately?\I wonder if Sadako really did get rejected.\See you tomorrow.\I still respect him and admire him.\That hasn't changed.\But...\Since when did it become a lot more than that...\that I started really liking him? response:	New seating arrangements.
context: I wonder if Sadako really did get rejected.\See you tomorrow.\I still respect him and admire him.\That hasn't changed.\But...\Since when did it become a lot more than that...\that I started really liking him?\New seating arrangements. response:	My dreams are becoming a reality.
context: See you tomorrow.\I still respect him and admire him.\That hasn't changed.\But...\Since when did it become a lot more than that...\that I started really liking him?\New seating arrangements.\My dreams are becoming a reality. response:	Next episode: After School
