context: Pre! Preparation! response:	I'm not strong
context: You've lifted your foot already, right?\You lifted it because you wanted to move forward, right?\So what other choice do you have,\but to take a step forward?!\Don't slack off.\I'll be watching what sort of student council president you become.\What was that?\Takasu, what time is it now? response:	3:58.
context: You lifted it because you wanted to move forward, right?\So what other choice do you have,\but to take a step forward?!\Don't slack off.\I'll be watching what sort of student council president you become.\What was that?\Takasu, what time is it now?\3:58. response:	A superstar always appears at the last moment, right?
context: So what other choice do you have,\but to take a step forward?!\Don't slack off.\I'll be watching what sort of student council president you become.\What was that?\Takasu, what time is it now?\3:58.\A superstar always appears at the last moment, right? response:	I'm sorry, I have something important to do.
context: but to take a step forward?!\Don't slack off.\I'll be watching what sort of student council president you become.\What was that?\Takasu, what time is it now?\3:58.\A superstar always appears at the last moment, right?\I'm sorry, I have something important to do. response:	Yeah.
context: Don't slack off.\I'll be watching what sort of student council president you become.\What was that?\Takasu, what time is it now?\3:58.\A superstar always appears at the last moment, right?\I'm sorry, I have something important to do.\Yeah. response:	Now the candidates running for student council president will give their speeches.
context: I'll be watching what sort of student council president you become.\What was that?\Takasu, what time is it now?\3:58.\A superstar always appears at the last moment, right?\I'm sorry, I have something important to do.\Yeah.\Now the candidates running for student council president will give their speeches. response:	Because the other candidate forfeited,
context: What was that?\Takasu, what time is it now?\3:58.\A superstar always appears at the last moment, right?\I'm sorry, I have something important to do.\Yeah.\Now the candidates running for student council president will give their speeches.\Because the other candidate forfeited, response:	the only candidate is Kitamura Yuusaku-san from Class 2-C.
context: Takasu, what time is it now?\3:58.\A superstar always appears at the last moment, right?\I'm sorry, I have something important to do.\Yeah.\Now the candidates running for student council president will give their speeches.\Because the other candidate forfeited,\the only candidate is Kitamura Yuusaku-san from Class 2-C. response:	As you have heard, I am Kitamura Yuusaku.
context: 3:58.\A superstar always appears at the last moment, right?\I'm sorry, I have something important to do.\Yeah.\Now the candidates running for student council president will give their speeches.\Because the other candidate forfeited,\the only candidate is Kitamura Yuusaku-san from Class 2-C.\As you have heard, I am Kitamura Yuusaku. response:	I am...
context: A superstar always appears at the last moment, right?\I'm sorry, I have something important to do.\Yeah.\Now the candidates running for student council president will give their speeches.\Because the other candidate forfeited,\the only candidate is Kitamura Yuusaku-san from Class 2-C.\As you have heard, I am Kitamura Yuusaku.\I am... response:	No...
context: I'm sorry, I have something important to do.\Yeah.\Now the candidates running for student council president will give their speeches.\Because the other candidate forfeited,\the only candidate is Kitamura Yuusaku-san from Class 2-C.\As you have heard, I am Kitamura Yuusaku.\I am...\No... response:	President, I...
context: Yeah.\Now the candidates running for student council president will give their speeches.\Because the other candidate forfeited,\the only candidate is Kitamura Yuusaku-san from Class 2-C.\As you have heard, I am Kitamura Yuusaku.\I am...\No...\President, I... response:	I'm standing here today because I fell in love with you!
context: Now the candidates running for student council president will give their speeches.\Because the other candidate forfeited,\the only candidate is Kitamura Yuusaku-san from Class 2-C.\As you have heard, I am Kitamura Yuusaku.\I am...\No...\President, I...\I'm standing here today because I fell in love with you! response:	I want to confirm your feelings before you leave!
context: Because the other candidate forfeited,\the only candidate is Kitamura Yuusaku-san from Class 2-C.\As you have heard, I am Kitamura Yuusaku.\I am...\No...\President, I...\I'm standing here today because I fell in love with you!\I want to confirm your feelings before you leave! response:	Do I really have no hope at all?
context: the only candidate is Kitamura Yuusaku-san from Class 2-C.\As you have heard, I am Kitamura Yuusaku.\I am...\No...\President, I...\I'm standing here today because I fell in love with you!\I want to confirm your feelings before you leave!\Do I really have no hope at all? response:	Are we not bonded by a special fate?!
context: As you have heard, I am Kitamura Yuusaku.\I am...\No...\President, I...\I'm standing here today because I fell in love with you!\I want to confirm your feelings before you leave!\Do I really have no hope at all?\Are we not bonded by a special fate?! response:	Please answer me!
context: I am...\No...\President, I...\I'm standing here today because I fell in love with you!\I want to confirm your feelings before you leave!\Do I really have no hope at all?\Are we not bonded by a special fate?!\Please answer me! response:	Wasn't that a confession?
context: No...\President, I...\I'm standing here today because I fell in love with you!\I want to confirm your feelings before you leave!\Do I really have no hope at all?\Are we not bonded by a special fate?!\Please answer me!\Wasn't that a confession? response:	Kanou, answer him!
context: President, I...\I'm standing here today because I fell in love with you!\I want to confirm your feelings before you leave!\Do I really have no hope at all?\Are we not bonded by a special fate?!\Please answer me!\Wasn't that a confession?\Kanou, answer him! response:	Yeah! You should give him an answer!
context: I'm standing here today because I fell in love with you!\I want to confirm your feelings before you leave!\Do I really have no hope at all?\Are we not bonded by a special fate?!\Please answer me!\Wasn't that a confession?\Kanou, answer him!\Yeah! You should give him an answer! response:	Go, Kanou-san!
context: I want to confirm your feelings before you leave!\Do I really have no hope at all?\Are we not bonded by a special fate?!\Please answer me!\Wasn't that a confession?\Kanou, answer him!\Yeah! You should give him an answer!\Go, Kanou-san! response:	So?
context: Do I really have no hope at all?\Are we not bonded by a special fate?!\Please answer me!\Wasn't that a confession?\Kanou, answer him!\Yeah! You should give him an answer!\Go, Kanou-san!\So? response:	Just as you see,
context: Are we not bonded by a special fate?!\Please answer me!\Wasn't that a confession?\Kanou, answer him!\Yeah! You should give him an answer!\Go, Kanou-san!\So?\Just as you see, response:	that is the vice-president, Kitamura Yuusaku, you know.
context: Please answer me!\Wasn't that a confession?\Kanou, answer him!\Yeah! You should give him an answer!\Go, Kanou-san!\So?\Just as you see,\that is the vice-president, Kitamura Yuusaku, you know. response:	He's interesting, right?
context: Wasn't that a confession?\Kanou, answer him!\Yeah! You should give him an answer!\Go, Kanou-san!\So?\Just as you see,\that is the vice-president, Kitamura Yuusaku, you know.\He's interesting, right? response:	If someone as interesting as him becomes the president,
context: Kanou, answer him!\Yeah! You should give him an answer!\Go, Kanou-san!\So?\Just as you see,\that is the vice-president, Kitamura Yuusaku, you know.\He's interesting, right?\If someone as interesting as him becomes the president, response:	this school will definitely become interesting too.
context: Yeah! You should give him an answer!\Go, Kanou-san!\So?\Just as you see,\that is the vice-president, Kitamura Yuusaku, you know.\He's interesting, right?\If someone as interesting as him becomes the president,\this school will definitely become interesting too. response:	Everyone, please give your precious vote to that interesting guy over there!
context: Go, Kanou-san!\So?\Just as you see,\that is the vice-president, Kitamura Yuusaku, you know.\He's interesting, right?\If someone as interesting as him becomes the president,\this school will definitely become interesting too.\Everyone, please give your precious vote to that interesting guy over there! response:	Kanou-senpai!
context: So?\Just as you see,\that is the vice-president, Kitamura Yuusaku, you know.\He's interesting, right?\If someone as interesting as him becomes the president,\this school will definitely become interesting too.\Everyone, please give your precious vote to that interesting guy over there!\Kanou-senpai! response:	Why didn't you answer him properly?
context: Just as you see,\that is the vice-president, Kitamura Yuusaku, you know.\He's interesting, right?\If someone as interesting as him becomes the president,\this school will definitely become interesting too.\Everyone, please give your precious vote to that interesting guy over there!\Kanou-senpai!\Why didn't you answer him properly? response:	Didn't you tell Kitamura to move forward yesterday?
context: that is the vice-president, Kitamura Yuusaku, you know.\He's interesting, right?\If someone as interesting as him becomes the president,\this school will definitely become interesting too.\Everyone, please give your precious vote to that interesting guy over there!\Kanou-senpai!\Why didn't you answer him properly?\Didn't you tell Kitamura to move forward yesterday? response:	Yet, why?
context: He's interesting, right?\If someone as interesting as him becomes the president,\this school will definitely become interesting too.\Everyone, please give your precious vote to that interesting guy over there!\Kanou-senpai!\Why didn't you answer him properly?\Didn't you tell Kitamura to move forward yesterday?\Yet, why? response:	I told him to become a candidate.
context: If someone as interesting as him becomes the president,\this school will definitely become interesting too.\Everyone, please give your precious vote to that interesting guy over there!\Kanou-senpai!\Why didn't you answer him properly?\Didn't you tell Kitamura to move forward yesterday?\Yet, why?\I told him to become a candidate. response:	I didn't tell him to confess.
context: this school will definitely become interesting too.\Everyone, please give your precious vote to that interesting guy over there!\Kanou-senpai!\Why didn't you answer him properly?\Didn't you tell Kitamura to move forward yesterday?\Yet, why?\I told him to become a candidate.\I didn't tell him to confess. response:	Are you running away?!
context: Everyone, please give your precious vote to that interesting guy over there!\Kanou-senpai!\Why didn't you answer him properly?\Didn't you tell Kitamura to move forward yesterday?\Yet, why?\I told him to become a candidate.\I didn't tell him to confess.\Are you running away?! response:	Walking forward like an idiot is what they call clumsy.
context: Kanou-senpai!\Why didn't you answer him properly?\Didn't you tell Kitamura to move forward yesterday?\Yet, why?\I told him to become a candidate.\I didn't tell him to confess.\Are you running away?!\Walking forward like an idiot is what they call clumsy. response:	Kitamura needs to learn how to live his life wisely.
context: Why didn't you answer him properly?\Didn't you tell Kitamura to move forward yesterday?\Yet, why?\I told him to become a candidate.\I didn't tell him to confess.\Are you running away?!\Walking forward like an idiot is what they call clumsy.\Kitamura needs to learn how to live his life wisely. response:	You really are a good friend.
context: Didn't you tell Kitamura to move forward yesterday?\Yet, why?\I told him to become a candidate.\I didn't tell him to confess.\Are you running away?!\Walking forward like an idiot is what they call clumsy.\Kitamura needs to learn how to live his life wisely.\You really are a good friend. response:	Stay good friends with Kitamura.
context: Yet, why?\I told him to become a candidate.\I didn't tell him to confess.\Are you running away?!\Walking forward like an idiot is what they call clumsy.\Kitamura needs to learn how to live his life wisely.\You really are a good friend.\Stay good friends with Kitamura. response:	Wai - I'm not finished yet!
context: I told him to become a candidate.\I didn't tell him to confess.\Are you running away?!\Walking forward like an idiot is what they call clumsy.\Kitamura needs to learn how to live his life wisely.\You really are a good friend.\Stay good friends with Kitamura.\Wai - I'm not finished yet! response:	Taiga?
context: I didn't tell him to confess.\Are you running away?!\Walking forward like an idiot is what they call clumsy.\Kitamura needs to learn how to live his life wisely.\You really are a good friend.\Stay good friends with Kitamura.\Wai - I'm not finished yet!\Taiga? response:	Kitamura-kun is crying.
context: Are you running away?!\Walking forward like an idiot is what they call clumsy.\Kitamura needs to learn how to live his life wisely.\You really are a good friend.\Stay good friends with Kitamura.\Wai - I'm not finished yet!\Taiga?\Kitamura-kun is crying. response:	Please Ryuuji, stay by his side.
context: Walking forward like an idiot is what they call clumsy.\Kitamura needs to learn how to live his life wisely.\You really are a good friend.\Stay good friends with Kitamura.\Wai - I'm not finished yet!\Taiga?\Kitamura-kun is crying.\Please Ryuuji, stay by his side. response:	I'm no help.
context: Kitamura needs to learn how to live his life wisely.\You really are a good friend.\Stay good friends with Kitamura.\Wai - I'm not finished yet!\Taiga?\Kitamura-kun is crying.\Please Ryuuji, stay by his side.\I'm no help. response:	I can't stay and comfort him.
context: You really are a good friend.\Stay good friends with Kitamura.\Wai - I'm not finished yet!\Taiga?\Kitamura-kun is crying.\Please Ryuuji, stay by his side.\I'm no help.\I can't stay and comfort him. response:	What about you?
context: Stay good friends with Kitamura.\Wai - I'm not finished yet!\Taiga?\Kitamura-kun is crying.\Please Ryuuji, stay by his side.\I'm no help.\I can't stay and comfort him.\What about you? response:	I'm all right.
context: Wai - I'm not finished yet!\Taiga?\Kitamura-kun is crying.\Please Ryuuji, stay by his side.\I'm no help.\I can't stay and comfort him.\What about you?\I'm all right. response:	I'm really all right.
context: Taiga?\Kitamura-kun is crying.\Please Ryuuji, stay by his side.\I'm no help.\I can't stay and comfort him.\What about you?\I'm all right.\I'm really all right. response:	So please go back to Kitamura-kun's side.
context: Kitamura-kun is crying.\Please Ryuuji, stay by his side.\I'm no help.\I can't stay and comfort him.\What about you?\I'm all right.\I'm really all right.\So please go back to Kitamura-kun's side. response:	But...
context: Please Ryuuji, stay by his side.\I'm no help.\I can't stay and comfort him.\What about you?\I'm all right.\I'm really all right.\So please go back to Kitamura-kun's side.\But... response:	Go!
context: I'm no help.\I can't stay and comfort him.\What about you?\I'm all right.\I'm really all right.\So please go back to Kitamura-kun's side.\But...\Go! response:	The thing you wish for the most is something you'll never get.
context: I can't stay and comfort him.\What about you?\I'm all right.\I'm really all right.\So please go back to Kitamura-kun's side.\But...\Go!\The thing you wish for the most is something you'll never get. response:	When I came to understand that, I didn't know what to do.
context: What about you?\I'm all right.\I'm really all right.\So please go back to Kitamura-kun's side.\But...\Go!\The thing you wish for the most is something you'll never get.\When I came to understand that, I didn't know what to do. response:	At that time, Kitamura-kun smiled and held my hand.
context: I'm all right.\I'm really all right.\So please go back to Kitamura-kun's side.\But...\Go!\The thing you wish for the most is something you'll never get.\When I came to understand that, I didn't know what to do.\At that time, Kitamura-kun smiled and held my hand. response:	He's such a kind person.
context: I'm really all right.\So please go back to Kitamura-kun's side.\But...\Go!\The thing you wish for the most is something you'll never get.\When I came to understand that, I didn't know what to do.\At that time, Kitamura-kun smiled and held my hand.\He's such a kind person. response:	I cannot show him how grateful I am with a simple thank you.
context: So please go back to Kitamura-kun's side.\But...\Go!\The thing you wish for the most is something you'll never get.\When I came to understand that, I didn't know what to do.\At that time, Kitamura-kun smiled and held my hand.\He's such a kind person.\I cannot show him how grateful I am with a simple thank you. response:	I understand the one he likes isn't me;
context: But...\Go!\The thing you wish for the most is something you'll never get.\When I came to understand that, I didn't know what to do.\At that time, Kitamura-kun smiled and held my hand.\He's such a kind person.\I cannot show him how grateful I am with a simple thank you.\I understand the one he likes isn't me; response:	however,
context: Go!\The thing you wish for the most is something you'll never get.\When I came to understand that, I didn't know what to do.\At that time, Kitamura-kun smiled and held my hand.\He's such a kind person.\I cannot show him how grateful I am with a simple thank you.\I understand the one he likes isn't me;\however, response:	I want to do what I can for him.
context: The thing you wish for the most is something you'll never get.\When I came to understand that, I didn't know what to do.\At that time, Kitamura-kun smiled and held my hand.\He's such a kind person.\I cannot show him how grateful I am with a simple thank you.\I understand the one he likes isn't me;\however,\I want to do what I can for him. response:	Just like he did for me.
context: When I came to understand that, I didn't know what to do.\At that time, Kitamura-kun smiled and held my hand.\He's such a kind person.\I cannot show him how grateful I am with a simple thank you.\I understand the one he likes isn't me;\however,\I want to do what I can for him.\Just like he did for me. response:	Kanou...
context: At that time, Kitamura-kun smiled and held my hand.\He's such a kind person.\I cannot show him how grateful I am with a simple thank you.\I understand the one he likes isn't me;\however,\I want to do what I can for him.\Just like he did for me.\Kanou... response:	What's going on?
context: He's such a kind person.\I cannot show him how grateful I am with a simple thank you.\I understand the one he likes isn't me;\however,\I want to do what I can for him.\Just like he did for me.\Kanou...\What's going on? response:	It's the Palmtop Tiger?
context: I cannot show him how grateful I am with a simple thank you.\I understand the one he likes isn't me;\however,\I want to do what I can for him.\Just like he did for me.\Kanou...\What's going on?\It's the Palmtop Tiger? response:	Why is she here?
context: I understand the one he likes isn't me;\however,\I want to do what I can for him.\Just like he did for me.\Kanou...\What's going on?\It's the Palmtop Tiger?\Why is she here? response:	Am I doing something wrong?
context: however,\I want to do what I can for him.\Just like he did for me.\Kanou...\What's going on?\It's the Palmtop Tiger?\Why is she here?\Am I doing something wrong? response:	Fight me!
context: I want to do what I can for him.\Just like he did for me.\Kanou...\What's going on?\It's the Palmtop Tiger?\Why is she here?\Am I doing something wrong?\Fight me! response:	So there's still an idiot left.
context: Just like he did for me.\Kanou...\What's going on?\It's the Palmtop Tiger?\Why is she here?\Am I doing something wrong?\Fight me!\So there's still an idiot left. response:	Fine, I'll fight you.
context: Kanou...\What's going on?\It's the Palmtop Tiger?\Why is she here?\Am I doing something wrong?\Fight me!\So there's still an idiot left.\Fine, I'll fight you. response:	I'm not in a good mood, anyway.
context: What's going on?\It's the Palmtop Tiger?\Why is she here?\Am I doing something wrong?\Fight me!\So there's still an idiot left.\Fine, I'll fight you.\I'm not in a good mood, anyway. response:	Kendo club guys, lend me a sword.
context: It's the Palmtop Tiger?\Why is she here?\Am I doing something wrong?\Fight me!\So there's still an idiot left.\Fine, I'll fight you.\I'm not in a good mood, anyway.\Kendo club guys, lend me a sword. response:	I don't understand who's wrong and who isn't.
context: Why is she here?\Am I doing something wrong?\Fight me!\So there's still an idiot left.\Fine, I'll fight you.\I'm not in a good mood, anyway.\Kendo club guys, lend me a sword.\I don't understand who's wrong and who isn't. response:	Sure.
context: Am I doing something wrong?\Fight me!\So there's still an idiot left.\Fine, I'll fight you.\I'm not in a good mood, anyway.\Kendo club guys, lend me a sword.\I don't understand who's wrong and who isn't.\Sure. response:	All I know is,
context: Fight me!\So there's still an idiot left.\Fine, I'll fight you.\I'm not in a good mood, anyway.\Kendo club guys, lend me a sword.\I don't understand who's wrong and who isn't.\Sure.\All I know is, response:	I can't stop moving forward!
context: So there's still an idiot left.\Fine, I'll fight you.\I'm not in a good mood, anyway.\Kendo club guys, lend me a sword.\I don't understand who's wrong and who isn't.\Sure.\All I know is,\I can't stop moving forward! response:	Takasu, are you here?
context: Fine, I'll fight you.\I'm not in a good mood, anyway.\Kendo club guys, lend me a sword.\I don't understand who's wrong and who isn't.\Sure.\All I know is,\I can't stop moving forward!\Takasu, are you here? response:	Hurry up!
context: I'm not in a good mood, anyway.\Kendo club guys, lend me a sword.\I don't understand who's wrong and who isn't.\Sure.\All I know is,\I can't stop moving forward!\Takasu, are you here?\Hurry up! response:	The Palmtop Tiger is...
context: Kendo club guys, lend me a sword.\I don't understand who's wrong and who isn't.\Sure.\All I know is,\I can't stop moving forward!\Takasu, are you here?\Hurry up!\The Palmtop Tiger is... response:	You dumbasses!
context: I don't understand who's wrong and who isn't.\Sure.\All I know is,\I can't stop moving forward!\Takasu, are you here?\Hurry up!\The Palmtop Tiger is...\You dumbasses! response:	Shut the hell up!
context: Sure.\All I know is,\I can't stop moving forward!\Takasu, are you here?\Hurry up!\The Palmtop Tiger is...\You dumbasses!\Shut the hell up! response:	You're a coward!
context: All I know is,\I can't stop moving forward!\Takasu, are you here?\Hurry up!\The Palmtop Tiger is...\You dumbasses!\Shut the hell up!\You're a coward! response:	You're just afraid that you'll hurt others or get hurt yourself.
context: I can't stop moving forward!\Takasu, are you here?\Hurry up!\The Palmtop Tiger is...\You dumbasses!\Shut the hell up!\You're a coward!\You're just afraid that you'll hurt others or get hurt yourself. response:	Because of your cowardice and foulness,
context: Takasu, are you here?\Hurry up!\The Palmtop Tiger is...\You dumbasses!\Shut the hell up!\You're a coward!\You're just afraid that you'll hurt others or get hurt yourself.\Because of your cowardice and foulness, response:	you hurt Kitamura-kun!
context: Hurry up!\The Palmtop Tiger is...\You dumbasses!\Shut the hell up!\You're a coward!\You're just afraid that you'll hurt others or get hurt yourself.\Because of your cowardice and foulness,\you hurt Kitamura-kun! response:	Unforgivable!
context: The Palmtop Tiger is...\You dumbasses!\Shut the hell up!\You're a coward!\You're just afraid that you'll hurt others or get hurt yourself.\Because of your cowardice and foulness,\you hurt Kitamura-kun!\Unforgivable! response:	I'll never forgive you!
context: You dumbasses!\Shut the hell up!\You're a coward!\You're just afraid that you'll hurt others or get hurt yourself.\Because of your cowardice and foulness,\you hurt Kitamura-kun!\Unforgivable!\I'll never forgive you! response:	Cut it out, Taiga!
context: Shut the hell up!\You're a coward!\You're just afraid that you'll hurt others or get hurt yourself.\Because of your cowardice and foulness,\you hurt Kitamura-kun!\Unforgivable!\I'll never forgive you!\Cut it out, Taiga! response:	Let go!
context: You're a coward!\You're just afraid that you'll hurt others or get hurt yourself.\Because of your cowardice and foulness,\you hurt Kitamura-kun!\Unforgivable!\I'll never forgive you!\Cut it out, Taiga!\Let go! response:	Oh my god, what's going on?
context: You're just afraid that you'll hurt others or get hurt yourself.\Because of your cowardice and foulness,\you hurt Kitamura-kun!\Unforgivable!\I'll never forgive you!\Cut it out, Taiga!\Let go!\Oh my god, what's going on? response:	Taiga!
context: Because of your cowardice and foulness,\you hurt Kitamura-kun!\Unforgivable!\I'll never forgive you!\Cut it out, Taiga!\Let go!\Oh my god, what's going on?\Taiga! response:	You're just cowardly and foul!
context: you hurt Kitamura-kun!\Unforgivable!\I'll never forgive you!\Cut it out, Taiga!\Let go!\Oh my god, what's going on?\Taiga!\You're just cowardly and foul! response:	You're just a weakling who can't face her own feelings!
context: Unforgivable!\I'll never forgive you!\Cut it out, Taiga!\Let go!\Oh my god, what's going on?\Taiga!\You're just cowardly and foul!\You're just a weakling who can't face her own feelings! response:	So what if I'm a weakling?!
context: I'll never forgive you!\Cut it out, Taiga!\Let go!\Oh my god, what's going on?\Taiga!\You're just cowardly and foul!\You're just a weakling who can't face her own feelings!\So what if I'm a weakling?! response:	You're just a violent bitch!
context: Cut it out, Taiga!\Let go!\Oh my god, what's going on?\Taiga!\You're just cowardly and foul!\You're just a weakling who can't face her own feelings!\So what if I'm a weakling?!\You're just a violent bitch! response:	That's nothing compared to you!
context: Let go!\Oh my god, what's going on?\Taiga!\You're just cowardly and foul!\You're just a weakling who can't face her own feelings!\So what if I'm a weakling?!\You're just a violent bitch!\That's nothing compared to you! response:	Show me!
context: Oh my god, what's going on?\Taiga!\You're just cowardly and foul!\You're just a weakling who can't face her own feelings!\So what if I'm a weakling?!\You're just a violent bitch!\That's nothing compared to you!\Show me! response:	If you can't accept Kitamura-kun's feelings,
context: Taiga!\You're just cowardly and foul!\You're just a weakling who can't face her own feelings!\So what if I'm a weakling?!\You're just a violent bitch!\That's nothing compared to you!\Show me!\If you can't accept Kitamura-kun's feelings, response:	then say you hate him!
context: You're just cowardly and foul!\You're just a weakling who can't face her own feelings!\So what if I'm a weakling?!\You're just a violent bitch!\That's nothing compared to you!\Show me!\If you can't accept Kitamura-kun's feelings,\then say you hate him! response:	Say it!
context: You're just a weakling who can't face her own feelings!\So what if I'm a weakling?!\You're just a violent bitch!\That's nothing compared to you!\Show me!\If you can't accept Kitamura-kun's feelings,\then say you hate him!\Say it! response:	What do you understand about me?!
context: So what if I'm a weakling?!\You're just a violent bitch!\That's nothing compared to you!\Show me!\If you can't accept Kitamura-kun's feelings,\then say you hate him!\Say it!\What do you understand about me?! response:	If I could become an idiot like you, I would!
context: You're just a violent bitch!\That's nothing compared to you!\Show me!\If you can't accept Kitamura-kun's feelings,\then say you hate him!\Say it!\What do you understand about me?!\If I could become an idiot like you, I would! response:	I also want to be an idiot who only knows how to dash forward!
context: That's nothing compared to you!\Show me!\If you can't accept Kitamura-kun's feelings,\then say you hate him!\Say it!\What do you understand about me?!\If I could become an idiot like you, I would!\I also want to be an idiot who only knows how to dash forward! response:	If I say I like him, he'll follow me, right?!
context: Show me!\If you can't accept Kitamura-kun's feelings,\then say you hate him!\Say it!\What do you understand about me?!\If I could become an idiot like you, I would!\I also want to be an idiot who only knows how to dash forward!\If I say I like him, he'll follow me, right?! response:	If he knew I wanted him to follow me, he'd do it, right?!
context: If you can't accept Kitamura-kun's feelings,\then say you hate him!\Say it!\What do you understand about me?!\If I could become an idiot like you, I would!\I also want to be an idiot who only knows how to dash forward!\If I say I like him, he'll follow me, right?!\If he knew I wanted him to follow me, he'd do it, right?! response:	He's the type of person who would sacrifice anything for it!
context: then say you hate him!\Say it!\What do you understand about me?!\If I could become an idiot like you, I would!\I also want to be an idiot who only knows how to dash forward!\If I say I like him, he'll follow me, right?!\If he knew I wanted him to follow me, he'd do it, right?!\He's the type of person who would sacrifice anything for it! response:	That's why...
context: Say it!\What do you understand about me?!\If I could become an idiot like you, I would!\I also want to be an idiot who only knows how to dash forward!\If I say I like him, he'll follow me, right?!\If he knew I wanted him to follow me, he'd do it, right?!\He's the type of person who would sacrifice anything for it!\That's why... response:	That's why I can't be an idiot!
context: What do you understand about me?!\If I could become an idiot like you, I would!\I also want to be an idiot who only knows how to dash forward!\If I say I like him, he'll follow me, right?!\If he knew I wanted him to follow me, he'd do it, right?!\He's the type of person who would sacrifice anything for it!\That's why...\That's why I can't be an idiot! response:	You're a really kind person.
context: If I could become an idiot like you, I would!\I also want to be an idiot who only knows how to dash forward!\If I say I like him, he'll follow me, right?!\If he knew I wanted him to follow me, he'd do it, right?!\He's the type of person who would sacrifice anything for it!\That's why...\That's why I can't be an idiot!\You're a really kind person. response:	I loved you from the bottom of my heart.
context: I also want to be an idiot who only knows how to dash forward!\If I say I like him, he'll follow me, right?!\If he knew I wanted him to follow me, he'd do it, right?!\He's the type of person who would sacrifice anything for it!\That's why...\That's why I can't be an idiot!\You're a really kind person.\I loved you from the bottom of my heart. response:	I'm glad that I fell in love with you.
context: If I say I like him, he'll follow me, right?!\If he knew I wanted him to follow me, he'd do it, right?!\He's the type of person who would sacrifice anything for it!\That's why...\That's why I can't be an idiot!\You're a really kind person.\I loved you from the bottom of my heart.\I'm glad that I fell in love with you. response:	Thank you very much!
context: If he knew I wanted him to follow me, he'd do it, right?!\He's the type of person who would sacrifice anything for it!\That's why...\That's why I can't be an idiot!\You're a really kind person.\I loved you from the bottom of my heart.\I'm glad that I fell in love with you.\Thank you very much! response:	After that, before the teachers came to control the situation,
context: He's the type of person who would sacrifice anything for it!\That's why...\That's why I can't be an idiot!\You're a really kind person.\I loved you from the bottom of my heart.\I'm glad that I fell in love with you.\Thank you very much!\After that, before the teachers came to control the situation, response:	we couldn't do anything.
context: That's why...\That's why I can't be an idiot!\You're a really kind person.\I loved you from the bottom of my heart.\I'm glad that I fell in love with you.\Thank you very much!\After that, before the teachers came to control the situation,\we couldn't do anything. response:	I'm really sorry for causing you so much trouble.
context: That's why I can't be an idiot!\You're a really kind person.\I loved you from the bottom of my heart.\I'm glad that I fell in love with you.\Thank you very much!\After that, before the teachers came to control the situation,\we couldn't do anything.\I'm really sorry for causing you so much trouble. response:	What's wrong?
context: You're a really kind person.\I loved you from the bottom of my heart.\I'm glad that I fell in love with you.\Thank you very much!\After that, before the teachers came to control the situation,\we couldn't do anything.\I'm really sorry for causing you so much trouble.\What's wrong? response:	I found a student ID while cleaning up just then.
context: I loved you from the bottom of my heart.\I'm glad that I fell in love with you.\Thank you very much!\After that, before the teachers came to control the situation,\we couldn't do anything.\I'm really sorry for causing you so much trouble.\What's wrong?\I found a student ID while cleaning up just then. response:	It seems like it belongs to Taiga.
context: I'm glad that I fell in love with you.\Thank you very much!\After that, before the teachers came to control the situation,\we couldn't do anything.\I'm really sorry for causing you so much trouble.\What's wrong?\I found a student ID while cleaning up just then.\It seems like it belongs to Taiga. response:	Then, give it to Takasu-kun.
context: Thank you very much!\After that, before the teachers came to control the situation,\we couldn't do anything.\I'm really sorry for causing you so much trouble.\What's wrong?\I found a student ID while cleaning up just then.\It seems like it belongs to Taiga.\Then, give it to Takasu-kun. response:	Wait, he's busy with the teachers.
context: After that, before the teachers came to control the situation,\we couldn't do anything.\I'm really sorry for causing you so much trouble.\What's wrong?\I found a student ID while cleaning up just then.\It seems like it belongs to Taiga.\Then, give it to Takasu-kun.\Wait, he's busy with the teachers. response:	She really does love him.
context: we couldn't do anything.\I'm really sorry for causing you so much trouble.\What's wrong?\I found a student ID while cleaning up just then.\It seems like it belongs to Taiga.\Then, give it to Takasu-kun.\Wait, he's busy with the teachers.\She really does love him. response:	Underneath -
context: I'm really sorry for causing you so much trouble.\What's wrong?\I found a student ID while cleaning up just then.\It seems like it belongs to Taiga.\Then, give it to Takasu-kun.\Wait, he's busy with the teachers.\She really does love him.\Underneath - response:	I'll return this to her.
context: What's wrong?\I found a student ID while cleaning up just then.\It seems like it belongs to Taiga.\Then, give it to Takasu-kun.\Wait, he's busy with the teachers.\She really does love him.\Underneath -\I'll return this to her. response:	Let's go back to the classroom.
context: I found a student ID while cleaning up just then.\It seems like it belongs to Taiga.\Then, give it to Takasu-kun.\Wait, he's busy with the teachers.\She really does love him.\Underneath -\I'll return this to her.\Let's go back to the classroom. response:	Are your feelings of guilt gone?
context: It seems like it belongs to Taiga.\Then, give it to Takasu-kun.\Wait, he's busy with the teachers.\She really does love him.\Underneath -\I'll return this to her.\Let's go back to the classroom.\Are your feelings of guilt gone? response:	Kanou-senpai spent her last day at school bruised.
context: Then, give it to Takasu-kun.\Wait, he's busy with the teachers.\She really does love him.\Underneath -\I'll return this to her.\Let's go back to the classroom.\Are your feelings of guilt gone?\Kanou-senpai spent her last day at school bruised. response:	Two days later, she left for America.
