context: Don't try to remember. response:	He doesn't
context: You're like a normal guy.\I'm just asking for someone I know.\I thought you'd be the type to dismiss that kind of thing.\I'm glad.\What happened to my acquaintance was...\She tried to confess, but she didn't have the guts to, apparently.\Once you do, you can't go back to how things were before.\So it takes a lot of courage. response:	I see.
context: I'm just asking for someone I know.\I thought you'd be the type to dismiss that kind of thing.\I'm glad.\What happened to my acquaintance was...\She tried to confess, but she didn't have the guts to, apparently.\Once you do, you can't go back to how things were before.\So it takes a lot of courage.\I see. response:	But...
context: I thought you'd be the type to dismiss that kind of thing.\I'm glad.\What happened to my acquaintance was...\She tried to confess, but she didn't have the guts to, apparently.\Once you do, you can't go back to how things were before.\So it takes a lot of courage.\I see.\But... response:	I guess some people have that courage.
context: I'm glad.\What happened to my acquaintance was...\She tried to confess, but she didn't have the guts to, apparently.\Once you do, you can't go back to how things were before.\So it takes a lot of courage.\I see.\But...\I guess some people have that courage. response:	I don't know how to face her anymore.
context: What happened to my acquaintance was...\She tried to confess, but she didn't have the guts to, apparently.\Once you do, you can't go back to how things were before.\So it takes a lot of courage.\I see.\But...\I guess some people have that courage.\I don't know how to face her anymore. response:	Why am I such a coward?
context: She tried to confess, but she didn't have the guts to, apparently.\Once you do, you can't go back to how things were before.\So it takes a lot of courage.\I see.\But...\I guess some people have that courage.\I don't know how to face her anymore.\Why am I such a coward? response:	Place a check in your desired reward.
context: Once you do, you can't go back to how things were before.\So it takes a lot of courage.\I see.\But...\I guess some people have that courage.\I don't know how to face her anymore.\Why am I such a coward?\Place a check in your desired reward. response:	Hot spring vouchers for two
context: So it takes a lot of courage.\I see.\But...\I guess some people have that courage.\I don't know how to face her anymore.\Why am I such a coward?\Place a check in your desired reward.\Hot spring vouchers for two response:	Pair rings
context: I see.\But...\I guess some people have that courage.\I don't know how to face her anymore.\Why am I such a coward?\Place a check in your desired reward.\Hot spring vouchers for two\Pair rings response:	Gift catalog
context: But...\I guess some people have that courage.\I don't know how to face her anymore.\Why am I such a coward?\Place a check in your desired reward.\Hot spring vouchers for two\Pair rings\Gift catalog response:	5 kg rice
context: I guess some people have that courage.\I don't know how to face her anymore.\Why am I such a coward?\Place a check in your desired reward.\Hot spring vouchers for two\Pair rings\Gift catalog\5 kg rice response:	Gift coupons worth 3,000 yen
context: I don't know how to face her anymore.\Why am I such a coward?\Place a check in your desired reward.\Hot spring vouchers for two\Pair rings\Gift catalog\5 kg rice\Gift coupons worth 3,000 yen response:	Pocket tissues
context: Why am I such a coward?\Place a check in your desired reward.\Hot spring vouchers for two\Pair rings\Gift catalog\5 kg rice\Gift coupons worth 3,000 yen\Pocket tissues response:	Uesugi Futaro
context: Place a check in your desired reward.\Hot spring vouchers for two\Pair rings\Gift catalog\5 kg rice\Gift coupons worth 3,000 yen\Pocket tissues\Uesugi Futaro response:	Either way, it's spring break.
context: Hot spring vouchers for two\Pair rings\Gift catalog\5 kg rice\Gift coupons worth 3,000 yen\Pocket tissues\Uesugi Futaro\Either way, it's spring break. response:	There's plenty of time to think.
context: Pair rings\Gift catalog\5 kg rice\Gift coupons worth 3,000 yen\Pocket tissues\Uesugi Futaro\Either way, it's spring break.\There's plenty of time to think. response:	Gift campaign
context: Gift catalog\5 kg rice\Gift coupons worth 3,000 yen\Pocket tissues\Uesugi Futaro\Either way, it's spring break.\There's plenty of time to think.\Gift campaign response:	Spring break...
context: 5 kg rice\Gift coupons worth 3,000 yen\Pocket tissues\Uesugi Futaro\Either way, it's spring break.\There's plenty of time to think.\Gift campaign\Spring break... response:	Whoo-hoo!
context: Gift coupons worth 3,000 yen\Pocket tissues\Uesugi Futaro\Either way, it's spring break.\There's plenty of time to think.\Gift campaign\Spring break...\Whoo-hoo! response:	Traveling is the best.
context: Pocket tissues\Uesugi Futaro\Either way, it's spring break.\There's plenty of time to think.\Gift campaign\Spring break...\Whoo-hoo!\Traveling is the best. response:	This is all thanks to Onii-chan.
context: Uesugi Futaro\Either way, it's spring break.\There's plenty of time to think.\Gift campaign\Spring break...\Whoo-hoo!\Traveling is the best.\This is all thanks to Onii-chan. response:	Thank you!
context: Either way, it's spring break.\There's plenty of time to think.\Gift campaign\Spring break...\Whoo-hoo!\Traveling is the best.\This is all thanks to Onii-chan.\Thank you! response:	I can't believe I actually won.
context: There's plenty of time to think.\Gift campaign\Spring break...\Whoo-hoo!\Traveling is the best.\This is all thanks to Onii-chan.\Thank you!\I can't believe I actually won. response:	What is this?
context: Gift campaign\Spring break...\Whoo-hoo!\Traveling is the best.\This is all thanks to Onii-chan.\Thank you!\I can't believe I actually won.\What is this? response:	The foremost tourist attraction in the area: the Bell of Vows.
context: Spring break...\Whoo-hoo!\Traveling is the best.\This is all thanks to Onii-chan.\Thank you!\I can't believe I actually won.\What is this?\The foremost tourist attraction in the area: the Bell of Vows. response:	It says, Any man and woman who ring this bell together are forever bound.
context: Whoo-hoo!\Traveling is the best.\This is all thanks to Onii-chan.\Thank you!\I can't believe I actually won.\What is this?\The foremost tourist attraction in the area: the Bell of Vows.\It says, Any man and woman who ring this bell together are forever bound. response:	Onii-chan! Take a picture!
context: Traveling is the best.\This is all thanks to Onii-chan.\Thank you!\I can't believe I actually won.\What is this?\The foremost tourist attraction in the area: the Bell of Vows.\It says, Any man and woman who ring this bell together are forever bound.\Onii-chan! Take a picture! response:	Okay.
context: This is all thanks to Onii-chan.\Thank you!\I can't believe I actually won.\What is this?\The foremost tourist attraction in the area: the Bell of Vows.\It says, Any man and woman who ring this bell together are forever bound.\Onii-chan! Take a picture!\Okay. response:	Shoot, I forgot to charge it.
context: Thank you!\I can't believe I actually won.\What is this?\The foremost tourist attraction in the area: the Bell of Vows.\It says, Any man and woman who ring this bell together are forever bound.\Onii-chan! Take a picture!\Okay.\Shoot, I forgot to charge it. response:	Come on!
context: I can't believe I actually won.\What is this?\The foremost tourist attraction in the area: the Bell of Vows.\It says, Any man and woman who ring this bell together are forever bound.\Onii-chan! Take a picture!\Okay.\Shoot, I forgot to charge it.\Come on! response:	Oh, well.
context: What is this?\The foremost tourist attraction in the area: the Bell of Vows.\It says, Any man and woman who ring this bell together are forever bound.\Onii-chan! Take a picture!\Okay.\Shoot, I forgot to charge it.\Come on!\Oh, well. response:	Let's move on.
context: The foremost tourist attraction in the area: the Bell of Vows.\It says, Any man and woman who ring this bell together are forever bound.\Onii-chan! Take a picture!\Okay.\Shoot, I forgot to charge it.\Come on!\Oh, well.\Let's move on. response:	Come with us, Onii-chan.
context: It says, Any man and woman who ring this bell together are forever bound.\Onii-chan! Take a picture!\Okay.\Shoot, I forgot to charge it.\Come on!\Oh, well.\Let's move on.\Come with us, Onii-chan. response:	Yeah.
context: Onii-chan! Take a picture!\Okay.\Shoot, I forgot to charge it.\Come on!\Oh, well.\Let's move on.\Come with us, Onii-chan.\Yeah. response:	I'll forget about those girls and enjoy this family vacation.
context: Okay.\Shoot, I forgot to charge it.\Come on!\Oh, well.\Let's move on.\Come with us, Onii-chan.\Yeah.\I'll forget about those girls and enjoy this family vacation. response:	All right.
context: Shoot, I forgot to charge it.\Come on!\Oh, well.\Let's move on.\Come with us, Onii-chan.\Yeah.\I'll forget about those girls and enjoy this family vacation.\All right. response:	Whoo-hoo!
context: Come on!\Oh, well.\Let's move on.\Come with us, Onii-chan.\Yeah.\I'll forget about those girls and enjoy this family vacation.\All right.\Whoo-hoo! response:	Whoo-hoo!
context: Oh, well.\Let's move on.\Come with us, Onii-chan.\Yeah.\I'll forget about those girls and enjoy this family vacation.\All right.\Whoo-hoo!\Whoo-hoo! response:	Whoo-hoo!
context: Let's move on.\Come with us, Onii-chan.\Yeah.\I'll forget about those girls and enjoy this family vacation.\All right.\Whoo-hoo!\Whoo-hoo!\Whoo-hoo! response:	Whoo-hoo!
context: Come with us, Onii-chan.\Yeah.\I'll forget about those girls and enjoy this family vacation.\All right.\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo! response:	Whoo-hoo!
context: Yeah.\I'll forget about those girls and enjoy this family vacation.\All right.\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo! response:	Whoo-hoo!
context: I'll forget about those girls and enjoy this family vacation.\All right.\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo! response:	Uesugi-kun?!
context: All right.\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Uesugi-kun?! response:	Why are you here?
context: Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Uesugi-kun?!\Why are you here? response:	Why are you here?
context: Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Uesugi-kun?!\Why are you here?\Why are you here? response:	You're so fast, Itsuki.
context: Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Uesugi-kun?!\Why are you here?\Why are you here?\You're so fast, Itsuki. response:	Wait, what?
context: Whoo-hoo!\Whoo-hoo!\Whoo-hoo!\Uesugi-kun?!\Why are you here?\Why are you here?\You're so fast, Itsuki.\Wait, what? response:	It's Uesugi-san!
context: Whoo-hoo!\Whoo-hoo!\Uesugi-kun?!\Why are you here?\Why are you here?\You're so fast, Itsuki.\Wait, what?\It's Uesugi-san! response:	No way.
context: Whoo-hoo!\Uesugi-kun?!\Why are you here?\Why are you here?\You're so fast, Itsuki.\Wait, what?\It's Uesugi-san!\No way. response:	You won, too, Futaro?
context: Uesugi-kun?!\Why are you here?\Why are you here?\You're so fast, Itsuki.\Wait, what?\It's Uesugi-san!\No way.\You won, too, Futaro? response:	You guys are all here on a family vacation, too?
context: Why are you here?\Why are you here?\You're so fast, Itsuki.\Wait, what?\It's Uesugi-san!\No way.\You won, too, Futaro?\You guys are all here on a family vacation, too? response:	This is insane.
context: Why are you here?\You're so fast, Itsuki.\Wait, what?\It's Uesugi-san!\No way.\You won, too, Futaro?\You guys are all here on a family vacation, too?\This is insane. response:	Indeed, a family vacation.
context: You're so fast, Itsuki.\Wait, what?\It's Uesugi-san!\No way.\You won, too, Futaro?\You guys are all here on a family vacation, too?\This is insane.\Indeed, a family vacation. response:	But you must be careful.
context: Wait, what?\It's Uesugi-san!\No way.\You won, too, Futaro?\You guys are all here on a family vacation, too?\This is insane.\Indeed, a family vacation.\But you must be careful. response:	You always have to expect something to go wrong when you're traveling.
context: It's Uesugi-san!\No way.\You won, too, Futaro?\You guys are all here on a family vacation, too?\This is insane.\Indeed, a family vacation.\But you must be careful.\You always have to expect something to go wrong when you're traveling. response:	Now, then...
context: No way.\You won, too, Futaro?\You guys are all here on a family vacation, too?\This is insane.\Indeed, a family vacation.\But you must be careful.\You always have to expect something to go wrong when you're traveling.\Now, then... response:	Shall we have lunch?
context: You won, too, Futaro?\You guys are all here on a family vacation, too?\This is insane.\Indeed, a family vacation.\But you must be careful.\You always have to expect something to go wrong when you're traveling.\Now, then...\Shall we have lunch? response:	Begin preparations, everyone.
context: You guys are all here on a family vacation, too?\This is insane.\Indeed, a family vacation.\But you must be careful.\You always have to expect something to go wrong when you're traveling.\Now, then...\Shall we have lunch?\Begin preparations, everyone. response:	When did those girls work things out with their dad?
context: This is insane.\Indeed, a family vacation.\But you must be careful.\You always have to expect something to go wrong when you're traveling.\Now, then...\Shall we have lunch?\Begin preparations, everyone.\When did those girls work things out with their dad? response:	What's the matter?
context: Indeed, a family vacation.\But you must be careful.\You always have to expect something to go wrong when you're traveling.\Now, then...\Shall we have lunch?\Begin preparations, everyone.\When did those girls work things out with their dad?\What's the matter? response:	N-Nino!
context: But you must be careful.\You always have to expect something to go wrong when you're traveling.\Now, then...\Shall we have lunch?\Begin preparations, everyone.\When did those girls work things out with their dad?\What's the matter?\N-Nino! response:	What?
context: You always have to expect something to go wrong when you're traveling.\Now, then...\Shall we have lunch?\Begin preparations, everyone.\When did those girls work things out with their dad?\What's the matter?\N-Nino!\What? response:	If you have something to say, say it.
context: Now, then...\Shall we have lunch?\Begin preparations, everyone.\When did those girls work things out with their dad?\What's the matter?\N-Nino!\What?\If you have something to say, say it. response:	Futaro.
context: Shall we have lunch?\Begin preparations, everyone.\When did those girls work things out with their dad?\What's the matter?\N-Nino!\What?\If you have something to say, say it.\Futaro. response:	W-Wait...
context: Begin preparations, everyone.\When did those girls work things out with their dad?\What's the matter?\N-Nino!\What?\If you have something to say, say it.\Futaro.\W-Wait... response:	The way you said his name, Futaro...
context: When did those girls work things out with their dad?\What's the matter?\N-Nino!\What?\If you have something to say, say it.\Futaro.\W-Wait...\The way you said his name, Futaro... response:	What's wrong, Nino?
context: What's the matter?\N-Nino!\What?\If you have something to say, say it.\Futaro.\W-Wait...\The way you said his name, Futaro...\What's wrong, Nino? response:	Huh?
context: N-Nino!\What?\If you have something to say, say it.\Futaro.\W-Wait...\The way you said his name, Futaro...\What's wrong, Nino?\Huh? response:	It's been half a year since we met each other.
context: What?\If you have something to say, say it.\Futaro.\W-Wait...\The way you said his name, Futaro...\What's wrong, Nino?\Huh?\It's been half a year since we met each other. response:	It's about time we get a bit closer, isn't it?
context: If you have something to say, say it.\Futaro.\W-Wait...\The way you said his name, Futaro...\What's wrong, Nino?\Huh?\It's been half a year since we met each other.\It's about time we get a bit closer, isn't it? response:	Well...
context: Futaro.\W-Wait...\The way you said his name, Futaro...\What's wrong, Nino?\Huh?\It's been half a year since we met each other.\It's about time we get a bit closer, isn't it?\Well... response:	I do agree with that, but...
context: W-Wait...\The way you said his name, Futaro...\What's wrong, Nino?\Huh?\It's been half a year since we met each other.\It's about time we get a bit closer, isn't it?\Well...\I do agree with that, but... response:	Oh, I know.
context: The way you said his name, Futaro...\What's wrong, Nino?\Huh?\It's been half a year since we met each other.\It's about time we get a bit closer, isn't it?\Well...\I do agree with that, but...\Oh, I know. response:	How about nicknames?
context: What's wrong, Nino?\Huh?\It's been half a year since we met each other.\It's about time we get a bit closer, isn't it?\Well...\I do agree with that, but...\Oh, I know.\How about nicknames? response:	Miku, think of something.
context: Huh?\It's been half a year since we met each other.\It's about time we get a bit closer, isn't it?\Well...\I do agree with that, but...\Oh, I know.\How about nicknames?\Miku, think of something. response:	Me?
context: It's been half a year since we met each other.\It's about time we get a bit closer, isn't it?\Well...\I do agree with that, but...\Oh, I know.\How about nicknames?\Miku, think of something.\Me? response:	Ue...
context: It's about time we get a bit closer, isn't it?\Well...\I do agree with that, but...\Oh, I know.\How about nicknames?\Miku, think of something.\Me?\Ue... response:	Fu...
context: Well...\I do agree with that, but...\Oh, I know.\How about nicknames?\Miku, think of something.\Me?\Ue...\Fu... response:	Fu-ta-kun.
context: I do agree with that, but...\Oh, I know.\How about nicknames?\Miku, think of something.\Me?\Ue...\Fu...\Fu-ta-kun. response:	Fu-kun.
context: Oh, I know.\How about nicknames?\Miku, think of something.\Me?\Ue...\Fu...\Fu-ta-kun.\Fu-kun. response:	Nah.
context: How about nicknames?\Miku, think of something.\Me?\Ue...\Fu...\Fu-ta-kun.\Fu-kun.\Nah. response:	Hey, that's not bad.
context: Miku, think of something.\Me?\Ue...\Fu...\Fu-ta-kun.\Fu-kun.\Nah.\Hey, that's not bad. response:	Never mind that, let's get ready for lunch.
context: Me?\Ue...\Fu...\Fu-ta-kun.\Fu-kun.\Nah.\Hey, that's not bad.\Never mind that, let's get ready for lunch. response:	All right, fine.
context: Ue...\Fu...\Fu-ta-kun.\Fu-kun.\Nah.\Hey, that's not bad.\Never mind that, let's get ready for lunch.\All right, fine. response:	Hey!
context: Fu...\Fu-ta-kun.\Fu-kun.\Nah.\Hey, that's not bad.\Never mind that, let's get ready for lunch.\All right, fine.\Hey! response:	Yotsu
context: Fu-ta-kun.\Fu-kun.\Nah.\Hey, that's not bad.\Never mind that, let's get ready for lunch.\All right, fine.\Hey!\Yotsu response:	I'm getting nervous.
context: Fu-kun.\Nah.\Hey, that's not bad.\Never mind that, let's get ready for lunch.\All right, fine.\Hey!\Yotsu\I'm getting nervous. response:	I don't know if I can do it right.
context: Nah.\Hey, that's not bad.\Never mind that, let's get ready for lunch.\All right, fine.\Hey!\Yotsu\I'm getting nervous.\I don't know if I can do it right. response:	Ichika, could you explain something to me?
context: Hey, that's not bad.\Never mind that, let's get ready for lunch.\All right, fine.\Hey!\Yotsu\I'm getting nervous.\I don't know if I can do it right.\Ichika, could you explain something to me? response:	Sorry, I'm in the middle of something. Maybe later.
context: Never mind that, let's get ready for lunch.\All right, fine.\Hey!\Yotsu\I'm getting nervous.\I don't know if I can do it right.\Ichika, could you explain something to me?\Sorry, I'm in the middle of something. Maybe later. response:	What is this?
context: All right, fine.\Hey!\Yotsu\I'm getting nervous.\I don't know if I can do it right.\Ichika, could you explain something to me?\Sorry, I'm in the middle of something. Maybe later.\What is this? response:	We've only been apart for a short while, and they're all being distant.
context: Hey!\Yotsu\I'm getting nervous.\I don't know if I can do it right.\Ichika, could you explain something to me?\Sorry, I'm in the middle of something. Maybe later.\What is this?\We've only been apart for a short while, and they're all being distant. response:	Itsuki...
context: Yotsu\I'm getting nervous.\I don't know if I can do it right.\Ichika, could you explain something to me?\Sorry, I'm in the middle of something. Maybe later.\What is this?\We've only been apart for a short while, and they're all being distant.\Itsuki... response:	Itsuki-kun, what are you doing?
context: I'm getting nervous.\I don't know if I can do it right.\Ichika, could you explain something to me?\Sorry, I'm in the middle of something. Maybe later.\What is this?\We've only been apart for a short while, and they're all being distant.\Itsuki...\Itsuki-kun, what are you doing? response:	Go retrieve our lunch boxes from Ebata.
context: I don't know if I can do it right.\Ichika, could you explain something to me?\Sorry, I'm in the middle of something. Maybe later.\What is this?\We've only been apart for a short while, and they're all being distant.\Itsuki...\Itsuki-kun, what are you doing?\Go retrieve our lunch boxes from Ebata. response:	Okay.
context: Ichika, could you explain something to me?\Sorry, I'm in the middle of something. Maybe later.\What is this?\We've only been apart for a short while, and they're all being distant.\Itsuki...\Itsuki-kun, what are you doing?\Go retrieve our lunch boxes from Ebata.\Okay. response:	U-Um...
context: Sorry, I'm in the middle of something. Maybe later.\What is this?\We've only been apart for a short while, and they're all being distant.\Itsuki...\Itsuki-kun, what are you doing?\Go retrieve our lunch boxes from Ebata.\Okay.\U-Um... response:	About the other day...
context: What is this?\We've only been apart for a short while, and they're all being distant.\Itsuki...\Itsuki-kun, what are you doing?\Go retrieve our lunch boxes from Ebata.\Okay.\U-Um...\About the other day... response:	Now, then, let's prepare.
context: We've only been apart for a short while, and they're all being distant.\Itsuki...\Itsuki-kun, what are you doing?\Go retrieve our lunch boxes from Ebata.\Okay.\U-Um...\About the other day...\Now, then, let's prepare. response:	All of us are together for once.
context: Itsuki...\Itsuki-kun, what are you doing?\Go retrieve our lunch boxes from Ebata.\Okay.\U-Um...\About the other day...\Now, then, let's prepare.\All of us are together for once. response:	I'm spending quality time with my family, privately.
context: Itsuki-kun, what are you doing?\Go retrieve our lunch boxes from Ebata.\Okay.\U-Um...\About the other day...\Now, then, let's prepare.\All of us are together for once.\I'm spending quality time with my family, privately. response:	See you, Futaro.
context: Go retrieve our lunch boxes from Ebata.\Okay.\U-Um...\About the other day...\Now, then, let's prepare.\All of us are together for once.\I'm spending quality time with my family, privately.\See you, Futaro. response:	We're probably at the same hotel.
context: Okay.\U-Um...\About the other day...\Now, then, let's prepare.\All of us are together for once.\I'm spending quality time with my family, privately.\See you, Futaro.\We're probably at the same hotel. response:	Uesugi-kun.
context: U-Um...\About the other day...\Now, then, let's prepare.\All of us are together for once.\I'm spending quality time with my family, privately.\See you, Futaro.\We're probably at the same hotel.\Uesugi-kun. response:	I need to speak with you later.
context: About the other day...\Now, then, let's prepare.\All of us are together for once.\I'm spending quality time with my family, privately.\See you, Futaro.\We're probably at the same hotel.\Uesugi-kun.\I need to speak with you later. response:	Toraiwa Hot Springs
context: Now, then, let's prepare.\All of us are together for once.\I'm spending quality time with my family, privately.\See you, Futaro.\We're probably at the same hotel.\Uesugi-kun.\I need to speak with you later.\Toraiwa Hot Springs response:	It's like a haunted house.
context: All of us are together for once.\I'm spending quality time with my family, privately.\See you, Futaro.\We're probably at the same hotel.\Uesugi-kun.\I need to speak with you later.\Toraiwa Hot Springs\It's like a haunted house. response:	They're open, right?
context: I'm spending quality time with my family, privately.\See you, Futaro.\We're probably at the same hotel.\Uesugi-kun.\I need to speak with you later.\Toraiwa Hot Springs\It's like a haunted house.\They're open, right? response:	When is later?
context: See you, Futaro.\We're probably at the same hotel.\Uesugi-kun.\I need to speak with you later.\Toraiwa Hot Springs\It's like a haunted house.\They're open, right?\When is later? response:	Maybe I should try calling.
context: We're probably at the same hotel.\Uesugi-kun.\I need to speak with you later.\Toraiwa Hot Springs\It's like a haunted house.\They're open, right?\When is later?\Maybe I should try calling. response:	Damn it!
context: Uesugi-kun.\I need to speak with you later.\Toraiwa Hot Springs\It's like a haunted house.\They're open, right?\When is later?\Maybe I should try calling.\Damn it! response:	She was around here...
context: I need to speak with you later.\Toraiwa Hot Springs\It's like a haunted house.\They're open, right?\When is later?\Maybe I should try calling.\Damn it!\She was around here... response:	When did she get up there?
context: Toraiwa Hot Springs\It's like a haunted house.\They're open, right?\When is later?\Maybe I should try calling.\Damn it!\She was around here...\When did she get up there? response:	Where did Itsuki go?
context: It's like a haunted house.\They're open, right?\When is later?\Maybe I should try calling.\Damn it!\She was around here...\When did she get up there?\Where did Itsuki go? response:	What?!
context: They're open, right?\When is later?\Maybe I should try calling.\Damn it!\She was around here...\When did she get up there?\Where did Itsuki go?\What?! response:	I'm in heaven.
context: When is later?\Maybe I should try calling.\Damn it!\She was around here...\When did she get up there?\Where did Itsuki go?\What?!\I'm in heaven. response:	Good thing there's a mixed bath. The whole family can be together.
context: Maybe I should try calling.\Damn it!\She was around here...\When did she get up there?\Where did Itsuki go?\What?!\I'm in heaven.\Good thing there's a mixed bath. The whole family can be together. response:	You shouldn't stay in for too long, Onii-chan.
context: Damn it!\She was around here...\When did she get up there?\Where did Itsuki go?\What?!\I'm in heaven.\Good thing there's a mixed bath. The whole family can be together.\You shouldn't stay in for too long, Onii-chan. response:	Right.
context: She was around here...\When did she get up there?\Where did Itsuki go?\What?!\I'm in heaven.\Good thing there's a mixed bath. The whole family can be together.\You shouldn't stay in for too long, Onii-chan.\Right. response:	She said she wanted to talk...
context: When did she get up there?\Where did Itsuki go?\What?!\I'm in heaven.\Good thing there's a mixed bath. The whole family can be together.\You shouldn't stay in for too long, Onii-chan.\Right.\She said she wanted to talk... response:	What is going on?
context: Where did Itsuki go?\What?!\I'm in heaven.\Good thing there's a mixed bath. The whole family can be together.\You shouldn't stay in for too long, Onii-chan.\Right.\She said she wanted to talk...\What is going on? response:	Midnight, courtyard
context: What?!\I'm in heaven.\Good thing there's a mixed bath. The whole family can be together.\You shouldn't stay in for too long, Onii-chan.\Right.\She said she wanted to talk...\What is going on?\Midnight, courtyard response:	This is Itsuki, right?
context: I'm in heaven.\Good thing there's a mixed bath. The whole family can be together.\You shouldn't stay in for too long, Onii-chan.\Right.\She said she wanted to talk...\What is going on?\Midnight, courtyard\This is Itsuki, right? response:	Why is she being so roundabout?
context: Good thing there's a mixed bath. The whole family can be together.\You shouldn't stay in for too long, Onii-chan.\Right.\She said she wanted to talk...\What is going on?\Midnight, courtyard\This is Itsuki, right?\Why is she being so roundabout? response:	Th-The courtyard is this way, right?
context: You shouldn't stay in for too long, Onii-chan.\Right.\She said she wanted to talk...\What is going on?\Midnight, courtyard\This is Itsuki, right?\Why is she being so roundabout?\Th-The courtyard is this way, right? response:	Is he dead or something?
context: Right.\She said she wanted to talk...\What is going on?\Midnight, courtyard\This is Itsuki, right?\Why is she being so roundabout?\Th-The courtyard is this way, right?\Is he dead or something? response:	Itsuki.
context: She said she wanted to talk...\What is going on?\Midnight, courtyard\This is Itsuki, right?\Why is she being so roundabout?\Th-The courtyard is this way, right?\Is he dead or something?\Itsuki. response:	There you are.
context: What is going on?\Midnight, courtyard\This is Itsuki, right?\Why is she being so roundabout?\Th-The courtyard is this way, right?\Is he dead or something?\Itsuki.\There you are. response:	I was going to the courtyard.
context: Midnight, courtyard\This is Itsuki, right?\Why is she being so roundabout?\Th-The courtyard is this way, right?\Is he dead or something?\Itsuki.\There you are.\I was going to the courtyard. response:	What did you want to talk about?
context: This is Itsuki, right?\Why is she being so roundabout?\Th-The courtyard is this way, right?\Is he dead or something?\Itsuki.\There you are.\I was going to the courtyard.\What did you want to talk about? response:	L-Let's just go to the courtyard...
context: Why is she being so roundabout?\Th-The courtyard is this way, right?\Is he dead or something?\Itsuki.\There you are.\I was going to the courtyard.\What did you want to talk about?\L-Let's just go to the courtyard... response:	No.
context: Th-The courtyard is this way, right?\Is he dead or something?\Itsuki.\There you are.\I was going to the courtyard.\What did you want to talk about?\L-Let's just go to the courtyard...\No. response:	Tell me now.
context: Is he dead or something?\Itsuki.\There you are.\I was going to the courtyard.\What did you want to talk about?\L-Let's just go to the courtyard...\No.\Tell me now. response:	I'm not letting you get away.
context: Itsuki.\There you are.\I was going to the courtyard.\What did you want to talk about?\L-Let's just go to the courtyard...\No.\Tell me now.\I'm not letting you get away. response:	Um...
context: There you are.\I was going to the courtyard.\What did you want to talk about?\L-Let's just go to the courtyard...\No.\Tell me now.\I'm not letting you get away.\Um... response:	What is your understanding of your relationship with us?
context: I was going to the courtyard.\What did you want to talk about?\L-Let's just go to the courtyard...\No.\Tell me now.\I'm not letting you get away.\Um...\What is your understanding of your relationship with us? response:	Huh?
context: What did you want to talk about?\L-Let's just go to the courtyard...\No.\Tell me now.\I'm not letting you get away.\Um...\What is your understanding of your relationship with us?\Huh? response:	Well, I mean...
context: L-Let's just go to the courtyard...\No.\Tell me now.\I'm not letting you get away.\Um...\What is your understanding of your relationship with us?\Huh?\Well, I mean... response:	You said we're p-partners or something.
context: No.\Tell me now.\I'm not letting you get away.\Um...\What is your understanding of your relationship with us?\Huh?\Well, I mean...\You said we're p-partners or something. response:	No, we aren't partners anymore.
context: Tell me now.\I'm not letting you get away.\Um...\What is your understanding of your relationship with us?\Huh?\Well, I mean...\You said we're p-partners or something.\No, we aren't partners anymore. response:	We aren't doing lessons very often anymore, so I can't deny that.
context: I'm not letting you get away.\Um...\What is your understanding of your relationship with us?\Huh?\Well, I mean...\You said we're p-partners or something.\No, we aren't partners anymore.\We aren't doing lessons very often anymore, so I can't deny that. response:	But I've been hired to tutor until you guys graduate.
context: Um...\What is your understanding of your relationship with us?\Huh?\Well, I mean...\You said we're p-partners or something.\No, we aren't partners anymore.\We aren't doing lessons very often anymore, so I can't deny that.\But I've been hired to tutor until you guys graduate. response:	Until then, as your tutor, I'll...
context: What is your understanding of your relationship with us?\Huh?\Well, I mean...\You said we're p-partners or something.\No, we aren't partners anymore.\We aren't doing lessons very often anymore, so I can't deny that.\But I've been hired to tutor until you guys graduate.\Until then, as your tutor, I'll... response:	We're through with that.
context: Huh?\Well, I mean...\You said we're p-partners or something.\No, we aren't partners anymore.\We aren't doing lessons very often anymore, so I can't deny that.\But I've been hired to tutor until you guys graduate.\Until then, as your tutor, I'll...\We're through with that. response:	Let's put an end to this relationship.
context: Well, I mean...\You said we're p-partners or something.\No, we aren't partners anymore.\We aren't doing lessons very often anymore, so I can't deny that.\But I've been hired to tutor until you guys graduate.\Until then, as your tutor, I'll...\We're through with that.\Let's put an end to this relationship. response:	Huh?
context: You said we're p-partners or something.\No, we aren't partners anymore.\We aren't doing lessons very often anymore, so I can't deny that.\But I've been hired to tutor until you guys graduate.\Until then, as your tutor, I'll...\We're through with that.\Let's put an end to this relationship.\Huh? response:	What are you talking about?
