context: Thanks for the meal, I'm leaving now! response:	Hey.
context: Hey, let's meet up at Ai-chan's later.\I need to go home and finish up my stuff first.\I'll go on ahead.\Right!\Today, I'm late for the opening time.\Take a seat there.\Is Cola fine with you?\Sure. response:	Here, your Cola.
context: I need to go home and finish up my stuff first.\I'll go on ahead.\Right!\Today, I'm late for the opening time.\Take a seat there.\Is Cola fine with you?\Sure.\Here, your Cola. response:	Hmm? What's this?
context: I'll go on ahead.\Right!\Today, I'm late for the opening time.\Take a seat there.\Is Cola fine with you?\Sure.\Here, your Cola.\Hmm? What's this? response:	A sweater?
context: Right!\Today, I'm late for the opening time.\Take a seat there.\Is Cola fine with you?\Sure.\Here, your Cola.\Hmm? What's this?\A sweater? response:	Eh? Ah, yeah...
context: Today, I'm late for the opening time.\Take a seat there.\Is Cola fine with you?\Sure.\Here, your Cola.\Hmm? What's this?\A sweater?\Eh? Ah, yeah... response:	For real? So even Ai-chan has a girl-like side!
context: Take a seat there.\Is Cola fine with you?\Sure.\Here, your Cola.\Hmm? What's this?\A sweater?\Eh? Ah, yeah...\For real? So even Ai-chan has a girl-like side! response:	Come on, no peeking.
context: Is Cola fine with you?\Sure.\Here, your Cola.\Hmm? What's this?\A sweater?\Eh? Ah, yeah...\For real? So even Ai-chan has a girl-like side!\Come on, no peeking. response:	How nice...
context: Sure.\Here, your Cola.\Hmm? What's this?\A sweater?\Eh? Ah, yeah...\For real? So even Ai-chan has a girl-like side!\Come on, no peeking.\How nice... response:	I bet Miyokichi is really happy.
context: Here, your Cola.\Hmm? What's this?\A sweater?\Eh? Ah, yeah...\For real? So even Ai-chan has a girl-like side!\Come on, no peeking.\How nice...\I bet Miyokichi is really happy. response:	Wh- What's wrong?
context: Hmm? What's this?\A sweater?\Eh? Ah, yeah...\For real? So even Ai-chan has a girl-like side!\Come on, no peeking.\How nice...\I bet Miyokichi is really happy.\Wh- What's wrong? response:	Shinichirou, isn't your size about the same as his?
context: A sweater?\Eh? Ah, yeah...\For real? So even Ai-chan has a girl-like side!\Come on, no peeking.\How nice...\I bet Miyokichi is really happy.\Wh- What's wrong?\Shinichirou, isn't your size about the same as his? response:	Huh? Well, yeah, something like that.
context: Eh? Ah, yeah...\For real? So even Ai-chan has a girl-like side!\Come on, no peeking.\How nice...\I bet Miyokichi is really happy.\Wh- What's wrong?\Shinichirou, isn't your size about the same as his?\Huh? Well, yeah, something like that. response:	Can I do some measurements?
context: For real? So even Ai-chan has a girl-like side!\Come on, no peeking.\How nice...\I bet Miyokichi is really happy.\Wh- What's wrong?\Shinichirou, isn't your size about the same as his?\Huh? Well, yeah, something like that.\Can I do some measurements? response:	Since I'm not confident enough.
context: Come on, no peeking.\How nice...\I bet Miyokichi is really happy.\Wh- What's wrong?\Shinichirou, isn't your size about the same as his?\Huh? Well, yeah, something like that.\Can I do some measurements?\Since I'm not confident enough. response:	Eh?
context: How nice...\I bet Miyokichi is really happy.\Wh- What's wrong?\Shinichirou, isn't your size about the same as his?\Huh? Well, yeah, something like that.\Can I do some measurements?\Since I'm not confident enough.\Eh? response:	Why don't you just get him to do it?
context: I bet Miyokichi is really happy.\Wh- What's wrong?\Shinichirou, isn't your size about the same as his?\Huh? Well, yeah, something like that.\Can I do some measurements?\Since I'm not confident enough.\Eh?\Why don't you just get him to do it? response:	Come on!
context: Wh- What's wrong?\Shinichirou, isn't your size about the same as his?\Huh? Well, yeah, something like that.\Can I do some measurements?\Since I'm not confident enough.\Eh?\Why don't you just get him to do it?\Come on! response:	It itches.
context: Shinichirou, isn't your size about the same as his?\Huh? Well, yeah, something like that.\Can I do some measurements?\Since I'm not confident enough.\Eh?\Why don't you just get him to do it?\Come on!\It itches. response:	Sit still!
context: Huh? Well, yeah, something like that.\Can I do some measurements?\Since I'm not confident enough.\Eh?\Why don't you just get him to do it?\Come on!\It itches.\Sit still! response:	Isn't it enough?
context: Can I do some measurements?\Since I'm not confident enough.\Eh?\Why don't you just get him to do it?\Come on!\It itches.\Sit still!\Isn't it enough? response:	Not yet.
context: Since I'm not confident enough.\Eh?\Why don't you just get him to do it?\Come on!\It itches.\Sit still!\Isn't it enough?\Not yet. response:	About last time...
context: Eh?\Why don't you just get him to do it?\Come on!\It itches.\Sit still!\Isn't it enough?\Not yet.\About last time... response:	Eh?
context: Why don't you just get him to do it?\Come on!\It itches.\Sit still!\Isn't it enough?\Not yet.\About last time...\Eh? response:	That...
context: Come on!\It itches.\Sit still!\Isn't it enough?\Not yet.\About last time...\Eh?\That... response:	What?
context: It itches.\Sit still!\Isn't it enough?\Not yet.\About last time...\Eh?\That...\What? response:	Hey, Aiko!
context: Sit still!\Isn't it enough?\Not yet.\About last time...\Eh?\That...\What?\Hey, Aiko! response:	Don't open the door!
context: Isn't it enough?\Not yet.\About last time...\Eh?\That...\What?\Hey, Aiko!\Don't open the door! response:	Eh...?
context: Not yet.\About last time...\Eh?\That...\What?\Hey, Aiko!\Don't open the door!\Eh...? response:	Isn't it tough when you can't tell your feelings to the one you like?
context: About last time...\Eh?\That...\What?\Hey, Aiko!\Don't open the door!\Eh...?\Isn't it tough when you can't tell your feelings to the one you like? response:	You!
context: Eh?\That...\What?\Hey, Aiko!\Don't open the door!\Eh...?\Isn't it tough when you can't tell your feelings to the one you like?\You! response:	There's nothing to forget!
context: That...\What?\Hey, Aiko!\Don't open the door!\Eh...?\Isn't it tough when you can't tell your feelings to the one you like?\You!\There's nothing to forget! response:	Not a single moment...
context: What?\Hey, Aiko!\Don't open the door!\Eh...?\Isn't it tough when you can't tell your feelings to the one you like?\You!\There's nothing to forget!\Not a single moment... response:	What... kind of joke is this?
