context: Nao? response:	Good morning, Yuki.
context: No, that was plenty, Kaizuka's brother.\TK-67, 68 are on designated trajectory. Opening gate.\Trash cleanup is taking forever...\Well, that was a huge battle. A ton of debris got scattered around.\It's a pain, is what it is. It makes it a lot harder for shuttles to come and go.\Radar return detected!\No IFF signal detected...\Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris. response:	Just one unit?
context: TK-67, 68 are on designated trajectory. Opening gate.\Trash cleanup is taking forever...\Well, that was a huge battle. A ton of debris got scattered around.\It's a pain, is what it is. It makes it a lot harder for shuttles to come and go.\Radar return detected!\No IFF signal detected...\Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris.\Just one unit? response:	What do they hope to do with just one unit?
context: Trash cleanup is taking forever...\Well, that was a huge battle. A ton of debris got scattered around.\It's a pain, is what it is. It makes it a lot harder for shuttles to come and go.\Radar return detected!\No IFF signal detected...\Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris.\Just one unit?\What do they hope to do with just one unit? response:	That's
context: Well, that was a huge battle. A ton of debris got scattered around.\It's a pain, is what it is. It makes it a lot harder for shuttles to come and go.\Radar return detected!\No IFF signal detected...\Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris.\Just one unit?\What do they hope to do with just one unit?\That's response:	It's now 10km away!
context: It's a pain, is what it is. It makes it a lot harder for shuttles to come and go.\Radar return detected!\No IFF signal detected...\Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris.\Just one unit?\What do they hope to do with just one unit?\That's\It's now 10km away! response:	I can't believe it...
context: Radar return detected!\No IFF signal detected...\Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris.\Just one unit?\What do they hope to do with just one unit?\That's\It's now 10km away!\I can't believe it... response:	How can it fly through a dense debris field at that speed?
context: No IFF signal detected...\Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris.\Just one unit?\What do they hope to do with just one unit?\That's\It's now 10km away!\I can't believe it...\How can it fly through a dense debris field at that speed? response:	Launch Kataphrakt platoons, hurry!
context: Sorry, sir. We didn't pick it up right away because it was mixed in with all the debris.\Just one unit?\What do they hope to do with just one unit?\That's\It's now 10km away!\I can't believe it...\How can it fly through a dense debris field at that speed?\Launch Kataphrakt platoons, hurry! response:	Long time no see, Yuki!
context: Just one unit?\What do they hope to do with just one unit?\That's\It's now 10km away!\I can't believe it...\How can it fly through a dense debris field at that speed?\Launch Kataphrakt platoons, hurry!\Long time no see, Yuki! response:	Darn it, you up and left all of a sudden! You scared us!
context: What do they hope to do with just one unit?\That's\It's now 10km away!\I can't believe it...\How can it fly through a dense debris field at that speed?\Launch Kataphrakt platoons, hurry!\Long time no see, Yuki!\Darn it, you up and left all of a sudden! You scared us! response:	Sorry. Chalk it up to grown-up reasons.
context: That's\It's now 10km away!\I can't believe it...\How can it fly through a dense debris field at that speed?\Launch Kataphrakt platoons, hurry!\Long time no see, Yuki!\Darn it, you up and left all of a sudden! You scared us!\Sorry. Chalk it up to grown-up reasons. response:	We'll be able to fight together again, right?
context: It's now 10km away!\I can't believe it...\How can it fly through a dense debris field at that speed?\Launch Kataphrakt platoons, hurry!\Long time no see, Yuki!\Darn it, you up and left all of a sudden! You scared us!\Sorry. Chalk it up to grown-up reasons.\We'll be able to fight together again, right? response:	So, I hear you guys have been busy.
context: I can't believe it...\How can it fly through a dense debris field at that speed?\Launch Kataphrakt platoons, hurry!\Long time no see, Yuki!\Darn it, you up and left all of a sudden! You scared us!\Sorry. Chalk it up to grown-up reasons.\We'll be able to fight together again, right?\So, I hear you guys have been busy. response:	Yep!
context: How can it fly through a dense debris field at that speed?\Launch Kataphrakt platoons, hurry!\Long time no see, Yuki!\Darn it, you up and left all of a sudden! You scared us!\Sorry. Chalk it up to grown-up reasons.\We'll be able to fight together again, right?\So, I hear you guys have been busy.\Yep! response:	And you haven't changed a bit, Yuki.
context: Launch Kataphrakt platoons, hurry!\Long time no see, Yuki!\Darn it, you up and left all of a sudden! You scared us!\Sorry. Chalk it up to grown-up reasons.\We'll be able to fight together again, right?\So, I hear you guys have been busy.\Yep!\And you haven't changed a bit, Yuki. response:	Rayet.
context: Long time no see, Yuki!\Darn it, you up and left all of a sudden! You scared us!\Sorry. Chalk it up to grown-up reasons.\We'll be able to fight together again, right?\So, I hear you guys have been busy.\Yep!\And you haven't changed a bit, Yuki.\Rayet. response:	So, you liking it here?
context: Darn it, you up and left all of a sudden! You scared us!\Sorry. Chalk it up to grown-up reasons.\We'll be able to fight together again, right?\So, I hear you guys have been busy.\Yep!\And you haven't changed a bit, Yuki.\Rayet.\So, you liking it here? response:	It's okay.
context: Sorry. Chalk it up to grown-up reasons.\We'll be able to fight together again, right?\So, I hear you guys have been busy.\Yep!\And you haven't changed a bit, Yuki.\Rayet.\So, you liking it here?\It's okay. response:	I'm glad.
context: We'll be able to fight together again, right?\So, I hear you guys have been busy.\Yep!\And you haven't changed a bit, Yuki.\Rayet.\So, you liking it here?\It's okay.\I'm glad. response:	Inaho is doing fine, too!
context: So, I hear you guys have been busy.\Yep!\And you haven't changed a bit, Yuki.\Rayet.\So, you liking it here?\It's okay.\I'm glad.\Inaho is doing fine, too! response:	It seemed that way.
context: Yep!\And you haven't changed a bit, Yuki.\Rayet.\So, you liking it here?\It's okay.\I'm glad.\Inaho is doing fine, too!\It seemed that way. response:	Did you see him already?
context: And you haven't changed a bit, Yuki.\Rayet.\So, you liking it here?\It's okay.\I'm glad.\Inaho is doing fine, too!\It seemed that way.\Did you see him already? response:	He just said hello over the radio.
context: Rayet.\So, you liking it here?\It's okay.\I'm glad.\Inaho is doing fine, too!\It seemed that way.\Did you see him already?\He just said hello over the radio. response:	Maybe he thinks that's enough.
context: So, you liking it here?\It's okay.\I'm glad.\Inaho is doing fine, too!\It seemed that way.\Did you see him already?\He just said hello over the radio.\Maybe he thinks that's enough. response:	I see... The memories resurfaced again, did they?
context: It's okay.\I'm glad.\Inaho is doing fine, too!\It seemed that way.\Did you see him already?\He just said hello over the radio.\Maybe he thinks that's enough.\I see... The memories resurfaced again, did they? response:	There doesn't seem to be any way to escape the damn things.
context: I'm glad.\Inaho is doing fine, too!\It seemed that way.\Did you see him already?\He just said hello over the radio.\Maybe he thinks that's enough.\I see... The memories resurfaced again, did they?\There doesn't seem to be any way to escape the damn things. response:	Is it possible that perhaps they were deliberately revived?
context: Inaho is doing fine, too!\It seemed that way.\Did you see him already?\He just said hello over the radio.\Maybe he thinks that's enough.\I see... The memories resurfaced again, did they?\There doesn't seem to be any way to escape the damn things.\Is it possible that perhaps they were deliberately revived? response:	Shock therapy you chose to perform to give a boost to your fading consciousness.
context: It seemed that way.\Did you see him already?\He just said hello over the radio.\Maybe he thinks that's enough.\I see... The memories resurfaced again, did they?\There doesn't seem to be any way to escape the damn things.\Is it possible that perhaps they were deliberately revived?\Shock therapy you chose to perform to give a boost to your fading consciousness. response:	No way...
context: Did you see him already?\He just said hello over the radio.\Maybe he thinks that's enough.\I see... The memories resurfaced again, did they?\There doesn't seem to be any way to escape the damn things.\Is it possible that perhaps they were deliberately revived?\Shock therapy you chose to perform to give a boost to your fading consciousness.\No way... response:	It's possible that you're using the memories of that tragedy
context: He just said hello over the radio.\Maybe he thinks that's enough.\I see... The memories resurfaced again, did they?\There doesn't seem to be any way to escape the damn things.\Is it possible that perhaps they were deliberately revived?\Shock therapy you chose to perform to give a boost to your fading consciousness.\No way...\It's possible that you're using the memories of that tragedy response:	to give yourself a reason to fight, Lieutenant.
context: Maybe he thinks that's enough.\I see... The memories resurfaced again, did they?\There doesn't seem to be any way to escape the damn things.\Is it possible that perhaps they were deliberately revived?\Shock therapy you chose to perform to give a boost to your fading consciousness.\No way...\It's possible that you're using the memories of that tragedy\to give yourself a reason to fight, Lieutenant. response:	Of course, you're not doing this consciously.
context: I see... The memories resurfaced again, did they?\There doesn't seem to be any way to escape the damn things.\Is it possible that perhaps they were deliberately revived?\Shock therapy you chose to perform to give a boost to your fading consciousness.\No way...\It's possible that you're using the memories of that tragedy\to give yourself a reason to fight, Lieutenant.\Of course, you're not doing this consciously. response:	You're saying that I've beaten them?
context: There doesn't seem to be any way to escape the damn things.\Is it possible that perhaps they were deliberately revived?\Shock therapy you chose to perform to give a boost to your fading consciousness.\No way...\It's possible that you're using the memories of that tragedy\to give yourself a reason to fight, Lieutenant.\Of course, you're not doing this consciously.\You're saying that I've beaten them? response:	At the very least, you've won the battle.
context: Is it possible that perhaps they were deliberately revived?\Shock therapy you chose to perform to give a boost to your fading consciousness.\No way...\It's possible that you're using the memories of that tragedy\to give yourself a reason to fight, Lieutenant.\Of course, you're not doing this consciously.\You're saying that I've beaten them?\At the very least, you've won the battle. response:	I'm sure it was around here...
context: Shock therapy you chose to perform to give a boost to your fading consciousness.\No way...\It's possible that you're using the memories of that tragedy\to give yourself a reason to fight, Lieutenant.\Of course, you're not doing this consciously.\You're saying that I've beaten them?\At the very least, you've won the battle.\I'm sure it was around here... response:	I hope you accept that fact, if nothing else.
context: No way...\It's possible that you're using the memories of that tragedy\to give yourself a reason to fight, Lieutenant.\Of course, you're not doing this consciously.\You're saying that I've beaten them?\At the very least, you've won the battle.\I'm sure it was around here...\I hope you accept that fact, if nothing else. response:	Found it!
context: It's possible that you're using the memories of that tragedy\to give yourself a reason to fight, Lieutenant.\Of course, you're not doing this consciously.\You're saying that I've beaten them?\At the very least, you've won the battle.\I'm sure it was around here...\I hope you accept that fact, if nothing else.\Found it! response:	That's mine... That's where you've been hiding it?
context: to give yourself a reason to fight, Lieutenant.\Of course, you're not doing this consciously.\You're saying that I've beaten them?\At the very least, you've won the battle.\I'm sure it was around here...\I hope you accept that fact, if nothing else.\Found it!\That's mine... That's where you've been hiding it? response:	If you're confronting the past, your drinking takes on an entirely different meaning.
context: Of course, you're not doing this consciously.\You're saying that I've beaten them?\At the very least, you've won the battle.\I'm sure it was around here...\I hope you accept that fact, if nothing else.\Found it!\That's mine... That's where you've been hiding it?\If you're confronting the past, your drinking takes on an entirely different meaning. response:	Hey, these have been sterilized, haven't they?
context: You're saying that I've beaten them?\At the very least, you've won the battle.\I'm sure it was around here...\I hope you accept that fact, if nothing else.\Found it!\That's mine... That's where you've been hiding it?\If you're confronting the past, your drinking takes on an entirely different meaning.\Hey, these have been sterilized, haven't they? response:	Lieutenant! There's an emergency! It's Trident Base!
context: At the very least, you've won the battle.\I'm sure it was around here...\I hope you accept that fact, if nothing else.\Found it!\That's mine... That's where you've been hiding it?\If you're confronting the past, your drinking takes on an entirely different meaning.\Hey, these have been sterilized, haven't they?\Lieutenant! There's an emergency! It's Trident Base! response:	This is a recording from the time of the attack.
context: I'm sure it was around here...\I hope you accept that fact, if nothing else.\Found it!\That's mine... That's where you've been hiding it?\If you're confronting the past, your drinking takes on an entirely different meaning.\Hey, these have been sterilized, haven't they?\Lieutenant! There's an emergency! It's Trident Base!\This is a recording from the time of the attack. response:	It waited until the shuttles had entered the docking bay
context: I hope you accept that fact, if nothing else.\Found it!\That's mine... That's where you've been hiding it?\If you're confronting the past, your drinking takes on an entirely different meaning.\Hey, these have been sterilized, haven't they?\Lieutenant! There's an emergency! It's Trident Base!\This is a recording from the time of the attack.\It waited until the shuttles had entered the docking bay response:	and then set off all the munitions they were carrying at once.
context: Found it!\That's mine... That's where you've been hiding it?\If you're confronting the past, your drinking takes on an entirely different meaning.\Hey, these have been sterilized, haven't they?\Lieutenant! There's an emergency! It's Trident Base!\This is a recording from the time of the attack.\It waited until the shuttles had entered the docking bay\and then set off all the munitions they were carrying at once. response:	Talk about lousy timing...
context: That's mine... That's where you've been hiding it?\If you're confronting the past, your drinking takes on an entirely different meaning.\Hey, these have been sterilized, haven't they?\Lieutenant! There's an emergency! It's Trident Base!\This is a recording from the time of the attack.\It waited until the shuttles had entered the docking bay\and then set off all the munitions they were carrying at once.\Talk about lousy timing... response:	No, I think it was planned.
context: If you're confronting the past, your drinking takes on an entirely different meaning.\Hey, these have been sterilized, haven't they?\Lieutenant! There's an emergency! It's Trident Base!\This is a recording from the time of the attack.\It waited until the shuttles had entered the docking bay\and then set off all the munitions they were carrying at once.\Talk about lousy timing...\No, I think it was planned. response:	Planned?
context: Hey, these have been sterilized, haven't they?\Lieutenant! There's an emergency! It's Trident Base!\This is a recording from the time of the attack.\It waited until the shuttles had entered the docking bay\and then set off all the munitions they were carrying at once.\Talk about lousy timing...\No, I think it was planned.\Planned? response:	There was just a major battle there, so it's a safe bet that shuttles would come.
context: Lieutenant! There's an emergency! It's Trident Base!\This is a recording from the time of the attack.\It waited until the shuttles had entered the docking bay\and then set off all the munitions they were carrying at once.\Talk about lousy timing...\No, I think it was planned.\Planned?\There was just a major battle there, so it's a safe bet that shuttles would come. response:	They probably checked to make sure that the base's reinforcements had left.
context: This is a recording from the time of the attack.\It waited until the shuttles had entered the docking bay\and then set off all the munitions they were carrying at once.\Talk about lousy timing...\No, I think it was planned.\Planned?\There was just a major battle there, so it's a safe bet that shuttles would come.\They probably checked to make sure that the base's reinforcements had left. response:	They stood a good chance of winning, so they attacked with just one unit.
context: It waited until the shuttles had entered the docking bay\and then set off all the munitions they were carrying at once.\Talk about lousy timing...\No, I think it was planned.\Planned?\There was just a major battle there, so it's a safe bet that shuttles would come.\They probably checked to make sure that the base's reinforcements had left.\They stood a good chance of winning, so they attacked with just one unit. response:	But the service details of munitions shuttles are supposed to be top secret.
context: and then set off all the munitions they were carrying at once.\Talk about lousy timing...\No, I think it was planned.\Planned?\There was just a major battle there, so it's a safe bet that shuttles would come.\They probably checked to make sure that the base's reinforcements had left.\They stood a good chance of winning, so they attacked with just one unit.\But the service details of munitions shuttles are supposed to be top secret. response:	All they really do is stuff like change their registry numbers and alter the supply routes.
context: Talk about lousy timing...\No, I think it was planned.\Planned?\There was just a major battle there, so it's a safe bet that shuttles would come.\They probably checked to make sure that the base's reinforcements had left.\They stood a good chance of winning, so they attacked with just one unit.\But the service details of munitions shuttles are supposed to be top secret.\All they really do is stuff like change their registry numbers and alter the supply routes. response:	You'd be able to sniff them out with careful cryptoanalysis and data sifting.
context: No, I think it was planned.\Planned?\There was just a major battle there, so it's a safe bet that shuttles would come.\They probably checked to make sure that the base's reinforcements had left.\They stood a good chance of winning, so they attacked with just one unit.\But the service details of munitions shuttles are supposed to be top secret.\All they really do is stuff like change their registry numbers and alter the supply routes.\You'd be able to sniff them out with careful cryptoanalysis and data sifting. response:	But...
context: Planned?\There was just a major battle there, so it's a safe bet that shuttles would come.\They probably checked to make sure that the base's reinforcements had left.\They stood a good chance of winning, so they attacked with just one unit.\But the service details of munitions shuttles are supposed to be top secret.\All they really do is stuff like change their registry numbers and alter the supply routes.\You'd be able to sniff them out with careful cryptoanalysis and data sifting.\But... response:	We're probably dealing with someone capable of that.
context: There was just a major battle there, so it's a safe bet that shuttles would come.\They probably checked to make sure that the base's reinforcements had left.\They stood a good chance of winning, so they attacked with just one unit.\But the service details of munitions shuttles are supposed to be top secret.\All they really do is stuff like change their registry numbers and alter the supply routes.\You'd be able to sniff them out with careful cryptoanalysis and data sifting.\But...\We're probably dealing with someone capable of that. response:	Milord Slaine, brilliantly done.
context: They probably checked to make sure that the base's reinforcements had left.\They stood a good chance of winning, so they attacked with just one unit.\But the service details of munitions shuttles are supposed to be top secret.\All they really do is stuff like change their registry numbers and alter the supply routes.\You'd be able to sniff them out with careful cryptoanalysis and data sifting.\But...\We're probably dealing with someone capable of that.\Milord Slaine, brilliantly done. response:	The fiend...
context: They stood a good chance of winning, so they attacked with just one unit.\But the service details of munitions shuttles are supposed to be top secret.\All they really do is stuff like change their registry numbers and alter the supply routes.\You'd be able to sniff them out with careful cryptoanalysis and data sifting.\But...\We're probably dealing with someone capable of that.\Milord Slaine, brilliantly done.\The fiend... response:	You mustn't overlook his results.
context: But the service details of munitions shuttles are supposed to be top secret.\All they really do is stuff like change their registry numbers and alter the supply routes.\You'd be able to sniff them out with careful cryptoanalysis and data sifting.\But...\We're probably dealing with someone capable of that.\Milord Slaine, brilliantly done.\The fiend...\You mustn't overlook his results. response:	He did what he set out to do and did it brilliantly.
context: All they really do is stuff like change their registry numbers and alter the supply routes.\You'd be able to sniff them out with careful cryptoanalysis and data sifting.\But...\We're probably dealing with someone capable of that.\Milord Slaine, brilliantly done.\The fiend...\You mustn't overlook his results.\He did what he set out to do and did it brilliantly. response:	We can't brand him a traitor, not now.
context: You'd be able to sniff them out with careful cryptoanalysis and data sifting.\But...\We're probably dealing with someone capable of that.\Milord Slaine, brilliantly done.\The fiend...\You mustn't overlook his results.\He did what he set out to do and did it brilliantly.\We can't brand him a traitor, not now. response:	Causes always rally around the powerful.
context: But...\We're probably dealing with someone capable of that.\Milord Slaine, brilliantly done.\The fiend...\You mustn't overlook his results.\He did what he set out to do and did it brilliantly.\We can't brand him a traitor, not now.\Causes always rally around the powerful. response:	The mangy cur has transformed himself into a wolf.
context: We're probably dealing with someone capable of that.\Milord Slaine, brilliantly done.\The fiend...\You mustn't overlook his results.\He did what he set out to do and did it brilliantly.\We can't brand him a traitor, not now.\Causes always rally around the powerful.\The mangy cur has transformed himself into a wolf. response:	Harklight, we're returning to the Moon.
context: Milord Slaine, brilliantly done.\The fiend...\You mustn't overlook his results.\He did what he set out to do and did it brilliantly.\We can't brand him a traitor, not now.\Causes always rally around the powerful.\The mangy cur has transformed himself into a wolf.\Harklight, we're returning to the Moon. response:	The Tharsis...
context: The fiend...\You mustn't overlook his results.\He did what he set out to do and did it brilliantly.\We can't brand him a traitor, not now.\Causes always rally around the powerful.\The mangy cur has transformed himself into a wolf.\Harklight, we're returning to the Moon.\The Tharsis... response:	Slaine Troyard.
context: You mustn't overlook his results.\He did what he set out to do and did it brilliantly.\We can't brand him a traitor, not now.\Causes always rally around the powerful.\The mangy cur has transformed himself into a wolf.\Harklight, we're returning to the Moon.\The Tharsis...\Slaine Troyard. response:	I guess I have no choice.
