context: And finally, I'll sprinkle on some herbs... response:	Yes, come in!
context: I see...\You had a guard, huh...?\What the heck? I was planning to take that job for myself wherever I presented her\and make some money while I was at it.\You thought about that, too?\Yeah. This mansion used to be my house.\Our vacation home from when we were still nobility.\No wonder you knew it so well. response:	Now, I can only live in hiding like a stray dog.
context: You had a guard, huh...?\What the heck? I was planning to take that job for myself wherever I presented her\and make some money while I was at it.\You thought about that, too?\Yeah. This mansion used to be my house.\Our vacation home from when we were still nobility.\No wonder you knew it so well.\Now, I can only live in hiding like a stray dog. response:	In the past, this was a pretty gorgeous house, though.
context: What the heck? I was planning to take that job for myself wherever I presented her\and make some money while I was at it.\You thought about that, too?\Yeah. This mansion used to be my house.\Our vacation home from when we were still nobility.\No wonder you knew it so well.\Now, I can only live in hiding like a stray dog.\In the past, this was a pretty gorgeous house, though. response:	Social status and family name can be swallowed up by darkness in a second.
context: and make some money while I was at it.\You thought about that, too?\Yeah. This mansion used to be my house.\Our vacation home from when we were still nobility.\No wonder you knew it so well.\Now, I can only live in hiding like a stray dog.\In the past, this was a pretty gorgeous house, though.\Social status and family name can be swallowed up by darkness in a second. response:	People like you who wear nice clothes and act all elegant
context: You thought about that, too?\Yeah. This mansion used to be my house.\Our vacation home from when we were still nobility.\No wonder you knew it so well.\Now, I can only live in hiding like a stray dog.\In the past, this was a pretty gorgeous house, though.\Social status and family name can be swallowed up by darkness in a second.\People like you who wear nice clothes and act all elegant response:	will have nothing left if you lose your fortune.
context: Yeah. This mansion used to be my house.\Our vacation home from when we were still nobility.\No wonder you knew it so well.\Now, I can only live in hiding like a stray dog.\In the past, this was a pretty gorgeous house, though.\Social status and family name can be swallowed up by darkness in a second.\People like you who wear nice clothes and act all elegant\will have nothing left if you lose your fortune. response:	Just wait until you're covered with filth.
context: Our vacation home from when we were still nobility.\No wonder you knew it so well.\Now, I can only live in hiding like a stray dog.\In the past, this was a pretty gorgeous house, though.\Social status and family name can be swallowed up by darkness in a second.\People like you who wear nice clothes and act all elegant\will have nothing left if you lose your fortune.\Just wait until you're covered with filth. response:	But I won't live like this any longer.
context: No wonder you knew it so well.\Now, I can only live in hiding like a stray dog.\In the past, this was a pretty gorgeous house, though.\Social status and family name can be swallowed up by darkness in a second.\People like you who wear nice clothes and act all elegant\will have nothing left if you lose your fortune.\Just wait until you're covered with filth.\But I won't live like this any longer. response:	I don't care how, but I'm gonna make money no matter what it takes.
context: Now, I can only live in hiding like a stray dog.\In the past, this was a pretty gorgeous house, though.\Social status and family name can be swallowed up by darkness in a second.\People like you who wear nice clothes and act all elegant\will have nothing left if you lose your fortune.\Just wait until you're covered with filth.\But I won't live like this any longer.\I don't care how, but I'm gonna make money no matter what it takes. response:	That was when I thought I could use you, Red.
context: In the past, this was a pretty gorgeous house, though.\Social status and family name can be swallowed up by darkness in a second.\People like you who wear nice clothes and act all elegant\will have nothing left if you lose your fortune.\Just wait until you're covered with filth.\But I won't live like this any longer.\I don't care how, but I'm gonna make money no matter what it takes.\That was when I thought I could use you, Red. response:	Shut up.
context: Social status and family name can be swallowed up by darkness in a second.\People like you who wear nice clothes and act all elegant\will have nothing left if you lose your fortune.\Just wait until you're covered with filth.\But I won't live like this any longer.\I don't care how, but I'm gonna make money no matter what it takes.\That was when I thought I could use you, Red.\Shut up. response:	I don't have any desire to know how this girl looks in your eyes.
context: People like you who wear nice clothes and act all elegant\will have nothing left if you lose your fortune.\Just wait until you're covered with filth.\But I won't live like this any longer.\I don't care how, but I'm gonna make money no matter what it takes.\That was when I thought I could use you, Red.\Shut up.\I don't have any desire to know how this girl looks in your eyes. response:	Shirayuki is not here to be used as anyone's tool.
context: will have nothing left if you lose your fortune.\Just wait until you're covered with filth.\But I won't live like this any longer.\I don't care how, but I'm gonna make money no matter what it takes.\That was when I thought I could use you, Red.\Shut up.\I don't have any desire to know how this girl looks in your eyes.\Shirayuki is not here to be used as anyone's tool. response:	Your name's Shirayuki?
context: Just wait until you're covered with filth.\But I won't live like this any longer.\I don't care how, but I'm gonna make money no matter what it takes.\That was when I thought I could use you, Red.\Shut up.\I don't have any desire to know how this girl looks in your eyes.\Shirayuki is not here to be used as anyone's tool.\Your name's Shirayuki? response:	Don't soil her name!
context: But I won't live like this any longer.\I don't care how, but I'm gonna make money no matter what it takes.\That was when I thought I could use you, Red.\Shut up.\I don't have any desire to know how this girl looks in your eyes.\Shirayuki is not here to be used as anyone's tool.\Your name's Shirayuki?\Don't soil her name! response:	What the heck? Are you her dad or something?
context: I don't care how, but I'm gonna make money no matter what it takes.\That was when I thought I could use you, Red.\Shut up.\I don't have any desire to know how this girl looks in your eyes.\Shirayuki is not here to be used as anyone's tool.\Your name's Shirayuki?\Don't soil her name!\What the heck? Are you her dad or something? response:	Her dad...?
context: That was when I thought I could use you, Red.\Shut up.\I don't have any desire to know how this girl looks in your eyes.\Shirayuki is not here to be used as anyone's tool.\Your name's Shirayuki?\Don't soil her name!\What the heck? Are you her dad or something?\Her dad...? response:	Shirayuki, was there anyone with this man?
context: Shut up.\I don't have any desire to know how this girl looks in your eyes.\Shirayuki is not here to be used as anyone's tool.\Your name's Shirayuki?\Don't soil her name!\What the heck? Are you her dad or something?\Her dad...?\Shirayuki, was there anyone with this man? response:	Huh? I wonder...
context: I don't have any desire to know how this girl looks in your eyes.\Shirayuki is not here to be used as anyone's tool.\Your name's Shirayuki?\Don't soil her name!\What the heck? Are you her dad or something?\Her dad...?\Shirayuki, was there anyone with this man?\Huh? I wonder... response:	I didn't see anyone else.
context: Shirayuki is not here to be used as anyone's tool.\Your name's Shirayuki?\Don't soil her name!\What the heck? Are you her dad or something?\Her dad...?\Shirayuki, was there anyone with this man?\Huh? I wonder...\I didn't see anyone else. response:	If he's by himself, we can just take him down the mountain...
context: Your name's Shirayuki?\Don't soil her name!\What the heck? Are you her dad or something?\Her dad...?\Shirayuki, was there anyone with this man?\Huh? I wonder...\I didn't see anyone else.\If he's by himself, we can just take him down the mountain... response:	Even if we don't escort him all the way to the castle,
context: Don't soil her name!\What the heck? Are you her dad or something?\Her dad...?\Shirayuki, was there anyone with this man?\Huh? I wonder...\I didn't see anyone else.\If he's by himself, we can just take him down the mountain...\Even if we don't escort him all the way to the castle, response:	we can just hand him over to an official at the bottom of the mountain.
context: What the heck? Are you her dad or something?\Her dad...?\Shirayuki, was there anyone with this man?\Huh? I wonder...\I didn't see anyone else.\If he's by himself, we can just take him down the mountain...\Even if we don't escort him all the way to the castle,\we can just hand him over to an official at the bottom of the mountain. response:	Castle? Who in the world are you?
context: Her dad...?\Shirayuki, was there anyone with this man?\Huh? I wonder...\I didn't see anyone else.\If he's by himself, we can just take him down the mountain...\Even if we don't escort him all the way to the castle,\we can just hand him over to an official at the bottom of the mountain.\Castle? Who in the world are you? response:	What's your name?
context: Shirayuki, was there anyone with this man?\Huh? I wonder...\I didn't see anyone else.\If he's by himself, we can just take him down the mountain...\Even if we don't escort him all the way to the castle,\we can just hand him over to an official at the bottom of the mountain.\Castle? Who in the world are you?\What's your name? response:	Zen.
context: Huh? I wonder...\I didn't see anyone else.\If he's by himself, we can just take him down the mountain...\Even if we don't escort him all the way to the castle,\we can just hand him over to an official at the bottom of the mountain.\Castle? Who in the world are you?\What's your name?\Zen. response:	Zen...?
context: I didn't see anyone else.\If he's by himself, we can just take him down the mountain...\Even if we don't escort him all the way to the castle,\we can just hand him over to an official at the bottom of the mountain.\Castle? Who in the world are you?\What's your name?\Zen.\Zen...? response:	Zen, as in...
context: If he's by himself, we can just take him down the mountain...\Even if we don't escort him all the way to the castle,\we can just hand him over to an official at the bottom of the mountain.\Castle? Who in the world are you?\What's your name?\Zen.\Zen...?\Zen, as in... response:	I'm Shirayuki's friend.
context: Even if we don't escort him all the way to the castle,\we can just hand him over to an official at the bottom of the mountain.\Castle? Who in the world are you?\What's your name?\Zen.\Zen...?\Zen, as in...\I'm Shirayuki's friend. response:	Excuse me!
context: we can just hand him over to an official at the bottom of the mountain.\Castle? Who in the world are you?\What's your name?\Zen.\Zen...?\Zen, as in...\I'm Shirayuki's friend.\Excuse me! response:	Please use this on that man's injuries.
context: Castle? Who in the world are you?\What's your name?\Zen.\Zen...?\Zen, as in...\I'm Shirayuki's friend.\Excuse me!\Please use this on that man's injuries. response:	Hey, Red. Where is the place you said you wanted to go by yourself?
context: What's your name?\Zen.\Zen...?\Zen, as in...\I'm Shirayuki's friend.\Excuse me!\Please use this on that man's injuries.\Hey, Red. Where is the place you said you wanted to go by yourself? response:	Huh?
context: Zen.\Zen...?\Zen, as in...\I'm Shirayuki's friend.\Excuse me!\Please use this on that man's injuries.\Hey, Red. Where is the place you said you wanted to go by yourself?\Huh? response:	Come on, let's go!
context: Zen...?\Zen, as in...\I'm Shirayuki's friend.\Excuse me!\Please use this on that man's injuries.\Hey, Red. Where is the place you said you wanted to go by yourself?\Huh?\Come on, let's go! response:	Start walking!
context: Zen, as in...\I'm Shirayuki's friend.\Excuse me!\Please use this on that man's injuries.\Hey, Red. Where is the place you said you wanted to go by yourself?\Huh?\Come on, let's go!\Start walking! response:	From what the officials said, that Mihaya didn't seem to be connected to any bandits.
context: I'm Shirayuki's friend.\Excuse me!\Please use this on that man's injuries.\Hey, Red. Where is the place you said you wanted to go by yourself?\Huh?\Come on, let's go!\Start walking!\From what the officials said, that Mihaya didn't seem to be connected to any bandits. response:	Yeah.
context: Excuse me!\Please use this on that man's injuries.\Hey, Red. Where is the place you said you wanted to go by yourself?\Huh?\Come on, let's go!\Start walking!\From what the officials said, that Mihaya didn't seem to be connected to any bandits.\Yeah. response:	But just in case, I'll be more careful of my surroundings for a while.
context: Please use this on that man's injuries.\Hey, Red. Where is the place you said you wanted to go by yourself?\Huh?\Come on, let's go!\Start walking!\From what the officials said, that Mihaya didn't seem to be connected to any bandits.\Yeah.\But just in case, I'll be more careful of my surroundings for a while. response:	Yeah.
context: Hey, Red. Where is the place you said you wanted to go by yourself?\Huh?\Come on, let's go!\Start walking!\From what the officials said, that Mihaya didn't seem to be connected to any bandits.\Yeah.\But just in case, I'll be more careful of my surroundings for a while.\Yeah. response:	Zen, are you angr-
context: Huh?\Come on, let's go!\Start walking!\From what the officials said, that Mihaya didn't seem to be connected to any bandits.\Yeah.\But just in case, I'll be more careful of my surroundings for a while.\Yeah.\Zen, are you angr- response:	No.
context: Come on, let's go!\Start walking!\From what the officials said, that Mihaya didn't seem to be connected to any bandits.\Yeah.\But just in case, I'll be more careful of my surroundings for a while.\Yeah.\Zen, are you angr-\No. response:	Then, will you look this way for just a little bit?
context: Start walking!\From what the officials said, that Mihaya didn't seem to be connected to any bandits.\Yeah.\But just in case, I'll be more careful of my surroundings for a while.\Yeah.\Zen, are you angr-\No.\Then, will you look this way for just a little bit? response:	Ten seconds!
context: From what the officials said, that Mihaya didn't seem to be connected to any bandits.\Yeah.\But just in case, I'll be more careful of my surroundings for a while.\Yeah.\Zen, are you angr-\No.\Then, will you look this way for just a little bit?\Ten seconds! response:	Zen, you came to find me... words aren't enough, but...
context: Yeah.\But just in case, I'll be more careful of my surroundings for a while.\Yeah.\Zen, are you angr-\No.\Then, will you look this way for just a little bit?\Ten seconds!\Zen, you came to find me... words aren't enough, but... response:	Thank y-
context: But just in case, I'll be more careful of my surroundings for a while.\Yeah.\Zen, are you angr-\No.\Then, will you look this way for just a little bit?\Ten seconds!\Zen, you came to find me... words aren't enough, but...\Thank y- response:	Five seconds was enough.
context: Yeah.\Zen, are you angr-\No.\Then, will you look this way for just a little bit?\Ten seconds!\Zen, you came to find me... words aren't enough, but...\Thank y-\Five seconds was enough. response:	More than enough.
context: Zen, are you angr-\No.\Then, will you look this way for just a little bit?\Ten seconds!\Zen, you came to find me... words aren't enough, but...\Thank y-\Five seconds was enough.\More than enough. response:	It's true that I was a little angry.
context: No.\Then, will you look this way for just a little bit?\Ten seconds!\Zen, you came to find me... words aren't enough, but...\Thank y-\Five seconds was enough.\More than enough.\It's true that I was a little angry. response:	Huh?
context: Then, will you look this way for just a little bit?\Ten seconds!\Zen, you came to find me... words aren't enough, but...\Thank y-\Five seconds was enough.\More than enough.\It's true that I was a little angry.\Huh? response:	Not at you.
context: Ten seconds!\Zen, you came to find me... words aren't enough, but...\Thank y-\Five seconds was enough.\More than enough.\It's true that I was a little angry.\Huh?\Not at you. response:	It's hard to explain, but it was more at myself...
context: Zen, you came to find me... words aren't enough, but...\Thank y-\Five seconds was enough.\More than enough.\It's true that I was a little angry.\Huh?\Not at you.\It's hard to explain, but it was more at myself... response:	It was fun just learning more about things outside the castle.
context: Thank y-\Five seconds was enough.\More than enough.\It's true that I was a little angry.\Huh?\Not at you.\It's hard to explain, but it was more at myself...\It was fun just learning more about things outside the castle. response:	But after learning about them, I wonder about what I can do...
context: Five seconds was enough.\More than enough.\It's true that I was a little angry.\Huh?\Not at you.\It's hard to explain, but it was more at myself...\It was fun just learning more about things outside the castle.\But after learning about them, I wonder about what I can do... response:	Zen...
context: More than enough.\It's true that I was a little angry.\Huh?\Not at you.\It's hard to explain, but it was more at myself...\It was fun just learning more about things outside the castle.\But after learning about them, I wonder about what I can do...\Zen... response:	Shirayuki, what that mountain monkey asked you when he left that you didn't answer...
context: It's true that I was a little angry.\Huh?\Not at you.\It's hard to explain, but it was more at myself...\It was fun just learning more about things outside the castle.\But after learning about them, I wonder about what I can do...\Zen...\Shirayuki, what that mountain monkey asked you when he left that you didn't answer... response:	The place you decided to go by yourself...
context: Huh?\Not at you.\It's hard to explain, but it was more at myself...\It was fun just learning more about things outside the castle.\But after learning about them, I wonder about what I can do...\Zen...\Shirayuki, what that mountain monkey asked you when he left that you didn't answer...\The place you decided to go by yourself... response:	Oh, the reason I decided to come to this country...
context: Not at you.\It's hard to explain, but it was more at myself...\It was fun just learning more about things outside the castle.\But after learning about them, I wonder about what I can do...\Zen...\Shirayuki, what that mountain monkey asked you when he left that you didn't answer...\The place you decided to go by yourself...\Oh, the reason I decided to come to this country... response:	I want to see how you live in this country,
context: It's hard to explain, but it was more at myself...\It was fun just learning more about things outside the castle.\But after learning about them, I wonder about what I can do...\Zen...\Shirayuki, what that mountain monkey asked you when he left that you didn't answer...\The place you decided to go by yourself...\Oh, the reason I decided to come to this country...\I want to see how you live in this country, response:	and the place where I'll be able to do that is where I've decided to go.
context: It was fun just learning more about things outside the castle.\But after learning about them, I wonder about what I can do...\Zen...\Shirayuki, what that mountain monkey asked you when he left that you didn't answer...\The place you decided to go by yourself...\Oh, the reason I decided to come to this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go. response:	I hope I can see you from that place, too.
context: But after learning about them, I wonder about what I can do...\Zen...\Shirayuki, what that mountain monkey asked you when he left that you didn't answer...\The place you decided to go by yourself...\Oh, the reason I decided to come to this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too. response:	Huh?
context: Zen...\Shirayuki, what that mountain monkey asked you when he left that you didn't answer...\The place you decided to go by yourself...\Oh, the reason I decided to come to this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Huh? response:	Shirayuki, I want to say thanks, too.
context: Shirayuki, what that mountain monkey asked you when he left that you didn't answer...\The place you decided to go by yourself...\Oh, the reason I decided to come to this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Huh?\Shirayuki, I want to say thanks, too. response:	Thanks for being unhurt.
context: The place you decided to go by yourself...\Oh, the reason I decided to come to this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Huh?\Shirayuki, I want to say thanks, too.\Thanks for being unhurt. response:	This is the country I've settled in...
context: Oh, the reason I decided to come to this country...\I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Huh?\Shirayuki, I want to say thanks, too.\Thanks for being unhurt.\This is the country I've settled in... response:	The town I've settled in...
context: I want to see how you live in this country,\and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Huh?\Shirayuki, I want to say thanks, too.\Thanks for being unhurt.\This is the country I've settled in...\The town I've settled in... response:	The road I've settled on.
context: and the place where I'll be able to do that is where I've decided to go.\I hope I can see you from that place, too.\Huh?\Shirayuki, I want to say thanks, too.\Thanks for being unhurt.\This is the country I've settled in...\The town I've settled in...\The road I've settled on. response:	Even if I end up at a standstill,
context: I hope I can see you from that place, too.\Huh?\Shirayuki, I want to say thanks, too.\Thanks for being unhurt.\This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Even if I end up at a standstill, response:	because it's the place I chose for myself,
context: Huh?\Shirayuki, I want to say thanks, too.\Thanks for being unhurt.\This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Even if I end up at a standstill,\because it's the place I chose for myself, response:	I'm sure a dazzling wind will blow at my back.
context: Shirayuki, I want to say thanks, too.\Thanks for being unhurt.\This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Even if I end up at a standstill,\because it's the place I chose for myself,\I'm sure a dazzling wind will blow at my back. response:	Zen, your country is great, after all.
context: Thanks for being unhurt.\This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Even if I end up at a standstill,\because it's the place I chose for myself,\I'm sure a dazzling wind will blow at my back.\Zen, your country is great, after all. response:	The girl has expectations and will take advantage of you.
context: This is the country I've settled in...\The town I've settled in...\The road I've settled on.\Even if I end up at a standstill,\because it's the place I chose for myself,\I'm sure a dazzling wind will blow at my back.\Zen, your country is great, after all.\The girl has expectations and will take advantage of you. response:	I decided to go for it, so I came to tell you.
context: The town I've settled in...\The road I've settled on.\Even if I end up at a standstill,\because it's the place I chose for myself,\I'm sure a dazzling wind will blow at my back.\Zen, your country is great, after all.\The girl has expectations and will take advantage of you.\I decided to go for it, so I came to tell you. response:	Oh? So that red-haired girl is Prince Zen's friend, huh?
context: The road I've settled on.\Even if I end up at a standstill,\because it's the place I chose for myself,\I'm sure a dazzling wind will blow at my back.\Zen, your country is great, after all.\The girl has expectations and will take advantage of you.\I decided to go for it, so I came to tell you.\Oh? So that red-haired girl is Prince Zen's friend, huh? response:	Episode 3: Shining Time of Promise
context: Even if I end up at a standstill,\because it's the place I chose for myself,\I'm sure a dazzling wind will blow at my back.\Zen, your country is great, after all.\The girl has expectations and will take advantage of you.\I decided to go for it, so I came to tell you.\Oh? So that red-haired girl is Prince Zen's friend, huh?\Episode 3: Shining Time of Promise response:	It is a vulgar color...
