context: Was it last year? response:	When we were having a competition with Hotarugawa,
context: The red snow that the angel released...\Turned white, and piled up.\On the cracked ground...\On the muddy water...\It piled, and piled...\Until it became a snow-white field.\Everywhere...\White everywhere. response:	Alright!
context: Turned white, and piled up.\On the cracked ground...\On the muddy water...\It piled, and piled...\Until it became a snow-white field.\Everywhere...\White everywhere.\Alright! response:	Mornin'.
context: On the cracked ground...\On the muddy water...\It piled, and piled...\Until it became a snow-white field.\Everywhere...\White everywhere.\Alright!\Mornin'. response:	M-morning!
context: On the muddy water...\It piled, and piled...\Until it became a snow-white field.\Everywhere...\White everywhere.\Alright!\Mornin'.\M-morning! response:	I'm sorry.
context: It piled, and piled...\Until it became a snow-white field.\Everywhere...\White everywhere.\Alright!\Mornin'.\M-morning!\I'm sorry. response:	For the way I spoke before.
context: Until it became a snow-white field.\Everywhere...\White everywhere.\Alright!\Mornin'.\M-morning!\I'm sorry.\For the way I spoke before. response:	That's why... umm...
context: Everywhere...\White everywhere.\Alright!\Mornin'.\M-morning!\I'm sorry.\For the way I spoke before.\That's why... umm... response:	That one is...
context: White everywhere.\Alright!\Mornin'.\M-morning!\I'm sorry.\For the way I spoke before.\That's why... umm...\That one is... response:	Face-wash...
context: Alright!\Mornin'.\M-morning!\I'm sorry.\For the way I spoke before.\That's why... umm...\That one is...\Face-wash... response:	Cellphone!
context: Mornin'.\M-morning!\I'm sorry.\For the way I spoke before.\That's why... umm...\That one is...\Face-wash...\Cellphone! response:	Thank you!
context: M-morning!\I'm sorry.\For the way I spoke before.\That's why... umm...\That one is...\Face-wash...\Cellphone!\Thank you! response:	Umm... why'd you take a photo?
context: I'm sorry.\For the way I spoke before.\That's why... umm...\That one is...\Face-wash...\Cellphone!\Thank you!\Umm... why'd you take a photo? response:	Because it's common in manga and the like,
context: For the way I spoke before.\That's why... umm...\That one is...\Face-wash...\Cellphone!\Thank you!\Umm... why'd you take a photo?\Because it's common in manga and the like, response:	but it doesn't happen often in real life.
context: That's why... umm...\That one is...\Face-wash...\Cellphone!\Thank you!\Umm... why'd you take a photo?\Because it's common in manga and the like,\but it doesn't happen often in real life. response:	T-that doesn't mean you have to take one, does it?
context: That one is...\Face-wash...\Cellphone!\Thank you!\Umm... why'd you take a photo?\Because it's common in manga and the like,\but it doesn't happen often in real life.\T-that doesn't mean you have to take one, does it? response:	Your smile was also quite bright!
context: Face-wash...\Cellphone!\Thank you!\Umm... why'd you take a photo?\Because it's common in manga and the like,\but it doesn't happen often in real life.\T-that doesn't mean you have to take one, does it?\Your smile was also quite bright! response:	T-that's because I was looking at the camera!
context: Cellphone!\Thank you!\Umm... why'd you take a photo?\Because it's common in manga and the like,\but it doesn't happen often in real life.\T-that doesn't mean you have to take one, does it?\Your smile was also quite bright!\T-that's because I was looking at the camera! response:	I can also...
context: Thank you!\Umm... why'd you take a photo?\Because it's common in manga and the like,\but it doesn't happen often in real life.\T-that doesn't mean you have to take one, does it?\Your smile was also quite bright!\T-that's because I was looking at the camera!\I can also... response:	It seems I can also make Hiromi smile.
context: Umm... why'd you take a photo?\Because it's common in manga and the like,\but it doesn't happen often in real life.\T-that doesn't mean you have to take one, does it?\Your smile was also quite bright!\T-that's because I was looking at the camera!\I can also...\It seems I can also make Hiromi smile. response:	Found you.
context: Because it's common in manga and the like,\but it doesn't happen often in real life.\T-that doesn't mean you have to take one, does it?\Your smile was also quite bright!\T-that's because I was looking at the camera!\I can also...\It seems I can also make Hiromi smile.\Found you. response:	N-no. 4...
context: but it doesn't happen often in real life.\T-that doesn't mean you have to take one, does it?\Your smile was also quite bright!\T-that's because I was looking at the camera!\I can also...\It seems I can also make Hiromi smile.\Found you.\N-no. 4... response:	Wh-why are you here?
context: T-that doesn't mean you have to take one, does it?\Your smile was also quite bright!\T-that's because I was looking at the camera!\I can also...\It seems I can also make Hiromi smile.\Found you.\N-no. 4...\Wh-why are you here? response:	You sure are friendly in our first conversation...
context: Your smile was also quite bright!\T-that's because I was looking at the camera!\I can also...\It seems I can also make Hiromi smile.\Found you.\N-no. 4...\Wh-why are you here?\You sure are friendly in our first conversation... response:	Nice to meet you.
context: T-that's because I was looking at the camera!\I can also...\It seems I can also make Hiromi smile.\Found you.\N-no. 4...\Wh-why are you here?\You sure are friendly in our first conversation...\Nice to meet you. response:	I'm Noe's brother, Isurugi Jun.
context: I can also...\It seems I can also make Hiromi smile.\Found you.\N-no. 4...\Wh-why are you here?\You sure are friendly in our first conversation...\Nice to meet you.\I'm Noe's brother, Isurugi Jun. response:	Nice to meet you! I'm Nakagami Shinichirou.
context: It seems I can also make Hiromi smile.\Found you.\N-no. 4...\Wh-why are you here?\You sure are friendly in our first conversation...\Nice to meet you.\I'm Noe's brother, Isurugi Jun.\Nice to meet you! I'm Nakagami Shinichirou. response:	I know.
context: Found you.\N-no. 4...\Wh-why are you here?\You sure are friendly in our first conversation...\Nice to meet you.\I'm Noe's brother, Isurugi Jun.\Nice to meet you! I'm Nakagami Shinichirou.\I know. response:	What's with this guy... just now he...
context: N-no. 4...\Wh-why are you here?\You sure are friendly in our first conversation...\Nice to meet you.\I'm Noe's brother, Isurugi Jun.\Nice to meet you! I'm Nakagami Shinichirou.\I know.\What's with this guy... just now he... response:	You really resemble your sister.
context: Wh-why are you here?\You sure are friendly in our first conversation...\Nice to meet you.\I'm Noe's brother, Isurugi Jun.\Nice to meet you! I'm Nakagami Shinichirou.\I know.\What's with this guy... just now he...\You really resemble your sister. response:	Not at all.
context: You sure are friendly in our first conversation...\Nice to meet you.\I'm Noe's brother, Isurugi Jun.\Nice to meet you! I'm Nakagami Shinichirou.\I know.\What's with this guy... just now he...\You really resemble your sister.\Not at all. response:	He's confusing me... no!
context: Nice to meet you.\I'm Noe's brother, Isurugi Jun.\Nice to meet you! I'm Nakagami Shinichirou.\I know.\What's with this guy... just now he...\You really resemble your sister.\Not at all.\He's confusing me... no! response:	This won't do! I can't get caught up in his pace!
context: I'm Noe's brother, Isurugi Jun.\Nice to meet you! I'm Nakagami Shinichirou.\I know.\What's with this guy... just now he...\You really resemble your sister.\Not at all.\He's confusing me... no!\This won't do! I can't get caught up in his pace! response:	Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence?
context: Nice to meet you! I'm Nakagami Shinichirou.\I know.\What's with this guy... just now he...\You really resemble your sister.\Not at all.\He's confusing me... no!\This won't do! I can't get caught up in his pace!\Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence? response:	I have a request.
context: I know.\What's with this guy... just now he...\You really resemble your sister.\Not at all.\He's confusing me... no!\This won't do! I can't get caught up in his pace!\Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence?\I have a request. response:	Huh?
context: What's with this guy... just now he...\You really resemble your sister.\Not at all.\He's confusing me... no!\This won't do! I can't get caught up in his pace!\Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence?\I have a request.\Huh? response:	I want you to go out with her.
context: You really resemble your sister.\Not at all.\He's confusing me... no!\This won't do! I can't get caught up in his pace!\Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence?\I have a request.\Huh?\I want you to go out with her. response:	Go out with Noe.
context: Not at all.\He's confusing me... no!\This won't do! I can't get caught up in his pace!\Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence?\I have a request.\Huh?\I want you to go out with her.\Go out with Noe. response:	What?!
context: He's confusing me... no!\This won't do! I can't get caught up in his pace!\Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence?\I have a request.\Huh?\I want you to go out with her.\Go out with Noe.\What?! response:	Although I didn't say so clearly,
context: This won't do! I can't get caught up in his pace!\Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence?\I have a request.\Huh?\I want you to go out with her.\Go out with Noe.\What?!\Although I didn't say so clearly, response:	but I want the two of you to stop wandering around together.
context: Eh... then... mind if I ask what business Isurugi Noe's brother would have at our residence?\I have a request.\Huh?\I want you to go out with her.\Go out with Noe.\What?!\Although I didn't say so clearly,\but I want the two of you to stop wandering around together. response:	Ah, you mean No. 6 on your team?
context: I have a request.\Huh?\I want you to go out with her.\Go out with Noe.\What?!\Although I didn't say so clearly,\but I want the two of you to stop wandering around together.\Ah, you mean No. 6 on your team? response:	I came into your room because I wanted to tell you this.
context: Huh?\I want you to go out with her.\Go out with Noe.\What?!\Although I didn't say so clearly,\but I want the two of you to stop wandering around together.\Ah, you mean No. 6 on your team?\I came into your room because I wanted to tell you this. response:	I don't like nosy boys like you.
