context: She should have gone this way. response:	Let's look over there.
context: What's that?\A flag of light?\Could this be...\Did my power get stronger when I met\Serika, the bard?\No, this light is...\They're connected.\The world is being drawn to her flag and song. response:	It's being drawn to me?
context: A flag of light?\Could this be...\Did my power get stronger when I met\Serika, the bard?\No, this light is...\They're connected.\The world is being drawn to her flag and song.\It's being drawn to me? response:	So that's how it is..
context: Could this be...\Did my power get stronger when I met\Serika, the bard?\No, this light is...\They're connected.\The world is being drawn to her flag and song.\It's being drawn to me?\So that's how it is.. response:	I thought that my death flag drew evil from all over the world,
context: Did my power get stronger when I met\Serika, the bard?\No, this light is...\They're connected.\The world is being drawn to her flag and song.\It's being drawn to me?\So that's how it is..\I thought that my death flag drew evil from all over the world, response:	and brought me nothing but despair.
context: Serika, the bard?\No, this light is...\They're connected.\The world is being drawn to her flag and song.\It's being drawn to me?\So that's how it is..\I thought that my death flag drew evil from all over the world,\and brought me nothing but despair. response:	But that was wrong.
context: No, this light is...\They're connected.\The world is being drawn to her flag and song.\It's being drawn to me?\So that's how it is..\I thought that my death flag drew evil from all over the world,\and brought me nothing but despair.\But that was wrong. response:	I have people connected to me with
context: They're connected.\The world is being drawn to her flag and song.\It's being drawn to me?\So that's how it is..\I thought that my death flag drew evil from all over the world,\and brought me nothing but despair.\But that was wrong.\I have people connected to me with response:	kindness that can overcome any evil.
context: The world is being drawn to her flag and song.\It's being drawn to me?\So that's how it is..\I thought that my death flag drew evil from all over the world,\and brought me nothing but despair.\But that was wrong.\I have people connected to me with\kindness that can overcome any evil. response:	I have people who give me hope that will paint over the despair.
context: It's being drawn to me?\So that's how it is..\I thought that my death flag drew evil from all over the world,\and brought me nothing but despair.\But that was wrong.\I have people connected to me with\kindness that can overcome any evil.\I have people who give me hope that will paint over the despair. response:	All I did was turn my back on the world,
context: So that's how it is..\I thought that my death flag drew evil from all over the world,\and brought me nothing but despair.\But that was wrong.\I have people connected to me with\kindness that can overcome any evil.\I have people who give me hope that will paint over the despair.\All I did was turn my back on the world, response:	so I didn't notice something so simple.
context: I thought that my death flag drew evil from all over the world,\and brought me nothing but despair.\But that was wrong.\I have people connected to me with\kindness that can overcome any evil.\I have people who give me hope that will paint over the despair.\All I did was turn my back on the world,\so I didn't notice something so simple. response:	Nanami...
context: and brought me nothing but despair.\But that was wrong.\I have people connected to me with\kindness that can overcome any evil.\I have people who give me hope that will paint over the despair.\All I did was turn my back on the world,\so I didn't notice something so simple.\Nanami... response:	Akane...
context: But that was wrong.\I have people connected to me with\kindness that can overcome any evil.\I have people who give me hope that will paint over the despair.\All I did was turn my back on the world,\so I didn't notice something so simple.\Nanami...\Akane... response:	Okiku-nee...
context: I have people connected to me with\kindness that can overcome any evil.\I have people who give me hope that will paint over the despair.\All I did was turn my back on the world,\so I didn't notice something so simple.\Nanami...\Akane...\Okiku-nee... response:	Everyone...
context: kindness that can overcome any evil.\I have people who give me hope that will paint over the despair.\All I did was turn my back on the world,\so I didn't notice something so simple.\Nanami...\Akane...\Okiku-nee...\Everyone... response:	Hatate Souta.
context: I have people who give me hope that will paint over the despair.\All I did was turn my back on the world,\so I didn't notice something so simple.\Nanami...\Akane...\Okiku-nee...\Everyone...\Hatate Souta. response:	You're...
context: All I did was turn my back on the world,\so I didn't notice something so simple.\Nanami...\Akane...\Okiku-nee...\Everyone...\Hatate Souta.\You're... response:	Number Zero.
context: so I didn't notice something so simple.\Nanami...\Akane...\Okiku-nee...\Everyone...\Hatate Souta.\You're...\Number Zero. response:	What are these numbers?
context: Nanami...\Akane...\Okiku-nee...\Everyone...\Hatate Souta.\You're...\Number Zero.\What are these numbers? response:	I guess other data than the flags has become visible.
context: Akane...\Okiku-nee...\Everyone...\Hatate Souta.\You're...\Number Zero.\What are these numbers?\I guess other data than the flags has become visible. response:	The sudden growth of that power of yours strained the servers,
context: Okiku-nee...\Everyone...\Hatate Souta.\You're...\Number Zero.\What are these numbers?\I guess other data than the flags has become visible.\The sudden growth of that power of yours strained the servers, response:	and the world froze.
context: Everyone...\Hatate Souta.\You're...\Number Zero.\What are these numbers?\I guess other data than the flags has become visible.\The sudden growth of that power of yours strained the servers,\and the world froze. response:	What are you saying
context: Hatate Souta.\You're...\Number Zero.\What are these numbers?\I guess other data than the flags has become visible.\The sudden growth of that power of yours strained the servers,\and the world froze.\What are you saying response:	The parallel world I went to with Mei.
context: You're...\Number Zero.\What are these numbers?\I guess other data than the flags has become visible.\The sudden growth of that power of yours strained the servers,\and the world froze.\What are you saying\The parallel world I went to with Mei. response:	The term virtual world would be more apt.
context: Number Zero.\What are these numbers?\I guess other data than the flags has become visible.\The sudden growth of that power of yours strained the servers,\and the world froze.\What are you saying\The parallel world I went to with Mei.\The term virtual world would be more apt. response:	Virtual?
context: What are these numbers?\I guess other data than the flags has become visible.\The sudden growth of that power of yours strained the servers,\and the world froze.\What are you saying\The parallel world I went to with Mei.\The term virtual world would be more apt.\Virtual? response:	This is one of the many worlds we,
context: I guess other data than the flags has become visible.\The sudden growth of that power of yours strained the servers,\and the world froze.\What are you saying\The parallel world I went to with Mei.\The term virtual world would be more apt.\Virtual?\This is one of the many worlds we, response:	the Council of the Seven Virtues,
context: The sudden growth of that power of yours strained the servers,\and the world froze.\What are you saying\The parallel world I went to with Mei.\The term virtual world would be more apt.\Virtual?\This is one of the many worlds we,\the Council of the Seven Virtues, response:	created to help combat the Angel Boat.
context: and the world froze.\What are you saying\The parallel world I went to with Mei.\The term virtual world would be more apt.\Virtual?\This is one of the many worlds we,\the Council of the Seven Virtues,\created to help combat the Angel Boat. response:	An existence in the network.
context: What are you saying\The parallel world I went to with Mei.\The term virtual world would be more apt.\Virtual?\This is one of the many worlds we,\the Council of the Seven Virtues,\created to help combat the Angel Boat.\An existence in the network. response:	A world composed of data.
context: The parallel world I went to with Mei.\The term virtual world would be more apt.\Virtual?\This is one of the many worlds we,\the Council of the Seven Virtues,\created to help combat the Angel Boat.\An existence in the network.\A world composed of data. response:	The trouble began when
context: The term virtual world would be more apt.\Virtual?\This is one of the many worlds we,\the Council of the Seven Virtues,\created to help combat the Angel Boat.\An existence in the network.\A world composed of data.\The trouble began when response:	the system that exists in cyberspace to watch over
context: Virtual?\This is one of the many worlds we,\the Council of the Seven Virtues,\created to help combat the Angel Boat.\An existence in the network.\A world composed of data.\The trouble began when\the system that exists in cyberspace to watch over response:	the real world, the Angel Boat, went out of control.
context: This is one of the many worlds we,\the Council of the Seven Virtues,\created to help combat the Angel Boat.\An existence in the network.\A world composed of data.\The trouble began when\the system that exists in cyberspace to watch over\the real world, the Angel Boat, went out of control. response:	At this rate, it's only a matter of time before humanity,
context: the Council of the Seven Virtues,\created to help combat the Angel Boat.\An existence in the network.\A world composed of data.\The trouble began when\the system that exists in cyberspace to watch over\the real world, the Angel Boat, went out of control.\At this rate, it's only a matter of time before humanity, response:	which depends so much on the network, is controlled by computers.
context: created to help combat the Angel Boat.\An existence in the network.\A world composed of data.\The trouble began when\the system that exists in cyberspace to watch over\the real world, the Angel Boat, went out of control.\At this rate, it's only a matter of time before humanity,\which depends so much on the network, is controlled by computers. response:	In order to prevent that, we
context: An existence in the network.\A world composed of data.\The trouble began when\the system that exists in cyberspace to watch over\the real world, the Angel Boat, went out of control.\At this rate, it's only a matter of time before humanity,\which depends so much on the network, is controlled by computers.\In order to prevent that, we response:	You seem rather calm.
context: A world composed of data.\The trouble began when\the system that exists in cyberspace to watch over\the real world, the Angel Boat, went out of control.\At this rate, it's only a matter of time before humanity,\which depends so much on the network, is controlled by computers.\In order to prevent that, we\You seem rather calm. response:	I'd like to scream and say you're lying,
context: The trouble began when\the system that exists in cyberspace to watch over\the real world, the Angel Boat, went out of control.\At this rate, it's only a matter of time before humanity,\which depends so much on the network, is controlled by computers.\In order to prevent that, we\You seem rather calm.\I'd like to scream and say you're lying, response:	but the truth flag above your head,
context: the system that exists in cyberspace to watch over\the real world, the Angel Boat, went out of control.\At this rate, it's only a matter of time before humanity,\which depends so much on the network, is controlled by computers.\In order to prevent that, we\You seem rather calm.\I'd like to scream and say you're lying,\but the truth flag above your head, response:	and everything I see here...
context: the real world, the Angel Boat, went out of control.\At this rate, it's only a matter of time before humanity,\which depends so much on the network, is controlled by computers.\In order to prevent that, we\You seem rather calm.\I'd like to scream and say you're lying,\but the truth flag above your head,\and everything I see here... response:	Yes, your power is needed for the world.
context: At this rate, it's only a matter of time before humanity,\which depends so much on the network, is controlled by computers.\In order to prevent that, we\You seem rather calm.\I'd like to scream and say you're lying,\but the truth flag above your head,\and everything I see here...\Yes, your power is needed for the world. response:	You can see the flags and control them.
context: which depends so much on the network, is controlled by computers.\In order to prevent that, we\You seem rather calm.\I'd like to scream and say you're lying,\but the truth flag above your head,\and everything I see here...\Yes, your power is needed for the world.\You can see the flags and control them. response:	Only that power of yours that can alter the data of all events
context: In order to prevent that, we\You seem rather calm.\I'd like to scream and say you're lying,\but the truth flag above your head,\and everything I see here...\Yes, your power is needed for the world.\You can see the flags and control them.\Only that power of yours that can alter the data of all events response:	can reach the Angel Boat in cyberspace.
context: You seem rather calm.\I'd like to scream and say you're lying,\but the truth flag above your head,\and everything I see here...\Yes, your power is needed for the world.\You can see the flags and control them.\Only that power of yours that can alter the data of all events\can reach the Angel Boat in cyberspace. response:	It is the best and only weapon we have.
context: I'd like to scream and say you're lying,\but the truth flag above your head,\and everything I see here...\Yes, your power is needed for the world.\You can see the flags and control them.\Only that power of yours that can alter the data of all events\can reach the Angel Boat in cyberspace.\It is the best and only weapon we have. response:	Yeah, I know,
context: but the truth flag above your head,\and everything I see here...\Yes, your power is needed for the world.\You can see the flags and control them.\Only that power of yours that can alter the data of all events\can reach the Angel Boat in cyberspace.\It is the best and only weapon we have.\Yeah, I know, response:	or more like I know everything now.
context: and everything I see here...\Yes, your power is needed for the world.\You can see the flags and control them.\Only that power of yours that can alter the data of all events\can reach the Angel Boat in cyberspace.\It is the best and only weapon we have.\Yeah, I know,\or more like I know everything now. response:	I just gained all the
context: Yes, your power is needed for the world.\You can see the flags and control them.\Only that power of yours that can alter the data of all events\can reach the Angel Boat in cyberspace.\It is the best and only weapon we have.\Yeah, I know,\or more like I know everything now.\I just gained all the response:	information on the network.
context: You can see the flags and control them.\Only that power of yours that can alter the data of all events\can reach the Angel Boat in cyberspace.\It is the best and only weapon we have.\Yeah, I know,\or more like I know everything now.\I just gained all the\information on the network. response:	But there is one thing I don't understand.
context: Only that power of yours that can alter the data of all events\can reach the Angel Boat in cyberspace.\It is the best and only weapon we have.\Yeah, I know,\or more like I know everything now.\I just gained all the\information on the network.\But there is one thing I don't understand. response:	Why me?
context: can reach the Angel Boat in cyberspace.\It is the best and only weapon we have.\Yeah, I know,\or more like I know everything now.\I just gained all the\information on the network.\But there is one thing I don't understand.\Why me? response:	We, the Council of the Seven Virtues,
context: It is the best and only weapon we have.\Yeah, I know,\or more like I know everything now.\I just gained all the\information on the network.\But there is one thing I don't understand.\Why me?\We, the Council of the Seven Virtues, response:	have been running simulations in the worlds we created
context: Yeah, I know,\or more like I know everything now.\I just gained all the\information on the network.\But there is one thing I don't understand.\Why me?\We, the Council of the Seven Virtues,\have been running simulations in the worlds we created response:	with the data from all humanity.
context: or more like I know everything now.\I just gained all the\information on the network.\But there is one thing I don't understand.\Why me?\We, the Council of the Seven Virtues,\have been running simulations in the worlds we created\with the data from all humanity. response:	We set the simulations to run
context: I just gained all the\information on the network.\But there is one thing I don't understand.\Why me?\We, the Council of the Seven Virtues,\have been running simulations in the worlds we created\with the data from all humanity.\We set the simulations to run response:	one hundred million times
context: information on the network.\But there is one thing I don't understand.\Why me?\We, the Council of the Seven Virtues,\have been running simulations in the worlds we created\with the data from all humanity.\We set the simulations to run\one hundred million times response:	faster than reality.
context: But there is one thing I don't understand.\Why me?\We, the Council of the Seven Virtues,\have been running simulations in the worlds we created\with the data from all humanity.\We set the simulations to run\one hundred million times\faster than reality. response:	The Sacrament guided our way.
context: Why me?\We, the Council of the Seven Virtues,\have been running simulations in the worlds we created\with the data from all humanity.\We set the simulations to run\one hundred million times\faster than reality.\The Sacrament guided our way. response:	You know the rest.
context: We, the Council of the Seven Virtues,\have been running simulations in the worlds we created\with the data from all humanity.\We set the simulations to run\one hundred million times\faster than reality.\The Sacrament guided our way.\You know the rest. response:	The Hatate Souta of this world...
context: have been running simulations in the worlds we created\with the data from all humanity.\We set the simulations to run\one hundred million times\faster than reality.\The Sacrament guided our way.\You know the rest.\The Hatate Souta of this world... response:	In other words, only you have met with
context: with the data from all humanity.\We set the simulations to run\one hundred million times\faster than reality.\The Sacrament guided our way.\You know the rest.\The Hatate Souta of this world...\In other words, only you have met with response:	the Sacrament and been given power.
context: We set the simulations to run\one hundred million times\faster than reality.\The Sacrament guided our way.\You know the rest.\The Hatate Souta of this world...\In other words, only you have met with\the Sacrament and been given power. response:	Is this a coincidence?
context: one hundred million times\faster than reality.\The Sacrament guided our way.\You know the rest.\The Hatate Souta of this world...\In other words, only you have met with\the Sacrament and been given power.\Is this a coincidence? response:	Or an inevitability by the name of fate?
context: faster than reality.\The Sacrament guided our way.\You know the rest.\The Hatate Souta of this world...\In other words, only you have met with\the Sacrament and been given power.\Is this a coincidence?\Or an inevitability by the name of fate? response:	That is up to you.
context: The Sacrament guided our way.\You know the rest.\The Hatate Souta of this world...\In other words, only you have met with\the Sacrament and been given power.\Is this a coincidence?\Or an inevitability by the name of fate?\That is up to you. response:	What is Sakura...
context: You know the rest.\The Hatate Souta of this world...\In other words, only you have met with\the Sacrament and been given power.\Is this a coincidence?\Or an inevitability by the name of fate?\That is up to you.\What is Sakura... response:	No, the Sacrament.
context: The Hatate Souta of this world...\In other words, only you have met with\the Sacrament and been given power.\Is this a coincidence?\Or an inevitability by the name of fate?\That is up to you.\What is Sakura...\No, the Sacrament. response:	It doesn't really matter,
context: In other words, only you have met with\the Sacrament and been given power.\Is this a coincidence?\Or an inevitability by the name of fate?\That is up to you.\What is Sakura...\No, the Sacrament.\It doesn't really matter, response:	now that your power has grown,
context: the Sacrament and been given power.\Is this a coincidence?\Or an inevitability by the name of fate?\That is up to you.\What is Sakura...\No, the Sacrament.\It doesn't really matter,\now that your power has grown, response:	and been perfected.
context: Is this a coincidence?\Or an inevitability by the name of fate?\That is up to you.\What is Sakura...\No, the Sacrament.\It doesn't really matter,\now that your power has grown,\and been perfected. response:	Sakura...
context: Or an inevitability by the name of fate?\That is up to you.\What is Sakura...\No, the Sacrament.\It doesn't really matter,\now that your power has grown,\and been perfected.\Sakura... response:	I understand everything now.
context: That is up to you.\What is Sakura...\No, the Sacrament.\It doesn't really matter,\now that your power has grown,\and been perfected.\Sakura...\I understand everything now. response:	Even I can't break this death flag of mine.
context: What is Sakura...\No, the Sacrament.\It doesn't really matter,\now that your power has grown,\and been perfected.\Sakura...\I understand everything now.\Even I can't break this death flag of mine. response:	It's a curse.
context: No, the Sacrament.\It doesn't really matter,\now that your power has grown,\and been perfected.\Sakura...\I understand everything now.\Even I can't break this death flag of mine.\It's a curse. response:	You gave me this power
context: It doesn't really matter,\now that your power has grown,\and been perfected.\Sakura...\I understand everything now.\Even I can't break this death flag of mine.\It's a curse.\You gave me this power response:	so I'd understand that?
context: now that your power has grown,\and been perfected.\Sakura...\I understand everything now.\Even I can't break this death flag of mine.\It's a curse.\You gave me this power\so I'd understand that? response:	Now, what will you do with that power, Hatate Souta?
context: and been perfected.\Sakura...\I understand everything now.\Even I can't break this death flag of mine.\It's a curse.\You gave me this power\so I'd understand that?\Now, what will you do with that power, Hatate Souta? response:	What will happen to this world now?
context: Sakura...\I understand everything now.\Even I can't break this death flag of mine.\It's a curse.\You gave me this power\so I'd understand that?\Now, what will you do with that power, Hatate Souta?\What will happen to this world now? response:	Now that your power has been perfected,
context: I understand everything now.\Even I can't break this death flag of mine.\It's a curse.\You gave me this power\so I'd understand that?\Now, what will you do with that power, Hatate Souta?\What will happen to this world now?\Now that your power has been perfected, response:	it won't end with a simple freeze next time.
context: Even I can't break this death flag of mine.\It's a curse.\You gave me this power\so I'd understand that?\Now, what will you do with that power, Hatate Souta?\What will happen to this world now?\Now that your power has been perfected,\it won't end with a simple freeze next time. response:	I imagine it'll completely collapse,
context: It's a curse.\You gave me this power\so I'd understand that?\Now, what will you do with that power, Hatate Souta?\What will happen to this world now?\Now that your power has been perfected,\it won't end with a simple freeze next time.\I imagine it'll completely collapse, response:	so long as you are here.
context: You gave me this power\so I'd understand that?\Now, what will you do with that power, Hatate Souta?\What will happen to this world now?\Now that your power has been perfected,\it won't end with a simple freeze next time.\I imagine it'll completely collapse,\so long as you are here. response:	I see.
context: so I'd understand that?\Now, what will you do with that power, Hatate Souta?\What will happen to this world now?\Now that your power has been perfected,\it won't end with a simple freeze next time.\I imagine it'll completely collapse,\so long as you are here.\I see. response:	Dance Party
context: Now, what will you do with that power, Hatate Souta?\What will happen to this world now?\Now that your power has been perfected,\it won't end with a simple freeze next time.\I imagine it'll completely collapse,\so long as you are here.\I see.\Dance Party response:	It's time for the Hatagaya School Fair to end!
context: What will happen to this world now?\Now that your power has been perfected,\it won't end with a simple freeze next time.\I imagine it'll completely collapse,\so long as you are here.\I see.\Dance Party\It's time for the Hatagaya School Fair to end! response:	Good work, everyone!
context: Now that your power has been perfected,\it won't end with a simple freeze next time.\I imagine it'll completely collapse,\so long as you are here.\I see.\Dance Party\It's time for the Hatagaya School Fair to end!\Good work, everyone! response:	The only thing left is the dance party!
context: it won't end with a simple freeze next time.\I imagine it'll completely collapse,\so long as you are here.\I see.\Dance Party\It's time for the Hatagaya School Fair to end!\Good work, everyone!\The only thing left is the dance party! response:	Everyone dance
context: I imagine it'll completely collapse,\so long as you are here.\I see.\Dance Party\It's time for the Hatagaya School Fair to end!\Good work, everyone!\The only thing left is the dance party!\Everyone dance response:	your hearts out!
context: so long as you are here.\I see.\Dance Party\It's time for the Hatagaya School Fair to end!\Good work, everyone!\The only thing left is the dance party!\Everyone dance\your hearts out! response:	This is only one of the many virtual worlds.
context: I see.\Dance Party\It's time for the Hatagaya School Fair to end!\Good work, everyone!\The only thing left is the dance party!\Everyone dance\your hearts out!\This is only one of the many virtual worlds. response:	But... it was the only world I had.
context: Dance Party\It's time for the Hatagaya School Fair to end!\Good work, everyone!\The only thing left is the dance party!\Everyone dance\your hearts out!\This is only one of the many virtual worlds.\But... it was the only world I had. response:	What is Souta off doing?
context: It's time for the Hatagaya School Fair to end!\Good work, everyone!\The only thing left is the dance party!\Everyone dance\your hearts out!\This is only one of the many virtual worlds.\But... it was the only world I had.\What is Souta off doing? response:	It's fine.
context: Good work, everyone!\The only thing left is the dance party!\Everyone dance\your hearts out!\This is only one of the many virtual worlds.\But... it was the only world I had.\What is Souta off doing?\It's fine. response:	He promised he'd dance with everyone.
context: The only thing left is the dance party!\Everyone dance\your hearts out!\This is only one of the many virtual worlds.\But... it was the only world I had.\What is Souta off doing?\It's fine.\He promised he'd dance with everyone. response:	I'm sorry, everyone.
context: Everyone dance\your hearts out!\This is only one of the many virtual worlds.\But... it was the only world I had.\What is Souta off doing?\It's fine.\He promised he'd dance with everyone.\I'm sorry, everyone. response:	I'm sorry, Nee-san.
context: your hearts out!\This is only one of the many virtual worlds.\But... it was the only world I had.\What is Souta off doing?\It's fine.\He promised he'd dance with everyone.\I'm sorry, everyone.\I'm sorry, Nee-san. response:	What was that feeling just now?
context: This is only one of the many virtual worlds.\But... it was the only world I had.\What is Souta off doing?\It's fine.\He promised he'd dance with everyone.\I'm sorry, everyone.\I'm sorry, Nee-san.\What was that feeling just now? response:	Is something wrong, Nanami-chan?
context: But... it was the only world I had.\What is Souta off doing?\It's fine.\He promised he'd dance with everyone.\I'm sorry, everyone.\I'm sorry, Nee-san.\What was that feeling just now?\Is something wrong, Nanami-chan? response:	It's nothing.
context: What is Souta off doing?\It's fine.\He promised he'd dance with everyone.\I'm sorry, everyone.\I'm sorry, Nee-san.\What was that feeling just now?\Is something wrong, Nanami-chan?\It's nothing. response:	Everything's going to be over soon.
context: It's fine.\He promised he'd dance with everyone.\I'm sorry, everyone.\I'm sorry, Nee-san.\What was that feeling just now?\Is something wrong, Nanami-chan?\It's nothing.\Everything's going to be over soon. response:	I wonder what Souta's doing.
context: He promised he'd dance with everyone.\I'm sorry, everyone.\I'm sorry, Nee-san.\What was that feeling just now?\Is something wrong, Nanami-chan?\It's nothing.\Everything's going to be over soon.\I wonder what Souta's doing. response:	Uh...
context: I'm sorry, everyone.\I'm sorry, Nee-san.\What was that feeling just now?\Is something wrong, Nanami-chan?\It's nothing.\Everything's going to be over soon.\I wonder what Souta's doing.\Uh... response:	Who's Souta-kun?
context: I'm sorry, Nee-san.\What was that feeling just now?\Is something wrong, Nanami-chan?\It's nothing.\Everything's going to be over soon.\I wonder what Souta's doing.\Uh...\Who's Souta-kun? response:	Huh?
context: What was that feeling just now?\Is something wrong, Nanami-chan?\It's nothing.\Everything's going to be over soon.\I wonder what Souta's doing.\Uh...\Who's Souta-kun?\Huh? response:	Roar! Gawo!
context: Is something wrong, Nanami-chan?\It's nothing.\Everything's going to be over soon.\I wonder what Souta's doing.\Uh...\Who's Souta-kun?\Huh?\Roar! Gawo! response:	I wonder what I'm saying.
context: It's nothing.\Everything's going to be over soon.\I wonder what Souta's doing.\Uh...\Who's Souta-kun?\Huh?\Roar! Gawo!\I wonder what I'm saying. response:	I'm thinking about that place, all of them, before I realize it.
context: Everything's going to be over soon.\I wonder what Souta's doing.\Uh...\Who's Souta-kun?\Huh?\Roar! Gawo!\I wonder what I'm saying.\I'm thinking about that place, all of them, before I realize it. response:	I'm sure that's because I was happy until today.
context: I wonder what Souta's doing.\Uh...\Who's Souta-kun?\Huh?\Roar! Gawo!\I wonder what I'm saying.\I'm thinking about that place, all of them, before I realize it.\I'm sure that's because I was happy until today. response:	That's why I might not be able to go back.
context: Uh...\Who's Souta-kun?\Huh?\Roar! Gawo!\I wonder what I'm saying.\I'm thinking about that place, all of them, before I realize it.\I'm sure that's because I was happy until today.\That's why I might not be able to go back. response:	But as long as everyone's smiling back there,
context: Who's Souta-kun?\Huh?\Roar! Gawo!\I wonder what I'm saying.\I'm thinking about that place, all of them, before I realize it.\I'm sure that's because I was happy until today.\That's why I might not be able to go back.\But as long as everyone's smiling back there, response:	no matter what flags I have to break,
context: Huh?\Roar! Gawo!\I wonder what I'm saying.\I'm thinking about that place, all of them, before I realize it.\I'm sure that's because I was happy until today.\That's why I might not be able to go back.\But as long as everyone's smiling back there,\no matter what flags I have to break, response:	Flag 12
context: Roar! Gawo!\I wonder what I'm saying.\I'm thinking about that place, all of them, before I realize it.\I'm sure that's because I was happy until today.\That's why I might not be able to go back.\But as long as everyone's smiling back there,\no matter what flags I have to break,\Flag 12 response:	It's a Cruel World. I'm Going to Take a Look in the Shadows.
context: I wonder what I'm saying.\I'm thinking about that place, all of them, before I realize it.\I'm sure that's because I was happy until today.\That's why I might not be able to go back.\But as long as everyone's smiling back there,\no matter what flags I have to break,\Flag 12\It's a Cruel World. I'm Going to Take a Look in the Shadows. response:	I'll protect them.
context: I'm thinking about that place, all of them, before I realize it.\I'm sure that's because I was happy until today.\That's why I might not be able to go back.\But as long as everyone's smiling back there,\no matter what flags I have to break,\Flag 12\It's a Cruel World. I'm Going to Take a Look in the Shadows.\I'll protect them. response:	If Her Flag Breaks
context: I'm sure that's because I was happy until today.\That's why I might not be able to go back.\But as long as everyone's smiling back there,\no matter what flags I have to break,\Flag 12\It's a Cruel World. I'm Going to Take a Look in the Shadows.\I'll protect them.\If Her Flag Breaks response:	You'd better watch next time!
context: That's why I might not be able to go back.\But as long as everyone's smiling back there,\no matter what flags I have to break,\Flag 12\It's a Cruel World. I'm Going to Take a Look in the Shadows.\I'll protect them.\If Her Flag Breaks\You'd better watch next time! response:	Illustration: Aoki Ume
