context: Komachi's Present List response:	Book card Gift cards Large appliances.
context: I think that kind of food is best when you're tired.\You've seemed that way lately, so...\Have I?\Did something happen?\Nope.\Nothing happened.\Oh, yeah. You don't say stuff like that, huh?\It's not that, really. response:	Isshiki asked me for help, so I'm just busy with that.
context: You've seemed that way lately, so...\Have I?\Did something happen?\Nope.\Nothing happened.\Oh, yeah. You don't say stuff like that, huh?\It's not that, really.\Isshiki asked me for help, so I'm just busy with that. response:	And I'm the one who pushed her to where she is...
context: Have I?\Did something happen?\Nope.\Nothing happened.\Oh, yeah. You don't say stuff like that, huh?\It's not that, really.\Isshiki asked me for help, so I'm just busy with that.\And I'm the one who pushed her to where she is... response:	Really?
context: Did something happen?\Nope.\Nothing happened.\Oh, yeah. You don't say stuff like that, huh?\It's not that, really.\Isshiki asked me for help, so I'm just busy with that.\And I'm the one who pushed her to where she is...\Really? response:	Yeah. So you don't have to worry.
context: Nope.\Nothing happened.\Oh, yeah. You don't say stuff like that, huh?\It's not that, really.\Isshiki asked me for help, so I'm just busy with that.\And I'm the one who pushed her to where she is...\Really?\Yeah. So you don't have to worry. response:	Okay.
context: Nothing happened.\Oh, yeah. You don't say stuff like that, huh?\It's not that, really.\Isshiki asked me for help, so I'm just busy with that.\And I'm the one who pushed her to where she is...\Really?\Yeah. So you don't have to worry.\Okay. response:	You really are cool, Hachiman.
context: Oh, yeah. You don't say stuff like that, huh?\It's not that, really.\Isshiki asked me for help, so I'm just busy with that.\And I'm the one who pushed her to where she is...\Really?\Yeah. So you don't have to worry.\Okay.\You really are cool, Hachiman. response:	I don't mean that in a weird way.
context: It's not that, really.\Isshiki asked me for help, so I'm just busy with that.\And I'm the one who pushed her to where she is...\Really?\Yeah. So you don't have to worry.\Okay.\You really are cool, Hachiman.\I don't mean that in a weird way. response:	Like, even if it's tough or painful,
context: Isshiki asked me for help, so I'm just busy with that.\And I'm the one who pushed her to where she is...\Really?\Yeah. So you don't have to worry.\Okay.\You really are cool, Hachiman.\I don't mean that in a weird way.\Like, even if it's tough or painful, response:	you work hard on your own, without complaining.
context: And I'm the one who pushed her to where she is...\Really?\Yeah. So you don't have to worry.\Okay.\You really are cool, Hachiman.\I don't mean that in a weird way.\Like, even if it's tough or painful,\you work hard on your own, without complaining. response:	I think that's really cool.
context: Really?\Yeah. So you don't have to worry.\Okay.\You really are cool, Hachiman.\I don't mean that in a weird way.\Like, even if it's tough or painful,\you work hard on your own, without complaining.\I think that's really cool. response:	That's not true.
context: Yeah. So you don't have to worry.\Okay.\You really are cool, Hachiman.\I don't mean that in a weird way.\Like, even if it's tough or painful,\you work hard on your own, without complaining.\I think that's really cool.\That's not true. response:	I complain, and I say spiteful things all the time.
context: Okay.\You really are cool, Hachiman.\I don't mean that in a weird way.\Like, even if it's tough or painful,\you work hard on your own, without complaining.\I think that's really cool.\That's not true.\I complain, and I say spiteful things all the time. response:	Yeah, maybe.
context: You really are cool, Hachiman.\I don't mean that in a weird way.\Like, even if it's tough or painful,\you work hard on your own, without complaining.\I think that's really cool.\That's not true.\I complain, and I say spiteful things all the time.\Yeah, maybe. response:	But if anything's bothering you, tell me, okay?
context: I don't mean that in a weird way.\Like, even if it's tough or painful,\you work hard on your own, without complaining.\I think that's really cool.\That's not true.\I complain, and I say spiteful things all the time.\Yeah, maybe.\But if anything's bothering you, tell me, okay? response:	Cool, huh?
context: Like, even if it's tough or painful,\you work hard on your own, without complaining.\I think that's really cool.\That's not true.\I complain, and I say spiteful things all the time.\Yeah, maybe.\But if anything's bothering you, tell me, okay?\Cool, huh? response:	I'm not cool at all.
context: you work hard on your own, without complaining.\I think that's really cool.\That's not true.\I complain, and I say spiteful things all the time.\Yeah, maybe.\But if anything's bothering you, tell me, okay?\Cool, huh?\I'm not cool at all. response:	I think I'm just trying to play it cool.
context: I think that's really cool.\That's not true.\I complain, and I say spiteful things all the time.\Yeah, maybe.\But if anything's bothering you, tell me, okay?\Cool, huh?\I'm not cool at all.\I think I'm just trying to play it cool. response:	I'm just being stubborn so I won't betray the image
context: That's not true.\I complain, and I say spiteful things all the time.\Yeah, maybe.\But if anything's bothering you, tell me, okay?\Cool, huh?\I'm not cool at all.\I think I'm just trying to play it cool.\I'm just being stubborn so I won't betray the image response:	that I've decided I should have.
context: I complain, and I say spiteful things all the time.\Yeah, maybe.\But if anything's bothering you, tell me, okay?\Cool, huh?\I'm not cool at all.\I think I'm just trying to play it cool.\I'm just being stubborn so I won't betray the image\that I've decided I should have. response:	But seeing Yuigahama force herself to smile,
context: Yeah, maybe.\But if anything's bothering you, tell me, okay?\Cool, huh?\I'm not cool at all.\I think I'm just trying to play it cool.\I'm just being stubborn so I won't betray the image\that I've decided I should have.\But seeing Yuigahama force herself to smile, response:	and the gloomy looks Isshiki gets sometimes,
context: But if anything's bothering you, tell me, okay?\Cool, huh?\I'm not cool at all.\I think I'm just trying to play it cool.\I'm just being stubborn so I won't betray the image\that I've decided I should have.\But seeing Yuigahama force herself to smile,\and the gloomy looks Isshiki gets sometimes, response:	and Tsurumi Rumi standing there by herself...
context: Cool, huh?\I'm not cool at all.\I think I'm just trying to play it cool.\I'm just being stubborn so I won't betray the image\that I've decided I should have.\But seeing Yuigahama force herself to smile,\and the gloomy looks Isshiki gets sometimes,\and Tsurumi Rumi standing there by herself... response:	And most of all, the quiet smile of Yukinoshita's that says she's given up...
context: I'm not cool at all.\I think I'm just trying to play it cool.\I'm just being stubborn so I won't betray the image\that I've decided I should have.\But seeing Yuigahama force herself to smile,\and the gloomy looks Isshiki gets sometimes,\and Tsurumi Rumi standing there by herself...\And most of all, the quiet smile of Yukinoshita's that says she's given up... response:	It makes me ask again and again...
context: I think I'm just trying to play it cool.\I'm just being stubborn so I won't betray the image\that I've decided I should have.\But seeing Yuigahama force herself to smile,\and the gloomy looks Isshiki gets sometimes,\and Tsurumi Rumi standing there by herself...\And most of all, the quiet smile of Yukinoshita's that says she's given up...\It makes me ask again and again... response:	Am I really doing the right thing?
context: I'm just being stubborn so I won't betray the image\that I've decided I should have.\But seeing Yuigahama force herself to smile,\and the gloomy looks Isshiki gets sometimes,\and Tsurumi Rumi standing there by herself...\And most of all, the quiet smile of Yukinoshita's that says she's given up...\It makes me ask again and again...\Am I really doing the right thing? response:	Oh, Senpai...
context: that I've decided I should have.\But seeing Yuigahama force herself to smile,\and the gloomy looks Isshiki gets sometimes,\and Tsurumi Rumi standing there by herself...\And most of all, the quiet smile of Yukinoshita's that says she's given up...\It makes me ask again and again...\Am I really doing the right thing?\Oh, Senpai... response:	Hey. Buying snacks on the way again?
context: But seeing Yuigahama force herself to smile,\and the gloomy looks Isshiki gets sometimes,\and Tsurumi Rumi standing there by herself...\And most of all, the quiet smile of Yukinoshita's that says she's given up...\It makes me ask again and again...\Am I really doing the right thing?\Oh, Senpai...\Hey. Buying snacks on the way again? response:	No, it looks like there's no meeting today.
context: and the gloomy looks Isshiki gets sometimes,\and Tsurumi Rumi standing there by herself...\And most of all, the quiet smile of Yukinoshita's that says she's given up...\It makes me ask again and again...\Am I really doing the right thing?\Oh, Senpai...\Hey. Buying snacks on the way again?\No, it looks like there's no meeting today. response:	Oh, really?
context: and Tsurumi Rumi standing there by herself...\And most of all, the quiet smile of Yukinoshita's that says she's given up...\It makes me ask again and again...\Am I really doing the right thing?\Oh, Senpai...\Hey. Buying snacks on the way again?\No, it looks like there's no meeting today.\Oh, really? response:	Too bad for you, huh?
context: And most of all, the quiet smile of Yukinoshita's that says she's given up...\It makes me ask again and again...\Am I really doing the right thing?\Oh, Senpai...\Hey. Buying snacks on the way again?\No, it looks like there's no meeting today.\Oh, really?\Too bad for you, huh? response:	You don't get to win points with me.
context: It makes me ask again and again...\Am I really doing the right thing?\Oh, Senpai...\Hey. Buying snacks on the way again?\No, it looks like there's no meeting today.\Oh, really?\Too bad for you, huh?\You don't get to win points with me. response:	I don't need points that can be won that easily.
context: Am I really doing the right thing?\Oh, Senpai...\Hey. Buying snacks on the way again?\No, it looks like there's no meeting today.\Oh, really?\Too bad for you, huh?\You don't get to win points with me.\I don't need points that can be won that easily. response:	Hey, it's Isshiki-chan and Hikigaya.
context: Oh, Senpai...\Hey. Buying snacks on the way again?\No, it looks like there's no meeting today.\Oh, really?\Too bad for you, huh?\You don't get to win points with me.\I don't need points that can be won that easily.\Hey, it's Isshiki-chan and Hikigaya. response:	Hello.
context: Hey. Buying snacks on the way again?\No, it looks like there's no meeting today.\Oh, really?\Too bad for you, huh?\You don't get to win points with me.\I don't need points that can be won that easily.\Hey, it's Isshiki-chan and Hikigaya.\Hello. response:	Heya!
context: No, it looks like there's no meeting today.\Oh, really?\Too bad for you, huh?\You don't get to win points with me.\I don't need points that can be won that easily.\Hey, it's Isshiki-chan and Hikigaya.\Hello.\Heya! response:	That's right. You know Senpai, don't you?
context: Oh, really?\Too bad for you, huh?\You don't get to win points with me.\I don't need points that can be won that easily.\Hey, it's Isshiki-chan and Hikigaya.\Hello.\Heya!\That's right. You know Senpai, don't you? response:	Yeah, we went to the same middle school.
context: Too bad for you, huh?\You don't get to win points with me.\I don't need points that can be won that easily.\Hey, it's Isshiki-chan and Hikigaya.\Hello.\Heya!\That's right. You know Senpai, don't you?\Yeah, we went to the same middle school. response:	I guess even you have some friends, huh?
context: You don't get to win points with me.\I don't need points that can be won that easily.\Hey, it's Isshiki-chan and Hikigaya.\Hello.\Heya!\That's right. You know Senpai, don't you?\Yeah, we went to the same middle school.\I guess even you have some friends, huh? response:	I wouldn't say we're friends...
context: I don't need points that can be won that easily.\Hey, it's Isshiki-chan and Hikigaya.\Hello.\Heya!\That's right. You know Senpai, don't you?\Yeah, we went to the same middle school.\I guess even you have some friends, huh?\I wouldn't say we're friends... response:	It's, well... a thing.
context: Hey, it's Isshiki-chan and Hikigaya.\Hello.\Heya!\That's right. You know Senpai, don't you?\Yeah, we went to the same middle school.\I guess even you have some friends, huh?\I wouldn't say we're friends...\It's, well... a thing. response:	What thing? That's a suggestive way to put it.
context: Hello.\Heya!\That's right. You know Senpai, don't you?\Yeah, we went to the same middle school.\I guess even you have some friends, huh?\I wouldn't say we're friends...\It's, well... a thing.\What thing? That's a suggestive way to put it. response:	Senpai, what thing?
context: Heya!\That's right. You know Senpai, don't you?\Yeah, we went to the same middle school.\I guess even you have some friends, huh?\I wouldn't say we're friends...\It's, well... a thing.\What thing? That's a suggestive way to put it.\Senpai, what thing? response:	A lot happened in the past.
context: That's right. You know Senpai, don't you?\Yeah, we went to the same middle school.\I guess even you have some friends, huh?\I wouldn't say we're friends...\It's, well... a thing.\What thing? That's a suggestive way to put it.\Senpai, what thing?\A lot happened in the past. response:	Well, it was a long time ago.
context: Yeah, we went to the same middle school.\I guess even you have some friends, huh?\I wouldn't say we're friends...\It's, well... a thing.\What thing? That's a suggestive way to put it.\Senpai, what thing?\A lot happened in the past.\Well, it was a long time ago. response:	What? What happened?
context: I guess even you have some friends, huh?\I wouldn't say we're friends...\It's, well... a thing.\What thing? That's a suggestive way to put it.\Senpai, what thing?\A lot happened in the past.\Well, it was a long time ago.\What? What happened? response:	Um...
context: I wouldn't say we're friends...\It's, well... a thing.\What thing? That's a suggestive way to put it.\Senpai, what thing?\A lot happened in the past.\Well, it was a long time ago.\What? What happened?\Um... response:	No matter how I calculate it, we don't have the budget.
context: It's, well... a thing.\What thing? That's a suggestive way to put it.\Senpai, what thing?\A lot happened in the past.\Well, it was a long time ago.\What? What happened?\Um...\No matter how I calculate it, we don't have the budget. response:	What should we do?
context: What thing? That's a suggestive way to put it.\Senpai, what thing?\A lot happened in the past.\Well, it was a long time ago.\What? What happened?\Um...\No matter how I calculate it, we don't have the budget.\What should we do? response:	Either cut out some activities, or raise funds.
context: Senpai, what thing?\A lot happened in the past.\Well, it was a long time ago.\What? What happened?\Um...\No matter how I calculate it, we don't have the budget.\What should we do?\Either cut out some activities, or raise funds. response:	I guess all we can do is wait until the next meeting to decide.
context: A lot happened in the past.\Well, it was a long time ago.\What? What happened?\Um...\No matter how I calculate it, we don't have the budget.\What should we do?\Either cut out some activities, or raise funds.\I guess all we can do is wait until the next meeting to decide. response:	Senpai, they're almost finished making the decorations.
context: Well, it was a long time ago.\What? What happened?\Um...\No matter how I calculate it, we don't have the budget.\What should we do?\Either cut out some activities, or raise funds.\I guess all we can do is wait until the next meeting to decide.\Senpai, they're almost finished making the decorations. response:	What should they do next?
context: What? What happened?\Um...\No matter how I calculate it, we don't have the budget.\What should we do?\Either cut out some activities, or raise funds.\I guess all we can do is wait until the next meeting to decide.\Senpai, they're almost finished making the decorations.\What should they do next? response:	How about the tree?
context: Um...\No matter how I calculate it, we don't have the budget.\What should we do?\Either cut out some activities, or raise funds.\I guess all we can do is wait until the next meeting to decide.\Senpai, they're almost finished making the decorations.\What should they do next?\How about the tree? response:	We've already got the tree,
context: No matter how I calculate it, we don't have the budget.\What should we do?\Either cut out some activities, or raise funds.\I guess all we can do is wait until the next meeting to decide.\Senpai, they're almost finished making the decorations.\What should they do next?\How about the tree?\We've already got the tree, response:	but wouldn't it get in the way if we put it up now?
context: What should we do?\Either cut out some activities, or raise funds.\I guess all we can do is wait until the next meeting to decide.\Senpai, they're almost finished making the decorations.\What should they do next?\How about the tree?\We've already got the tree,\but wouldn't it get in the way if we put it up now? response:	Negotiate with the center so they'll let us put it by the entrance.
context: Either cut out some activities, or raise funds.\I guess all we can do is wait until the next meeting to decide.\Senpai, they're almost finished making the decorations.\What should they do next?\How about the tree?\We've already got the tree,\but wouldn't it get in the way if we put it up now?\Negotiate with the center so they'll let us put it by the entrance. response:	It's one week away, so that should be perfect.
context: I guess all we can do is wait until the next meeting to decide.\Senpai, they're almost finished making the decorations.\What should they do next?\How about the tree?\We've already got the tree,\but wouldn't it get in the way if we put it up now?\Negotiate with the center so they'll let us put it by the entrance.\It's one week away, so that should be perfect. response:	We can just carry it to the venue on the day of the event.
context: Senpai, they're almost finished making the decorations.\What should they do next?\How about the tree?\We've already got the tree,\but wouldn't it get in the way if we put it up now?\Negotiate with the center so they'll let us put it by the entrance.\It's one week away, so that should be perfect.\We can just carry it to the venue on the day of the event. response:	That makes sense. Okay, then!
context: What should they do next?\How about the tree?\We've already got the tree,\but wouldn't it get in the way if we put it up now?\Negotiate with the center so they'll let us put it by the entrance.\It's one week away, so that should be perfect.\We can just carry it to the venue on the day of the event.\That makes sense. Okay, then! response:	Doing it this way is very bad.
context: How about the tree?\We've already got the tree,\but wouldn't it get in the way if we put it up now?\Negotiate with the center so they'll let us put it by the entrance.\It's one week away, so that should be perfect.\We can just carry it to the venue on the day of the event.\That makes sense. Okay, then!\Doing it this way is very bad. response:	I'm actually giving directions.
context: We've already got the tree,\but wouldn't it get in the way if we put it up now?\Negotiate with the center so they'll let us put it by the entrance.\It's one week away, so that should be perfect.\We can just carry it to the venue on the day of the event.\That makes sense. Okay, then!\Doing it this way is very bad.\I'm actually giving directions. response:	This is clearly different from just offering support.
context: but wouldn't it get in the way if we put it up now?\Negotiate with the center so they'll let us put it by the entrance.\It's one week away, so that should be perfect.\We can just carry it to the venue on the day of the event.\That makes sense. Okay, then!\Doing it this way is very bad.\I'm actually giving directions.\This is clearly different from just offering support. response:	I should talk to him
context: Negotiate with the center so they'll let us put it by the entrance.\It's one week away, so that should be perfect.\We can just carry it to the venue on the day of the event.\That makes sense. Okay, then!\Doing it this way is very bad.\I'm actually giving directions.\This is clearly different from just offering support.\I should talk to him response:	so I can change where this is going and leave the rest to Isshiki.
context: It's one week away, so that should be perfect.\We can just carry it to the venue on the day of the event.\That makes sense. Okay, then!\Doing it this way is very bad.\I'm actually giving directions.\This is clearly different from just offering support.\I should talk to him\so I can change where this is going and leave the rest to Isshiki. response:	There were a lot of ideas, so our side examined them.
context: We can just carry it to the venue on the day of the event.\That makes sense. Okay, then!\Doing it this way is very bad.\I'm actually giving directions.\This is clearly different from just offering support.\I should talk to him\so I can change where this is going and leave the rest to Isshiki.\There were a lot of ideas, so our side examined them. response:	Here's what's possible, and what's not possible.
context: That makes sense. Okay, then!\Doing it this way is very bad.\I'm actually giving directions.\This is clearly different from just offering support.\I should talk to him\so I can change where this is going and leave the rest to Isshiki.\There were a lot of ideas, so our side examined them.\Here's what's possible, and what's not possible. response:	Though, in terms of our budget, most of them are impossible.
context: Doing it this way is very bad.\I'm actually giving directions.\This is clearly different from just offering support.\I should talk to him\so I can change where this is going and leave the rest to Isshiki.\There were a lot of ideas, so our side examined them.\Here's what's possible, and what's not possible.\Though, in terms of our budget, most of them are impossible. response:	Oh, thanks.
context: I'm actually giving directions.\This is clearly different from just offering support.\I should talk to him\so I can change where this is going and leave the rest to Isshiki.\There were a lot of ideas, so our side examined them.\Here's what's possible, and what's not possible.\Though, in terms of our budget, most of them are impossible.\Oh, thanks. response:	This clarifies where we have problems.
context: This is clearly different from just offering support.\I should talk to him\so I can change where this is going and leave the rest to Isshiki.\There were a lot of ideas, so our side examined them.\Here's what's possible, and what's not possible.\Though, in terms of our budget, most of them are impossible.\Oh, thanks.\This clarifies where we have problems. response:	Now we'll all think about how to solve
context: I should talk to him\so I can change where this is going and leave the rest to Isshiki.\There were a lot of ideas, so our side examined them.\Here's what's possible, and what's not possible.\Though, in terms of our budget, most of them are impossible.\Oh, thanks.\This clarifies where we have problems.\Now we'll all think about how to solve response:	I don't think that will work.
context: so I can change where this is going and leave the rest to Isshiki.\There were a lot of ideas, so our side examined them.\Here's what's possible, and what's not possible.\Though, in terms of our budget, most of them are impossible.\Oh, thanks.\This clarifies where we have problems.\Now we'll all think about how to solve\I don't think that will work. response:	We only have a week.
context: There were a lot of ideas, so our side examined them.\Here's what's possible, and what's not possible.\Though, in terms of our budget, most of them are impossible.\Oh, thanks.\This clarifies where we have problems.\Now we'll all think about how to solve\I don't think that will work.\We only have a week. response:	Right... And there are several bands we could outsource.
context: Here's what's possible, and what's not possible.\Though, in terms of our budget, most of them are impossible.\Oh, thanks.\This clarifies where we have problems.\Now we'll all think about how to solve\I don't think that will work.\We only have a week.\Right... And there are several bands we could outsource. response:	Depending on how we structure it,
context: Though, in terms of our budget, most of them are impossible.\Oh, thanks.\This clarifies where we have problems.\Now we'll all think about how to solve\I don't think that will work.\We only have a week.\Right... And there are several bands we could outsource.\Depending on how we structure it, response:	I think we can create an event in our own way.
context: Oh, thanks.\This clarifies where we have problems.\Now we'll all think about how to solve\I don't think that will work.\We only have a week.\Right... And there are several bands we could outsource.\Depending on how we structure it,\I think we can create an event in our own way. response:	So for starters, let's all consider this together.
context: This clarifies where we have problems.\Now we'll all think about how to solve\I don't think that will work.\We only have a week.\Right... And there are several bands we could outsource.\Depending on how we structure it,\I think we can create an event in our own way.\So for starters, let's all consider this together. response:	If we don't make a decision at the next meeting, we can't finish the work in time.
context: Now we'll all think about how to solve\I don't think that will work.\We only have a week.\Right... And there are several bands we could outsource.\Depending on how we structure it,\I think we can create an event in our own way.\So for starters, let's all consider this together.\If we don't make a decision at the next meeting, we can't finish the work in time. response:	Keep that in mind.
context: I don't think that will work.\We only have a week.\Right... And there are several bands we could outsource.\Depending on how we structure it,\I think we can create an event in our own way.\So for starters, let's all consider this together.\If we don't make a decision at the next meeting, we can't finish the work in time.\Keep that in mind. response:	Of course.
context: We only have a week.\Right... And there are several bands we could outsource.\Depending on how we structure it,\I think we can create an event in our own way.\So for starters, let's all consider this together.\If we don't make a decision at the next meeting, we can't finish the work in time.\Keep that in mind.\Of course. response:	This is bad. I'm out of options.
context: Right... And there are several bands we could outsource.\Depending on how we structure it,\I think we can create an event in our own way.\So for starters, let's all consider this together.\If we don't make a decision at the next meeting, we can't finish the work in time.\Keep that in mind.\Of course.\This is bad. I'm out of options. response:	She's making decorations?
context: Depending on how we structure it,\I think we can create an event in our own way.\So for starters, let's all consider this together.\If we don't make a decision at the next meeting, we can't finish the work in time.\Keep that in mind.\Of course.\This is bad. I'm out of options.\She's making decorations? response:	Making those by yourself?
context: I think we can create an event in our own way.\So for starters, let's all consider this together.\If we don't make a decision at the next meeting, we can't finish the work in time.\Keep that in mind.\Of course.\This is bad. I'm out of options.\She's making decorations?\Making those by yourself? response:	You can see that much, can't you?
context: So for starters, let's all consider this together.\If we don't make a decision at the next meeting, we can't finish the work in time.\Keep that in mind.\Of course.\This is bad. I'm out of options.\She's making decorations?\Making those by yourself?\You can see that much, can't you? response:	How long did you have to delay that?
context: If we don't make a decision at the next meeting, we can't finish the work in time.\Keep that in mind.\Of course.\This is bad. I'm out of options.\She's making decorations?\Making those by yourself?\You can see that much, can't you?\How long did you have to delay that? response:	What are you doing?
context: Keep that in mind.\Of course.\This is bad. I'm out of options.\She's making decorations?\Making those by yourself?\You can see that much, can't you?\How long did you have to delay that?\What are you doing? response:	You can see that much, can't you?
context: Of course.\This is bad. I'm out of options.\She's making decorations?\Making those by yourself?\You can see that much, can't you?\How long did you have to delay that?\What are you doing?\You can see that much, can't you? response:	Don't you have anything else to do?
context: This is bad. I'm out of options.\She's making decorations?\Making those by yourself?\You can see that much, can't you?\How long did you have to delay that?\What are you doing?\You can see that much, can't you?\Don't you have anything else to do? response:	Nope, I don't.
context: She's making decorations?\Making those by yourself?\You can see that much, can't you?\How long did you have to delay that?\What are you doing?\You can see that much, can't you?\Don't you have anything else to do?\Nope, I don't. response:	Bum.
context: Making those by yourself?\You can see that much, can't you?\How long did you have to delay that?\What are you doing?\You can see that much, can't you?\Don't you have anything else to do?\Nope, I don't.\Bum. response:	Lay off.
context: You can see that much, can't you?\How long did you have to delay that?\What are you doing?\You can see that much, can't you?\Don't you have anything else to do?\Nope, I don't.\Bum.\Lay off. response:	I'm borrowing the cutter, okay?
context: How long did you have to delay that?\What are you doing?\You can see that much, can't you?\Don't you have anything else to do?\Nope, I don't.\Bum.\Lay off.\I'm borrowing the cutter, okay? response:	Senpai, you're not into younger girls, are you?
context: What are you doing?\You can see that much, can't you?\Don't you have anything else to do?\Nope, I don't.\Bum.\Lay off.\I'm borrowing the cutter, okay?\Senpai, you're not into younger girls, are you? response:	I can't say I have a problem with them.
context: You can see that much, can't you?\Don't you have anything else to do?\Nope, I don't.\Bum.\Lay off.\I'm borrowing the cutter, okay?\Senpai, you're not into younger girls, are you?\I can't say I have a problem with them. response:	I've got a little sister.
context: Don't you have anything else to do?\Nope, I don't.\Bum.\Lay off.\I'm borrowing the cutter, okay?\Senpai, you're not into younger girls, are you?\I can't say I have a problem with them.\I've got a little sister. response:	Were you just hitting on me?
context: Nope, I don't.\Bum.\Lay off.\I'm borrowing the cutter, okay?\Senpai, you're not into younger girls, are you?\I can't say I have a problem with them.\I've got a little sister.\Were you just hitting on me? response:	I'm sorry. I like older guys, but I can't.
context: Bum.\Lay off.\I'm borrowing the cutter, okay?\Senpai, you're not into younger girls, are you?\I can't say I have a problem with them.\I've got a little sister.\Were you just hitting on me?\I'm sorry. I like older guys, but I can't. response:	No, that's obviously not what I was doing.
context: Lay off.\I'm borrowing the cutter, okay?\Senpai, you're not into younger girls, are you?\I can't say I have a problem with them.\I've got a little sister.\Were you just hitting on me?\I'm sorry. I like older guys, but I can't.\No, that's obviously not what I was doing. response:	Why do you have to treat me like that?
context: I'm borrowing the cutter, okay?\Senpai, you're not into younger girls, are you?\I can't say I have a problem with them.\I've got a little sister.\Were you just hitting on me?\I'm sorry. I like older guys, but I can't.\No, that's obviously not what I was doing.\Why do you have to treat me like that? response:	So that's the last of them?
context: Senpai, you're not into younger girls, are you?\I can't say I have a problem with them.\I've got a little sister.\Were you just hitting on me?\I'm sorry. I like older guys, but I can't.\No, that's obviously not what I was doing.\Why do you have to treat me like that?\So that's the last of them? response:	Yeah.
context: I can't say I have a problem with them.\I've got a little sister.\Were you just hitting on me?\I'm sorry. I like older guys, but I can't.\No, that's obviously not what I was doing.\Why do you have to treat me like that?\So that's the last of them?\Yeah. response:	Okay, I'm heading back.
context: I've got a little sister.\Were you just hitting on me?\I'm sorry. I like older guys, but I can't.\No, that's obviously not what I was doing.\Why do you have to treat me like that?\So that's the last of them?\Yeah.\Okay, I'm heading back. response:	U-Um, thank
context: Were you just hitting on me?\I'm sorry. I like older guys, but I can't.\No, that's obviously not what I was doing.\Why do you have to treat me like that?\So that's the last of them?\Yeah.\Okay, I'm heading back.\U-Um, thank response:	The tree.
context: I'm sorry. I like older guys, but I can't.\No, that's obviously not what I was doing.\Why do you have to treat me like that?\So that's the last of them?\Yeah.\Okay, I'm heading back.\U-Um, thank\The tree. response:	I think they're still working on it.
context: No, that's obviously not what I was doing.\Why do you have to treat me like that?\So that's the last of them?\Yeah.\Okay, I'm heading back.\U-Um, thank\The tree.\I think they're still working on it. response:	Why don't you go see?
context: Why do you have to treat me like that?\So that's the last of them?\Yeah.\Okay, I'm heading back.\U-Um, thank\The tree.\I think they're still working on it.\Why don't you go see? response:	Oh... Okay.
context: So that's the last of them?\Yeah.\Okay, I'm heading back.\U-Um, thank\The tree.\I think they're still working on it.\Why don't you go see?\Oh... Okay. response:	I know I've saved some people with the way I used to do things.
context: Yeah.\Okay, I'm heading back.\U-Um, thank\The tree.\I think they're still working on it.\Why don't you go see?\Oh... Okay.\I know I've saved some people with the way I used to do things. response:	But I'm sure that alone isn't enough.
context: Okay, I'm heading back.\U-Um, thank\The tree.\I think they're still working on it.\Why don't you go see?\Oh... Okay.\I know I've saved some people with the way I used to do things.\But I'm sure that alone isn't enough. response:	My responsibility... The answer I need...
context: U-Um, thank\The tree.\I think they're still working on it.\Why don't you go see?\Oh... Okay.\I know I've saved some people with the way I used to do things.\But I'm sure that alone isn't enough.\My responsibility... The answer I need... response:	I still don't know what it is.
context: The tree.\I think they're still working on it.\Why don't you go see?\Oh... Okay.\I know I've saved some people with the way I used to do things.\But I'm sure that alone isn't enough.\My responsibility... The answer I need...\I still don't know what it is. response:	Hey.
context: I think they're still working on it.\Why don't you go see?\Oh... Okay.\I know I've saved some people with the way I used to do things.\But I'm sure that alone isn't enough.\My responsibility... The answer I need...\I still don't know what it is.\Hey. response:	Good evening.
context: Why don't you go see?\Oh... Okay.\I know I've saved some people with the way I used to do things.\But I'm sure that alone isn't enough.\My responsibility... The answer I need...\I still don't know what it is.\Hey.\Good evening. response:	Were... you shopping?
context: Oh... Okay.\I know I've saved some people with the way I used to do things.\But I'm sure that alone isn't enough.\My responsibility... The answer I need...\I still don't know what it is.\Hey.\Good evening.\Were... you shopping? response:	Yes.
context: I know I've saved some people with the way I used to do things.\But I'm sure that alone isn't enough.\My responsibility... The answer I need...\I still don't know what it is.\Hey.\Good evening.\Were... you shopping?\Yes. response:	And what brings you out at this hour?
context: But I'm sure that alone isn't enough.\My responsibility... The answer I need...\I still don't know what it is.\Hey.\Good evening.\Were... you shopping?\Yes.\And what brings you out at this hour? response:	I just had... some stuff.
context: My responsibility... The answer I need...\I still don't know what it is.\Hey.\Good evening.\Were... you shopping?\Yes.\And what brings you out at this hour?\I just had... some stuff. response:	I see.
context: I still don't know what it is.\Hey.\Good evening.\Were... you shopping?\Yes.\And what brings you out at this hour?\I just had... some stuff.\I see. response:	You're helping with Isshiki-san's request, aren't you?
context: Hey.\Good evening.\Were... you shopping?\Yes.\And what brings you out at this hour?\I just had... some stuff.\I see.\You're helping with Isshiki-san's request, aren't you? response:	Oh... Well, yeah, as it turned out...
context: Good evening.\Were... you shopping?\Yes.\And what brings you out at this hour?\I just had... some stuff.\I see.\You're helping with Isshiki-san's request, aren't you?\Oh... Well, yeah, as it turned out... response:	You didn't need to lie like that.
context: Were... you shopping?\Yes.\And what brings you out at this hour?\I just had... some stuff.\I see.\You're helping with Isshiki-san's request, aren't you?\Oh... Well, yeah, as it turned out...\You didn't need to lie like that. response:	I wasn't exactly lying.
