context: Wait! Wait! response:	Hey, now! You're going to fall if you keep running like that!
context: I'll make sure I put my time in.\Then, first, could you sort those files?\Also, take a look at any exorcism request emails.\Hello? Are you open?\I didn't make a reservation or anything.\Oh, I can see you immediately.\Please, have a seat.\All right, go get some tea ready response:	Where'd the other kid go?
context: Then, first, could you sort those files?\Also, take a look at any exorcism request emails.\Hello? Are you open?\I didn't make a reservation or anything.\Oh, I can see you immediately.\Please, have a seat.\All right, go get some tea ready\Where'd the other kid go? response:	He seems to be hiding for some reason.
context: Also, take a look at any exorcism request emails.\Hello? Are you open?\I didn't make a reservation or anything.\Oh, I can see you immediately.\Please, have a seat.\All right, go get some tea ready\Where'd the other kid go?\He seems to be hiding for some reason. response:	Takane-san?!
context: Hello? Are you open?\I didn't make a reservation or anything.\Oh, I can see you immediately.\Please, have a seat.\All right, go get some tea ready\Where'd the other kid go?\He seems to be hiding for some reason.\Takane-san?! response:	What is she doing here?
context: I didn't make a reservation or anything.\Oh, I can see you immediately.\Please, have a seat.\All right, go get some tea ready\Where'd the other kid go?\He seems to be hiding for some reason.\Takane-san?!\What is she doing here? response:	I don't care about myself,
context: Oh, I can see you immediately.\Please, have a seat.\All right, go get some tea ready\Where'd the other kid go?\He seems to be hiding for some reason.\Takane-san?!\What is she doing here?\I don't care about myself, response:	but I can't let her find out Nii-san has ties with a shady place like this.
context: Please, have a seat.\All right, go get some tea ready\Where'd the other kid go?\He seems to be hiding for some reason.\Takane-san?!\What is she doing here?\I don't care about myself,\but I can't let her find out Nii-san has ties with a shady place like this. response:	Um, I heard that you also give relationship advice...
context: All right, go get some tea ready\Where'd the other kid go?\He seems to be hiding for some reason.\Takane-san?!\What is she doing here?\I don't care about myself,\but I can't let her find out Nii-san has ties with a shady place like this.\Um, I heard that you also give relationship advice... response:	Right?
context: Where'd the other kid go?\He seems to be hiding for some reason.\Takane-san?!\What is she doing here?\I don't care about myself,\but I can't let her find out Nii-san has ties with a shady place like this.\Um, I heard that you also give relationship advice...\Right? response:	Yeah.
context: He seems to be hiding for some reason.\Takane-san?!\What is she doing here?\I don't care about myself,\but I can't let her find out Nii-san has ties with a shady place like this.\Um, I heard that you also give relationship advice...\Right?\Yeah. response:	Could you do that for us?
context: Takane-san?!\What is she doing here?\I don't care about myself,\but I can't let her find out Nii-san has ties with a shady place like this.\Um, I heard that you also give relationship advice...\Right?\Yeah.\Could you do that for us? response:	Relationship advice?!
context: What is she doing here?\I don't care about myself,\but I can't let her find out Nii-san has ties with a shady place like this.\Um, I heard that you also give relationship advice...\Right?\Yeah.\Could you do that for us?\Relationship advice?! response:	If I could have you fill out this questionnaire first.
context: I don't care about myself,\but I can't let her find out Nii-san has ties with a shady place like this.\Um, I heard that you also give relationship advice...\Right?\Yeah.\Could you do that for us?\Relationship advice?!\If I could have you fill out this questionnaire first. response:	Oh, sure.
context: but I can't let her find out Nii-san has ties with a shady place like this.\Um, I heard that you also give relationship advice...\Right?\Yeah.\Could you do that for us?\Relationship advice?!\If I could have you fill out this questionnaire first.\Oh, sure. response:	I see. So you go to Salt Middle School.
context: Um, I heard that you also give relationship advice...\Right?\Yeah.\Could you do that for us?\Relationship advice?!\If I could have you fill out this questionnaire first.\Oh, sure.\I see. So you go to Salt Middle School. response:	I actually know someone at Salt Middle School.
context: Right?\Yeah.\Could you do that for us?\Relationship advice?!\If I could have you fill out this questionnaire first.\Oh, sure.\I see. So you go to Salt Middle School.\I actually know someone at Salt Middle School. response:	Reigen! You shut your mouth!
context: Yeah.\Could you do that for us?\Relationship advice?!\If I could have you fill out this questionnaire first.\Oh, sure.\I see. So you go to Salt Middle School.\I actually know someone at Salt Middle School.\Reigen! You shut your mouth! response:	With our satisfied customers
context: Could you do that for us?\Relationship advice?!\If I could have you fill out this questionnaire first.\Oh, sure.\I see. So you go to Salt Middle School.\I actually know someone at Salt Middle School.\Reigen! You shut your mouth!\With our satisfied customers response:	What's this person like, Miki-chan?
context: Relationship advice?!\If I could have you fill out this questionnaire first.\Oh, sure.\I see. So you go to Salt Middle School.\I actually know someone at Salt Middle School.\Reigen! You shut your mouth!\With our satisfied customers\What's this person like, Miki-chan? response:	Spirits and Such Consultation Office
context: If I could have you fill out this questionnaire first.\Oh, sure.\I see. So you go to Salt Middle School.\I actually know someone at Salt Middle School.\Reigen! You shut your mouth!\With our satisfied customers\What's this person like, Miki-chan?\Spirits and Such Consultation Office response:	Uh, could you let me do my job, please?
context: Oh, sure.\I see. So you go to Salt Middle School.\I actually know someone at Salt Middle School.\Reigen! You shut your mouth!\With our satisfied customers\What's this person like, Miki-chan?\Spirits and Such Consultation Office\Uh, could you let me do my job, please? response:	I see...
context: I see. So you go to Salt Middle School.\I actually know someone at Salt Middle School.\Reigen! You shut your mouth!\With our satisfied customers\What's this person like, Miki-chan?\Spirits and Such Consultation Office\Uh, could you let me do my job, please?\I see... response:	So this person is probably in your grade, or maybe a bit older...
context: I actually know someone at Salt Middle School.\Reigen! You shut your mouth!\With our satisfied customers\What's this person like, Miki-chan?\Spirits and Such Consultation Office\Uh, could you let me do my job, please?\I see...\So this person is probably in your grade, or maybe a bit older... response:	And they play some kind of sport.
context: Reigen! You shut your mouth!\With our satisfied customers\What's this person like, Miki-chan?\Spirits and Such Consultation Office\Uh, could you let me do my job, please?\I see...\So this person is probably in your grade, or maybe a bit older...\And they play some kind of sport. response:	Wow! You're right!
context: With our satisfied customers\What's this person like, Miki-chan?\Spirits and Such Consultation Office\Uh, could you let me do my job, please?\I see...\So this person is probably in your grade, or maybe a bit older...\And they play some kind of sport.\Wow! You're right! response:	I see.
context: What's this person like, Miki-chan?\Spirits and Such Consultation Office\Uh, could you let me do my job, please?\I see...\So this person is probably in your grade, or maybe a bit older...\And they play some kind of sport.\Wow! You're right!\I see. response:	He's on the soccer team, so you want to get him some cleats.
context: Spirits and Such Consultation Office\Uh, could you let me do my job, please?\I see...\So this person is probably in your grade, or maybe a bit older...\And they play some kind of sport.\Wow! You're right!\I see.\He's on the soccer team, so you want to get him some cleats. response:	But if you get him a really nice pair,
context: Uh, could you let me do my job, please?\I see...\So this person is probably in your grade, or maybe a bit older...\And they play some kind of sport.\Wow! You're right!\I see.\He's on the soccer team, so you want to get him some cleats.\But if you get him a really nice pair, response:	their monetary value may leave a bigger impression than your feelings.
context: I see...\So this person is probably in your grade, or maybe a bit older...\And they play some kind of sport.\Wow! You're right!\I see.\He's on the soccer team, so you want to get him some cleats.\But if you get him a really nice pair,\their monetary value may leave a bigger impression than your feelings. response:	With our satisfied customers
context: So this person is probably in your grade, or maybe a bit older...\And they play some kind of sport.\Wow! You're right!\I see.\He's on the soccer team, so you want to get him some cleats.\But if you get him a really nice pair,\their monetary value may leave a bigger impression than your feelings.\With our satisfied customers response:	In that case, I think you should start off as friends.
context: And they play some kind of sport.\Wow! You're right!\I see.\He's on the soccer team, so you want to get him some cleats.\But if you get him a really nice pair,\their monetary value may leave a bigger impression than your feelings.\With our satisfied customers\In that case, I think you should start off as friends. response:	Ask him what his hobbies are outside of soccer,
context: Wow! You're right!\I see.\He's on the soccer team, so you want to get him some cleats.\But if you get him a really nice pair,\their monetary value may leave a bigger impression than your feelings.\With our satisfied customers\In that case, I think you should start off as friends.\Ask him what his hobbies are outside of soccer, response:	or about his favorite TV show...
context: I see.\He's on the soccer team, so you want to get him some cleats.\But if you get him a really nice pair,\their monetary value may leave a bigger impression than your feelings.\With our satisfied customers\In that case, I think you should start off as friends.\Ask him what his hobbies are outside of soccer,\or about his favorite TV show... response:	So basically,
context: He's on the soccer team, so you want to get him some cleats.\But if you get him a really nice pair,\their monetary value may leave a bigger impression than your feelings.\With our satisfied customers\In that case, I think you should start off as friends.\Ask him what his hobbies are outside of soccer,\or about his favorite TV show...\So basically, response:	there's no need for you to rush in and ask him out, Miki-san.
context: But if you get him a really nice pair,\their monetary value may leave a bigger impression than your feelings.\With our satisfied customers\In that case, I think you should start off as friends.\Ask him what his hobbies are outside of soccer,\or about his favorite TV show...\So basically,\there's no need for you to rush in and ask him out, Miki-san. response:	In my opinion, at least.
context: their monetary value may leave a bigger impression than your feelings.\With our satisfied customers\In that case, I think you should start off as friends.\Ask him what his hobbies are outside of soccer,\or about his favorite TV show...\So basically,\there's no need for you to rush in and ask him out, Miki-san.\In my opinion, at least. response:	Okay! Thank you so much!
context: With our satisfied customers\In that case, I think you should start off as friends.\Ask him what his hobbies are outside of soccer,\or about his favorite TV show...\So basically,\there's no need for you to rush in and ask him out, Miki-san.\In my opinion, at least.\Okay! Thank you so much! response:	That was really helpful!
context: In that case, I think you should start off as friends.\Ask him what his hobbies are outside of soccer,\or about his favorite TV show...\So basically,\there's no need for you to rush in and ask him out, Miki-san.\In my opinion, at least.\Okay! Thank you so much!\That was really helpful! response:	Um, I didn't fill out the questionnaire, but can I ask you some questions, too?
context: Ask him what his hobbies are outside of soccer,\or about his favorite TV show...\So basically,\there's no need for you to rush in and ask him out, Miki-san.\In my opinion, at least.\Okay! Thank you so much!\That was really helpful!\Um, I didn't fill out the questionnaire, but can I ask you some questions, too? response:	Yes, of course!
context: or about his favorite TV show...\So basically,\there's no need for you to rush in and ask him out, Miki-san.\In my opinion, at least.\Okay! Thank you so much!\That was really helpful!\Um, I didn't fill out the questionnaire, but can I ask you some questions, too?\Yes, of course! response:	Did you want relationship advice as well?
context: So basically,\there's no need for you to rush in and ask him out, Miki-san.\In my opinion, at least.\Okay! Thank you so much!\That was really helpful!\Um, I didn't fill out the questionnaire, but can I ask you some questions, too?\Yes, of course!\Did you want relationship advice as well? response:	Yes. The person I like is someone from another school who I meet at cram school.
context: there's no need for you to rush in and ask him out, Miki-san.\In my opinion, at least.\Okay! Thank you so much!\That was really helpful!\Um, I didn't fill out the questionnaire, but can I ask you some questions, too?\Yes, of course!\Did you want relationship advice as well?\Yes. The person I like is someone from another school who I meet at cram school. response:	Ah, I see.
context: In my opinion, at least.\Okay! Thank you so much!\That was really helpful!\Um, I didn't fill out the questionnaire, but can I ask you some questions, too?\Yes, of course!\Did you want relationship advice as well?\Yes. The person I like is someone from another school who I meet at cram school.\Ah, I see. response:	They talk to me all the time.
context: Okay! Thank you so much!\That was really helpful!\Um, I didn't fill out the questionnaire, but can I ask you some questions, too?\Yes, of course!\Did you want relationship advice as well?\Yes. The person I like is someone from another school who I meet at cram school.\Ah, I see.\They talk to me all the time. response:	Hey, what's with you, man?
context: That was really helpful!\Um, I didn't fill out the questionnaire, but can I ask you some questions, too?\Yes, of course!\Did you want relationship advice as well?\Yes. The person I like is someone from another school who I meet at cram school.\Ah, I see.\They talk to me all the time.\Hey, what's with you, man? response:	Sometimes, we even walk home together after cram school.
context: Um, I didn't fill out the questionnaire, but can I ask you some questions, too?\Yes, of course!\Did you want relationship advice as well?\Yes. The person I like is someone from another school who I meet at cram school.\Ah, I see.\They talk to me all the time.\Hey, what's with you, man?\Sometimes, we even walk home together after cram school. response:	Should I ask them out?
context: Yes, of course!\Did you want relationship advice as well?\Yes. The person I like is someone from another school who I meet at cram school.\Ah, I see.\They talk to me all the time.\Hey, what's with you, man?\Sometimes, we even walk home together after cram school.\Should I ask them out? response:	Well, in that case, I think it'd be fine to ask them out immediately.
context: Did you want relationship advice as well?\Yes. The person I like is someone from another school who I meet at cram school.\Ah, I see.\They talk to me all the time.\Hey, what's with you, man?\Sometimes, we even walk home together after cram school.\Should I ask them out?\Well, in that case, I think it'd be fine to ask them out immediately. response:	Hey!
context: Yes. The person I like is someone from another school who I meet at cram school.\Ah, I see.\They talk to me all the time.\Hey, what's with you, man?\Sometimes, we even walk home together after cram school.\Should I ask them out?\Well, in that case, I think it'd be fine to ask them out immediately.\Hey! response:	With our satisfied customers
context: Ah, I see.\They talk to me all the time.\Hey, what's with you, man?\Sometimes, we even walk home together after cram school.\Should I ask them out?\Well, in that case, I think it'd be fine to ask them out immediately.\Hey!\With our satisfied customers response:	From what you've told me, the other person is obviously interested in you as well.
context: They talk to me all the time.\Hey, what's with you, man?\Sometimes, we even walk home together after cram school.\Should I ask them out?\Well, in that case, I think it'd be fine to ask them out immediately.\Hey!\With our satisfied customers\From what you've told me, the other person is obviously interested in you as well. response:	If you ask them out, there's a very good possibility they'll say yes.
context: Hey, what's with you, man?\Sometimes, we even walk home together after cram school.\Should I ask them out?\Well, in that case, I think it'd be fine to ask them out immediately.\Hey!\With our satisfied customers\From what you've told me, the other person is obviously interested in you as well.\If you ask them out, there's a very good possibility they'll say yes. response:	It's over...
context: Sometimes, we even walk home together after cram school.\Should I ask them out?\Well, in that case, I think it'd be fine to ask them out immediately.\Hey!\With our satisfied customers\From what you've told me, the other person is obviously interested in you as well.\If you ask them out, there's a very good possibility they'll say yes.\It's over... response:	Okay.
context: Should I ask them out?\Well, in that case, I think it'd be fine to ask them out immediately.\Hey!\With our satisfied customers\From what you've told me, the other person is obviously interested in you as well.\If you ask them out, there's a very good possibility they'll say yes.\It's over...\Okay. response:	Thank you very much.
context: Well, in that case, I think it'd be fine to ask them out immediately.\Hey!\With our satisfied customers\From what you've told me, the other person is obviously interested in you as well.\If you ask them out, there's a very good possibility they'll say yes.\It's over...\Okay.\Thank you very much. response:	Please come by again anytime.
context: Hey!\With our satisfied customers\From what you've told me, the other person is obviously interested in you as well.\If you ask them out, there's a very good possibility they'll say yes.\It's over...\Okay.\Thank you very much.\Please come by again anytime. response:	Do you know them, Little Bro?
context: With our satisfied customers\From what you've told me, the other person is obviously interested in you as well.\If you ask them out, there's a very good possibility they'll say yes.\It's over...\Okay.\Thank you very much.\Please come by again anytime.\Do you know them, Little Bro? response:	They looked older.
context: From what you've told me, the other person is obviously interested in you as well.\If you ask them out, there's a very good possibility they'll say yes.\It's over...\Okay.\Thank you very much.\Please come by again anytime.\Do you know them, Little Bro?\They looked older. response:	Well, uh...
context: If you ask them out, there's a very good possibility they'll say yes.\It's over...\Okay.\Thank you very much.\Please come by again anytime.\Do you know them, Little Bro?\They looked older.\Well, uh... response:	I can't...
context: It's over...\Okay.\Thank you very much.\Please come by again anytime.\Do you know them, Little Bro?\They looked older.\Well, uh...\I can't... response:	I can't tell Nii-san.
context: Okay.\Thank you very much.\Please come by again anytime.\Do you know them, Little Bro?\They looked older.\Well, uh...\I can't...\I can't tell Nii-san. response:	You can do this, Nii-san!
context: Thank you very much.\Please come by again anytime.\Do you know them, Little Bro?\They looked older.\Well, uh...\I can't...\I can't tell Nii-san.\You can do this, Nii-san! response:	I didn't know you went to cram school, Tsubomi.
context: Please come by again anytime.\Do you know them, Little Bro?\They looked older.\Well, uh...\I can't...\I can't tell Nii-san.\You can do this, Nii-san!\I didn't know you went to cram school, Tsubomi. response:	You never mentioned that before.
context: Do you know them, Little Bro?\They looked older.\Well, uh...\I can't...\I can't tell Nii-san.\You can do this, Nii-san!\I didn't know you went to cram school, Tsubomi.\You never mentioned that before. response:	Nope. I just made it up.
context: They looked older.\Well, uh...\I can't...\I can't tell Nii-san.\You can do this, Nii-san!\I didn't know you went to cram school, Tsubomi.\You never mentioned that before.\Nope. I just made it up. response:	I didn't want you to get scammed or something,
context: Well, uh...\I can't...\I can't tell Nii-san.\You can do this, Nii-san!\I didn't know you went to cram school, Tsubomi.\You never mentioned that before.\Nope. I just made it up.\I didn't want you to get scammed or something, response:	so I thought I'd test him a little.
context: I can't...\I can't tell Nii-san.\You can do this, Nii-san!\I didn't know you went to cram school, Tsubomi.\You never mentioned that before.\Nope. I just made it up.\I didn't want you to get scammed or something,\so I thought I'd test him a little. response:	Oh, really? I see.
context: I can't tell Nii-san.\You can do this, Nii-san!\I didn't know you went to cram school, Tsubomi.\You never mentioned that before.\Nope. I just made it up.\I didn't want you to get scammed or something,\so I thought I'd test him a little.\Oh, really? I see. response:	And what did you think, Tsubomi?
context: You can do this, Nii-san!\I didn't know you went to cram school, Tsubomi.\You never mentioned that before.\Nope. I just made it up.\I didn't want you to get scammed or something,\so I thought I'd test him a little.\Oh, really? I see.\And what did you think, Tsubomi? response:	Well...
context: I didn't know you went to cram school, Tsubomi.\You never mentioned that before.\Nope. I just made it up.\I didn't want you to get scammed or something,\so I thought I'd test him a little.\Oh, really? I see.\And what did you think, Tsubomi?\Well... response:	He didn't say anything wrong... So he's probably okay.
context: You never mentioned that before.\Nope. I just made it up.\I didn't want you to get scammed or something,\so I thought I'd test him a little.\Oh, really? I see.\And what did you think, Tsubomi?\Well...\He didn't say anything wrong... So he's probably okay. response:	Mob Psycho
context: Nope. I just made it up.\I didn't want you to get scammed or something,\so I thought I'd test him a little.\Oh, really? I see.\And what did you think, Tsubomi?\Well...\He didn't say anything wrong... So he's probably okay.\Mob Psycho response:	Mob Psycho
context: I didn't want you to get scammed or something,\so I thought I'd test him a little.\Oh, really? I see.\And what did you think, Tsubomi?\Well...\He didn't say anything wrong... So he's probably okay.\Mob Psycho\Mob Psycho response:	The Day of the Marathon
context: so I thought I'd test him a little.\Oh, really? I see.\And what did you think, Tsubomi?\Well...\He didn't say anything wrong... So he's probably okay.\Mob Psycho\Mob Psycho\The Day of the Marathon response:	Salt Middle School Marathon
context: Oh, really? I see.\And what did you think, Tsubomi?\Well...\He didn't say anything wrong... So he's probably okay.\Mob Psycho\Mob Psycho\The Day of the Marathon\Salt Middle School Marathon response:	You can do it!
context: And what did you think, Tsubomi?\Well...\He didn't say anything wrong... So he's probably okay.\Mob Psycho\Mob Psycho\The Day of the Marathon\Salt Middle School Marathon\You can do it! response:	My parents are here.
context: Well...\He didn't say anything wrong... So he's probably okay.\Mob Psycho\Mob Psycho\The Day of the Marathon\Salt Middle School Marathon\You can do it!\My parents are here. response:	Who's the fastest out of the guys?
context: He didn't say anything wrong... So he's probably okay.\Mob Psycho\Mob Psycho\The Day of the Marathon\Salt Middle School Marathon\You can do it!\My parents are here.\Who's the fastest out of the guys? response:	This day has finally arrived.
context: Mob Psycho\Mob Psycho\The Day of the Marathon\Salt Middle School Marathon\You can do it!\My parents are here.\Who's the fastest out of the guys?\This day has finally arrived. response:	There are followers waiting near the finish line.
context: Mob Psycho\The Day of the Marathon\Salt Middle School Marathon\You can do it!\My parents are here.\Who's the fastest out of the guys?\This day has finally arrived.\There are followers waiting near the finish line. response:	It's time to present their beloved leader.
context: The Day of the Marathon\Salt Middle School Marathon\You can do it!\My parents are here.\Who's the fastest out of the guys?\This day has finally arrived.\There are followers waiting near the finish line.\It's time to present their beloved leader. response:	You've got this, Mob-kun!
context: Salt Middle School Marathon\You can do it!\My parents are here.\Who's the fastest out of the guys?\This day has finally arrived.\There are followers waiting near the finish line.\It's time to present their beloved leader.\You've got this, Mob-kun! response:	I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo.
context: You can do it!\My parents are here.\Who's the fastest out of the guys?\This day has finally arrived.\There are followers waiting near the finish line.\It's time to present their beloved leader.\You've got this, Mob-kun!\I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo. response:	Yeah. He's got the stamina of a snail.
context: My parents are here.\Who's the fastest out of the guys?\This day has finally arrived.\There are followers waiting near the finish line.\It's time to present their beloved leader.\You've got this, Mob-kun!\I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo.\Yeah. He's got the stamina of a snail. response:	We should watch from somewhere along the course rather than the finish line.
context: Who's the fastest out of the guys?\This day has finally arrived.\There are followers waiting near the finish line.\It's time to present their beloved leader.\You've got this, Mob-kun!\I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo.\Yeah. He's got the stamina of a snail.\We should watch from somewhere along the course rather than the finish line. response:	Nurse's Station
context: This day has finally arrived.\There are followers waiting near the finish line.\It's time to present their beloved leader.\You've got this, Mob-kun!\I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo.\Yeah. He's got the stamina of a snail.\We should watch from somewhere along the course rather than the finish line.\Nurse's Station response:	Salt MS
context: There are followers waiting near the finish line.\It's time to present their beloved leader.\You've got this, Mob-kun!\I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo.\Yeah. He's got the stamina of a snail.\We should watch from somewhere along the course rather than the finish line.\Nurse's Station\Salt MS response:	Cough, cough.
context: It's time to present their beloved leader.\You've got this, Mob-kun!\I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo.\Yeah. He's got the stamina of a snail.\We should watch from somewhere along the course rather than the finish line.\Nurse's Station\Salt MS\Cough, cough. response:	Oh, no. I've caught a cold.
context: You've got this, Mob-kun!\I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo.\Yeah. He's got the stamina of a snail.\We should watch from somewhere along the course rather than the finish line.\Nurse's Station\Salt MS\Cough, cough.\Oh, no. I've caught a cold. response:	Hack, hack.
context: I'm sure Ritsu will be fine, but I'm a bit worried about Shigeo.\Yeah. He's got the stamina of a snail.\We should watch from somewhere along the course rather than the finish line.\Nurse's Station\Salt MS\Cough, cough.\Oh, no. I've caught a cold.\Hack, hack. response:	Visitor Station
context: Yeah. He's got the stamina of a snail.\We should watch from somewhere along the course rather than the finish line.\Nurse's Station\Salt MS\Cough, cough.\Oh, no. I've caught a cold.\Hack, hack.\Visitor Station response:	Oh, did you catch a cold too, Kijibayashi-san?
context: We should watch from somewhere along the course rather than the finish line.\Nurse's Station\Salt MS\Cough, cough.\Oh, no. I've caught a cold.\Hack, hack.\Visitor Station\Oh, did you catch a cold too, Kijibayashi-san? response:	So did I!
context: Nurse's Station\Salt MS\Cough, cough.\Oh, no. I've caught a cold.\Hack, hack.\Visitor Station\Oh, did you catch a cold too, Kijibayashi-san?\So did I! response:	Wow, that's such a coincidence, Inukawa.
context: Salt MS\Cough, cough.\Oh, no. I've caught a cold.\Hack, hack.\Visitor Station\Oh, did you catch a cold too, Kijibayashi-san?\So did I!\Wow, that's such a coincidence, Inukawa. response:	Horf, horf. Horf...
context: Cough, cough.\Oh, no. I've caught a cold.\Hack, hack.\Visitor Station\Oh, did you catch a cold too, Kijibayashi-san?\So did I!\Wow, that's such a coincidence, Inukawa.\Horf, horf. Horf... response:	You, too, Saruta? Not bad for a first-year.
context: Oh, no. I've caught a cold.\Hack, hack.\Visitor Station\Oh, did you catch a cold too, Kijibayashi-san?\So did I!\Wow, that's such a coincidence, Inukawa.\Horf, horf. Horf...\You, too, Saruta? Not bad for a first-year. response:	Oh, you're too kind.
context: Hack, hack.\Visitor Station\Oh, did you catch a cold too, Kijibayashi-san?\So did I!\Wow, that's such a coincidence, Inukawa.\Horf, horf. Horf...\You, too, Saruta? Not bad for a first-year.\Oh, you're too kind. response:	I learned a lot from the Telepathy Club.
context: Visitor Station\Oh, did you catch a cold too, Kijibayashi-san?\So did I!\Wow, that's such a coincidence, Inukawa.\Horf, horf. Horf...\You, too, Saruta? Not bad for a first-year.\Oh, you're too kind.\I learned a lot from the Telepathy Club. response:	Run, you lazy bastards!
context: Oh, did you catch a cold too, Kijibayashi-san?\So did I!\Wow, that's such a coincidence, Inukawa.\Horf, horf. Horf...\You, too, Saruta? Not bad for a first-year.\Oh, you're too kind.\I learned a lot from the Telepathy Club.\Run, you lazy bastards! response:	Salt MS
context: So did I!\Wow, that's such a coincidence, Inukawa.\Horf, horf. Horf...\You, too, Saruta? Not bad for a first-year.\Oh, you're too kind.\I learned a lot from the Telepathy Club.\Run, you lazy bastards!\Salt MS response:	Inukawa
context: Wow, that's such a coincidence, Inukawa.\Horf, horf. Horf...\You, too, Saruta? Not bad for a first-year.\Oh, you're too kind.\I learned a lot from the Telepathy Club.\Run, you lazy bastards!\Salt MS\Inukawa response:	Salt MS
context: Horf, horf. Horf...\You, too, Saruta? Not bad for a first-year.\Oh, you're too kind.\I learned a lot from the Telepathy Club.\Run, you lazy bastards!\Salt MS\Inukawa\Salt MS response:	Kijibayashi
context: You, too, Saruta? Not bad for a first-year.\Oh, you're too kind.\I learned a lot from the Telepathy Club.\Run, you lazy bastards!\Salt MS\Inukawa\Salt MS\Kijibayashi response:	Salt MS
context: Oh, you're too kind.\I learned a lot from the Telepathy Club.\Run, you lazy bastards!\Salt MS\Inukawa\Salt MS\Kijibayashi\Salt MS response:	Saruta
context: I learned a lot from the Telepathy Club.\Run, you lazy bastards!\Salt MS\Inukawa\Salt MS\Kijibayashi\Salt MS\Saruta response:	Even Mob-kun's going to run!
context: Run, you lazy bastards!\Salt MS\Inukawa\Salt MS\Kijibayashi\Salt MS\Saruta\Even Mob-kun's going to run! response:	So you three better get going, too!
context: Salt MS\Inukawa\Salt MS\Kijibayashi\Salt MS\Saruta\Even Mob-kun's going to run!\So you three better get going, too! response:	Shigeo! How ya doin'?
context: Inukawa\Salt MS\Kijibayashi\Salt MS\Saruta\Even Mob-kun's going to run!\So you three better get going, too!\Shigeo! How ya doin'? response:	He's doomed. He's super nervous.
context: Salt MS\Kijibayashi\Salt MS\Saruta\Even Mob-kun's going to run!\So you three better get going, too!\Shigeo! How ya doin'?\He's doomed. He's super nervous. response:	Shape up, Kageyama!
context: Kijibayashi\Salt MS\Saruta\Even Mob-kun's going to run!\So you three better get going, too!\Shigeo! How ya doin'?\He's doomed. He's super nervous.\Shape up, Kageyama! response:	President.
context: Salt MS\Saruta\Even Mob-kun's going to run!\So you three better get going, too!\Shigeo! How ya doin'?\He's doomed. He's super nervous.\Shape up, Kageyama!\President. response:	Show everyone the fruits of your training!
context: Saruta\Even Mob-kun's going to run!\So you three better get going, too!\Shigeo! How ya doin'?\He's doomed. He's super nervous.\Shape up, Kageyama!\President.\Show everyone the fruits of your training! response:	We're rivals today!
context: Even Mob-kun's going to run!\So you three better get going, too!\Shigeo! How ya doin'?\He's doomed. He's super nervous.\Shape up, Kageyama!\President.\Show everyone the fruits of your training!\We're rivals today! response:	Rivals...
context: So you three better get going, too!\Shigeo! How ya doin'?\He's doomed. He's super nervous.\Shape up, Kageyama!\President.\Show everyone the fruits of your training!\We're rivals today!\Rivals... response:	I'll do my best!
context: Shigeo! How ya doin'?\He's doomed. He's super nervous.\Shape up, Kageyama!\President.\Show everyone the fruits of your training!\We're rivals today!\Rivals...\I'll do my best! response:	Looks like he put those to good use.
context: He's doomed. He's super nervous.\Shape up, Kageyama!\President.\Show everyone the fruits of your training!\We're rivals today!\Rivals...\I'll do my best!\Looks like he put those to good use. response:	Way to go, shadow leader.
context: Shape up, Kageyama!\President.\Show everyone the fruits of your training!\We're rivals today!\Rivals...\I'll do my best!\Looks like he put those to good use.\Way to go, shadow leader. response:	We will now begin the boys' race of the Salt Middle School Marathon.
context: President.\Show everyone the fruits of your training!\We're rivals today!\Rivals...\I'll do my best!\Looks like he put those to good use.\Way to go, shadow leader.\We will now begin the boys' race of the Salt Middle School Marathon. response:	Salt Middle School Marathon
context: Show everyone the fruits of your training!\We're rivals today!\Rivals...\I'll do my best!\Looks like he put those to good use.\Way to go, shadow leader.\We will now begin the boys' race of the Salt Middle School Marathon.\Salt Middle School Marathon response:	On your marks...
context: We're rivals today!\Rivals...\I'll do my best!\Looks like he put those to good use.\Way to go, shadow leader.\We will now begin the boys' race of the Salt Middle School Marathon.\Salt Middle School Marathon\On your marks... response:	Ready...
context: Rivals...\I'll do my best!\Looks like he put those to good use.\Way to go, shadow leader.\We will now begin the boys' race of the Salt Middle School Marathon.\Salt Middle School Marathon\On your marks...\Ready... response:	Nii-san!
context: I'll do my best!\Looks like he put those to good use.\Way to go, shadow leader.\We will now begin the boys' race of the Salt Middle School Marathon.\Salt Middle School Marathon\On your marks...\Ready...\Nii-san! response:	Salt Middle School
context: Looks like he put those to good use.\Way to go, shadow leader.\We will now begin the boys' race of the Salt Middle School Marathon.\Salt Middle School Marathon\On your marks...\Ready...\Nii-san!\Salt Middle School response:	You're not catching up to the leading pack on that leg...
context: Way to go, shadow leader.\We will now begin the boys' race of the Salt Middle School Marathon.\Salt Middle School Marathon\On your marks...\Ready...\Nii-san!\Salt Middle School\You're not catching up to the leading pack on that leg... response:	Want me to possess you?
