context: Mari, where do you think you're going? response:	You promised you'd be quiet at home for a while.
context: So would you please wait a moment?\Of course.\Listen, Papa.\After we parted ways at Mr. Bell's place,\the armillary compass malfunctioned, and I almost didn't get back.\So I thought the same thing might have happened to you, and you can't get back.\Hey... After we get back,\would you promise not to time travel again? response:	Mama's really worried, too.
context: Of course.\Listen, Papa.\After we parted ways at Mr. Bell's place,\the armillary compass malfunctioned, and I almost didn't get back.\So I thought the same thing might have happened to you, and you can't get back.\Hey... After we get back,\would you promise not to time travel again?\Mama's really worried, too. response:	R-Right.
context: Listen, Papa.\After we parted ways at Mr. Bell's place,\the armillary compass malfunctioned, and I almost didn't get back.\So I thought the same thing might have happened to you, and you can't get back.\Hey... After we get back,\would you promise not to time travel again?\Mama's really worried, too.\R-Right. response:	I'm so glad! Then let's go back together!
context: After we parted ways at Mr. Bell's place,\the armillary compass malfunctioned, and I almost didn't get back.\So I thought the same thing might have happened to you, and you can't get back.\Hey... After we get back,\would you promise not to time travel again?\Mama's really worried, too.\R-Right.\I'm so glad! Then let's go back together! response:	I can't do that.
context: the armillary compass malfunctioned, and I almost didn't get back.\So I thought the same thing might have happened to you, and you can't get back.\Hey... After we get back,\would you promise not to time travel again?\Mama's really worried, too.\R-Right.\I'm so glad! Then let's go back together!\I can't do that. response:	What?
context: So I thought the same thing might have happened to you, and you can't get back.\Hey... After we get back,\would you promise not to time travel again?\Mama's really worried, too.\R-Right.\I'm so glad! Then let's go back together!\I can't do that.\What? response:	Mari, do you know what Mr. Hertz discovered?
context: Hey... After we get back,\would you promise not to time travel again?\Mama's really worried, too.\R-Right.\I'm so glad! Then let's go back together!\I can't do that.\What?\Mari, do you know what Mr. Hertz discovered? response:	No...
context: would you promise not to time travel again?\Mama's really worried, too.\R-Right.\I'm so glad! Then let's go back together!\I can't do that.\What?\Mari, do you know what Mr. Hertz discovered?\No... response:	What was it?
context: Mama's really worried, too.\R-Right.\I'm so glad! Then let's go back together!\I can't do that.\What?\Mari, do you know what Mr. Hertz discovered?\No...\What was it? response:	Electromagnetic waves.
context: R-Right.\I'm so glad! Then let's go back together!\I can't do that.\What?\Mari, do you know what Mr. Hertz discovered?\No...\What was it?\Electromagnetic waves. response:	The electromagnetic wave experiments he did
context: I'm so glad! Then let's go back together!\I can't do that.\What?\Mari, do you know what Mr. Hertz discovered?\No...\What was it?\Electromagnetic waves.\The electromagnetic wave experiments he did response:	will later lead to the invention of wireless broadcasts.
context: I can't do that.\What?\Mari, do you know what Mr. Hertz discovered?\No...\What was it?\Electromagnetic waves.\The electromagnetic wave experiments he did\will later lead to the invention of wireless broadcasts. response:	But he dies without ever knowing
context: What?\Mari, do you know what Mr. Hertz discovered?\No...\What was it?\Electromagnetic waves.\The electromagnetic wave experiments he did\will later lead to the invention of wireless broadcasts.\But he dies without ever knowing response:	the value of his work.
context: Mari, do you know what Mr. Hertz discovered?\No...\What was it?\Electromagnetic waves.\The electromagnetic wave experiments he did\will later lead to the invention of wireless broadcasts.\But he dies without ever knowing\the value of his work. response:	That's why I want to let him know.
context: No...\What was it?\Electromagnetic waves.\The electromagnetic wave experiments he did\will later lead to the invention of wireless broadcasts.\But he dies without ever knowing\the value of his work.\That's why I want to let him know. response:	Let him know what?
context: What was it?\Electromagnetic waves.\The electromagnetic wave experiments he did\will later lead to the invention of wireless broadcasts.\But he dies without ever knowing\the value of his work.\That's why I want to let him know.\Let him know what? response:	I want to use this to show him the wonders of wireless transmission.
context: Electromagnetic waves.\The electromagnetic wave experiments he did\will later lead to the invention of wireless broadcasts.\But he dies without ever knowing\the value of his work.\That's why I want to let him know.\Let him know what?\I want to use this to show him the wonders of wireless transmission. response:	In other words, the wonders of what he created.
context: The electromagnetic wave experiments he did\will later lead to the invention of wireless broadcasts.\But he dies without ever knowing\the value of his work.\That's why I want to let him know.\Let him know what?\I want to use this to show him the wonders of wireless transmission.\In other words, the wonders of what he created. response:	But won't that change history?
context: will later lead to the invention of wireless broadcasts.\But he dies without ever knowing\the value of his work.\That's why I want to let him know.\Let him know what?\I want to use this to show him the wonders of wireless transmission.\In other words, the wonders of what he created.\But won't that change history? response:	It won't change history.
context: But he dies without ever knowing\the value of his work.\That's why I want to let him know.\Let him know what?\I want to use this to show him the wonders of wireless transmission.\In other words, the wonders of what he created.\But won't that change history?\It won't change history. response:	I'm just going to let him know.
context: the value of his work.\That's why I want to let him know.\Let him know what?\I want to use this to show him the wonders of wireless transmission.\In other words, the wonders of what he created.\But won't that change history?\It won't change history.\I'm just going to let him know. response:	And he's not long for this world.
context: That's why I want to let him know.\Let him know what?\I want to use this to show him the wonders of wireless transmission.\In other words, the wonders of what he created.\But won't that change history?\It won't change history.\I'm just going to let him know.\And he's not long for this world. response:	His research is important.
context: Let him know what?\I want to use this to show him the wonders of wireless transmission.\In other words, the wonders of what he created.\But won't that change history?\It won't change history.\I'm just going to let him know.\And he's not long for this world.\His research is important. response:	I want him to know that.
context: I want to use this to show him the wonders of wireless transmission.\In other words, the wonders of what he created.\But won't that change history?\It won't change history.\I'm just going to let him know.\And he's not long for this world.\His research is important.\I want him to know that. response:	Papa...
context: In other words, the wonders of what he created.\But won't that change history?\It won't change history.\I'm just going to let him know.\And he's not long for this world.\His research is important.\I want him to know that.\Papa... response:	But my research... what good will it do?
context: But won't that change history?\It won't change history.\I'm just going to let him know.\And he's not long for this world.\His research is important.\I want him to know that.\Papa...\But my research... what good will it do? response:	Got it. I'll help, too.
context: It won't change history.\I'm just going to let him know.\And he's not long for this world.\His research is important.\I want him to know that.\Papa...\But my research... what good will it do?\Got it. I'll help, too. response:	Excuse me.
context: I'm just going to let him know.\And he's not long for this world.\His research is important.\I want him to know that.\Papa...\But my research... what good will it do?\Got it. I'll help, too.\Excuse me. response:	What's the matter?
context: And he's not long for this world.\His research is important.\I want him to know that.\Papa...\But my research... what good will it do?\Got it. I'll help, too.\Excuse me.\What's the matter? response:	You're from the future?
context: His research is important.\I want him to know that.\Papa...\But my research... what good will it do?\Got it. I'll help, too.\Excuse me.\What's the matter?\You're from the future? response:	I'm sure you won't believe me right away,
context: I want him to know that.\Papa...\But my research... what good will it do?\Got it. I'll help, too.\Excuse me.\What's the matter?\You're from the future?\I'm sure you won't believe me right away, response:	but I feel like it's faster to show you than to explain.
context: Papa...\But my research... what good will it do?\Got it. I'll help, too.\Excuse me.\What's the matter?\You're from the future?\I'm sure you won't believe me right away,\but I feel like it's faster to show you than to explain. response:	Could I take a photo?
context: But my research... what good will it do?\Got it. I'll help, too.\Excuse me.\What's the matter?\You're from the future?\I'm sure you won't believe me right away,\but I feel like it's faster to show you than to explain.\Could I take a photo? response:	A photo?
context: Got it. I'll help, too.\Excuse me.\What's the matter?\You're from the future?\I'm sure you won't believe me right away,\but I feel like it's faster to show you than to explain.\Could I take a photo?\A photo? response:	Go on, smile!
context: Excuse me.\What's the matter?\You're from the future?\I'm sure you won't believe me right away,\but I feel like it's faster to show you than to explain.\Could I take a photo?\A photo?\Go on, smile! response:	I'm taking the photo!
context: What's the matter?\You're from the future?\I'm sure you won't believe me right away,\but I feel like it's faster to show you than to explain.\Could I take a photo?\A photo?\Go on, smile!\I'm taking the photo! response:	That's a good photo.
context: You're from the future?\I'm sure you won't believe me right away,\but I feel like it's faster to show you than to explain.\Could I take a photo?\A photo?\Go on, smile!\I'm taking the photo!\That's a good photo. response:	Th-This is...
context: I'm sure you won't believe me right away,\but I feel like it's faster to show you than to explain.\Could I take a photo?\A photo?\Go on, smile!\I'm taking the photo!\That's a good photo.\Th-This is... response:	Don't get too shocked just yet.
context: but I feel like it's faster to show you than to explain.\Could I take a photo?\A photo?\Go on, smile!\I'm taking the photo!\That's a good photo.\Th-This is...\Don't get too shocked just yet. response:	The real show is coming up.
context: Could I take a photo?\A photo?\Go on, smile!\I'm taking the photo!\That's a good photo.\Th-This is...\Don't get too shocked just yet.\The real show is coming up. response:	I'm going to send this photo to the next room.
context: A photo?\Go on, smile!\I'm taking the photo!\That's a good photo.\Th-This is...\Don't get too shocked just yet.\The real show is coming up.\I'm going to send this photo to the next room. response:	Send it?
context: Go on, smile!\I'm taking the photo!\That's a good photo.\Th-This is...\Don't get too shocked just yet.\The real show is coming up.\I'm going to send this photo to the next room.\Send it? response:	I'm using wireless transmission.
context: I'm taking the photo!\That's a good photo.\Th-This is...\Don't get too shocked just yet.\The real show is coming up.\I'm going to send this photo to the next room.\Send it?\I'm using wireless transmission. response:	Wireless...
context: That's a good photo.\Th-This is...\Don't get too shocked just yet.\The real show is coming up.\I'm going to send this photo to the next room.\Send it?\I'm using wireless transmission.\Wireless... response:	I'm going to stay right here.
context: Th-This is...\Don't get too shocked just yet.\The real show is coming up.\I'm going to send this photo to the next room.\Send it?\I'm using wireless transmission.\Wireless...\I'm going to stay right here. response:	But you can see the picture I just took in the next room over.
context: Don't get too shocked just yet.\The real show is coming up.\I'm going to send this photo to the next room.\Send it?\I'm using wireless transmission.\Wireless...\I'm going to stay right here.\But you can see the picture I just took in the next room over. response:	The picture he took was sent to me!
context: The real show is coming up.\I'm going to send this photo to the next room.\Send it?\I'm using wireless transmission.\Wireless...\I'm going to stay right here.\But you can see the picture I just took in the next room over.\The picture he took was sent to me! response:	This is...
context: I'm going to send this photo to the next room.\Send it?\I'm using wireless transmission.\Wireless...\I'm going to stay right here.\But you can see the picture I just took in the next room over.\The picture he took was sent to me!\This is... response:	Oh!
context: Send it?\I'm using wireless transmission.\Wireless...\I'm going to stay right here.\But you can see the picture I just took in the next room over.\The picture he took was sent to me!\This is...\Oh! response:	The electromagnetic waves sent it from that room to this one.
context: I'm using wireless transmission.\Wireless...\I'm going to stay right here.\But you can see the picture I just took in the next room over.\The picture he took was sent to me!\This is...\Oh!\The electromagnetic waves sent it from that room to this one. response:	This is something that your research created.
context: Wireless...\I'm going to stay right here.\But you can see the picture I just took in the next room over.\The picture he took was sent to me!\This is...\Oh!\The electromagnetic waves sent it from that room to this one.\This is something that your research created. response:	Electromagnetic waves... My research did this?
context: I'm going to stay right here.\But you can see the picture I just took in the next room over.\The picture he took was sent to me!\This is...\Oh!\The electromagnetic waves sent it from that room to this one.\This is something that your research created.\Electromagnetic waves... My research did this? response:	Yes.
context: But you can see the picture I just took in the next room over.\The picture he took was sent to me!\This is...\Oh!\The electromagnetic waves sent it from that room to this one.\This is something that your research created.\Electromagnetic waves... My research did this?\Yes. response:	Won't you believe me?
context: The picture he took was sent to me!\This is...\Oh!\The electromagnetic waves sent it from that room to this one.\This is something that your research created.\Electromagnetic waves... My research did this?\Yes.\Won't you believe me? response:	I believe you.
context: This is...\Oh!\The electromagnetic waves sent it from that room to this one.\This is something that your research created.\Electromagnetic waves... My research did this?\Yes.\Won't you believe me?\I believe you. response:	We believe in you.
context: Oh!\The electromagnetic waves sent it from that room to this one.\This is something that your research created.\Electromagnetic waves... My research did this?\Yes.\Won't you believe me?\I believe you.\We believe in you. response:	So you should believe in your work too, darling.
context: The electromagnetic waves sent it from that room to this one.\This is something that your research created.\Electromagnetic waves... My research did this?\Yes.\Won't you believe me?\I believe you.\We believe in you.\So you should believe in your work too, darling. response:	Believe in it!
context: This is something that your research created.\Electromagnetic waves... My research did this?\Yes.\Won't you believe me?\I believe you.\We believe in you.\So you should believe in your work too, darling.\Believe in it! response:	Yeah!
context: Electromagnetic waves... My research did this?\Yes.\Won't you believe me?\I believe you.\We believe in you.\So you should believe in your work too, darling.\Believe in it!\Yeah! response:	My research... It's really...
context: Yes.\Won't you believe me?\I believe you.\We believe in you.\So you should believe in your work too, darling.\Believe in it!\Yeah!\My research... It's really... response:	Elisabeth, Johanna, Mathilde... Thank you.
context: Won't you believe me?\I believe you.\We believe in you.\So you should believe in your work too, darling.\Believe in it!\Yeah!\My research... It's really...\Elisabeth, Johanna, Mathilde... Thank you. response:	Mari, I can't go back with you yet.
context: I believe you.\We believe in you.\So you should believe in your work too, darling.\Believe in it!\Yeah!\My research... It's really...\Elisabeth, Johanna, Mathilde... Thank you.\Mari, I can't go back with you yet. response:	But I promise I will return to you.
context: We believe in you.\So you should believe in your work too, darling.\Believe in it!\Yeah!\My research... It's really...\Elisabeth, Johanna, Mathilde... Thank you.\Mari, I can't go back with you yet.\But I promise I will return to you. response:	So believe and wait for me.
context: So you should believe in your work too, darling.\Believe in it!\Yeah!\My research... It's really...\Elisabeth, Johanna, Mathilde... Thank you.\Mari, I can't go back with you yet.\But I promise I will return to you.\So believe and wait for me. response:	Papa...
context: Believe in it!\Yeah!\My research... It's really...\Elisabeth, Johanna, Mathilde... Thank you.\Mari, I can't go back with you yet.\But I promise I will return to you.\So believe and wait for me.\Papa... response:	Now, go on ahead of me.
context: Yeah!\My research... It's really...\Elisabeth, Johanna, Mathilde... Thank you.\Mari, I can't go back with you yet.\But I promise I will return to you.\So believe and wait for me.\Papa...\Now, go on ahead of me. response:	Now I'll return, too. Goodbye, Mr. Hertz.
context: My research... It's really...\Elisabeth, Johanna, Mathilde... Thank you.\Mari, I can't go back with you yet.\But I promise I will return to you.\So believe and wait for me.\Papa...\Now, go on ahead of me.\Now I'll return, too. Goodbye, Mr. Hertz. response:	Thank you.
context: Elisabeth, Johanna, Mathilde... Thank you.\Mari, I can't go back with you yet.\But I promise I will return to you.\So believe and wait for me.\Papa...\Now, go on ahead of me.\Now I'll return, too. Goodbye, Mr. Hertz.\Thank you. response:	Mari!
context: Mari, I can't go back with you yet.\But I promise I will return to you.\So believe and wait for me.\Papa...\Now, go on ahead of me.\Now I'll return, too. Goodbye, Mr. Hertz.\Thank you.\Mari! response:	Mari.
context: But I promise I will return to you.\So believe and wait for me.\Papa...\Now, go on ahead of me.\Now I'll return, too. Goodbye, Mr. Hertz.\Thank you.\Mari!\Mari. response:	Why?
context: So believe and wait for me.\Papa...\Now, go on ahead of me.\Now I'll return, too. Goodbye, Mr. Hertz.\Thank you.\Mari!\Mari.\Why? response:	Your mama's out late.
context: Papa...\Now, go on ahead of me.\Now I'll return, too. Goodbye, Mr. Hertz.\Thank you.\Mari!\Mari.\Why?\Your mama's out late. response:	Next Episode: Edison's Resilience
context: Now, go on ahead of me.\Now I'll return, too. Goodbye, Mr. Hertz.\Thank you.\Mari!\Mari.\Why?\Your mama's out late.\Next Episode: Edison's Resilience response:	She's late. Next Episode: Edison's Resilience
context: Now I'll return, too. Goodbye, Mr. Hertz.\Thank you.\Mari!\Mari.\Why?\Your mama's out late.\Next Episode: Edison's Resilience\She's late. Next Episode: Edison's Resilience response:	Next Episode: Edison's Resilience
context: Thank you.\Mari!\Mari.\Why?\Your mama's out late.\Next Episode: Edison's Resilience\She's late. Next Episode: Edison's Resilience\Next Episode: Edison's Resilience response:	Mari and Waka's Quick Science
context: Mari!\Mari.\Why?\Your mama's out late.\Next Episode: Edison's Resilience\She's late. Next Episode: Edison's Resilience\Next Episode: Edison's Resilience\Mari and Waka's Quick Science response:	Mari and Waka's Quick Science! Mari and Waka's Quick Science
context: Mari.\Why?\Your mama's out late.\Next Episode: Edison's Resilience\She's late. Next Episode: Edison's Resilience\Next Episode: Edison's Resilience\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science response:	Mari and Waka's Quick Science!
context: Why?\Your mama's out late.\Next Episode: Edison's Resilience\She's late. Next Episode: Edison's Resilience\Next Episode: Edison's Resilience\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science! response:	Then I will proceed.
context: Your mama's out late.\Next Episode: Edison's Resilience\She's late. Next Episode: Edison's Resilience\Next Episode: Edison's Resilience\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Then I will proceed. response:	Getting to see the famous electromagnetic wave experiment with my own eyes...
context: Next Episode: Edison's Resilience\She's late. Next Episode: Edison's Resilience\Next Episode: Edison's Resilience\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Then I will proceed.\Getting to see the famous electromagnetic wave experiment with my own eyes... response:	Really, it's just a proof of concept.
context: She's late. Next Episode: Edison's Resilience\Next Episode: Edison's Resilience\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Then I will proceed.\Getting to see the famous electromagnetic wave experiment with my own eyes...\Really, it's just a proof of concept. response:	What was Mr. Hertz's experiment?
context: Next Episode: Edison's Resilience\Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Then I will proceed.\Getting to see the famous electromagnetic wave experiment with my own eyes...\Really, it's just a proof of concept.\What was Mr. Hertz's experiment? response:	He was proving the existence of electromagnetic waves!
context: Mari and Waka's Quick Science\Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Then I will proceed.\Getting to see the famous electromagnetic wave experiment with my own eyes...\Really, it's just a proof of concept.\What was Mr. Hertz's experiment?\He was proving the existence of electromagnetic waves! response:	Electromagnetic waves?
context: Mari and Waka's Quick Science! Mari and Waka's Quick Science\Mari and Waka's Quick Science!\Then I will proceed.\Getting to see the famous electromagnetic wave experiment with my own eyes...\Really, it's just a proof of concept.\What was Mr. Hertz's experiment?\He was proving the existence of electromagnetic waves!\Electromagnetic waves? response:	Waves created by electricity and magnetism, right?
context: Mari and Waka's Quick Science!\Then I will proceed.\Getting to see the famous electromagnetic wave experiment with my own eyes...\Really, it's just a proof of concept.\What was Mr. Hertz's experiment?\He was proving the existence of electromagnetic waves!\Electromagnetic waves?\Waves created by electricity and magnetism, right? response:	Right.
context: Then I will proceed.\Getting to see the famous electromagnetic wave experiment with my own eyes...\Really, it's just a proof of concept.\What was Mr. Hertz's experiment?\He was proving the existence of electromagnetic waves!\Electromagnetic waves?\Waves created by electricity and magnetism, right?\Right. response:	He theorized their existence based on the equation of a physicist named Maxwell,
context: Getting to see the famous electromagnetic wave experiment with my own eyes...\Really, it's just a proof of concept.\What was Mr. Hertz's experiment?\He was proving the existence of electromagnetic waves!\Electromagnetic waves?\Waves created by electricity and magnetism, right?\Right.\He theorized their existence based on the equation of a physicist named Maxwell, response:	and proved that electromagnetic waves move through space and expand.
context: Really, it's just a proof of concept.\What was Mr. Hertz's experiment?\He was proving the existence of electromagnetic waves!\Electromagnetic waves?\Waves created by electricity and magnetism, right?\Right.\He theorized their existence based on the equation of a physicist named Maxwell,\and proved that electromagnetic waves move through space and expand. response:	Through space?!
context: What was Mr. Hertz's experiment?\He was proving the existence of electromagnetic waves!\Electromagnetic waves?\Waves created by electricity and magnetism, right?\Right.\He theorized their existence based on the equation of a physicist named Maxwell,\and proved that electromagnetic waves move through space and expand.\Through space?! response:	Electromagnetic waves are generated when electricity is flowing.
context: He was proving the existence of electromagnetic waves!\Electromagnetic waves?\Waves created by electricity and magnetism, right?\Right.\He theorized their existence based on the equation of a physicist named Maxwell,\and proved that electromagnetic waves move through space and expand.\Through space?!\Electromagnetic waves are generated when electricity is flowing. response:	Then every other experiment before that...
context: Electromagnetic waves?\Waves created by electricity and magnetism, right?\Right.\He theorized their existence based on the equation of a physicist named Maxwell,\and proved that electromagnetic waves move through space and expand.\Through space?!\Electromagnetic waves are generated when electricity is flowing.\Then every other experiment before that... response:	Of course, they produced electromagnetic waves.
context: Waves created by electricity and magnetism, right?\Right.\He theorized their existence based on the equation of a physicist named Maxwell,\and proved that electromagnetic waves move through space and expand.\Through space?!\Electromagnetic waves are generated when electricity is flowing.\Then every other experiment before that...\Of course, they produced electromagnetic waves. response:	People just didn't realize it.
context: Right.\He theorized their existence based on the equation of a physicist named Maxwell,\and proved that electromagnetic waves move through space and expand.\Through space?!\Electromagnetic waves are generated when electricity is flowing.\Then every other experiment before that...\Of course, they produced electromagnetic waves.\People just didn't realize it. response:	Wow!
context: He theorized their existence based on the equation of a physicist named Maxwell,\and proved that electromagnetic waves move through space and expand.\Through space?!\Electromagnetic waves are generated when electricity is flowing.\Then every other experiment before that...\Of course, they produced electromagnetic waves.\People just didn't realize it.\Wow! response:	The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays
context: and proved that electromagnetic waves move through space and expand.\Through space?!\Electromagnetic waves are generated when electricity is flowing.\Then every other experiment before that...\Of course, they produced electromagnetic waves.\People just didn't realize it.\Wow!\The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays response:	Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays
context: Through space?!\Electromagnetic waves are generated when electricity is flowing.\Then every other experiment before that...\Of course, they produced electromagnetic waves.\People just didn't realize it.\Wow!\The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays response:	can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays
context: Electromagnetic waves are generated when electricity is flowing.\Then every other experiment before that...\Of course, they produced electromagnetic waves.\People just didn't realize it.\Wow!\The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays response:	Wow, light is an electromagnetic wave, too? The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays
context: Then every other experiment before that...\Of course, they produced electromagnetic waves.\People just didn't realize it.\Wow!\The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Wow, light is an electromagnetic wave, too? The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays response:	Yes! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays
context: Of course, they produced electromagnetic waves.\People just didn't realize it.\Wow!\The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Wow, light is an electromagnetic wave, too? The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Yes! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays response:	Light is just electromagnetic waves on the visible spectrum! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays
context: People just didn't realize it.\Wow!\The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Wow, light is an electromagnetic wave, too? The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Yes! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Light is just electromagnetic waves on the visible spectrum! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays response:	Electromagnetic waves are used in TV and cell phones,
context: Wow!\The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Wow, light is an electromagnetic wave, too? The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Yes! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Light is just electromagnetic waves on the visible spectrum! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Electromagnetic waves are used in TV and cell phones, response:	and X-rays are used for many medical procedures.
context: The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Wow, light is an electromagnetic wave, too? The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Yes! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Light is just electromagnetic waves on the visible spectrum! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Electromagnetic waves are used in TV and cell phones,\and X-rays are used for many medical procedures. response:	Wow!
context: Depending on their wavelength, electromagnetic waves The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Wow, light is an electromagnetic wave, too? The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Yes! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Light is just electromagnetic waves on the visible spectrum! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Electromagnetic waves are used in TV and cell phones,\and X-rays are used for many medical procedures.\Wow! response:	And what are they measured in, as credit for the great accomplishment?
context: can be radio waves, light, or X-rays or gamma rays. The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Wow, light is an electromagnetic wave, too? The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Yes! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Light is just electromagnetic waves on the visible spectrum! The Types of Electromagnetic Waves Radio Waves Light X-Rays/Gamma Rays\Electromagnetic waves are used in TV and cell phones,\and X-rays are used for many medical procedures.\Wow!\And what are they measured in, as credit for the great accomplishment? response:	Hertz! Hertz
