context: Felt-sama, thank you for gracing us with your presence. response:	Reinhard...
context: I'll work you to death.\Anyway, Felt-sama and her knight, Reinhard,\may we conclude that you both intend to participate in the royal selection?\Sure, I'm in.\But let me just say one thing.\I hate the nobility!\I hate knights!\I hate this kingdom! response:	I hate everything about it!
context: Anyway, Felt-sama and her knight, Reinhard,\may we conclude that you both intend to participate in the royal selection?\Sure, I'm in.\But let me just say one thing.\I hate the nobility!\I hate knights!\I hate this kingdom!\I hate everything about it! response:	So I'm planning to tear it all down!
context: may we conclude that you both intend to participate in the royal selection?\Sure, I'm in.\But let me just say one thing.\I hate the nobility!\I hate knights!\I hate this kingdom!\I hate everything about it!\So I'm planning to tear it all down! response:	How about that?
context: Sure, I'm in.\But let me just say one thing.\I hate the nobility!\I hate knights!\I hate this kingdom!\I hate everything about it!\So I'm planning to tear it all down!\How about that? response:	Wh-What are you saying?
context: But let me just say one thing.\I hate the nobility!\I hate knights!\I hate this kingdom!\I hate everything about it!\So I'm planning to tear it all down!\How about that?\Wh-What are you saying? response:	If I become the next ruler,
context: I hate the nobility!\I hate knights!\I hate this kingdom!\I hate everything about it!\So I'm planning to tear it all down!\How about that?\Wh-What are you saying?\If I become the next ruler, response:	I'll destroy everything! I'll take down every last one of you,
context: I hate knights!\I hate this kingdom!\I hate everything about it!\So I'm planning to tear it all down!\How about that?\Wh-What are you saying?\If I become the next ruler,\I'll destroy everything! I'll take down every last one of you, response:	and bring a little fresh air into this country!
context: I hate this kingdom!\I hate everything about it!\So I'm planning to tear it all down!\How about that?\Wh-What are you saying?\If I become the next ruler,\I'll destroy everything! I'll take down every last one of you,\and bring a little fresh air into this country! response:	Your mistress is quite an intense lady.
context: I hate everything about it!\So I'm planning to tear it all down!\How about that?\Wh-What are you saying?\If I become the next ruler,\I'll destroy everything! I'll take down every last one of you,\and bring a little fresh air into this country!\Your mistress is quite an intense lady. response:	One day, Felt-sama's words will reach everyone's ears.
context: So I'm planning to tear it all down!\How about that?\Wh-What are you saying?\If I become the next ruler,\I'll destroy everything! I'll take down every last one of you,\and bring a little fresh air into this country!\Your mistress is quite an intense lady.\One day, Felt-sama's words will reach everyone's ears. response:	In any case,
context: How about that?\Wh-What are you saying?\If I become the next ruler,\I'll destroy everything! I'll take down every last one of you,\and bring a little fresh air into this country!\Your mistress is quite an intense lady.\One day, Felt-sama's words will reach everyone's ears.\In any case, response:	all of the candidates are finally here.
context: Wh-What are you saying?\If I become the next ruler,\I'll destroy everything! I'll take down every last one of you,\and bring a little fresh air into this country!\Your mistress is quite an intense lady.\One day, Felt-sama's words will reach everyone's ears.\In any case,\all of the candidates are finally here. response:	The royal selection will now begin!
context: If I become the next ruler,\I'll destroy everything! I'll take down every last one of you,\and bring a little fresh air into this country!\Your mistress is quite an intense lady.\One day, Felt-sama's words will reach everyone's ears.\In any case,\all of the candidates are finally here.\The royal selection will now begin! response:	And so, the royal selection has finally begun, Subaru.
context: I'll destroy everything! I'll take down every last one of you,\and bring a little fresh air into this country!\Your mistress is quite an intense lady.\One day, Felt-sama's words will reach everyone's ears.\In any case,\all of the candidates are finally here.\The royal selection will now begin!\And so, the royal selection has finally begun, Subaru. response:	Subaru- kyun, you're Emilia-sama's knight nyow, aren't you?
context: and bring a little fresh air into this country!\Your mistress is quite an intense lady.\One day, Felt-sama's words will reach everyone's ears.\In any case,\all of the candidates are finally here.\The royal selection will now begin!\And so, the royal selection has finally begun, Subaru.\Subaru- kyun, you're Emilia-sama's knight nyow, aren't you? response:	Let's both do our best.
context: Your mistress is quite an intense lady.\One day, Felt-sama's words will reach everyone's ears.\In any case,\all of the candidates are finally here.\The royal selection will now begin!\And so, the royal selection has finally begun, Subaru.\Subaru- kyun, you're Emilia-sama's knight nyow, aren't you?\Let's both do our best. response:	Forgive me for interrupting.
context: One day, Felt-sama's words will reach everyone's ears.\In any case,\all of the candidates are finally here.\The royal selection will now begin!\And so, the royal selection has finally begun, Subaru.\Subaru- kyun, you're Emilia-sama's knight nyow, aren't you?\Let's both do our best.\Forgive me for interrupting. response:	Why the hell are you here?!
context: In any case,\all of the candidates are finally here.\The royal selection will now begin!\And so, the royal selection has finally begun, Subaru.\Subaru- kyun, you're Emilia-sama's knight nyow, aren't you?\Let's both do our best.\Forgive me for interrupting.\Why the hell are you here?! response:	I wish you would not make such an unpleasant face.
context: all of the candidates are finally here.\The royal selection will now begin!\And so, the royal selection has finally begun, Subaru.\Subaru- kyun, you're Emilia-sama's knight nyow, aren't you?\Let's both do our best.\Forgive me for interrupting.\Why the hell are you here?!\I wish you would not make such an unpleasant face. response:	but if you take that attitude
context: The royal selection will now begin!\And so, the royal selection has finally begun, Subaru.\Subaru- kyun, you're Emilia-sama's knight nyow, aren't you?\Let's both do our best.\Forgive me for interrupting.\Why the hell are you here?!\I wish you would not make such an unpleasant face.\but if you take that attitude response:	If I do, then what?
context: And so, the royal selection has finally begun, Subaru.\Subaru- kyun, you're Emilia-sama's knight nyow, aren't you?\Let's both do our best.\Forgive me for interrupting.\Why the hell are you here?!\I wish you would not make such an unpleasant face.\but if you take that attitude\If I do, then what? response:	It will call into question the respectability of those in your company.
context: Subaru- kyun, you're Emilia-sama's knight nyow, aren't you?\Let's both do our best.\Forgive me for interrupting.\Why the hell are you here?!\I wish you would not make such an unpleasant face.\but if you take that attitude\If I do, then what?\It will call into question the respectability of those in your company. response:	Do be careful.
context: Let's both do our best.\Forgive me for interrupting.\Why the hell are you here?!\I wish you would not make such an unpleasant face.\but if you take that attitude\If I do, then what?\It will call into question the respectability of those in your company.\Do be careful. response:	Now, you asked me why I was here, did you not?
context: Forgive me for interrupting.\Why the hell are you here?!\I wish you would not make such an unpleasant face.\but if you take that attitude\If I do, then what?\It will call into question the respectability of those in your company.\Do be careful.\Now, you asked me why I was here, did you not? response:	I came to see you, of course.
context: Why the hell are you here?!\I wish you would not make such an unpleasant face.\but if you take that attitude\If I do, then what?\It will call into question the respectability of those in your company.\Do be careful.\Now, you asked me why I was here, did you not?\I came to see you, of course. response:	I would like you to come with me for a bit.
context: I wish you would not make such an unpleasant face.\but if you take that attitude\If I do, then what?\It will call into question the respectability of those in your company.\Do be careful.\Now, you asked me why I was here, did you not?\I came to see you, of course.\I would like you to come with me for a bit. response:	Julius, you shouldn't do this.
context: but if you take that attitude\If I do, then what?\It will call into question the respectability of those in your company.\Do be careful.\Now, you asked me why I was here, did you not?\I came to see you, of course.\I would like you to come with me for a bit.\Julius, you shouldn't do this. response:	It isn't like you.
context: If I do, then what?\It will call into question the respectability of those in your company.\Do be careful.\Now, you asked me why I was here, did you not?\I came to see you, of course.\I would like you to come with me for a bit.\Julius, you shouldn't do this.\It isn't like you. response:	He insulted us, the knights, before the candidates to be our future ruler.
context: It will call into question the respectability of those in your company.\Do be careful.\Now, you asked me why I was here, did you not?\I came to see you, of course.\I would like you to come with me for a bit.\Julius, you shouldn't do this.\It isn't like you.\He insulted us, the knights, before the candidates to be our future ruler. response:	And he mocked the chivalry we practice.
context: Do be careful.\Now, you asked me why I was here, did you not?\I came to see you, of course.\I would like you to come with me for a bit.\Julius, you shouldn't do this.\It isn't like you.\He insulted us, the knights, before the candidates to be our future ruler.\And he mocked the chivalry we practice. response:	I admit that he said some things that went too far.
context: Now, you asked me why I was here, did you not?\I came to see you, of course.\I would like you to come with me for a bit.\Julius, you shouldn't do this.\It isn't like you.\He insulted us, the knights, before the candidates to be our future ruler.\And he mocked the chivalry we practice.\I admit that he said some things that went too far. response:	But for such a matter, he need only be warned and corrected.
context: I came to see you, of course.\I would like you to come with me for a bit.\Julius, you shouldn't do this.\It isn't like you.\He insulted us, the knights, before the candidates to be our future ruler.\And he mocked the chivalry we practice.\I admit that he said some things that went too far.\But for such a matter, he need only be warned and corrected. response:	No, this is not only my problem.
context: I would like you to come with me for a bit.\Julius, you shouldn't do this.\It isn't like you.\He insulted us, the knights, before the candidates to be our future ruler.\And he mocked the chivalry we practice.\I admit that he said some things that went too far.\But for such a matter, he need only be warned and corrected.\No, this is not only my problem. response:	I hereby administer
context: Julius, you shouldn't do this.\It isn't like you.\He insulted us, the knights, before the candidates to be our future ruler.\And he mocked the chivalry we practice.\I admit that he said some things that went too far.\But for such a matter, he need only be warned and corrected.\No, this is not only my problem.\I hereby administer response:	the death penalty to this insubordinate man, who sullied the knighthood's honor!
context: It isn't like you.\He insulted us, the knights, before the candidates to be our future ruler.\And he mocked the chivalry we practice.\I admit that he said some things that went too far.\But for such a matter, he need only be warned and corrected.\No, this is not only my problem.\I hereby administer\the death penalty to this insubordinate man, who sullied the knighthood's honor! response:	Normally, it wouldn't be unusual for you to be slain for insolence.
context: He insulted us, the knights, before the candidates to be our future ruler.\And he mocked the chivalry we practice.\I admit that he said some things that went too far.\But for such a matter, he need only be warned and corrected.\No, this is not only my problem.\I hereby administer\the death penalty to this insubordinate man, who sullied the knighthood's honor!\Normally, it wouldn't be unusual for you to be slain for insolence. response:	However, much to my dismay, you are Emilia-sama's attendant.
context: And he mocked the chivalry we practice.\I admit that he said some things that went too far.\But for such a matter, he need only be warned and corrected.\No, this is not only my problem.\I hereby administer\the death penalty to this insubordinate man, who sullied the knighthood's honor!\Normally, it wouldn't be unusual for you to be slain for insolence.\However, much to my dismay, you are Emilia-sama's attendant. response:	Therefore, we will fight using wooden swords.
context: I admit that he said some things that went too far.\But for such a matter, he need only be warned and corrected.\No, this is not only my problem.\I hereby administer\the death penalty to this insubordinate man, who sullied the knighthood's honor!\Normally, it wouldn't be unusual for you to be slain for insolence.\However, much to my dismay, you are Emilia-sama's attendant.\Therefore, we will fight using wooden swords. response:	Shall we begin?
context: But for such a matter, he need only be warned and corrected.\No, this is not only my problem.\I hereby administer\the death penalty to this insubordinate man, who sullied the knighthood's honor!\Normally, it wouldn't be unusual for you to be slain for insolence.\However, much to my dismay, you are Emilia-sama's attendant.\Therefore, we will fight using wooden swords.\Shall we begin? response:	Sure, I'm not gonna hold back!
context: No, this is not only my problem.\I hereby administer\the death penalty to this insubordinate man, who sullied the knighthood's honor!\Normally, it wouldn't be unusual for you to be slain for insolence.\However, much to my dismay, you are Emilia-sama's attendant.\Therefore, we will fight using wooden swords.\Shall we begin?\Sure, I'm not gonna hold back! response:	It appears you truly have no pride.
context: I hereby administer\the death penalty to this insubordinate man, who sullied the knighthood's honor!\Normally, it wouldn't be unusual for you to be slain for insolence.\However, much to my dismay, you are Emilia-sama's attendant.\Therefore, we will fight using wooden swords.\Shall we begin?\Sure, I'm not gonna hold back!\It appears you truly have no pride. response:	What a simple, vulgar way to live.
context: the death penalty to this insubordinate man, who sullied the knighthood's honor!\Normally, it wouldn't be unusual for you to be slain for insolence.\However, much to my dismay, you are Emilia-sama's attendant.\Therefore, we will fight using wooden swords.\Shall we begin?\Sure, I'm not gonna hold back!\It appears you truly have no pride.\What a simple, vulgar way to live. response:	Reporting!
context: Normally, it wouldn't be unusual for you to be slain for insolence.\However, much to my dismay, you are Emilia-sama's attendant.\Therefore, we will fight using wooden swords.\Shall we begin?\Sure, I'm not gonna hold back!\It appears you truly have no pride.\What a simple, vulgar way to live.\Reporting! response:	Knights Julius and Natsuki Subaru-dono are having a mock battle
context: However, much to my dismay, you are Emilia-sama's attendant.\Therefore, we will fight using wooden swords.\Shall we begin?\Sure, I'm not gonna hold back!\It appears you truly have no pride.\What a simple, vulgar way to live.\Reporting!\Knights Julius and Natsuki Subaru-dono are having a mock battle response:	with wooden swords in the training ring!
context: Therefore, we will fight using wooden swords.\Shall we begin?\Sure, I'm not gonna hold back!\It appears you truly have no pride.\What a simple, vulgar way to live.\Reporting!\Knights Julius and Natsuki Subaru-dono are having a mock battle\with wooden swords in the training ring! response:	How did that happen? I have to
context: Shall we begin?\Sure, I'm not gonna hold back!\It appears you truly have no pride.\What a simple, vulgar way to live.\Reporting!\Knights Julius and Natsuki Subaru-dono are having a mock battle\with wooden swords in the training ring!\How did that happen? I have to response:	I just wanna know one thing...
context: Sure, I'm not gonna hold back!\It appears you truly have no pride.\What a simple, vulgar way to live.\Reporting!\Knights Julius and Natsuki Subaru-dono are having a mock battle\with wooden swords in the training ring!\How did that happen? I have to\I just wanna know one thing... response:	Which one of'em issued the challenge?
context: It appears you truly have no pride.\What a simple, vulgar way to live.\Reporting!\Knights Julius and Natsuki Subaru-dono are having a mock battle\with wooden swords in the training ring!\How did that happen? I have to\I just wanna know one thing...\Which one of'em issued the challenge? response:	I'm told it was the knight Julius.
context: What a simple, vulgar way to live.\Reporting!\Knights Julius and Natsuki Subaru-dono are having a mock battle\with wooden swords in the training ring!\How did that happen? I have to\I just wanna know one thing...\Which one of'em issued the challenge?\I'm told it was the knight Julius. response:	Natsuki Subaru-dono accepted,
context: Reporting!\Knights Julius and Natsuki Subaru-dono are having a mock battle\with wooden swords in the training ring!\How did that happen? I have to\I just wanna know one thing...\Which one of'em issued the challenge?\I'm told it was the knight Julius.\Natsuki Subaru-dono accepted, response:	leading to this fight.
context: Knights Julius and Natsuki Subaru-dono are having a mock battle\with wooden swords in the training ring!\How did that happen? I have to\I just wanna know one thing...\Which one of'em issued the challenge?\I'm told it was the knight Julius.\Natsuki Subaru-dono accepted,\leading to this fight. response:	Well, I'm against stopping them, then.
context: with wooden swords in the training ring!\How did that happen? I have to\I just wanna know one thing...\Which one of'em issued the challenge?\I'm told it was the knight Julius.\Natsuki Subaru-dono accepted,\leading to this fight.\Well, I'm against stopping them, then. response:	But your knight and my, um... friend are fighting.
context: How did that happen? I have to\I just wanna know one thing...\Which one of'em issued the challenge?\I'm told it was the knight Julius.\Natsuki Subaru-dono accepted,\leading to this fight.\Well, I'm against stopping them, then.\But your knight and my, um... friend are fighting. response:	Aren't you worried?
context: I just wanna know one thing...\Which one of'em issued the challenge?\I'm told it was the knight Julius.\Natsuki Subaru-dono accepted,\leading to this fight.\Well, I'm against stopping them, then.\But your knight and my, um... friend are fighting.\Aren't you worried? response:	Worried? About what?
context: Which one of'em issued the challenge?\I'm told it was the knight Julius.\Natsuki Subaru-dono accepted,\leading to this fight.\Well, I'm against stopping them, then.\But your knight and my, um... friend are fighting.\Aren't you worried?\Worried? About what? response:	That Julius will go too far,
context: I'm told it was the knight Julius.\Natsuki Subaru-dono accepted,\leading to this fight.\Well, I'm against stopping them, then.\But your knight and my, um... friend are fighting.\Aren't you worried?\Worried? About what?\That Julius will go too far, response:	and I'll have to pay for your boy's treatment?
context: Natsuki Subaru-dono accepted,\leading to this fight.\Well, I'm against stopping them, then.\But your knight and my, um... friend are fighting.\Aren't you worried?\Worried? About what?\That Julius will go too far,\and I'll have to pay for your boy's treatment? response:	If it is a question of the mock battle,
context: leading to this fight.\Well, I'm against stopping them, then.\But your knight and my, um... friend are fighting.\Aren't you worried?\Worried? About what?\That Julius will go too far,\and I'll have to pay for your boy's treatment?\If it is a question of the mock battle, response:	I cannot agree with stopping it before they finish, either.
context: Well, I'm against stopping them, then.\But your knight and my, um... friend are fighting.\Aren't you worried?\Worried? About what?\That Julius will go too far,\and I'll have to pay for your boy's treatment?\If it is a question of the mock battle,\I cannot agree with stopping it before they finish, either. response:	If they're just duking it out,
context: But your knight and my, um... friend are fighting.\Aren't you worried?\Worried? About what?\That Julius will go too far,\and I'll have to pay for your boy's treatment?\If it is a question of the mock battle,\I cannot agree with stopping it before they finish, either.\If they're just duking it out, response:	you could've waited until it ended and told us who won.
context: Aren't you worried?\Worried? About what?\That Julius will go too far,\and I'll have to pay for your boy's treatment?\If it is a question of the mock battle,\I cannot agree with stopping it before they finish, either.\If they're just duking it out,\you could've waited until it ended and told us who won. response:	Yes, ma'am! But the fight was, well...
context: Worried? About what?\That Julius will go too far,\and I'll have to pay for your boy's treatment?\If it is a question of the mock battle,\I cannot agree with stopping it before they finish, either.\If they're just duking it out,\you could've waited until it ended and told us who won.\Yes, ma'am! But the fight was, well... response:	It was just so one-sided, I...
context: That Julius will go too far,\and I'll have to pay for your boy's treatment?\If it is a question of the mock battle,\I cannot agree with stopping it before they finish, either.\If they're just duking it out,\you could've waited until it ended and told us who won.\Yes, ma'am! But the fight was, well...\It was just so one-sided, I... response:	I have to stop it!
context: and I'll have to pay for your boy's treatment?\If it is a question of the mock battle,\I cannot agree with stopping it before they finish, either.\If they're just duking it out,\you could've waited until it ended and told us who won.\Yes, ma'am! But the fight was, well...\It was just so one-sided, I...\I have to stop it! response:	We should go, too.
context: If it is a question of the mock battle,\I cannot agree with stopping it before they finish, either.\If they're just duking it out,\you could've waited until it ended and told us who won.\Yes, ma'am! But the fight was, well...\It was just so one-sided, I...\I have to stop it!\We should go, too. response:	You like to watch vicious beasts torment weak creatures, don't you?
context: I cannot agree with stopping it before they finish, either.\If they're just duking it out,\you could've waited until it ended and told us who won.\Yes, ma'am! But the fight was, well...\It was just so one-sided, I...\I have to stop it!\We should go, too.\You like to watch vicious beasts torment weak creatures, don't you? response:	Don't misjudge me with your unfounded imaginings, Al...
context: If they're just duking it out,\you could've waited until it ended and told us who won.\Yes, ma'am! But the fight was, well...\It was just so one-sided, I...\I have to stop it!\We should go, too.\You like to watch vicious beasts torment weak creatures, don't you?\Don't misjudge me with your unfounded imaginings, Al... response:	But yes, I do love that.
context: you could've waited until it ended and told us who won.\Yes, ma'am! But the fight was, well...\It was just so one-sided, I...\I have to stop it!\We should go, too.\You like to watch vicious beasts torment weak creatures, don't you?\Don't misjudge me with your unfounded imaginings, Al...\But yes, I do love that. response:	Why don't you admit that you have reached your limit?
context: Yes, ma'am! But the fight was, well...\It was just so one-sided, I...\I have to stop it!\We should go, too.\You like to watch vicious beasts torment weak creatures, don't you?\Don't misjudge me with your unfounded imaginings, Al...\But yes, I do love that.\Why don't you admit that you have reached your limit? response:	I'm sure you have now realized, to a painful extent,
context: It was just so one-sided, I...\I have to stop it!\We should go, too.\You like to watch vicious beasts torment weak creatures, don't you?\Don't misjudge me with your unfounded imaginings, Al...\But yes, I do love that.\Why don't you admit that you have reached your limit?\I'm sure you have now realized, to a painful extent, response:	just what the knights that you insulted, and made light of, really are!
context: I have to stop it!\We should go, too.\You like to watch vicious beasts torment weak creatures, don't you?\Don't misjudge me with your unfounded imaginings, Al...\But yes, I do love that.\Why don't you admit that you have reached your limit?\I'm sure you have now realized, to a painful extent,\just what the knights that you insulted, and made light of, really are! response:	I believe continuing would endanger your life.
context: We should go, too.\You like to watch vicious beasts torment weak creatures, don't you?\Don't misjudge me with your unfounded imaginings, Al...\But yes, I do love that.\Why don't you admit that you have reached your limit?\I'm sure you have now realized, to a painful extent,\just what the knights that you insulted, and made light of, really are!\I believe continuing would endanger your life. response:	Damn it.
context: You like to watch vicious beasts torment weak creatures, don't you?\Don't misjudge me with your unfounded imaginings, Al...\But yes, I do love that.\Why don't you admit that you have reached your limit?\I'm sure you have now realized, to a painful extent,\just what the knights that you insulted, and made light of, really are!\I believe continuing would endanger your life.\Damn it. response:	I'll break...
context: Don't misjudge me with your unfounded imaginings, Al...\But yes, I do love that.\Why don't you admit that you have reached your limit?\I'm sure you have now realized, to a painful extent,\just what the knights that you insulted, and made light of, really are!\I believe continuing would endanger your life.\Damn it.\I'll break... response:	that nose of yours.
context: But yes, I do love that.\Why don't you admit that you have reached your limit?\I'm sure you have now realized, to a painful extent,\just what the knights that you insulted, and made light of, really are!\I believe continuing would endanger your life.\Damn it.\I'll break...\that nose of yours. response:	I'll crush you.
context: Why don't you admit that you have reached your limit?\I'm sure you have now realized, to a painful extent,\just what the knights that you insulted, and made light of, really are!\I believe continuing would endanger your life.\Damn it.\I'll break...\that nose of yours.\I'll crush you. response:	Subaru!
context: I'm sure you have now realized, to a painful extent,\just what the knights that you insulted, and made light of, really are!\I believe continuing would endanger your life.\Damn it.\I'll break...\that nose of yours.\I'll crush you.\Subaru! response:	Don't, Subaru!
context: just what the knights that you insulted, and made light of, really are!\I believe continuing would endanger your life.\Damn it.\I'll break...\that nose of yours.\I'll crush you.\Subaru!\Don't, Subaru! response:	Shamac!
context: I believe continuing would endanger your life.\Damn it.\I'll break...\that nose of yours.\I'll crush you.\Subaru!\Don't, Subaru!\Shamac! response:	This was the ace up your sleeve?
context: Damn it.\I'll break...\that nose of yours.\I'll crush you.\Subaru!\Don't, Subaru!\Shamac!\This was the ace up your sleeve? response:	Your skill level is far too low.
context: I'll break...\that nose of yours.\I'll crush you.\Subaru!\Don't, Subaru!\Shamac!\This was the ace up your sleeve?\Your skill level is far too low. response:	Such low-level magic
context: that nose of yours.\I'll crush you.\Subaru!\Don't, Subaru!\Shamac!\This was the ace up your sleeve?\Your skill level is far too low.\Such low-level magic response:	will only work on unintelligent beasts!
context: I'll crush you.\Subaru!\Don't, Subaru!\Shamac!\This was the ace up your sleeve?\Your skill level is far too low.\Such low-level magic\will only work on unintelligent beasts! response:	You are irredeemably powerless.
context: Subaru!\Don't, Subaru!\Shamac!\This was the ace up your sleeve?\Your skill level is far too low.\Such low-level magic\will only work on unintelligent beasts!\You are irredeemably powerless. response:	You are not worthy to stand at her side.
context: Don't, Subaru!\Shamac!\This was the ace up your sleeve?\Your skill level is far too low.\Such low-level magic\will only work on unintelligent beasts!\You are irredeemably powerless.\You are not worthy to stand at her side. response:	Subaru!
context: Shamac!\This was the ace up your sleeve?\Your skill level is far too low.\Such low-level magic\will only work on unintelligent beasts!\You are irredeemably powerless.\You are not worthy to stand at her side.\Subaru! response:	So I didn't die...
context: This was the ace up your sleeve?\Your skill level is far too low.\Such low-level magic\will only work on unintelligent beasts!\You are irredeemably powerless.\You are not worthy to stand at her side.\Subaru!\So I didn't die... response:	Subaru.
context: Your skill level is far too low.\Such low-level magic\will only work on unintelligent beasts!\You are irredeemably powerless.\You are not worthy to stand at her side.\Subaru!\So I didn't die...\Subaru. response:	That talk with the royal candidates...
context: Such low-level magic\will only work on unintelligent beasts!\You are irredeemably powerless.\You are not worthy to stand at her side.\Subaru!\So I didn't die...\Subaru.\That talk with the royal candidates... response:	Subaru.
context: will only work on unintelligent beasts!\You are irredeemably powerless.\You are not worthy to stand at her side.\Subaru!\So I didn't die...\Subaru.\That talk with the royal candidates...\Subaru. response:	I see.
context: You are irredeemably powerless.\You are not worthy to stand at her side.\Subaru!\So I didn't die...\Subaru.\That talk with the royal candidates...\Subaru.\I see. response:	Then let's head straight back.
context: You are not worthy to stand at her side.\Subaru!\So I didn't die...\Subaru.\That talk with the royal candidates...\Subaru.\I see.\Then let's head straight back. response:	We need to work out a plan for the selec
context: Subaru!\So I didn't die...\Subaru.\That talk with the royal candidates...\Subaru.\I see.\Then let's head straight back.\We need to work out a plan for the selec response:	Subaru.
context: So I didn't die...\Subaru.\That talk with the royal candidates...\Subaru.\I see.\Then let's head straight back.\We need to work out a plan for the selec\Subaru. response:	Let's talk, okay?
context: Subaru.\That talk with the royal candidates...\Subaru.\I see.\Then let's head straight back.\We need to work out a plan for the selec\Subaru.\Let's talk, okay? response:	I have some things I want to ask you.
context: That talk with the royal candidates...\Subaru.\I see.\Then let's head straight back.\We need to work out a plan for the selec\Subaru.\Let's talk, okay?\I have some things I want to ask you. response:	A lot of things.
context: Subaru.\I see.\Then let's head straight back.\We need to work out a plan for the selec\Subaru.\Let's talk, okay?\I have some things I want to ask you.\A lot of things. response:	Yeah, I guess you do...
context: I see.\Then let's head straight back.\We need to work out a plan for the selec\Subaru.\Let's talk, okay?\I have some things I want to ask you.\A lot of things.\Yeah, I guess you do... response:	Why did you end up, well, fighting Julius?
context: Then let's head straight back.\We need to work out a plan for the selec\Subaru.\Let's talk, okay?\I have some things I want to ask you.\A lot of things.\Yeah, I guess you do...\Why did you end up, well, fighting Julius? response:	There must have been a reason, right?
context: We need to work out a plan for the selec\Subaru.\Let's talk, okay?\I have some things I want to ask you.\A lot of things.\Yeah, I guess you do...\Why did you end up, well, fighting Julius?\There must have been a reason, right? response:	Knowing you, it must've been important
context: Subaru.\Let's talk, okay?\I have some things I want to ask you.\A lot of things.\Yeah, I guess you do...\Why did you end up, well, fighting Julius?\There must have been a reason, right?\Knowing you, it must've been important response:	I wanted to get him back!
context: Let's talk, okay?\I have some things I want to ask you.\A lot of things.\Yeah, I guess you do...\Why did you end up, well, fighting Julius?\There must have been a reason, right?\Knowing you, it must've been important\I wanted to get him back! response:	Huh?
context: I have some things I want to ask you.\A lot of things.\Yeah, I guess you do...\Why did you end up, well, fighting Julius?\There must have been a reason, right?\Knowing you, it must've been important\I wanted to get him back!\Huh? response:	I was being stubborn.
context: A lot of things.\Yeah, I guess you do...\Why did you end up, well, fighting Julius?\There must have been a reason, right?\Knowing you, it must've been important\I wanted to get him back!\Huh?\I was being stubborn. response:	He said I was pathetic, powerless, and unworthy of you.
context: Yeah, I guess you do...\Why did you end up, well, fighting Julius?\There must have been a reason, right?\Knowing you, it must've been important\I wanted to get him back!\Huh?\I was being stubborn.\He said I was pathetic, powerless, and unworthy of you. response:	He was trying to distance me from you, and I hated it.
context: Why did you end up, well, fighting Julius?\There must have been a reason, right?\Knowing you, it must've been important\I wanted to get him back!\Huh?\I was being stubborn.\He said I was pathetic, powerless, and unworthy of you.\He was trying to distance me from you, and I hated it. response:	That's why I fought him.
context: There must have been a reason, right?\Knowing you, it must've been important\I wanted to get him back!\Huh?\I was being stubborn.\He said I was pathetic, powerless, and unworthy of you.\He was trying to distance me from you, and I hated it.\That's why I fought him. response:	Just for that?
context: Knowing you, it must've been important\I wanted to get him back!\Huh?\I was being stubborn.\He said I was pathetic, powerless, and unworthy of you.\He was trying to distance me from you, and I hated it.\That's why I fought him.\Just for that? response:	Emilia-tan...
context: I wanted to get him back!\Huh?\I was being stubborn.\He said I was pathetic, powerless, and unworthy of you.\He was trying to distance me from you, and I hated it.\That's why I fought him.\Just for that?\Emilia-tan... response:	Emilia, you wouldn't understand.
context: Huh?\I was being stubborn.\He said I was pathetic, powerless, and unworthy of you.\He was trying to distance me from you, and I hated it.\That's why I fought him.\Just for that?\Emilia-tan...\Emilia, you wouldn't understand. response:	I see.
context: I was being stubborn.\He said I was pathetic, powerless, and unworthy of you.\He was trying to distance me from you, and I hated it.\That's why I fought him.\Just for that?\Emilia-tan...\Emilia, you wouldn't understand.\I see. response:	Roswaal and I will return to the mansion tomorrow.
context: He said I was pathetic, powerless, and unworthy of you.\He was trying to distance me from you, and I hated it.\That's why I fought him.\Just for that?\Emilia-tan...\Emilia, you wouldn't understand.\I see.\Roswaal and I will return to the mansion tomorrow. response:	You will stay in the capital to recover.
context: He was trying to distance me from you, and I hated it.\That's why I fought him.\Just for that?\Emilia-tan...\Emilia, you wouldn't understand.\I see.\Roswaal and I will return to the mansion tomorrow.\You will stay in the capital to recover. response:	Wait a minute.
context: That's why I fought him.\Just for that?\Emilia-tan...\Emilia, you wouldn't understand.\I see.\Roswaal and I will return to the mansion tomorrow.\You will stay in the capital to recover.\Wait a minute. response:	Huh?
context: Just for that?\Emilia-tan...\Emilia, you wouldn't understand.\I see.\Roswaal and I will return to the mansion tomorrow.\You will stay in the capital to recover.\Wait a minute.\Huh? response:	Wasn't that our agreement?
context: Emilia-tan...\Emilia, you wouldn't understand.\I see.\Roswaal and I will return to the mansion tomorrow.\You will stay in the capital to recover.\Wait a minute.\Huh?\Wasn't that our agreement? response:	But wait a
context: Emilia, you wouldn't understand.\I see.\Roswaal and I will return to the mansion tomorrow.\You will stay in the capital to recover.\Wait a minute.\Huh?\Wasn't that our agreement?\But wait a response:	You came to the capital so Felis could heal your exhausted gate.
context: I see.\Roswaal and I will return to the mansion tomorrow.\You will stay in the capital to recover.\Wait a minute.\Huh?\Wasn't that our agreement?\But wait a\You came to the capital so Felis could heal your exhausted gate. response:	No, wait a minute!
