context: - You may be dismissed. - Yes. response:	Fourth Brother?
context: It's because of you and Lord Dong Hua\that I was able to return earlier to Deity Duty.\I should thank the little princess instead.\Don't bother.\If there's nothing else, I should get going.\Oh no...\I forgot to ask her to greet my mentor for me.\You returned after sensing the divine energy? response:	Yes, Senior! We spotted the divine energy!
context: that I was able to return earlier to Deity Duty.\I should thank the little princess instead.\Don't bother.\If there's nothing else, I should get going.\Oh no...\I forgot to ask her to greet my mentor for me.\You returned after sensing the divine energy?\Yes, Senior! We spotted the divine energy! response:	Good!
context: I should thank the little princess instead.\Don't bother.\If there's nothing else, I should get going.\Oh no...\I forgot to ask her to greet my mentor for me.\You returned after sensing the divine energy?\Yes, Senior! We spotted the divine energy!\Good! response:	Good! Are you all well?
context: Don't bother.\If there's nothing else, I should get going.\Oh no...\I forgot to ask her to greet my mentor for me.\You returned after sensing the divine energy?\Yes, Senior! We spotted the divine energy!\Good!\Good! Are you all well? response:	- Yes! Yes, we're all well. - We're all well.
context: If there's nothing else, I should get going.\Oh no...\I forgot to ask her to greet my mentor for me.\You returned after sensing the divine energy?\Yes, Senior! We spotted the divine energy!\Good!\Good! Are you all well?\- Yes! Yes, we're all well. - We're all well. response:	Where is Zi Lan?
context: Oh no...\I forgot to ask her to greet my mentor for me.\You returned after sensing the divine energy?\Yes, Senior! We spotted the divine energy!\Good!\Good! Are you all well?\- Yes! Yes, we're all well. - We're all well.\Where is Zi Lan? response:	When the Ghost Lord said that he saw Si Yin
context: I forgot to ask her to greet my mentor for me.\You returned after sensing the divine energy?\Yes, Senior! We spotted the divine energy!\Good!\Good! Are you all well?\- Yes! Yes, we're all well. - We're all well.\Where is Zi Lan?\When the Ghost Lord said that he saw Si Yin response:	he left the mountain.
context: You returned after sensing the divine energy?\Yes, Senior! We spotted the divine energy!\Good!\Good! Are you all well?\- Yes! Yes, we're all well. - We're all well.\Where is Zi Lan?\When the Ghost Lord said that he saw Si Yin\he left the mountain. response:	Speaking of which, it has already been days.
context: Yes, Senior! We spotted the divine energy!\Good!\Good! Are you all well?\- Yes! Yes, we're all well. - We're all well.\Where is Zi Lan?\When the Ghost Lord said that he saw Si Yin\he left the mountain.\Speaking of which, it has already been days. response:	I wonder where he is right now.
context: Good!\Good! Are you all well?\- Yes! Yes, we're all well. - We're all well.\Where is Zi Lan?\When the Ghost Lord said that he saw Si Yin\he left the mountain.\Speaking of which, it has already been days.\I wonder where he is right now. response:	Back in the day
context: Good! Are you all well?\- Yes! Yes, we're all well. - We're all well.\Where is Zi Lan?\When the Ghost Lord said that he saw Si Yin\he left the mountain.\Speaking of which, it has already been days.\I wonder where he is right now.\Back in the day response:	he used to quibble the most with Seventeenth.
context: - Yes! Yes, we're all well. - We're all well.\Where is Zi Lan?\When the Ghost Lord said that he saw Si Yin\he left the mountain.\Speaking of which, it has already been days.\I wonder where he is right now.\Back in the day\he used to quibble the most with Seventeenth. response:	Certainly, he would miss Seventeenth the most.
context: Where is Zi Lan?\When the Ghost Lord said that he saw Si Yin\he left the mountain.\Speaking of which, it has already been days.\I wonder where he is right now.\Back in the day\he used to quibble the most with Seventeenth.\Certainly, he would miss Seventeenth the most. response:	- Exactly... - Exactly.
context: When the Ghost Lord said that he saw Si Yin\he left the mountain.\Speaking of which, it has already been days.\I wonder where he is right now.\Back in the day\he used to quibble the most with Seventeenth.\Certainly, he would miss Seventeenth the most.\- Exactly... - Exactly. response:	70,000 years ago
context: he left the mountain.\Speaking of which, it has already been days.\I wonder where he is right now.\Back in the day\he used to quibble the most with Seventeenth.\Certainly, he would miss Seventeenth the most.\- Exactly... - Exactly.\70,000 years ago response:	Master sacrificed his spirit to seal up the Bell of the East Emperor.
context: Speaking of which, it has already been days.\I wonder where he is right now.\Back in the day\he used to quibble the most with Seventeenth.\Certainly, he would miss Seventeenth the most.\- Exactly... - Exactly.\70,000 years ago\Master sacrificed his spirit to seal up the Bell of the East Emperor. response:	Ling Yu was killed at Ruoshui Riverbank.
context: I wonder where he is right now.\Back in the day\he used to quibble the most with Seventeenth.\Certainly, he would miss Seventeenth the most.\- Exactly... - Exactly.\70,000 years ago\Master sacrificed his spirit to seal up the Bell of the East Emperor.\Ling Yu was killed at Ruoshui Riverbank. response:	Then Seventeenth disappeared with Master's body.
context: Back in the day\he used to quibble the most with Seventeenth.\Certainly, he would miss Seventeenth the most.\- Exactly... - Exactly.\70,000 years ago\Master sacrificed his spirit to seal up the Bell of the East Emperor.\Ling Yu was killed at Ruoshui Riverbank.\Then Seventeenth disappeared with Master's body. response:	Now that the divine energy in Kunlun Mountain has soared
context: he used to quibble the most with Seventeenth.\Certainly, he would miss Seventeenth the most.\- Exactly... - Exactly.\70,000 years ago\Master sacrificed his spirit to seal up the Bell of the East Emperor.\Ling Yu was killed at Ruoshui Riverbank.\Then Seventeenth disappeared with Master's body.\Now that the divine energy in Kunlun Mountain has soared response:	and the bells are chiming
context: Certainly, he would miss Seventeenth the most.\- Exactly... - Exactly.\70,000 years ago\Master sacrificed his spirit to seal up the Bell of the East Emperor.\Ling Yu was killed at Ruoshui Riverbank.\Then Seventeenth disappeared with Master's body.\Now that the divine energy in Kunlun Mountain has soared\and the bells are chiming response:	all the disciples have rushed back to Kunlun Mountain.
context: - Exactly... - Exactly.\70,000 years ago\Master sacrificed his spirit to seal up the Bell of the East Emperor.\Ling Yu was killed at Ruoshui Riverbank.\Then Seventeenth disappeared with Master's body.\Now that the divine energy in Kunlun Mountain has soared\and the bells are chiming\all the disciples have rushed back to Kunlun Mountain. response:	Although we don't know when Master will return
context: 70,000 years ago\Master sacrificed his spirit to seal up the Bell of the East Emperor.\Ling Yu was killed at Ruoshui Riverbank.\Then Seventeenth disappeared with Master's body.\Now that the divine energy in Kunlun Mountain has soared\and the bells are chiming\all the disciples have rushed back to Kunlun Mountain.\Although we don't know when Master will return response:	he is a man of his word.
context: Master sacrificed his spirit to seal up the Bell of the East Emperor.\Ling Yu was killed at Ruoshui Riverbank.\Then Seventeenth disappeared with Master's body.\Now that the divine energy in Kunlun Mountain has soared\and the bells are chiming\all the disciples have rushed back to Kunlun Mountain.\Although we don't know when Master will return\he is a man of his word. response:	I believe that he will surely restore Kunlun Mountain to glory!
context: Ling Yu was killed at Ruoshui Riverbank.\Then Seventeenth disappeared with Master's body.\Now that the divine energy in Kunlun Mountain has soared\and the bells are chiming\all the disciples have rushed back to Kunlun Mountain.\Although we don't know when Master will return\he is a man of his word.\I believe that he will surely restore Kunlun Mountain to glory! response:	Master, your disciples have returned!
context: Then Seventeenth disappeared with Master's body.\Now that the divine energy in Kunlun Mountain has soared\and the bells are chiming\all the disciples have rushed back to Kunlun Mountain.\Although we don't know when Master will return\he is a man of his word.\I believe that he will surely restore Kunlun Mountain to glory!\Master, your disciples have returned! response:	Master! Your disciples have returned!
context: Now that the divine energy in Kunlun Mountain has soared\and the bells are chiming\all the disciples have rushed back to Kunlun Mountain.\Although we don't know when Master will return\he is a man of his word.\I believe that he will surely restore Kunlun Mountain to glory!\Master, your disciples have returned!\Master! Your disciples have returned! response:	When Riceball got drunk yesterday
context: and the bells are chiming\all the disciples have rushed back to Kunlun Mountain.\Although we don't know when Master will return\he is a man of his word.\I believe that he will surely restore Kunlun Mountain to glory!\Master, your disciples have returned!\Master! Your disciples have returned!\When Riceball got drunk yesterday response:	Nai Nai said that the little prince inherited
context: all the disciples have rushed back to Kunlun Mountain.\Although we don't know when Master will return\he is a man of his word.\I believe that he will surely restore Kunlun Mountain to glory!\Master, your disciples have returned!\Master! Your disciples have returned!\When Riceball got drunk yesterday\Nai Nai said that the little prince inherited response:	his father's poor capacity for wine.
context: Although we don't know when Master will return\he is a man of his word.\I believe that he will surely restore Kunlun Mountain to glory!\Master, your disciples have returned!\Master! Your disciples have returned!\When Riceball got drunk yesterday\Nai Nai said that the little prince inherited\his father's poor capacity for wine. response:	One, two, three, four, five. Five urns of wine?
context: he is a man of his word.\I believe that he will surely restore Kunlun Mountain to glory!\Master, your disciples have returned!\Master! Your disciples have returned!\When Riceball got drunk yesterday\Nai Nai said that the little prince inherited\his father's poor capacity for wine.\One, two, three, four, five. Five urns of wine? response:	He's not that bad at drinking.
context: I believe that he will surely restore Kunlun Mountain to glory!\Master, your disciples have returned!\Master! Your disciples have returned!\When Riceball got drunk yesterday\Nai Nai said that the little prince inherited\his father's poor capacity for wine.\One, two, three, four, five. Five urns of wine?\He's not that bad at drinking. response:	You're here for the Soul-gathering Lamp?
context: Master, your disciples have returned!\Master! Your disciples have returned!\When Riceball got drunk yesterday\Nai Nai said that the little prince inherited\his father's poor capacity for wine.\One, two, three, four, five. Five urns of wine?\He's not that bad at drinking.\You're here for the Soul-gathering Lamp? response:	Come with me.
context: Master! Your disciples have returned!\When Riceball got drunk yesterday\Nai Nai said that the little prince inherited\his father's poor capacity for wine.\One, two, three, four, five. Five urns of wine?\He's not that bad at drinking.\You're here for the Soul-gathering Lamp?\Come with me. response:	The lamp is here.
context: When Riceball got drunk yesterday\Nai Nai said that the little prince inherited\his father's poor capacity for wine.\One, two, three, four, five. Five urns of wine?\He's not that bad at drinking.\You're here for the Soul-gathering Lamp?\Come with me.\The lamp is here. response:	Put this at Die Yong's bedside for three days.
context: Nai Nai said that the little prince inherited\his father's poor capacity for wine.\One, two, three, four, five. Five urns of wine?\He's not that bad at drinking.\You're here for the Soul-gathering Lamp?\Come with me.\The lamp is here.\Put this at Die Yong's bedside for three days. response:	Mo Yuan's soul will gather there.
context: his father's poor capacity for wine.\One, two, three, four, five. Five urns of wine?\He's not that bad at drinking.\You're here for the Soul-gathering Lamp?\Come with me.\The lamp is here.\Put this at Die Yong's bedside for three days.\Mo Yuan's soul will gather there. response:	You must remember that throughout those three days
context: One, two, three, four, five. Five urns of wine?\He's not that bad at drinking.\You're here for the Soul-gathering Lamp?\Come with me.\The lamp is here.\Put this at Die Yong's bedside for three days.\Mo Yuan's soul will gather there.\You must remember that throughout those three days response:	the light must not go out.
context: He's not that bad at drinking.\You're here for the Soul-gathering Lamp?\Come with me.\The lamp is here.\Put this at Die Yong's bedside for three days.\Mo Yuan's soul will gather there.\You must remember that throughout those three days\the light must not go out. response:	You can't use your powers to protect it either.
context: You're here for the Soul-gathering Lamp?\Come with me.\The lamp is here.\Put this at Die Yong's bedside for three days.\Mo Yuan's soul will gather there.\You must remember that throughout those three days\the light must not go out.\You can't use your powers to protect it either. response:	You have to keep it lit by yourself.
context: Come with me.\The lamp is here.\Put this at Die Yong's bedside for three days.\Mo Yuan's soul will gather there.\You must remember that throughout those three days\the light must not go out.\You can't use your powers to protect it either.\You have to keep it lit by yourself. response:	I know. I'll be very cautious.
context: The lamp is here.\Put this at Die Yong's bedside for three days.\Mo Yuan's soul will gather there.\You must remember that throughout those three days\the light must not go out.\You can't use your powers to protect it either.\You have to keep it lit by yourself.\I know. I'll be very cautious. response:	I worry for nothing.
context: Put this at Die Yong's bedside for three days.\Mo Yuan's soul will gather there.\You must remember that throughout those three days\the light must not go out.\You can't use your powers to protect it either.\You have to keep it lit by yourself.\I know. I'll be very cautious.\I worry for nothing. response:	You'll certainly take good care of Mo Yuan dutifully.
context: Mo Yuan's soul will gather there.\You must remember that throughout those three days\the light must not go out.\You can't use your powers to protect it either.\You have to keep it lit by yourself.\I know. I'll be very cautious.\I worry for nothing.\You'll certainly take good care of Mo Yuan dutifully. response:	Don't die...
context: You must remember that throughout those three days\the light must not go out.\You can't use your powers to protect it either.\You have to keep it lit by yourself.\I know. I'll be very cautious.\I worry for nothing.\You'll certainly take good care of Mo Yuan dutifully.\Don't die... response:	There's an aura of mortals on this lamp.
context: the light must not go out.\You can't use your powers to protect it either.\You have to keep it lit by yourself.\I know. I'll be very cautious.\I worry for nothing.\You'll certainly take good care of Mo Yuan dutifully.\Don't die...\There's an aura of mortals on this lamp. response:	This is...
context: You can't use your powers to protect it either.\You have to keep it lit by yourself.\I know. I'll be very cautious.\I worry for nothing.\You'll certainly take good care of Mo Yuan dutifully.\Don't die...\There's an aura of mortals on this lamp.\This is... response:	I've used this lamp once.
context: You have to keep it lit by yourself.\I know. I'll be very cautious.\I worry for nothing.\You'll certainly take good care of Mo Yuan dutifully.\Don't die...\There's an aura of mortals on this lamp.\This is...\I've used this lamp once. response:	I remember that Nai Nai told me
context: I know. I'll be very cautious.\I worry for nothing.\You'll certainly take good care of Mo Yuan dutifully.\Don't die...\There's an aura of mortals on this lamp.\This is...\I've used this lamp once.\I remember that Nai Nai told me response:	you once tried to use this Soul-gathering Lamp
context: I worry for nothing.\You'll certainly take good care of Mo Yuan dutifully.\Don't die...\There's an aura of mortals on this lamp.\This is...\I've used this lamp once.\I remember that Nai Nai told me\you once tried to use this Soul-gathering Lamp response:	to put together the body of Riceball's mother.
context: You'll certainly take good care of Mo Yuan dutifully.\Don't die...\There's an aura of mortals on this lamp.\This is...\I've used this lamp once.\I remember that Nai Nai told me\you once tried to use this Soul-gathering Lamp\to put together the body of Riceball's mother. response:	I'll take this lamp then.
context: Don't die...\There's an aura of mortals on this lamp.\This is...\I've used this lamp once.\I remember that Nai Nai told me\you once tried to use this Soul-gathering Lamp\to put together the body of Riceball's mother.\I'll take this lamp then. response:	I know that this lamp is a sacred artifact of the Celestial Tribe.
context: There's an aura of mortals on this lamp.\This is...\I've used this lamp once.\I remember that Nai Nai told me\you once tried to use this Soul-gathering Lamp\to put together the body of Riceball's mother.\I'll take this lamp then.\I know that this lamp is a sacred artifact of the Celestial Tribe. response:	Is it inappropriate for you to give it to me so easily?
context: This is...\I've used this lamp once.\I remember that Nai Nai told me\you once tried to use this Soul-gathering Lamp\to put together the body of Riceball's mother.\I'll take this lamp then.\I know that this lamp is a sacred artifact of the Celestial Tribe.\Is it inappropriate for you to give it to me so easily? response:	Before I came to borrow this lamp
context: I've used this lamp once.\I remember that Nai Nai told me\you once tried to use this Soul-gathering Lamp\to put together the body of Riceball's mother.\I'll take this lamp then.\I know that this lamp is a sacred artifact of the Celestial Tribe.\Is it inappropriate for you to give it to me so easily?\Before I came to borrow this lamp response:	I thought that borrowing this lamp would make up for
context: I remember that Nai Nai told me\you once tried to use this Soul-gathering Lamp\to put together the body of Riceball's mother.\I'll take this lamp then.\I know that this lamp is a sacred artifact of the Celestial Tribe.\Is it inappropriate for you to give it to me so easily?\Before I came to borrow this lamp\I thought that borrowing this lamp would make up for response:	whatever Qing Qiu and the Celestial Tribe owe one another.
context: you once tried to use this Soul-gathering Lamp\to put together the body of Riceball's mother.\I'll take this lamp then.\I know that this lamp is a sacred artifact of the Celestial Tribe.\Is it inappropriate for you to give it to me so easily?\Before I came to borrow this lamp\I thought that borrowing this lamp would make up for\whatever Qing Qiu and the Celestial Tribe owe one another. response:	But now that you've given it to me so easily...
context: to put together the body of Riceball's mother.\I'll take this lamp then.\I know that this lamp is a sacred artifact of the Celestial Tribe.\Is it inappropriate for you to give it to me so easily?\Before I came to borrow this lamp\I thought that borrowing this lamp would make up for\whatever Qing Qiu and the Celestial Tribe owe one another.\But now that you've given it to me so easily... response:	You've helped me so much.
context: I'll take this lamp then.\I know that this lamp is a sacred artifact of the Celestial Tribe.\Is it inappropriate for you to give it to me so easily?\Before I came to borrow this lamp\I thought that borrowing this lamp would make up for\whatever Qing Qiu and the Celestial Tribe owe one another.\But now that you've given it to me so easily...\You've helped me so much. response:	I should repay your kindness.
context: I know that this lamp is a sacred artifact of the Celestial Tribe.\Is it inappropriate for you to give it to me so easily?\Before I came to borrow this lamp\I thought that borrowing this lamp would make up for\whatever Qing Qiu and the Celestial Tribe owe one another.\But now that you've given it to me so easily...\You've helped me so much.\I should repay your kindness. response:	What is it you need?
context: Is it inappropriate for you to give it to me so easily?\Before I came to borrow this lamp\I thought that borrowing this lamp would make up for\whatever Qing Qiu and the Celestial Tribe owe one another.\But now that you've given it to me so easily...\You've helped me so much.\I should repay your kindness.\What is it you need? response:	Tell me. I'll do my best to help you.
context: Before I came to borrow this lamp\I thought that borrowing this lamp would make up for\whatever Qing Qiu and the Celestial Tribe owe one another.\But now that you've given it to me so easily...\You've helped me so much.\I should repay your kindness.\What is it you need?\Tell me. I'll do my best to help you. response:	There's nothing I want.
context: I thought that borrowing this lamp would make up for\whatever Qing Qiu and the Celestial Tribe owe one another.\But now that you've given it to me so easily...\You've helped me so much.\I should repay your kindness.\What is it you need?\Tell me. I'll do my best to help you.\There's nothing I want. response:	There really isn't anything you want?
context: whatever Qing Qiu and the Celestial Tribe owe one another.\But now that you've given it to me so easily...\You've helped me so much.\I should repay your kindness.\What is it you need?\Tell me. I'll do my best to help you.\There's nothing I want.\There really isn't anything you want? response:	Then... I'll head back now.
context: But now that you've given it to me so easily...\You've helped me so much.\I should repay your kindness.\What is it you need?\Tell me. I'll do my best to help you.\There's nothing I want.\There really isn't anything you want?\Then... I'll head back now. response:	All I ever wanted...
context: You've helped me so much.\I should repay your kindness.\What is it you need?\Tell me. I'll do my best to help you.\There's nothing I want.\There really isn't anything you want?\Then... I'll head back now.\All I ever wanted... response:	All I want has always been just you.
context: I should repay your kindness.\What is it you need?\Tell me. I'll do my best to help you.\There's nothing I want.\There really isn't anything you want?\Then... I'll head back now.\All I ever wanted...\All I want has always been just you. response:	You want... me?
context: What is it you need?\Tell me. I'll do my best to help you.\There's nothing I want.\There really isn't anything you want?\Then... I'll head back now.\All I ever wanted...\All I want has always been just you.\You want... me? response:	Forget that I ever said it then.
context: Tell me. I'll do my best to help you.\There's nothing I want.\There really isn't anything you want?\Then... I'll head back now.\All I ever wanted...\All I want has always been just you.\You want... me?\Forget that I ever said it then. response:	I should head back now.
context: There's nothing I want.\There really isn't anything you want?\Then... I'll head back now.\All I ever wanted...\All I want has always been just you.\You want... me?\Forget that I ever said it then.\I should head back now. response:	Ye Hua...
context: There really isn't anything you want?\Then... I'll head back now.\All I ever wanted...\All I want has always been just you.\You want... me?\Forget that I ever said it then.\I should head back now.\Ye Hua... response:	You...
context: Then... I'll head back now.\All I ever wanted...\All I want has always been just you.\You want... me?\Forget that I ever said it then.\I should head back now.\Ye Hua...\You... response:	You...
context: All I ever wanted...\All I want has always been just you.\You want... me?\Forget that I ever said it then.\I should head back now.\Ye Hua...\You...\You... response:	What I think in the day is reflected at night in my thoughts?
context: All I want has always been just you.\You want... me?\Forget that I ever said it then.\I should head back now.\Ye Hua...\You...\You...\What I think in the day is reflected at night in my thoughts? response:	Do I already think of Ye Hua... in such a lustful way?
context: You want... me?\Forget that I ever said it then.\I should head back now.\Ye Hua...\You...\You...\What I think in the day is reflected at night in my thoughts?\Do I already think of Ye Hua... in such a lustful way? response:	Where... Where are my clothes?
context: Forget that I ever said it then.\I should head back now.\Ye Hua...\You...\You...\What I think in the day is reflected at night in my thoughts?\Do I already think of Ye Hua... in such a lustful way?\Where... Where are my clothes? response:	I find them troublesome, so I took our clothes off with magic.
context: I should head back now.\Ye Hua...\You...\You...\What I think in the day is reflected at night in my thoughts?\Do I already think of Ye Hua... in such a lustful way?\Where... Where are my clothes?\I find them troublesome, so I took our clothes off with magic. response:	You... You...
context: Ye Hua...\You...\You...\What I think in the day is reflected at night in my thoughts?\Do I already think of Ye Hua... in such a lustful way?\Where... Where are my clothes?\I find them troublesome, so I took our clothes off with magic.\You... You... response:	You want to be with me?
context: You...\You...\What I think in the day is reflected at night in my thoughts?\Do I already think of Ye Hua... in such a lustful way?\Where... Where are my clothes?\I find them troublesome, so I took our clothes off with magic.\You... You...\You want to be with me? response:	I want to be with you.
context: You...\What I think in the day is reflected at night in my thoughts?\Do I already think of Ye Hua... in such a lustful way?\Where... Where are my clothes?\I find them troublesome, so I took our clothes off with magic.\You... You...\You want to be with me?\I want to be with you. response:	This might be the last time I can have you all to myself.
context: What I think in the day is reflected at night in my thoughts?\Do I already think of Ye Hua... in such a lustful way?\Where... Where are my clothes?\I find them troublesome, so I took our clothes off with magic.\You... You...\You want to be with me?\I want to be with you.\This might be the last time I can have you all to myself. response:	Even if you might only have Mo Yuan on your mind.
context: Do I already think of Ye Hua... in such a lustful way?\Where... Where are my clothes?\I find them troublesome, so I took our clothes off with magic.\You... You...\You want to be with me?\I want to be with you.\This might be the last time I can have you all to myself.\Even if you might only have Mo Yuan on your mind. response:	You're not asleep yet?
context: Where... Where are my clothes?\I find them troublesome, so I took our clothes off with magic.\You... You...\You want to be with me?\I want to be with you.\This might be the last time I can have you all to myself.\Even if you might only have Mo Yuan on your mind.\You're not asleep yet? response:	I've often heard of your valiance from my fourth brother.
context: I find them troublesome, so I took our clothes off with magic.\You... You...\You want to be with me?\I want to be with you.\This might be the last time I can have you all to myself.\Even if you might only have Mo Yuan on your mind.\You're not asleep yet?\I've often heard of your valiance from my fourth brother. response:	He said that any battle you are engaged in
context: You... You...\You want to be with me?\I want to be with you.\This might be the last time I can have you all to myself.\Even if you might only have Mo Yuan on your mind.\You're not asleep yet?\I've often heard of your valiance from my fourth brother.\He said that any battle you are engaged in response:	no one has been able to defeat you.
context: You want to be with me?\I want to be with you.\This might be the last time I can have you all to myself.\Even if you might only have Mo Yuan on your mind.\You're not asleep yet?\I've often heard of your valiance from my fourth brother.\He said that any battle you are engaged in\no one has been able to defeat you. response:	How did you almost get your spirit vanquished
context: I want to be with you.\This might be the last time I can have you all to myself.\Even if you might only have Mo Yuan on your mind.\You're not asleep yet?\I've often heard of your valiance from my fourth brother.\He said that any battle you are engaged in\no one has been able to defeat you.\How did you almost get your spirit vanquished response:	in that war with the Mermaid Clan?
context: This might be the last time I can have you all to myself.\Even if you might only have Mo Yuan on your mind.\You're not asleep yet?\I've often heard of your valiance from my fourth brother.\He said that any battle you are engaged in\no one has been able to defeat you.\How did you almost get your spirit vanquished\in that war with the Mermaid Clan? response:	If I hadn't purposely let them win, how could a mere mermaid hurt me?
context: Even if you might only have Mo Yuan on your mind.\You're not asleep yet?\I've often heard of your valiance from my fourth brother.\He said that any battle you are engaged in\no one has been able to defeat you.\How did you almost get your spirit vanquished\in that war with the Mermaid Clan?\If I hadn't purposely let them win, how could a mere mermaid hurt me? response:	Why would you do that?
context: You're not asleep yet?\I've often heard of your valiance from my fourth brother.\He said that any battle you are engaged in\no one has been able to defeat you.\How did you almost get your spirit vanquished\in that war with the Mermaid Clan?\If I hadn't purposely let them win, how could a mere mermaid hurt me?\Why would you do that? response:	All my life, I've never envied anyone.
context: I've often heard of your valiance from my fourth brother.\He said that any battle you are engaged in\no one has been able to defeat you.\How did you almost get your spirit vanquished\in that war with the Mermaid Clan?\If I hadn't purposely let them win, how could a mere mermaid hurt me?\Why would you do that?\All my life, I've never envied anyone. response:	Apart from my Uncle Sang Ji.
context: He said that any battle you are engaged in\no one has been able to defeat you.\How did you almost get your spirit vanquished\in that war with the Mermaid Clan?\If I hadn't purposely let them win, how could a mere mermaid hurt me?\Why would you do that?\All my life, I've never envied anyone.\Apart from my Uncle Sang Ji. response:	Have you heard that he eloped with Shao Xing?
context: no one has been able to defeat you.\How did you almost get your spirit vanquished\in that war with the Mermaid Clan?\If I hadn't purposely let them win, how could a mere mermaid hurt me?\Why would you do that?\All my life, I've never envied anyone.\Apart from my Uncle Sang Ji.\Have you heard that he eloped with Shao Xing? response:	He and Shao Xing?
context: How did you almost get your spirit vanquished\in that war with the Mermaid Clan?\If I hadn't purposely let them win, how could a mere mermaid hurt me?\Why would you do that?\All my life, I've never envied anyone.\Apart from my Uncle Sang Ji.\Have you heard that he eloped with Shao Xing?\He and Shao Xing? response:	Have you forgotten?
context: in that war with the Mermaid Clan?\If I hadn't purposely let them win, how could a mere mermaid hurt me?\Why would you do that?\All my life, I've never envied anyone.\Apart from my Uncle Sang Ji.\Have you heard that he eloped with Shao Xing?\He and Shao Xing?\Have you forgotten? response:	I was involved in that.
context: If I hadn't purposely let them win, how could a mere mermaid hurt me?\Why would you do that?\All my life, I've never envied anyone.\Apart from my Uncle Sang Ji.\Have you heard that he eloped with Shao Xing?\He and Shao Xing?\Have you forgotten?\I was involved in that. response:	My uncle sought love and found it.
context: Why would you do that?\All my life, I've never envied anyone.\Apart from my Uncle Sang Ji.\Have you heard that he eloped with Shao Xing?\He and Shao Xing?\Have you forgotten?\I was involved in that.\My uncle sought love and found it. response:	It might have been a tough journey, but it ended well.
context: All my life, I've never envied anyone.\Apart from my Uncle Sang Ji.\Have you heard that he eloped with Shao Xing?\He and Shao Xing?\Have you forgotten?\I was involved in that.\My uncle sought love and found it.\It might have been a tough journey, but it ended well. response:	The Heavenly Lord might dote on him but he never made him the Crown Prince.
context: Apart from my Uncle Sang Ji.\Have you heard that he eloped with Shao Xing?\He and Shao Xing?\Have you forgotten?\I was involved in that.\My uncle sought love and found it.\It might have been a tough journey, but it ended well.\The Heavenly Lord might dote on him but he never made him the Crown Prince. response:	Without such a title, it was easy for him to get away.
context: Have you heard that he eloped with Shao Xing?\He and Shao Xing?\Have you forgotten?\I was involved in that.\My uncle sought love and found it.\It might have been a tough journey, but it ended well.\The Heavenly Lord might dote on him but he never made him the Crown Prince.\Without such a title, it was easy for him to get away. response:	What about you?
context: He and Shao Xing?\Have you forgotten?\I was involved in that.\My uncle sought love and found it.\It might have been a tough journey, but it ended well.\The Heavenly Lord might dote on him but he never made him the Crown Prince.\Without such a title, it was easy for him to get away.\What about you? response:	Me?
context: Have you forgotten?\I was involved in that.\My uncle sought love and found it.\It might have been a tough journey, but it ended well.\The Heavenly Lord might dote on him but he never made him the Crown Prince.\Without such a title, it was easy for him to get away.\What about you?\Me? response:	Although I'm the Crown Prince
context: I was involved in that.\My uncle sought love and found it.\It might have been a tough journey, but it ended well.\The Heavenly Lord might dote on him but he never made him the Crown Prince.\Without such a title, it was easy for him to get away.\What about you?\Me?\Although I'm the Crown Prince response:	it's fortunate that the woman I love is Qing Qiu's High God Bai Qian.
context: My uncle sought love and found it.\It might have been a tough journey, but it ended well.\The Heavenly Lord might dote on him but he never made him the Crown Prince.\Without such a title, it was easy for him to get away.\What about you?\Me?\Although I'm the Crown Prince\it's fortunate that the woman I love is Qing Qiu's High God Bai Qian. response:	Qian Qian...
context: It might have been a tough journey, but it ended well.\The Heavenly Lord might dote on him but he never made him the Crown Prince.\Without such a title, it was easy for him to get away.\What about you?\Me?\Although I'm the Crown Prince\it's fortunate that the woman I love is Qing Qiu's High God Bai Qian.\Qian Qian... response:	Yes?
context: The Heavenly Lord might dote on him but he never made him the Crown Prince.\Without such a title, it was easy for him to get away.\What about you?\Me?\Although I'm the Crown Prince\it's fortunate that the woman I love is Qing Qiu's High God Bai Qian.\Qian Qian...\Yes? response:	If one day, someone took your eyes...
context: Without such a title, it was easy for him to get away.\What about you?\Me?\Although I'm the Crown Prince\it's fortunate that the woman I love is Qing Qiu's High God Bai Qian.\Qian Qian...\Yes?\If one day, someone took your eyes... response:	Would you forgive him?
context: What about you?\Me?\Although I'm the Crown Prince\it's fortunate that the woman I love is Qing Qiu's High God Bai Qian.\Qian Qian...\Yes?\If one day, someone took your eyes...\Would you forgive him? response:	Who would dare take my eyes?
context: Me?\Although I'm the Crown Prince\it's fortunate that the woman I love is Qing Qiu's High God Bai Qian.\Qian Qian...\Yes?\If one day, someone took your eyes...\Would you forgive him?\Who would dare take my eyes? response:	What if that man is me?
context: Although I'm the Crown Prince\it's fortunate that the woman I love is Qing Qiu's High God Bai Qian.\Qian Qian...\Yes?\If one day, someone took your eyes...\Would you forgive him?\Who would dare take my eyes?\What if that man is me? response:	You?
context: it's fortunate that the woman I love is Qing Qiu's High God Bai Qian.\Qian Qian...\Yes?\If one day, someone took your eyes...\Would you forgive him?\Who would dare take my eyes?\What if that man is me?\You? response:	If you really take my eyes, it'll be over between us.
