context: He said he found a master he could serve. response:	That's why he was leaving the village.
context: For someone else...\I've never heard you speak so much before.\Y-Yukimura-sama!\So, what are you going to do?\Are you going to rise up from where you are,\or will you turn away and live as a toothless dog?\Who do you think I am?!\Cut the shit! response:	You heard him, Isanami.
context: I've never heard you speak so much before.\Y-Yukimura-sama!\So, what are you going to do?\Are you going to rise up from where you are,\or will you turn away and live as a toothless dog?\Who do you think I am?!\Cut the shit!\You heard him, Isanami. response:	Huh?
context: Y-Yukimura-sama!\So, what are you going to do?\Are you going to rise up from where you are,\or will you turn away and live as a toothless dog?\Who do you think I am?!\Cut the shit!\You heard him, Isanami.\Huh? response:	Sai...
context: So, what are you going to do?\Are you going to rise up from where you are,\or will you turn away and live as a toothless dog?\Who do you think I am?!\Cut the shit!\You heard him, Isanami.\Huh?\Sai... response:	Saizo!
context: Are you going to rise up from where you are,\or will you turn away and live as a toothless dog?\Who do you think I am?!\Cut the shit!\You heard him, Isanami.\Huh?\Sai...\Saizo! response:	Bastard...
context: or will you turn away and live as a toothless dog?\Who do you think I am?!\Cut the shit!\You heard him, Isanami.\Huh?\Sai...\Saizo!\Bastard... response:	Saizo.
context: Who do you think I am?!\Cut the shit!\You heard him, Isanami.\Huh?\Sai...\Saizo!\Bastard...\Saizo. response:	Yeah.
context: Cut the shit!\You heard him, Isanami.\Huh?\Sai...\Saizo!\Bastard...\Saizo.\Yeah. response:	All right.
context: You heard him, Isanami.\Huh?\Sai...\Saizo!\Bastard...\Saizo.\Yeah.\All right. response:	Where are you going?
context: Huh?\Sai...\Saizo!\Bastard...\Saizo.\Yeah.\All right.\Where are you going? response:	I know what you're thinking.
context: Sai...\Saizo!\Bastard...\Saizo.\Yeah.\All right.\Where are you going?\I know what you're thinking. response:	Then you know how I feel!
context: Saizo!\Bastard...\Saizo.\Yeah.\All right.\Where are you going?\I know what you're thinking.\Then you know how I feel! response:	He's an admirable man to steal the treasure back from me.
context: Bastard...\Saizo.\Yeah.\All right.\Where are you going?\I know what you're thinking.\Then you know how I feel!\He's an admirable man to steal the treasure back from me. response:	It's him. It must be him!
context: Saizo.\Yeah.\All right.\Where are you going?\I know what you're thinking.\Then you know how I feel!\He's an admirable man to steal the treasure back from me.\It's him. It must be him! response:	He's the only one who can go toe to toe with me!
context: Yeah.\All right.\Where are you going?\I know what you're thinking.\Then you know how I feel!\He's an admirable man to steal the treasure back from me.\It's him. It must be him!\He's the only one who can go toe to toe with me! response:	I'll have to pay you a visit...
context: All right.\Where are you going?\I know what you're thinking.\Then you know how I feel!\He's an admirable man to steal the treasure back from me.\It's him. It must be him!\He's the only one who can go toe to toe with me!\I'll have to pay you a visit... response:	Sanada Yukimura!
context: Where are you going?\I know what you're thinking.\Then you know how I feel!\He's an admirable man to steal the treasure back from me.\It's him. It must be him!\He's the only one who can go toe to toe with me!\I'll have to pay you a visit...\Sanada Yukimura! response:	Let's hear your report.
context: I know what you're thinking.\Then you know how I feel!\He's an admirable man to steal the treasure back from me.\It's him. It must be him!\He's the only one who can go toe to toe with me!\I'll have to pay you a visit...\Sanada Yukimura!\Let's hear your report. response:	There was something carved into the rock,
context: Then you know how I feel!\He's an admirable man to steal the treasure back from me.\It's him. It must be him!\He's the only one who can go toe to toe with me!\I'll have to pay you a visit...\Sanada Yukimura!\Let's hear your report.\There was something carved into the rock, response:	but it was too dark to see very clearly.
context: He's an admirable man to steal the treasure back from me.\It's him. It must be him!\He's the only one who can go toe to toe with me!\I'll have to pay you a visit...\Sanada Yukimura!\Let's hear your report.\There was something carved into the rock,\but it was too dark to see very clearly. response:	And we only saw it.
context: It's him. It must be him!\He's the only one who can go toe to toe with me!\I'll have to pay you a visit...\Sanada Yukimura!\Let's hear your report.\There was something carved into the rock,\but it was too dark to see very clearly.\And we only saw it. response:	We couldn't read it, and we don't remember what it looked like.
context: He's the only one who can go toe to toe with me!\I'll have to pay you a visit...\Sanada Yukimura!\Let's hear your report.\There was something carved into the rock,\but it was too dark to see very clearly.\And we only saw it.\We couldn't read it, and we don't remember what it looked like. response:	I could not understand it at all.
context: I'll have to pay you a visit...\Sanada Yukimura!\Let's hear your report.\There was something carved into the rock,\but it was too dark to see very clearly.\And we only saw it.\We couldn't read it, and we don't remember what it looked like.\I could not understand it at all. response:	That's not a problem. Rokuro.
context: Sanada Yukimura!\Let's hear your report.\There was something carved into the rock,\but it was too dark to see very clearly.\And we only saw it.\We couldn't read it, and we don't remember what it looked like.\I could not understand it at all.\That's not a problem. Rokuro. response:	Yes, sir.
context: Let's hear your report.\There was something carved into the rock,\but it was too dark to see very clearly.\And we only saw it.\We couldn't read it, and we don't remember what it looked like.\I could not understand it at all.\That's not a problem. Rokuro.\Yes, sir. response:	Why's he so close?
context: There was something carved into the rock,\but it was too dark to see very clearly.\And we only saw it.\We couldn't read it, and we don't remember what it looked like.\I could not understand it at all.\That's not a problem. Rokuro.\Yes, sir.\Why's he so close? response:	Just wait.
context: but it was too dark to see very clearly.\And we only saw it.\We couldn't read it, and we don't remember what it looked like.\I could not understand it at all.\That's not a problem. Rokuro.\Yes, sir.\Why's he so close?\Just wait. response:	What?
context: And we only saw it.\We couldn't read it, and we don't remember what it looked like.\I could not understand it at all.\That's not a problem. Rokuro.\Yes, sir.\Why's he so close?\Just wait.\What? response:	Your eye...
context: We couldn't read it, and we don't remember what it looked like.\I could not understand it at all.\That's not a problem. Rokuro.\Yes, sir.\Why's he so close?\Just wait.\What?\Your eye... response:	Hush.
context: I could not understand it at all.\That's not a problem. Rokuro.\Yes, sir.\Why's he so close?\Just wait.\What?\Your eye...\Hush. response:	He's got tons of letters inside his eye.
context: That's not a problem. Rokuro.\Yes, sir.\Why's he so close?\Just wait.\What?\Your eye...\Hush.\He's got tons of letters inside his eye. response:	What are you doing, Saizo?
context: Yes, sir.\Why's he so close?\Just wait.\What?\Your eye...\Hush.\He's got tons of letters inside his eye.\What are you doing, Saizo? response:	How should I know?
context: Why's he so close?\Just wait.\What?\Your eye...\Hush.\He's got tons of letters inside his eye.\What are you doing, Saizo?\How should I know? response:	Let's see.
context: Just wait.\What?\Your eye...\Hush.\He's got tons of letters inside his eye.\What are you doing, Saizo?\How should I know?\Let's see. response:	What is it?
context: What?\Your eye...\Hush.\He's got tons of letters inside his eye.\What are you doing, Saizo?\How should I know?\Let's see.\What is it? response:	What'd it say, Yukimura-sama?
context: Your eye...\Hush.\He's got tons of letters inside his eye.\What are you doing, Saizo?\How should I know?\Let's see.\What is it?\What'd it say, Yukimura-sama? response:	Old man?
context: Hush.\He's got tons of letters inside his eye.\What are you doing, Saizo?\How should I know?\Let's see.\What is it?\What'd it say, Yukimura-sama?\Old man? response:	You cannot pass. Good work.
context: He's got tons of letters inside his eye.\What are you doing, Saizo?\How should I know?\Let's see.\What is it?\What'd it say, Yukimura-sama?\Old man?\You cannot pass. Good work. response:	What?
context: What are you doing, Saizo?\How should I know?\Let's see.\What is it?\What'd it say, Yukimura-sama?\Old man?\You cannot pass. Good work.\What? response:	You've gotta be kidding.
context: How should I know?\Let's see.\What is it?\What'd it say, Yukimura-sama?\Old man?\You cannot pass. Good work.\What?\You've gotta be kidding. response:	That's what it said.
context: Let's see.\What is it?\What'd it say, Yukimura-sama?\Old man?\You cannot pass. Good work.\What?\You've gotta be kidding.\That's what it said. response:	You've done your job, now get out of here.
context: What is it?\What'd it say, Yukimura-sama?\Old man?\You cannot pass. Good work.\What?\You've gotta be kidding.\That's what it said.\You've done your job, now get out of here. response:	Very well.
context: What'd it say, Yukimura-sama?\Old man?\You cannot pass. Good work.\What?\You've gotta be kidding.\That's what it said.\You've done your job, now get out of here.\Very well. response:	Let's go, everyone.
context: Old man?\You cannot pass. Good work.\What?\You've gotta be kidding.\That's what it said.\You've done your job, now get out of here.\Very well.\Let's go, everyone. response:	Fine.
context: You cannot pass. Good work.\What?\You've gotta be kidding.\That's what it said.\You've done your job, now get out of here.\Very well.\Let's go, everyone.\Fine. response:	Hey, what did that guy do to you?
context: What?\You've gotta be kidding.\That's what it said.\You've done your job, now get out of here.\Very well.\Let's go, everyone.\Fine.\Hey, what did that guy do to you? response:	You talk too much.
context: You've gotta be kidding.\That's what it said.\You've done your job, now get out of here.\Very well.\Let's go, everyone.\Fine.\Hey, what did that guy do to you?\You talk too much. response:	What did you say?
context: That's what it said.\You've done your job, now get out of here.\Very well.\Let's go, everyone.\Fine.\Hey, what did that guy do to you?\You talk too much.\What did you say? response:	You wouldn't have made it back here if I hadn't caught that snake for you.
context: You've done your job, now get out of here.\Very well.\Let's go, everyone.\Fine.\Hey, what did that guy do to you?\You talk too much.\What did you say?\You wouldn't have made it back here if I hadn't caught that snake for you. response:	What? Saizo, you ate a snake?
context: Very well.\Let's go, everyone.\Fine.\Hey, what did that guy do to you?\You talk too much.\What did you say?\You wouldn't have made it back here if I hadn't caught that snake for you.\What? Saizo, you ate a snake? response:	What an ironic fate.
context: Let's go, everyone.\Fine.\Hey, what did that guy do to you?\You talk too much.\What did you say?\You wouldn't have made it back here if I hadn't caught that snake for you.\What? Saizo, you ate a snake?\What an ironic fate. response:	Sir.
context: Fine.\Hey, what did that guy do to you?\You talk too much.\What did you say?\You wouldn't have made it back here if I hadn't caught that snake for you.\What? Saizo, you ate a snake?\What an ironic fate.\Sir. response:	Don't say it, Rokuro.
context: Hey, what did that guy do to you?\You talk too much.\What did you say?\You wouldn't have made it back here if I hadn't caught that snake for you.\What? Saizo, you ate a snake?\What an ironic fate.\Sir.\Don't say it, Rokuro. response:	I've already taken this on.
context: You talk too much.\What did you say?\You wouldn't have made it back here if I hadn't caught that snake for you.\What? Saizo, you ate a snake?\What an ironic fate.\Sir.\Don't say it, Rokuro.\I've already taken this on. response:	I'm not throwing it out.
context: What did you say?\You wouldn't have made it back here if I hadn't caught that snake for you.\What? Saizo, you ate a snake?\What an ironic fate.\Sir.\Don't say it, Rokuro.\I've already taken this on.\I'm not throwing it out. response:	You and I are the only ones who know.
context: You wouldn't have made it back here if I hadn't caught that snake for you.\What? Saizo, you ate a snake?\What an ironic fate.\Sir.\Don't say it, Rokuro.\I've already taken this on.\I'm not throwing it out.\You and I are the only ones who know. response:	Don't let anyone touch that right eye of yours.
context: What? Saizo, you ate a snake?\What an ironic fate.\Sir.\Don't say it, Rokuro.\I've already taken this on.\I'm not throwing it out.\You and I are the only ones who know.\Don't let anyone touch that right eye of yours. response:	Yes, sir.
context: What an ironic fate.\Sir.\Don't say it, Rokuro.\I've already taken this on.\I'm not throwing it out.\You and I are the only ones who know.\Don't let anyone touch that right eye of yours.\Yes, sir. response:	However, if this is true, it's far too dangerous.
context: Sir.\Don't say it, Rokuro.\I've already taken this on.\I'm not throwing it out.\You and I are the only ones who know.\Don't let anyone touch that right eye of yours.\Yes, sir.\However, if this is true, it's far too dangerous. response:	I know.
context: Don't say it, Rokuro.\I've already taken this on.\I'm not throwing it out.\You and I are the only ones who know.\Don't let anyone touch that right eye of yours.\Yes, sir.\However, if this is true, it's far too dangerous.\I know. response:	Isanami came to my lands, along with Saizo.
context: I've already taken this on.\I'm not throwing it out.\You and I are the only ones who know.\Don't let anyone touch that right eye of yours.\Yes, sir.\However, if this is true, it's far too dangerous.\I know.\Isanami came to my lands, along with Saizo. response:	Then there's us...
context: I'm not throwing it out.\You and I are the only ones who know.\Don't let anyone touch that right eye of yours.\Yes, sir.\However, if this is true, it's far too dangerous.\I know.\Isanami came to my lands, along with Saizo.\Then there's us... response:	Whether I'm following or fighting fate,
context: You and I are the only ones who know.\Don't let anyone touch that right eye of yours.\Yes, sir.\However, if this is true, it's far too dangerous.\I know.\Isanami came to my lands, along with Saizo.\Then there's us...\Whether I'm following or fighting fate, response:	I'm placing my faith in Saizo.
context: Don't let anyone touch that right eye of yours.\Yes, sir.\However, if this is true, it's far too dangerous.\I know.\Isanami came to my lands, along with Saizo.\Then there's us...\Whether I'm following or fighting fate,\I'm placing my faith in Saizo. response:	Hey, Koga monkey!
context: Yes, sir.\However, if this is true, it's far too dangerous.\I know.\Isanami came to my lands, along with Saizo.\Then there's us...\Whether I'm following or fighting fate,\I'm placing my faith in Saizo.\Hey, Koga monkey! response:	You'll pay for what you did today.
context: However, if this is true, it's far too dangerous.\I know.\Isanami came to my lands, along with Saizo.\Then there's us...\Whether I'm following or fighting fate,\I'm placing my faith in Saizo.\Hey, Koga monkey!\You'll pay for what you did today. response:	Where are you going, Master?
context: I know.\Isanami came to my lands, along with Saizo.\Then there's us...\Whether I'm following or fighting fate,\I'm placing my faith in Saizo.\Hey, Koga monkey!\You'll pay for what you did today.\Where are you going, Master? response:	Ueda.
context: Isanami came to my lands, along with Saizo.\Then there's us...\Whether I'm following or fighting fate,\I'm placing my faith in Saizo.\Hey, Koga monkey!\You'll pay for what you did today.\Where are you going, Master?\Ueda. response:	Are you going to see Sanada Yukimura?
context: Then there's us...\Whether I'm following or fighting fate,\I'm placing my faith in Saizo.\Hey, Koga monkey!\You'll pay for what you did today.\Where are you going, Master?\Ueda.\Are you going to see Sanada Yukimura? response:	He managed to steal the treasure from me.
context: Whether I'm following or fighting fate,\I'm placing my faith in Saizo.\Hey, Koga monkey!\You'll pay for what you did today.\Where are you going, Master?\Ueda.\Are you going to see Sanada Yukimura?\He managed to steal the treasure from me. response:	I want to see his face!
context: I'm placing my faith in Saizo.\Hey, Koga monkey!\You'll pay for what you did today.\Where are you going, Master?\Ueda.\Are you going to see Sanada Yukimura?\He managed to steal the treasure from me.\I want to see his face! response:	You must not go.
context: Hey, Koga monkey!\You'll pay for what you did today.\Where are you going, Master?\Ueda.\Are you going to see Sanada Yukimura?\He managed to steal the treasure from me.\I want to see his face!\You must not go. response:	Now is an important time for you.
context: You'll pay for what you did today.\Where are you going, Master?\Ueda.\Are you going to see Sanada Yukimura?\He managed to steal the treasure from me.\I want to see his face!\You must not go.\Now is an important time for you. response:	You cannot afford to waste time on such minor lords.
context: Where are you going, Master?\Ueda.\Are you going to see Sanada Yukimura?\He managed to steal the treasure from me.\I want to see his face!\You must not go.\Now is an important time for you.\You cannot afford to waste time on such minor lords. response:	What's this?
context: Ueda.\Are you going to see Sanada Yukimura?\He managed to steal the treasure from me.\I want to see his face!\You must not go.\Now is an important time for you.\You cannot afford to waste time on such minor lords.\What's this? response:	It seems the ladies are gossiping about me again.
context: Are you going to see Sanada Yukimura?\He managed to steal the treasure from me.\I want to see his face!\You must not go.\Now is an important time for you.\You cannot afford to waste time on such minor lords.\What's this?\It seems the ladies are gossiping about me again. response:	You're blissfully ignorant, aren't you?
context: He managed to steal the treasure from me.\I want to see his face!\You must not go.\Now is an important time for you.\You cannot afford to waste time on such minor lords.\What's this?\It seems the ladies are gossiping about me again.\You're blissfully ignorant, aren't you? response:	The next episode of Brave 10 is Much Ado About Nothing.
context: I want to see his face!\You must not go.\Now is an important time for you.\You cannot afford to waste time on such minor lords.\What's this?\It seems the ladies are gossiping about me again.\You're blissfully ignorant, aren't you?\The next episode of Brave 10 is Much Ado About Nothing. response:	Much Ado About Nothing
context: You must not go.\Now is an important time for you.\You cannot afford to waste time on such minor lords.\What's this?\It seems the ladies are gossiping about me again.\You're blissfully ignorant, aren't you?\The next episode of Brave 10 is Much Ado About Nothing.\Much Ado About Nothing response:	Bring it on!
