context: Hey. response:	Good morning, Haru.
context: Wh-What is it?\Yeah...\Gotta love fishing in the mountains.\Oh, so Mi-chan-san and Haru-kun are cousins.\That's right.\His dad is my mom's older brother.\Since my place is close to the high school,\I'm looking after him starting this year. response:	Oh, thanks.
context: Yeah...\Gotta love fishing in the mountains.\Oh, so Mi-chan-san and Haru-kun are cousins.\That's right.\His dad is my mom's older brother.\Since my place is close to the high school,\I'm looking after him starting this year.\Oh, thanks. response:	Oh, really...
context: Gotta love fishing in the mountains.\Oh, so Mi-chan-san and Haru-kun are cousins.\That's right.\His dad is my mom's older brother.\Since my place is close to the high school,\I'm looking after him starting this year.\Oh, thanks.\Oh, really... response:	Did you know that, Mitty?
context: Oh, so Mi-chan-san and Haru-kun are cousins.\That's right.\His dad is my mom's older brother.\Since my place is close to the high school,\I'm looking after him starting this year.\Oh, thanks.\Oh, really...\Did you know that, Mitty? response:	No, I had no idea.
context: That's right.\His dad is my mom's older brother.\Since my place is close to the high school,\I'm looking after him starting this year.\Oh, thanks.\Oh, really...\Did you know that, Mitty?\No, I had no idea. response:	I thought you were brothers.
context: His dad is my mom's older brother.\Since my place is close to the high school,\I'm looking after him starting this year.\Oh, thanks.\Oh, really...\Did you know that, Mitty?\No, I had no idea.\I thought you were brothers. response:	Nope, but he has an older brother.
context: Since my place is close to the high school,\I'm looking after him starting this year.\Oh, thanks.\Oh, really...\Did you know that, Mitty?\No, I had no idea.\I thought you were brothers.\Nope, but he has an older brother. response:	That brother of his is
context: I'm looking after him starting this year.\Oh, thanks.\Oh, really...\Did you know that, Mitty?\No, I had no idea.\I thought you were brothers.\Nope, but he has an older brother.\That brother of his is response:	Mi-chan.
context: Oh, thanks.\Oh, really...\Did you know that, Mitty?\No, I had no idea.\I thought you were brothers.\Nope, but he has an older brother.\That brother of his is\Mi-chan. response:	You're talking too much.
context: Oh, really...\Did you know that, Mitty?\No, I had no idea.\I thought you were brothers.\Nope, but he has an older brother.\That brother of his is\Mi-chan.\You're talking too much. response:	Haru.
context: Did you know that, Mitty?\No, I had no idea.\I thought you were brothers.\Nope, but he has an older brother.\That brother of his is\Mi-chan.\You're talking too much.\Haru. response:	Haru.
context: No, I had no idea.\I thought you were brothers.\Nope, but he has an older brother.\That brother of his is\Mi-chan.\You're talking too much.\Haru.\Haru. response:	Look, we're back.
context: I thought you were brothers.\Nope, but he has an older brother.\That brother of his is\Mi-chan.\You're talking too much.\Haru.\Haru.\Look, we're back. response:	Help us unload everything.
context: Nope, but he has an older brother.\That brother of his is\Mi-chan.\You're talking too much.\Haru.\Haru.\Look, we're back.\Help us unload everything. response:	I woke up Haru!
context: That brother of his is\Mi-chan.\You're talking too much.\Haru.\Haru.\Look, we're back.\Help us unload everything.\I woke up Haru! response:	He was sound asleep.
context: Mi-chan.\You're talking too much.\Haru.\Haru.\Look, we're back.\Help us unload everything.\I woke up Haru!\He was sound asleep. response:	Shizuku.
context: You're talking too much.\Haru.\Haru.\Look, we're back.\Help us unload everything.\I woke up Haru!\He was sound asleep.\Shizuku. response:	We had a lot of fun today.
context: Haru.\Haru.\Look, we're back.\Help us unload everything.\I woke up Haru!\He was sound asleep.\Shizuku.\We had a lot of fun today. response:	Yup.
context: Haru.\Look, we're back.\Help us unload everything.\I woke up Haru!\He was sound asleep.\Shizuku.\We had a lot of fun today.\Yup. response:	Okay, let me divvy up our haul,
context: Look, we're back.\Help us unload everything.\I woke up Haru!\He was sound asleep.\Shizuku.\We had a lot of fun today.\Yup.\Okay, let me divvy up our haul, response:	so why don't you wait inside?
context: Help us unload everything.\I woke up Haru!\He was sound asleep.\Shizuku.\We had a lot of fun today.\Yup.\Okay, let me divvy up our haul,\so why don't you wait inside? response:	Okay.
context: I woke up Haru!\He was sound asleep.\Shizuku.\We had a lot of fun today.\Yup.\Okay, let me divvy up our haul,\so why don't you wait inside?\Okay. response:	Oh, I just started a online community...
context: He was sound asleep.\Shizuku.\We had a lot of fun today.\Yup.\Okay, let me divvy up our haul,\so why don't you wait inside?\Okay.\Oh, I just started a online community... response:	That hurts.
context: Shizuku.\We had a lot of fun today.\Yup.\Okay, let me divvy up our haul,\so why don't you wait inside?\Okay.\Oh, I just started a online community...\That hurts. response:	Running away the second he sees my face?
context: We had a lot of fun today.\Yup.\Okay, let me divvy up our haul,\so why don't you wait inside?\Okay.\Oh, I just started a online community...\That hurts.\Running away the second he sees my face? response:	He overreacts to everything.
context: Yup.\Okay, let me divvy up our haul,\so why don't you wait inside?\Okay.\Oh, I just started a online community...\That hurts.\Running away the second he sees my face?\He overreacts to everything. response:	Sa-Sasayan-kun!
context: Okay, let me divvy up our haul,\so why don't you wait inside?\Okay.\Oh, I just started a online community...\That hurts.\Running away the second he sees my face?\He overreacts to everything.\Sa-Sasayan-kun! response:	It's that guy!
context: so why don't you wait inside?\Okay.\Oh, I just started a online community...\That hurts.\Running away the second he sees my face?\He overreacts to everything.\Sa-Sasayan-kun!\It's that guy! response:	The one who took money from Mi-chan-san!
context: Okay.\Oh, I just started a online community...\That hurts.\Running away the second he sees my face?\He overreacts to everything.\Sa-Sasayan-kun!\It's that guy!\The one who took money from Mi-chan-san! response:	Huh?
context: Oh, I just started a online community...\That hurts.\Running away the second he sees my face?\He overreacts to everything.\Sa-Sasayan-kun!\It's that guy!\The one who took money from Mi-chan-san!\Huh? response:	Hey!
context: That hurts.\Running away the second he sees my face?\He overreacts to everything.\Sa-Sasayan-kun!\It's that guy!\The one who took money from Mi-chan-san!\Huh?\Hey! response:	Haru just came flying out the door...
context: Running away the second he sees my face?\He overreacts to everything.\Sa-Sasayan-kun!\It's that guy!\The one who took money from Mi-chan-san!\Huh?\Hey!\Haru just came flying out the door... response:	Oh...
context: He overreacts to everything.\Sa-Sasayan-kun!\It's that guy!\The one who took money from Mi-chan-san!\Huh?\Hey!\Haru just came flying out the door...\Oh... response:	Hey, Mitsuyoshi.
context: Sa-Sasayan-kun!\It's that guy!\The one who took money from Mi-chan-san!\Huh?\Hey!\Haru just came flying out the door...\Oh...\Hey, Mitsuyoshi. response:	They seem to think that I was extorting money from you.
context: It's that guy!\The one who took money from Mi-chan-san!\Huh?\Hey!\Haru just came flying out the door...\Oh...\Hey, Mitsuyoshi.\They seem to think that I was extorting money from you. response:	Haru-kun's big brother?!
context: The one who took money from Mi-chan-san!\Huh?\Hey!\Haru just came flying out the door...\Oh...\Hey, Mitsuyoshi.\They seem to think that I was extorting money from you.\Haru-kun's big brother?! response:	I'm Yoshida Yuzan.
context: Huh?\Hey!\Haru just came flying out the door...\Oh...\Hey, Mitsuyoshi.\They seem to think that I was extorting money from you.\Haru-kun's big brother?!\I'm Yoshida Yuzan. response:	Thanks for putting up with Haru.
context: Hey!\Haru just came flying out the door...\Oh...\Hey, Mitsuyoshi.\They seem to think that I was extorting money from you.\Haru-kun's big brother?!\I'm Yoshida Yuzan.\Thanks for putting up with Haru. response:	Yeah, this is the brother I was talking about.
context: Haru just came flying out the door...\Oh...\Hey, Mitsuyoshi.\They seem to think that I was extorting money from you.\Haru-kun's big brother?!\I'm Yoshida Yuzan.\Thanks for putting up with Haru.\Yeah, this is the brother I was talking about. response:	I was returning money that I borrowed.
context: Oh...\Hey, Mitsuyoshi.\They seem to think that I was extorting money from you.\Haru-kun's big brother?!\I'm Yoshida Yuzan.\Thanks for putting up with Haru.\Yeah, this is the brother I was talking about.\I was returning money that I borrowed. response:	What? You cut the watermelon?
context: Hey, Mitsuyoshi.\They seem to think that I was extorting money from you.\Haru-kun's big brother?!\I'm Yoshida Yuzan.\Thanks for putting up with Haru.\Yeah, this is the brother I was talking about.\I was returning money that I borrowed.\What? You cut the watermelon? response:	I wanted to smash it open.
context: They seem to think that I was extorting money from you.\Haru-kun's big brother?!\I'm Yoshida Yuzan.\Thanks for putting up with Haru.\Yeah, this is the brother I was talking about.\I was returning money that I borrowed.\What? You cut the watermelon?\I wanted to smash it open. response:	No.
context: Haru-kun's big brother?!\I'm Yoshida Yuzan.\Thanks for putting up with Haru.\Yeah, this is the brother I was talking about.\I was returning money that I borrowed.\What? You cut the watermelon?\I wanted to smash it open.\No. response:	Anyway, when did Haru make all these friends?
context: I'm Yoshida Yuzan.\Thanks for putting up with Haru.\Yeah, this is the brother I was talking about.\I was returning money that I borrowed.\What? You cut the watermelon?\I wanted to smash it open.\No.\Anyway, when did Haru make all these friends? response:	So tell me.
context: Thanks for putting up with Haru.\Yeah, this is the brother I was talking about.\I was returning money that I borrowed.\What? You cut the watermelon?\I wanted to smash it open.\No.\Anyway, when did Haru make all these friends?\So tell me. response:	Is he doing okay?
context: Yeah, this is the brother I was talking about.\I was returning money that I borrowed.\What? You cut the watermelon?\I wanted to smash it open.\No.\Anyway, when did Haru make all these friends?\So tell me.\Is he doing okay? response:	You bet.
context: I was returning money that I borrowed.\What? You cut the watermelon?\I wanted to smash it open.\No.\Anyway, when did Haru make all these friends?\So tell me.\Is he doing okay?\You bet. response:	He started going to class because of Mizutani-san.
context: What? You cut the watermelon?\I wanted to smash it open.\No.\Anyway, when did Haru make all these friends?\So tell me.\Is he doing okay?\You bet.\He started going to class because of Mizutani-san. response:	I wouldn't say it's because of me.
context: I wanted to smash it open.\No.\Anyway, when did Haru make all these friends?\So tell me.\Is he doing okay?\You bet.\He started going to class because of Mizutani-san.\I wouldn't say it's because of me. response:	Oh... Because of you?
context: No.\Anyway, when did Haru make all these friends?\So tell me.\Is he doing okay?\You bet.\He started going to class because of Mizutani-san.\I wouldn't say it's because of me.\Oh... Because of you? response:	I see.
context: Anyway, when did Haru make all these friends?\So tell me.\Is he doing okay?\You bet.\He started going to class because of Mizutani-san.\I wouldn't say it's because of me.\Oh... Because of you?\I see. response:	He can be an idiot, but don't give up on him.
context: So tell me.\Is he doing okay?\You bet.\He started going to class because of Mizutani-san.\I wouldn't say it's because of me.\Oh... Because of you?\I see.\He can be an idiot, but don't give up on him. response:	I was wondering... Why did Haru-kun run away?
context: Is he doing okay?\You bet.\He started going to class because of Mizutani-san.\I wouldn't say it's because of me.\Oh... Because of you?\I see.\He can be an idiot, but don't give up on him.\I was wondering... Why did Haru-kun run away? response:	Oh, you mean earlier?
context: You bet.\He started going to class because of Mizutani-san.\I wouldn't say it's because of me.\Oh... Because of you?\I see.\He can be an idiot, but don't give up on him.\I was wondering... Why did Haru-kun run away?\Oh, you mean earlier? response:	It happens all the time.
context: He started going to class because of Mizutani-san.\I wouldn't say it's because of me.\Oh... Because of you?\I see.\He can be an idiot, but don't give up on him.\I was wondering... Why did Haru-kun run away?\Oh, you mean earlier?\It happens all the time. response:	He's got a serious brother complex.
context: I wouldn't say it's because of me.\Oh... Because of you?\I see.\He can be an idiot, but don't give up on him.\I was wondering... Why did Haru-kun run away?\Oh, you mean earlier?\It happens all the time.\He's got a serious brother complex. response:	Being Yoshida's big brother, I was wondering what he'd be like.
context: Oh... Because of you?\I see.\He can be an idiot, but don't give up on him.\I was wondering... Why did Haru-kun run away?\Oh, you mean earlier?\It happens all the time.\He's got a serious brother complex.\Being Yoshida's big brother, I was wondering what he'd be like. response:	But he seemed like a nice enough guy.
context: I see.\He can be an idiot, but don't give up on him.\I was wondering... Why did Haru-kun run away?\Oh, you mean earlier?\It happens all the time.\He's got a serious brother complex.\Being Yoshida's big brother, I was wondering what he'd be like.\But he seemed like a nice enough guy. response:	I need to go shopping.
context: He can be an idiot, but don't give up on him.\I was wondering... Why did Haru-kun run away?\Oh, you mean earlier?\It happens all the time.\He's got a serious brother complex.\Being Yoshida's big brother, I was wondering what he'd be like.\But he seemed like a nice enough guy.\I need to go shopping. response:	Bye.
context: I was wondering... Why did Haru-kun run away?\Oh, you mean earlier?\It happens all the time.\He's got a serious brother complex.\Being Yoshida's big brother, I was wondering what he'd be like.\But he seemed like a nice enough guy.\I need to go shopping.\Bye. response:	See ya.
context: Oh, you mean earlier?\It happens all the time.\He's got a serious brother complex.\Being Yoshida's big brother, I was wondering what he'd be like.\But he seemed like a nice enough guy.\I need to go shopping.\Bye.\See ya. response:	Good night.
context: It happens all the time.\He's got a serious brother complex.\Being Yoshida's big brother, I was wondering what he'd be like.\But he seemed like a nice enough guy.\I need to go shopping.\Bye.\See ya.\Good night. response:	Shizuku-chan.
context: He's got a serious brother complex.\Being Yoshida's big brother, I was wondering what he'd be like.\But he seemed like a nice enough guy.\I need to go shopping.\Bye.\See ya.\Good night.\Shizuku-chan. response:	Bye-bye.
context: Being Yoshida's big brother, I was wondering what he'd be like.\But he seemed like a nice enough guy.\I need to go shopping.\Bye.\See ya.\Good night.\Shizuku-chan.\Bye-bye. response:	Keep an eye on Haru for me.
context: But he seemed like a nice enough guy.\I need to go shopping.\Bye.\See ya.\Good night.\Shizuku-chan.\Bye-bye.\Keep an eye on Haru for me. response:	Haru's big brother is a little weird.
context: I need to go shopping.\Bye.\See ya.\Good night.\Shizuku-chan.\Bye-bye.\Keep an eye on Haru for me.\Haru's big brother is a little weird. response:	Although, the little brother is weirder.
context: Bye.\See ya.\Good night.\Shizuku-chan.\Bye-bye.\Keep an eye on Haru for me.\Haru's big brother is a little weird.\Although, the little brother is weirder. response:	What took you so long?
context: See ya.\Good night.\Shizuku-chan.\Bye-bye.\Keep an eye on Haru for me.\Haru's big brother is a little weird.\Although, the little brother is weirder.\What took you so long? response:	Why are you always trying to give me a heart attack?
context: Good night.\Shizuku-chan.\Bye-bye.\Keep an eye on Haru for me.\Haru's big brother is a little weird.\Although, the little brother is weirder.\What took you so long?\Why are you always trying to give me a heart attack? response:	Did you do it?
context: Shizuku-chan.\Bye-bye.\Keep an eye on Haru for me.\Haru's big brother is a little weird.\Although, the little brother is weirder.\What took you so long?\Why are you always trying to give me a heart attack?\Did you do it? response:	Huh?
context: Bye-bye.\Keep an eye on Haru for me.\Haru's big brother is a little weird.\Although, the little brother is weirder.\What took you so long?\Why are you always trying to give me a heart attack?\Did you do it?\Huh? response:	Did you guys smash the watermelon together?!
context: Keep an eye on Haru for me.\Haru's big brother is a little weird.\Although, the little brother is weirder.\What took you so long?\Why are you always trying to give me a heart attack?\Did you do it?\Huh?\Did you guys smash the watermelon together?! response:	Was he sitting here this whole time worrying about that?
context: Haru's big brother is a little weird.\Although, the little brother is weirder.\What took you so long?\Why are you always trying to give me a heart attack?\Did you do it?\Huh?\Did you guys smash the watermelon together?!\Was he sitting here this whole time worrying about that? response:	We didn't.
context: Although, the little brother is weirder.\What took you so long?\Why are you always trying to give me a heart attack?\Did you do it?\Huh?\Did you guys smash the watermelon together?!\Was he sitting here this whole time worrying about that?\We didn't. response:	Oh.
context: What took you so long?\Why are you always trying to give me a heart attack?\Did you do it?\Huh?\Did you guys smash the watermelon together?!\Was he sitting here this whole time worrying about that?\We didn't.\Oh. response:	Let go. You're hurting me.
context: Why are you always trying to give me a heart attack?\Did you do it?\Huh?\Did you guys smash the watermelon together?!\Was he sitting here this whole time worrying about that?\We didn't.\Oh.\Let go. You're hurting me. response:	Y-Your big brother said that
context: Did you do it?\Huh?\Did you guys smash the watermelon together?!\Was he sitting here this whole time worrying about that?\We didn't.\Oh.\Let go. You're hurting me.\Y-Your big brother said that response:	you have a serious brother complex.
context: Huh?\Did you guys smash the watermelon together?!\Was he sitting here this whole time worrying about that?\We didn't.\Oh.\Let go. You're hurting me.\Y-Your big brother said that\you have a serious brother complex. response:	I don't!
context: Did you guys smash the watermelon together?!\Was he sitting here this whole time worrying about that?\We didn't.\Oh.\Let go. You're hurting me.\Y-Your big brother said that\you have a serious brother complex.\I don't! response:	Why did you run away then?
context: Was he sitting here this whole time worrying about that?\We didn't.\Oh.\Let go. You're hurting me.\Y-Your big brother said that\you have a serious brother complex.\I don't!\Why did you run away then? response:	Because I hate him.
context: We didn't.\Oh.\Let go. You're hurting me.\Y-Your big brother said that\you have a serious brother complex.\I don't!\Why did you run away then?\Because I hate him. response:	You hate him? Why?
context: Oh.\Let go. You're hurting me.\Y-Your big brother said that\you have a serious brother complex.\I don't!\Why did you run away then?\Because I hate him.\You hate him? Why? response:	Just shut up. Stop trying to pry.
context: Let go. You're hurting me.\Y-Your big brother said that\you have a serious brother complex.\I don't!\Why did you run away then?\Because I hate him.\You hate him? Why?\Just shut up. Stop trying to pry. response:	Fine.
context: Y-Your big brother said that\you have a serious brother complex.\I don't!\Why did you run away then?\Because I hate him.\You hate him? Why?\Just shut up. Stop trying to pry.\Fine. response:	Dammit.
context: you have a serious brother complex.\I don't!\Why did you run away then?\Because I hate him.\You hate him? Why?\Just shut up. Stop trying to pry.\Fine.\Dammit. response:	I thought you got mad and left.
context: I don't!\Why did you run away then?\Because I hate him.\You hate him? Why?\Just shut up. Stop trying to pry.\Fine.\Dammit.\I thought you got mad and left. response:	Yeah, I did.
context: Why did you run away then?\Because I hate him.\You hate him? Why?\Just shut up. Stop trying to pry.\Fine.\Dammit.\I thought you got mad and left.\Yeah, I did. response:	We have watermelons at our place.
context: Because I hate him.\You hate him? Why?\Just shut up. Stop trying to pry.\Fine.\Dammit.\I thought you got mad and left.\Yeah, I did.\We have watermelons at our place. response:	Want to smash them?
context: You hate him? Why?\Just shut up. Stop trying to pry.\Fine.\Dammit.\I thought you got mad and left.\Yeah, I did.\We have watermelons at our place.\Want to smash them? response:	Hey, I smashed the watermelon, Shizuku.
context: Just shut up. Stop trying to pry.\Fine.\Dammit.\I thought you got mad and left.\Yeah, I did.\We have watermelons at our place.\Want to smash them?\Hey, I smashed the watermelon, Shizuku. response:	Next.
context: Fine.\Dammit.\I thought you got mad and left.\Yeah, I did.\We have watermelons at our place.\Want to smash them?\Hey, I smashed the watermelon, Shizuku.\Next. response:	Here.
context: Dammit.\I thought you got mad and left.\Yeah, I did.\We have watermelons at our place.\Want to smash them?\Hey, I smashed the watermelon, Shizuku.\Next.\Here. response:	I thought I knew him,
context: I thought you got mad and left.\Yeah, I did.\We have watermelons at our place.\Want to smash them?\Hey, I smashed the watermelon, Shizuku.\Next.\Here.\I thought I knew him, response:	until I realized that I didn't know anything about him.
context: Yeah, I did.\We have watermelons at our place.\Want to smash them?\Hey, I smashed the watermelon, Shizuku.\Next.\Here.\I thought I knew him,\until I realized that I didn't know anything about him. response:	Stop trying to pry.
context: We have watermelons at our place.\Want to smash them?\Hey, I smashed the watermelon, Shizuku.\Next.\Here.\I thought I knew him,\until I realized that I didn't know anything about him.\Stop trying to pry. response:	What's behind that scary look on his face?
context: Want to smash them?\Hey, I smashed the watermelon, Shizuku.\Next.\Here.\I thought I knew him,\until I realized that I didn't know anything about him.\Stop trying to pry.\What's behind that scary look on his face? response:	Hey, Shizuku.
context: Hey, I smashed the watermelon, Shizuku.\Next.\Here.\I thought I knew him,\until I realized that I didn't know anything about him.\Stop trying to pry.\What's behind that scary look on his face?\Hey, Shizuku. response:	Sorry about what I said before.
context: Next.\Here.\I thought I knew him,\until I realized that I didn't know anything about him.\Stop trying to pry.\What's behind that scary look on his face?\Hey, Shizuku.\Sorry about what I said before. response:	It doesn't matter.
context: Here.\I thought I knew him,\until I realized that I didn't know anything about him.\Stop trying to pry.\What's behind that scary look on his face?\Hey, Shizuku.\Sorry about what I said before.\It doesn't matter. response:	You're always there to save me.
context: I thought I knew him,\until I realized that I didn't know anything about him.\Stop trying to pry.\What's behind that scary look on his face?\Hey, Shizuku.\Sorry about what I said before.\It doesn't matter.\You're always there to save me. response:	I need to do something for you.
context: until I realized that I didn't know anything about him.\Stop trying to pry.\What's behind that scary look on his face?\Hey, Shizuku.\Sorry about what I said before.\It doesn't matter.\You're always there to save me.\I need to do something for you. response:	A date.
context: Stop trying to pry.\What's behind that scary look on his face?\Hey, Shizuku.\Sorry about what I said before.\It doesn't matter.\You're always there to save me.\I need to do something for you.\A date. response:	Huh?
context: What's behind that scary look on his face?\Hey, Shizuku.\Sorry about what I said before.\It doesn't matter.\You're always there to save me.\I need to do something for you.\A date.\Huh? response:	Take me on a date.
context: Hey, Shizuku.\Sorry about what I said before.\It doesn't matter.\You're always there to save me.\I need to do something for you.\A date.\Huh?\Take me on a date. response:	Uh...
context: Sorry about what I said before.\It doesn't matter.\You're always there to save me.\I need to do something for you.\A date.\Huh?\Take me on a date.\Uh... response:	Okay, I guess...
context: It doesn't matter.\You're always there to save me.\I need to do something for you.\A date.\Huh?\Take me on a date.\Uh...\Okay, I guess... response:	By the way...
context: You're always there to save me.\I need to do something for you.\A date.\Huh?\Take me on a date.\Uh...\Okay, I guess...\By the way... response:	I don't think we're doing this right.
context: I need to do something for you.\A date.\Huh?\Take me on a date.\Uh...\Okay, I guess...\By the way...\I don't think we're doing this right. response:	Is this how smashing watermelons works?
context: A date.\Huh?\Take me on a date.\Uh...\Okay, I guess...\By the way...\I don't think we're doing this right.\Is this how smashing watermelons works? response:	Probably.
context: Huh?\Take me on a date.\Uh...\Okay, I guess...\By the way...\I don't think we're doing this right.\Is this how smashing watermelons works?\Probably. response:	I may not know the answer now, but I will eventually.
context: Take me on a date.\Uh...\Okay, I guess...\By the way...\I don't think we're doing this right.\Is this how smashing watermelons works?\Probably.\I may not know the answer now, but I will eventually. response:	It's that simple.
context: Uh...\Okay, I guess...\By the way...\I don't think we're doing this right.\Is this how smashing watermelons works?\Probably.\I may not know the answer now, but I will eventually.\It's that simple. response:	Yoshida, you tense up every time the camera's on you.
context: Okay, I guess...\By the way...\I don't think we're doing this right.\Is this how smashing watermelons works?\Probably.\I may not know the answer now, but I will eventually.\It's that simple.\Yoshida, you tense up every time the camera's on you. response:	It's scary.
context: By the way...\I don't think we're doing this right.\Is this how smashing watermelons works?\Probably.\I may not know the answer now, but I will eventually.\It's that simple.\Yoshida, you tense up every time the camera's on you.\It's scary. response:	A rooster?
context: I don't think we're doing this right.\Is this how smashing watermelons works?\Probably.\I may not know the answer now, but I will eventually.\It's that simple.\Yoshida, you tense up every time the camera's on you.\It's scary.\A rooster? response:	That's no fun.
context: Is this how smashing watermelons works?\Probably.\I may not know the answer now, but I will eventually.\It's that simple.\Yoshida, you tense up every time the camera's on you.\It's scary.\A rooster?\That's no fun. response:	I was hoping to find fresh eggs for some
context: Probably.\I may not know the answer now, but I will eventually.\It's that simple.\Yoshida, you tense up every time the camera's on you.\It's scary.\A rooster?\That's no fun.\I was hoping to find fresh eggs for some response:	homemade pudding topped with meringue.
context: I may not know the answer now, but I will eventually.\It's that simple.\Yoshida, you tense up every time the camera's on you.\It's scary.\A rooster?\That's no fun.\I was hoping to find fresh eggs for some\homemade pudding topped with meringue. response:	Now I'm hungry.
context: It's that simple.\Yoshida, you tense up every time the camera's on you.\It's scary.\A rooster?\That's no fun.\I was hoping to find fresh eggs for some\homemade pudding topped with meringue.\Now I'm hungry. response:	Next Episode
context: Yoshida, you tense up every time the camera's on you.\It's scary.\A rooster?\That's no fun.\I was hoping to find fresh eggs for some\homemade pudding topped with meringue.\Now I'm hungry.\Next Episode response:	Yoshida Family Matters
context: It's scary.\A rooster?\That's no fun.\I was hoping to find fresh eggs for some\homemade pudding topped with meringue.\Now I'm hungry.\Next Episode\Yoshida Family Matters response:	Start laying eggs.
