context: Metamorphie Vocias! response:	Metamorphie Vocias.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\It bestows the great magic power of the stars unto the witch with hidden radiance. response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\It bestows the great magic power of the stars unto the witch with hidden radiance.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\It bestows the great magic power of the stars unto the witch with hidden radiance.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\It bestows the great magic power of the stars unto the witch with hidden radiance.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\It bestows the great magic power of the stars unto the witch with hidden radiance.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\It bestows the great magic power of the stars unto the witch with hidden radiance.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: Fountain of Polaris\It bestows the great magic power of the stars unto the witch with hidden radiance.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: It bestows the great magic power of the stars unto the witch with hidden radiance.\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
context: Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance. response:	Fountain of Polaris
context: The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris\The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.\Fountain of Polaris response:	The magic fountain that reveals the path of light located at Luna Nova. It bestows the great magic power of the stars unto the witch with hidden radiance.
