context: Whenever I counted on someone, I ended up getting hurt. response:	You can count on me, Ohana!
context: You'll figure something out!\What's wrong with me?\Why do I feel so mixed-up inside?\I thought I just wanted to work.\But is that really all?\I didn't actually come here to work...\But now... I want to prove myself to them.\What is it that I really want to do? response:	Oh, but you can rely on yourself?
context: What's wrong with me?\Why do I feel so mixed-up inside?\I thought I just wanted to work.\But is that really all?\I didn't actually come here to work...\But now... I want to prove myself to them.\What is it that I really want to do?\Oh, but you can rely on yourself? response:	Rely...
context: Why do I feel so mixed-up inside?\I thought I just wanted to work.\But is that really all?\I didn't actually come here to work...\But now... I want to prove myself to them.\What is it that I really want to do?\Oh, but you can rely on yourself?\Rely... response:	On that day, I decided to stop relying on others.
context: I thought I just wanted to work.\But is that really all?\I didn't actually come here to work...\But now... I want to prove myself to them.\What is it that I really want to do?\Oh, but you can rely on yourself?\Rely...\On that day, I decided to stop relying on others. response:	I hate you Mommy
context: But is that really all?\I didn't actually come here to work...\But now... I want to prove myself to them.\What is it that I really want to do?\Oh, but you can rely on yourself?\Rely...\On that day, I decided to stop relying on others.\I hate you Mommy response:	So why am I so confused?
context: I didn't actually come here to work...\But now... I want to prove myself to them.\What is it that I really want to do?\Oh, but you can rely on yourself?\Rely...\On that day, I decided to stop relying on others.\I hate you Mommy\So why am I so confused? response:	Dinner's ready.
context: But now... I want to prove myself to them.\What is it that I really want to do?\Oh, but you can rely on yourself?\Rely...\On that day, I decided to stop relying on others.\I hate you Mommy\So why am I so confused?\Dinner's ready. response:	Thanks, Ohana!
context: What is it that I really want to do?\Oh, but you can rely on yourself?\Rely...\On that day, I decided to stop relying on others.\I hate you Mommy\So why am I so confused?\Dinner's ready.\Thanks, Ohana! response:	I hate you Mommy
context: Oh, but you can rely on yourself?\Rely...\On that day, I decided to stop relying on others.\I hate you Mommy\So why am I so confused?\Dinner's ready.\Thanks, Ohana!\I hate you Mommy response:	Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night.
context: Rely...\On that day, I decided to stop relying on others.\I hate you Mommy\So why am I so confused?\Dinner's ready.\Thanks, Ohana!\I hate you Mommy\Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night. response:	Somehow, it made me feel a bit better.
context: On that day, I decided to stop relying on others.\I hate you Mommy\So why am I so confused?\Dinner's ready.\Thanks, Ohana!\I hate you Mommy\Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night.\Somehow, it made me feel a bit better. response:	Yeah.
context: I hate you Mommy\So why am I so confused?\Dinner's ready.\Thanks, Ohana!\I hate you Mommy\Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night.\Somehow, it made me feel a bit better.\Yeah. response:	I expect to see crab on the menu tonight.
context: So why am I so confused?\Dinner's ready.\Thanks, Ohana!\I hate you Mommy\Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night.\Somehow, it made me feel a bit better.\Yeah.\I expect to see crab on the menu tonight. response:	Do you realize how much trouble you've all caused me?!
context: Dinner's ready.\Thanks, Ohana!\I hate you Mommy\Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night.\Somehow, it made me feel a bit better.\Yeah.\I expect to see crab on the menu tonight.\Do you realize how much trouble you've all caused me?! response:	Yes, sir.
context: Thanks, Ohana!\I hate you Mommy\Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night.\Somehow, it made me feel a bit better.\Yeah.\I expect to see crab on the menu tonight.\Do you realize how much trouble you've all caused me?!\Yes, sir. response:	Sheesh...
context: I hate you Mommy\Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night.\Somehow, it made me feel a bit better.\Yeah.\I expect to see crab on the menu tonight.\Do you realize how much trouble you've all caused me?!\Yes, sir.\Sheesh... response:	Huh?
context: Since broccoli was my mom's least favorite food, I made a ton of it for dinner that night.\Somehow, it made me feel a bit better.\Yeah.\I expect to see crab on the menu tonight.\Do you realize how much trouble you've all caused me?!\Yes, sir.\Sheesh...\Huh? response:	U-Um...
context: Somehow, it made me feel a bit better.\Yeah.\I expect to see crab on the menu tonight.\Do you realize how much trouble you've all caused me?!\Yes, sir.\Sheesh...\Huh?\U-Um... response:	Minko
context: Yeah.\I expect to see crab on the menu tonight.\Do you realize how much trouble you've all caused me?!\Yes, sir.\Sheesh...\Huh?\U-Um...\Minko response:	This is your fault.
context: I expect to see crab on the menu tonight.\Do you realize how much trouble you've all caused me?!\Yes, sir.\Sheesh...\Huh?\U-Um...\Minko\This is your fault. response:	Die.
context: Do you realize how much trouble you've all caused me?!\Yes, sir.\Sheesh...\Huh?\U-Um...\Minko\This is your fault.\Die. response:	Stop telling me to die!
context: Yes, sir.\Sheesh...\Huh?\U-Um...\Minko\This is your fault.\Die.\Stop telling me to die! response:	Huh?
context: Sheesh...\Huh?\U-Um...\Minko\This is your fault.\Die.\Stop telling me to die!\Huh? response:	What if I actually did end up dying?
context: Huh?\U-Um...\Minko\This is your fault.\Die.\Stop telling me to die!\Huh?\What if I actually did end up dying? response:	You would feel bad afterwards, right?
context: U-Um...\Minko\This is your fault.\Die.\Stop telling me to die!\Huh?\What if I actually did end up dying?\You would feel bad afterwards, right? response:	Choose your words a bit more wisely!
context: Minko\This is your fault.\Die.\Stop telling me to die!\Huh?\What if I actually did end up dying?\You would feel bad afterwards, right?\Choose your words a bit more wisely! response:	What are you...
context: This is your fault.\Die.\Stop telling me to die!\Huh?\What if I actually did end up dying?\You would feel bad afterwards, right?\Choose your words a bit more wisely!\What are you... response:	And you!
context: Die.\Stop telling me to die!\Huh?\What if I actually did end up dying?\You would feel bad afterwards, right?\Choose your words a bit more wisely!\What are you...\And you! response:	Stop running away all the time!
context: Stop telling me to die!\Huh?\What if I actually did end up dying?\You would feel bad afterwards, right?\Choose your words a bit more wisely!\What are you...\And you!\Stop running away all the time! response:	What is with you?
context: Huh?\What if I actually did end up dying?\You would feel bad afterwards, right?\Choose your words a bit more wisely!\What are you...\And you!\Stop running away all the time!\What is with you? response:	Why are you bossing us around?
context: What if I actually did end up dying?\You would feel bad afterwards, right?\Choose your words a bit more wisely!\What are you...\And you!\Stop running away all the time!\What is with you?\Why are you bossing us around? response:	I'll change, too!
context: You would feel bad afterwards, right?\Choose your words a bit more wisely!\What are you...\And you!\Stop running away all the time!\What is with you?\Why are you bossing us around?\I'll change, too! response:	I'll learn to be more considerate!
context: Choose your words a bit more wisely!\What are you...\And you!\Stop running away all the time!\What is with you?\Why are you bossing us around?\I'll change, too!\I'll learn to be more considerate! response:	You sure don't seem very considerate right now.
context: What are you...\And you!\Stop running away all the time!\What is with you?\Why are you bossing us around?\I'll change, too!\I'll learn to be more considerate!\You sure don't seem very considerate right now. response:	I'll also learn to count on others!
context: And you!\Stop running away all the time!\What is with you?\Why are you bossing us around?\I'll change, too!\I'll learn to be more considerate!\You sure don't seem very considerate right now.\I'll also learn to count on others! response:	Beg your pardon?
context: Stop running away all the time!\What is with you?\Why are you bossing us around?\I'll change, too!\I'll learn to be more considerate!\You sure don't seem very considerate right now.\I'll also learn to count on others!\Beg your pardon? response:	I'll count on you! I'll rely on you!
context: What is with you?\Why are you bossing us around?\I'll change, too!\I'll learn to be more considerate!\You sure don't seem very considerate right now.\I'll also learn to count on others!\Beg your pardon?\I'll count on you! I'll rely on you! response:	So teach me more about work, and the things I shouldn't do!
context: Why are you bossing us around?\I'll change, too!\I'll learn to be more considerate!\You sure don't seem very considerate right now.\I'll also learn to count on others!\Beg your pardon?\I'll count on you! I'll rely on you!\So teach me more about work, and the things I shouldn't do! response:	But not just that!
context: I'll change, too!\I'll learn to be more considerate!\You sure don't seem very considerate right now.\I'll also learn to count on others!\Beg your pardon?\I'll count on you! I'll rely on you!\So teach me more about work, and the things I shouldn't do!\But not just that! response:	I want to know more about you two!
context: I'll learn to be more considerate!\You sure don't seem very considerate right now.\I'll also learn to count on others!\Beg your pardon?\I'll count on you! I'll rely on you!\So teach me more about work, and the things I shouldn't do!\But not just that!\I want to know more about you two! response:	Like, tell me your least favorite foods!
context: You sure don't seem very considerate right now.\I'll also learn to count on others!\Beg your pardon?\I'll count on you! I'll rely on you!\So teach me more about work, and the things I shouldn't do!\But not just that!\I want to know more about you two!\Like, tell me your least favorite foods! response:	What?
context: I'll also learn to count on others!\Beg your pardon?\I'll count on you! I'll rely on you!\So teach me more about work, and the things I shouldn't do!\But not just that!\I want to know more about you two!\Like, tell me your least favorite foods!\What? response:	I'll make a meal for the staff again tomorrow!
context: Beg your pardon?\I'll count on you! I'll rely on you!\So teach me more about work, and the things I shouldn't do!\But not just that!\I want to know more about you two!\Like, tell me your least favorite foods!\What?\I'll make a meal for the staff again tomorrow! response:	But I'm really mad at you two right now,
context: I'll count on you! I'll rely on you!\So teach me more about work, and the things I shouldn't do!\But not just that!\I want to know more about you two!\Like, tell me your least favorite foods!\What?\I'll make a meal for the staff again tomorrow!\But I'm really mad at you two right now, response:	so you'll be seeing what you hate most on your plates!
context: So teach me more about work, and the things I shouldn't do!\But not just that!\I want to know more about you two!\Like, tell me your least favorite foods!\What?\I'll make a meal for the staff again tomorrow!\But I'm really mad at you two right now,\so you'll be seeing what you hate most on your plates! response:	Excuse me?
context: But not just that!\I want to know more about you two!\Like, tell me your least favorite foods!\What?\I'll make a meal for the staff again tomorrow!\But I'm really mad at you two right now,\so you'll be seeing what you hate most on your plates!\Excuse me? response:	You're insane.
context: I want to know more about you two!\Like, tell me your least favorite foods!\What?\I'll make a meal for the staff again tomorrow!\But I'm really mad at you two right now,\so you'll be seeing what you hate most on your plates!\Excuse me?\You're insane. response:	Let's go, Nako.
context: Like, tell me your least favorite foods!\What?\I'll make a meal for the staff again tomorrow!\But I'm really mad at you two right now,\so you'll be seeing what you hate most on your plates!\Excuse me?\You're insane.\Let's go, Nako. response:	M-Minchi...
context: What?\I'll make a meal for the staff again tomorrow!\But I'm really mad at you two right now,\so you'll be seeing what you hate most on your plates!\Excuse me?\You're insane.\Let's go, Nako.\M-Minchi... response:	Tell me!
context: I'll make a meal for the staff again tomorrow!\But I'm really mad at you two right now,\so you'll be seeing what you hate most on your plates!\Excuse me?\You're insane.\Let's go, Nako.\M-Minchi...\Tell me! response:	Tell me!
context: But I'm really mad at you two right now,\so you'll be seeing what you hate most on your plates!\Excuse me?\You're insane.\Let's go, Nako.\M-Minchi...\Tell me!\Tell me! response:	Spinach.
context: so you'll be seeing what you hate most on your plates!\Excuse me?\You're insane.\Let's go, Nako.\M-Minchi...\Tell me!\Tell me!\Spinach. response:	Taro, I guess?
context: Excuse me?\You're insane.\Let's go, Nako.\M-Minchi...\Tell me!\Tell me!\Spinach.\Taro, I guess? response:	Got it!
context: You're insane.\Let's go, Nako.\M-Minchi...\Tell me!\Tell me!\Spinach.\Taro, I guess?\Got it! response:	What's her deal?
context: Let's go, Nako.\M-Minchi...\Tell me!\Tell me!\Spinach.\Taro, I guess?\Got it!\What's her deal? response:	Ohana didn't tell the manager.
context: M-Minchi...\Tell me!\Tell me!\Spinach.\Taro, I guess?\Got it!\What's her deal?\Ohana didn't tell the manager. response:	She didn't tell her it was my fault.
context: Tell me!\Tell me!\Spinach.\Taro, I guess?\Got it!\What's her deal?\Ohana didn't tell the manager.\She didn't tell her it was my fault. response:	I deserve to face her wrath.
context: Tell me!\Spinach.\Taro, I guess?\Got it!\What's her deal?\Ohana didn't tell the manager.\She didn't tell her it was my fault.\I deserve to face her wrath. response:	Nako.
context: Spinach.\Taro, I guess?\Got it!\What's her deal?\Ohana didn't tell the manager.\She didn't tell her it was my fault.\I deserve to face her wrath.\Nako. response:	What am I doing?
context: Taro, I guess?\Got it!\What's her deal?\Ohana didn't tell the manager.\She didn't tell her it was my fault.\I deserve to face her wrath.\Nako.\What am I doing? response:	But...
context: Got it!\What's her deal?\Ohana didn't tell the manager.\She didn't tell her it was my fault.\I deserve to face her wrath.\Nako.\What am I doing?\But... response:	At least this is a start.
context: What's her deal?\Ohana didn't tell the manager.\She didn't tell her it was my fault.\I deserve to face her wrath.\Nako.\What am I doing?\But...\At least this is a start. response:	I want them to eat this.
context: Ohana didn't tell the manager.\She didn't tell her it was my fault.\I deserve to face her wrath.\Nako.\What am I doing?\But...\At least this is a start.\I want them to eat this. response:	I'm counting on them to.
context: She didn't tell her it was my fault.\I deserve to face her wrath.\Nako.\What am I doing?\But...\At least this is a start.\I want them to eat this.\I'm counting on them to. response:	I've gotta face the fact that I can't do everything myself.
context: I deserve to face her wrath.\Nako.\What am I doing?\But...\At least this is a start.\I want them to eat this.\I'm counting on them to.\I've gotta face the fact that I can't do everything myself. response:	Morning, Ohana!
context: Nako.\What am I doing?\But...\At least this is a start.\I want them to eat this.\I'm counting on them to.\I've gotta face the fact that I can't do everything myself.\Morning, Ohana! response:	Good morning to you, too!
context: What am I doing?\But...\At least this is a start.\I want them to eat this.\I'm counting on them to.\I've gotta face the fact that I can't do everything myself.\Morning, Ohana!\Good morning to you, too! response:	That's not where you dump the trash, you know.
context: But...\At least this is a start.\I want them to eat this.\I'm counting on them to.\I've gotta face the fact that I can't do everything myself.\Morning, Ohana!\Good morning to you, too!\That's not where you dump the trash, you know. response:	Oh?
context: At least this is a start.\I want them to eat this.\I'm counting on them to.\I've gotta face the fact that I can't do everything myself.\Morning, Ohana!\Good morning to you, too!\That's not where you dump the trash, you know.\Oh? response:	That's where we put things we don't often use.
context: I want them to eat this.\I'm counting on them to.\I've gotta face the fact that I can't do everything myself.\Morning, Ohana!\Good morning to you, too!\That's not where you dump the trash, you know.\Oh?\That's where we put things we don't often use. response:	Trash goes over there.
context: I'm counting on them to.\I've gotta face the fact that I can't do everything myself.\Morning, Ohana!\Good morning to you, too!\That's not where you dump the trash, you know.\Oh?\That's where we put things we don't often use.\Trash goes over there. response:	Oh man...
context: I've gotta face the fact that I can't do everything myself.\Morning, Ohana!\Good morning to you, too!\That's not where you dump the trash, you know.\Oh?\That's where we put things we don't often use.\Trash goes over there.\Oh man... response:	Something wrong?
context: Morning, Ohana!\Good morning to you, too!\That's not where you dump the trash, you know.\Oh?\That's where we put things we don't often use.\Trash goes over there.\Oh man...\Something wrong? response:	This is where I dumped the trash yesterday,
context: Good morning to you, too!\That's not where you dump the trash, you know.\Oh?\That's where we put things we don't often use.\Trash goes over there.\Oh man...\Something wrong?\This is where I dumped the trash yesterday, response:	after I cleaned out that room.
context: That's not where you dump the trash, you know.\Oh?\That's where we put things we don't often use.\Trash goes over there.\Oh man...\Something wrong?\This is where I dumped the trash yesterday,\after I cleaned out that room. response:	You mean, Nako didn't tell you?
context: Oh?\That's where we put things we don't often use.\Trash goes over there.\Oh man...\Something wrong?\This is where I dumped the trash yesterday,\after I cleaned out that room.\You mean, Nako didn't tell you? response:	She's gonna be the death of me...
context: That's where we put things we don't often use.\Trash goes over there.\Oh man...\Something wrong?\This is where I dumped the trash yesterday,\after I cleaned out that room.\You mean, Nako didn't tell you?\She's gonna be the death of me... response:	Oh, well, umm...
context: Trash goes over there.\Oh man...\Something wrong?\This is where I dumped the trash yesterday,\after I cleaned out that room.\You mean, Nako didn't tell you?\She's gonna be the death of me...\Oh, well, umm... response:	Just put it where it belongs, okay?
context: Oh man...\Something wrong?\This is where I dumped the trash yesterday,\after I cleaned out that room.\You mean, Nako didn't tell you?\She's gonna be the death of me...\Oh, well, umm...\Just put it where it belongs, okay? response:	Okay!
context: Something wrong?\This is where I dumped the trash yesterday,\after I cleaned out that room.\You mean, Nako didn't tell you?\She's gonna be the death of me...\Oh, well, umm...\Just put it where it belongs, okay?\Okay! response:	I think this is yesterday's trash.
context: This is where I dumped the trash yesterday,\after I cleaned out that room.\You mean, Nako didn't tell you?\She's gonna be the death of me...\Oh, well, umm...\Just put it where it belongs, okay?\Okay!\I think this is yesterday's trash. response:	Bingo.
context: after I cleaned out that room.\You mean, Nako didn't tell you?\She's gonna be the death of me...\Oh, well, umm...\Just put it where it belongs, okay?\Okay!\I think this is yesterday's trash.\Bingo. response:	So this is the so-called work of the century?
context: You mean, Nako didn't tell you?\She's gonna be the death of me...\Oh, well, umm...\Just put it where it belongs, okay?\Okay!\I think this is yesterday's trash.\Bingo.\So this is the so-called work of the century? response:	Let's see...
context: She's gonna be the death of me...\Oh, well, umm...\Just put it where it belongs, okay?\Okay!\I think this is yesterday's trash.\Bingo.\So this is the so-called work of the century?\Let's see... response:	And that's when Ohana...
context: Oh, well, umm...\Just put it where it belongs, okay?\Okay!\I think this is yesterday's trash.\Bingo.\So this is the so-called work of the century?\Let's see...\And that's when Ohana... response:	Wow, same name as me!
context: Just put it where it belongs, okay?\Okay!\I think this is yesterday's trash.\Bingo.\So this is the so-called work of the century?\Let's see...\And that's when Ohana...\Wow, same name as me! response:	Ohana's tender, special spot...
context: Okay!\I think this is yesterday's trash.\Bingo.\So this is the so-called work of the century?\Let's see...\And that's when Ohana...\Wow, same name as me!\Ohana's tender, special spot... response:	Her what spot?
context: I think this is yesterday's trash.\Bingo.\So this is the so-called work of the century?\Let's see...\And that's when Ohana...\Wow, same name as me!\Ohana's tender, special spot...\Her what spot? response:	Reading on...
context: Bingo.\So this is the so-called work of the century?\Let's see...\And that's when Ohana...\Wow, same name as me!\Ohana's tender, special spot...\Her what spot?\Reading on... response:	Th-Th-Th-Th-This
context: So this is the so-called work of the century?\Let's see...\And that's when Ohana...\Wow, same name as me!\Ohana's tender, special spot...\Her what spot?\Reading on...\Th-Th-Th-Th-This response:	It's not my fault.
context: Let's see...\And that's when Ohana...\Wow, same name as me!\Ohana's tender, special spot...\Her what spot?\Reading on...\Th-Th-Th-Th-This\It's not my fault. response:	It's not my fault.
context: And that's when Ohana...\Wow, same name as me!\Ohana's tender, special spot...\Her what spot?\Reading on...\Th-Th-Th-Th-This\It's not my fault.\It's not my fault. response:	I swear.
context: Wow, same name as me!\Ohana's tender, special spot...\Her what spot?\Reading on...\Th-Th-Th-Th-This\It's not my fault.\It's not my fault.\I swear. response:	It's not my fault.
context: Ohana's tender, special spot...\Her what spot?\Reading on...\Th-Th-Th-Th-This\It's not my fault.\It's not my fault.\I swear.\It's not my fault. response:	It's not my fault.
context: Her what spot?\Reading on...\Th-Th-Th-Th-This\It's not my fault.\It's not my fault.\I swear.\It's not my fault.\It's not my fault. response:	It's not my fault.
context: Reading on...\Th-Th-Th-Th-This\It's not my fault.\It's not my fault.\I swear.\It's not my fault.\It's not my fault.\It's not my fault. response:	Not my fault!
context: Th-Th-Th-Th-This\It's not my fault.\It's not my fault.\I swear.\It's not my fault.\It's not my fault.\It's not my fault.\Not my fault! response:	It's...
context: It's not my fault.\It's not my fault.\I swear.\It's not my fault.\It's not my fault.\It's not my fault.\Not my fault!\It's... response:	It's...
context: It's not my fault.\I swear.\It's not my fault.\It's not my fault.\It's not my fault.\Not my fault!\It's...\It's... response:	Episode 2: Vengeance is a Staff Meal
context: I swear.\It's not my fault.\It's not my fault.\It's not my fault.\Not my fault!\It's...\It's...\Episode 2: Vengeance is a Staff Meal response:	She betrayed me!
context: It's not my fault.\It's not my fault.\It's not my fault.\Not my fault!\It's...\It's...\Episode 2: Vengeance is a Staff Meal\She betrayed me! response:	I guess it makes sense for there to be
context: It's not my fault.\It's not my fault.\Not my fault!\It's...\It's...\Episode 2: Vengeance is a Staff Meal\She betrayed me!\I guess it makes sense for there to be response:	No, don't say it!
context: It's not my fault.\Not my fault!\It's...\It's...\Episode 2: Vengeance is a Staff Meal\She betrayed me!\I guess it makes sense for there to be\No, don't say it! response:	low-class waitresses at a low-class hot spring inn.
context: Not my fault!\It's...\It's...\Episode 2: Vengeance is a Staff Meal\She betrayed me!\I guess it makes sense for there to be\No, don't say it!\low-class waitresses at a low-class hot spring inn. response:	Want me to teach you?
context: It's...\It's...\Episode 2: Vengeance is a Staff Meal\She betrayed me!\I guess it makes sense for there to be\No, don't say it!\low-class waitresses at a low-class hot spring inn.\Want me to teach you? response:	You mean, there's a criminal living here?!
context: It's...\Episode 2: Vengeance is a Staff Meal\She betrayed me!\I guess it makes sense for there to be\No, don't say it!\low-class waitresses at a low-class hot spring inn.\Want me to teach you?\You mean, there's a criminal living here?! response:	I want to sparkle!
context: Episode 2: Vengeance is a Staff Meal\She betrayed me!\I guess it makes sense for there to be\No, don't say it!\low-class waitresses at a low-class hot spring inn.\Want me to teach you?\You mean, there's a criminal living here?!\I want to sparkle! response:	Balut!
context: She betrayed me!\I guess it makes sense for there to be\No, don't say it!\low-class waitresses at a low-class hot spring inn.\Want me to teach you?\You mean, there's a criminal living here?!\I want to sparkle!\Balut! response:	Episode 3: Balut
