context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Right. We'd better hurry up and evacuate.\Hey, Hikaru!\You take after me more and more every day! You dog!\It's not like that at all!\Hey, take it easy!\Jeez...\Reguld platoons have made landfall.\Understood. response:	All ships, prepare for barrage.
context: Hey, Hikaru!\You take after me more and more every day! You dog!\It's not like that at all!\Hey, take it easy!\Jeez...\Reguld platoons have made landfall.\Understood.\All ships, prepare for barrage. response:	Provide support for ground units.
context: You take after me more and more every day! You dog!\It's not like that at all!\Hey, take it easy!\Jeez...\Reguld platoons have made landfall.\Understood.\All ships, prepare for barrage.\Provide support for ground units. response:	Roger!
context: It's not like that at all!\Hey, take it easy!\Jeez...\Reguld platoons have made landfall.\Understood.\All ships, prepare for barrage.\Provide support for ground units.\Roger! response:	Well, I guess we should get going, too.
context: Hey, take it easy!\Jeez...\Reguld platoons have made landfall.\Understood.\All ships, prepare for barrage.\Provide support for ground units.\Roger!\Well, I guess we should get going, too. response:	That's easy for you to say. I don't know how to pilot a robot!
context: Jeez...\Reguld platoons have made landfall.\Understood.\All ships, prepare for barrage.\Provide support for ground units.\Roger!\Well, I guess we should get going, too.\That's easy for you to say. I don't know how to pilot a robot! response:	Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left.
context: Reguld platoons have made landfall.\Understood.\All ships, prepare for barrage.\Provide support for ground units.\Roger!\Well, I guess we should get going, too.\That's easy for you to say. I don't know how to pilot a robot!\Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left. response:	This one?
context: Understood.\All ships, prepare for barrage.\Provide support for ground units.\Roger!\Well, I guess we should get going, too.\That's easy for you to say. I don't know how to pilot a robot!\Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left.\This one? response:	The controls for this aren't that much different from a fighter plane's.
context: All ships, prepare for barrage.\Provide support for ground units.\Roger!\Well, I guess we should get going, too.\That's easy for you to say. I don't know how to pilot a robot!\Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left.\This one?\The controls for this aren't that much different from a fighter plane's. response:	Really?
context: Provide support for ground units.\Roger!\Well, I guess we should get going, too.\That's easy for you to say. I don't know how to pilot a robot!\Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left.\This one?\The controls for this aren't that much different from a fighter plane's.\Really? response:	You okay?
context: Roger!\Well, I guess we should get going, too.\That's easy for you to say. I don't know how to pilot a robot!\Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left.\This one?\The controls for this aren't that much different from a fighter plane's.\Really?\You okay? response:	Oh, no!
context: Well, I guess we should get going, too.\That's easy for you to say. I don't know how to pilot a robot!\Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left.\This one?\The controls for this aren't that much different from a fighter plane's.\Really?\You okay?\Oh, no! response:	I left something at the house, Auntie! I'm going to go back for it!
context: That's easy for you to say. I don't know how to pilot a robot!\Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left.\This one?\The controls for this aren't that much different from a fighter plane's.\Really?\You okay?\Oh, no!\I left something at the house, Auntie! I'm going to go back for it! response:	No, Minmay. It's too dangerous.
context: Oh, right. Okay, change to Gerwalk mode. It's the lever marked G on your left.\This one?\The controls for this aren't that much different from a fighter plane's.\Really?\You okay?\Oh, no!\I left something at the house, Auntie! I'm going to go back for it!\No, Minmay. It's too dangerous. response:	I'll be fine. I'll be right back!
context: This one?\The controls for this aren't that much different from a fighter plane's.\Really?\You okay?\Oh, no!\I left something at the house, Auntie! I'm going to go back for it!\No, Minmay. It's too dangerous.\I'll be fine. I'll be right back! response:	Be careful!
context: The controls for this aren't that much different from a fighter plane's.\Really?\You okay?\Oh, no!\I left something at the house, Auntie! I'm going to go back for it!\No, Minmay. It's too dangerous.\I'll be fine. I'll be right back!\Be careful! response:	All ships have completed preparations for barrage!
context: Really?\You okay?\Oh, no!\I left something at the house, Auntie! I'm going to go back for it!\No, Minmay. It's too dangerous.\I'll be fine. I'll be right back!\Be careful!\All ships have completed preparations for barrage! response:	Good. Begin firing, and have the Reguld platoons move in.
context: You okay?\Oh, no!\I left something at the house, Auntie! I'm going to go back for it!\No, Minmay. It's too dangerous.\I'll be fine. I'll be right back!\Be careful!\All ships have completed preparations for barrage!\Good. Begin firing, and have the Reguld platoons move in. response:	Capture the enemy battleship!
context: Oh, no!\I left something at the house, Auntie! I'm going to go back for it!\No, Minmay. It's too dangerous.\I'll be fine. I'll be right back!\Be careful!\All ships have completed preparations for barrage!\Good. Begin firing, and have the Reguld platoons move in.\Capture the enemy battleship! response:	What was that?!
context: I left something at the house, Auntie! I'm going to go back for it!\No, Minmay. It's too dangerous.\I'll be fine. I'll be right back!\Be careful!\All ships have completed preparations for barrage!\Good. Begin firing, and have the Reguld platoons move in.\Capture the enemy battleship!\What was that?! response:	I'm not sure, but I think it was an enemy attack.
context: No, Minmay. It's too dangerous.\I'll be fine. I'll be right back!\Be careful!\All ships have completed preparations for barrage!\Good. Begin firing, and have the Reguld platoons move in.\Capture the enemy battleship!\What was that?!\I'm not sure, but I think it was an enemy attack. response:	It looks like the city got hit pretty hard, huh?
context: I'll be fine. I'll be right back!\Be careful!\All ships have completed preparations for barrage!\Good. Begin firing, and have the Reguld platoons move in.\Capture the enemy battleship!\What was that?!\I'm not sure, but I think it was an enemy attack.\It looks like the city got hit pretty hard, huh? response:	I'm worried about that girl and her family. Wanna go take a look?
context: Be careful!\All ships have completed preparations for barrage!\Good. Begin firing, and have the Reguld platoons move in.\Capture the enemy battleship!\What was that?!\I'm not sure, but I think it was an enemy attack.\It looks like the city got hit pretty hard, huh?\I'm worried about that girl and her family. Wanna go take a look? response:	Okay.
context: All ships have completed preparations for barrage!\Good. Begin firing, and have the Reguld platoons move in.\Capture the enemy battleship!\What was that?!\I'm not sure, but I think it was an enemy attack.\It looks like the city got hit pretty hard, huh?\I'm worried about that girl and her family. Wanna go take a look?\Okay. response:	Details on the attack?
context: Good. Begin firing, and have the Reguld platoons move in.\Capture the enemy battleship!\What was that?!\I'm not sure, but I think it was an enemy attack.\It looks like the city got hit pretty hard, huh?\I'm worried about that girl and her family. Wanna go take a look?\Okay.\Details on the attack? response:	It came from orbit!
context: Capture the enemy battleship!\What was that?!\I'm not sure, but I think it was an enemy attack.\It looks like the city got hit pretty hard, huh?\I'm worried about that girl and her family. Wanna go take a look?\Okay.\Details on the attack?\It came from orbit! response:	They're attacking us from above?
context: What was that?!\I'm not sure, but I think it was an enemy attack.\It looks like the city got hit pretty hard, huh?\I'm worried about that girl and her family. Wanna go take a look?\Okay.\Details on the attack?\It came from orbit!\They're attacking us from above? response:	Captain! Multiple enemy units are closing in. It's a ground assault!
context: I'm not sure, but I think it was an enemy attack.\It looks like the city got hit pretty hard, huh?\I'm worried about that girl and her family. Wanna go take a look?\Okay.\Details on the attack?\It came from orbit!\They're attacking us from above?\Captain! Multiple enemy units are closing in. It's a ground assault! response:	What?!
context: It looks like the city got hit pretty hard, huh?\I'm worried about that girl and her family. Wanna go take a look?\Okay.\Details on the attack?\It came from orbit!\They're attacking us from above?\Captain! Multiple enemy units are closing in. It's a ground assault!\What?! response:	Gunsight One to all Valkyrie units.
context: I'm worried about that girl and her family. Wanna go take a look?\Okay.\Details on the attack?\It came from orbit!\They're attacking us from above?\Captain! Multiple enemy units are closing in. It's a ground assault!\What?!\Gunsight One to all Valkyrie units. response:	Assume B-mode and destroy enemy ground units!
context: Okay.\Details on the attack?\It came from orbit!\They're attacking us from above?\Captain! Multiple enemy units are closing in. It's a ground assault!\What?!\Gunsight One to all Valkyrie units.\Assume B-mode and destroy enemy ground units! response:	Brown Squadron, roger!
context: Details on the attack?\It came from orbit!\They're attacking us from above?\Captain! Multiple enemy units are closing in. It's a ground assault!\What?!\Gunsight One to all Valkyrie units.\Assume B-mode and destroy enemy ground units!\Brown Squadron, roger! response:	Cerulean Squadron, roger!
context: It came from orbit!\They're attacking us from above?\Captain! Multiple enemy units are closing in. It's a ground assault!\What?!\Gunsight One to all Valkyrie units.\Assume B-mode and destroy enemy ground units!\Brown Squadron, roger!\Cerulean Squadron, roger! response:	Hikaru! Take care of the girl!
context: They're attacking us from above?\Captain! Multiple enemy units are closing in. It's a ground assault!\What?!\Gunsight One to all Valkyrie units.\Assume B-mode and destroy enemy ground units!\Brown Squadron, roger!\Cerulean Squadron, roger!\Hikaru! Take care of the girl! response:	How am I supposed to do that?!
context: Captain! Multiple enemy units are closing in. It's a ground assault!\What?!\Gunsight One to all Valkyrie units.\Assume B-mode and destroy enemy ground units!\Brown Squadron, roger!\Cerulean Squadron, roger!\Hikaru! Take care of the girl!\How am I supposed to do that?! response:	Aah, quit whining!
context: What?!\Gunsight One to all Valkyrie units.\Assume B-mode and destroy enemy ground units!\Brown Squadron, roger!\Cerulean Squadron, roger!\Hikaru! Take care of the girl!\How am I supposed to do that?!\Aah, quit whining! response:	I'll draw off the enemy fire! C'mon, move it!
context: Gunsight One to all Valkyrie units.\Assume B-mode and destroy enemy ground units!\Brown Squadron, roger!\Cerulean Squadron, roger!\Hikaru! Take care of the girl!\How am I supposed to do that?!\Aah, quit whining!\I'll draw off the enemy fire! C'mon, move it! response:	Grab on! Hurry!
context: Assume B-mode and destroy enemy ground units!\Brown Squadron, roger!\Cerulean Squadron, roger!\Hikaru! Take care of the girl!\How am I supposed to do that?!\Aah, quit whining!\I'll draw off the enemy fire! C'mon, move it!\Grab on! Hurry! response:	Hey, you're that guy.
context: Brown Squadron, roger!\Cerulean Squadron, roger!\Hikaru! Take care of the girl!\How am I supposed to do that?!\Aah, quit whining!\I'll draw off the enemy fire! C'mon, move it!\Grab on! Hurry!\Hey, you're that guy. response:	Just do it!
context: Cerulean Squadron, roger!\Hikaru! Take care of the girl!\How am I supposed to do that?!\Aah, quit whining!\I'll draw off the enemy fire! C'mon, move it!\Grab on! Hurry!\Hey, you're that guy.\Just do it! response:	All right...
context: Hikaru! Take care of the girl!\How am I supposed to do that?!\Aah, quit whining!\I'll draw off the enemy fire! C'mon, move it!\Grab on! Hurry!\Hey, you're that guy.\Just do it!\All right... response:	Get out of here!
context: How am I supposed to do that?!\Aah, quit whining!\I'll draw off the enemy fire! C'mon, move it!\Grab on! Hurry!\Hey, you're that guy.\Just do it!\All right...\Get out of here! response:	Everything all right?
context: Aah, quit whining!\I'll draw off the enemy fire! C'mon, move it!\Grab on! Hurry!\Hey, you're that guy.\Just do it!\All right...\Get out of here!\Everything all right? response:	I guess I'm okay.
context: I'll draw off the enemy fire! C'mon, move it!\Grab on! Hurry!\Hey, you're that guy.\Just do it!\All right...\Get out of here!\Everything all right?\I guess I'm okay. response:	Not you! The girl!
context: Grab on! Hurry!\Hey, you're that guy.\Just do it!\All right...\Get out of here!\Everything all right?\I guess I'm okay.\Not you! The girl! response:	She's okay... For the time being.
context: Hey, you're that guy.\Just do it!\All right...\Get out of here!\Everything all right?\I guess I'm okay.\Not you! The girl!\She's okay... For the time being. response:	Good! I don't care if YOU die, just be sure that she stays safe.
context: Just do it!\All right...\Get out of here!\Everything all right?\I guess I'm okay.\Not you! The girl!\She's okay... For the time being.\Good! I don't care if YOU die, just be sure that she stays safe. response:	So that's how it is, huh?
context: All right...\Get out of here!\Everything all right?\I guess I'm okay.\Not you! The girl!\She's okay... For the time being.\Good! I don't care if YOU die, just be sure that she stays safe.\So that's how it is, huh? response:	Yup, that's how it is.
context: Get out of here!\Everything all right?\I guess I'm okay.\Not you! The girl!\She's okay... For the time being.\Good! I don't care if YOU die, just be sure that she stays safe.\So that's how it is, huh?\Yup, that's how it is. response:	Well, see you later.
context: Everything all right?\I guess I'm okay.\Not you! The girl!\She's okay... For the time being.\Good! I don't care if YOU die, just be sure that she stays safe.\So that's how it is, huh?\Yup, that's how it is.\Well, see you later. response:	Oh no, I forgot that this plane is a two-seater!
context: I guess I'm okay.\Not you! The girl!\She's okay... For the time being.\Good! I don't care if YOU die, just be sure that she stays safe.\So that's how it is, huh?\Yup, that's how it is.\Well, see you later.\Oh no, I forgot that this plane is a two-seater! response:	Are you all right?
context: Not you! The girl!\She's okay... For the time being.\Good! I don't care if YOU die, just be sure that she stays safe.\So that's how it is, huh?\Yup, that's how it is.\Well, see you later.\Oh no, I forgot that this plane is a two-seater!\Are you all right? response:	Y...Yes.
context: She's okay... For the time being.\Good! I don't care if YOU die, just be sure that she stays safe.\So that's how it is, huh?\Yup, that's how it is.\Well, see you later.\Oh no, I forgot that this plane is a two-seater!\Are you all right?\Y...Yes. response:	Thank you.
context: Good! I don't care if YOU die, just be sure that she stays safe.\So that's how it is, huh?\Yup, that's how it is.\Well, see you later.\Oh no, I forgot that this plane is a two-seater!\Are you all right?\Y...Yes.\Thank you. response:	Whew, that's a relief!
context: So that's how it is, huh?\Yup, that's how it is.\Well, see you later.\Oh no, I forgot that this plane is a two-seater!\Are you all right?\Y...Yes.\Thank you.\Whew, that's a relief! response:	Huh? Oh, no! My hair's a mess!
context: Yup, that's how it is.\Well, see you later.\Oh no, I forgot that this plane is a two-seater!\Are you all right?\Y...Yes.\Thank you.\Whew, that's a relief!\Huh? Oh, no! My hair's a mess! response:	Which is more important, your hair or your life?
context: Well, see you later.\Oh no, I forgot that this plane is a two-seater!\Are you all right?\Y...Yes.\Thank you.\Whew, that's a relief!\Huh? Oh, no! My hair's a mess!\Which is more important, your hair or your life? response:	Huh?
context: Oh no, I forgot that this plane is a two-seater!\Are you all right?\Y...Yes.\Thank you.\Whew, that's a relief!\Huh? Oh, no! My hair's a mess!\Which is more important, your hair or your life?\Huh? response:	My hair, of course!
context: Are you all right?\Y...Yes.\Thank you.\Whew, that's a relief!\Huh? Oh, no! My hair's a mess!\Which is more important, your hair or your life?\Huh?\My hair, of course! response:	I knew it!
context: Y...Yes.\Thank you.\Whew, that's a relief!\Huh? Oh, no! My hair's a mess!\Which is more important, your hair or your life?\Huh?\My hair, of course!\I knew it! response:	It... It can't be!
context: Thank you.\Whew, that's a relief!\Huh? Oh, no! My hair's a mess!\Which is more important, your hair or your life?\Huh?\My hair, of course!\I knew it!\It... It can't be! response:	So now you know.
context: Whew, that's a relief!\Huh? Oh, no! My hair's a mess!\Which is more important, your hair or your life?\Huh?\My hair, of course!\I knew it!\It... It can't be!\So now you know. response:	The Battroids were built to fight these giants.
context: Huh? Oh, no! My hair's a mess!\Which is more important, your hair or your life?\Huh?\My hair, of course!\I knew it!\It... It can't be!\So now you know.\The Battroids were built to fight these giants. response:	That's impossible!
context: Which is more important, your hair or your life?\Huh?\My hair, of course!\I knew it!\It... It can't be!\So now you know.\The Battroids were built to fight these giants.\That's impossible! response:	Still, I had no idea they looked just like humans.
context: Huh?\My hair, of course!\I knew it!\It... It can't be!\So now you know.\The Battroids were built to fight these giants.\That's impossible!\Still, I had no idea they looked just like humans. response:	Rocket engines are standing by and ready to begin liftoff.
context: My hair, of course!\I knew it!\It... It can't be!\So now you know.\The Battroids were built to fight these giants.\That's impossible!\Still, I had no idea they looked just like humans.\Rocket engines are standing by and ready to begin liftoff. response:	Civilian evacuation status?
context: I knew it!\It... It can't be!\So now you know.\The Battroids were built to fight these giants.\That's impossible!\Still, I had no idea they looked just like humans.\Rocket engines are standing by and ready to begin liftoff.\Civilian evacuation status? response:	All the island's civilians have evacuated to the shelters.
context: It... It can't be!\So now you know.\The Battroids were built to fight these giants.\That's impossible!\Still, I had no idea they looked just like humans.\Rocket engines are standing by and ready to begin liftoff.\Civilian evacuation status?\All the island's civilians have evacuated to the shelters. response:	Very well. Fire main rockets. Take us up at once!
context: So now you know.\The Battroids were built to fight these giants.\That's impossible!\Still, I had no idea they looked just like humans.\Rocket engines are standing by and ready to begin liftoff.\Civilian evacuation status?\All the island's civilians have evacuated to the shelters.\Very well. Fire main rockets. Take us up at once! response:	I wonder if it will work this time.
context: The Battroids were built to fight these giants.\That's impossible!\Still, I had no idea they looked just like humans.\Rocket engines are standing by and ready to begin liftoff.\Civilian evacuation status?\All the island's civilians have evacuated to the shelters.\Very well. Fire main rockets. Take us up at once!\I wonder if it will work this time. response:	Don't worry. This propulsion system was made on Earth.
context: That's impossible!\Still, I had no idea they looked just like humans.\Rocket engines are standing by and ready to begin liftoff.\Civilian evacuation status?\All the island's civilians have evacuated to the shelters.\Very well. Fire main rockets. Take us up at once!\I wonder if it will work this time.\Don't worry. This propulsion system was made on Earth. response:	Let's go!
context: Still, I had no idea they looked just like humans.\Rocket engines are standing by and ready to begin liftoff.\Civilian evacuation status?\All the island's civilians have evacuated to the shelters.\Very well. Fire main rockets. Take us up at once!\I wonder if it will work this time.\Don't worry. This propulsion system was made on Earth.\Let's go! response:	Yes, sir!
context: Rocket engines are standing by and ready to begin liftoff.\Civilian evacuation status?\All the island's civilians have evacuated to the shelters.\Very well. Fire main rockets. Take us up at once!\I wonder if it will work this time.\Don't worry. This propulsion system was made on Earth.\Let's go!\Yes, sir! response:	Skull Leader, provide escort for the Macross.
context: Civilian evacuation status?\All the island's civilians have evacuated to the shelters.\Very well. Fire main rockets. Take us up at once!\I wonder if it will work this time.\Don't worry. This propulsion system was made on Earth.\Let's go!\Yes, sir!\Skull Leader, provide escort for the Macross. response:	Roger that. Let's go, Hikaru!
context: All the island's civilians have evacuated to the shelters.\Very well. Fire main rockets. Take us up at once!\I wonder if it will work this time.\Don't worry. This propulsion system was made on Earth.\Let's go!\Yes, sir!\Skull Leader, provide escort for the Macross.\Roger that. Let's go, Hikaru! response:	What's the matter, Hikaru? Take off!
context: Very well. Fire main rockets. Take us up at once!\I wonder if it will work this time.\Don't worry. This propulsion system was made on Earth.\Let's go!\Yes, sir!\Skull Leader, provide escort for the Macross.\Roger that. Let's go, Hikaru!\What's the matter, Hikaru? Take off! response:	Are you coming or not?! Hikaru!
context: I wonder if it will work this time.\Don't worry. This propulsion system was made on Earth.\Let's go!\Yes, sir!\Skull Leader, provide escort for the Macross.\Roger that. Let's go, Hikaru!\What's the matter, Hikaru? Take off!\Are you coming or not?! Hikaru! response:	Through the sudden appearance of the giant alien,...
context: Don't worry. This propulsion system was made on Earth.\Let's go!\Yes, sir!\Skull Leader, provide escort for the Macross.\Roger that. Let's go, Hikaru!\What's the matter, Hikaru? Take off!\Are you coming or not?! Hikaru!\Through the sudden appearance of the giant alien,... response:	and the sight of it being killed before his very eyes,
context: Let's go!\Yes, sir!\Skull Leader, provide escort for the Macross.\Roger that. Let's go, Hikaru!\What's the matter, Hikaru? Take off!\Are you coming or not?! Hikaru!\Through the sudden appearance of the giant alien,...\and the sight of it being killed before his very eyes, response:	Hikaru came to know the meaning of true terror.
context: Yes, sir!\Skull Leader, provide escort for the Macross.\Roger that. Let's go, Hikaru!\What's the matter, Hikaru? Take off!\Are you coming or not?! Hikaru!\Through the sudden appearance of the giant alien,...\and the sight of it being killed before his very eyes,\Hikaru came to know the meaning of true terror. response:	Major Focker's calls went unheard as Hikaru sat, lost in thought.
context: Skull Leader, provide escort for the Macross.\Roger that. Let's go, Hikaru!\What's the matter, Hikaru? Take off!\Are you coming or not?! Hikaru!\Through the sudden appearance of the giant alien,...\and the sight of it being killed before his very eyes,\Hikaru came to know the meaning of true terror.\Major Focker's calls went unheard as Hikaru sat, lost in thought. response:	Faced with the overwhelming power of the enemy forces,
context: Roger that. Let's go, Hikaru!\What's the matter, Hikaru? Take off!\Are you coming or not?! Hikaru!\Through the sudden appearance of the giant alien,...\and the sight of it being killed before his very eyes,\Hikaru came to know the meaning of true terror.\Major Focker's calls went unheard as Hikaru sat, lost in thought.\Faced with the overwhelming power of the enemy forces, response:	Captain Global decides to execute a space fold.
context: What's the matter, Hikaru? Take off!\Are you coming or not?! Hikaru!\Through the sudden appearance of the giant alien,...\and the sight of it being killed before his very eyes,\Hikaru came to know the meaning of true terror.\Major Focker's calls went unheard as Hikaru sat, lost in thought.\Faced with the overwhelming power of the enemy forces,\Captain Global decides to execute a space fold. response:	However, neither the enemy forces nor Captain Global
context: Are you coming or not?! Hikaru!\Through the sudden appearance of the giant alien,...\and the sight of it being killed before his very eyes,\Hikaru came to know the meaning of true terror.\Major Focker's calls went unheard as Hikaru sat, lost in thought.\Faced with the overwhelming power of the enemy forces,\Captain Global decides to execute a space fold.\However, neither the enemy forces nor Captain Global response:	could have known the effects that this first fold would have.
context: Through the sudden appearance of the giant alien,...\and the sight of it being killed before his very eyes,\Hikaru came to know the meaning of true terror.\Major Focker's calls went unheard as Hikaru sat, lost in thought.\Faced with the overwhelming power of the enemy forces,\Captain Global decides to execute a space fold.\However, neither the enemy forces nor Captain Global\could have known the effects that this first fold would have. response:	The Macross will find itself facing an altogether new kind of battle.
context: and the sight of it being killed before his very eyes,\Hikaru came to know the meaning of true terror.\Major Focker's calls went unheard as Hikaru sat, lost in thought.\Faced with the overwhelming power of the enemy forces,\Captain Global decides to execute a space fold.\However, neither the enemy forces nor Captain Global\could have known the effects that this first fold would have.\The Macross will find itself facing an altogether new kind of battle. response:	SPACE FOLD
context: Hikaru came to know the meaning of true terror.\Major Focker's calls went unheard as Hikaru sat, lost in thought.\Faced with the overwhelming power of the enemy forces,\Captain Global decides to execute a space fold.\However, neither the enemy forces nor Captain Global\could have known the effects that this first fold would have.\The Macross will find itself facing an altogether new kind of battle.\SPACE FOLD response:	I won't follow it anymore,
context: Major Focker's calls went unheard as Hikaru sat, lost in thought.\Faced with the overwhelming power of the enemy forces,\Captain Global decides to execute a space fold.\However, neither the enemy forces nor Captain Global\could have known the effects that this first fold would have.\The Macross will find itself facing an altogether new kind of battle.\SPACE FOLD\I won't follow it anymore, response:	the shadow you cast as you run away
context: Faced with the overwhelming power of the enemy forces,\Captain Global decides to execute a space fold.\However, neither the enemy forces nor Captain Global\could have known the effects that this first fold would have.\The Macross will find itself facing an altogether new kind of battle.\SPACE FOLD\I won't follow it anymore,\the shadow you cast as you run away response:	We all keep running until the end,
context: Captain Global decides to execute a space fold.\However, neither the enemy forces nor Captain Global\could have known the effects that this first fold would have.\The Macross will find itself facing an altogether new kind of battle.\SPACE FOLD\I won't follow it anymore,\the shadow you cast as you run away\We all keep running until the end, response:	but we still can't see the goal
context: However, neither the enemy forces nor Captain Global\could have known the effects that this first fold would have.\The Macross will find itself facing an altogether new kind of battle.\SPACE FOLD\I won't follow it anymore,\the shadow you cast as you run away\We all keep running until the end,\but we still can't see the goal response:	What awaits us after today?
context: could have known the effects that this first fold would have.\The Macross will find itself facing an altogether new kind of battle.\SPACE FOLD\I won't follow it anymore,\the shadow you cast as you run away\We all keep running until the end,\but we still can't see the goal\What awaits us after today? response:	What awaits us beyond tomorrow?
context: The Macross will find itself facing an altogether new kind of battle.\SPACE FOLD\I won't follow it anymore,\the shadow you cast as you run away\We all keep running until the end,\but we still can't see the goal\What awaits us after today?\What awaits us beyond tomorrow? response:	Even now, I keep running toward
context: SPACE FOLD\I won't follow it anymore,\the shadow you cast as you run away\We all keep running until the end,\but we still can't see the goal\What awaits us after today?\What awaits us beyond tomorrow?\Even now, I keep running toward response:	the light that shines so far away
