context: Maccachin stole some buns, and they got stuck in his throat. response:	Victor!
context: He's won a ticket to the Grand Prix Final!\How'd you like my free skate, pork cutlet bowl?!\Katsuki Yuri from Japan is in second place after the short program.\He is skating to Yuri on Ice.\I don't want them to think everything Victor's taught me\has been a waste.\I have to prove that by winning.\If I fail here, everything is over. response:	A quadruple toe loop.
context: How'd you like my free skate, pork cutlet bowl?!\Katsuki Yuri from Japan is in second place after the short program.\He is skating to Yuri on Ice.\I don't want them to think everything Victor's taught me\has been a waste.\I have to prove that by winning.\If I fail here, everything is over.\A quadruple toe loop. response:	I popped it!
context: Katsuki Yuri from Japan is in second place after the short program.\He is skating to Yuri on Ice.\I don't want them to think everything Victor's taught me\has been a waste.\I have to prove that by winning.\If I fail here, everything is over.\A quadruple toe loop.\I popped it! response:	What's that pork cutlet bowl doing?
context: He is skating to Yuri on Ice.\I don't want them to think everything Victor's taught me\has been a waste.\I have to prove that by winning.\If I fail here, everything is over.\A quadruple toe loop.\I popped it!\What's that pork cutlet bowl doing? response:	His second jump turned into a single.
context: I don't want them to think everything Victor's taught me\has been a waste.\I have to prove that by winning.\If I fail here, everything is over.\A quadruple toe loop.\I popped it!\What's that pork cutlet bowl doing?\His second jump turned into a single. response:	Crap, crap...
context: has been a waste.\I have to prove that by winning.\If I fail here, everything is over.\A quadruple toe loop.\I popped it!\What's that pork cutlet bowl doing?\His second jump turned into a single.\Crap, crap... response:	Calm down. Calm down!
context: I have to prove that by winning.\If I fail here, everything is over.\A quadruple toe loop.\I popped it!\What's that pork cutlet bowl doing?\His second jump turned into a single.\Crap, crap...\Calm down. Calm down! response:	How do I recover from this?
context: If I fail here, everything is over.\A quadruple toe loop.\I popped it!\What's that pork cutlet bowl doing?\His second jump turned into a single.\Crap, crap...\Calm down. Calm down!\How do I recover from this? response:	Yuri, you tend to flub your jumps when something is on your mind.
context: A quadruple toe loop.\I popped it!\What's that pork cutlet bowl doing?\His second jump turned into a single.\Crap, crap...\Calm down. Calm down!\How do I recover from this?\Yuri, you tend to flub your jumps when something is on your mind. response:	Starting today, I'm your coach.
context: I popped it!\What's that pork cutlet bowl doing?\His second jump turned into a single.\Crap, crap...\Calm down. Calm down!\How do I recover from this?\Yuri, you tend to flub your jumps when something is on your mind.\Starting today, I'm your coach. response:	I'll make you win the Grand Prix Final.
context: What's that pork cutlet bowl doing?\His second jump turned into a single.\Crap, crap...\Calm down. Calm down!\How do I recover from this?\Yuri, you tend to flub your jumps when something is on your mind.\Starting today, I'm your coach.\I'll make you win the Grand Prix Final. response:	How did he know how I felt?
context: His second jump turned into a single.\Crap, crap...\Calm down. Calm down!\How do I recover from this?\Yuri, you tend to flub your jumps when something is on your mind.\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\How did he know how I felt? response:	Until Victor came into my life,
context: Crap, crap...\Calm down. Calm down!\How do I recover from this?\Yuri, you tend to flub your jumps when something is on your mind.\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\How did he know how I felt?\Until Victor came into my life, response:	I could never openly say that I'd win gold,
context: Calm down. Calm down!\How do I recover from this?\Yuri, you tend to flub your jumps when something is on your mind.\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\How did he know how I felt?\Until Victor came into my life,\I could never openly say that I'd win gold, response:	but I never skated with the thought in my mind that I'd lose anyway.
context: How do I recover from this?\Yuri, you tend to flub your jumps when something is on your mind.\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\How did he know how I felt?\Until Victor came into my life,\I could never openly say that I'd win gold,\but I never skated with the thought in my mind that I'd lose anyway. response:	That jump had enough rotations.
context: Yuri, you tend to flub your jumps when something is on your mind.\Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\How did he know how I felt?\Until Victor came into my life,\I could never openly say that I'd win gold,\but I never skated with the thought in my mind that I'd lose anyway.\That jump had enough rotations. response:	Truthfully, I wanted to win gold at last year's Grand Prix Final, too.
context: Starting today, I'm your coach.\I'll make you win the Grand Prix Final.\How did he know how I felt?\Until Victor came into my life,\I could never openly say that I'd win gold,\but I never skated with the thought in my mind that I'd lose anyway.\That jump had enough rotations.\Truthfully, I wanted to win gold at last year's Grand Prix Final, too. response:	Yuri, you're not weak.
context: I'll make you win the Grand Prix Final.\How did he know how I felt?\Until Victor came into my life,\I could never openly say that I'd win gold,\but I never skated with the thought in my mind that I'd lose anyway.\That jump had enough rotations.\Truthfully, I wanted to win gold at last year's Grand Prix Final, too.\Yuri, you're not weak. response:	No one else thinks that, either.
context: How did he know how I felt?\Until Victor came into my life,\I could never openly say that I'd win gold,\but I never skated with the thought in my mind that I'd lose anyway.\That jump had enough rotations.\Truthfully, I wanted to win gold at last year's Grand Prix Final, too.\Yuri, you're not weak.\No one else thinks that, either. response:	Now that I know what love is and am stronger for it,
context: Until Victor came into my life,\I could never openly say that I'd win gold,\but I never skated with the thought in my mind that I'd lose anyway.\That jump had enough rotations.\Truthfully, I wanted to win gold at last year's Grand Prix Final, too.\Yuri, you're not weak.\No one else thinks that, either.\Now that I know what love is and am stronger for it, response:	I'll prove it to myself with a Grand Prix Final gold medal!
context: I could never openly say that I'd win gold,\but I never skated with the thought in my mind that I'd lose anyway.\That jump had enough rotations.\Truthfully, I wanted to win gold at last year's Grand Prix Final, too.\Yuri, you're not weak.\No one else thinks that, either.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal! response:	I was able to come this far because Victor believed in me.
context: but I never skated with the thought in my mind that I'd lose anyway.\That jump had enough rotations.\Truthfully, I wanted to win gold at last year's Grand Prix Final, too.\Yuri, you're not weak.\No one else thinks that, either.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\I was able to come this far because Victor believed in me. response:	A triple loop.
context: That jump had enough rotations.\Truthfully, I wanted to win gold at last year's Grand Prix Final, too.\Yuri, you're not weak.\No one else thinks that, either.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\I was able to come this far because Victor believed in me.\A triple loop. response:	If I end here without making the Grand Prix Final...
context: Truthfully, I wanted to win gold at last year's Grand Prix Final, too.\Yuri, you're not weak.\No one else thinks that, either.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\I was able to come this far because Victor believed in me.\A triple loop.\If I end here without making the Grand Prix Final... response:	He two-footed that landing.
context: Yuri, you're not weak.\No one else thinks that, either.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\I was able to come this far because Victor believed in me.\A triple loop.\If I end here without making the Grand Prix Final...\He two-footed that landing. response:	No.
context: No one else thinks that, either.\Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\I was able to come this far because Victor believed in me.\A triple loop.\If I end here without making the Grand Prix Final...\He two-footed that landing.\No. response:	Don't think right now.
context: Now that I know what love is and am stronger for it,\I'll prove it to myself with a Grand Prix Final gold medal!\I was able to come this far because Victor believed in me.\A triple loop.\If I end here without making the Grand Prix Final...\He two-footed that landing.\No.\Don't think right now. response:	You idiot!
context: I'll prove it to myself with a Grand Prix Final gold medal!\I was able to come this far because Victor believed in me.\A triple loop.\If I end here without making the Grand Prix Final...\He two-footed that landing.\No.\Don't think right now.\You idiot! response:	Hang in
context: I was able to come this far because Victor believed in me.\A triple loop.\If I end here without making the Grand Prix Final...\He two-footed that landing.\No.\Don't think right now.\You idiot!\Hang in response:	Yuri...
context: A triple loop.\If I end here without making the Grand Prix Final...\He two-footed that landing.\No.\Don't think right now.\You idiot!\Hang in\Yuri... response:	All supportive now that you've clinched your spot in the Final, eh?
context: If I end here without making the Grand Prix Final...\He two-footed that landing.\No.\Don't think right now.\You idiot!\Hang in\Yuri...\All supportive now that you've clinched your spot in the Final, eh? response:	Cheer for me, too, will you?
context: He two-footed that landing.\No.\Don't think right now.\You idiot!\Hang in\Yuri...\All supportive now that you've clinched your spot in the Final, eh?\Cheer for me, too, will you? response:	Yuri, let's go.
context: No.\Don't think right now.\You idiot!\Hang in\Yuri...\All supportive now that you've clinched your spot in the Final, eh?\Cheer for me, too, will you?\Yuri, let's go. response:	Yurio looked like he'd kick the bucket on his last three-jump combo.
context: Don't think right now.\You idiot!\Hang in\Yuri...\All supportive now that you've clinched your spot in the Final, eh?\Cheer for me, too, will you?\Yuri, let's go.\Yurio looked like he'd kick the bucket on his last three-jump combo. response:	Idiot! I have more stamina than him!
context: You idiot!\Hang in\Yuri...\All supportive now that you've clinched your spot in the Final, eh?\Cheer for me, too, will you?\Yuri, let's go.\Yurio looked like he'd kick the bucket on his last three-jump combo.\Idiot! I have more stamina than him! response:	A triple axel.
context: Hang in\Yuri...\All supportive now that you've clinched your spot in the Final, eh?\Cheer for me, too, will you?\Yuri, let's go.\Yurio looked like he'd kick the bucket on his last three-jump combo.\Idiot! I have more stamina than him!\A triple axel. response:	Whether Victor were with me or not,
context: Yuri...\All supportive now that you've clinched your spot in the Final, eh?\Cheer for me, too, will you?\Yuri, let's go.\Yurio looked like he'd kick the bucket on his last three-jump combo.\Idiot! I have more stamina than him!\A triple axel.\Whether Victor were with me or not, response:	it would still feel just as tough.
context: All supportive now that you've clinched your spot in the Final, eh?\Cheer for me, too, will you?\Yuri, let's go.\Yurio looked like he'd kick the bucket on his last three-jump combo.\Idiot! I have more stamina than him!\A triple axel.\Whether Victor were with me or not,\it would still feel just as tough. response:	A triple flip.
context: Cheer for me, too, will you?\Yuri, let's go.\Yurio looked like he'd kick the bucket on his last three-jump combo.\Idiot! I have more stamina than him!\A triple axel.\Whether Victor were with me or not,\it would still feel just as tough.\A triple flip. response:	Keep it simple.
context: Yuri, let's go.\Yurio looked like he'd kick the bucket on his last three-jump combo.\Idiot! I have more stamina than him!\A triple axel.\Whether Victor were with me or not,\it would still feel just as tough.\A triple flip.\Keep it simple. response:	I'm the only one who can skate this program with this much appeal.
context: Yurio looked like he'd kick the bucket on his last three-jump combo.\Idiot! I have more stamina than him!\A triple axel.\Whether Victor were with me or not,\it would still feel just as tough.\A triple flip.\Keep it simple.\I'm the only one who can skate this program with this much appeal. response:	A triple axel, single loop, and triple Salchow.
context: Idiot! I have more stamina than him!\A triple axel.\Whether Victor were with me or not,\it would still feel just as tough.\A triple flip.\Keep it simple.\I'm the only one who can skate this program with this much appeal.\A triple axel, single loop, and triple Salchow. response:	A triple Lutz, triple toe loop.
context: A triple axel.\Whether Victor were with me or not,\it would still feel just as tough.\A triple flip.\Keep it simple.\I'm the only one who can skate this program with this much appeal.\A triple axel, single loop, and triple Salchow.\A triple Lutz, triple toe loop. response:	I'm the one who loves this program Victor and I made
context: Whether Victor were with me or not,\it would still feel just as tough.\A triple flip.\Keep it simple.\I'm the only one who can skate this program with this much appeal.\A triple axel, single loop, and triple Salchow.\A triple Lutz, triple toe loop.\I'm the one who loves this program Victor and I made response:	the most in the whole world!
context: it would still feel just as tough.\A triple flip.\Keep it simple.\I'm the only one who can skate this program with this much appeal.\A triple axel, single loop, and triple Salchow.\A triple Lutz, triple toe loop.\I'm the one who loves this program Victor and I made\the most in the whole world! response:	I'm not finished yet.
context: A triple flip.\Keep it simple.\I'm the only one who can skate this program with this much appeal.\A triple axel, single loop, and triple Salchow.\A triple Lutz, triple toe loop.\I'm the one who loves this program Victor and I made\the most in the whole world!\I'm not finished yet. response:	I'll be done when I get the gold with Victor.
context: Keep it simple.\I'm the only one who can skate this program with this much appeal.\A triple axel, single loop, and triple Salchow.\A triple Lutz, triple toe loop.\I'm the one who loves this program Victor and I made\the most in the whole world!\I'm not finished yet.\I'll be done when I get the gold with Victor. response:	You can feel Katsuki Yuri's love, a love he can only express on the ice,
context: I'm the only one who can skate this program with this much appeal.\A triple axel, single loop, and triple Salchow.\A triple Lutz, triple toe loop.\I'm the one who loves this program Victor and I made\the most in the whole world!\I'm not finished yet.\I'll be done when I get the gold with Victor.\You can feel Katsuki Yuri's love, a love he can only express on the ice, response:	in this step sequence.
context: A triple axel, single loop, and triple Salchow.\A triple Lutz, triple toe loop.\I'm the one who loves this program Victor and I made\the most in the whole world!\I'm not finished yet.\I'll be done when I get the gold with Victor.\You can feel Katsuki Yuri's love, a love he can only express on the ice,\in this step sequence. response:	Aw, he had really good flow until the end.
context: A triple Lutz, triple toe loop.\I'm the one who loves this program Victor and I made\the most in the whole world!\I'm not finished yet.\I'll be done when I get the gold with Victor.\You can feel Katsuki Yuri's love, a love he can only express on the ice,\in this step sequence.\Aw, he had really good flow until the end. response:	It's too bad.
context: I'm the one who loves this program Victor and I made\the most in the whole world!\I'm not finished yet.\I'll be done when I get the gold with Victor.\You can feel Katsuki Yuri's love, a love he can only express on the ice,\in this step sequence.\Aw, he had really good flow until the end.\It's too bad. response:	When you think of how it could've been with Victor here,
context: the most in the whole world!\I'm not finished yet.\I'll be done when I get the gold with Victor.\You can feel Katsuki Yuri's love, a love he can only express on the ice,\in this step sequence.\Aw, he had really good flow until the end.\It's too bad.\When you think of how it could've been with Victor here, response:	you really want to see that, right?
context: I'm not finished yet.\I'll be done when I get the gold with Victor.\You can feel Katsuki Yuri's love, a love he can only express on the ice,\in this step sequence.\Aw, he had really good flow until the end.\It's too bad.\When you think of how it could've been with Victor here,\you really want to see that, right? response:	That was the toughest program I've done so far...
context: I'll be done when I get the gold with Victor.\You can feel Katsuki Yuri's love, a love he can only express on the ice,\in this step sequence.\Aw, he had really good flow until the end.\It's too bad.\When you think of how it could've been with Victor here,\you really want to see that, right?\That was the toughest program I've done so far... response:	Hey.
context: You can feel Katsuki Yuri's love, a love he can only express on the ice,\in this step sequence.\Aw, he had really good flow until the end.\It's too bad.\When you think of how it could've been with Victor here,\you really want to see that, right?\That was the toughest program I've done so far...\Hey. response:	You totally failed to take advantage of the program Vitya made for you!
context: in this step sequence.\Aw, he had really good flow until the end.\It's too bad.\When you think of how it could've been with Victor here,\you really want to see that, right?\That was the toughest program I've done so far...\Hey.\You totally failed to take advantage of the program Vitya made for you! response:	Why didn't you practice for the possibility that you might flub a jump?
context: Aw, he had really good flow until the end.\It's too bad.\When you think of how it could've been with Victor here,\you really want to see that, right?\That was the toughest program I've done so far...\Hey.\You totally failed to take advantage of the program Vitya made for you!\Why didn't you practice for the possibility that you might flub a jump? response:	He's just like Victor... A huge lecture at the kiss and cry.
context: It's too bad.\When you think of how it could've been with Victor here,\you really want to see that, right?\That was the toughest program I've done so far...\Hey.\You totally failed to take advantage of the program Vitya made for you!\Why didn't you practice for the possibility that you might flub a jump?\He's just like Victor... A huge lecture at the kiss and cry. response:	Victor never did, either.
context: When you think of how it could've been with Victor here,\you really want to see that, right?\That was the toughest program I've done so far...\Hey.\You totally failed to take advantage of the program Vitya made for you!\Why didn't you practice for the possibility that you might flub a jump?\He's just like Victor... A huge lecture at the kiss and cry.\Victor never did, either. response:	I guess he never learned differently as a coach.
context: you really want to see that, right?\That was the toughest program I've done so far...\Hey.\You totally failed to take advantage of the program Vitya made for you!\Why didn't you practice for the possibility that you might flub a jump?\He's just like Victor... A huge lecture at the kiss and cry.\Victor never did, either.\I guess he never learned differently as a coach. response:	We have Katsuki Yuri's scores.
context: That was the toughest program I've done so far...\Hey.\You totally failed to take advantage of the program Vitya made for you!\Why didn't you practice for the possibility that you might flub a jump?\He's just like Victor... A huge lecture at the kiss and cry.\Victor never did, either.\I guess he never learned differently as a coach.\We have Katsuki Yuri's scores. response:	RK: 3 Katsuki Yuri Total
context: Hey.\You totally failed to take advantage of the program Vitya made for you!\Why didn't you practice for the possibility that you might flub a jump?\He's just like Victor... A huge lecture at the kiss and cry.\Victor never did, either.\I guess he never learned differently as a coach.\We have Katsuki Yuri's scores.\RK: 3 Katsuki Yuri Total response:	His free skate score is 172.87.
context: You totally failed to take advantage of the program Vitya made for you!\Why didn't you practice for the possibility that you might flub a jump?\He's just like Victor... A huge lecture at the kiss and cry.\Victor never did, either.\I guess he never learned differently as a coach.\We have Katsuki Yuri's scores.\RK: 3 Katsuki Yuri Total\His free skate score is 172.87. response:	His total score is 282.84.
context: Why didn't you practice for the possibility that you might flub a jump?\He's just like Victor... A huge lecture at the kiss and cry.\Victor never did, either.\I guess he never learned differently as a coach.\We have Katsuki Yuri's scores.\RK: 3 Katsuki Yuri Total\His free skate score is 172.87.\His total score is 282.84. response:	He's currently in third place.
context: He's just like Victor... A huge lecture at the kiss and cry.\Victor never did, either.\I guess he never learned differently as a coach.\We have Katsuki Yuri's scores.\RK: 3 Katsuki Yuri Total\His free skate score is 172.87.\His total score is 282.84.\He's currently in third place. response:	He may yet advance to the Grand Prix Final,
context: Victor never did, either.\I guess he never learned differently as a coach.\We have Katsuki Yuri's scores.\RK: 3 Katsuki Yuri Total\His free skate score is 172.87.\His total score is 282.84.\He's currently in third place.\He may yet advance to the Grand Prix Final, response:	but we won't know until the end.
context: I guess he never learned differently as a coach.\We have Katsuki Yuri's scores.\RK: 3 Katsuki Yuri Total\His free skate score is 172.87.\His total score is 282.84.\He's currently in third place.\He may yet advance to the Grand Prix Final,\but we won't know until the end. response:	That's a higher score than I expected.
context: We have Katsuki Yuri's scores.\RK: 3 Katsuki Yuri Total\His free skate score is 172.87.\His total score is 282.84.\He's currently in third place.\He may yet advance to the Grand Prix Final,\but we won't know until the end.\That's a higher score than I expected. response:	What's wrong?
context: RK: 3 Katsuki Yuri Total\His free skate score is 172.87.\His total score is 282.84.\He's currently in third place.\He may yet advance to the Grand Prix Final,\but we won't know until the end.\That's a higher score than I expected.\What's wrong? response:	Spasibo.
context: His free skate score is 172.87.\His total score is 282.84.\He's currently in third place.\He may yet advance to the Grand Prix Final,\but we won't know until the end.\That's a higher score than I expected.\What's wrong?\Spasibo. response:	Victor will go back to Russia soon.
context: His total score is 282.84.\He's currently in third place.\He may yet advance to the Grand Prix Final,\but we won't know until the end.\That's a higher score than I expected.\What's wrong?\Spasibo.\Victor will go back to Russia soon. response:	The final competitor is Jean-Jacques Leroy, age 19.
context: He's currently in third place.\He may yet advance to the Grand Prix Final,\but we won't know until the end.\That's a higher score than I expected.\What's wrong?\Spasibo.\Victor will go back to Russia soon.\The final competitor is Jean-Jacques Leroy, age 19. response:	I'm so tired of waiting.
context: He may yet advance to the Grand Prix Final,\but we won't know until the end.\That's a higher score than I expected.\What's wrong?\Spasibo.\Victor will go back to Russia soon.\The final competitor is Jean-Jacques Leroy, age 19.\I'm so tired of waiting. response:	I bet you all agree, right?
context: but we won't know until the end.\That's a higher score than I expected.\What's wrong?\Spasibo.\Victor will go back to Russia soon.\The final competitor is Jean-Jacques Leroy, age 19.\I'm so tired of waiting.\I bet you all agree, right? response:	He is skating to Partizan Hope.
context: That's a higher score than I expected.\What's wrong?\Spasibo.\Victor will go back to Russia soon.\The final competitor is Jean-Jacques Leroy, age 19.\I'm so tired of waiting.\I bet you all agree, right?\He is skating to Partizan Hope. response:	Yuri Katsuki, Victor may have chosen you,
context: What's wrong?\Spasibo.\Victor will go back to Russia soon.\The final competitor is Jean-Jacques Leroy, age 19.\I'm so tired of waiting.\I bet you all agree, right?\He is skating to Partizan Hope.\Yuri Katsuki, Victor may have chosen you, response:	but you're no king.
context: Spasibo.\Victor will go back to Russia soon.\The final competitor is Jean-Jacques Leroy, age 19.\I'm so tired of waiting.\I bet you all agree, right?\He is skating to Partizan Hope.\Yuri Katsuki, Victor may have chosen you,\but you're no king. response:	I can tell that much by your free skate.
context: Victor will go back to Russia soon.\The final competitor is Jean-Jacques Leroy, age 19.\I'm so tired of waiting.\I bet you all agree, right?\He is skating to Partizan Hope.\Yuri Katsuki, Victor may have chosen you,\but you're no king.\I can tell that much by your free skate. response:	I am the only king!
context: The final competitor is Jean-Jacques Leroy, age 19.\I'm so tired of waiting.\I bet you all agree, right?\He is skating to Partizan Hope.\Yuri Katsuki, Victor may have chosen you,\but you're no king.\I can tell that much by your free skate.\I am the only king! response:	A quadruple Salchow.
context: I'm so tired of waiting.\I bet you all agree, right?\He is skating to Partizan Hope.\Yuri Katsuki, Victor may have chosen you,\but you're no king.\I can tell that much by your free skate.\I am the only king!\A quadruple Salchow. response:	Success!
context: I bet you all agree, right?\He is skating to Partizan Hope.\Yuri Katsuki, Victor may have chosen you,\but you're no king.\I can tell that much by your free skate.\I am the only king!\A quadruple Salchow.\Success! response:	He's planned four quads in this program.
context: He is skating to Partizan Hope.\Yuri Katsuki, Victor may have chosen you,\but you're no king.\I can tell that much by your free skate.\I am the only king!\A quadruple Salchow.\Success!\He's planned four quads in this program. response:	If all of them are successful,
context: Yuri Katsuki, Victor may have chosen you,\but you're no king.\I can tell that much by your free skate.\I am the only king!\A quadruple Salchow.\Success!\He's planned four quads in this program.\If all of them are successful, response:	his free skate program
context: but you're no king.\I can tell that much by your free skate.\I am the only king!\A quadruple Salchow.\Success!\He's planned four quads in this program.\If all of them are successful,\his free skate program response:	has the highest technical difficulty among all the skaters.
context: I can tell that much by your free skate.\I am the only king!\A quadruple Salchow.\Success!\He's planned four quads in this program.\If all of them are successful,\his free skate program\has the highest technical difficulty among all the skaters. response:	Next up is a quad-triple combination.
context: I am the only king!\A quadruple Salchow.\Success!\He's planned four quads in this program.\If all of them are successful,\his free skate program\has the highest technical difficulty among all the skaters.\Next up is a quad-triple combination. response:	Quadruple toe loop, triple toe loop.
context: A quadruple Salchow.\Success!\He's planned four quads in this program.\If all of them are successful,\his free skate program\has the highest technical difficulty among all the skaters.\Next up is a quad-triple combination.\Quadruple toe loop, triple toe loop. response:	At Skate Canada, this year's first Grand Prix event,
context: Success!\He's planned four quads in this program.\If all of them are successful,\his free skate program\has the highest technical difficulty among all the skaters.\Next up is a quad-triple combination.\Quadruple toe loop, triple toe loop.\At Skate Canada, this year's first Grand Prix event, response:	he held off Russia's Yuri Plisetsky, winning for the second time.
context: He's planned four quads in this program.\If all of them are successful,\his free skate program\has the highest technical difficulty among all the skaters.\Next up is a quad-triple combination.\Quadruple toe loop, triple toe loop.\At Skate Canada, this year's first Grand Prix event,\he held off Russia's Yuri Plisetsky, winning for the second time. response:	In last year's Grand Prix Final, he finished third.
context: If all of them are successful,\his free skate program\has the highest technical difficulty among all the skaters.\Next up is a quad-triple combination.\Quadruple toe loop, triple toe loop.\At Skate Canada, this year's first Grand Prix event,\he held off Russia's Yuri Plisetsky, winning for the second time.\In last year's Grand Prix Final, he finished third. response:	With Victor Nikiforov absent this season,
context: his free skate program\has the highest technical difficulty among all the skaters.\Next up is a quad-triple combination.\Quadruple toe loop, triple toe loop.\At Skate Canada, this year's first Grand Prix event,\he held off Russia's Yuri Plisetsky, winning for the second time.\In last year's Grand Prix Final, he finished third.\With Victor Nikiforov absent this season, response:	a new prince in the figure skating world has been born.
context: has the highest technical difficulty among all the skaters.\Next up is a quad-triple combination.\Quadruple toe loop, triple toe loop.\At Skate Canada, this year's first Grand Prix event,\he held off Russia's Yuri Plisetsky, winning for the second time.\In last year's Grand Prix Final, he finished third.\With Victor Nikiforov absent this season,\a new prince in the figure skating world has been born. response:	Wrong.
context: Next up is a quad-triple combination.\Quadruple toe loop, triple toe loop.\At Skate Canada, this year's first Grand Prix event,\he held off Russia's Yuri Plisetsky, winning for the second time.\In last year's Grand Prix Final, he finished third.\With Victor Nikiforov absent this season,\a new prince in the figure skating world has been born.\Wrong. response:	I'm no prince.
context: Quadruple toe loop, triple toe loop.\At Skate Canada, this year's first Grand Prix event,\he held off Russia's Yuri Plisetsky, winning for the second time.\In last year's Grand Prix Final, he finished third.\With Victor Nikiforov absent this season,\a new prince in the figure skating world has been born.\Wrong.\I'm no prince. response:	I'm already a king!
context: At Skate Canada, this year's first Grand Prix event,\he held off Russia's Yuri Plisetsky, winning for the second time.\In last year's Grand Prix Final, he finished third.\With Victor Nikiforov absent this season,\a new prince in the figure skating world has been born.\Wrong.\I'm no prince.\I'm already a king! response:	I'll be the hero who stops Victor from becoming the
context: he held off Russia's Yuri Plisetsky, winning for the second time.\In last year's Grand Prix Final, he finished third.\With Victor Nikiforov absent this season,\a new prince in the figure skating world has been born.\Wrong.\I'm no prince.\I'm already a king!\I'll be the hero who stops Victor from becoming the response:	consecutive five-time world champion.
context: In last year's Grand Prix Final, he finished third.\With Victor Nikiforov absent this season,\a new prince in the figure skating world has been born.\Wrong.\I'm no prince.\I'm already a king!\I'll be the hero who stops Victor from becoming the\consecutive five-time world champion. response:	That's what I was thinking when I made this program,
context: With Victor Nikiforov absent this season,\a new prince in the figure skating world has been born.\Wrong.\I'm no prince.\I'm already a king!\I'll be the hero who stops Victor from becoming the\consecutive five-time world champion.\That's what I was thinking when I made this program, response:	but I had no idea Victor would go on break.
context: a new prince in the figure skating world has been born.\Wrong.\I'm no prince.\I'm already a king!\I'll be the hero who stops Victor from becoming the\consecutive five-time world champion.\That's what I was thinking when I made this program,\but I had no idea Victor would go on break. response:	I bet he ran because he was afraid of losing to me.
context: Wrong.\I'm no prince.\I'm already a king!\I'll be the hero who stops Victor from becoming the\consecutive five-time world champion.\That's what I was thinking when I made this program,\but I had no idea Victor would go on break.\I bet he ran because he was afraid of losing to me. response:	That poor guy, Victor Nikiforov!
context: I'm no prince.\I'm already a king!\I'll be the hero who stops Victor from becoming the\consecutive five-time world champion.\That's what I was thinking when I made this program,\but I had no idea Victor would go on break.\I bet he ran because he was afraid of losing to me.\That poor guy, Victor Nikiforov! response:	A triple axel.
context: I'm already a king!\I'll be the hero who stops Victor from becoming the\consecutive five-time world champion.\That's what I was thinking when I made this program,\but I had no idea Victor would go on break.\I bet he ran because he was afraid of losing to me.\That poor guy, Victor Nikiforov!\A triple axel. response:	Dad, Mom,
context: I'll be the hero who stops Victor from becoming the\consecutive five-time world champion.\That's what I was thinking when I made this program,\but I had no idea Victor would go on break.\I bet he ran because he was afraid of losing to me.\That poor guy, Victor Nikiforov!\A triple axel.\Dad, Mom, response:	my precious girlfriend,
context: consecutive five-time world champion.\That's what I was thinking when I made this program,\but I had no idea Victor would go on break.\I bet he ran because he was afraid of losing to me.\That poor guy, Victor Nikiforov!\A triple axel.\Dad, Mom,\my precious girlfriend, response:	the great people of Canada,
context: That's what I was thinking when I made this program,\but I had no idea Victor would go on break.\I bet he ran because he was afraid of losing to me.\That poor guy, Victor Nikiforov!\A triple axel.\Dad, Mom,\my precious girlfriend,\the great people of Canada, response:	and everyone who loves skating...
context: but I had no idea Victor would go on break.\I bet he ran because he was afraid of losing to me.\That poor guy, Victor Nikiforov!\A triple axel.\Dad, Mom,\my precious girlfriend,\the great people of Canada,\and everyone who loves skating... response:	This is for you.
context: I bet he ran because he was afraid of losing to me.\That poor guy, Victor Nikiforov!\A triple axel.\Dad, Mom,\my precious girlfriend,\the great people of Canada,\and everyone who loves skating...\This is for you. response:	This isn't enough love!
context: That poor guy, Victor Nikiforov!\A triple axel.\Dad, Mom,\my precious girlfriend,\the great people of Canada,\and everyone who loves skating...\This is for you.\This isn't enough love! response:	A quadruple Lutz.
context: A triple axel.\Dad, Mom,\my precious girlfriend,\the great people of Canada,\and everyone who loves skating...\This is for you.\This isn't enough love!\A quadruple Lutz. response:	Nailed it!
context: Dad, Mom,\my precious girlfriend,\the great people of Canada,\and everyone who loves skating...\This is for you.\This isn't enough love!\A quadruple Lutz.\Nailed it! response:	It's not just that I land all the jumps with ease.
context: my precious girlfriend,\the great people of Canada,\and everyone who loves skating...\This is for you.\This isn't enough love!\A quadruple Lutz.\Nailed it!\It's not just that I land all the jumps with ease. response:	They're integrated into the overall performance, are they not?
context: the great people of Canada,\and everyone who loves skating...\This is for you.\This isn't enough love!\A quadruple Lutz.\Nailed it!\It's not just that I land all the jumps with ease.\They're integrated into the overall performance, are they not? response:	A triple flip, single loop, and triple Salchow.
