context: The head may err, but never the blood. response:	I don't feel like working.
context: Yo, Dazai, you asshole, hand over that doll!\No way.\It's my insurance.\I'm going to kill him someday.\My shoulder's been stiff for some reason.\Am I working too much?\What was that ability?\I'd expect no less from the Guild! response:	What amazing resilience!
context: No way.\It's my insurance.\I'm going to kill him someday.\My shoulder's been stiff for some reason.\Am I working too much?\What was that ability?\I'd expect no less from the Guild!\What amazing resilience! response:	Get off me!
context: It's my insurance.\I'm going to kill him someday.\My shoulder's been stiff for some reason.\Am I working too much?\What was that ability?\I'd expect no less from the Guild!\What amazing resilience!\Get off me! response:	He's coming, Dazai.
context: I'm going to kill him someday.\My shoulder's been stiff for some reason.\Am I working too much?\What was that ability?\I'd expect no less from the Guild!\What amazing resilience!\Get off me!\He's coming, Dazai. response:	What should we do?
context: My shoulder's been stiff for some reason.\Am I working too much?\What was that ability?\I'd expect no less from the Guild!\What amazing resilience!\Get off me!\He's coming, Dazai.\What should we do? response:	What do you mean?
context: Am I working too much?\What was that ability?\I'd expect no less from the Guild!\What amazing resilience!\Get off me!\He's coming, Dazai.\What should we do?\What do you mean? response:	Bring on any gift, and I'll take care of it with a touch of my finger.
context: What was that ability?\I'd expect no less from the Guild!\What amazing resilience!\Get off me!\He's coming, Dazai.\What should we do?\What do you mean?\Bring on any gift, and I'll take care of it with a touch of my finger. response:	Dazai!
context: I'd expect no less from the Guild!\What amazing resilience!\Get off me!\He's coming, Dazai.\What should we do?\What do you mean?\Bring on any gift, and I'll take care of it with a touch of my finger.\Dazai! response:	A heavy fist.
context: What amazing resilience!\Get off me!\He's coming, Dazai.\What should we do?\What do you mean?\Bring on any gift, and I'll take care of it with a touch of my finger.\Dazai!\A heavy fist. response:	Dazai!
context: Get off me!\He's coming, Dazai.\What should we do?\What do you mean?\Bring on any gift, and I'll take care of it with a touch of my finger.\Dazai!\A heavy fist.\Dazai! response:	Are you all right?
context: He's coming, Dazai.\What should we do?\What do you mean?\Bring on any gift, and I'll take care of it with a touch of my finger.\Dazai!\A heavy fist.\Dazai!\Are you all right? response:	You're hurt pretty badly.
context: What should we do?\What do you mean?\Bring on any gift, and I'll take care of it with a touch of my finger.\Dazai!\A heavy fist.\Dazai!\Are you all right?\You're hurt pretty badly. response:	Those tentacles sure are strange.
context: What do you mean?\Bring on any gift, and I'll take care of it with a touch of my finger.\Dazai!\A heavy fist.\Dazai!\Are you all right?\You're hurt pretty badly.\Those tentacles sure are strange. response:	I can't disable them.
context: Bring on any gift, and I'll take care of it with a touch of my finger.\Dazai!\A heavy fist.\Dazai!\Are you all right?\You're hurt pretty badly.\Those tentacles sure are strange.\I can't disable them. response:	No way.
context: Dazai!\A heavy fist.\Dazai!\Are you all right?\You're hurt pretty badly.\Those tentacles sure are strange.\I can't disable them.\No way. response:	Is that even possible?
context: A heavy fist.\Dazai!\Are you all right?\You're hurt pretty badly.\Those tentacles sure are strange.\I can't disable them.\No way.\Is that even possible? response:	There are no exceptions to my disabling ability.
context: Dazai!\Are you all right?\You're hurt pretty badly.\Those tentacles sure are strange.\I can't disable them.\No way.\Is that even possible?\There are no exceptions to my disabling ability. response:	There's only one possibility.
context: Are you all right?\You're hurt pretty badly.\Those tentacles sure are strange.\I can't disable them.\No way.\Is that even possible?\There are no exceptions to my disabling ability.\There's only one possibility. response:	It's not a gift.
context: You're hurt pretty badly.\Those tentacles sure are strange.\I can't disable them.\No way.\Is that even possible?\There are no exceptions to my disabling ability.\There's only one possibility.\It's not a gift. response:	I should get my work done and go home early.
context: Those tentacles sure are strange.\I can't disable them.\No way.\Is that even possible?\There are no exceptions to my disabling ability.\There's only one possibility.\It's not a gift.\I should get my work done and go home early. response:	Seriously?
context: I can't disable them.\No way.\Is that even possible?\There are no exceptions to my disabling ability.\There's only one possibility.\It's not a gift.\I should get my work done and go home early.\Seriously? response:	That's hilarious, man.
context: No way.\Is that even possible?\There are no exceptions to my disabling ability.\There's only one possibility.\It's not a gift.\I should get my work done and go home early.\Seriously?\That's hilarious, man. response:	If it's not a gift, then what is it?
context: Is that even possible?\There are no exceptions to my disabling ability.\There's only one possibility.\It's not a gift.\I should get my work done and go home early.\Seriously?\That's hilarious, man.\If it's not a gift, then what is it? response:	All right, let's do things the old way.
context: There are no exceptions to my disabling ability.\There's only one possibility.\It's not a gift.\I should get my work done and go home early.\Seriously?\That's hilarious, man.\If it's not a gift, then what is it?\All right, let's do things the old way. response:	How about Operation Shame and Toad?
context: There's only one possibility.\It's not a gift.\I should get my work done and go home early.\Seriously?\That's hilarious, man.\If it's not a gift, then what is it?\All right, let's do things the old way.\How about Operation Shame and Toad? response:	What is this, Rain Beyond the Window?
context: It's not a gift.\I should get my work done and go home early.\Seriously?\That's hilarious, man.\If it's not a gift, then what is it?\All right, let's do things the old way.\How about Operation Shame and Toad?\What is this, Rain Beyond the Window? response:	It's more like the Lie of the Fake Flowers.
context: I should get my work done and go home early.\Seriously?\That's hilarious, man.\If it's not a gift, then what is it?\All right, let's do things the old way.\How about Operation Shame and Toad?\What is this, Rain Beyond the Window?\It's more like the Lie of the Fake Flowers. response:	Chuuya.
context: Seriously?\That's hilarious, man.\If it's not a gift, then what is it?\All right, let's do things the old way.\How about Operation Shame and Toad?\What is this, Rain Beyond the Window?\It's more like the Lie of the Fake Flowers.\Chuuya. response:	When have my tactics ever been wrong?
context: That's hilarious, man.\If it's not a gift, then what is it?\All right, let's do things the old way.\How about Operation Shame and Toad?\What is this, Rain Beyond the Window?\It's more like the Lie of the Fake Flowers.\Chuuya.\When have my tactics ever been wrong? response:	Dammit.
context: If it's not a gift, then what is it?\All right, let's do things the old way.\How about Operation Shame and Toad?\What is this, Rain Beyond the Window?\It's more like the Lie of the Fake Flowers.\Chuuya.\When have my tactics ever been wrong?\Dammit. response:	I'm so hungry.
context: All right, let's do things the old way.\How about Operation Shame and Toad?\What is this, Rain Beyond the Window?\It's more like the Lie of the Fake Flowers.\Chuuya.\When have my tactics ever been wrong?\Dammit.\I'm so hungry. response:	Hey.
context: How about Operation Shame and Toad?\What is this, Rain Beyond the Window?\It's more like the Lie of the Fake Flowers.\Chuuya.\When have my tactics ever been wrong?\Dammit.\I'm so hungry.\Hey. response:	Dispatch the enemy and...
context: What is this, Rain Beyond the Window?\It's more like the Lie of the Fake Flowers.\Chuuya.\When have my tactics ever been wrong?\Dammit.\I'm so hungry.\Hey.\Dispatch the enemy and... response:	go home.
context: It's more like the Lie of the Fake Flowers.\Chuuya.\When have my tactics ever been wrong?\Dammit.\I'm so hungry.\Hey.\Dispatch the enemy and...\go home. response:	The man in front is a decoy?
context: Chuuya.\When have my tactics ever been wrong?\Dammit.\I'm so hungry.\Hey.\Dispatch the enemy and...\go home.\The man in front is a decoy? response:	Gravity manipulation.
context: When have my tactics ever been wrong?\Dammit.\I'm so hungry.\Hey.\Dispatch the enemy and...\go home.\The man in front is a decoy?\Gravity manipulation. response:	My gift controls the gravity of those I touch.
context: Dammit.\I'm so hungry.\Hey.\Dispatch the enemy and...\go home.\The man in front is a decoy?\Gravity manipulation.\My gift controls the gravity of those I touch. response:	Take a nap, octopus.
context: I'm so hungry.\Hey.\Dispatch the enemy and...\go home.\The man in front is a decoy?\Gravity manipulation.\My gift controls the gravity of those I touch.\Take a nap, octopus. response:	Good job.
context: Hey.\Dispatch the enemy and...\go home.\The man in front is a decoy?\Gravity manipulation.\My gift controls the gravity of those I touch.\Take a nap, octopus.\Good job. response:	Bastard, ordering me around like a sheep dog.
context: Dispatch the enemy and...\go home.\The man in front is a decoy?\Gravity manipulation.\My gift controls the gravity of those I touch.\Take a nap, octopus.\Good job.\Bastard, ordering me around like a sheep dog. response:	I'm so sleepy.
context: go home.\The man in front is a decoy?\Gravity manipulation.\My gift controls the gravity of those I touch.\Take a nap, octopus.\Good job.\Bastard, ordering me around like a sheep dog.\I'm so sleepy. response:	I feel lazy.
context: The man in front is a decoy?\Gravity manipulation.\My gift controls the gravity of those I touch.\Take a nap, octopus.\Good job.\Bastard, ordering me around like a sheep dog.\I'm so sleepy.\I feel lazy. response:	I'd use a sheep dog if I had one.
context: Gravity manipulation.\My gift controls the gravity of those I touch.\Take a nap, octopus.\Good job.\Bastard, ordering me around like a sheep dog.\I'm so sleepy.\I feel lazy.\I'd use a sheep dog if I had one. response:	But I don't, so I had to make do with you.
context: My gift controls the gravity of those I touch.\Take a nap, octopus.\Good job.\Bastard, ordering me around like a sheep dog.\I'm so sleepy.\I feel lazy.\I'd use a sheep dog if I had one.\But I don't, so I had to make do with you. response:	But I have to fulfill my contract with Francis.
context: Take a nap, octopus.\Good job.\Bastard, ordering me around like a sheep dog.\I'm so sleepy.\I feel lazy.\I'd use a sheep dog if I had one.\But I don't, so I had to make do with you.\But I have to fulfill my contract with Francis. response:	You...!
context: Good job.\Bastard, ordering me around like a sheep dog.\I'm so sleepy.\I feel lazy.\I'd use a sheep dog if I had one.\But I don't, so I had to make do with you.\But I have to fulfill my contract with Francis.\You...! response:	Dazai!
context: Bastard, ordering me around like a sheep dog.\I'm so sleepy.\I feel lazy.\I'd use a sheep dog if I had one.\But I don't, so I had to make do with you.\But I have to fulfill my contract with Francis.\You...!\Dazai! response:	Dude, what kind of joke is this?
context: I'm so sleepy.\I feel lazy.\I'd use a sheep dog if I had one.\But I don't, so I had to make do with you.\But I have to fulfill my contract with Francis.\You...!\Dazai!\Dude, what kind of joke is this? response:	This is something inhuman.
context: I feel lazy.\I'd use a sheep dog if I had one.\But I don't, so I had to make do with you.\But I have to fulfill my contract with Francis.\You...!\Dazai!\Dude, what kind of joke is this?\This is something inhuman. response:	You... Your arm...
context: I'd use a sheep dog if I had one.\But I don't, so I had to make do with you.\But I have to fulfill my contract with Francis.\You...!\Dazai!\Dude, what kind of joke is this?\This is something inhuman.\You... Your arm... response:	Chuuya, there's something I want you to hear before I die.
context: But I don't, so I had to make do with you.\But I have to fulfill my contract with Francis.\You...!\Dazai!\Dude, what kind of joke is this?\This is something inhuman.\You... Your arm...\Chuuya, there's something I want you to hear before I die. response:	What the hell?
context: But I have to fulfill my contract with Francis.\You...!\Dazai!\Dude, what kind of joke is this?\This is something inhuman.\You... Your arm...\Chuuya, there's something I want you to hear before I die.\What the hell? response:	This isn't your place to
context: You...!\Dazai!\Dude, what kind of joke is this?\This is something inhuman.\You... Your arm...\Chuuya, there's something I want you to hear before I die.\What the hell?\This isn't your place to response:	Boo!
context: Dazai!\Dude, what kind of joke is this?\This is something inhuman.\You... Your arm...\Chuuya, there's something I want you to hear before I die.\What the hell?\This isn't your place to\Boo! response:	I'm going into a fight injured.
context: Dude, what kind of joke is this?\This is something inhuman.\You... Your arm...\Chuuya, there's something I want you to hear before I die.\What the hell?\This isn't your place to\Boo!\I'm going into a fight injured. response:	Why wouldn't I do this?
context: This is something inhuman.\You... Your arm...\Chuuya, there's something I want you to hear before I die.\What the hell?\This isn't your place to\Boo!\I'm going into a fight injured.\Why wouldn't I do this? response:	Why don't you stop wasting time on magic tricks
context: You... Your arm...\Chuuya, there's something I want you to hear before I die.\What the hell?\This isn't your place to\Boo!\I'm going into a fight injured.\Why wouldn't I do this?\Why don't you stop wasting time on magic tricks response:	and start thinking about how we're going to deal with that nightmare?
context: Chuuya, there's something I want you to hear before I die.\What the hell?\This isn't your place to\Boo!\I'm going into a fight injured.\Why wouldn't I do this?\Why don't you stop wasting time on magic tricks\and start thinking about how we're going to deal with that nightmare? response:	No way.
context: What the hell?\This isn't your place to\Boo!\I'm going into a fight injured.\Why wouldn't I do this?\Why don't you stop wasting time on magic tricks\and start thinking about how we're going to deal with that nightmare?\No way. response:	Let's just give up and die.
context: This isn't your place to\Boo!\I'm going into a fight injured.\Why wouldn't I do this?\Why don't you stop wasting time on magic tricks\and start thinking about how we're going to deal with that nightmare?\No way.\Let's just give up and die. response:	We only have one more course of action.
context: Boo!\I'm going into a fight injured.\Why wouldn't I do this?\Why don't you stop wasting time on magic tricks\and start thinking about how we're going to deal with that nightmare?\No way.\Let's just give up and die.\We only have one more course of action. response:	Don't tell me...
context: I'm going into a fight injured.\Why wouldn't I do this?\Why don't you stop wasting time on magic tricks\and start thinking about how we're going to deal with that nightmare?\No way.\Let's just give up and die.\We only have one more course of action.\Don't tell me... response:	you're going to do something disgraceful.
context: Why wouldn't I do this?\Why don't you stop wasting time on magic tricks\and start thinking about how we're going to deal with that nightmare?\No way.\Let's just give up and die.\We only have one more course of action.\Don't tell me...\you're going to do something disgraceful. response:	It's after we wrecked an entire enemy organization overnight
context: Why don't you stop wasting time on magic tricks\and start thinking about how we're going to deal with that nightmare?\No way.\Let's just give up and die.\We only have one more course of action.\Don't tell me...\you're going to do something disgraceful.\It's after we wrecked an entire enemy organization overnight response:	that we started being called the devastating rivals.
context: and start thinking about how we're going to deal with that nightmare?\No way.\Let's just give up and die.\We only have one more course of action.\Don't tell me...\you're going to do something disgraceful.\It's after we wrecked an entire enemy organization overnight\that we started being called the devastating rivals. response:	But if I'm late to support you, you'll die.
context: No way.\Let's just give up and die.\We only have one more course of action.\Don't tell me...\you're going to do something disgraceful.\It's after we wrecked an entire enemy organization overnight\that we started being called the devastating rivals.\But if I'm late to support you, you'll die. response:	I'll let you choose.
context: Let's just give up and die.\We only have one more course of action.\Don't tell me...\you're going to do something disgraceful.\It's after we wrecked an entire enemy organization overnight\that we started being called the devastating rivals.\But if I'm late to support you, you'll die.\I'll let you choose. response:	You'll let me choose?
context: We only have one more course of action.\Don't tell me...\you're going to do something disgraceful.\It's after we wrecked an entire enemy organization overnight\that we started being called the devastating rivals.\But if I'm late to support you, you'll die.\I'll let you choose.\You'll let me choose? response:	Whenever you say that,
context: Don't tell me...\you're going to do something disgraceful.\It's after we wrecked an entire enemy organization overnight\that we started being called the devastating rivals.\But if I'm late to support you, you'll die.\I'll let you choose.\You'll let me choose?\Whenever you say that, response:	I never actually have another choice.
context: you're going to do something disgraceful.\It's after we wrecked an entire enemy organization overnight\that we started being called the devastating rivals.\But if I'm late to support you, you'll die.\I'll let you choose.\You'll let me choose?\Whenever you say that,\I never actually have another choice. response:	Grantors of dark disgrace,
context: It's after we wrecked an entire enemy organization overnight\that we started being called the devastating rivals.\But if I'm late to support you, you'll die.\I'll let you choose.\You'll let me choose?\Whenever you say that,\I never actually have another choice.\Grantors of dark disgrace, response:	you need not wake me again.
context: that we started being called the devastating rivals.\But if I'm late to support you, you'll die.\I'll let you choose.\You'll let me choose?\Whenever you say that,\I never actually have another choice.\Grantors of dark disgrace,\you need not wake me again. response:	What the hell is that?
context: But if I'm late to support you, you'll die.\I'll let you choose.\You'll let me choose?\Whenever you say that,\I never actually have another choice.\Grantors of dark disgrace,\you need not wake me again.\What the hell is that? response:	Are you curious, Guild worker ant?
context: I'll let you choose.\You'll let me choose?\Whenever you say that,\I never actually have another choice.\Grantors of dark disgrace,\you need not wake me again.\What the hell is that?\Are you curious, Guild worker ant? response:	That's the true form of Chuuya's gift.
context: You'll let me choose?\Whenever you say that,\I never actually have another choice.\Grantors of dark disgrace,\you need not wake me again.\What the hell is that?\Are you curious, Guild worker ant?\That's the true form of Chuuya's gift. response:	Chuuya's corrupted form allows him to manipulate nearby gravitons.
context: Whenever you say that,\I never actually have another choice.\Grantors of dark disgrace,\you need not wake me again.\What the hell is that?\Are you curious, Guild worker ant?\That's the true form of Chuuya's gift.\Chuuya's corrupted form allows him to manipulate nearby gravitons. response:	The graviton bomb is a densely-packed
context: I never actually have another choice.\Grantors of dark disgrace,\you need not wake me again.\What the hell is that?\Are you curious, Guild worker ant?\That's the true form of Chuuya's gift.\Chuuya's corrupted form allows him to manipulate nearby gravitons.\The graviton bomb is a densely-packed response:	black hole, swallowing everything in its path.
context: Grantors of dark disgrace,\you need not wake me again.\What the hell is that?\Are you curious, Guild worker ant?\That's the true form of Chuuya's gift.\Chuuya's corrupted form allows him to manipulate nearby gravitons.\The graviton bomb is a densely-packed\black hole, swallowing everything in its path. response:	But he has no control over this ability,
context: you need not wake me again.\What the hell is that?\Are you curious, Guild worker ant?\That's the true form of Chuuya's gift.\Chuuya's corrupted form allows him to manipulate nearby gravitons.\The graviton bomb is a densely-packed\black hole, swallowing everything in its path.\But he has no control over this ability, response:	so his rage continues until he consumes all his energy and dies.
context: What the hell is that?\Are you curious, Guild worker ant?\That's the true form of Chuuya's gift.\Chuuya's corrupted form allows him to manipulate nearby gravitons.\The graviton bomb is a densely-packed\black hole, swallowing everything in its path.\But he has no control over this ability,\so his rage continues until he consumes all his energy and dies. response:	But just what is that thing, anyway?
context: Are you curious, Guild worker ant?\That's the true form of Chuuya's gift.\Chuuya's corrupted form allows him to manipulate nearby gravitons.\The graviton bomb is a densely-packed\black hole, swallowing everything in its path.\But he has no control over this ability,\so his rage continues until he consumes all his energy and dies.\But just what is that thing, anyway? response:	No matter how much he chips away at it, it just regenerates immediately.
context: That's the true form of Chuuya's gift.\Chuuya's corrupted form allows him to manipulate nearby gravitons.\The graviton bomb is a densely-packed\black hole, swallowing everything in its path.\But he has no control over this ability,\so his rage continues until he consumes all his energy and dies.\But just what is that thing, anyway?\No matter how much he chips away at it, it just regenerates immediately. response:	You must know what it truly is, given that you're his partner.
context: Chuuya's corrupted form allows him to manipulate nearby gravitons.\The graviton bomb is a densely-packed\black hole, swallowing everything in its path.\But he has no control over this ability,\so his rage continues until he consumes all his energy and dies.\But just what is that thing, anyway?\No matter how much he chips away at it, it just regenerates immediately.\You must know what it truly is, given that you're his partner. response:	Who knows?
context: The graviton bomb is a densely-packed\black hole, swallowing everything in its path.\But he has no control over this ability,\so his rage continues until he consumes all his energy and dies.\But just what is that thing, anyway?\No matter how much he chips away at it, it just regenerates immediately.\You must know what it truly is, given that you're his partner.\Who knows? response:	Why would I tell you, even if I did?
context: black hole, swallowing everything in its path.\But he has no control over this ability,\so his rage continues until he consumes all his energy and dies.\But just what is that thing, anyway?\No matter how much he chips away at it, it just regenerates immediately.\You must know what it truly is, given that you're his partner.\Who knows?\Why would I tell you, even if I did? response:	This is bad.
context: But he has no control over this ability,\so his rage continues until he consumes all his energy and dies.\But just what is that thing, anyway?\No matter how much he chips away at it, it just regenerates immediately.\You must know what it truly is, given that you're his partner.\Who knows?\Why would I tell you, even if I did?\This is bad. response:	Chuuya's body won't last.
context: so his rage continues until he consumes all his energy and dies.\But just what is that thing, anyway?\No matter how much he chips away at it, it just regenerates immediately.\You must know what it truly is, given that you're his partner.\Who knows?\Why would I tell you, even if I did?\This is bad.\Chuuya's body won't last. response:	That's a shame.
context: But just what is that thing, anyway?\No matter how much he chips away at it, it just regenerates immediately.\You must know what it truly is, given that you're his partner.\Who knows?\Why would I tell you, even if I did?\This is bad.\Chuuya's body won't last.\That's a shame. response:	There's no way to destroy Lovecraft from outside when he's in that state.
context: No matter how much he chips away at it, it just regenerates immediately.\You must know what it truly is, given that you're his partner.\Who knows?\Why would I tell you, even if I did?\This is bad.\Chuuya's body won't last.\That's a shame.\There's no way to destroy Lovecraft from outside when he's in that state. response:	From outside?
context: You must know what it truly is, given that you're his partner.\Who knows?\Why would I tell you, even if I did?\This is bad.\Chuuya's body won't last.\That's a shame.\There's no way to destroy Lovecraft from outside when he's in that state.\From outside? response:	So you can get him from inside.
context: Who knows?\Why would I tell you, even if I did?\This is bad.\Chuuya's body won't last.\That's a shame.\There's no way to destroy Lovecraft from outside when he's in that state.\From outside?\So you can get him from inside. response:	Finish him, Chuuya.
context: Why would I tell you, even if I did?\This is bad.\Chuuya's body won't last.\That's a shame.\There's no way to destroy Lovecraft from outside when he's in that state.\From outside?\So you can get him from inside.\Finish him, Chuuya. response:	You annihilated the enemy.
context: This is bad.\Chuuya's body won't last.\That's a shame.\There's no way to destroy Lovecraft from outside when he's in that state.\From outside?\So you can get him from inside.\Finish him, Chuuya.\You annihilated the enemy. response:	Take a break, Chuuya.
context: Chuuya's body won't last.\That's a shame.\There's no way to destroy Lovecraft from outside when he's in that state.\From outside?\So you can get him from inside.\Finish him, Chuuya.\You annihilated the enemy.\Take a break, Chuuya. response:	I told you to stop me as soon as it was over.
context: That's a shame.\There's no way to destroy Lovecraft from outside when he's in that state.\From outside?\So you can get him from inside.\Finish him, Chuuya.\You annihilated the enemy.\Take a break, Chuuya.\I told you to stop me as soon as it was over. response:	I was going to, but it was entertaining, so I had to watch.
context: There's no way to destroy Lovecraft from outside when he's in that state.\From outside?\So you can get him from inside.\Finish him, Chuuya.\You annihilated the enemy.\Take a break, Chuuya.\I told you to stop me as soon as it was over.\I was going to, but it was entertaining, so I had to watch. response:	I used Corruption because I trusted you.
context: From outside?\So you can get him from inside.\Finish him, Chuuya.\You annihilated the enemy.\Take a break, Chuuya.\I told you to stop me as soon as it was over.\I was going to, but it was entertaining, so I had to watch.\I used Corruption because I trusted you. response:	You...
context: So you can get him from inside.\Finish him, Chuuya.\You annihilated the enemy.\Take a break, Chuuya.\I told you to stop me as soon as it was over.\I was going to, but it was entertaining, so I had to watch.\I used Corruption because I trusted you.\You... response:	better take me...
context: Finish him, Chuuya.\You annihilated the enemy.\Take a break, Chuuya.\I told you to stop me as soon as it was over.\I was going to, but it was entertaining, so I had to watch.\I used Corruption because I trusted you.\You...\better take me... response:	to the extraction point.
context: You annihilated the enemy.\Take a break, Chuuya.\I told you to stop me as soon as it was over.\I was going to, but it was entertaining, so I had to watch.\I used Corruption because I trusted you.\You...\better take me...\to the extraction point. response:	You got it, buddy.
context: Take a break, Chuuya.\I told you to stop me as soon as it was over.\I was going to, but it was entertaining, so I had to watch.\I used Corruption because I trusted you.\You...\better take me...\to the extraction point.\You got it, buddy. response:	I can't believe it.
context: I told you to stop me as soon as it was over.\I was going to, but it was entertaining, so I had to watch.\I used Corruption because I trusted you.\You...\better take me...\to the extraction point.\You got it, buddy.\I can't believe it. response:	The Lovecraft...
context: I was going to, but it was entertaining, so I had to watch.\I used Corruption because I trusted you.\You...\better take me...\to the extraction point.\You got it, buddy.\I can't believe it.\The Lovecraft... response:	Who are you people?
context: I used Corruption because I trusted you.\You...\better take me...\to the extraction point.\You got it, buddy.\I can't believe it.\The Lovecraft...\Who are you people? response:	The bad guys' enemy.
context: You...\better take me...\to the extraction point.\You got it, buddy.\I can't believe it.\The Lovecraft...\Who are you people?\The bad guys' enemy. response:	I'm leaving Chuuya behind, obviously.
context: better take me...\to the extraction point.\You got it, buddy.\I can't believe it.\The Lovecraft...\Who are you people?\The bad guys' enemy.\I'm leaving Chuuya behind, obviously. response:	- Dazai
context: to the extraction point.\You got it, buddy.\I can't believe it.\The Lovecraft...\Who are you people?\The bad guys' enemy.\I'm leaving Chuuya behind, obviously.\- Dazai response:	Episode 22
context: You got it, buddy.\I can't believe it.\The Lovecraft...\Who are you people?\The bad guys' enemy.\I'm leaving Chuuya behind, obviously.\- Dazai\Episode 22 response:	Part 1
context: I can't believe it.\The Lovecraft...\Who are you people?\The bad guys' enemy.\I'm leaving Chuuya behind, obviously.\- Dazai\Episode 22\Part 1 response:	Poe and Rampo
context: The Lovecraft...\Who are you people?\The bad guys' enemy.\I'm leaving Chuuya behind, obviously.\- Dazai\Episode 22\Part 1\Poe and Rampo response:	Part 2
context: Who are you people?\The bad guys' enemy.\I'm leaving Chuuya behind, obviously.\- Dazai\Episode 22\Part 1\Poe and Rampo\Part 2 response:	Moby Dick, Swimming in the Sky
