context: Where am I? response:	I see...
context: Isn't this payload a bit much, though?\Getting close enough to use this in a space battle would be nuts.\It looks like things are going to get nuts.\Are you serious?!\He's not taking this seriously at all!\Inko...\Why are boys always like this?\Inaho, you're in no condition to go into battle. response:	Let us handle it from here!
context: Getting close enough to use this in a space battle would be nuts.\It looks like things are going to get nuts.\Are you serious?!\He's not taking this seriously at all!\Inko...\Why are boys always like this?\Inaho, you're in no condition to go into battle.\Let us handle it from here! response:	I can't do that.
context: It looks like things are going to get nuts.\Are you serious?!\He's not taking this seriously at all!\Inko...\Why are boys always like this?\Inaho, you're in no condition to go into battle.\Let us handle it from here!\I can't do that. response:	Why not? Do you think you're some hotshot ace? That you're special?
context: Are you serious?!\He's not taking this seriously at all!\Inko...\Why are boys always like this?\Inaho, you're in no condition to go into battle.\Let us handle it from here!\I can't do that.\Why not? Do you think you're some hotshot ace? That you're special? response:	I've never thought that about myself.
context: He's not taking this seriously at all!\Inko...\Why are boys always like this?\Inaho, you're in no condition to go into battle.\Let us handle it from here!\I can't do that.\Why not? Do you think you're some hotshot ace? That you're special?\I've never thought that about myself. response:	Darn it, Inaho! Why are you acting like you don't see it?
context: Inko...\Why are boys always like this?\Inaho, you're in no condition to go into battle.\Let us handle it from here!\I can't do that.\Why not? Do you think you're some hotshot ace? That you're special?\I've never thought that about myself.\Darn it, Inaho! Why are you acting like you don't see it? response:	If you go out now, you might not make it back this time!
context: Why are boys always like this?\Inaho, you're in no condition to go into battle.\Let us handle it from here!\I can't do that.\Why not? Do you think you're some hotshot ace? That you're special?\I've never thought that about myself.\Darn it, Inaho! Why are you acting like you don't see it?\If you go out now, you might not make it back this time! response:	There won't be another miracle like last time!
context: Inaho, you're in no condition to go into battle.\Let us handle it from here!\I can't do that.\Why not? Do you think you're some hotshot ace? That you're special?\I've never thought that about myself.\Darn it, Inaho! Why are you acting like you don't see it?\If you go out now, you might not make it back this time!\There won't be another miracle like last time! response:	I don't want... to go through that again.
context: Let us handle it from here!\I can't do that.\Why not? Do you think you're some hotshot ace? That you're special?\I've never thought that about myself.\Darn it, Inaho! Why are you acting like you don't see it?\If you go out now, you might not make it back this time!\There won't be another miracle like last time!\I don't want... to go through that again. response:	I can't be the only one taking it easy.
context: I can't do that.\Why not? Do you think you're some hotshot ace? That you're special?\I've never thought that about myself.\Darn it, Inaho! Why are you acting like you don't see it?\If you go out now, you might not make it back this time!\There won't be another miracle like last time!\I don't want... to go through that again.\I can't be the only one taking it easy. response:	He's right, Inko.
context: Why not? Do you think you're some hotshot ace? That you're special?\I've never thought that about myself.\Darn it, Inaho! Why are you acting like you don't see it?\If you go out now, you might not make it back this time!\There won't be another miracle like last time!\I don't want... to go through that again.\I can't be the only one taking it easy.\He's right, Inko. response:	At a time like this, the kindest thing to do is say nothing and see him off.
context: I've never thought that about myself.\Darn it, Inaho! Why are you acting like you don't see it?\If you go out now, you might not make it back this time!\There won't be another miracle like last time!\I don't want... to go through that again.\I can't be the only one taking it easy.\He's right, Inko.\At a time like this, the kindest thing to do is say nothing and see him off. response:	We need to worry about ourselves right now.
context: Darn it, Inaho! Why are you acting like you don't see it?\If you go out now, you might not make it back this time!\There won't be another miracle like last time!\I don't want... to go through that again.\I can't be the only one taking it easy.\He's right, Inko.\At a time like this, the kindest thing to do is say nothing and see him off.\We need to worry about ourselves right now. response:	Compared to Inaho, our odds of survival are probably lower, you know?
context: If you go out now, you might not make it back this time!\There won't be another miracle like last time!\I don't want... to go through that again.\I can't be the only one taking it easy.\He's right, Inko.\At a time like this, the kindest thing to do is say nothing and see him off.\We need to worry about ourselves right now.\Compared to Inaho, our odds of survival are probably lower, you know? response:	Get real! I'm an ace, too!
context: There won't be another miracle like last time!\I don't want... to go through that again.\I can't be the only one taking it easy.\He's right, Inko.\At a time like this, the kindest thing to do is say nothing and see him off.\We need to worry about ourselves right now.\Compared to Inaho, our odds of survival are probably lower, you know?\Get real! I'm an ace, too! response:	Thanks, Inko. Calm.
context: I don't want... to go through that again.\I can't be the only one taking it easy.\He's right, Inko.\At a time like this, the kindest thing to do is say nothing and see him off.\We need to worry about ourselves right now.\Compared to Inaho, our odds of survival are probably lower, you know?\Get real! I'm an ace, too!\Thanks, Inko. Calm. response:	Don't worry. Everyone will make it back.
context: I can't be the only one taking it easy.\He's right, Inko.\At a time like this, the kindest thing to do is say nothing and see him off.\We need to worry about ourselves right now.\Compared to Inaho, our odds of survival are probably lower, you know?\Get real! I'm an ace, too!\Thanks, Inko. Calm.\Don't worry. Everyone will make it back. response:	My left eye says so.
context: He's right, Inko.\At a time like this, the kindest thing to do is say nothing and see him off.\We need to worry about ourselves right now.\Compared to Inaho, our odds of survival are probably lower, you know?\Get real! I'm an ace, too!\Thanks, Inko. Calm.\Don't worry. Everyone will make it back.\My left eye says so. response:	Master switch, on.
context: At a time like this, the kindest thing to do is say nothing and see him off.\We need to worry about ourselves right now.\Compared to Inaho, our odds of survival are probably lower, you know?\Get real! I'm an ace, too!\Thanks, Inko. Calm.\Don't worry. Everyone will make it back.\My left eye says so.\Master switch, on. response:	Fuel cell batteries, heating. Voltage, check.
context: We need to worry about ourselves right now.\Compared to Inaho, our odds of survival are probably lower, you know?\Get real! I'm an ace, too!\Thanks, Inko. Calm.\Don't worry. Everyone will make it back.\My left eye says so.\Master switch, on.\Fuel cell batteries, heating. Voltage, check. response:	Activating pump. Accumulator pressure, check.
context: Compared to Inaho, our odds of survival are probably lower, you know?\Get real! I'm an ace, too!\Thanks, Inko. Calm.\Don't worry. Everyone will make it back.\My left eye says so.\Master switch, on.\Fuel cell batteries, heating. Voltage, check.\Activating pump. Accumulator pressure, check. response:	Force feedback checking program, start.
context: Get real! I'm an ace, too!\Thanks, Inko. Calm.\Don't worry. Everyone will make it back.\My left eye says so.\Master switch, on.\Fuel cell batteries, heating. Voltage, check.\Activating pump. Accumulator pressure, check.\Force feedback checking program, start. response:	Ejection seat functional. IFF confirmed.
context: Thanks, Inko. Calm.\Don't worry. Everyone will make it back.\My left eye says so.\Master switch, on.\Fuel cell batteries, heating. Voltage, check.\Activating pump. Accumulator pressure, check.\Force feedback checking program, start.\Ejection seat functional. IFF confirmed. response:	Tactical data link, activated.
context: Don't worry. Everyone will make it back.\My left eye says so.\Master switch, on.\Fuel cell batteries, heating. Voltage, check.\Activating pump. Accumulator pressure, check.\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical data link, activated. response:	All systems green.
context: My left eye says so.\Master switch, on.\Fuel cell batteries, heating. Voltage, check.\Activating pump. Accumulator pressure, check.\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical data link, activated.\All systems green. response:	Mustang 00, ready.
context: Master switch, on.\Fuel cell batteries, heating. Voltage, check.\Activating pump. Accumulator pressure, check.\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical data link, activated.\All systems green.\Mustang 00, ready. response:	Grandfather...
context: Fuel cell batteries, heating. Voltage, check.\Activating pump. Accumulator pressure, check.\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical data link, activated.\All systems green.\Mustang 00, ready.\Grandfather... response:	Grandfather...
context: Activating pump. Accumulator pressure, check.\Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical data link, activated.\All systems green.\Mustang 00, ready.\Grandfather...\Grandfather... response:	Do you recognize me?
context: Force feedback checking program, start.\Ejection seat functional. IFF confirmed.\Tactical data link, activated.\All systems green.\Mustang 00, ready.\Grandfather...\Grandfather...\Do you recognize me? response:	Ah, Asseylum...
context: Ejection seat functional. IFF confirmed.\Tactical data link, activated.\All systems green.\Mustang 00, ready.\Grandfather...\Grandfather...\Do you recognize me?\Ah, Asseylum... response:	You look well.
context: Tactical data link, activated.\All systems green.\Mustang 00, ready.\Grandfather...\Grandfather...\Do you recognize me?\Ah, Asseylum...\You look well. response:	I am weary...
context: All systems green.\Mustang 00, ready.\Grandfather...\Grandfather...\Do you recognize me?\Ah, Asseylum...\You look well.\I am weary... response:	How goes the subjugation of Earth?
context: Mustang 00, ready.\Grandfather...\Grandfather...\Do you recognize me?\Ah, Asseylum...\You look well.\I am weary...\How goes the subjugation of Earth? response:	I have come to you today to ask a favor regarding that.
context: Grandfather...\Grandfather...\Do you recognize me?\Ah, Asseylum...\You look well.\I am weary...\How goes the subjugation of Earth?\I have come to you today to ask a favor regarding that. response:	I want you to make peace with Earth.
context: Grandfather...\Do you recognize me?\Ah, Asseylum...\You look well.\I am weary...\How goes the subjugation of Earth?\I have come to you today to ask a favor regarding that.\I want you to make peace with Earth. response:	Please give a direct order to the Orbital Knights to cease fighting.
context: Do you recognize me?\Ah, Asseylum...\You look well.\I am weary...\How goes the subjugation of Earth?\I have come to you today to ask a favor regarding that.\I want you to make peace with Earth.\Please give a direct order to the Orbital Knights to cease fighting. response:	That, I cannot do...
context: Ah, Asseylum...\You look well.\I am weary...\How goes the subjugation of Earth?\I have come to you today to ask a favor regarding that.\I want you to make peace with Earth.\Please give a direct order to the Orbital Knights to cease fighting.\That, I cannot do... response:	Grandfather...
context: You look well.\I am weary...\How goes the subjugation of Earth?\I have come to you today to ask a favor regarding that.\I want you to make peace with Earth.\Please give a direct order to the Orbital Knights to cease fighting.\That, I cannot do...\Grandfather... response:	Earth can never be forgiven...
context: I am weary...\How goes the subjugation of Earth?\I have come to you today to ask a favor regarding that.\I want you to make peace with Earth.\Please give a direct order to the Orbital Knights to cease fighting.\That, I cannot do...\Grandfather...\Earth can never be forgiven... response:	Do not let our assault falter... Bring them under our dominion...
context: How goes the subjugation of Earth?\I have come to you today to ask a favor regarding that.\I want you to make peace with Earth.\Please give a direct order to the Orbital Knights to cease fighting.\That, I cannot do...\Grandfather...\Earth can never be forgiven...\Do not let our assault falter... Bring them under our dominion... response:	Grandfather... Why do you hate Earth so?
context: I have come to you today to ask a favor regarding that.\I want you to make peace with Earth.\Please give a direct order to the Orbital Knights to cease fighting.\That, I cannot do...\Grandfather...\Earth can never be forgiven...\Do not let our assault falter... Bring them under our dominion...\Grandfather... Why do you hate Earth so? response:	Where is Gillzeria?
context: I want you to make peace with Earth.\Please give a direct order to the Orbital Knights to cease fighting.\That, I cannot do...\Grandfather...\Earth can never be forgiven...\Do not let our assault falter... Bring them under our dominion...\Grandfather... Why do you hate Earth so?\Where is Gillzeria? response:	What has become of my son? Conquer the Earth at once!
context: Please give a direct order to the Orbital Knights to cease fighting.\That, I cannot do...\Grandfather...\Earth can never be forgiven...\Do not let our assault falter... Bring them under our dominion...\Grandfather... Why do you hate Earth so?\Where is Gillzeria?\What has become of my son? Conquer the Earth at once! response:	Father passed away... During Heaven's Fall.
context: That, I cannot do...\Grandfather...\Earth can never be forgiven...\Do not let our assault falter... Bring them under our dominion...\Grandfather... Why do you hate Earth so?\Where is Gillzeria?\What has become of my son? Conquer the Earth at once!\Father passed away... During Heaven's Fall. response:	Filthy Terrans, you killed my son... And even my granddaughter, Asseylum.
context: Grandfather...\Earth can never be forgiven...\Do not let our assault falter... Bring them under our dominion...\Grandfather... Why do you hate Earth so?\Where is Gillzeria?\What has become of my son? Conquer the Earth at once!\Father passed away... During Heaven's Fall.\Filthy Terrans, you killed my son... And even my granddaughter, Asseylum. response:	I am right here.
context: Earth can never be forgiven...\Do not let our assault falter... Bring them under our dominion...\Grandfather... Why do you hate Earth so?\Where is Gillzeria?\What has become of my son? Conquer the Earth at once!\Father passed away... During Heaven's Fall.\Filthy Terrans, you killed my son... And even my granddaughter, Asseylum.\I am right here. response:	Vers.
context: Do not let our assault falter... Bring them under our dominion...\Grandfather... Why do you hate Earth so?\Where is Gillzeria?\What has become of my son? Conquer the Earth at once!\Father passed away... During Heaven's Fall.\Filthy Terrans, you killed my son... And even my granddaughter, Asseylum.\I am right here.\Vers. response:	That is what the ancients called this world. What they called Mars.
context: Grandfather... Why do you hate Earth so?\Where is Gillzeria?\What has become of my son? Conquer the Earth at once!\Father passed away... During Heaven's Fall.\Filthy Terrans, you killed my son... And even my granddaughter, Asseylum.\I am right here.\Vers.\That is what the ancients called this world. What they called Mars. response:	Grandfather...
context: Where is Gillzeria?\What has become of my son? Conquer the Earth at once!\Father passed away... During Heaven's Fall.\Filthy Terrans, you killed my son... And even my granddaughter, Asseylum.\I am right here.\Vers.\That is what the ancients called this world. What they called Mars.\Grandfather... response:	Rejoice...
context: What has become of my son? Conquer the Earth at once!\Father passed away... During Heaven's Fall.\Filthy Terrans, you killed my son... And even my granddaughter, Asseylum.\I am right here.\Vers.\That is what the ancients called this world. What they called Mars.\Grandfather...\Rejoice... response:	For I have discovered a Martian superscience...
context: Father passed away... During Heaven's Fall.\Filthy Terrans, you killed my son... And even my granddaughter, Asseylum.\I am right here.\Vers.\That is what the ancients called this world. What they called Mars.\Grandfather...\Rejoice...\For I have discovered a Martian superscience... response:	It is called... Aldnoah.
context: Filthy Terrans, you killed my son... And even my granddaughter, Asseylum.\I am right here.\Vers.\That is what the ancients called this world. What they called Mars.\Grandfather...\Rejoice...\For I have discovered a Martian superscience...\It is called... Aldnoah. response:	Magnificent... Mankind will make even greater strides.
context: I am right here.\Vers.\That is what the ancients called this world. What they called Mars.\Grandfather...\Rejoice...\For I have discovered a Martian superscience...\It is called... Aldnoah.\Magnificent... Mankind will make even greater strides. response:	Aldnoah is the technology we dreamed of... It will make mankind happy.
context: Vers.\That is what the ancients called this world. What they called Mars.\Grandfather...\Rejoice...\For I have discovered a Martian superscience...\It is called... Aldnoah.\Magnificent... Mankind will make even greater strides.\Aldnoah is the technology we dreamed of... It will make mankind happy. response:	Yes.
context: That is what the ancients called this world. What they called Mars.\Grandfather...\Rejoice...\For I have discovered a Martian superscience...\It is called... Aldnoah.\Magnificent... Mankind will make even greater strides.\Aldnoah is the technology we dreamed of... It will make mankind happy.\Yes. response:	It is a great power. It must not be misused.
context: Grandfather...\Rejoice...\For I have discovered a Martian superscience...\It is called... Aldnoah.\Magnificent... Mankind will make even greater strides.\Aldnoah is the technology we dreamed of... It will make mankind happy.\Yes.\It is a great power. It must not be misused. response:	Nurture it with care.
context: Rejoice...\For I have discovered a Martian superscience...\It is called... Aldnoah.\Magnificent... Mankind will make even greater strides.\Aldnoah is the technology we dreamed of... It will make mankind happy.\Yes.\It is a great power. It must not be misused.\Nurture it with care. response:	I will.
context: For I have discovered a Martian superscience...\It is called... Aldnoah.\Magnificent... Mankind will make even greater strides.\Aldnoah is the technology we dreamed of... It will make mankind happy.\Yes.\It is a great power. It must not be misused.\Nurture it with care.\I will. response:	Who is that there? Is that you, Asseylum?
context: It is called... Aldnoah.\Magnificent... Mankind will make even greater strides.\Aldnoah is the technology we dreamed of... It will make mankind happy.\Yes.\It is a great power. It must not be misused.\Nurture it with care.\I will.\Who is that there? Is that you, Asseylum? response:	How you've grown...
context: Magnificent... Mankind will make even greater strides.\Aldnoah is the technology we dreamed of... It will make mankind happy.\Yes.\It is a great power. It must not be misused.\Nurture it with care.\I will.\Who is that there? Is that you, Asseylum?\How you've grown... response:	You've grown beautiful.
context: Aldnoah is the technology we dreamed of... It will make mankind happy.\Yes.\It is a great power. It must not be misused.\Nurture it with care.\I will.\Who is that there? Is that you, Asseylum?\How you've grown...\You've grown beautiful. response:	Become a fine princess. And lead our people to happiness.
context: Yes.\It is a great power. It must not be misused.\Nurture it with care.\I will.\Who is that there? Is that you, Asseylum?\How you've grown...\You've grown beautiful.\Become a fine princess. And lead our people to happiness. response:	I will.
context: It is a great power. It must not be misused.\Nurture it with care.\I will.\Who is that there? Is that you, Asseylum?\How you've grown...\You've grown beautiful.\Become a fine princess. And lead our people to happiness.\I will. response:	Klancain. I ask you to put your rank and all of your connections at my disposal.
context: Nurture it with care.\I will.\Who is that there? Is that you, Asseylum?\How you've grown...\You've grown beautiful.\Become a fine princess. And lead our people to happiness.\I will.\Klancain. I ask you to put your rank and all of your connections at my disposal. response:	Of course, gladly.
context: I will.\Who is that there? Is that you, Asseylum?\How you've grown...\You've grown beautiful.\Become a fine princess. And lead our people to happiness.\I will.\Klancain. I ask you to put your rank and all of your connections at my disposal.\Of course, gladly. response:	Thank you for your loyalty, Count Cruhteo.
context: Who is that there? Is that you, Asseylum?\How you've grown...\You've grown beautiful.\Become a fine princess. And lead our people to happiness.\I will.\Klancain. I ask you to put your rank and all of your connections at my disposal.\Of course, gladly.\Thank you for your loyalty, Count Cruhteo. response:	Martian bastards!
context: How you've grown...\You've grown beautiful.\Become a fine princess. And lead our people to happiness.\I will.\Klancain. I ask you to put your rank and all of your connections at my disposal.\Of course, gladly.\Thank you for your loyalty, Count Cruhteo.\Martian bastards! response:	Glory to Vers!
context: You've grown beautiful.\Become a fine princess. And lead our people to happiness.\I will.\Klancain. I ask you to put your rank and all of your connections at my disposal.\Of course, gladly.\Thank you for your loyalty, Count Cruhteo.\Martian bastards!\Glory to Vers! response:	What the hell is that?!
context: Become a fine princess. And lead our people to happiness.\I will.\Klancain. I ask you to put your rank and all of your connections at my disposal.\Of course, gladly.\Thank you for your loyalty, Count Cruhteo.\Martian bastards!\Glory to Vers!\What the hell is that?! response:	Slice them up!
context: I will.\Klancain. I ask you to put your rank and all of your connections at my disposal.\Of course, gladly.\Thank you for your loyalty, Count Cruhteo.\Martian bastards!\Glory to Vers!\What the hell is that?!\Slice them up! response:	My servants, wipe them out!
context: Klancain. I ask you to put your rank and all of your connections at my disposal.\Of course, gladly.\Thank you for your loyalty, Count Cruhteo.\Martian bastards!\Glory to Vers!\What the hell is that?!\Slice them up!\My servants, wipe them out! response:	Open a channel. I wish to address all Orbital Knights.
context: Of course, gladly.\Thank you for your loyalty, Count Cruhteo.\Martian bastards!\Glory to Vers!\What the hell is that?!\Slice them up!\My servants, wipe them out!\Open a channel. I wish to address all Orbital Knights. response:	Yes, Milord!
context: Thank you for your loyalty, Count Cruhteo.\Martian bastards!\Glory to Vers!\What the hell is that?!\Slice them up!\My servants, wipe them out!\Open a channel. I wish to address all Orbital Knights.\Yes, Milord! response:	An all-out battle has begun between the moonbase and the United Forces of Earth.
context: Martian bastards!\Glory to Vers!\What the hell is that?!\Slice them up!\My servants, wipe them out!\Open a channel. I wish to address all Orbital Knights.\Yes, Milord!\An all-out battle has begun between the moonbase and the United Forces of Earth. response:	My fellow knights who have gone down to the Satellite Belt and to the surface.
context: Glory to Vers!\What the hell is that?!\Slice them up!\My servants, wipe them out!\Open a channel. I wish to address all Orbital Knights.\Yes, Milord!\An all-out battle has begun between the moonbase and the United Forces of Earth.\My fellow knights who have gone down to the Satellite Belt and to the surface. response:	Launch a concerted attack against the UFE in your respective locations!
context: What the hell is that?!\Slice them up!\My servants, wipe them out!\Open a channel. I wish to address all Orbital Knights.\Yes, Milord!\An all-out battle has begun between the moonbase and the United Forces of Earth.\My fellow knights who have gone down to the Satellite Belt and to the surface.\Launch a concerted attack against the UFE in your respective locations! response:	Demonstrate our vast power to the Terrans once again.
context: Slice them up!\My servants, wipe them out!\Open a channel. I wish to address all Orbital Knights.\Yes, Milord!\An all-out battle has begun between the moonbase and the United Forces of Earth.\My fellow knights who have gone down to the Satellite Belt and to the surface.\Launch a concerted attack against the UFE in your respective locations!\Demonstrate our vast power to the Terrans once again. response:	And show the UFE that resistance is
context: My servants, wipe them out!\Open a channel. I wish to address all Orbital Knights.\Yes, Milord!\An all-out battle has begun between the moonbase and the United Forces of Earth.\My fellow knights who have gone down to the Satellite Belt and to the surface.\Launch a concerted attack against the UFE in your respective locations!\Demonstrate our vast power to the Terrans once again.\And show the UFE that resistance is response:	Hear me, Orbital Knights of Vers.
context: Open a channel. I wish to address all Orbital Knights.\Yes, Milord!\An all-out battle has begun between the moonbase and the United Forces of Earth.\My fellow knights who have gone down to the Satellite Belt and to the surface.\Launch a concerted attack against the UFE in your respective locations!\Demonstrate our vast power to the Terrans once again.\And show the UFE that resistance is\Hear me, Orbital Knights of Vers. response:	Princess Asseylum...
context: Yes, Milord!\An all-out battle has begun between the moonbase and the United Forces of Earth.\My fellow knights who have gone down to the Satellite Belt and to the surface.\Launch a concerted attack against the UFE in your respective locations!\Demonstrate our vast power to the Terrans once again.\And show the UFE that resistance is\Hear me, Orbital Knights of Vers.\Princess Asseylum... response:	I am Asseylum Vers Allusia, Princess Royal of the Vers Empire.
context: An all-out battle has begun between the moonbase and the United Forces of Earth.\My fellow knights who have gone down to the Satellite Belt and to the surface.\Launch a concerted attack against the UFE in your respective locations!\Demonstrate our vast power to the Terrans once again.\And show the UFE that resistance is\Hear me, Orbital Knights of Vers.\Princess Asseylum...\I am Asseylum Vers Allusia, Princess Royal of the Vers Empire. response:	The conflict began from a single spark, and has grown into a massive war.
context: My fellow knights who have gone down to the Satellite Belt and to the surface.\Launch a concerted attack against the UFE in your respective locations!\Demonstrate our vast power to the Terrans once again.\And show the UFE that resistance is\Hear me, Orbital Knights of Vers.\Princess Asseylum...\I am Asseylum Vers Allusia, Princess Royal of the Vers Empire.\The conflict began from a single spark, and has grown into a massive war. response:	What's this?
context: Launch a concerted attack against the UFE in your respective locations!\Demonstrate our vast power to the Terrans once again.\And show the UFE that resistance is\Hear me, Orbital Knights of Vers.\Princess Asseylum...\I am Asseylum Vers Allusia, Princess Royal of the Vers Empire.\The conflict began from a single spark, and has grown into a massive war.\What's this? response:	A pirate broadcast?
context: Demonstrate our vast power to the Terrans once again.\And show the UFE that resistance is\Hear me, Orbital Knights of Vers.\Princess Asseylum...\I am Asseylum Vers Allusia, Princess Royal of the Vers Empire.\The conflict began from a single spark, and has grown into a massive war.\What's this?\A pirate broadcast? response:	It's being transmitted on all bands.
context: And show the UFE that resistance is\Hear me, Orbital Knights of Vers.\Princess Asseylum...\I am Asseylum Vers Allusia, Princess Royal of the Vers Empire.\The conflict began from a single spark, and has grown into a massive war.\What's this?\A pirate broadcast?\It's being transmitted on all bands. response:	A multitude of people had myriad hopes and dreams that were at odds,
context: Hear me, Orbital Knights of Vers.\Princess Asseylum...\I am Asseylum Vers Allusia, Princess Royal of the Vers Empire.\The conflict began from a single spark, and has grown into a massive war.\What's this?\A pirate broadcast?\It's being transmitted on all bands.\A multitude of people had myriad hopes and dreams that were at odds, response:	resulting in great tragedy.
context: Princess Asseylum...\I am Asseylum Vers Allusia, Princess Royal of the Vers Empire.\The conflict began from a single spark, and has grown into a massive war.\What's this?\A pirate broadcast?\It's being transmitted on all bands.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy. response:	This is a sad thing indeed.
context: I am Asseylum Vers Allusia, Princess Royal of the Vers Empire.\The conflict began from a single spark, and has grown into a massive war.\What's this?\A pirate broadcast?\It's being transmitted on all bands.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed. response:	This war has brought me great sorrow.
context: The conflict began from a single spark, and has grown into a massive war.\What's this?\A pirate broadcast?\It's being transmitted on all bands.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow. response:	I feel both shame and a deep regret over our use of power that was not meant for us.
context: What's this?\A pirate broadcast?\It's being transmitted on all bands.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power that was not meant for us. response:	I hereby...
context: A pirate broadcast?\It's being transmitted on all bands.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power that was not meant for us.\I hereby... response:	and name myself Empress of the Vers Empire.
context: It's being transmitted on all bands.\A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire. response:	I also take Count Cruhteo, member of the Orbital Knights' 37 Clans,
context: A multitude of people had myriad hopes and dreams that were at odds,\resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans, response:	to be my husband.
context: resulting in great tragedy.\This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans,\to be my husband. response:	We, the imperial family of the Vers Empire, wish to make peace with Earth!
context: This is a sad thing indeed.\This war has brought me great sorrow.\I feel both shame and a deep regret over our use of power that was not meant for us.\I hereby...\and name myself Empress of the Vers Empire.\I also take Count Cruhteo, member of the Orbital Knights' 37 Clans,\to be my husband.\We, the imperial family of the Vers Empire, wish to make peace with Earth! response:	Prayer of the Skies
