context: Fire! response:	Send word to the lords of every domain in Melromarc.
context: Let's go.\Right!\'Kay!\Ugh, those damned demis!\What is happening outside?\Just some flies buzzing around. It's nothing you need to worry about.\We'll get rid of them at once.\Now, will you tell me where the Devil of the Shield is? response:	As I've told you several times, I do not know.
context: Right!\'Kay!\Ugh, those damned demis!\What is happening outside?\Just some flies buzzing around. It's nothing you need to worry about.\We'll get rid of them at once.\Now, will you tell me where the Devil of the Shield is?\As I've told you several times, I do not know. response:	Reichnott?!
context: 'Kay!\Ugh, those damned demis!\What is happening outside?\Just some flies buzzing around. It's nothing you need to worry about.\We'll get rid of them at once.\Now, will you tell me where the Devil of the Shield is?\As I've told you several times, I do not know.\Reichnott?! response:	Where is the Devil of the Shield?
context: Ugh, those damned demis!\What is happening outside?\Just some flies buzzing around. It's nothing you need to worry about.\We'll get rid of them at once.\Now, will you tell me where the Devil of the Shield is?\As I've told you several times, I do not know.\Reichnott?!\Where is the Devil of the Shield? response:	I know no such person.
context: What is happening outside?\Just some flies buzzing around. It's nothing you need to worry about.\We'll get rid of them at once.\Now, will you tell me where the Devil of the Shield is?\As I've told you several times, I do not know.\Reichnott?!\Where is the Devil of the Shield?\I know no such person. response:	The only one I know is called the Shield Hero.
context: Just some flies buzzing around. It's nothing you need to worry about.\We'll get rid of them at once.\Now, will you tell me where the Devil of the Shield is?\As I've told you several times, I do not know.\Reichnott?!\Where is the Devil of the Shield?\I know no such person.\The only one I know is called the Shield Hero. response:	As you see, we're having a hard time getting him to spill the beans.
context: We'll get rid of them at once.\Now, will you tell me where the Devil of the Shield is?\As I've told you several times, I do not know.\Reichnott?!\Where is the Devil of the Shield?\I know no such person.\The only one I know is called the Shield Hero.\As you see, we're having a hard time getting him to spill the beans. response:	I would very much like to avoid getting rough with you if possible.
context: Now, will you tell me where the Devil of the Shield is?\As I've told you several times, I do not know.\Reichnott?!\Where is the Devil of the Shield?\I know no such person.\The only one I know is called the Shield Hero.\As you see, we're having a hard time getting him to spill the beans.\I would very much like to avoid getting rough with you if possible. response:	But as a servant of God,
context: As I've told you several times, I do not know.\Reichnott?!\Where is the Devil of the Shield?\I know no such person.\The only one I know is called the Shield Hero.\As you see, we're having a hard time getting him to spill the beans.\I would very much like to avoid getting rough with you if possible.\But as a servant of God, response:	I must punish anyone who sides with the Devil.
context: Reichnott?!\Where is the Devil of the Shield?\I know no such person.\The only one I know is called the Shield Hero.\As you see, we're having a hard time getting him to spill the beans.\I would very much like to avoid getting rough with you if possible.\But as a servant of God,\I must punish anyone who sides with the Devil. response:	That is my sacred duty.
context: Where is the Devil of the Shield?\I know no such person.\The only one I know is called the Shield Hero.\As you see, we're having a hard time getting him to spill the beans.\I would very much like to avoid getting rough with you if possible.\But as a servant of God,\I must punish anyone who sides with the Devil.\That is my sacred duty. response:	Intruders!
context: I know no such person.\The only one I know is called the Shield Hero.\As you see, we're having a hard time getting him to spill the beans.\I would very much like to avoid getting rough with you if possible.\But as a servant of God,\I must punish anyone who sides with the Devil.\That is my sacred duty.\Intruders! response:	Go wild, Filo.
context: The only one I know is called the Shield Hero.\As you see, we're having a hard time getting him to spill the beans.\I would very much like to avoid getting rough with you if possible.\But as a servant of God,\I must punish anyone who sides with the Devil.\That is my sacred duty.\Intruders!\Go wild, Filo. response:	We'll go rescue Melty in the meantime.
context: As you see, we're having a hard time getting him to spill the beans.\I would very much like to avoid getting rough with you if possible.\But as a servant of God,\I must punish anyone who sides with the Devil.\That is my sacred duty.\Intruders!\Go wild, Filo.\We'll go rescue Melty in the meantime. response:	'Kay!
context: I would very much like to avoid getting rough with you if possible.\But as a servant of God,\I must punish anyone who sides with the Devil.\That is my sacred duty.\Intruders!\Go wild, Filo.\We'll go rescue Melty in the meantime.\'Kay! response:	After them!
context: But as a servant of God,\I must punish anyone who sides with the Devil.\That is my sacred duty.\Intruders!\Go wild, Filo.\We'll go rescue Melty in the meantime.\'Kay!\After them! response:	Mel-chan!
context: I must punish anyone who sides with the Devil.\That is my sacred duty.\Intruders!\Go wild, Filo.\We'll go rescue Melty in the meantime.\'Kay!\After them!\Mel-chan! response:	What's down there?
context: That is my sacred duty.\Intruders!\Go wild, Filo.\We'll go rescue Melty in the meantime.\'Kay!\After them!\Mel-chan!\What's down there? response:	Rescuing Melty takes priority for now.
context: Intruders!\Go wild, Filo.\We'll go rescue Melty in the meantime.\'Kay!\After them!\Mel-chan!\What's down there?\Rescuing Melty takes priority for now. response:	We can come back later.
context: Go wild, Filo.\We'll go rescue Melty in the meantime.\'Kay!\After them!\Mel-chan!\What's down there?\Rescuing Melty takes priority for now.\We can come back later. response:	Okay.
context: We'll go rescue Melty in the meantime.\'Kay!\After them!\Mel-chan!\What's down there?\Rescuing Melty takes priority for now.\We can come back later.\Okay. response:	Found them!
context: 'Kay!\After them!\Mel-chan!\What's down there?\Rescuing Melty takes priority for now.\We can come back later.\Okay.\Found them! response:	Over there!
context: After them!\Mel-chan!\What's down there?\Rescuing Melty takes priority for now.\We can come back later.\Okay.\Found them!\Over there! response:	Chimera Viper Shield Exclusive Skill Venomous Fang (Med)
context: Mel-chan!\What's down there?\Rescuing Melty takes priority for now.\We can come back later.\Okay.\Found them!\Over there!\Chimera Viper Shield Exclusive Skill Venomous Fang (Med) response:	That's a highly potent venom.
context: What's down there?\Rescuing Melty takes priority for now.\We can come back later.\Okay.\Found them!\Over there!\Chimera Viper Shield Exclusive Skill Venomous Fang (Med)\That's a highly potent venom. response:	If you don't use an antidote quickly, you'll die.
context: Rescuing Melty takes priority for now.\We can come back later.\Okay.\Found them!\Over there!\Chimera Viper Shield Exclusive Skill Venomous Fang (Med)\That's a highly potent venom.\If you don't use an antidote quickly, you'll die. response:	But I'm willing to save your life if you listen to me.
context: We can come back later.\Okay.\Found them!\Over there!\Chimera Viper Shield Exclusive Skill Venomous Fang (Med)\That's a highly potent venom.\If you don't use an antidote quickly, you'll die.\But I'm willing to save your life if you listen to me. response:	Where is Melty?
context: Okay.\Found them!\Over there!\Chimera Viper Shield Exclusive Skill Venomous Fang (Med)\That's a highly potent venom.\If you don't use an antidote quickly, you'll die.\But I'm willing to save your life if you listen to me.\Where is Melty? response:	Stay away!
context: Found them!\Over there!\Chimera Viper Shield Exclusive Skill Venomous Fang (Med)\That's a highly potent venom.\If you don't use an antidote quickly, you'll die.\But I'm willing to save your life if you listen to me.\Where is Melty?\Stay away! response:	I love that valiant look in your eyes!
context: Over there!\Chimera Viper Shield Exclusive Skill Venomous Fang (Med)\That's a highly potent venom.\If you don't use an antidote quickly, you'll die.\But I'm willing to save your life if you listen to me.\Where is Melty?\Stay away!\I love that valiant look in your eyes! response:	I want to see it become despair,
context: Chimera Viper Shield Exclusive Skill Venomous Fang (Med)\That's a highly potent venom.\If you don't use an antidote quickly, you'll die.\But I'm willing to save your life if you listen to me.\Where is Melty?\Stay away!\I love that valiant look in your eyes!\I want to see it become despair, response:	and your face warp in agony.
context: That's a highly potent venom.\If you don't use an antidote quickly, you'll die.\But I'm willing to save your life if you listen to me.\Where is Melty?\Stay away!\I love that valiant look in your eyes!\I want to see it become despair,\and your face warp in agony. response:	Let me have a good look at you!
context: If you don't use an antidote quickly, you'll die.\But I'm willing to save your life if you listen to me.\Where is Melty?\Stay away!\I love that valiant look in your eyes!\I want to see it become despair,\and your face warp in agony.\Let me have a good look at you! response:	Tch! What now?
context: But I'm willing to save your life if you listen to me.\Where is Melty?\Stay away!\I love that valiant look in your eyes!\I want to see it become despair,\and your face warp in agony.\Let me have a good look at you!\Tch! What now? response:	Idol-sama! It seems the Devil of the Shield has infiltrated the mansion!
context: Where is Melty?\Stay away!\I love that valiant look in your eyes!\I want to see it become despair,\and your face warp in agony.\Let me have a good look at you!\Tch! What now?\Idol-sama! It seems the Devil of the Shield has infiltrated the mansion! response:	What?
context: Stay away!\I love that valiant look in your eyes!\I want to see it become despair,\and your face warp in agony.\Let me have a good look at you!\Tch! What now?\Idol-sama! It seems the Devil of the Shield has infiltrated the mansion!\What? response:	Mel-chan!
context: I love that valiant look in your eyes!\I want to see it become despair,\and your face warp in agony.\Let me have a good look at you!\Tch! What now?\Idol-sama! It seems the Devil of the Shield has infiltrated the mansion!\What?\Mel-chan! response:	Filo-chan?
context: I want to see it become despair,\and your face warp in agony.\Let me have a good look at you!\Tch! What now?\Idol-sama! It seems the Devil of the Shield has infiltrated the mansion!\What?\Mel-chan!\Filo-chan? response:	Raphtalia-san!
context: and your face warp in agony.\Let me have a good look at you!\Tch! What now?\Idol-sama! It seems the Devil of the Shield has infiltrated the mansion!\What?\Mel-chan!\Filo-chan?\Raphtalia-san! response:	Don't move!
context: Let me have a good look at you!\Tch! What now?\Idol-sama! It seems the Devil of the Shield has infiltrated the mansion!\What?\Mel-chan!\Filo-chan?\Raphtalia-san!\Don't move! response:	Take one step forward, and the princess's head will fly.
context: Tch! What now?\Idol-sama! It seems the Devil of the Shield has infiltrated the mansion!\What?\Mel-chan!\Filo-chan?\Raphtalia-san!\Don't move!\Take one step forward, and the princess's head will fly. response:	So we just have to stand still, right?
context: Idol-sama! It seems the Devil of the Shield has infiltrated the mansion!\What?\Mel-chan!\Filo-chan?\Raphtalia-san!\Don't move!\Take one step forward, and the princess's head will fly.\So we just have to stand still, right? response:	Air Strike Shield!
context: What?\Mel-chan!\Filo-chan?\Raphtalia-san!\Don't move!\Take one step forward, and the princess's head will fly.\So we just have to stand still, right?\Air Strike Shield! response:	Naofumi!
context: Mel-chan!\Filo-chan?\Raphtalia-san!\Don't move!\Take one step forward, and the princess's head will fly.\So we just have to stand still, right?\Air Strike Shield!\Naofumi! response:	Why did you come?
context: Filo-chan?\Raphtalia-san!\Don't move!\Take one step forward, and the princess's head will fly.\So we just have to stand still, right?\Air Strike Shield!\Naofumi!\Why did you come? response:	Because I've never heard of a hero who abandons a child to run away.
context: Raphtalia-san!\Don't move!\Take one step forward, and the princess's head will fly.\So we just have to stand still, right?\Air Strike Shield!\Naofumi!\Why did you come?\Because I've never heard of a hero who abandons a child to run away. response:	Now you've wasted all my efforts.
context: Don't move!\Take one step forward, and the princess's head will fly.\So we just have to stand still, right?\Air Strike Shield!\Naofumi!\Why did you come?\Because I've never heard of a hero who abandons a child to run away.\Now you've wasted all my efforts. response:	But...
context: Take one step forward, and the princess's head will fly.\So we just have to stand still, right?\Air Strike Shield!\Naofumi!\Why did you come?\Because I've never heard of a hero who abandons a child to run away.\Now you've wasted all my efforts.\But... response:	Thanks.
context: So we just have to stand still, right?\Air Strike Shield!\Naofumi!\Why did you come?\Because I've never heard of a hero who abandons a child to run away.\Now you've wasted all my efforts.\But...\Thanks. response:	You dare make a mockery of me?
context: Air Strike Shield!\Naofumi!\Why did you come?\Because I've never heard of a hero who abandons a child to run away.\Now you've wasted all my efforts.\But...\Thanks.\You dare make a mockery of me? response:	Torture isn't enough for the likes of you!
context: Naofumi!\Why did you come?\Because I've never heard of a hero who abandons a child to run away.\Now you've wasted all my efforts.\But...\Thanks.\You dare make a mockery of me?\Torture isn't enough for the likes of you! response:	You will pay with your lives!
context: Why did you come?\Because I've never heard of a hero who abandons a child to run away.\Now you've wasted all my efforts.\But...\Thanks.\You dare make a mockery of me?\Torture isn't enough for the likes of you!\You will pay with your lives! response:	Onee-chan!
context: Because I've never heard of a hero who abandons a child to run away.\Now you've wasted all my efforts.\But...\Thanks.\You dare make a mockery of me?\Torture isn't enough for the likes of you!\You will pay with your lives!\Onee-chan! response:	Wait.
context: Now you've wasted all my efforts.\But...\Thanks.\You dare make a mockery of me?\Torture isn't enough for the likes of you!\You will pay with your lives!\Onee-chan!\Wait. response:	Lowly demi!
context: But...\Thanks.\You dare make a mockery of me?\Torture isn't enough for the likes of you!\You will pay with your lives!\Onee-chan!\Wait.\Lowly demi! response:	W-Wait...
context: Thanks.\You dare make a mockery of me?\Torture isn't enough for the likes of you!\You will pay with your lives!\Onee-chan!\Wait.\Lowly demi!\W-Wait... response:	Don't.
context: You dare make a mockery of me?\Torture isn't enough for the likes of you!\You will pay with your lives!\Onee-chan!\Wait.\Lowly demi!\W-Wait...\Don't. response:	S-Spare me!
context: Torture isn't enough for the likes of you!\You will pay with your lives!\Onee-chan!\Wait.\Lowly demi!\W-Wait...\Don't.\S-Spare me! response:	So many demi-humans begged for their lives just like that,
context: You will pay with your lives!\Onee-chan!\Wait.\Lowly demi!\W-Wait...\Don't.\S-Spare me!\So many demi-humans begged for their lives just like that, response:	but you...
context: Onee-chan!\Wait.\Lowly demi!\W-Wait...\Don't.\S-Spare me!\So many demi-humans begged for their lives just like that,\but you... response:	Raphtalia
