context: Mr. MacPhail's chosen the Ser Veresta? response:	Why won't you obey me?!
context: G-G-Get your mind out of the gutter!\Not that! I'm offering to repair your ripped clothing!\Repair? You mean you can sew, Julis?\It's not my forte... but well, I'm not half bad.\I was just as responsible for this, too, you see.\I don't wish to incur any more debt from you.\Well, if that's the deal, fine...\Is this another thing you learned from your friends? response:	How did you guess?
context: Not that! I'm offering to repair your ripped clothing!\Repair? You mean you can sew, Julis?\It's not my forte... but well, I'm not half bad.\I was just as responsible for this, too, you see.\I don't wish to incur any more debt from you.\Well, if that's the deal, fine...\Is this another thing you learned from your friends?\How did you guess? response:	I just had a feeling, see.
context: Repair? You mean you can sew, Julis?\It's not my forte... but well, I'm not half bad.\I was just as responsible for this, too, you see.\I don't wish to incur any more debt from you.\Well, if that's the deal, fine...\Is this another thing you learned from your friends?\How did you guess?\I just had a feeling, see. response:	Hey, Julis. By any chance, these friends of yours...
context: It's not my forte... but well, I'm not half bad.\I was just as responsible for this, too, you see.\I don't wish to incur any more debt from you.\Well, if that's the deal, fine...\Is this another thing you learned from your friends?\How did you guess?\I just had a feeling, see.\Hey, Julis. By any chance, these friends of yours... response:	Do you mean these kids?
context: I was just as responsible for this, too, you see.\I don't wish to incur any more debt from you.\Well, if that's the deal, fine...\Is this another thing you learned from your friends?\How did you guess?\I just had a feeling, see.\Hey, Julis. By any chance, these friends of yours...\Do you mean these kids? response:	Wh-Why, you! Who said you could look at that?!
context: I don't wish to incur any more debt from you.\Well, if that's the deal, fine...\Is this another thing you learned from your friends?\How did you guess?\I just had a feeling, see.\Hey, Julis. By any chance, these friends of yours...\Do you mean these kids?\Wh-Why, you! Who said you could look at that?! response:	The girl in the middle. That's you, right?
context: Well, if that's the deal, fine...\Is this another thing you learned from your friends?\How did you guess?\I just had a feeling, see.\Hey, Julis. By any chance, these friends of yours...\Do you mean these kids?\Wh-Why, you! Who said you could look at that?!\The girl in the middle. That's you, right? response:	That's right. The people in this photograph are, without question, my friends.
context: Is this another thing you learned from your friends?\How did you guess?\I just had a feeling, see.\Hey, Julis. By any chance, these friends of yours...\Do you mean these kids?\Wh-Why, you! Who said you could look at that?!\The girl in the middle. That's you, right?\That's right. The people in this photograph are, without question, my friends. response:	I may not look it, but as a child, I was a tomboy, you see.
context: How did you guess?\I just had a feeling, see.\Hey, Julis. By any chance, these friends of yours...\Do you mean these kids?\Wh-Why, you! Who said you could look at that?!\The girl in the middle. That's you, right?\That's right. The people in this photograph are, without question, my friends.\I may not look it, but as a child, I was a tomboy, you see. response:	I would often sneak out of the palace without permission.
context: I just had a feeling, see.\Hey, Julis. By any chance, these friends of yours...\Do you mean these kids?\Wh-Why, you! Who said you could look at that?!\The girl in the middle. That's you, right?\That's right. The people in this photograph are, without question, my friends.\I may not look it, but as a child, I was a tomboy, you see.\I would often sneak out of the palace without permission. response:	One day, I lost my way in the slums,
context: Hey, Julis. By any chance, these friends of yours...\Do you mean these kids?\Wh-Why, you! Who said you could look at that?!\The girl in the middle. That's you, right?\That's right. The people in this photograph are, without question, my friends.\I may not look it, but as a child, I was a tomboy, you see.\I would often sneak out of the palace without permission.\One day, I lost my way in the slums, response:	and got dragged into an alley by a group of vulgar thugs.
context: Do you mean these kids?\Wh-Why, you! Who said you could look at that?!\The girl in the middle. That's you, right?\That's right. The people in this photograph are, without question, my friends.\I may not look it, but as a child, I was a tomboy, you see.\I would often sneak out of the palace without permission.\One day, I lost my way in the slums,\and got dragged into an alley by a group of vulgar thugs. response:	There I was, helpless... unable to do anything but sob.
context: Wh-Why, you! Who said you could look at that?!\The girl in the middle. That's you, right?\That's right. The people in this photograph are, without question, my friends.\I may not look it, but as a child, I was a tomboy, you see.\I would often sneak out of the palace without permission.\One day, I lost my way in the slums,\and got dragged into an alley by a group of vulgar thugs.\There I was, helpless... unable to do anything but sob. response:	Then who appeared before me and came to my rescue were those girls.
context: The girl in the middle. That's you, right?\That's right. The people in this photograph are, without question, my friends.\I may not look it, but as a child, I was a tomboy, you see.\I would often sneak out of the palace without permission.\One day, I lost my way in the slums,\and got dragged into an alley by a group of vulgar thugs.\There I was, helpless... unable to do anything but sob.\Then who appeared before me and came to my rescue were those girls. response:	After I returned to the palace, I learned that they were from the orphanage in the slums.
context: That's right. The people in this photograph are, without question, my friends.\I may not look it, but as a child, I was a tomboy, you see.\I would often sneak out of the palace without permission.\One day, I lost my way in the slums,\and got dragged into an alley by a group of vulgar thugs.\There I was, helpless... unable to do anything but sob.\Then who appeared before me and came to my rescue were those girls.\After I returned to the palace, I learned that they were from the orphanage in the slums. response:	After that, I started sneaking out of the palace to follow them around.
context: I may not look it, but as a child, I was a tomboy, you see.\I would often sneak out of the palace without permission.\One day, I lost my way in the slums,\and got dragged into an alley by a group of vulgar thugs.\There I was, helpless... unable to do anything but sob.\Then who appeared before me and came to my rescue were those girls.\After I returned to the palace, I learned that they were from the orphanage in the slums.\After that, I started sneaking out of the palace to follow them around. response:	Did those girls know that you were a princess?
context: I would often sneak out of the palace without permission.\One day, I lost my way in the slums,\and got dragged into an alley by a group of vulgar thugs.\There I was, helpless... unable to do anything but sob.\Then who appeared before me and came to my rescue were those girls.\After I returned to the palace, I learned that they were from the orphanage in the slums.\After that, I started sneaking out of the palace to follow them around.\Did those girls know that you were a princess? response:	No, because at the time I kept that from them.
context: One day, I lost my way in the slums,\and got dragged into an alley by a group of vulgar thugs.\There I was, helpless... unable to do anything but sob.\Then who appeared before me and came to my rescue were those girls.\After I returned to the palace, I learned that they were from the orphanage in the slums.\After that, I started sneaking out of the palace to follow them around.\Did those girls know that you were a princess?\No, because at the time I kept that from them. response:	Though I'm sure the nuns knew.
context: and got dragged into an alley by a group of vulgar thugs.\There I was, helpless... unable to do anything but sob.\Then who appeared before me and came to my rescue were those girls.\After I returned to the palace, I learned that they were from the orphanage in the slums.\After that, I started sneaking out of the palace to follow them around.\Did those girls know that you were a princess?\No, because at the time I kept that from them.\Though I'm sure the nuns knew. response:	Oh, I see.
context: There I was, helpless... unable to do anything but sob.\Then who appeared before me and came to my rescue were those girls.\After I returned to the palace, I learned that they were from the orphanage in the slums.\After that, I started sneaking out of the palace to follow them around.\Did those girls know that you were a princess?\No, because at the time I kept that from them.\Though I'm sure the nuns knew.\Oh, I see. response:	That orphanage had been built with the funds created by my mother, but those funds have run dry,
context: Then who appeared before me and came to my rescue were those girls.\After I returned to the palace, I learned that they were from the orphanage in the slums.\After that, I started sneaking out of the palace to follow them around.\Did those girls know that you were a princess?\No, because at the time I kept that from them.\Though I'm sure the nuns knew.\Oh, I see.\That orphanage had been built with the funds created by my mother, but those funds have run dry, response:	and it's getting harder and harder to keep it running every year.
context: After I returned to the palace, I learned that they were from the orphanage in the slums.\After that, I started sneaking out of the palace to follow them around.\Did those girls know that you were a princess?\No, because at the time I kept that from them.\Though I'm sure the nuns knew.\Oh, I see.\That orphanage had been built with the funds created by my mother, but those funds have run dry,\and it's getting harder and harder to keep it running every year. response:	That's why I came here.
context: After that, I started sneaking out of the palace to follow them around.\Did those girls know that you were a princess?\No, because at the time I kept that from them.\Though I'm sure the nuns knew.\Oh, I see.\That orphanage had been built with the funds created by my mother, but those funds have run dry,\and it's getting harder and harder to keep it running every year.\That's why I came here. response:	What today's children need more than anything... sadly, it's money.
context: Did those girls know that you were a princess?\No, because at the time I kept that from them.\Though I'm sure the nuns knew.\Oh, I see.\That orphanage had been built with the funds created by my mother, but those funds have run dry,\and it's getting harder and harder to keep it running every year.\That's why I came here.\What today's children need more than anything... sadly, it's money. response:	Yeah, but Julis, you're the princess of your country, right?
context: No, because at the time I kept that from them.\Though I'm sure the nuns knew.\Oh, I see.\That orphanage had been built with the funds created by my mother, but those funds have run dry,\and it's getting harder and harder to keep it running every year.\That's why I came here.\What today's children need more than anything... sadly, it's money.\Yeah, but Julis, you're the princess of your country, right? response:	Wasn't there some other way to raise money?
context: Though I'm sure the nuns knew.\Oh, I see.\That orphanage had been built with the funds created by my mother, but those funds have run dry,\and it's getting harder and harder to keep it running every year.\That's why I came here.\What today's children need more than anything... sadly, it's money.\Yeah, but Julis, you're the princess of your country, right?\Wasn't there some other way to raise money? response:	As if I'd have any money at my disposal!
context: Oh, I see.\That orphanage had been built with the funds created by my mother, but those funds have run dry,\and it's getting harder and harder to keep it running every year.\That's why I came here.\What today's children need more than anything... sadly, it's money.\Yeah, but Julis, you're the princess of your country, right?\Wasn't there some other way to raise money?\As if I'd have any money at my disposal! response:	For starters, in a puppet regime of the Integrated Empire Foundation,
context: That orphanage had been built with the funds created by my mother, but those funds have run dry,\and it's getting harder and harder to keep it running every year.\That's why I came here.\What today's children need more than anything... sadly, it's money.\Yeah, but Julis, you're the princess of your country, right?\Wasn't there some other way to raise money?\As if I'd have any money at my disposal!\For starters, in a puppet regime of the Integrated Empire Foundation, response:	I could never secure approval for a welfare project with no hope of revenues!
context: and it's getting harder and harder to keep it running every year.\That's why I came here.\What today's children need more than anything... sadly, it's money.\Yeah, but Julis, you're the princess of your country, right?\Wasn't there some other way to raise money?\As if I'd have any money at my disposal!\For starters, in a puppet regime of the Integrated Empire Foundation,\I could never secure approval for a welfare project with no hope of revenues! response:	That being the case, what else can I do but raise it myself?
context: That's why I came here.\What today's children need more than anything... sadly, it's money.\Yeah, but Julis, you're the princess of your country, right?\Wasn't there some other way to raise money?\As if I'd have any money at my disposal!\For starters, in a puppet regime of the Integrated Empire Foundation,\I could never secure approval for a welfare project with no hope of revenues!\That being the case, what else can I do but raise it myself? response:	Fortunately, I had my skills as a Strega,
context: What today's children need more than anything... sadly, it's money.\Yeah, but Julis, you're the princess of your country, right?\Wasn't there some other way to raise money?\As if I'd have any money at my disposal!\For starters, in a puppet regime of the Integrated Empire Foundation,\I could never secure approval for a welfare project with no hope of revenues!\That being the case, what else can I do but raise it myself?\Fortunately, I had my skills as a Strega, response:	and what better title for a freak than my standing as a princess?
context: Yeah, but Julis, you're the princess of your country, right?\Wasn't there some other way to raise money?\As if I'd have any money at my disposal!\For starters, in a puppet regime of the Integrated Empire Foundation,\I could never secure approval for a welfare project with no hope of revenues!\That being the case, what else can I do but raise it myself?\Fortunately, I had my skills as a Strega,\and what better title for a freak than my standing as a princess? response:	Julis...
context: Wasn't there some other way to raise money?\As if I'd have any money at my disposal!\For starters, in a puppet regime of the Integrated Empire Foundation,\I could never secure approval for a welfare project with no hope of revenues!\That being the case, what else can I do but raise it myself?\Fortunately, I had my skills as a Strega,\and what better title for a freak than my standing as a princess?\Julis... response:	This is a vulgar and insignificant city.
context: As if I'd have any money at my disposal!\For starters, in a puppet regime of the Integrated Empire Foundation,\I could never secure approval for a welfare project with no hope of revenues!\That being the case, what else can I do but raise it myself?\Fortunately, I had my skills as a Strega,\and what better title for a freak than my standing as a princess?\Julis...\This is a vulgar and insignificant city. response:	They make students battle each other,
context: For starters, in a puppet regime of the Integrated Empire Foundation,\I could never secure approval for a welfare project with no hope of revenues!\That being the case, what else can I do but raise it myself?\Fortunately, I had my skills as a Strega,\and what better title for a freak than my standing as a princess?\Julis...\This is a vulgar and insignificant city.\They make students battle each other, response:	and the whole world can't get enough of it.
context: I could never secure approval for a welfare project with no hope of revenues!\That being the case, what else can I do but raise it myself?\Fortunately, I had my skills as a Strega,\and what better title for a freak than my standing as a princess?\Julis...\This is a vulgar and insignificant city.\They make students battle each other,\and the whole world can't get enough of it. response:	Their greed is a maelstrom, sucking in everything around it until it's horribly engorged,
context: That being the case, what else can I do but raise it myself?\Fortunately, I had my skills as a Strega,\and what better title for a freak than my standing as a princess?\Julis...\This is a vulgar and insignificant city.\They make students battle each other,\and the whole world can't get enough of it.\Their greed is a maelstrom, sucking in everything around it until it's horribly engorged, response:	and it will continue to grow unchecked.
context: Fortunately, I had my skills as a Strega,\and what better title for a freak than my standing as a princess?\Julis...\This is a vulgar and insignificant city.\They make students battle each other,\and the whole world can't get enough of it.\Their greed is a maelstrom, sucking in everything around it until it's horribly engorged,\and it will continue to grow unchecked. response:	But that's precisely why it's the city closest to all desires.
context: and what better title for a freak than my standing as a princess?\Julis...\This is a vulgar and insignificant city.\They make students battle each other,\and the whole world can't get enough of it.\Their greed is a maelstrom, sucking in everything around it until it's horribly engorged,\and it will continue to grow unchecked.\But that's precisely why it's the city closest to all desires. response:	I will obtain what I want here.
context: Julis...\This is a vulgar and insignificant city.\They make students battle each other,\and the whole world can't get enough of it.\Their greed is a maelstrom, sucking in everything around it until it's horribly engorged,\and it will continue to grow unchecked.\But that's precisely why it's the city closest to all desires.\I will obtain what I want here. response:	Not because someone asked me to.
context: This is a vulgar and insignificant city.\They make students battle each other,\and the whole world can't get enough of it.\Their greed is a maelstrom, sucking in everything around it until it's horribly engorged,\and it will continue to grow unchecked.\But that's precisely why it's the city closest to all desires.\I will obtain what I want here.\Not because someone asked me to. response:	For my own sake, I will do whatever I want right now!
context: They make students battle each other,\and the whole world can't get enough of it.\Their greed is a maelstrom, sucking in everything around it until it's horribly engorged,\and it will continue to grow unchecked.\But that's precisely why it's the city closest to all desires.\I will obtain what I want here.\Not because someone asked me to.\For my own sake, I will do whatever I want right now! response:	That's my reason for going into battle.
context: and the whole world can't get enough of it.\Their greed is a maelstrom, sucking in everything around it until it's horribly engorged,\and it will continue to grow unchecked.\But that's precisely why it's the city closest to all desires.\I will obtain what I want here.\Not because someone asked me to.\For my own sake, I will do whatever I want right now!\That's my reason for going into battle. response:	All right!
context: Their greed is a maelstrom, sucking in everything around it until it's horribly engorged,\and it will continue to grow unchecked.\But that's precisely why it's the city closest to all desires.\I will obtain what I want here.\Not because someone asked me to.\For my own sake, I will do whatever I want right now!\That's my reason for going into battle.\All right! response:	Now take this and go on home.
context: and it will continue to grow unchecked.\But that's precisely why it's the city closest to all desires.\I will obtain what I want here.\Not because someone asked me to.\For my own sake, I will do whatever I want right now!\That's my reason for going into battle.\All right!\Now take this and go on home. response:	Right, thanks.
context: But that's precisely why it's the city closest to all desires.\I will obtain what I want here.\Not because someone asked me to.\For my own sake, I will do whatever I want right now!\That's my reason for going into battle.\All right!\Now take this and go on home.\Right, thanks. response:	We can call it even now.
context: I will obtain what I want here.\Not because someone asked me to.\For my own sake, I will do whatever I want right now!\That's my reason for going into battle.\All right!\Now take this and go on home.\Right, thanks.\We can call it even now. response:	Sure thing.
context: Not because someone asked me to.\For my own sake, I will do whatever I want right now!\That's my reason for going into battle.\All right!\Now take this and go on home.\Right, thanks.\We can call it even now.\Sure thing. response:	Oh, this is something my friends from the orphanage gave me for my birthday years ago.
context: For my own sake, I will do whatever I want right now!\That's my reason for going into battle.\All right!\Now take this and go on home.\Right, thanks.\We can call it even now.\Sure thing.\Oh, this is something my friends from the orphanage gave me for my birthday years ago. response:	They all took turns embroidering it.
context: That's my reason for going into battle.\All right!\Now take this and go on home.\Right, thanks.\We can call it even now.\Sure thing.\Oh, this is something my friends from the orphanage gave me for my birthday years ago.\They all took turns embroidering it. response:	And this especially heinous part was done by my best friend.
context: All right!\Now take this and go on home.\Right, thanks.\We can call it even now.\Sure thing.\Oh, this is something my friends from the orphanage gave me for my birthday years ago.\They all took turns embroidering it.\And this especially heinous part was done by my best friend. response:	It's my treasure.
context: Now take this and go on home.\Right, thanks.\We can call it even now.\Sure thing.\Oh, this is something my friends from the orphanage gave me for my birthday years ago.\They all took turns embroidering it.\And this especially heinous part was done by my best friend.\It's my treasure. response:	Good morning, Julis.
context: Right, thanks.\We can call it even now.\Sure thing.\Oh, this is something my friends from the orphanage gave me for my birthday years ago.\They all took turns embroidering it.\And this especially heinous part was done by my best friend.\It's my treasure.\Good morning, Julis. response:	Julis?
context: We can call it even now.\Sure thing.\Oh, this is something my friends from the orphanage gave me for my birthday years ago.\They all took turns embroidering it.\And this especially heinous part was done by my best friend.\It's my treasure.\Good morning, Julis.\Julis? response:	Right... Good morning.
context: Sure thing.\Oh, this is something my friends from the orphanage gave me for my birthday years ago.\They all took turns embroidering it.\And this especially heinous part was done by my best friend.\It's my treasure.\Good morning, Julis.\Julis?\Right... Good morning. response:	You're leaving already, Julis?
context: Oh, this is something my friends from the orphanage gave me for my birthday years ago.\They all took turns embroidering it.\And this especially heinous part was done by my best friend.\It's my treasure.\Good morning, Julis.\Julis?\Right... Good morning.\You're leaving already, Julis? response:	I have something to take care of today.
context: They all took turns embroidering it.\And this especially heinous part was done by my best friend.\It's my treasure.\Good morning, Julis.\Julis?\Right... Good morning.\You're leaving already, Julis?\I have something to take care of today. response:	Julis?
context: And this especially heinous part was done by my best friend.\It's my treasure.\Good morning, Julis.\Julis?\Right... Good morning.\You're leaving already, Julis?\I have something to take care of today.\Julis? response:	Looks like she's gone back to her old ways for some reason.
context: It's my treasure.\Good morning, Julis.\Julis?\Right... Good morning.\You're leaving already, Julis?\I have something to take care of today.\Julis?\Looks like she's gone back to her old ways for some reason. response:	Too bad, she was just beginning to thaw!
context: Good morning, Julis.\Julis?\Right... Good morning.\You're leaving already, Julis?\I have something to take care of today.\Julis?\Looks like she's gone back to her old ways for some reason.\Too bad, she was just beginning to thaw! response:	Ayato?
context: Julis?\Right... Good morning.\You're leaving already, Julis?\I have something to take care of today.\Julis?\Looks like she's gone back to her old ways for some reason.\Too bad, she was just beginning to thaw!\Ayato? response:	Is something the matter?
context: Right... Good morning.\You're leaving already, Julis?\I have something to take care of today.\Julis?\Looks like she's gone back to her old ways for some reason.\Too bad, she was just beginning to thaw!\Ayato?\Is something the matter? response:	This morning, the princess was reading a letter from somebody,
context: You're leaving already, Julis?\I have something to take care of today.\Julis?\Looks like she's gone back to her old ways for some reason.\Too bad, she was just beginning to thaw!\Ayato?\Is something the matter?\This morning, the princess was reading a letter from somebody, response:	and now she's run off with an ashen face.
context: I have something to take care of today.\Julis?\Looks like she's gone back to her old ways for some reason.\Too bad, she was just beginning to thaw!\Ayato?\Is something the matter?\This morning, the princess was reading a letter from somebody,\and now she's run off with an ashen face. response:	That might not be a good thing.
context: Julis?\Looks like she's gone back to her old ways for some reason.\Too bad, she was just beginning to thaw!\Ayato?\Is something the matter?\This morning, the princess was reading a letter from somebody,\and now she's run off with an ashen face.\That might not be a good thing. response:	Don't tell me...
context: Looks like she's gone back to her old ways for some reason.\Too bad, she was just beginning to thaw!\Ayato?\Is something the matter?\This morning, the princess was reading a letter from somebody,\and now she's run off with an ashen face.\That might not be a good thing.\Don't tell me... response:	Her opponent is that guy who shot at her?
context: Too bad, she was just beginning to thaw!\Ayato?\Is something the matter?\This morning, the princess was reading a letter from somebody,\and now she's run off with an ashen face.\That might not be a good thing.\Don't tell me...\Her opponent is that guy who shot at her? response:	If that's the case, why didn't she tell me anything?
context: Ayato?\Is something the matter?\This morning, the princess was reading a letter from somebody,\and now she's run off with an ashen face.\That might not be a good thing.\Don't tell me...\Her opponent is that guy who shot at her?\If that's the case, why didn't she tell me anything? response:	I guess she doesn't trust me after all?
context: Is something the matter?\This morning, the princess was reading a letter from somebody,\and now she's run off with an ashen face.\That might not be a good thing.\Don't tell me...\Her opponent is that guy who shot at her?\If that's the case, why didn't she tell me anything?\I guess she doesn't trust me after all? response:	I'd say it was quite the opposite.
context: This morning, the princess was reading a letter from somebody,\and now she's run off with an ashen face.\That might not be a good thing.\Don't tell me...\Her opponent is that guy who shot at her?\If that's the case, why didn't she tell me anything?\I guess she doesn't trust me after all?\I'd say it was quite the opposite. response:	Didn't I tell you before?
context: and now she's run off with an ashen face.\That might not be a good thing.\Don't tell me...\Her opponent is that guy who shot at her?\If that's the case, why didn't she tell me anything?\I guess she doesn't trust me after all?\I'd say it was quite the opposite.\Didn't I tell you before? response:	It's all that girl can do to protect what she has in her hands.
context: That might not be a good thing.\Don't tell me...\Her opponent is that guy who shot at her?\If that's the case, why didn't she tell me anything?\I guess she doesn't trust me after all?\I'd say it was quite the opposite.\Didn't I tell you before?\It's all that girl can do to protect what she has in her hands. response:	Most likely, she counts you as one of them, too.
context: Don't tell me...\Her opponent is that guy who shot at her?\If that's the case, why didn't she tell me anything?\I guess she doesn't trust me after all?\I'd say it was quite the opposite.\Didn't I tell you before?\It's all that girl can do to protect what she has in her hands.\Most likely, she counts you as one of them, too. response:	Protect?
context: Her opponent is that guy who shot at her?\If that's the case, why didn't she tell me anything?\I guess she doesn't trust me after all?\I'd say it was quite the opposite.\Didn't I tell you before?\It's all that girl can do to protect what she has in her hands.\Most likely, she counts you as one of them, too.\Protect? response:	Julis... protect me?
context: If that's the case, why didn't she tell me anything?\I guess she doesn't trust me after all?\I'd say it was quite the opposite.\Didn't I tell you before?\It's all that girl can do to protect what she has in her hands.\Most likely, she counts you as one of them, too.\Protect?\Julis... protect me? response:	Oh, I get it.
context: I guess she doesn't trust me after all?\I'd say it was quite the opposite.\Didn't I tell you before?\It's all that girl can do to protect what she has in her hands.\Most likely, she counts you as one of them, too.\Protect?\Julis... protect me?\Oh, I get it. response:	What I'm supposed to do...
context: I'd say it was quite the opposite.\Didn't I tell you before?\It's all that girl can do to protect what she has in her hands.\Most likely, she counts you as one of them, too.\Protect?\Julis... protect me?\Oh, I get it.\What I'm supposed to do... response:	is protect you, Ayato.
context: Didn't I tell you before?\It's all that girl can do to protect what she has in her hands.\Most likely, she counts you as one of them, too.\Protect?\Julis... protect me?\Oh, I get it.\What I'm supposed to do...\is protect you, Ayato. response:	Then... Then I'm going to protect you, too, Big Sister!
context: It's all that girl can do to protect what she has in her hands.\Most likely, she counts you as one of them, too.\Protect?\Julis... protect me?\Oh, I get it.\What I'm supposed to do...\is protect you, Ayato.\Then... Then I'm going to protect you, too, Big Sister! response:	That will be my...
context: Most likely, she counts you as one of them, too.\Protect?\Julis... protect me?\Oh, I get it.\What I'm supposed to do...\is protect you, Ayato.\Then... Then I'm going to protect you, too, Big Sister!\That will be my... response:	I didn't get it at the time, but...
context: Protect?\Julis... protect me?\Oh, I get it.\What I'm supposed to do...\is protect you, Ayato.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\I didn't get it at the time, but... response:	I'm going after her!
context: Julis... protect me?\Oh, I get it.\What I'm supposed to do...\is protect you, Ayato.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\I didn't get it at the time, but...\I'm going after her! response:	Ayato!
context: Oh, I get it.\What I'm supposed to do...\is protect you, Ayato.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\I didn't get it at the time, but...\I'm going after her!\Ayato! response:	Big Sister's sword!
context: What I'm supposed to do...\is protect you, Ayato.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\I didn't get it at the time, but...\I'm going after her!\Ayato!\Big Sister's sword! response:	Now I get it.
context: is protect you, Ayato.\Then... Then I'm going to protect you, too, Big Sister!\That will be my...\I didn't get it at the time, but...\I'm going after her!\Ayato!\Big Sister's sword!\Now I get it. response:	What it is that I'm supposed to do.
context: Then... Then I'm going to protect you, too, Big Sister!\That will be my...\I didn't get it at the time, but...\I'm going after her!\Ayato!\Big Sister's sword!\Now I get it.\What it is that I'm supposed to do. response:	It was you who taught me...
context: That will be my...\I didn't get it at the time, but...\I'm going after her!\Ayato!\Big Sister's sword!\Now I get it.\What it is that I'm supposed to do.\It was you who taught me... response:	To protect Julis!
context: I didn't get it at the time, but...\I'm going after her!\Ayato!\Big Sister's sword!\Now I get it.\What it is that I'm supposed to do.\It was you who taught me...\To protect Julis! response:	That's what I'm supposed to do!
context: I'm going after her!\Ayato!\Big Sister's sword!\Now I get it.\What it is that I'm supposed to do.\It was you who taught me...\To protect Julis!\That's what I'm supposed to do! response:	Ayato and the Ser Veresta...
context: Ayato!\Big Sister's sword!\Now I get it.\What it is that I'm supposed to do.\It was you who taught me...\To protect Julis!\That's what I'm supposed to do!\Ayato and the Ser Veresta... response:	I can't wait to see how far they'll go.
context: Big Sister's sword!\Now I get it.\What it is that I'm supposed to do.\It was you who taught me...\To protect Julis!\That's what I'm supposed to do!\Ayato and the Ser Veresta...\I can't wait to see how far they'll go. response:	Still, to think that Ayato would be in such a panic that he'd leap from such a high place...
context: Now I get it.\What it is that I'm supposed to do.\It was you who taught me...\To protect Julis!\That's what I'm supposed to do!\Ayato and the Ser Veresta...\I can't wait to see how far they'll go.\Still, to think that Ayato would be in such a panic that he'd leap from such a high place... response:	Episode 4 - Unshackled
context: What it is that I'm supposed to do.\It was you who taught me...\To protect Julis!\That's what I'm supposed to do!\Ayato and the Ser Veresta...\I can't wait to see how far they'll go.\Still, to think that Ayato would be in such a panic that he'd leap from such a high place...\Episode 4 - Unshackled response:	I do feel a bit jealous.
