context: We will now begin the second phase of the footman audition. response:	There is only one assignment in this second phase.
context: He's starting to show that he's in pain.\They're taking much longer than the others.\I hid my gender this long in order to protect the cafe.\I thought that this was the only way to handle the situation...\But...\That's enough.\Stop already!\Is something the matter? response:	I'm sorry! His hands are injured. He needs medical care.
context: They're taking much longer than the others.\I hid my gender this long in order to protect the cafe.\I thought that this was the only way to handle the situation...\But...\That's enough.\Stop already!\Is something the matter?\I'm sorry! His hands are injured. He needs medical care. response:	You. Is that true?
context: I hid my gender this long in order to protect the cafe.\I thought that this was the only way to handle the situation...\But...\That's enough.\Stop already!\Is something the matter?\I'm sorry! His hands are injured. He needs medical care.\You. Is that true? response:	Can't you tell from how pale he looks?
context: I thought that this was the only way to handle the situation...\But...\That's enough.\Stop already!\Is something the matter?\I'm sorry! His hands are injured. He needs medical care.\You. Is that true?\Can't you tell from how pale he looks? response:	He hasn't admitted to it.
context: But...\That's enough.\Stop already!\Is something the matter?\I'm sorry! His hands are injured. He needs medical care.\You. Is that true?\Can't you tell from how pale he looks?\He hasn't admitted to it. response:	Which means, even if he is injured, he's showing his will to follow through with his work.
context: That's enough.\Stop already!\Is something the matter?\I'm sorry! His hands are injured. He needs medical care.\You. Is that true?\Can't you tell from how pale he looks?\He hasn't admitted to it.\Which means, even if he is injured, he's showing his will to follow through with his work. response:	Just because he looks like he's in pain, you forced him to stop working in front of the Master?
context: Stop already!\Is something the matter?\I'm sorry! His hands are injured. He needs medical care.\You. Is that true?\Can't you tell from how pale he looks?\He hasn't admitted to it.\Which means, even if he is injured, he's showing his will to follow through with his work.\Just because he looks like he's in pain, you forced him to stop working in front of the Master? response:	You do want to support your coworker, don't you?
context: Is something the matter?\I'm sorry! His hands are injured. He needs medical care.\You. Is that true?\Can't you tell from how pale he looks?\He hasn't admitted to it.\Which means, even if he is injured, he's showing his will to follow through with his work.\Just because he looks like he's in pain, you forced him to stop working in front of the Master?\You do want to support your coworker, don't you? response:	The support you speak of at your restaurant may be to watch your coworker collapse from fatigue.
context: I'm sorry! His hands are injured. He needs medical care.\You. Is that true?\Can't you tell from how pale he looks?\He hasn't admitted to it.\Which means, even if he is injured, he's showing his will to follow through with his work.\Just because he looks like he's in pain, you forced him to stop working in front of the Master?\You do want to support your coworker, don't you?\The support you speak of at your restaurant may be to watch your coworker collapse from fatigue. response:	But at our place, we support them so that they don't collapse.
context: You. Is that true?\Can't you tell from how pale he looks?\He hasn't admitted to it.\Which means, even if he is injured, he's showing his will to follow through with his work.\Just because he looks like he's in pain, you forced him to stop working in front of the Master?\You do want to support your coworker, don't you?\The support you speak of at your restaurant may be to watch your coworker collapse from fatigue.\But at our place, we support them so that they don't collapse. response:	Because when people support you, you want to support them, too.
context: Can't you tell from how pale he looks?\He hasn't admitted to it.\Which means, even if he is injured, he's showing his will to follow through with his work.\Just because he looks like he's in pain, you forced him to stop working in front of the Master?\You do want to support your coworker, don't you?\The support you speak of at your restaurant may be to watch your coworker collapse from fatigue.\But at our place, we support them so that they don't collapse.\Because when people support you, you want to support them, too. response:	Even if you trouble them, they will watch your back and allow you to concentrate on your work.
context: He hasn't admitted to it.\Which means, even if he is injured, he's showing his will to follow through with his work.\Just because he looks like he's in pain, you forced him to stop working in front of the Master?\You do want to support your coworker, don't you?\The support you speak of at your restaurant may be to watch your coworker collapse from fatigue.\But at our place, we support them so that they don't collapse.\Because when people support you, you want to support them, too.\Even if you trouble them, they will watch your back and allow you to concentrate on your work. response:	Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it.
context: Which means, even if he is injured, he's showing his will to follow through with his work.\Just because he looks like he's in pain, you forced him to stop working in front of the Master?\You do want to support your coworker, don't you?\The support you speak of at your restaurant may be to watch your coworker collapse from fatigue.\But at our place, we support them so that they don't collapse.\Because when people support you, you want to support them, too.\Even if you trouble them, they will watch your back and allow you to concentrate on your work.\Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it. response:	That's why I love that relaxing cafe.
context: Just because he looks like he's in pain, you forced him to stop working in front of the Master?\You do want to support your coworker, don't you?\The support you speak of at your restaurant may be to watch your coworker collapse from fatigue.\But at our place, we support them so that they don't collapse.\Because when people support you, you want to support them, too.\Even if you trouble them, they will watch your back and allow you to concentrate on your work.\Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it.\That's why I love that relaxing cafe. response:	Excuse me.
context: You do want to support your coworker, don't you?\The support you speak of at your restaurant may be to watch your coworker collapse from fatigue.\But at our place, we support them so that they don't collapse.\Because when people support you, you want to support them, too.\Even if you trouble them, they will watch your back and allow you to concentrate on your work.\Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it.\That's why I love that relaxing cafe.\Excuse me. response:	Misa-chan! Usui-kun!
context: The support you speak of at your restaurant may be to watch your coworker collapse from fatigue.\But at our place, we support them so that they don't collapse.\Because when people support you, you want to support them, too.\Even if you trouble them, they will watch your back and allow you to concentrate on your work.\Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it.\That's why I love that relaxing cafe.\Excuse me.\Misa-chan! Usui-kun! response:	I'm sorry! Could you call a taxi?!
context: But at our place, we support them so that they don't collapse.\Because when people support you, you want to support them, too.\Even if you trouble them, they will watch your back and allow you to concentrate on your work.\Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it.\That's why I love that relaxing cafe.\Excuse me.\Misa-chan! Usui-kun!\I'm sorry! Could you call a taxi?! response:	We need to take him to the hospital now.
context: Because when people support you, you want to support them, too.\Even if you trouble them, they will watch your back and allow you to concentrate on your work.\Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it.\That's why I love that relaxing cafe.\Excuse me.\Misa-chan! Usui-kun!\I'm sorry! Could you call a taxi?!\We need to take him to the hospital now. response:	Okay. Hold on just one moment.
context: Even if you trouble them, they will watch your back and allow you to concentrate on your work.\Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it.\That's why I love that relaxing cafe.\Excuse me.\Misa-chan! Usui-kun!\I'm sorry! Could you call a taxi?!\We need to take him to the hospital now.\Okay. Hold on just one moment. response:	Look at how swollen his wrist is.
context: Because it's a shop like that, I can put my heart into my work, and be confident that the customers will enjoy it.\That's why I love that relaxing cafe.\Excuse me.\Misa-chan! Usui-kun!\I'm sorry! Could you call a taxi?!\We need to take him to the hospital now.\Okay. Hold on just one moment.\Look at how swollen his wrist is. response:	I'll go wet the handkerchief.
context: That's why I love that relaxing cafe.\Excuse me.\Misa-chan! Usui-kun!\I'm sorry! Could you call a taxi?!\We need to take him to the hospital now.\Okay. Hold on just one moment.\Look at how swollen his wrist is.\I'll go wet the handkerchief. response:	Chief!
context: Excuse me.\Misa-chan! Usui-kun!\I'm sorry! Could you call a taxi?!\We need to take him to the hospital now.\Okay. Hold on just one moment.\Look at how swollen his wrist is.\I'll go wet the handkerchief.\Chief! response:	I'm sorry.
context: Misa-chan! Usui-kun!\I'm sorry! Could you call a taxi?!\We need to take him to the hospital now.\Okay. Hold on just one moment.\Look at how swollen his wrist is.\I'll go wet the handkerchief.\Chief!\I'm sorry. response:	Misa-chan. If Maid Latte moved and looked different from how it does today,
context: I'm sorry! Could you call a taxi?!\We need to take him to the hospital now.\Okay. Hold on just one moment.\Look at how swollen his wrist is.\I'll go wet the handkerchief.\Chief!\I'm sorry.\Misa-chan. If Maid Latte moved and looked different from how it does today, response:	What would you do?
context: We need to take him to the hospital now.\Okay. Hold on just one moment.\Look at how swollen his wrist is.\I'll go wet the handkerchief.\Chief!\I'm sorry.\Misa-chan. If Maid Latte moved and looked different from how it does today,\What would you do? response:	If you needed me,
context: Okay. Hold on just one moment.\Look at how swollen his wrist is.\I'll go wet the handkerchief.\Chief!\I'm sorry.\Misa-chan. If Maid Latte moved and looked different from how it does today,\What would you do?\If you needed me, response:	Then I would go anywhere.
context: Look at how swollen his wrist is.\I'll go wet the handkerchief.\Chief!\I'm sorry.\Misa-chan. If Maid Latte moved and looked different from how it does today,\What would you do?\If you needed me,\Then I would go anywhere. response:	Thank you. I'm truly a fortunate manager.
context: I'll go wet the handkerchief.\Chief!\I'm sorry.\Misa-chan. If Maid Latte moved and looked different from how it does today,\What would you do?\If you needed me,\Then I would go anywhere.\Thank you. I'm truly a fortunate manager. response:	What's making you stand in a place like this?
context: Chief!\I'm sorry.\Misa-chan. If Maid Latte moved and looked different from how it does today,\What would you do?\If you needed me,\Then I would go anywhere.\Thank you. I'm truly a fortunate manager.\What's making you stand in a place like this? response:	I told you not to be an idiot when you're in public.
context: I'm sorry.\Misa-chan. If Maid Latte moved and looked different from how it does today,\What would you do?\If you needed me,\Then I would go anywhere.\Thank you. I'm truly a fortunate manager.\What's making you stand in a place like this?\I told you not to be an idiot when you're in public. response:	I thought I knew what butlers and footmen should be like, so I never allowed them to compromise.
context: Misa-chan. If Maid Latte moved and looked different from how it does today,\What would you do?\If you needed me,\Then I would go anywhere.\Thank you. I'm truly a fortunate manager.\What's making you stand in a place like this?\I told you not to be an idiot when you're in public.\I thought I knew what butlers and footmen should be like, so I never allowed them to compromise. response:	I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere.
context: What would you do?\If you needed me,\Then I would go anywhere.\Thank you. I'm truly a fortunate manager.\What's making you stand in a place like this?\I told you not to be an idiot when you're in public.\I thought I knew what butlers and footmen should be like, so I never allowed them to compromise.\I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere. response:	Have you lost your vision because of what she said?
context: If you needed me,\Then I would go anywhere.\Thank you. I'm truly a fortunate manager.\What's making you stand in a place like this?\I told you not to be an idiot when you're in public.\I thought I knew what butlers and footmen should be like, so I never allowed them to compromise.\I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere.\Have you lost your vision because of what she said? response:	You're a real troublemaker.
context: Then I would go anywhere.\Thank you. I'm truly a fortunate manager.\What's making you stand in a place like this?\I told you not to be an idiot when you're in public.\I thought I knew what butlers and footmen should be like, so I never allowed them to compromise.\I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere.\Have you lost your vision because of what she said?\You're a real troublemaker. response:	Well, there are plenty of other locations.
context: Thank you. I'm truly a fortunate manager.\What's making you stand in a place like this?\I told you not to be an idiot when you're in public.\I thought I knew what butlers and footmen should be like, so I never allowed them to compromise.\I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere.\Have you lost your vision because of what she said?\You're a real troublemaker.\Well, there are plenty of other locations. response:	Like the best one possible.
context: What's making you stand in a place like this?\I told you not to be an idiot when you're in public.\I thought I knew what butlers and footmen should be like, so I never allowed them to compromise.\I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere.\Have you lost your vision because of what she said?\You're a real troublemaker.\Well, there are plenty of other locations.\Like the best one possible. response:	You don't mean that place that the Igarashi Foundation owns?
context: I told you not to be an idiot when you're in public.\I thought I knew what butlers and footmen should be like, so I never allowed them to compromise.\I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere.\Have you lost your vision because of what she said?\You're a real troublemaker.\Well, there are plenty of other locations.\Like the best one possible.\You don't mean that place that the Igarashi Foundation owns? response:	It's a place that was given to me.
context: I thought I knew what butlers and footmen should be like, so I never allowed them to compromise.\I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere.\Have you lost your vision because of what she said?\You're a real troublemaker.\Well, there are plenty of other locations.\Like the best one possible.\You don't mean that place that the Igarashi Foundation owns?\It's a place that was given to me. response:	There's no problem.
context: I was convinced that I could satisfy any customer if we perfectly recreated the British atmosphere.\Have you lost your vision because of what she said?\You're a real troublemaker.\Well, there are plenty of other locations.\Like the best one possible.\You don't mean that place that the Igarashi Foundation owns?\It's a place that was given to me.\There's no problem. response:	You'll probably learn a lot if you leave that place alone.
context: Have you lost your vision because of what she said?\You're a real troublemaker.\Well, there are plenty of other locations.\Like the best one possible.\You don't mean that place that the Igarashi Foundation owns?\It's a place that was given to me.\There's no problem.\You'll probably learn a lot if you leave that place alone. response:	Thank you very much, President.
context: You're a real troublemaker.\Well, there are plenty of other locations.\Like the best one possible.\You don't mean that place that the Igarashi Foundation owns?\It's a place that was given to me.\There's no problem.\You'll probably learn a lot if you leave that place alone.\Thank you very much, President. response:	You do your best now.
context: Well, there are plenty of other locations.\Like the best one possible.\You don't mean that place that the Igarashi Foundation owns?\It's a place that was given to me.\There's no problem.\You'll probably learn a lot if you leave that place alone.\Thank you very much, President.\You do your best now. response:	Hey, that Trio is freaking me out more than usual.
context: Like the best one possible.\You don't mean that place that the Igarashi Foundation owns?\It's a place that was given to me.\There's no problem.\You'll probably learn a lot if you leave that place alone.\Thank you very much, President.\You do your best now.\Hey, that Trio is freaking me out more than usual. response:	What? She's zoning out too.
context: You don't mean that place that the Igarashi Foundation owns?\It's a place that was given to me.\There's no problem.\You'll probably learn a lot if you leave that place alone.\Thank you very much, President.\You do your best now.\Hey, that Trio is freaking me out more than usual.\What? She's zoning out too. response:	You have to forgive them, Aoi-chan.
context: It's a place that was given to me.\There's no problem.\You'll probably learn a lot if you leave that place alone.\Thank you very much, President.\You do your best now.\Hey, that Trio is freaking me out more than usual.\What? She's zoning out too.\You have to forgive them, Aoi-chan. response:	We just overcame Maid Latte's greatest crisis.
context: There's no problem.\You'll probably learn a lot if you leave that place alone.\Thank you very much, President.\You do your best now.\Hey, that Trio is freaking me out more than usual.\What? She's zoning out too.\You have to forgive them, Aoi-chan.\We just overcame Maid Latte's greatest crisis. response:	Speaking of which, can you explain what happened?
context: You'll probably learn a lot if you leave that place alone.\Thank you very much, President.\You do your best now.\Hey, that Trio is freaking me out more than usual.\What? She's zoning out too.\You have to forgive them, Aoi-chan.\We just overcame Maid Latte's greatest crisis.\Speaking of which, can you explain what happened? response:	Why did they suddenly decide not to purchase this place?
context: Thank you very much, President.\You do your best now.\Hey, that Trio is freaking me out more than usual.\What? She's zoning out too.\You have to forgive them, Aoi-chan.\We just overcame Maid Latte's greatest crisis.\Speaking of which, can you explain what happened?\Why did they suddenly decide not to purchase this place? response:	The Chief didn't tell you?
context: You do your best now.\Hey, that Trio is freaking me out more than usual.\What? She's zoning out too.\You have to forgive them, Aoi-chan.\We just overcame Maid Latte's greatest crisis.\Speaking of which, can you explain what happened?\Why did they suddenly decide not to purchase this place?\The Chief didn't tell you? response:	Maki-san's cafe is going to open elsewhere.
context: Hey, that Trio is freaking me out more than usual.\What? She's zoning out too.\You have to forgive them, Aoi-chan.\We just overcame Maid Latte's greatest crisis.\Speaking of which, can you explain what happened?\Why did they suddenly decide not to purchase this place?\The Chief didn't tell you?\Maki-san's cafe is going to open elsewhere. response:	Then he shouldn't have brought up the takeover stuff in the first place.
context: What? She's zoning out too.\You have to forgive them, Aoi-chan.\We just overcame Maid Latte's greatest crisis.\Speaking of which, can you explain what happened?\Why did they suddenly decide not to purchase this place?\The Chief didn't tell you?\Maki-san's cafe is going to open elsewhere.\Then he shouldn't have brought up the takeover stuff in the first place. response:	Hey, where is she?
context: You have to forgive them, Aoi-chan.\We just overcame Maid Latte's greatest crisis.\Speaking of which, can you explain what happened?\Why did they suddenly decide not to purchase this place?\The Chief didn't tell you?\Maki-san's cafe is going to open elsewhere.\Then he shouldn't have brought up the takeover stuff in the first place.\Hey, where is she? response:	She?
context: We just overcame Maid Latte's greatest crisis.\Speaking of which, can you explain what happened?\Why did they suddenly decide not to purchase this place?\The Chief didn't tell you?\Maki-san's cafe is going to open elsewhere.\Then he shouldn't have brought up the takeover stuff in the first place.\Hey, where is she?\She? response:	You mean Misa-chan!
context: Speaking of which, can you explain what happened?\Why did they suddenly decide not to purchase this place?\The Chief didn't tell you?\Maki-san's cafe is going to open elsewhere.\Then he shouldn't have brought up the takeover stuff in the first place.\Hey, where is she?\She?\You mean Misa-chan! response:	She's finally talking!
context: Why did they suddenly decide not to purchase this place?\The Chief didn't tell you?\Maki-san's cafe is going to open elsewhere.\Then he shouldn't have brought up the takeover stuff in the first place.\Hey, where is she?\She?\You mean Misa-chan!\She's finally talking! response:	Misa-chan must be at-
context: The Chief didn't tell you?\Maki-san's cafe is going to open elsewhere.\Then he shouldn't have brought up the takeover stuff in the first place.\Hey, where is she?\She?\You mean Misa-chan!\She's finally talking!\Misa-chan must be at- response:	What in the world is this place?
context: Maki-san's cafe is going to open elsewhere.\Then he shouldn't have brought up the takeover stuff in the first place.\Hey, where is she?\She?\You mean Misa-chan!\She's finally talking!\Misa-chan must be at-\What in the world is this place? response:	It's my house.
context: Then he shouldn't have brought up the takeover stuff in the first place.\Hey, where is she?\She?\You mean Misa-chan!\She's finally talking!\Misa-chan must be at-\What in the world is this place?\It's my house. response:	So it would seem.
context: Hey, where is she?\She?\You mean Misa-chan!\She's finally talking!\Misa-chan must be at-\What in the world is this place?\It's my house.\So it would seem. response:	What? You came to visit me?
context: She?\You mean Misa-chan!\She's finally talking!\Misa-chan must be at-\What in the world is this place?\It's my house.\So it would seem.\What? You came to visit me? response:	Something like that.
context: You mean Misa-chan!\She's finally talking!\Misa-chan must be at-\What in the world is this place?\It's my house.\So it would seem.\What? You came to visit me?\Something like that. response:	Where's your family?
context: She's finally talking!\Misa-chan must be at-\What in the world is this place?\It's my house.\So it would seem.\What? You came to visit me?\Something like that.\Where's your family? response:	They aren't here. I live alone.
context: Misa-chan must be at-\What in the world is this place?\It's my house.\So it would seem.\What? You came to visit me?\Something like that.\Where's your family?\They aren't here. I live alone. response:	Excuse me.
context: What in the world is this place?\It's my house.\So it would seem.\What? You came to visit me?\Something like that.\Where's your family?\They aren't here. I live alone.\Excuse me. response:	You didn't just move in or anything like that, right?
context: It's my house.\So it would seem.\What? You came to visit me?\Something like that.\Where's your family?\They aren't here. I live alone.\Excuse me.\You didn't just move in or anything like that, right? response:	I've been living here since I started going to high school.
context: So it would seem.\What? You came to visit me?\Something like that.\Where's your family?\They aren't here. I live alone.\Excuse me.\You didn't just move in or anything like that, right?\I've been living here since I started going to high school. response:	Why did you come alone?
context: What? You came to visit me?\Something like that.\Where's your family?\They aren't here. I live alone.\Excuse me.\You didn't just move in or anything like that, right?\I've been living here since I started going to high school.\Why did you come alone? response:	You don't mind me doing things to you?
context: Something like that.\Where's your family?\They aren't here. I live alone.\Excuse me.\You didn't just move in or anything like that, right?\I've been living here since I started going to high school.\Why did you come alone?\You don't mind me doing things to you? response:	I knew you had a fever!
context: Where's your family?\They aren't here. I live alone.\Excuse me.\You didn't just move in or anything like that, right?\I've been living here since I started going to high school.\Why did you come alone?\You don't mind me doing things to you?\I knew you had a fever! response:	So it's true that you forced them to let you leave the hospital!
context: They aren't here. I live alone.\Excuse me.\You didn't just move in or anything like that, right?\I've been living here since I started going to high school.\Why did you come alone?\You don't mind me doing things to you?\I knew you had a fever!\So it's true that you forced them to let you leave the hospital! response:	Go to bed!
context: Excuse me.\You didn't just move in or anything like that, right?\I've been living here since I started going to high school.\Why did you come alone?\You don't mind me doing things to you?\I knew you had a fever!\So it's true that you forced them to let you leave the hospital!\Go to bed! response:	I'm going to borrow a towel, ice and so forth.
context: You didn't just move in or anything like that, right?\I've been living here since I started going to high school.\Why did you come alone?\You don't mind me doing things to you?\I knew you had a fever!\So it's true that you forced them to let you leave the hospital!\Go to bed!\I'm going to borrow a towel, ice and so forth. response:	No, I'll do it.
context: I've been living here since I started going to high school.\Why did you come alone?\You don't mind me doing things to you?\I knew you had a fever!\So it's true that you forced them to let you leave the hospital!\Go to bed!\I'm going to borrow a towel, ice and so forth.\No, I'll do it. response:	You stay in bed!
context: Why did you come alone?\You don't mind me doing things to you?\I knew you had a fever!\So it's true that you forced them to let you leave the hospital!\Go to bed!\I'm going to borrow a towel, ice and so forth.\No, I'll do it.\You stay in bed! response:	Ayuzawa, really-
context: You don't mind me doing things to you?\I knew you had a fever!\So it's true that you forced them to let you leave the hospital!\Go to bed!\I'm going to borrow a towel, ice and so forth.\No, I'll do it.\You stay in bed!\Ayuzawa, really- response:	Please stay in bed, you idiot!
context: I knew you had a fever!\So it's true that you forced them to let you leave the hospital!\Go to bed!\I'm going to borrow a towel, ice and so forth.\No, I'll do it.\You stay in bed!\Ayuzawa, really-\Please stay in bed, you idiot! response:	Please...
context: So it's true that you forced them to let you leave the hospital!\Go to bed!\I'm going to borrow a towel, ice and so forth.\No, I'll do it.\You stay in bed!\Ayuzawa, really-\Please stay in bed, you idiot!\Please... response:	Let yourself heal.
context: Go to bed!\I'm going to borrow a towel, ice and so forth.\No, I'll do it.\You stay in bed!\Ayuzawa, really-\Please stay in bed, you idiot!\Please...\Let yourself heal. response:	You haven't called your family at all?
context: I'm going to borrow a towel, ice and so forth.\No, I'll do it.\You stay in bed!\Ayuzawa, really-\Please stay in bed, you idiot!\Please...\Let yourself heal.\You haven't called your family at all? response:	It's unnecessary.
context: No, I'll do it.\You stay in bed!\Ayuzawa, really-\Please stay in bed, you idiot!\Please...\Let yourself heal.\You haven't called your family at all?\It's unnecessary. response:	Why did you leave the hospital so quickly?
context: You stay in bed!\Ayuzawa, really-\Please stay in bed, you idiot!\Please...\Let yourself heal.\You haven't called your family at all?\It's unnecessary.\Why did you leave the hospital so quickly? response:	It was boring.
context: Ayuzawa, really-\Please stay in bed, you idiot!\Please...\Let yourself heal.\You haven't called your family at all?\It's unnecessary.\Why did you leave the hospital so quickly?\It was boring. response:	Are you eating well?
context: Please stay in bed, you idiot!\Please...\Let yourself heal.\You haven't called your family at all?\It's unnecessary.\Why did you leave the hospital so quickly?\It was boring.\Are you eating well? response:	You've overcooked it, the rice's turned into a white soup.
context: Please...\Let yourself heal.\You haven't called your family at all?\It's unnecessary.\Why did you leave the hospital so quickly?\It was boring.\Are you eating well?\You've overcooked it, the rice's turned into a white soup. response:	Prez, so you're-
context: Let yourself heal.\You haven't called your family at all?\It's unnecessary.\Why did you leave the hospital so quickly?\It was boring.\Are you eating well?\You've overcooked it, the rice's turned into a white soup.\Prez, so you're- response:	Yes! I suck at cooking! You got a problem with that?!
context: You haven't called your family at all?\It's unnecessary.\Why did you leave the hospital so quickly?\It was boring.\Are you eating well?\You've overcooked it, the rice's turned into a white soup.\Prez, so you're-\Yes! I suck at cooking! You got a problem with that?! response:	If you don't want it, then don't eat! I'll eat it all myself!
context: It's unnecessary.\Why did you leave the hospital so quickly?\It was boring.\Are you eating well?\You've overcooked it, the rice's turned into a white soup.\Prez, so you're-\Yes! I suck at cooking! You got a problem with that?!\If you don't want it, then don't eat! I'll eat it all myself! response:	I'll eat.
context: Why did you leave the hospital so quickly?\It was boring.\Are you eating well?\You've overcooked it, the rice's turned into a white soup.\Prez, so you're-\Yes! I suck at cooking! You got a problem with that?!\If you don't want it, then don't eat! I'll eat it all myself!\I'll eat. response:	But I can't use my right hand, so feed me.
context: It was boring.\Are you eating well?\You've overcooked it, the rice's turned into a white soup.\Prez, so you're-\Yes! I suck at cooking! You got a problem with that?!\If you don't want it, then don't eat! I'll eat it all myself!\I'll eat.\But I can't use my right hand, so feed me. response:	By the way, I'm sensitive to hot food, just like cats.
context: Are you eating well?\You've overcooked it, the rice's turned into a white soup.\Prez, so you're-\Yes! I suck at cooking! You got a problem with that?!\If you don't want it, then don't eat! I'll eat it all myself!\I'll eat.\But I can't use my right hand, so feed me.\By the way, I'm sensitive to hot food, just like cats. response:	I'm speechless.
context: You've overcooked it, the rice's turned into a white soup.\Prez, so you're-\Yes! I suck at cooking! You got a problem with that?!\If you don't want it, then don't eat! I'll eat it all myself!\I'll eat.\But I can't use my right hand, so feed me.\By the way, I'm sensitive to hot food, just like cats.\I'm speechless. response:	I never knew there was a way to totally kill the natural flavor of food.
context: Prez, so you're-\Yes! I suck at cooking! You got a problem with that?!\If you don't want it, then don't eat! I'll eat it all myself!\I'll eat.\But I can't use my right hand, so feed me.\By the way, I'm sensitive to hot food, just like cats.\I'm speechless.\I never knew there was a way to totally kill the natural flavor of food. response:	Shut up and eat!
context: Yes! I suck at cooking! You got a problem with that?!\If you don't want it, then don't eat! I'll eat it all myself!\I'll eat.\But I can't use my right hand, so feed me.\By the way, I'm sensitive to hot food, just like cats.\I'm speechless.\I never knew there was a way to totally kill the natural flavor of food.\Shut up and eat! response:	Hey, if you can eat all that, then I guess I shouldn't have worried.
context: If you don't want it, then don't eat! I'll eat it all myself!\I'll eat.\But I can't use my right hand, so feed me.\By the way, I'm sensitive to hot food, just like cats.\I'm speechless.\I never knew there was a way to totally kill the natural flavor of food.\Shut up and eat!\Hey, if you can eat all that, then I guess I shouldn't have worried. response:	How can I leave leftovers?
context: I'll eat.\But I can't use my right hand, so feed me.\By the way, I'm sensitive to hot food, just like cats.\I'm speechless.\I never knew there was a way to totally kill the natural flavor of food.\Shut up and eat!\Hey, if you can eat all that, then I guess I shouldn't have worried.\How can I leave leftovers? response:	It's the first time I've had Ayuzawa's home cooking.
context: But I can't use my right hand, so feed me.\By the way, I'm sensitive to hot food, just like cats.\I'm speechless.\I never knew there was a way to totally kill the natural flavor of food.\Shut up and eat!\Hey, if you can eat all that, then I guess I shouldn't have worried.\How can I leave leftovers?\It's the first time I've had Ayuzawa's home cooking. response:	You should get changed, you must be soaked with sweat.
context: By the way, I'm sensitive to hot food, just like cats.\I'm speechless.\I never knew there was a way to totally kill the natural flavor of food.\Shut up and eat!\Hey, if you can eat all that, then I guess I shouldn't have worried.\How can I leave leftovers?\It's the first time I've had Ayuzawa's home cooking.\You should get changed, you must be soaked with sweat. response:	Actually, you can't unbutton yourself with that hand, can you?
context: I'm speechless.\I never knew there was a way to totally kill the natural flavor of food.\Shut up and eat!\Hey, if you can eat all that, then I guess I shouldn't have worried.\How can I leave leftovers?\It's the first time I've had Ayuzawa's home cooking.\You should get changed, you must be soaked with sweat.\Actually, you can't unbutton yourself with that hand, can you? response:	What are you looking at?!
context: I never knew there was a way to totally kill the natural flavor of food.\Shut up and eat!\Hey, if you can eat all that, then I guess I shouldn't have worried.\How can I leave leftovers?\It's the first time I've had Ayuzawa's home cooking.\You should get changed, you must be soaked with sweat.\Actually, you can't unbutton yourself with that hand, can you?\What are you looking at?! response:	You're like a punk that gets pissed at people who make eye contact.
context: Shut up and eat!\Hey, if you can eat all that, then I guess I shouldn't have worried.\How can I leave leftovers?\It's the first time I've had Ayuzawa's home cooking.\You should get changed, you must be soaked with sweat.\Actually, you can't unbutton yourself with that hand, can you?\What are you looking at?!\You're like a punk that gets pissed at people who make eye contact. response:	Shut up! Look outside the window or something!
context: Hey, if you can eat all that, then I guess I shouldn't have worried.\How can I leave leftovers?\It's the first time I've had Ayuzawa's home cooking.\You should get changed, you must be soaked with sweat.\Actually, you can't unbutton yourself with that hand, can you?\What are you looking at?!\You're like a punk that gets pissed at people who make eye contact.\Shut up! Look outside the window or something! response:	Yes, yes.
context: How can I leave leftovers?\It's the first time I've had Ayuzawa's home cooking.\You should get changed, you must be soaked with sweat.\Actually, you can't unbutton yourself with that hand, can you?\What are you looking at?!\You're like a punk that gets pissed at people who make eye contact.\Shut up! Look outside the window or something!\Yes, yes. response:	I owe him one again.
context: It's the first time I've had Ayuzawa's home cooking.\You should get changed, you must be soaked with sweat.\Actually, you can't unbutton yourself with that hand, can you?\What are you looking at?!\You're like a punk that gets pissed at people who make eye contact.\Shut up! Look outside the window or something!\Yes, yes.\I owe him one again. response:	He's mean to me, sexually harasses me, and makes me think he's screwed up,
context: You should get changed, you must be soaked with sweat.\Actually, you can't unbutton yourself with that hand, can you?\What are you looking at?!\You're like a punk that gets pissed at people who make eye contact.\Shut up! Look outside the window or something!\Yes, yes.\I owe him one again.\He's mean to me, sexually harasses me, and makes me think he's screwed up, response:	But he's always there for me when it counts.
context: Actually, you can't unbutton yourself with that hand, can you?\What are you looking at?!\You're like a punk that gets pissed at people who make eye contact.\Shut up! Look outside the window or something!\Yes, yes.\I owe him one again.\He's mean to me, sexually harasses me, and makes me think he's screwed up,\But he's always there for me when it counts. response:	On the other hand, I can't do anything.
