context: An employee directory dating back to ten years. response:	It should be sufficient if we're able to trace the records to that extent.
context: The body odor of the woman Yuzuki liked should turn into a rotten musk.\She deserved to rot amongst garbage and emit a vile stench.\Why did you go that far?\It seems to me you were the one who stole him from his ex-wife.\The reason why she trashed her own house could have been triggered by the shock.\You're the one who gained everything!\What did I really gain?\Yuzuki covetously used all of his senses... response:	Looking, feeling, licking...
context: She deserved to rot amongst garbage and emit a vile stench.\Why did you go that far?\It seems to me you were the one who stole him from his ex-wife.\The reason why she trashed her own house could have been triggered by the shock.\You're the one who gained everything!\What did I really gain?\Yuzuki covetously used all of his senses...\Looking, feeling, licking... response:	If it was limited to that, I couldn't lose against Toshiko's aging body.
context: Why did you go that far?\It seems to me you were the one who stole him from his ex-wife.\The reason why she trashed her own house could have been triggered by the shock.\You're the one who gained everything!\What did I really gain?\Yuzuki covetously used all of his senses...\Looking, feeling, licking...\If it was limited to that, I couldn't lose against Toshiko's aging body. response:	However,
context: It seems to me you were the one who stole him from his ex-wife.\The reason why she trashed her own house could have been triggered by the shock.\You're the one who gained everything!\What did I really gain?\Yuzuki covetously used all of his senses...\Looking, feeling, licking...\If it was limited to that, I couldn't lose against Toshiko's aging body.\However, response:	from Yuzuki's perspective,
context: The reason why she trashed her own house could have been triggered by the shock.\You're the one who gained everything!\What did I really gain?\Yuzuki covetously used all of his senses...\Looking, feeling, licking...\If it was limited to that, I couldn't lose against Toshiko's aging body.\However,\from Yuzuki's perspective, response:	everything was about smell.
context: You're the one who gained everything!\What did I really gain?\Yuzuki covetously used all of his senses...\Looking, feeling, licking...\If it was limited to that, I couldn't lose against Toshiko's aging body.\However,\from Yuzuki's perspective,\everything was about smell. response:	Smell?
context: What did I really gain?\Yuzuki covetously used all of his senses...\Looking, feeling, licking...\If it was limited to that, I couldn't lose against Toshiko's aging body.\However,\from Yuzuki's perspective,\everything was about smell.\Smell? response:	Yes, he had an obsession for odor.
context: Yuzuki covetously used all of his senses...\Looking, feeling, licking...\If it was limited to that, I couldn't lose against Toshiko's aging body.\However,\from Yuzuki's perspective,\everything was about smell.\Smell?\Yes, he had an obsession for odor. response:	That person truly smelled every single detail.
context: Looking, feeling, licking...\If it was limited to that, I couldn't lose against Toshiko's aging body.\However,\from Yuzuki's perspective,\everything was about smell.\Smell?\Yes, he had an obsession for odor.\That person truly smelled every single detail. response:	It was as if every part of my body had been exposed.
context: If it was limited to that, I couldn't lose against Toshiko's aging body.\However,\from Yuzuki's perspective,\everything was about smell.\Smell?\Yes, he had an obsession for odor.\That person truly smelled every single detail.\It was as if every part of my body had been exposed. response:	But the odor he really loved
context: However,\from Yuzuki's perspective,\everything was about smell.\Smell?\Yes, he had an obsession for odor.\That person truly smelled every single detail.\It was as if every part of my body had been exposed.\But the odor he really loved response:	wasn't my scent.
context: from Yuzuki's perspective,\everything was about smell.\Smell?\Yes, he had an obsession for odor.\That person truly smelled every single detail.\It was as if every part of my body had been exposed.\But the odor he really loved\wasn't my scent. response:	Once I receive the goods from you, I'm saying farewell to this miserable country.
context: everything was about smell.\Smell?\Yes, he had an obsession for odor.\That person truly smelled every single detail.\It was as if every part of my body had been exposed.\But the odor he really loved\wasn't my scent.\Once I receive the goods from you, I'm saying farewell to this miserable country. response:	How unfortunate.
context: Smell?\Yes, he had an obsession for odor.\That person truly smelled every single detail.\It was as if every part of my body had been exposed.\But the odor he really loved\wasn't my scent.\Once I receive the goods from you, I'm saying farewell to this miserable country.\How unfortunate. response:	You're...
context: Yes, he had an obsession for odor.\That person truly smelled every single detail.\It was as if every part of my body had been exposed.\But the odor he really loved\wasn't my scent.\Once I receive the goods from you, I'm saying farewell to this miserable country.\How unfortunate.\You're... response:	Did you do it?
context: That person truly smelled every single detail.\It was as if every part of my body had been exposed.\But the odor he really loved\wasn't my scent.\Once I receive the goods from you, I'm saying farewell to this miserable country.\How unfortunate.\You're...\Did you do it? response:	It's a strange feeling.
context: It was as if every part of my body had been exposed.\But the odor he really loved\wasn't my scent.\Once I receive the goods from you, I'm saying farewell to this miserable country.\How unfortunate.\You're...\Did you do it?\It's a strange feeling. response:	When you experience that kind of treatment, you begin to believe that body odor has real significance.
context: But the odor he really loved\wasn't my scent.\Once I receive the goods from you, I'm saying farewell to this miserable country.\How unfortunate.\You're...\Did you do it?\It's a strange feeling.\When you experience that kind of treatment, you begin to believe that body odor has real significance. response:	How can I put it...
context: wasn't my scent.\Once I receive the goods from you, I'm saying farewell to this miserable country.\How unfortunate.\You're...\Did you do it?\It's a strange feeling.\When you experience that kind of treatment, you begin to believe that body odor has real significance.\How can I put it... response:	It's as if it becomes a part of yourself.
context: Once I receive the goods from you, I'm saying farewell to this miserable country.\How unfortunate.\You're...\Did you do it?\It's a strange feeling.\When you experience that kind of treatment, you begin to believe that body odor has real significance.\How can I put it...\It's as if it becomes a part of yourself. response:	In hindsight, the only thing I obtained was the title of a wife.
context: How unfortunate.\You're...\Did you do it?\It's a strange feeling.\When you experience that kind of treatment, you begin to believe that body odor has real significance.\How can I put it...\It's as if it becomes a part of yourself.\In hindsight, the only thing I obtained was the title of a wife. response:	I could never get what I really wanted.
context: You're...\Did you do it?\It's a strange feeling.\When you experience that kind of treatment, you begin to believe that body odor has real significance.\How can I put it...\It's as if it becomes a part of yourself.\In hindsight, the only thing I obtained was the title of a wife.\I could never get what I really wanted. response:	What are these?
context: Did you do it?\It's a strange feeling.\When you experience that kind of treatment, you begin to believe that body odor has real significance.\How can I put it...\It's as if it becomes a part of yourself.\In hindsight, the only thing I obtained was the title of a wife.\I could never get what I really wanted.\What are these? response:	It's what the corporate spies took and what he tried to steal.
context: It's a strange feeling.\When you experience that kind of treatment, you begin to believe that body odor has real significance.\How can I put it...\It's as if it becomes a part of yourself.\In hindsight, the only thing I obtained was the title of a wife.\I could never get what I really wanted.\What are these?\It's what the corporate spies took and what he tried to steal. response:	It's probably related to the gate.
context: When you experience that kind of treatment, you begin to believe that body odor has real significance.\How can I put it...\It's as if it becomes a part of yourself.\In hindsight, the only thing I obtained was the title of a wife.\I could never get what I really wanted.\What are these?\It's what the corporate spies took and what he tried to steal.\It's probably related to the gate. response:	Hand it over.
context: How can I put it...\It's as if it becomes a part of yourself.\In hindsight, the only thing I obtained was the title of a wife.\I could never get what I really wanted.\What are these?\It's what the corporate spies took and what he tried to steal.\It's probably related to the gate.\Hand it over. response:	Let's go, Mao.
context: It's as if it becomes a part of yourself.\In hindsight, the only thing I obtained was the title of a wife.\I could never get what I really wanted.\What are these?\It's what the corporate spies took and what he tried to steal.\It's probably related to the gate.\Hand it over.\Let's go, Mao. response:	Mao?
context: In hindsight, the only thing I obtained was the title of a wife.\I could never get what I really wanted.\What are these?\It's what the corporate spies took and what he tried to steal.\It's probably related to the gate.\Hand it over.\Let's go, Mao.\Mao? response:	He was sniffing a sock.
context: I could never get what I really wanted.\What are these?\It's what the corporate spies took and what he tried to steal.\It's probably related to the gate.\Hand it over.\Let's go, Mao.\Mao?\He was sniffing a sock. response:	His remuneration, huh?
context: What are these?\It's what the corporate spies took and what he tried to steal.\It's probably related to the gate.\Hand it over.\Let's go, Mao.\Mao?\He was sniffing a sock.\His remuneration, huh? response:	He didn't have any time to use his abilities.
context: It's what the corporate spies took and what he tried to steal.\It's probably related to the gate.\Hand it over.\Let's go, Mao.\Mao?\He was sniffing a sock.\His remuneration, huh?\He didn't have any time to use his abilities. response:	In that case...
context: It's probably related to the gate.\Hand it over.\Let's go, Mao.\Mao?\He was sniffing a sock.\His remuneration, huh?\He didn't have any time to use his abilities.\In that case... response:	He probably just wanted to smell it.
context: Hand it over.\Let's go, Mao.\Mao?\He was sniffing a sock.\His remuneration, huh?\He didn't have any time to use his abilities.\In that case...\He probably just wanted to smell it. response:	There's no way to understand how a contractor thinks.
context: Let's go, Mao.\Mao?\He was sniffing a sock.\His remuneration, huh?\He didn't have any time to use his abilities.\In that case...\He probably just wanted to smell it.\There's no way to understand how a contractor thinks. response:	Yeah, you're right.
context: Mao?\He was sniffing a sock.\His remuneration, huh?\He didn't have any time to use his abilities.\In that case...\He probably just wanted to smell it.\There's no way to understand how a contractor thinks.\Yeah, you're right. response:	He just wanted to smell it.
context: He was sniffing a sock.\His remuneration, huh?\He didn't have any time to use his abilities.\In that case...\He probably just wanted to smell it.\There's no way to understand how a contractor thinks.\Yeah, you're right.\He just wanted to smell it. response:	If this sock was originally his,
context: His remuneration, huh?\He didn't have any time to use his abilities.\In that case...\He probably just wanted to smell it.\There's no way to understand how a contractor thinks.\Yeah, you're right.\He just wanted to smell it.\If this sock was originally his, response:	the scent of this sock would be the only remaining evidence of his physical past.
context: He didn't have any time to use his abilities.\In that case...\He probably just wanted to smell it.\There's no way to understand how a contractor thinks.\Yeah, you're right.\He just wanted to smell it.\If this sock was originally his,\the scent of this sock would be the only remaining evidence of his physical past. response:	He probably completed his remuneration
context: In that case...\He probably just wanted to smell it.\There's no way to understand how a contractor thinks.\Yeah, you're right.\He just wanted to smell it.\If this sock was originally his,\the scent of this sock would be the only remaining evidence of his physical past.\He probably completed his remuneration response:	when he lost his body, like I did.
context: He probably just wanted to smell it.\There's no way to understand how a contractor thinks.\Yeah, you're right.\He just wanted to smell it.\If this sock was originally his,\the scent of this sock would be the only remaining evidence of his physical past.\He probably completed his remuneration\when he lost his body, like I did. response:	It's raining again.
context: There's no way to understand how a contractor thinks.\Yeah, you're right.\He just wanted to smell it.\If this sock was originally his,\the scent of this sock would be the only remaining evidence of his physical past.\He probably completed his remuneration\when he lost his body, like I did.\It's raining again. response:	Excuse me...
context: Yeah, you're right.\He just wanted to smell it.\If this sock was originally his,\the scent of this sock would be the only remaining evidence of his physical past.\He probably completed his remuneration\when he lost his body, like I did.\It's raining again.\Excuse me... response:	Is there something else?
context: He just wanted to smell it.\If this sock was originally his,\the scent of this sock would be the only remaining evidence of his physical past.\He probably completed his remuneration\when he lost his body, like I did.\It's raining again.\Excuse me...\Is there something else? response:	Thanks...
context: If this sock was originally his,\the scent of this sock would be the only remaining evidence of his physical past.\He probably completed his remuneration\when he lost his body, like I did.\It's raining again.\Excuse me...\Is there something else?\Thanks... response:	See you tomorrow.
context: the scent of this sock would be the only remaining evidence of his physical past.\He probably completed his remuneration\when he lost his body, like I did.\It's raining again.\Excuse me...\Is there something else?\Thanks...\See you tomorrow. response:	Bye-bye!
context: He probably completed his remuneration\when he lost his body, like I did.\It's raining again.\Excuse me...\Is there something else?\Thanks...\See you tomorrow.\Bye-bye! response:	Oh, Hernandez?
context: when he lost his body, like I did.\It's raining again.\Excuse me...\Is there something else?\Thanks...\See you tomorrow.\Bye-bye!\Oh, Hernandez? response:	Or is it?
context: It's raining again.\Excuse me...\Is there something else?\Thanks...\See you tomorrow.\Bye-bye!\Oh, Hernandez?\Or is it? response:	Hey, wait up!
context: Excuse me...\Is there something else?\Thanks...\See you tomorrow.\Bye-bye!\Oh, Hernandez?\Or is it?\Hey, wait up! response:	You lost something.
context: Is there something else?\Thanks...\See you tomorrow.\Bye-bye!\Oh, Hernandez?\Or is it?\Hey, wait up!\You lost something. response:	In the end, the cat was never found.
context: Thanks...\See you tomorrow.\Bye-bye!\Oh, Hernandez?\Or is it?\Hey, wait up!\You lost something.\In the end, the cat was never found. response:	It might have been a farce from the beginning. A lost cat may have never existed at all.
context: See you tomorrow.\Bye-bye!\Oh, Hernandez?\Or is it?\Hey, wait up!\You lost something.\In the end, the cat was never found.\It might have been a farce from the beginning. A lost cat may have never existed at all. response:	Oh well.
context: Bye-bye!\Oh, Hernandez?\Or is it?\Hey, wait up!\You lost something.\In the end, the cat was never found.\It might have been a farce from the beginning. A lost cat may have never existed at all.\Oh well. response:	I received the remaining payments in the name of grievance money.
context: Oh, Hernandez?\Or is it?\Hey, wait up!\You lost something.\In the end, the cat was never found.\It might have been a farce from the beginning. A lost cat may have never existed at all.\Oh well.\I received the remaining payments in the name of grievance money. response:	The case was closed.
context: Or is it?\Hey, wait up!\You lost something.\In the end, the cat was never found.\It might have been a farce from the beginning. A lost cat may have never existed at all.\Oh well.\I received the remaining payments in the name of grievance money.\The case was closed. response:	I found that person!
context: Hey, wait up!\You lost something.\In the end, the cat was never found.\It might have been a farce from the beginning. A lost cat may have never existed at all.\Oh well.\I received the remaining payments in the name of grievance money.\The case was closed.\I found that person! response:	He was at the Home Run Ken eating enough ramen to die from!
context: You lost something.\In the end, the cat was never found.\It might have been a farce from the beginning. A lost cat may have never existed at all.\Oh well.\I received the remaining payments in the name of grievance money.\The case was closed.\I found that person!\He was at the Home Run Ken eating enough ramen to die from! response:	He's cool!
context: In the end, the cat was never found.\It might have been a farce from the beginning. A lost cat may have never existed at all.\Oh well.\I received the remaining payments in the name of grievance money.\The case was closed.\I found that person!\He was at the Home Run Ken eating enough ramen to die from!\He's cool! response:	Can I stalk him?
context: It might have been a farce from the beginning. A lost cat may have never existed at all.\Oh well.\I received the remaining payments in the name of grievance money.\The case was closed.\I found that person!\He was at the Home Run Ken eating enough ramen to die from!\He's cool!\Can I stalk him? response:	Don't do it.
context: Oh well.\I received the remaining payments in the name of grievance money.\The case was closed.\I found that person!\He was at the Home Run Ken eating enough ramen to die from!\He's cool!\Can I stalk him?\Don't do it. response:	Since then, I occasionally see that young man.
context: I received the remaining payments in the name of grievance money.\The case was closed.\I found that person!\He was at the Home Run Ken eating enough ramen to die from!\He's cool!\Can I stalk him?\Don't do it.\Since then, I occasionally see that young man. response:	Upon further investigation, I've come to the conclusion that he's just a glutton.
context: The case was closed.\I found that person!\He was at the Home Run Ken eating enough ramen to die from!\He's cool!\Can I stalk him?\Don't do it.\Since then, I occasionally see that young man.\Upon further investigation, I've come to the conclusion that he's just a glutton. response:	What was I suspecting him of?
context: I found that person!\He was at the Home Run Ken eating enough ramen to die from!\He's cool!\Can I stalk him?\Don't do it.\Since then, I occasionally see that young man.\Upon further investigation, I've come to the conclusion that he's just a glutton.\What was I suspecting him of? response:	So goes the saying, suspicion begets fear.
context: He was at the Home Run Ken eating enough ramen to die from!\He's cool!\Can I stalk him?\Don't do it.\Since then, I occasionally see that young man.\Upon further investigation, I've come to the conclusion that he's just a glutton.\What was I suspecting him of?\So goes the saying, suspicion begets fear. response:	Mao, Huang is looking for you.
context: He's cool!\Can I stalk him?\Don't do it.\Since then, I occasionally see that young man.\Upon further investigation, I've come to the conclusion that he's just a glutton.\What was I suspecting him of?\So goes the saying, suspicion begets fear.\Mao, Huang is looking for you. response:	What? I was in the middle of a dream.
context: Can I stalk him?\Don't do it.\Since then, I occasionally see that young man.\Upon further investigation, I've come to the conclusion that he's just a glutton.\What was I suspecting him of?\So goes the saying, suspicion begets fear.\Mao, Huang is looking for you.\What? I was in the middle of a dream. response:	Do you have dreams?
context: Don't do it.\Since then, I occasionally see that young man.\Upon further investigation, I've come to the conclusion that he's just a glutton.\What was I suspecting him of?\So goes the saying, suspicion begets fear.\Mao, Huang is looking for you.\What? I was in the middle of a dream.\Do you have dreams? response:	Of course I do.
context: Since then, I occasionally see that young man.\Upon further investigation, I've come to the conclusion that he's just a glutton.\What was I suspecting him of?\So goes the saying, suspicion begets fear.\Mao, Huang is looking for you.\What? I was in the middle of a dream.\Do you have dreams?\Of course I do. response:	They're all trivial dreams, though.
context: Upon further investigation, I've come to the conclusion that he's just a glutton.\What was I suspecting him of?\So goes the saying, suspicion begets fear.\Mao, Huang is looking for you.\What? I was in the middle of a dream.\Do you have dreams?\Of course I do.\They're all trivial dreams, though. response:	About eating, bathing, frivolous stuff like that.
context: What was I suspecting him of?\So goes the saying, suspicion begets fear.\Mao, Huang is looking for you.\What? I was in the middle of a dream.\Do you have dreams?\Of course I do.\They're all trivial dreams, though.\About eating, bathing, frivolous stuff like that. response:	Sleeping all day without being yelled at is probably the only good thing about being a cat.
context: So goes the saying, suspicion begets fear.\Mao, Huang is looking for you.\What? I was in the middle of a dream.\Do you have dreams?\Of course I do.\They're all trivial dreams, though.\About eating, bathing, frivolous stuff like that.\Sleeping all day without being yelled at is probably the only good thing about being a cat. response:	What's with the gloomy face?
context: Mao, Huang is looking for you.\What? I was in the middle of a dream.\Do you have dreams?\Of course I do.\They're all trivial dreams, though.\About eating, bathing, frivolous stuff like that.\Sleeping all day without being yelled at is probably the only good thing about being a cat.\What's with the gloomy face? response:	You're supposed to laugh at that part.
context: What? I was in the middle of a dream.\Do you have dreams?\Of course I do.\They're all trivial dreams, though.\About eating, bathing, frivolous stuff like that.\Sleeping all day without being yelled at is probably the only good thing about being a cat.\What's with the gloomy face?\You're supposed to laugh at that part. response:	The reunion of a friend is an ominous twist of fate.
context: Do you have dreams?\Of course I do.\They're all trivial dreams, though.\About eating, bathing, frivolous stuff like that.\Sleeping all day without being yelled at is probably the only good thing about being a cat.\What's with the gloomy face?\You're supposed to laugh at that part.\The reunion of a friend is an ominous twist of fate. response:	The memories of her school days are faint,
context: Of course I do.\They're all trivial dreams, though.\About eating, bathing, frivolous stuff like that.\Sleeping all day without being yelled at is probably the only good thing about being a cat.\What's with the gloomy face?\You're supposed to laugh at that part.\The reunion of a friend is an ominous twist of fate.\The memories of her school days are faint, response:	leaving only the lingering scent of friendship.
context: They're all trivial dreams, though.\About eating, bathing, frivolous stuff like that.\Sleeping all day without being yelled at is probably the only good thing about being a cat.\What's with the gloomy face?\You're supposed to laugh at that part.\The reunion of a friend is an ominous twist of fate.\The memories of her school days are faint,\leaving only the lingering scent of friendship. response:	The scheme underneath the white dress conceals
context: About eating, bathing, frivolous stuff like that.\Sleeping all day without being yelled at is probably the only good thing about being a cat.\What's with the gloomy face?\You're supposed to laugh at that part.\The reunion of a friend is an ominous twist of fate.\The memories of her school days are faint,\leaving only the lingering scent of friendship.\The scheme underneath the white dress conceals response:	a dark conspiracy and a bloodbath.
context: Sleeping all day without being yelled at is probably the only good thing about being a cat.\What's with the gloomy face?\You're supposed to laugh at that part.\The reunion of a friend is an ominous twist of fate.\The memories of her school days are faint,\leaving only the lingering scent of friendship.\The scheme underneath the white dress conceals\a dark conspiracy and a bloodbath. response:	The stone-like glitter of the flower
context: What's with the gloomy face?\You're supposed to laugh at that part.\The reunion of a friend is an ominous twist of fate.\The memories of her school days are faint,\leaving only the lingering scent of friendship.\The scheme underneath the white dress conceals\a dark conspiracy and a bloodbath.\The stone-like glitter of the flower response:	is cold and drives people insane.
context: You're supposed to laugh at that part.\The reunion of a friend is an ominous twist of fate.\The memories of her school days are faint,\leaving only the lingering scent of friendship.\The scheme underneath the white dress conceals\a dark conspiracy and a bloodbath.\The stone-like glitter of the flower\is cold and drives people insane. response:	The party has just begun.
context: The reunion of a friend is an ominous twist of fate.\The memories of her school days are faint,\leaving only the lingering scent of friendship.\The scheme underneath the white dress conceals\a dark conspiracy and a bloodbath.\The stone-like glitter of the flower\is cold and drives people insane.\The party has just begun. response:	Episode Nine The White Dress, Stained with the Girl's Dreams and Blood... (Part One)
